   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,4.66                     ,1.36            ,10.13        ,9.08                       ,- -                    ,11.61                   ,-9.22                       ,17.51         ,15.27                       ,-0.4                      ,26.02             ,-0.22                       ,25.8                ,11.73  ,6.75              ,11.61  ,11.61  ,5.23             ,6.64                 ,19.93             ,4.66               ,              1.51 ,12.24                ,2.05                           ,2.05                    ,10.1                    ,13.48       ,10.08           ,9.28                 ,-6.09                          ,-6.6                      ,- -                          ,30              ,19.57                   ,15.58        ,22.61               ,-16.81  ,- -                  ,18.02                     ,14.71   ,16.79                ,15.42                        ,16.59             ,5.52                 ,- -          ,             7.85 ,-14.11       ,14.46                           ,14.31        ,15.58                      ,0.11               ,15.22    ,0.8                ,-269.18                      ,-7.41         ,-5.32                 ,- -                 ,25.18      ,12.24                       ,56.25          ,- -                      ,-50.16                   ,6.68                           ,-1.32                 ,- -                         ,92.28                          ,1.1            ,-52.01         ,-86.07                      ,-62.73                         ,-128.65             ,-1.32                ,8.34           ,25.54                ,-15.01                  ,0.25062311375176183
 1 ,2011 ,15.13                    ,15.35           ,14.79        ,10.61                      ,- -                    ,10.77                   ,-59.37                      ,26.12         ,23.29                       ,-0.29                     ,14.94             ,-0.46                       ,15.13               ,9.92   ,-4.53             ,10.77  ,10.77  ,-0.3             ,-3.78                ,-0.46             ,15.13              ,              3.28 ,6.25                 ,28.89                          ,28.89                   ,12.86                   ,-0.24       ,2.07            ,11.74                ,4.56                           ,5.1                       ,- -                          ,-1.02           ,0.25                    ,4.46         ,4.08                ,82.71   ,- -                  ,10.53                     ,-5.71   ,2.65                 ,-2.8                         ,3.25              ,18.68                ,- -          ,             9.08 ,31.92        ,6.2                             ,6.02         ,4.46                       ,-1.84              ,-9.36    ,-14.5              ,-79.7                        ,1.1           ,76.28                 ,- -                 ,14.12      ,6.25                        ,-374           ,- -                      ,-197.41                  ,-1.79                          ,23.47                 ,- -                         ,-66.31                         ,2.97           ,-99.83         ,835                         ,159.92                         ,916.33              ,23.47                ,-6.58          ,-20.45               ,-14.31                  ,-0.16228674747102168
 2 ,2012 ,0.78                     ,-0.14           ,2.21         ,2.03                       ,- -                    ,2.19                    ,234.77                      ,-14.21        ,-19.17                      ,-2.39                     ,-18.7             ,-2.51                       ,-18.6               ,0.86   ,0.08              ,2.19   ,2.19   ,1.41             ,1.39                 ,-21.26            ,0.78               ,             15.47 ,-5.07                ,15.35                          ,15.35                   ,10.68                   ,1.19        ,-5.79           ,8.36                 ,2.09                           ,2.33                      ,- -                          ,-8.09           ,-5.68                   ,-0.18        ,0.7                 ,71.72   ,- -                  ,10.33                     ,-12.42  ,-2.58                ,-8.79                        ,0.5               ,0.88                 ,- -          ,             4.6  ,30.07        ,-1                              ,-1.03        ,-0.18                      ,-2                 ,-7.08    ,-6.11              ,-387.56                      ,-1.79         ,3.85                  ,- -                 ,-20        ,-5.07                       ,298.54         ,- -                      ,12.96                    ,-5.57                          ,2.78                  ,- -                         ,-4.95                          ,12.7           ,35100          ,-14.76                      ,0.64                           ,-30.12              ,2.78                 ,-7.66          ,13.19                ,19                      ,0.03957015096802308
 3 ,2013 ,1.05                     ,0.5             ,1.88         ,3.9                        ,- -                    ,0.86                    ,-5.48                       ,2.6           ,2.08                        ,-1.77                     ,3.66              ,-1.59                       ,3.48                ,0.63   ,-0.42             ,0.86   ,0.86   ,0.82             ,-0.19                ,0.77              ,1.05               ,              2.67 ,-0.49                ,38.36                          ,38.36                   ,-3.51                   ,-10.82      ,56.84           ,8.62                 ,2.74                           ,1.77                      ,- -                          ,-0.75           ,0.15                    ,3.75         ,7.3                 ,5.38    ,- -                  ,6.9                       ,7.08    ,-5.82                ,2                            ,4.61              ,3.5                  ,- -          ,             4.55 ,-74.15       ,2.82                            ,2.64         ,3.75                       ,-2.41              ,-19.1    ,-21.19             ,138.93                       ,1.61          ,-6.26                 ,- -                 ,2.08       ,-0.49                       ,32.23          ,- -                      ,-112.35                  ,19.52                          ,1.95                  ,- -                         ,-2.11                          ,0.85           ,488.35         ,39.27                       ,1.79                           ,166.38              ,1.95                 ,24.41          ,13.1                 ,17.37                   ,0.06561662858876449
 4 ,2014 ,-28.12                   ,-32.25          ,-22.01       ,-26.27                     ,- -                    ,-12.56                  ,-61.48                      ,-0.16         ,8.33                        ,-2.44                     ,9.81              ,-2.6                        ,10                  ,-15.61 ,17.4              ,-12.56 ,-12.56 ,8.5              ,21.65                ,49.04             ,-28.12             ,              5.02 ,-30.53               ,-3.85                          ,-3.85                   ,4.39                    ,8.55        ,-37.12          ,-1.2                 ,5.46                           ,3.51                      ,- -                          ,-5.93           ,-2.93                   ,-2.16        ,-0.81               ,55.32   ,- -                  ,10.87                     ,-12.23  ,-13.66               ,-12.75                       ,0.12              ,-23.04               ,- -          ,             4.95 ,204.23       ,-4.4                            ,-5.14        ,-2.16                      ,-1.42              ,21.46    ,28.04              ,-14.45                       ,-10.89        ,34.17                 ,- -                 ,8.33       ,-30.53                      ,-95.43         ,- -                      ,278.57                   ,1.18                           ,-3.98                 ,- -                         ,46.89                          ,2.46           ,51.28          ,-5.59                       ,32.38                          ,-102.8              ,-3.98                ,2.36           ,-5.5                 ,-5.56                   ,-0.21010111887030392
 5 ,2015 ,-8.37                    ,-7.32           ,-9.71        ,-10.3                      ,- -                    ,-9.25                   ,-301.28                     ,19.3          ,13.49                       ,-3.84                     ,31.27             ,-3.92                       ,31.37               ,-7.86  ,0.56              ,-9.25  ,-9.25  ,-1.47            ,-0.96                ,37.75             ,-8.37              ,              9.07 ,0.7                  ,-3.02                          ,-3.02                   ,-42.82                  ,-38.5       ,345.48          ,-7.53                ,-22.96                         ,-24.5                     ,- -                          ,-4.19           ,-9.55                   ,-8.64        ,-38.52              ,3.53    ,- -                  ,-7.74                     ,20.51   ,-6.31                ,10.87                        ,-0.36             ,1.41                 ,- -          ,             7.25 ,181.22       ,-20.14                          ,-20.06       ,-8.64                      ,-6.03              ,31.72    ,64.77              ,128.18                       ,0.23          ,-19.61                ,- -                 ,13.49      ,0.7                         ,-2803.03       ,- -                      ,-213.84                  ,-31.5                          ,-9.68                 ,- -                         ,-150.99                        ,4.88           ,47.81          ,138.65                      ,15.2                           ,-761.54             ,-9.68                ,-36.17         ,-6.1                 ,-45.73                  ,-0.18990584276235423
 6 ,2016 ,-10.63                   ,-10.62          ,-10.64       ,-7.26                      ,- -                    ,-14.63                  ,-163.38                     ,-39.16        ,-36.26                      ,-4.35                     ,-36.92            ,-4.39                       ,-36.9               ,-12.53 ,-2.12             ,-14.63 ,-14.63 ,-0.02            ,-4.47                ,-32.49            ,21.49              ,              1.09 ,-0.87                ,4.19                           ,4.19                    ,-5.89                   ,-4.51       ,0.31            ,-0.89                ,0.07                           ,3.12                      ,- -                          ,-2.95           ,-2.22                   ,-1.61        ,3.83                ,1.25    ,2.23                 ,2.67                      ,-5.55   ,9.83                 ,-0.88                        ,1.1               ,5.41                 ,- -          ,             1.91 ,23.62        ,-6.35                           ,-6.27        ,-1.61                      ,-1.8               ,-8.82    ,-2.72              ,-14.14                       ,-3.46         ,-0.98                 ,-26.44              ,-36.26     ,-0.87                       ,-124.55        ,- -                      ,-151.38                  ,13.92                          ,-23.98                ,- -                         ,-205.92                        ,-3.31          ,-72.71         ,-75.97                      ,-30.63                         ,22.09               ,-23.98               ,25.4           ,8.52                 ,88.82                   ,0.11471253534200754
 7 ,2017 ,5.11                     ,6.94            ,2.7          ,4.13                       ,- -                    ,-0.96                   ,-11.31                      ,0.82          ,3.46                        ,-0.3                      ,-6.88             ,-0.53                       ,-6.67               ,1.28   ,-3.64             ,-0.96  ,-0.96  ,-2.29            ,-5.77                ,-11.67            ,42.21              ,              1.28 ,11.97                ,-3.77                          ,-3.77                   ,13.74                   ,40.4        ,-85.29          ,-17.15               ,13.31                          ,7.45                      ,- -                          ,-9.33           ,-3.7                    ,-9.86        ,9.42                ,-66.64  ,- -                  ,-37                       ,-6.34   ,-3.65                ,-5.44                        ,-23.35            ,13.49                ,- -          ,             1.28 ,-49.02       ,15.2                            ,15.12        ,-9.86                      ,-0.17              ,-53.84   ,-59.9              ,-23.86                       ,31.51         ,13.83                 ,-26.09              ,3.46       ,11.97                       ,- -            ,- -                      ,72.04                    ,-33.63                         ,6.49                  ,- -                         ,-341.85                        ,0.98           ,- -            ,-33.44                      ,75.6                           ,-178.57             ,6.49                 ,-41            ,64.51                ,-28.52                  ,0.09629862178026105
 8 ,2018 ,14.05                    ,12.94           ,15.57        ,18.35                      ,- -                    ,9.82                    ,-19.26                      ,14.22         ,32.78                       ,-1.57                     ,47.44             ,-1.26                       ,46.98               ,11.61  ,-2.13             ,9.82   ,9.82   ,1.33             ,-3.7                 ,27.25             ,-0.29              ,              0.78 ,19.18                ,-64.3                          ,-64.3                   ,-1.6                    ,6.9         ,63.51           ,-19.79               ,7.26                           ,6.31                      ,- -                          ,27.36           ,21.47                   ,4.09         ,8.56                ,88.28   ,- -                  ,22.18                     ,-17.32  ,6.01                 ,-9.32                        ,5.37              ,6.59                 ,- -          ,             4.9  ,-0.39        ,2.63                            ,2.51         ,4.09                       ,-1.95              ,130.05   ,124.42             ,-115.29                      ,-34.35        ,-5.74                 ,14.38               ,32.78      ,19.18                       ,-103.2         ,96.36                    ,-151.88                  ,51.26                          ,29.62                 ,- -                         ,-279.66                        ,-0.81          ,-72.86         ,150                         ,-41.74                         ,1063.64             ,29.62                ,58.43          ,-18.22               ,4.22                    ,-0.05635305306543603
 9 ,2019 ,5.54                     ,5.82            ,5.15         ,4.4                        ,- -                    ,5.69                    ,-8.42                       ,7.2           ,4.68                        ,-2.5                      ,7.36              ,-2.31                       ,7.15                ,6.25   ,0.68              ,5.69   ,5.69   ,-0.36            ,0.15                 ,-0.82             ,4.94               ,              0.9  ,8.44                 ,36.69                          ,36.69                   ,-1.26                   ,3.7         ,13.04           ,7.86                 ,2.25                           ,3.6                       ,- -                          ,-4.83           ,-3                      ,0.52         ,-0.2                ,-11.03  ,- -                  ,-3.05                     ,36.34   ,-6.1                 ,19.33                        ,7.23              ,5.45                 ,- -          ,             4.88 ,69.66        ,-7.98                           ,-7.98        ,0.52                       ,-2.89              ,15.27    ,25.26              ,300.68                       ,11.25         ,-4.75                 ,0.57                ,4.68       ,8.44                        ,-185.71        ,-44.44                   ,80.72                    ,3.94                           ,-3.73                 ,- -                         ,-56.84                         ,-1.63          ,393            ,25                          ,-33.51                         ,-122.97             ,-3.73                ,6.02           ,-17.03               ,-0.7                    ,0.02656854473647763
