   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   35.55 ,          34.9  ,       36.32 ,                     51.38 ,- -                    ,18.03                   ,130.35                      ,-55.26        ,-47.84                      ,                    13.65 ,-53.26            ,12.94                       ,-52.97              , 33.68 ,-1.38             ,18.03 ,18.03 ,0.57             ,-12.92               ,-60.81            ,-8.2               ,- -                ,               49.93 ,-0.76                          ,27.97                   ,                  79.66 ,- -         ,4.52            ,6.89                 ,                         46.61 ,                    41.76 ,-71.38                       ,106.4           ,58.85                   ,       46.41 ,13.69               ,-57.21  ,27.84                ,0.84                      ,  42.34 ,89.68                ,                       46.04 ,38.36             ,               40.58 ,       17.95 ,-9.56             ,15.2         ,59.03                           ,59.03        ,                     46.41 ,             17.43 ,37.42    ,-13.59             ,-5.83                        ,6             ,61.7                  ,              47.66 ,-46.88     ,                      49.93 ,68.47          ,                   27.2  ,-157.79                  ,10.52                          ,56.79                 ,-162.5                      ,7.67                           ,- -            ,116.15         ,- -                         ,-4.3                           ,-15.98              ,56.79                ,1227.58        ,-35.37               ,108.05                  ,-0.36230657658286325
 1 ,2011 ,                   30.88 ,          27.12 ,       35.39 ,                     27.92 ,- -                    ,47.03                   ,11.64                       ,165.96        ,155.08                      ,                     7.35 ,139.39            ,6.89                        ,140.41              , 39.66 ,6.71              ,47.03 ,47.03 ,3.44             ,12.34                ,96.34             ,-7.19              ,- -                ,               33.63 ,55                             ,-37.04                  ,                  42.98 ,- -         ,116.09          ,58.83                ,                         21.69 ,                    24.2  ,5666.25                      ,14.33           ,23.97                   ,       30.07 ,8.83                ,1134.7  ,130.78               ,127.98                    ,  36.29 ,25.21                ,                       35.16 ,46.66             ,                4.1  ,        4.35 ,-26.93            ,28.28        ,3.81                            ,7.41         ,                     30.07 ,              1.09 ,79.97    ,67.56              ,-22.33                       ,-30.33        ,5.03                  ,              41.02 ,153.2      ,                      33.63 ,1.83           ,                    5.99 ,-201.5                   ,49.49                          ,18.29                 ,-699.57                     ,149.46                         ,- -            ,-3.01          ,- -                         ,141.77                         ,-260.56             ,18.29                ,-47.42         ,1.08                 ,-41.83                  ,0.2478785005170081
 2 ,2012 ,                   20.55 ,          13.94 ,       27.99 ,                     25.31 ,- -                    ,31.62                   ,21.85                       ,45.41         ,40.8                        ,                     2.23 ,44.52             ,8.18                        ,36.57               , 22.68 ,1.77              ,31.62 ,31.62 ,6.17             ,9.18                 ,22.56             ,3.58               ,- -                ,               14.64 ,-54.22                         ,-9.54                   ,                   5.85 ,- -         ,-70.75          ,-48.2                ,                         21.38 ,                    21.81 ,-21                          ,24.99           ,20.8                    ,        6.06 ,-3.63               ,-80.49  ,91.5                 ,-24.29                    ,   6.88 ,-14.21               ,                        4.9  ,-0.73             ,                5.93 ,        2.08 ,-48.6             ,-29.68       ,18.5                            ,18.7         ,                      6.06 ,              4.51 ,-9.14    ,-23.46             ,11.96                        ,-31.58        ,-21.1                 ,              16.39 ,53.29      ,                      14.64 ,-60.51         ,                   16.07 ,73.38                    ,7.61                           ,11.54                 ,-177.16                     ,-70.46                         ,- -            ,-68.94         ,-72.03                      ,-129.75                        ,-79.42              ,11.54                ,35.09          ,98.72                ,-27.16                  ,0.8994728384815445
 3 ,2013 ,                   14.06 ,          12.68 ,       15.44 ,                     16.99 ,- -                    ,13.45                   ,59.08                       ,-40.47        ,-26.09                      ,                     2.99 ,-34.34            ,-3.28                       ,-30.09              , 11.02 ,-2.67             ,13.45 ,13.45 ,1.21             ,-0.53                ,-40.72            ,2.75               ,- -                ,                8.5  ,50.87                          ,3.84                    ,                  19.6  ,- -         ,2.35            ,38.83                ,                         17.26 ,                    19.31 ,211.68                       ,11.12           ,20.16                   ,       22.11 ,-5.38               ,4.98    ,3.22                 ,-0.47                     ,  38.89 ,11.9                 ,                       36.81 ,31.33             ,                4.32 ,        2.04 ,-72.21            ,12.59        ,6.29                            ,7.73         ,                     22.11 ,              1.67 ,34.95    ,25.27              ,-8.19                        ,39.49         ,0.89                  ,              11.01 ,-32.85     ,                       8.5  ,357.87         ,                   23.99 ,-442.85                  ,-4.34                          ,-25.13                ,-195.97                     ,164.03                         ,- -            ,481.91         ,265.15                      ,-358.13                        ,-130.39             ,-25.13               ,-124.31        ,-2.86                ,41.47                   ,-0.435440127950132
 4 ,2014 ,                   13.52 ,          12.54 ,       14.47 ,                     18.14 ,- -                    ,9.6                     ,20.4                        ,-24.53        ,-371.24                     ,                     5.91 ,-358.82           ,4.48                        ,-362.37             , 10.46 ,-2.7              ,9.6   ,9.6   ,0.84             ,-3.45                ,-341.47           ,2.77               ,- -                ,               11.38 ,80.51                          ,133.27                  ,                  33.88 ,- -         ,48.14           ,67.77                ,                          8.86 ,                    11.65 ,-99.89                       ,-19.91          ,-4.73                   ,        3.87 ,22.88               ,14.29   ,13.84                ,17.8                      ,  11.62 ,10.91                ,                       11.58 ,12.27             ,               23.77 ,       14    ,1876.72           ,192.21       ,-7.68                           ,-12.11       ,                      3.87 ,             13.84 ,-4.11    ,9.1                ,-21.97                       ,42.43         ,23.29                 ,              10.46 ,-371.24    ,                      11.38 ,36.54          ,                   14.62 ,-215.85                  ,14.03                          ,15.34                 ,-150                        ,-62.73                         ,- -            ,15.1           ,510.58                      ,-81.32                         ,3438.35             ,15.34                ,-9.27          ,21.04                ,-141.6                  ,0.21394948524648294
 5 ,2015 ,                   11.54 ,           7.82 ,       15.13 ,                     12.42 ,- -                    ,19.01                   ,-6.78                       ,149.02        ,-172.02                     ,                    10.37 ,-165.55           ,11.7                        ,-164.77             , 14.21 ,2.39              ,19.01 ,19.01 ,3.21             ,6.69                 ,-164.86           ,-14.47             ,467.4              ,                9.11 ,96.59                          ,264.83                  ,                  16.28 ,- -         ,904.43          ,118.61               ,                         12.17 ,                    13.63 ,944.19                       ,15.02           ,12.82                   ,       33.09 ,33.45               ,1083.35 ,14.66                ,157.29                    ,  21.95 ,28.02                ,                       22.33 ,38.09             ,               45.11 ,        8.77 ,118.87            ,53.13        ,20.94                           ,20.94        ,                     33.09 ,             10.01 ,4.27     ,-13.78             ,-4.86                        ,-15.04        ,6.67                  ,              30.42 ,-172.02    ,                       9.11 ,-43.43         ,                   12.25 ,-93.33                   ,29.79                          ,31.49                 ,114.61                      ,46.34                          ,526.26         ,30.6           ,-378.39                     ,1644.07                        ,490.11              ,31.49                ,-8.6           ,12.46                ,-279.4                  ,0.43029376338071534
 6 ,2016 ,                   32.51 ,          40.99 ,       24.87 ,                     37.32 ,- -                    ,8                       ,25.09                       ,-24.24        ,-39.07                      ,                    21.33 ,-44.34            ,21.09                       ,-44.23              , 31.76 ,-0.56             ,8     ,8     ,-5.76            ,-18.49               ,-49.04            ,11.48              ,-21.06             ,               59.29 ,-66.46                         ,-66.42                  ,                  66.24 ,- -         ,-75.27          ,-54.97               ,                         28.41 ,                    26.86 ,119.07                       ,164.51          ,56.97                   ,       21.74 ,46.37               ,-82.33  ,-6.19                ,-37.89                    ,  18.44 ,59.64                ,                       21.14 ,8.29              ,               53.22 ,       16.13 ,23.74             ,86.45        ,59.02                           ,59.02        ,                     21.74 ,             14.99 ,51.75    ,-4.57              ,-53.84                       ,-27.5         ,-8.02                 ,              18.86 ,-32.47     ,                      59.29 ,10.61          ,                   17.46 ,-1292.06                 ,13.92                          ,28.25                 ,-97.89                      ,220.74                         ,-4.22          ,-49.14         ,- -                         ,-147.89                        ,-190.29             ,28.25                ,-452.07        ,18.51                ,68.7                    ,0.11156989213403978
 7 ,2017 ,                   20.94 ,          20.45 ,       21.45 ,                     17.15 ,- -                    ,28.86                   ,12.62                       ,79.43         ,103.64                      ,                     9.61 ,67.63             ,9.49                        ,67.82               , 26.43 ,4.54              ,28.86 ,28.86 ,0.42             ,6.54                 ,51.92             ,-0.34              ,13.53              ,               24.52 ,91.62                          ,88.72                   ,                  27.52 ,- -         ,-33.6           ,53.26                ,                         30.49 ,                    28.99 ,-7.96                        ,79.02           ,47.59                   ,       48.25 ,30.13               ,-15.26  ,23.6                 ,20.81                     ,  50.78 ,6.17                 ,                       46.92 ,43.67             ,               36.52 ,        9.72 ,19.94             ,-17.27       ,56.9                            ,56.9         ,                     48.25 ,             10.68 ,54.89    ,-1.28              ,-93.99                       ,26.86         ,14.39                 ,              21.36 ,83.74      ,                      24.52 ,38.07          ,                   12.81 ,-27.59                   ,41.19                          ,23.83                 ,-206.14                     ,164.01                         ,24.43          ,386.65         ,199.15                      ,-613.66                        ,-133.6              ,23.83                ,-164.36        ,5.4                  ,-23.16                  ,0.09775687195138216
 8 ,2018 ,                   16.1  ,          18.8  ,       13.37 ,                     10    ,- -                    ,18.66                   ,2.13                        ,50.97         ,56.82                       ,                     3.81 ,51.07             ,3.43                        ,51.61               , 18.15 ,1.77              ,18.66 ,18.66 ,-2.35            ,2.2                  ,35.07             ,6.84               ,14.48              ,               17.75 ,-57.61                         ,-57.09                  ,                   8.01 ,- -         ,36.16           ,-32.61               ,                         17.37 ,                    16.43 ,8.19                         ,9.3             ,13.91                   ,        8.31 ,-3.67               ,215.63  ,-2.59                ,21.91                     ,   9.49 ,-4.83                ,                        8.6  ,10                ,                6.22 ,        2.53 ,4.32              ,20.44        ,5.39                            ,5.39         ,                      8.31 ,              2.13 ,32.12    ,25.36              ,-14.96                       ,-44.72        ,8.62                  ,               8.66 ,56.82      ,                      17.75 ,2.49           ,                    2.97 ,-54.31                   ,26.14                          ,52.04                 ,-279.03                     ,-43.05                         ,18.84          ,-76.18         ,-84.36                      ,-89.78                         ,-222.12             ,52.04                ,-563.98        ,-42.37               ,-19.56                  ,-0.14176645451349934
 9 ,2019 ,                    9.67 ,           7.86 ,       11.59 ,                      8.61 ,- -                    ,15.92                   ,-17.36                      ,59.94         ,38.83                       ,                     5.47 ,31.69             ,5.59                        ,31.54               ,  9.74 ,0.06              ,15.92 ,15.92 ,1.75             ,5.7                  ,26.64             ,3.45               ,7.34               ,                4.67 ,207.83                         ,208.43                  ,                  14.33 ,- -         ,-12.89          ,89.53                ,                         23.6  ,                    22.29 ,497.37                       ,-3.74           ,12.62                   ,       18.38 ,17.02               ,108.35  ,9.15                 ,42.43                     ,  13.47 ,-1.28                ,                       12.66 ,16.12             ,               18.09 ,        6.17 ,13.75             ,-1.17        ,22.46                           ,22.46        ,                     18.38 ,              5.68 ,-8.22    ,-25.05             ,2919.11                      ,33.07         ,13.91                 ,               6.01 ,38.83      ,                       4.67 ,10.27          ,                   30.89 ,112.01                   ,9.77                           ,-0.79                 ,-199.64                     ,-36.77                         ,13.21          ,106.56         ,327.9                       ,155.27                         ,-258.42             ,-0.79                ,-69.09         ,67.11                ,-20.97                  ,0.3998321594247287
