   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    9.51 ,2.31            ,       12.62 ,8.1                        ,                 16.47 ,19.45                   ,-124.25                     ,-11.89        ,-4.85                       ,1.07                      ,-5.85             ,1.45                        ,-6.2                ,14.86  ,4.89              ,19.45 ,19.45 ,2.85             ,9.09                 ,-13.1             ,0.12               ,- -                ,-3.75                ,18.56                          ,18.56                   ,11.17                   ,22.72       ,11.36           ,16.13                ,                          7.06 ,                     7.32 ,12.11                        ,-2.7            ,1.14                    ,9.39         ,1.89                ,- -     ,- -                  ,16.28                     ,- -     ,57.81                ,-27.47                       ,0.31              ,-71                  ,53.75        ,24.06             ,432.91       ,12.98                           ,12.98        ,9.39                       ,1.23               ,45.32    ,28.63              ,7.32                         ,-0.13         ,24.23                 ,               9.38 ,-4.85      ,-3.75                       ,-72.77         ,                    3.53 ,-97.36                   ,52.09                          ,0.31                  ,-106.45                     ,-253.37                        ,- -            ,96.75          ,274.65                      ,13.18                          ,-24.3               ,0.31                 ,84.8           ,36.12                ,59.83                   ,0.7337732764803668
 1 ,2011 ,                   16.01 ,19.96           ,       14.45 ,16.8                       ,                 20.5  ,5.56                    ,2.48                        ,5.74          ,8.58                        ,0.79                      ,7.73              ,0.17                        ,8.4                 ,5.08   ,-9.42             ,5.56  ,5.56  ,-1.34            ,-9.01                ,-6.4              ,4.11               ,- -                ,2.65                 ,13.73                          ,-56.78                  ,6.02                    ,28.34       ,4.29            ,13.16                ,                         12.79 ,                    11.38 ,-12.8                        ,10.48           ,10.54                   ,12.07        ,-27.91              ,- -     ,- -                  ,-0.77                     ,66.56   ,29.54                ,153.63                       ,40                ,28.08                ,2.56         ,21.06             ,-10.93       ,2.27                            ,2.27         ,12.07                      ,-0.78              ,-94.13   ,-94.26             ,-11.89                       ,14.04         ,-0.61                 ,              11.43 ,8.58       ,2.65                        ,-325           ,                   19.45 ,3172.73                  ,22.59                          ,43.3                  ,72475                       ,560.98                         ,- -            ,106.8          ,126.04                      ,30.13                          ,-371.51             ,43.3                 ,15.49          ,-30.6                ,12.91                   ,-0.12540115672060226
 2 ,2012 ,                   13.17 ,0.24            ,       18.49 ,8.56                       ,                 18.27 ,39.92                   ,92.12                       ,36.88         ,23.15                       ,0.26                      ,22.83             ,-0.92                       ,24.3                ,32.25  ,16.87             ,39.92 ,39.92 ,4.7              ,23.64                ,8.82              ,7.65               ,- -                ,-7.41                ,15.74                          ,81.6                    ,8.36                    ,7.54        ,4.41            ,10.56                ,                         22.67 ,                    14.96 ,-3.21                        ,10.15           ,14.48                   ,12.17        ,5.06                ,- -     ,1.15                 ,3.64                      ,25.86   ,30.89                ,28.43                        ,15.5              ,45.83                ,3.5          ,21.55             ,1.07         ,10.57                           ,10.57        ,12.17                      ,0.18               ,484.62   ,428.73             ,-1.43                        ,6.68          ,6.62                  ,               5.13 ,23.15      ,-7.41                       ,-161.82        ,                   20.29 ,-231.94                  ,17.49                          ,33.7                  ,-123.8                      ,-80.62                         ,- -            ,-22.64         ,0.04                        ,15.09                          ,-154.69             ,33.7                 ,10.59          ,2.41                 ,-4.6                    ,0.1413320603769992
 3 ,2013 ,                    7.68 ,5.21            ,        8.54 ,5.16                       ,                 10.88 ,12.53                   ,-222.08                     ,31.68         ,33.48                       ,-2.79                     ,37.31             ,-3.8                        ,38.76               ,13.05  ,4.99              ,12.53 ,12.53 ,0.8              ,4.5                  ,23.96             ,2.67               ,- -                ,17.13                ,79.69                          ,35.22                   ,-5.61                   ,9.93        ,7.04            ,33.59                ,                         12.94 ,                    10.11 ,3.79                         ,1.01            ,5.86                    ,21.99        ,-6.24               ,- -     ,9.9                  ,-0.52                     ,213.31  ,10.36                ,107.67                       ,57.03             ,30.01                ,1.45         ,22.79             ,-27.18       ,4.4                             ,4.4          ,21.99                      ,-4.37              ,-242.02  ,-236.04            ,-15.39                       ,34.28         ,9.95                  ,               4.88 ,33.48      ,17.13                       ,3.92           ,                   12.59 ,10.53                    ,30.54                          ,-9.59                 ,-531.55                     ,423.73                         ,- -            ,220.64         ,85                          ,-122.43                        ,-25.69              ,-9.59                ,51.19          ,-41.11               ,-2.2                    ,-0.5667233424088692
 4 ,2014 ,                   13.56 ,21.1            ,       11.01 ,16.99                      ,                 10.43 ,2.14                    ,1609.04                     ,123.79        ,108.46                      ,-4.66                     ,118.63            ,-4.66                       ,118.64              ,2.95   ,-9.34             ,2.14  ,2.14  ,-2.24            ,-10.06               ,83.56             ,7.32               ,- -                ,9.06                 ,53.57                          ,55.52                   ,-0.91                   ,-3.92       ,12.17           ,29.28                ,                          5.05 ,                     5.7  ,1000                         ,12.49           ,31.28                   ,30           ,3.14                ,- -     ,54.58                ,23.29                     ,0.84    ,35.54                ,10.44                        ,14.25             ,26.35                ,2.3          ,39.94             ,265.58       ,41.89                           ,41.89        ,30                         ,-1.37              ,-132.25  ,-122.73            ,16.78                        ,4.86          ,-14.09                ,               5.81 ,108.46     ,9.06                        ,50             ,                    1.9  ,262.48                   ,116.27                         ,-6.03                 ,73.81                       ,53.38                          ,- -            ,-82.66         ,-58.44                      ,-538.4                         ,149                 ,-6.03                ,153.89         ,-2.45                ,3.75                    ,0.8231374092441952
 5 ,2015 ,                    7.35 ,-1.34           ,       10.56 ,-0.85                      ,                  7.35 ,33.22                   ,-103.1                      ,-45.59        ,-38.98                      ,1.17                      ,-39.69            ,1.52                        ,-39.9               ,28.57  ,19.77             ,33.22 ,33.22 ,2.99             ,24.09                ,-43.16            ,-0.32              ,- -                ,-4.08                ,-14.88                         ,9.88                    ,14.4                    ,14.52       ,-34.6           ,-8.21                ,                          8.94 ,                     5.69 ,57.7                         ,88.46           ,55.46                   ,15.14        ,18.54               ,- -     ,4.73                 ,11.76                     ,-0.2    ,56.18                ,18.94                        ,16.64             ,17.73                ,85.49        ,17.41             ,80.97        ,14.22                           ,14.22        ,15.14                      ,-0.09              ,118.13   ,90.97              ,-9.7                         ,-17.87        ,3.82                  ,               7.69 ,-38.98     ,-4.08                       ,57.65          ,                    3.31 ,-66.26                   ,-46.23                         ,5.55                  ,-123.48                     ,-50.06                         ,- -            ,-86.12         ,2.83                        ,3.66                           ,-68.26              ,5.55                 ,-52.12         ,110.6                ,-11.87                  ,0.24733516128039468
 6 ,2016 ,                   18.85 ,29.2            ,       15.44 ,6.35                       ,                 24.5  ,22.09                   ,129.27                      ,18.56         ,15.07                       ,-1.16                     ,16.42             ,-1.13                       ,16.39               ,20.8   ,1.64              ,22.09 ,22.09 ,-2.86            ,2.73                 ,-3.18             ,4.93               ,- -                ,8.21                 ,3.79                           ,29.47                   ,11.51                   ,16.68       ,41.43           ,9.38                 ,                         20.21 ,                    12.54 ,40.06                        ,1.04            ,13.03                   ,11.19        ,16.11               ,- -     ,6.8                  ,11.82                     ,37.76   ,11.69                ,26.14                        ,21.75             ,18.93                ,1.46         ,17.07             ,8.65         ,4.63                            ,4.63         ,11.19                      ,-1.76              ,-11.28   ,-15.2              ,-6.18                        ,-2.18         ,-11.37                ,              13.27 ,15.07      ,8.21                        ,-98.27         ,                   14.03 ,1.25                     ,28.14                          ,134.54                ,-91.62                      ,-33.03                         ,- -            ,707.32         ,189.79                      ,69.29                          ,198.93              ,134.54               ,1.43           ,-19.28               ,11.36                   ,0.09102603035873025
 7 ,2017 ,                   15.91 ,9.77            ,       18.17 ,9.52                       ,                 15.92 ,29.43                   ,-140.43                     ,40.25         ,2.48                        ,-0.99                     ,3.5               ,-0.87                       ,3.38                ,28.23  ,10.63             ,29.43 ,29.43 ,1.95             ,11.66                ,-11.59            ,5.46               ,- -                ,15.03                ,5.22                           ,-12.02                  ,15.61                   ,39.91       ,12.56           ,13.8                 ,                         17.19 ,                    13.57 ,6.56                         ,61.54           ,37.32                   ,25.64        ,58.48               ,1330.62 ,49.12                ,166.67                    ,-46.69  ,58.86                ,-5.03                        ,43.32             ,-2.23                ,-12.61       ,-49.77            ,-33.11       ,12.88                           ,12.88        ,25.64                      ,-0.9               ,-302.32  ,-279.24            ,-31.19                       ,-57.32        ,15.5                  ,               9.91 ,2.48       ,15.03                       ,-7869.23       ,                    8.26 ,260.31                   ,42.06                          ,-29.3                 ,-2367.65                    ,205.72                         ,- -            ,292.39         ,16.19                       ,76.24                          ,-153.39             ,-29.3                ,83.49          ,-1.04                ,38.63                   ,0.008681862021623354
 8 ,2018 ,                    8.37 ,7.32            ,        8.73 ,9.86                       ,                 12.6  ,5.59                    ,-1738.42                    ,-26.43        ,23.75                       ,-0.81                     ,24.75             ,-1.05                       ,25.06               ,4.76   ,-3.33             ,5.59  ,5.59  ,0.33             ,-2.56                ,14.19             ,3.29               ,- -                ,-5.49                ,-28.49                         ,-12.73                  ,12.1                    ,9.39        ,4.85            ,-10.29               ,                         27.63 ,                    21.15 ,-10.71                       ,-11.09          ,-2.58                   ,-6.05        ,-6.41               ,- -     ,24.32                ,-38.27                    ,35.45   ,-16.31               ,1.28                         ,-19.44            ,16.01                ,1.51         ,37.34             ,4.37         ,6.23                            ,6.23         ,-6.05                      ,-0.95              ,-155.16  ,-151.92            ,30.26                        ,45.32         ,9.9                   ,               4.92 ,23.75      ,-5.49                       ,68.12          ,                   15.26 ,-118.23                  ,-7.39                          ,33.79                 ,-247.86                     ,-111.85                        ,- -            ,-30.83         ,-0.15                       ,132.71                         ,-18.3               ,33.79                ,-16.61         ,31.35                ,-25.17                  ,0.421346986108848
 9 ,2019 ,                   16.79 ,18.63           ,       16.17 ,14.12                      ,                 20.97 ,15.47                   ,-76.81                      ,53.2          ,44.96                       ,-0.45                     ,45.61             ,-0.66                       ,45.92               ,15.47  ,-1.13             ,15.47 ,15.47 ,-0.53            ,-1.13                ,24.12             ,7.55               ,- -                ,15.37                ,58.59                          ,65.12                   ,11.5                    ,5.58        ,22.03           ,30.48                ,                         31.46 ,                    24.94 ,15.64                        ,6.93            ,15.39                   ,21.87        ,21.55               ,-95.74  ,-21.91               ,2.94                      ,10.02   ,9.99                 ,10                           ,7.17              ,15.12                ,1.35         ,38.85             ,12.64        ,32.09                           ,32.09        ,21.87                      ,0.67               ,386.03   ,267.94             ,21.79                        ,26.75         ,-12.13                ,               8.59 ,44.96      ,15.37                       ,45.76          ,                   14.51 ,370.26                   ,27.65                          ,23.58                 ,-156.49                     ,-876.79                        ,- -            ,-97.25         ,-84.15                      ,-89.5                          ,-582.11             ,23.58                ,29.11          ,20.11                ,-11.94                  ,0.23429826571653978
