   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,7.66                     ,108.96          ,-36.79       ,- -                        ,- -                    ,-0.51                   ,52.57                       ,-4.48         ,-5.32                       ,                     0.3  ,-5.61             ,                       0.15 ,-5.46               ,4.33   ,-3.09             ,-0.51  ,-0.51  ,-41.28           ,-7.58                ,-12.05            ,8.3                ,-0.01              ,13.15                ,-19.8                          ,-19.8                   ,52.66                   ,6.47        ,36.32           ,17.59                ,9.51                           ,10.01                     ,-3.42                        ,-2.71           ,4.81                    ,6.22         ,29.3                ,-31.84  ,-13.77               ,0.05                      ,5.44    ,7.25                 ,6.61                         ,5.85              ,0.93                 ,- -          ,14.38             ,15.99        ,7.28                            ,7.3          ,6.22                       ,              0.3  ,5.97     ,-1.24              ,2.48                         ,17.53         ,-1121.87              ,-0.59               ,-5.32      ,13.15                       ,-88.04         ,- -                      ,-22.47                   ,-13.95                         ,1.62                  ,-39.38                      ,12.61                          ,0.29           ,-29.64         ,- -                         ,-7.85                          ,-153.86             ,1.62                 ,-32.01         ,-8.03                ,-9.11                   ,-0.23244587736467903
 1 ,2011 ,2.25                     ,12.83           ,-13.1        ,- -                        ,- -                    ,-5.21                   ,3.76                        ,-6.28         ,-2.5                        ,                     0.3  ,-2.95             ,                       0.3  ,-2.95               ,-11.38 ,-13.33            ,-5.21  ,-5.21  ,-15.01           ,-7.29                ,-4.79             ,1.97               ,-0.01              ,-21.3                ,-36.97                         ,-36.97                  ,-15.95                  ,7.2         ,41.31           ,-10.71               ,8.78                           ,8.81                      ,1.86                         ,7.74            ,7.5                     ,5.27         ,26.26               ,47.57   ,-13.17               ,21.08                     ,1.54    ,3.79                 ,3.01                         ,4.99              ,102.24               ,- -          ,8.07              ,1.11         ,6.08                            ,6.08         ,5.27                       ,              0.15 ,10.46    ,4.12               ,1.89                         ,-26.26        ,13.12                 ,0.28                ,-2.5       ,-21.3                       ,-210.06        ,- -                      ,-150.59                  ,-7.46                          ,21.53                 ,39.42                       ,18.21                          ,0.29           ,-2.72          ,- -                         ,-51.6                          ,49.75               ,21.53                ,-57.72         ,2.25                 ,-4.93                   ,0.09454436612592154
 2 ,2012 ,23.22                    ,45.51           ,-18.77       ,- -                        ,- -                    ,-44.84                  ,28.44                       ,-54.55        ,-53.14                      ,                    23.08 ,-62.22            ,                      23.16 ,-62.25              ,-3.62  ,-21.78            ,-44.84 ,-44.84 ,-34.08           ,-55.24               ,-62.27            ,-8.89              ,0.09               ,76.12                ,46.26                          ,46.26                   ,94.52                   ,17.36       ,109.8           ,77.49                ,38.74                          ,31.8                      ,41.66                        ,37.01           ,38.84                   ,42.85        ,47.24               ,3.37    ,135.17               ,51.75                     ,50.51   ,31.82                ,38.25                        ,39.95             ,82.63                ,82.63        ,-1.61             ,12.94        ,48.98                           ,51.03        ,42.85                      ,             28.96 ,46.23    ,-3.17              ,12.01                        ,16.96         ,-12.03                ,35.24               ,-53.14     ,76.12                       ,-710.29        ,- -                      ,-187.79                  ,26.33                          ,43.22                 ,6.28                        ,-0.59                          ,23.19          ,49.04          ,- -                         ,28.25                          ,-178.86             ,43.22                ,-57.83         ,-39.3                ,171.73                  ,-0.40773697199804415
 3 ,2013 ,5.96                     ,-0.68           ,28.36        ,- -                        ,- -                    ,47.55                   ,29.72                       ,54.23         ,47.65                       ,                     4.9  ,41.26             ,                       5.01 ,41.12               ,13.36  ,6.99              ,47.55  ,47.55  ,21.14            ,39.26                ,39.86             ,6.89               ,-30.62             ,-7.35                ,8.28                           ,8.28                    ,-11.42                  ,8.97        ,14.53           ,-0.03                ,4.74                           ,6.4                       ,8.54                         ,-12.82          ,2                       ,1.73         ,-20.9               ,47.18   ,13.78                ,-0.81                     ,-0.41   ,0.95                 ,0.44                         ,0.27              ,0.66                 ,0.66         ,4.7               ,-26.27       ,6.07                            ,5.57         ,1.73                       ,              0.23 ,2.18     ,-3.21              ,4.46                         ,0.79          ,-2.29                 ,-0.88               ,47.65      ,-7.35                       ,-87.17         ,- -                      ,-473.26                  ,3.46                           ,-6.81                 ,5.91                        ,17.88                          ,-27.21         ,17.76          ,- -                         ,-23.87                         ,-73.83              ,-6.81                ,177.19         ,1.27                 ,-30.19                  ,-0.3311312777186125
 4 ,2014 ,10.21                    ,19.88           ,-15.03       ,- -                        ,- -                    ,-34.45                  ,-111                        ,-10.35        ,5.26                        ,                     0.47 ,-6.02             ,                       0.47 ,-6.02               ,-15.72 ,-23.53            ,-34.45 ,-34.45 ,-22.9            ,-40.52               ,-14.33            ,-1.82              ,-15.13             ,2.36                 ,16.72                          ,16.72                   ,9.56                    ,45.07       ,17.84           ,16.93                ,10.23                          ,9.61                      ,-0.91                        ,0.34            ,6.84                    ,8.12         ,6                   ,22.27   ,17.57                ,13.38                     ,8.66    ,8.66                 ,8.66                         ,9.3               ,-0.19                ,-0.19        ,5.33              ,31.57        ,-0.55                           ,5.2          ,8.12                       ,              0.35 ,9.32     ,3.91               ,-2.49                        ,3.13          ,35.48                 ,12.25               ,5.26       ,2.36                        ,-305.84        ,- -                      ,-235.96                  ,-29.73                         ,12.64                 ,-185.58                     ,-14.74                         ,-14.73         ,50.19          ,- -                         ,-149.76                        ,118.7               ,12.64                ,-270.89        ,54.98                ,-25.58                  ,0.29143123316330244
 5 ,2015 ,7.36                     ,-0.76           ,37.27        ,- -                        ,- -                    ,83.72                   ,-1205.21                    ,33.95         ,23.63                       ,                     3.49 ,35.09             ,                       3.36 ,35.26               ,33.88  ,24.7              ,83.72  ,83.72  ,27.86            ,71.13                ,30.22             ,4.58               ,0.26               ,3.08                 ,246.22                         ,246.22                  ,-15.68                  ,-2.31       ,-9.62           ,29.37                ,10.1                           ,10.32                     ,-0.9                         ,2.81            ,7.36                    ,10.38        ,13.02               ,-10.12  ,3.47                 ,4.06                      ,22.33   ,3.02                 ,10.18                        ,9.32              ,11.77                ,11.77        ,10.61             ,-2.24        ,14.09                           ,13.1         ,10.38                      ,              6.98 ,-2.08    ,-13.42             ,3.63                         ,24.32         ,-12.25                ,2.65                ,23.63      ,3.08                        ,-648.23        ,- -                      ,-82.4                    ,70.88                          ,25.46                 ,-236.96                     ,70.08                          ,3.76           ,89.37          ,- -                         ,1075.18                        ,1618.96             ,25.46                ,-99.51         ,-48.21               ,22.23                   ,-0.21427857518442006
 6 ,2016 ,6.52                     ,5.55            ,9.09         ,- -                        ,- -                    ,-25.76                  ,21.3                        ,-40.75        ,-46.84                      ,                     3.82 ,-52.41            ,                       3.81 ,-52.41              ,5.47   ,-0.99             ,-25.76 ,-25.76 ,2.42             ,-30.3                ,-53.62            ,-7.83              ,1.64               ,39.85                ,-90.23                         ,-90.23                  ,30.16                   ,4.6         ,52.29           ,-19.06               ,24.58                          ,22.91                     ,6.46                         ,65.49           ,28.03                   ,20.46        ,34.26               ,81.85   ,43.01                ,47.59                     ,32.65   ,19.99                ,25.2                         ,28.2              ,0.63                 ,0.63         ,-0.31             ,1.37         ,0.17                            ,1.17         ,20.46                      ,              0.43 ,78.02    ,75.97              ,-27.16                       ,-45.15        ,- -                   ,15.57               ,-46.84     ,39.85                       ,68.56          ,- -                      ,449.1                    ,11.1                           ,12.19                 ,-146.83                     ,97.52                          ,5.52           ,-27            ,- -                         ,-75.34                         ,-225.39             ,12.19                ,1050           ,20.25                ,124.87                  ,0.23185925794405549
 7 ,2017 ,6.99                     ,6.49            ,8.28         ,- -                        ,- -                    ,20.83                   ,-87.26                      ,91.33         ,223.49                      ,                     2.49 ,228.92            ,                       2.37 ,229.29              ,6      ,-0.93             ,20.83  ,20.83  ,1.2              ,12.94                ,215.09            ,6.29               ,3.43               ,-2.67                ,74.02                          ,74.02                   ,3.49                    ,0.79        ,-25.34          ,-4.16                ,3.7                            ,5.01                      ,19.01                        ,-12.92          ,2.32                    ,1.62         ,-23.01              ,-18.39  ,-16.42               ,-19.76                    ,1.08    ,-0.96                ,-0.07                        ,-3.1              ,0.9                  ,0.9          ,17.05             ,13.76        ,15.71                           ,16.57        ,1.62                       ,              4.22 ,-2.27    ,-16.16             ,19.89                        ,19.44         ,6.63                  ,0.65                ,223.49     ,-2.67                       ,-119.57        ,- -                      ,42.42                    ,-11.59                         ,-11.33                ,-327.12                     ,-48.41                         ,6              ,-17.45         ,-38.44                      ,-35.6                          ,-104.76             ,-11.33               ,13.04          ,27.56                ,-73.78                  ,-0.04335736124641021
 8 ,2018 ,7.21                     ,8.09            ,4.98         ,- -                        ,- -                    ,-2.64                   ,881.71                      ,-41.06        ,-46.27                      ,                     2.11 ,-48.04            ,                       2.11 ,-48.04              ,4.7    ,-2.34             ,-2.64  ,-2.64  ,-2.08            ,-9.19                ,-50.51            ,11.19              ,5.54               ,10.02                ,22.08                          ,22.08                   ,4.86                    ,2.06        ,25.12           ,12.04                ,3.38                           ,4.56                      ,-11.69                       ,3.3             ,1.37                    ,2.45         ,7.51                ,-31.62  ,36.34                ,5.61                      ,5.83    ,-1.22                ,1.89                         ,2.37              ,0.8                  ,0.8          ,4.7               ,-1.02        ,2.83                            ,2.67         ,2.45                       ,              0.52 ,2.04     ,-0.62              ,0.32                         ,6.08          ,-4.92                 ,-3.58               ,-46.27     ,10.02                       ,-349.02        ,- -                      ,-48.24                   ,15.56                          ,0.13                  ,-12.31                      ,-1.72                          ,7.77           ,-20.78         ,- -                         ,-128.55                        ,114.13              ,0.13                 ,-1109.62       ,7.56                 ,117.81                  ,0.24565764803485124
 9 ,2019 ,-4.28                    ,-7.29           ,3.56         ,- -                        ,- -                    ,13.22                   ,-77.83                      ,79.1          ,45.65                       ,                     0.62 ,45.53             ,                       0.52 ,45.68               ,3.22   ,7.84              ,13.22  ,13.22  ,8.19             ,18.28                ,52.98             ,-2.32              ,5.05               ,-3.2                 ,-56.49                         ,-56.49                  ,5.26                    ,4.93        ,-21.06          ,-9.69                ,4.6                            ,4.62                      ,11.13                        ,10.05           ,6.24                    ,4.47         ,-4.91               ,194.72  ,-21.76               ,24.39                     ,-7.97   ,9.29                 ,1.38                         ,4.41              ,-49.59               ,0.83         ,10.34             ,6.64         ,4.82                            ,4.62         ,4.47                       ,              0.52 ,5.78     ,1.11               ,1.36                         ,-27.39        ,7.95                  ,-2.01               ,45.65      ,-3.2                        ,-88.03         ,- -                      ,240.38                   ,-22.96                         ,-4.56                 ,-84.68                      ,-7.33                          ,5.71           ,-15.71         ,- -                         ,-73.52                         ,-211.51             ,-4.56                ,-156.1         ,18.98                ,-47.39                  ,-0.24602545626572514
10 ,2020 ,-4.06                    ,-2.49           ,-7.74        ,- -                        ,- -                    ,-35.54                  ,30.53                       ,-41.46        ,-35.47                      ,                     0.31 ,-33.35            ,                       0.31 ,-33.35              ,-7.86  ,-3.96             ,-35.54 ,-35.54 ,-3.83            ,-32.81               ,-30.31            ,-2.96              ,5.64               ,12.92                ,12.95                          ,12.95                   ,-25.6                   ,-2.6        ,60.35           ,4.36                 ,2.93                           ,4.89                      ,9.15                         ,1.12            ,3.38                    ,3.47         ,1.82                ,-36.68  ,20.33                ,-9.97                     ,11.87   ,3.81                 ,7.16                         ,4.47              ,0.51                 ,0.51         ,2.88              ,6.45         ,1.12                            ,0.85         ,3.47                       ,              0.31 ,3.92     ,3.04               ,-2.52                        ,15.92         ,-23.01                ,-1.14               ,-35.47     ,12.92                       ,101.97         ,- -                      ,97.87                    ,-36.4                          ,11.04                 ,241.67                      ,-40.28                         ,5.97           ,198.98         ,- -                         ,-350                           ,-106.68             ,11.04                ,547.37         ,4.94                 ,-4.88                   ,-0.20123983630521813
11 ,2021 ,-45.71                   ,-53.5           ,-26.46       ,- -                        ,- -                    ,-4.18                   ,120.6                       ,-29.1         ,-17.3                       ,                     0.31 ,-13.36            ,                       0.31 ,-13.36              ,-2.25  ,80.04             ,-4.18  ,-4.18  ,35.45            ,76.49                ,60.07             ,-44.29             ,0.03               ,-1.42                ,1.36                           ,1.36                    ,-38.11                  ,-66.26      ,77.34           ,11.1                 ,-21.83                         ,-27.74                    ,-98.32                       ,181.56          ,1.97                    ,2.86         ,-23.06              ,-11.66  ,111.48               ,26.15                     ,-12.24  ,10.33                ,0.53                         ,3.99              ,4.91                 ,4.91         ,1.24              ,-19.12       ,5.55                            ,-0.21        ,2.86                       ,              0.31 ,-12.42   ,-12.23             ,-3.05                        ,-11.93        ,-236.82               ,-2.54               ,-6.4       ,-1.42                       ,-348.53        ,- -                      ,-1.43                    ,-28.88                         ,-0.83                 ,14.63                       ,-23.5                          ,0.34           ,-37.19         ,- -                         ,422.76                         ,929.55              ,-0.83                ,30.32          ,52.06                ,-18.16                  ,0.14590029695951556
12 ,2022 ,6.36                     ,1.04            ,14.64        ,- -                        ,- -                    ,23.68                   ,-11.09                      ,45.28         ,27.1                        ,                     0.72 ,26.3              ,                       0.71 ,26.3                ,-33.25 ,-37.24            ,23.68  ,23.68  ,7.79             ,16.29                ,19.6              ,75.84              ,-11.52             ,-56.98               ,-39.43                         ,-39.43                  ,24.29                   ,29.95       ,-73.44          ,-47.44               ,7                              ,7.62                      ,-7.2                         ,-65.52          ,-26.07                  ,-28.32       ,13.6                ,29.02   ,-75.81               ,-34.14                    ,14.53   ,-52.26               ,-26.93                       ,-28.11            ,2.87                 ,2.87         ,-72.87            ,-76.8        ,-28.06                          ,-28.89       ,-28.32                     ,              1.53 ,17.05    ,64.6               ,-8.38                        ,-20.19        ,59.51                 ,-39.52              ,18.7       ,-56.98                      ,-387.16        ,- -                      ,-49.64                   ,61.69                          ,-10.45                ,-80.14                      ,110.73                         ,-10.89         ,67.54          ,-51.04                      ,109.89                         ,-216.78             ,-10.45               ,-54.18         ,-2.06                ,27.11                   ,0.2773349493021957
13 ,2023 ,13.89                    ,15.88           ,11.14        ,- -                        ,- -                    ,20.98                   ,43.44                       ,12.44         ,13.34                       ,                     1.01 ,6.2               ,                       1.01 ,6.21                ,11.73  ,-1.89             ,20.98  ,20.98  ,-2.41            ,6.23                 ,-5.8              ,8.76               ,6.34               ,0.65                 ,9.34                           ,9.34                    ,-5.62                   ,6.09        ,21.32           ,6.01                 ,6.54                           ,6.87                      ,8.19                         ,6.52            ,6.54                    ,6.5          ,-10.88              ,-10.53  ,-5.53                ,-9.61                     ,12.39   ,7.34                 ,10.34                        ,7.35              ,0.99                 ,0.99         ,19.43             ,13.79        ,4.09                            ,4.09         ,6.5                        ,              0.5  ,9.89     ,5.57               ,-1.31                        ,17.29         ,-13.97                ,4.72                ,7.23       ,0.65                        ,-79.87         ,- -                      ,-62.3                    ,-3.43                          ,3.65                  ,- -                         ,5.51                           ,7.42           ,-27.57         ,-75.13                      ,68.64                          ,-102.08             ,3.65                 ,18.8           ,-17.06               ,-9.98                   ,-0.38193883632199377
