   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,10.9                     ,10.04           ,15.74        ,-8.6                       ,- -                    ,92.91                   ,-26.44                      ,175.07        ,141.78                      ,15.31                     ,109.41            ,26.15                       ,91.43               ,28.09  ,15.5              ,92.91   ,92.91   ,4.37             ,73.96                ,117.75            ,33.89              ,- -                ,-15.14               ,-15.87                         ,-29.14                  ,-5.58                   ,17.38       ,- -             ,-8.03                ,2.39                           ,1.84                      ,-27.46                       ,-62.16          ,-27.39                  ,-14.24       ,-28.05              ,141.43  ,83.62                ,51.1                      ,-45.51  ,-21.91               ,-39.89                       ,-17.26            ,23.91                ,11.76        ,-48.25            ,31.75        ,-91.39                          ,-91.75       ,-14.24                     ,13.22              ,-19.47   ,876.18             ,-89.09                       ,-39.13        ,-23.61                ,-17.17              ,141.92     ,-15.14                      ,-92.29         ,- -                      ,-179.76                  ,-25.84                         ,0.81                  ,-123.08                     ,4.37                           ,- -            ,-32.99         ,-45.35                      ,6.97                           ,722.34              ,0.81                 ,-35.32         ,162.5                ,-69.29                  ,0.5511722589383252
 1 ,2011 ,5.16                     ,7.75            ,-8.82        ,-8.61                      ,- -                    ,-11.02                  ,-187.31                     ,21.43         ,208.4                       ,9.97                      ,180.14            ,-1.6                        ,213.1               ,-16.09 ,-20.21            ,-11.02  ,-11.02  ,-13.29           ,-15.39               ,192.97            ,5.16               ,- -                ,-23.78               ,0.55                           ,15.83                   ,0.11                    ,-0.27       ,- -             ,0.23                 ,51.9                           ,24.11                     ,-79.39                       ,172.93          ,29.92                   ,8.3          ,6.75                ,-3.25   ,-11.07               ,-2.73                     ,-5.05   ,11.28                ,- -                          ,-1.24             ,0.49                 ,- -          ,-284.5            ,30.89        ,-2332.99                        ,-2447.51     ,8.3                        ,1.01               ,-7.67    ,-103.93            ,-1957.99                     ,3.04          ,-15.76                ,- -                 ,208.08     ,-23.78                      ,-2966.22       ,402.94                   ,274.33                   ,-14.75                         ,4.91                  ,172.47                      ,-144.02                        ,- -            ,25.76          ,- -                         ,-82.63                         ,-141.45             ,4.91                 ,-25.65         ,-30.46               ,-72.33                  ,-0.35911039900454744
 2 ,2012 ,-1.51                    ,-0.91           ,-5.3         ,5.93                       ,- -                    ,-23.01                  ,60.05                       ,-12.01        ,-72.25                      ,0.58                      ,-72.39            ,-2.34                       ,-71.57              ,-5.84  ,-4.4              ,-23.01  ,-23.01  ,-3.85            ,-21.83               ,-71.81            ,-5.54              ,- -                ,24.53                ,0.49                           ,-8.68                   ,4.24                    ,24.76       ,- -             ,4.13                 ,14.3                           ,6.5                       ,10.56                        ,3.73            ,10.48                   ,6.2          ,8.94                ,-3.84   ,2.24                 ,0.53                      ,12.03   ,7.43                 ,10.45                        ,6.01              ,0.35                 ,5.26         ,39.21             ,21.99        ,6.12                            ,8.23         ,6.2                        ,3.41               ,8.57     ,0.32               ,2.03                         ,3.58          ,-5.5                  ,4.27                ,-72.24     ,24.53                       ,-124.32        ,-18.13                   ,14.84                    ,-7.55                          ,27.84                 ,-187.55                     ,369.91                         ,- -            ,-13.2          ,-109.34                     ,-187.36                        ,-161.55             ,27.84                ,-35.22         ,14.52                ,232.91                  ,0.09194798191561881
 3 ,2013 ,10.0                     ,5.94            ,37.13        ,-5.89                      ,- -                    ,120.88                  ,-15.06                      ,88.15         ,112.87                      ,3.15                      ,106.46            ,1.79                        ,109.2               ,74.37  ,58.51             ,120.88  ,120.88  ,24.66            ,100.8                ,93.59             ,3.92               ,100                ,23.47                ,1.74                           ,-7.61                   ,6.64                    ,4.7         ,- -             ,5.12                 ,18.28                          ,8.96                      ,13.34                        ,-6.88           ,9.9                     ,6.74         ,1.06                ,-1.8    ,7.92                 ,0.96                      ,15.58   ,-25.24               ,1.91                         ,1.51              ,2.12                 ,- -          ,29.37             ,-20.23       ,63.74                           ,62.32        ,6.74                       ,0.96               ,12.1     ,-30.94             ,52.38                        ,4.12          ,-4.27                 ,5.85                ,112.87     ,23.47                       ,-248.19        ,13.57                    ,-7.26                    ,15.47                          ,20.21                 ,-7.54                       ,38.08                          ,106.29         ,20.51          ,70.4                        ,119.51                         ,-25.06              ,20.21                ,8.15           ,3.06                 ,-45.78                  ,-0.07284712917393255
 4 ,2014 ,-1.93                    ,7.19            ,-48.99       ,9.14                       ,- -                    ,-97.41                  ,-42.25                      ,-91.41        ,-89.7                       ,-0.58                     ,-89.64            ,-3.16                       ,-89.37              ,-59.93 ,-59.14            ,-97.41  ,-97.41  ,-47.99           ,-97.36               ,-89.5             ,-5.08              ,24.74              ,13.43                ,-14.82                         ,-25.65                  ,6.31                    ,2.1         ,- -             ,0.19                 ,12.07                          ,4.5                       ,-8.75                        ,3.94            ,8.76                    ,3.18         ,2.34                ,2.91    ,8.69                 ,4.03                      ,4.4     ,6.99                 ,5.04                         ,4.61              ,-1.55                ,- -          ,-59.71            ,-71.12       ,-6.41                           ,-6.3         ,3.18                       ,0.63               ,8.18     ,15.45              ,-9.37                        ,-3.69         ,12.34                 ,3.31                ,-89.7      ,13.43                       ,-258.73        ,13.21                    ,-92.53                   ,38.9                           ,13.13                 ,-194.29                     ,7.06                           ,24.02          ,-1.23          ,822.07                      ,-57.91                         ,176.78              ,13.13                ,83.1           ,-23.8                ,1248.74                 ,-0.07693827761272298
 5 ,2015 ,3.8                      ,-0.07           ,45.75        ,-9.11                      ,- -                    ,2002.71                 ,262.64                      ,730.79        ,499.27                      ,1.46                      ,490.34            ,1.11                        ,492.36              ,92.74  ,85.68             ,2002.71 ,2002.71 ,40.41            ,1925.65              ,476.99            ,-2.46              ,20.18              ,7.32                 ,12.92                          ,32.68                   ,-39.47                  ,5.71        ,- -             ,-22.19               ,7.34                           ,4.36                      ,-3.96                        ,208.12          ,59.34                   ,7.82         ,4.22                ,9.71    ,3.16                 ,6.76                      ,12.35   ,-10.23               ,6.7                          ,6.73              ,1.58                 ,2.5          ,52.98             ,18.84        ,17.2                            ,15.9         ,7.82                       ,0.55               ,9.38     ,-5.63              ,7.58                         ,-27.12        ,-19.93                ,6.42                ,499.27     ,7.32                        ,-52.33         ,10.56                    ,559.16                   ,11.85                          ,-3.58                 ,-120.48                     ,23.85                          ,21.93          ,26.13          ,-93.43                      ,316.77                         ,-235.57             ,-3.58                ,28.19          ,-13.53               ,-81.33                  ,-0.04676666789093331
 6 ,2016 ,1.5                      ,2.45            ,-5.56        ,1.94                       ,- -                    ,-17.12                  ,-69.49                      ,-33.83        ,-37.59                      ,0.1                       ,-37.82            ,-0.07                       ,-37.71              ,-2.97  ,-4.4              ,-17.12  ,-17.12  ,-6.95            ,-18.34               ,-38.68            ,0.49               ,41.71              ,9.43                 ,10.38                          ,11.44                   ,2.12                    ,6.96        ,15.62           ,5.73                 ,6.37                           ,5.2                       ,2.48                         ,5.54            ,5.85                    ,5.79         ,5.49                ,15.58   ,0.51                 ,9.65                      ,3.81    ,4.7                  ,4                            ,6.37              ,0.97                 ,- -          ,8.46              ,12.08        ,1.84                            ,1.85         ,5.79                       ,-2.48              ,7.15     ,5.21               ,-4.06                        ,-3.58         ,-22.69                ,1.01                ,-37.59     ,9.43                        ,71.66          ,5.53                     ,-172.59                  ,22.33                          ,-2.83                 ,229.55                      ,-3.29                          ,41.85          ,-1.35          ,12.4                        ,-48.13                         ,-55.01              ,-2.83                ,42.39          ,-24.52               ,96.55                   ,-0.17440760449852943
 7 ,2017 ,3.28                     ,3.94            ,-2.09        ,5.06                       ,- -                    ,-15.64                  ,228.46                      ,20.27         ,68.63                       ,0.05                      ,68.38             ,-0.03                       ,68.51               ,-7.24  ,-10.18            ,-15.64  ,-15.64  ,-5.2             ,-18.32               ,63.12             ,2.77               ,-23.5              ,-1.66                ,0.26                           ,16.27                   ,9.48                    ,25.6        ,15.47           ,7.69                 ,4.37                           ,5.41                      ,-6.63                        ,14.95           ,9.43                    ,8.63         ,9.29                ,3.93    ,1.62                 ,4.78                      ,10.04   ,1.75                 ,8.28                         ,6.77              ,0.98                 ,- -          ,40.12             ,-0.77        ,21.97                           ,21.93        ,8.63                       ,3.23               ,6.87     ,-12.35             ,12.29                        ,2.77          ,4.93                  ,0.5                 ,68.63      ,-1.66                       ,-104.34        ,17.14                    ,33.47                    ,-8.84                          ,0.82                  ,-294.64                     ,-23.48                         ,-23.46         ,-5.61          ,-9.66                       ,-54.14                         ,9.34                ,0.82                 ,-14.08         ,9.69                 ,-45.89                  ,-0.10687257537461958
 8 ,2018 ,2.27                     ,3.82            ,-10.98       ,-1.08                      ,- -                    ,-34.38                  ,-65.16                      ,-46.75        ,-52.37                      ,-0.03                     ,-52.43            ,- -                         ,-52.44              ,-13.65 ,-15.57            ,-34.38  ,-34.38  ,-12.96           ,-35.84               ,-53.49            ,3.81               ,12.45              ,-1.85                ,-12.78                         ,-9.59                   ,4.36                    ,0.39        ,1.05            ,-1.84                ,2.73                           ,2.27                      ,-12.19                       ,-1.55           ,0.14                    ,-0.76        ,-7.52               ,3.63    ,4.98                 ,1.02                      ,-1.9    ,-5.25                ,-2.56                        ,-1.04             ,0.74                 ,- -          ,3.48              ,5.85         ,0.99                            ,1.01         ,-0.76                      ,0.32               ,1.25     ,0.24               ,1.42                         ,-2.84         ,8.35                  ,-1.49               ,-52.37     ,-1.85                       ,-834.25        ,-22.36                   ,-34.24                   ,-16.99                         ,10.44                 ,54.05                       ,-16.01                         ,12.42          ,6.59           ,25.19                       ,-103.59                        ,-163.9              ,10.44                ,-34.49         ,-31.2                ,74.54                   ,-0.28110740721983574
 9 ,2019 ,-2.77                    ,-1.08           ,-19.66       ,-2.12                      ,- -                    ,-82.08                  ,-206.3                      ,-114.73       ,-97.73                      ,-0.05                     ,-98.72            ,0.15                        ,-98.72              ,-21.97 ,-19.75            ,-82.08  ,-82.08  ,-17.37           ,-81.57               ,-98.69            ,1.84               ,-17.72             ,0.92                 ,2.06                           ,4.7                     ,-4.06                   ,-3.87       ,45.6            ,-0.53                ,0.62                           ,0.79                      ,-7.01                        ,3.23            ,1.83                    ,0.78         ,-3.14               ,1.53    ,12.52                ,2.68                      ,1.68    ,2.41                 ,1.82                         ,2.19              ,0.72                 ,- -          ,-10.36            ,4.91         ,-7.64                           ,-7.86        ,0.78                       ,-2.61              ,0.22     ,8.78               ,-8.73                        ,-3.12         ,5.57                  ,-4.52               ,-97.73     ,0.92                        ,77.92          ,19.37                    ,375.04                   ,17.42                          ,-1.97                 ,-117.54                     ,-15.62                         ,-17.76         ,-5.04          ,44.51                       ,2464.75                        ,-157.97             ,-1.97                ,38.28          ,6.5                  ,9086.33                 ,0.0076165769268763395
