   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   17.57 ,          15.6  ,       19.46 ,8.49                       ,- -                    ,45.27                   ,-43.96                      ,44.76         ,43.94                       ,-0.63                     ,44.84             ,-0.63                       ,44.84               ,40.07  ,19.14             ,45.27 ,45.27 ,1.61             ,23.56                ,22.43             ,6.6                ,72.02              ,                1.67 ,-10.3                          ,-12.84                  ,                  26.13 ,9.63        ,20.34           ,10.19                ,8.48                           ,10.65                     ,-17.41                       ,273.51          ,10.9                    ,10.37        ,35.71               ,- -     ,- -                  ,35.71                     ,- -     ,18.2                 ,18.2                         ,33.2              ,223.02               ,- -          ,7.02              ,38.04        ,7.7                             ,7.7          ,10.37                      ,- -                ,-12.84   ,-19.07             ,-2.42                        ,-18.81        ,-12.23                ,10.29               ,43.94      ,                       1.67 ,-29.02         ,4.68                     ,-230.17                  ,-21.43                         ,40.08                 ,-97.99                      ,-2.08                          ,70.95          ,- -            ,- -                         ,23.48                          ,-129.33             ,40.08                ,-34.17         ,62.55                ,-45.41                  ,0.34879705134161787
 1 ,2011 ,                   21.92 ,          21.75 ,       22.07 ,15.33                      ,- -                    ,33.77                   ,-70.77                      ,33.54         ,34.89                       ,0.07                      ,34.8              ,0.34                        ,34.43               ,31.7   ,8.03              ,33.77 ,33.77 ,0.13             ,9.72                 ,10.64             ,6.78               ,4.81               ,                9.88 ,-14.68                         ,-18.11                  ,                  25.34 ,15.93       ,20.48           ,13.86                ,19.86                          ,14.67                     ,- -                          ,-5.74           ,17.31                   ,14.76        ,15.8                ,- -     ,- -                  ,15.8                      ,- -     ,61.77                ,61.77                        ,21.64             ,239.37               ,100.34       ,13.21             ,-19.98       ,13.76                           ,13.76        ,14.76                      ,0.13               ,-18.11   ,-28.01             ,-0.87                        ,-1.68         ,-5.4                  ,14.17               ,34.89      ,                       9.88 ,102.95         ,0.5                      ,104.33                   ,11.64                          ,63.11                 ,- -                         ,40.19                          ,4.88           ,- -            ,- -                         ,-0.54                          ,14.21               ,63.11                ,-11.05         ,19.62                ,-17.23                  ,0.48486735450505036
 2 ,2012 ,                   13.25 ,          13.98 ,       12.58 ,9.53                       ,- -                    ,17.13                   ,211.87                      ,17.23         ,17.49                       ,0.35                      ,17.08             ,0.43                        ,16.98               ,17.41  ,3.67              ,17.13 ,17.13 ,-0.6             ,3.43                 ,3.74              ,13.43              ,90.89              ,               20.91 ,-44.79                         ,-32.35                  ,                   9.91 ,10.71       ,11.82           ,4.09                 ,18.56                          ,15.86                     ,- -                          ,-3.48           ,17.91                   ,7.77         ,8.71                ,- -     ,- -                  ,8.71                      ,- -     ,34.45                ,34.45                        ,13.05             ,225.11               ,0.44         ,3.74              ,24.07        ,6.95                            ,6.95         ,7.77                       ,0.44               ,-32.35   ,-36.74             ,-0.76                        ,-4.25         ,-0.11                 ,-0.15               ,17.49      ,                      20.91 ,-33.53         ,18.52                    ,-40.18                   ,47.6                           ,15.3                  ,- -                         ,-4.47                          ,91.56          ,- -            ,- -                         ,80.13                          ,50.37               ,15.3                 ,73.72          ,-24.05               ,25.63                   ,-0.03353794688984446
 3 ,2013 ,                    6.14 ,           5.77 ,        6.5  ,7.03                       ,- -                    ,5.75                    ,67.7                        ,5.83          ,6.68                        ,0.22                      ,6.44              ,0.18                        ,6.49                ,6.72   ,0.54              ,5.75  ,5.75  ,0.33             ,-0.37                ,0.51              ,-6.95              ,-35.5              ,               18.76 ,-26.27                         ,-26.51                  ,                  11.33 ,9.6         ,26.82           ,9.47                 ,26.8                           ,21.41                     ,- -                          ,-2.16           ,26.11                   ,14.32        ,17.46               ,- -     ,- -                  ,17.46                     ,- -     ,23.31                ,23.31                        ,18.64             ,13.06                ,0.07         ,14.29             ,-39.53       ,13.61                           ,13.61        ,14.32                      ,0.06               ,-26.51   ,-35.31             ,-0.62                        ,-6.81         ,4                     ,14.08               ,6.68       ,                      18.76 ,0.54           ,12.5                     ,18.95                    ,5                              ,49.23                 ,- -                         ,88.23                          ,-35.35         ,- -            ,-77.91                      ,-28.42                         ,-47.65              ,49.23                ,-18.73         ,-10.72               ,-1.57                   ,-0.26070300215641606
 4 ,2014 ,                   12.25 ,          14.28 ,       10.35 ,10.26                      ,- -                    ,10.48                   ,-44.43                      ,10.37         ,10.14                       ,-0.09                     ,10.24             ,-0.12                       ,10.28               ,10.71  ,-1.38             ,10.48 ,10.48 ,-1.69            ,-1.58                ,-1.87             ,5.3                ,25.01              ,               13.21 ,94.2                           ,95.7                    ,                  11.52 ,10.86       ,-9.02           ,12.41                ,16.65                          ,17.04                     ,- -                          ,-4.21           ,16.26                   ,13.65        ,18.98               ,- -     ,- -                  ,56.51                     ,- -     ,8.34                 ,8.34                         ,46.45             ,-49.59               ,-0.3         ,11.7              ,-170.59      ,8.04                            ,8.04         ,13.65                      ,-0.3               ,-58.13   ,-61.25             ,-4.94                        ,-28.17        ,-3.28                 ,6.6                 ,10.14      ,                      13.21 ,-11.78         ,30.35                    ,-27.17                   ,20.01                          ,-8.26                 ,- -                         ,-6.45                          ,24.9           ,171.15         ,483.06                      ,6.52                           ,-402.65             ,-8.26                ,47.88          ,-8.59                ,8.96                    ,-0.09051266477211817
 5 ,2015 ,                    3.63 ,           4.58 ,        2.72 ,0.97                       ,- -                    ,5.18                    ,-263.86                     ,4.9           ,4.49                        ,-1.7                      ,6.3               ,-1.77                       ,6.38                ,6.36   ,2.63              ,5.18  ,5.18  ,-0.89            ,1.49                 ,0.83              ,-8                 ,12.2               ,               19.16 ,12.68                          ,12.68                   ,                   1.36 ,5.07        ,12.11           ,5.15                 ,7.2                            ,10.99                     ,- -                          ,308.41          ,11.84                   ,7.35         ,9.03                ,-31.06  ,- -                  ,-0.58                     ,- -     ,-19.66               ,422.39                       ,64.72             ,-86.6                ,-2.13        ,-2.31             ,492.18       ,-5.95                           ,-5.95        ,7.35                       ,-2.12              ,-1063.35 ,-1124.27           ,-12.39                       ,5.76          ,1.75                  ,12.65               ,4.49       ,                      19.16 ,5.1            ,-17.02                   ,-12.44                   ,9.52                           ,-18.11                ,- -                         ,-4.32                          ,10.29          ,72.34          ,453.34                      ,35.17                          ,-52.78              ,-18.11               ,26.41          ,-17.49               ,4.81                    ,-0.1108597469979129
 6 ,2016 ,                    2.4  ,           4.01 ,        0.81 ,4.27                       ,- -                    ,-3.87                   ,321.3                       ,-4.39         ,-3.27                       ,-0.88                     ,-2.41             ,-0.97                       ,-2.32               ,-1.6   ,-3.9              ,-3.87 ,-3.87 ,-1.55            ,-6.12                ,-5.54             ,8.25               ,6.89               ,               20.16 ,-12.62                         ,-12.62                  ,                   6.69 ,8.73        ,-25.17          ,3.36                 ,9.87                           ,13.13                     ,- -                          ,-0.78           ,9.27                    ,5.39         ,-14.77              ,-83.11  ,- -                  ,-26.13                    ,25.27   ,46.44                ,28.53                        ,0.63              ,718.19               ,-0.14        ,5.28              ,1.94         ,7.32                            ,7.32         ,5.39                       ,-0.14              ,17.49    ,9.48               ,1.83                         ,39.93         ,3.24                  ,-5.41               ,-3.27      ,                      20.16 ,75.73          ,-29.81                   ,63.71                    ,-6.02                          ,22.09                 ,- -                         ,4.13                           ,5.96           ,-21.81         ,-79.71                      ,0.98                           ,-152.06             ,22.09                ,-17.16         ,13.34                ,-2.85                   ,0.08999197164200146
 7 ,2017 ,                   10.81 ,          11.5  ,       10.12 ,9.69                       ,- -                    ,10.75                   ,38.04                       ,10.56         ,15.84                       ,-0.24                     ,16.12             ,-0.29                       ,16.18               ,12.1   ,1.16              ,10.75 ,10.75 ,-0.63            ,-0.06                ,4.54              ,5.74               ,6.75               ,               22.44 ,3.69                           ,3.69                    ,                  21.63 ,10.06       ,2.4             ,12.49                ,-0.68                          ,7.08                      ,- -                          ,67.71           ,2.81                    ,9.05         ,31.24               ,-71.38  ,- -                  ,27.34                     ,8.56    ,-37.24               ,0.53                         ,10.58             ,-71.68               ,0.28         ,8.79              ,-46.94       ,8.47                            ,8.47         ,9.05                       ,-0.54              ,7.51     ,-0.88              ,-0.53                        ,-11.66        ,-0.64                 ,4.8                 ,15.84      ,                      22.44 ,-155.34        ,26.83                    ,-14.95                   ,13.85                          ,-36.71                ,- -                         ,-4.67                          ,6.5            ,6.84           ,38.96                       ,19.46                          ,-91.31              ,-36.71               ,43.37          ,15.3                 ,-1.72                   ,0.0024374977989516378
 8 ,2018 ,                   13.09 ,          15.24 ,       10.88 ,9.15                       ,- -                    ,13.39                   ,51.95                       ,13.05         ,29.95                       ,-0.43                     ,30.52             ,-0.42                       ,30.49               ,12.77  ,-0.28             ,13.39 ,13.39 ,-1.96            ,0.26                 ,14.91             ,7.45               ,20.25              ,                8.48 ,43.03                          ,43.03                   ,                  17.52 ,17          ,32.09           ,19.66                ,3.49                           ,8.8                       ,- -                          ,-0.86           ,3.13                    ,14.12        ,24.83               ,- -     ,- -                  ,24.62                     ,20.63   ,66.8                 ,25.68                        ,25.22             ,-48.25               ,- -          ,10.94             ,78.49        ,9.81                            ,9.81         ,14.12                      ,-0.59              ,11.64    ,1.66               ,-3.77                        ,-3.98         ,-1.14                 ,5.25                ,29.95      ,                       8.48 ,-364.2         ,-1.92                    ,154.26                   ,15.21                          ,47.04                 ,- -                         ,-3.01                          ,19.72          ,-3.45          ,24.7                        ,9.65                           ,-4238.46            ,47.04                ,7.01           ,-21.52               ,-11.35                  ,0.04629756864839529
 9 ,2019 ,                    7.42 ,           9.82 ,        4.86 ,4.23                       ,- -                    ,5.74                    ,5.13                        ,5.74          ,5.19                        ,-0.12                     ,5.32              ,0.02                        ,5.17                ,5.96   ,-1.36             ,5.74  ,5.74  ,-2.39            ,-1.57                ,-2.08             ,5.94               ,12.97              ,                7.6  ,4.61                           ,4.61                    ,                   3.85 ,6.86        ,11.6            ,6.09                 ,-65.11                         ,-27.48                    ,- -                          ,1167.08         ,33.56                   ,14.4         ,2.28                ,3246.67 ,- -                  ,24.53                     ,-1.37   ,17.77                ,1.41                         ,11.34             ,1088.14              ,- -          ,12.48             ,-14.29       ,15.76                           ,15.76        ,14.4                       ,0.41               ,-48.89   ,-55.85             ,1.19                         ,-14.81        ,1.13                  ,1.4                 ,5.19       ,                       7.6  ,-46.24         ,11.76                    ,-53.54                   ,24.99                          ,39.76                 ,- -                         ,37.84                          ,12.83          ,-7.14          ,- -                         ,33.28                          ,-85.32              ,39.76                ,19.76          ,10.01                ,18.83                   ,0.16197149942728473
