   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA    ,EBIT     ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt  ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,26.21                    ,15.14           ,39.27        ,18.69                      ,- -                    ,37.81                   ,-27.23                      ,46.35         ,56.88                       ,10.37                     ,53.2              ,1.17                        ,67.13               ,30.93   ,3.74              ,37.81    ,37.81    ,10.35            ,9.19                 ,24.97             ,44.88              ,287.73             ,-8.88                ,40.74                          ,40.74                   ,34.5                    ,19.65       ,144.23          ,32.53                ,3.64                           ,7.3                       ,- -                          ,16.13           ,5.24                    ,13.04        ,38.54               ,493.75  ,-10.19               ,25.35                     ,-26.38  ,8.4                  ,-9.59                        ,-2.71             ,19.85                ,9.18         ,-55.38            ,18.32        ,37.12                           ,35.35        ,13.04                      ,9.88               ,-72.44    ,-79.64             ,66.72                        ,5.73          ,12.09                 ,-12.89              ,56.88      ,-8.88                       ,27.02          ,18.63                    ,21.69                    ,42.67                          ,-11.03                ,- -                         ,16.74                          ,327.95         ,-78.79         ,- -                         ,228.26                         ,-39.35              ,-11.03               ,72.99          ,15.11                ,-9.55                   ,0.39873182479184277
 1 ,2011 ,10.0                     ,16.53           ,3.63         ,8.92                       ,201.11                 ,0.79                    ,-42.09                      ,3.59          ,3.66                        ,3.5                       ,3.11              ,0.63                        ,6.05                ,0.57    ,-8.57             ,0.79     ,0.79     ,-5.79            ,-8.37                ,-4.39             ,35.6               ,40.3               ,-1.35                ,29                             ,29                      ,-52.91                  ,12.67       ,-15.75          ,1.99                 ,9.91                           ,11.1                      ,- -                          ,6.04            ,12.74                   ,9.13         ,-16.26              ,-95.79  ,-31.94               ,-21.87                    ,-24.18  ,10.01                ,-4.39                        ,-8.83             ,1.36                 ,- -          ,-121.08           ,43.96        ,25.1                            ,27.42        ,9.13                       ,0.32               ,-226.35   ,-199.16            ,17.24                        ,30.54         ,-11.06                ,-18.88              ,3.66       ,-1.35                       ,-8.89          ,-3.31                    ,-22.84                   ,5.53                           ,79.46                 ,- -                         ,35.63                          ,45.2           ,-31.43         ,- -                         ,-9.66                          ,0.18                ,79.46                ,-15.94         ,-48.01               ,0.35                    ,-0.36845898927688625
 2 ,2012 ,-13.75                   ,5.87            ,-35.25       ,3.86                       ,- -                    ,-37.04                  ,-16.77                      ,-37.78        ,-30.75                      ,0.21                      ,-33.45            ,-0.1                        ,-33.24              ,-31.77  ,-20.89            ,-37.04   ,-37.04   ,-24.93           ,-27                  ,-22.68            ,-19.33             ,-20.83             ,15.36                ,-23.16                         ,-23.16                  ,42.64                   ,18.27       ,80.84           ,2.49                 ,13.82                          ,19.37                     ,-3.95                        ,20.44           ,14.17                   ,10.51        ,5.24                ,-50     ,47.96                ,13.71                     ,-0.23   ,3.08                 ,1.98                         ,4.53              ,0.59                 ,- -          ,339.38            ,8.82         ,12.15                           ,14.87        ,10.51                      ,0.11               ,-86.15    ,-87.94             ,4.06                         ,-9.87         ,0.27                  ,6.92                ,-30.75     ,15.36                       ,-47.56         ,-14.53                   ,133.2                    ,-42.99                         ,37.88                 ,- -                         ,36.61                          ,-20.66         ,6210.42        ,- -                         ,-52.42                         ,-203.04             ,37.88                ,-93.15         ,13.71                ,-14.51                  ,-0.17415566871258092
 3 ,2013 ,16.16                    ,26.61           ,-2.56        ,52.44                      ,- -                    ,-7.02                   ,63.43                       ,-10.46        ,-13.54                      ,5.58                      ,-17.22            ,5.45                        ,-17.11              ,17.51   ,1.16              ,-7.02    ,-7.02    ,-16.12           ,-19.96               ,-24.13            ,9.41               ,91.35              ,137.23               ,-46.42                         ,-46.42                  ,57.27                   ,9.66        ,5.17            ,-3.16                ,125.73                         ,90.17                     ,-71.84                       ,68.62           ,112.79                  ,79.1         ,51.52               ,15500   ,-17.59               ,42.78                     ,478.55  ,70.21                ,203.66                       ,165.6             ,15.87                ,9.35         ,14.3              ,-19.96       ,19.33                           ,21.75        ,79.1                       ,9.38               ,-10617.42 ,-8738.25           ,-35.3                        ,-32.17        ,-9.64                 ,6.18                ,-13.54     ,137.23                      ,135.55         ,73                       ,-52.08                   ,62.67                          ,51.29                 ,- -                         ,214.99                         ,102.04         ,279.7          ,- -                         ,-313.52                        ,53.98               ,51.29                ,204.64         ,-23.99               ,84.58                   ,-0.09651753758665027
 4 ,2014 ,-4.4                     ,26.35           ,-76.02       ,-11.72                     ,- -                    ,-86.88                  ,242.92                      ,-116.28       ,-129.7                      ,3.69                      ,-147.57           ,3.28                        ,-147.76             ,-43.97  ,-41.4             ,-86.88   ,-86.88   ,-74.92           ,-86.28               ,-149.49           ,-1.39              ,-44.83             ,38.11                ,-76.62                         ,-76.62                  ,0.04                    ,6.84        ,61.43           ,-9.3                 ,-3.93                          ,8.81                      ,84.27                        ,-36.44          ,-7.24                   ,-7.56        ,11.83               ,53.21   ,-29.29               ,8.36                      ,-9.92   ,-3.67                ,-7.56                        ,-5.53             ,0.54                 ,- -          ,-95.33            ,34.32        ,-12.64                          ,-10.49       ,-7.56                      ,0.1                ,-1.79     ,9.72               ,1.49                         ,-16.29        ,-15.71                ,-3.05               ,-121.65    ,38.11                       ,376.45         ,-38.73                   ,7.05                     ,-8.27                          ,36.49                 ,- -                         ,-65.15                         ,-42.79         ,-24.27         ,- -                         ,-209.9                         ,-11.57              ,36.49                ,-285.7         ,-42.41               ,-293.87                 ,-0.47201691230255394
 5 ,2015 ,-26.97                   ,48.24           ,-949.9       ,-3.79                      ,- -                    ,-2030.34                ,-61.58                      ,1666          ,1091.78                     ,4.14                      ,796.24            ,4.14                        ,796.24              ,-320.24 ,-401.57           ,-2030.34 ,-2030.34 ,-1263.75         ,-2743.17             ,1216.9            ,-25.91             ,-55.48             ,-9.47                ,-61.85                         ,-61.85                  ,-16.93                  ,-23.99      ,64.54           ,-17.5                ,-31.34                         ,1.24                      ,-0.3                         ,99.84           ,-21.19                  ,-20.62       ,-26.22              ,35.77   ,12.23                ,-16.72                    ,7.1     ,-17.8                ,-2.69                        ,-4.74             ,9.03                 ,17.09        ,-9777.34          ,-7.54        ,-57.19                          ,-44.85       ,-20.62                     ,19.92              ,9.58      ,98.71              ,-31.18                       ,-0.93         ,-39.35                ,-1.43               ,1522.68    ,-9.47                       ,243.9          ,-19.81                   ,-122.54                  ,-42.82                         ,-11.95                ,- -                         ,64.33                          ,-53.64         ,-5.03          ,161.62                      ,-183.14                        ,-84.22              ,-11.95               ,97.79          ,-60.3                ,-94.05                  ,-0.6941166522016429
 6 ,2016 ,1.53                     ,-36.04          ,-78.89       ,6.99                       ,- -                    ,-75.07                  ,-83.71                      ,-75.42        ,-68.54                      ,21.81                     ,-72.13            ,21.81                       ,-72.13              ,-92.36  ,-92.48            ,-75.07   ,-75.07   ,-79.21           ,-75.45               ,-65.15            ,16.76              ,-99.19             ,-25.36               ,2298.31                        ,2298.31                 ,-5.82                   ,-10.63      ,-49.77          ,39.84                ,-25.5                          ,-2.3                      ,-7.34                        ,-56.31          ,-31.27                  ,-19.88       ,-25.51              ,89.83   ,28.65                ,-0.98                     ,-24.8   ,-8.04                ,-19.23                       ,-16.91            ,9.94                 ,14.6         ,33.53             ,8.95         ,-22.7                           ,-27.72       ,-19.88                     ,15.97              ,-41.52    ,-19.09             ,-10.43                       ,41.22         ,23.26                 ,-13.04              ,-68.34     ,-25.36                      ,-58.19         ,1.18                     ,-50.26                   ,16.06                          ,-55.72                ,- -                         ,-156.88                        ,-99.01         ,-55.5          ,-21.75                      ,-213.64                        ,-1818.33            ,-55.72               ,-129.49        ,261.38               ,228                     ,0.8529509534763531
 7 ,2017 ,10.61                    ,-31.68          ,-263.57      ,-20.1                      ,- -                    ,-206.84                 ,652.13                      ,-183.58       ,-152.95                     ,9.79                      ,-139.84           ,10.32                       ,-139.65             ,-793.1  ,-726.63           ,-206.84  ,-206.84  ,-247.89          ,-196.59              ,-138.07           ,31.67              ,-69.64             ,-34.33               ,6.62                           ,6.62                    ,-16.96                  ,13.92       ,-47.33          ,1.83                 ,-1.28                          ,2.1                       ,-13.53                       ,4.08            ,-0.77                   ,-0.04        ,24.95               ,14.77   ,-14.62               ,15.22                     ,-20.14  ,3.08                 ,-11.36                       ,-7.32             ,0.23                 ,0.64         ,-10.99            ,-11.13       ,31.83                           ,22.03        ,-0.04                      ,0.21               ,-26.13    ,-39.47             ,22.81                        ,-11.62        ,63.51                 ,-16                 ,-153.25    ,-34.33                      ,-97.59         ,-17.44                   ,721.65                   ,24.86                          ,-49.88                ,- -                         ,-137.18                        ,-66.67         ,-74.06         ,- -                         ,-3.51                          ,-92.97              ,-49.88               ,252.38         ,69.63                ,-396.52                 ,0.24325294784121598
 8 ,2018 ,13.56                    ,12.4            ,16.71        ,-11.53                     ,- -                    ,25.96                   ,-7.5                        ,34.11         ,43.37                       ,0.14                      ,43.01             ,0.28                        ,42.81               ,18.35   ,4.22              ,25.96    ,25.96    ,2.77             ,10.92                ,26.1              ,6.78               ,10784.95           ,2.33                 ,-6.83                          ,-6.83                   ,-20.6                   ,8.53        ,47.55           ,-1.52                ,21.81                          ,9.74                      ,20.61                        ,0.18            ,19.03                   ,13.17        ,-3.13               ,-98.8   ,-15.68               ,-32.25                    ,-5.85   ,6.4                  ,-0.46                        ,-6.47             ,-2.74                ,- -          ,-18.21            ,24.23        ,22.83                           ,58.39        ,13.17                      ,0.07               ,-20.44    ,-49.77             ,40.84                        ,45.36         ,-4.8                  ,6.35                ,42         ,2.33                        ,-210.26        ,7.04                     ,-182.31                  ,-17.21                         ,39.79                 ,- -                         ,279.86                         ,10800          ,-33.82         ,131.02                      ,-129.46                        ,-187.93             ,39.79                ,-41.89         ,-43.55               ,-42.19                  ,-0.38868936314725755
 9 ,2019 ,-22.69                   ,-2.53           ,-75.26       ,-6.64                      ,- -                    ,-85.17                  ,-43.73                      ,-92.14        ,-106.6                      ,0.14                      ,-109.17           ,-0.48                       ,-109.23             ,-66.89  ,-57.17            ,-85.17   ,-85.17   ,-68              ,-80.82               ,-111.88           ,-24.65             ,33.3               ,-19.5                ,-52.1                          ,-52.1                   ,-11.72                  ,-9.55       ,55.21           ,-24.36               ,5.62                           ,3.17                      ,-4.11                        ,-12.23          ,3.6                     ,-3.33        ,-5.1                ,188.24  ,-1.9                 ,-3.6                      ,-9.88   ,2.59                 ,-4.02                        ,-3.96             ,-0.7                 ,- -          ,1.98              ,11.74        ,-5.1                            ,-2.48        ,-3.33                      ,0.14               ,12.74     ,15.61              ,0.84                         ,-21.53        ,-4.68                 ,2.61                ,-106.53    ,-19.5                       ,-30.23         ,-17.11                   ,-153.2                   ,-61.64                         ,34.55                 ,- -                         ,-58.09                         ,33.49          ,197.31         ,- -                         ,-272.89                        ,753.73              ,34.55                ,-161.84        ,74.11                ,-517.67                 ,0.0070981169653083764
