   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-2.15                    ,108.58          ,-23.37       ,-32.33                     ,- -                    ,-3.42                   ,-22.78                      ,179.76        ,1108.16                     ,0.32                      ,1104.29           ,0.64                        ,1100.47             ,-2.86  ,-0.73             ,-3.42  ,-3.42  ,-21.69           ,-1.29                ,1134.7            ,-2.84              ,0.41               ,-0.86                ,-14.83                         ,-14.83                  ,22.77                   ,5.99        ,-26.83          ,2.36                 ,                          7.21 ,                     6.98 ,- -                          ,-12.88          ,                   2.86 ,2.71         ,7.54                ,-59.88  ,33.1                 ,2.67                      ,-13.58  ,14.75                ,5.78                         ,4.45              ,9.98                 ,- -          ,8.1               ,77.71        ,1.36                            ,1.36         ,2.71                       ,0.64               ,-107.56  ,-107.46            ,-1.21                        ,-0.31         ,-63.59                ,0.71                ,1108.16    ,-0.86                       ,-65.87         ,2.02                     ,-42.32                   ,13.98                          ,14.52                 ,- -                         ,16.7                           ,0.73           ,- -            ,129.27                      ,-273                           ,-143.51             ,14.52                ,9.52           ,37.7                 ,-90.57                  ,-0.006995526668762908
 1 ,2011 ,13.16                    ,164.65          ,-65.88       ,8.9                        ,- -                    ,-63.94                  ,-95.92                      ,19.59         ,22.64                       ,0.96                      ,21.47             ,0.96                        ,21.47               ,-49.54 ,-55.41            ,-63.94 ,-63.94 ,-69.84           ,-68.13               ,8.38              ,-40.97             ,8.38               ,0.77                 ,19.26                          ,19.26                   ,10.04                   ,12.34       ,20.38           ,13.74                ,                          8.05 ,                     7.62 ,- -                          ,10.02           ,                   8.41 ,9.97         ,11.09               ,-93.13  ,10.65                ,5.1                       ,-0.06   ,17.54                ,12.98                        ,9.68              ,9.77                 ,3.23         ,9.31              ,4.51         ,10.2                            ,10.2         ,9.97                       ,0.96               ,2822.73  ,2552.15            ,0.6                          ,8.22          ,-125.27               ,91.7                ,22.64      ,0.77                        ,65.16          ,-2.97                    ,-42.56                   ,28.78                          ,21.95                 ,- -                         ,22.94                          ,9.42           ,- -            ,14.89                       ,-58.53                         ,-200                ,21.95                ,88.51          ,-11.27               ,5.01                    ,-0.09657861516110267
 2 ,2012 ,8.59                     ,7.79            ,11.82        ,5.39                       ,- -                    ,34.58                   ,-11.39                      ,38.68         ,39.94                       ,- -                       ,39.94             ,- -                         ,39.94               ,22.36  ,12.69             ,34.58  ,34.58  ,2.98             ,23.93                ,28.88             ,5.35               ,8.61               ,7.1                  ,22.12                          ,22.12                   ,2.69                    ,0.69        ,13.84           ,9.31                 ,                         10.97 ,                     7.36 ,- -                          ,1.18            ,                   9.15 ,9.19         ,0.17                ,2216.67 ,6.86                 ,10.08                     ,-25.01  ,52.28                ,34.59                        ,24.75             ,4.41                 ,- -          ,12.24             ,94.24        ,-3.24                           ,-3.24        ,9.19                       ,-0.13              ,82.89    ,89.02              ,-12.84                       ,-0.7          ,231.62                ,3.07                ,39.94      ,7.1                         ,60.86          ,7.14                     ,151.51                   ,19.65                          ,16.69                 ,- -                         ,18.43                          ,8.61           ,- -            ,-163.89                     ,-14.98                         ,61.79               ,16.69                ,36.41          ,-18.96               ,-14.5                   ,-0.02876595161754758
 3 ,2013 ,3.77                     ,-1.32           ,23.61        ,- -                        ,- -                    ,53.43                   ,322.35                      ,38.11         ,33.66                       ,- -                       ,33.66             ,- -                         ,33.66               ,37.68  ,32.68             ,53.43  ,53.43  ,19.12            ,47.87                ,28.81             ,-1.33              ,7.93               ,12.92                ,72.95                          ,72.95                   ,7.23                    ,3.86        ,-19.93          ,24.49                ,                          7.17 ,                     5.38 ,- -                          ,5.83            ,                   6.94 ,12.25        ,19.38               ,-39.81  ,-11.51               ,7                         ,119.12  ,-10.2                ,6.29                         ,6.54              ,2.78                 ,- -          ,8.08              ,-22.88       ,18.14                           ,18.14        ,12.25                      ,-0.01              ,63.86    ,38.7               ,5.97                         ,16.35         ,-4.87                 ,5.17                ,33.66      ,12.92                       ,-92.07         ,3.81                     ,-35.93                   ,-3.04                          ,-15.77                ,- -                         ,-6.08                          ,7.93           ,73.9           ,-149.28                     ,-585.25                        ,281.73              ,-15.77               ,58.57          ,18.86                ,-27.46                  ,0.27978459037280223
 4 ,2014 ,2.89                     ,6.87            ,-9.51        ,- -                        ,- -                    ,-25.11                  ,-79.23                      ,-15.68        ,-14.43                      ,-2.54                     ,-12.2             ,-2.21                       ,-12.5               ,-14.41 ,-16.82            ,-25.11 ,-25.11 ,-12.05           ,-27.21               ,-16.84            ,2.58               ,8.4                ,8.42                 ,-40.86                         ,-40.86                  ,8.25                    ,1.31        ,-0.47           ,-14.11               ,                          5.77 ,                     6.78 ,- -                          ,0.74            ,                   4.91 ,-1.48        ,0.02                ,-99.6   ,-15.76               ,-7.62                     ,72.91   ,0.85                 ,19.79                        ,10.04             ,-0.93                ,- -          ,-12.37            ,-113.25      ,-12.19                          ,-12.19       ,-1.48                      ,-9.84              ,-194.91  ,-208.09            ,-13.23                       ,-7.03         ,4.2                   ,0.31                ,-14.43     ,8.42                        ,396.69         ,7.34                     ,133.27                   ,-9.04                          ,4.68                  ,- -                         ,-6.63                          ,5.65           ,14.84          ,-12747.06                   ,-329.65                        ,-196.96             ,4.68                 ,-44.33         ,51.69                ,6.3                     ,0.09999316119929458
 5 ,2015 ,4.14                     ,8.57            ,-12.15       ,- -                        ,- -                    ,-43.83                  ,228.66                      ,-55.52        ,-54.82                      ,-7.82                     ,-50.99            ,-7.42                       ,-51.2               ,-25.74 ,-28.69            ,-43.83 ,-43.83 ,-15.64           ,-46.06               ,-56.61            ,-4.95              ,31.68              ,0.93                 ,29.4                           ,29.4                    ,4.74                    ,7.56        ,-58.33          ,6.73                 ,                          6.78 ,                     5.34 ,- -                          ,38.68           ,                  12.01 ,10.47        ,12.67               ,1800    ,8.02                 ,12.12                     ,53.06   ,7.59                 ,24.85                        ,21.05             ,5.35                 ,- -          ,4.13              ,-66.01       ,-1.86                           ,-1.86        ,10.47                      ,-1.05              ,91.63    ,95.26              ,-18.14                       ,-4.81         ,5.27                  ,9.56                ,-54.82     ,0.93                        ,256.41         ,13.68                    ,-64.98                   ,25.84                          ,23.04                 ,- -                         ,61.98                          ,21.39          ,24.74          ,-78.28                      ,-149.61                        ,-148.01             ,23.04                ,39.4           ,-10.16               ,178.54                  ,-0.12970758206104172
 6 ,2016 ,6.14                     ,2.94            ,20.68        ,- -                        ,- -                    ,43.58                   ,-34.69                      ,68.41         ,73.33                       ,-2.47                     ,77.73             ,-2.79                       ,78.3                ,20.07  ,13.13             ,43.58  ,43.58  ,13.7             ,35.28                ,63.31             ,-12.39             ,25.12              ,0.77                 ,-6.09                          ,-6.09                   ,26.81                   ,-0.4        ,99.15           ,16                   ,                         16.33 ,                     9.69 ,- -                          ,82.03           ,                  29.68 ,25.81        ,33.82               ,52.63   ,36.94                ,34.45                     ,89.45   ,25.21                ,55.1                         ,49.39             ,3.76                 ,- -          ,8.7               ,-198.26      ,-8.06                           ,-8.06        ,25.81                      ,-5.99              ,191.81   ,217.41             ,-53.25                       ,-13.72        ,0.41                  ,21.15               ,73.33      ,0.77                        ,-16.25         ,8.27                     ,22.88                    ,6.37                           ,10.84                 ,- -                         ,64.22                          ,22.03          ,161.7          ,171.84                      ,167.68                         ,-113.19             ,10.84                ,-12.66         ,-14.97               ,-38.63                  ,0.16534415174077233
 7 ,2017 ,19.76                    ,17.39           ,28.95        ,- -                        ,- -                    ,48.39                   ,-103.86                     ,67.12         ,64.67                       ,-3.62                     ,70.86             ,-3.23                       ,70.16               ,32.46  ,10.6              ,48.39  ,48.39  ,7.67             ,23.9                 ,37.5              ,16.8               ,59.57              ,13.84                ,12.31                          ,12.31                   ,4.78                    ,3.63        ,-22.77          ,5.33                 ,                          6.99 ,                     7.67 ,- -                          ,2.65            ,                   5.75 ,5.64         ,-1.11               ,-24.14  ,-0.74                ,-1.12                     ,8.56    ,-7.49                ,1.63                         ,0.94              ,3.86                 ,- -          ,13.4              ,145.56       ,16.61                           ,16.61        ,5.64                       ,1.03               ,7.18     ,-8.09              ,30.09                        ,6.53          ,-6.79                 ,2.54                ,64.67      ,13.84                       ,-36.45         ,6.94                     ,310.06                   ,-13.63                         ,6.19                  ,- -                         ,-47.27                         ,53.79          ,-81.75         ,-93.23                      ,-85.38                         ,-475.59             ,6.19                 ,-120.9         ,19.08                ,-47.55                  ,0.15793044841750814
 8 ,2018 ,8.51                     ,9.25            ,5.89         ,- -                        ,- -                    ,1.88                    ,-2400                       ,-4.94         ,52.55                       ,0.38                      ,51.98             ,0.74                        ,51.43               ,2.46   ,-5.57             ,1.88   ,1.88   ,-2.41            ,-6.1                 ,40.59             ,1.17               ,25.12              ,3.34                 ,-17.74                         ,-17.74                  ,11.61                   ,2.14        ,95.97           ,5.65                 ,                          8.36 ,                     8.88 ,- -                          ,8.97            ,                   8.53 ,7.78         ,3.01                ,6000    ,13.22                ,21.58                     ,2.24    ,-16.66               ,-5.19                        ,1.34              ,3.69                 ,- -          ,19.15             ,39.28        ,20.8                            ,20.8         ,7.78                       ,-0.87              ,21.51    ,0.59               ,29.85                        ,-13.11        ,5.33                  ,7.25                ,52.55      ,3.34                        ,-59.04         ,8.44                     ,57.13                    ,-5.19                          ,10.69                 ,- -                         ,13.97                          ,25.59          ,24.37          ,301.16                      ,-57.01                         ,-262.68             ,10.69                ,431.72         ,27.77                ,-37.85                  ,-0.28436551142557054
 9 ,2019 ,6.48                     ,6.85            ,5.14         ,- -                        ,- -                    ,2.88                    ,1281.61                     ,-84.95        ,-88.19                      ,-1.87                     ,-87.96            ,-3.68                       ,-87.74              ,5.06   ,-1.34             ,2.88   ,2.88   ,-1.26            ,-3.38                ,-88.91            ,-0.69              ,30.1               ,8.34                 ,-28.97                         ,-28.97                  ,7.49                    ,5.33        ,2.62            ,-1.91                ,                          8.08 ,                     7.96 ,- -                          ,0.49            ,                   5.97 ,3.96         ,1.92                ,-28.17  ,-21.62               ,-6.38                     ,9.01    ,36.95                ,18.66                        ,11.34             ,3.62                 ,- -          ,-0.7              ,49.65        ,-8.54                           ,-8.54        ,3.96                       ,-1.92              ,14.58    ,25.28              ,-16.72                       ,4.77          ,5.4                   ,7.23                ,-88.19     ,8.34                        ,801.71         ,4.19                     ,-28.01                   ,20.09                          ,-3.05                 ,- -                         ,-3.59                          ,27.66          ,66.42          ,99.86                       ,-557.71                        ,15.85               ,-3.05                ,-112.44        ,-45.21               ,916.76                  ,-0.33655796536824645
