   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    1.37 ,0.25            ,        2.95 ,-1.46                      ,- -                    ,6.45                    ,0.94                        ,8.04          ,6.98                        ,-2.65                     ,7.04              ,-2.38                       ,6.74                ,5.24   ,3.81              ,6.45   ,6.45   ,1.55             ,5.01                 ,2.79              ,6.71               ,- -                ,1.8                  ,55.1                           ,55.1                    ,3.25                    ,- -         ,-21.67          ,10.96                ,-8.87                          ,                     3.18 ,- -                          ,-3.1            ,-3.34                   ,-1.16        ,-4.96               ,-98.84  ,4.15                 ,-23.26                    ,-0.86   ,-0.12                ,-0.72                        ,-5.61             ,3.16                 ,- -          ,            11.35 ,-27.54       ,6.71                            ,6.71         ,-1.16                      ,-4.11              ,-14.8    ,-20.15             ,-10.74                       ,44.59         ,-3.48                 ,-5                  ,6.98       ,1.8                         ,30.11          ,8.33                     ,-81.4                    ,12.71                          ,-11.62                ,- -                         ,-53.23                         ,- -            ,- -            ,170                         ,11.65                          ,17000               ,-11.62               ,20.09          ,8.77                 ,8.16                    ,0.08009369327414095
 1 ,2011 ,                    4.94 ,6.54            ,        2.75 ,7.97                       ,- -                    ,-1.09                   ,24.77                       ,-8.07         ,-2.96                       ,-52.61                    ,100.8             ,-52.47                      ,100.22              ,-0.07  ,-4.77             ,-1.09  ,-1.09  ,-2.09            ,-5.74                ,-9.31             ,-0.31              ,- -                ,2.95                 ,-40.14                         ,-40.14                  ,16.43                   ,- -         ,25.18           ,-4.3                 ,-3.37                          ,                     2.49 ,- -                          ,5.11            ,4.78                    ,3.22         ,55.68               ,5866.67 ,5.13                 ,55.33                     ,-4.09   ,-14.6                ,-6.13                        ,4.71              ,3.59                 ,- -          ,             9.7  ,56           ,0.9                             ,0.9          ,3.22                       ,-4.63              ,9.49     ,8.51               ,14.86                        ,-38.39        ,-141.84               ,5.26                ,-96.25     ,2.95                        ,400            ,- -                      ,150                      ,-0.52                          ,8.57                  ,- -                         ,473.28                         ,- -            ,58.96          ,31.05                       ,-25.78                         ,-222.81             ,8.57                 ,-2.55          ,-53.02               ,4.54                    ,0.003105612294992177
 2 ,2012 ,                    3.34 ,2.16            ,        5.01 ,3.75                       ,- -                    ,6.02                    ,-37.45                      ,21.95         ,21.59                       ,90.53                     ,-32.06            ,90.71                       ,-32.12              ,4.83   ,1.44              ,6.02   ,6.02   ,1.62             ,2.59                 ,25.26             ,3.34               ,- -                ,1.43                 ,6.23                           ,6.23                    ,-0.45                   ,- -         ,10.76           ,4.13                 ,-3.49                          ,                     3.82 ,- -                          ,-1.41           ,-1.49                   ,-0.6         ,-13.4               ,-98.88  ,2.71                 ,-20.16                    ,0.37    ,8.26                 ,1.77                         ,-3.97             ,3.47                 ,- -          ,            11.44 ,-23.08       ,4.88                            ,4.88         ,-0.6                       ,-4.78              ,-6.08    ,-10.45             ,-11.63                       ,30.42         ,282.05                ,- -                 ,3042.11    ,1.43                        ,-106.28        ,12.82                    ,290                      ,-12.38                         ,1.58                  ,-149.12                     ,-79.25                         ,- -            ,23.55          ,16.96                       ,41.77                          ,-95.71              ,1.58                 ,-15.86         ,182.82               ,-32.31                  ,0.2113635286134854
 3 ,2013 ,                    7.41 ,6.89            ,        8.12 ,17.85                      ,- -                    ,0.47                    ,-2.4                        ,1.01          ,8.88                        ,-3.39                     ,9.77              ,-3.24                       ,9.6                 ,3.83   ,-3.33             ,0.47   ,0.47   ,0.66             ,-6.46                ,-1.26             ,2.29               ,- -                ,13.84                ,11.73                          ,11.73                   ,13.27                   ,- -         ,7.67            ,11.33                ,6.83                           ,                     6.01 ,- -                          ,12.27           ,12.08                   ,11.96        ,4.42                ,4500    ,27.7                 ,20.54                     ,16.36   ,12.45                ,15.62                        ,16.69             ,5.21                 ,100          ,            10.89 ,- -          ,4.92                            ,4.92         ,11.96                      ,-3.79              ,20.06    ,14.43              ,15.39                        ,-7.64         ,-21.29                ,5                   ,8.88       ,13.84                       ,-52.63         ,4.55                     ,-105.13                  ,24.43                          ,22.28                 ,-85.71                      ,7.25                           ,- -            ,53.3           ,-1.67                       ,23.65                          ,-300                ,22.28                ,25.08          ,16.63                ,17.33                   ,0.19835673491717132
 4 ,2014 ,                    5.23 ,3.78            ,        7.21 ,-0.2                       ,- -                    ,14.04                   ,- -                         ,16.59         ,16                          ,-5.26                     ,22.82             ,-5.04                       ,22.53               ,10.25  ,4.76              ,14.04  ,14.04  ,1.88             ,8.37                 ,10.57             ,5.23               ,- -                ,0.25                 ,-26.5                          ,-26.5                   ,6.26                    ,- -         ,-6.41           ,-5.47                ,19.17                          ,                    10.71 ,- -                          ,-1.84           ,-1.13                   ,-1.85        ,19.71               ,- -     ,1.03                 ,11.56                     ,-1.2    ,0.6                  ,-0.87                        ,1.92              ,6.25                 ,- -          ,            11.43 ,5            ,-8.09                           ,-8.09        ,-1.85                      ,-6.39              ,1.77     ,10.73              ,5.28                         ,-15.27        ,13.1                  ,- -                 ,16         ,0.25                        ,-394.44        ,6.52                     ,2300                     ,25.79                          ,23.73                 ,75                          ,93.24                          ,- -            ,-73.18         ,106.99                      ,28.98                          ,-683.33             ,23.73                ,26.4           ,-6.86                ,8.11                    ,0.08795652644499508
 5 ,2015 ,                    3.71 ,0.97            ,        7.32 ,6.05                       ,- -                    ,8.35                    ,55.83                       ,0.96          ,-5.57                       ,-5.91                     ,0.36              ,-5.82                       ,0.26                ,7.06   ,3.23              ,8.35   ,8.35   ,3.48             ,4.47                 ,-8.95             ,-1                 ,- -                ,3.22                 ,-6.46                          ,-6.46                   ,0.5                     ,- -         ,8.88            ,1.35                 ,24.92                          ,                     4.84 ,- -                          ,-1.27           ,-0.22                   ,0.03         ,13.15               ,-94.57  ,-3.27                ,1.08                      ,15.55   ,5.33                 ,13.65                        ,10.56             ,6.1                  ,- -          ,             9.68 ,17.46        ,-19.27                          ,-19.27       ,0.03                       ,-6.24              ,14.51    ,41.84              ,5.54                         ,0.27          ,32.43                 ,4.76                ,-5.57      ,3.22                        ,166.04         ,32.65                    ,-20.83                   ,2.98                           ,22.95                 ,-142.86                     ,25.87                          ,- -            ,416.72         ,32.51                       ,-10.75                         ,-81.9               ,22.95                ,-2.76          ,13.35                ,9.06                    ,0.29597950307219034
 6 ,2016 ,                    4.78 ,1.72            ,        8.57 ,6.48                       ,- -                    ,10.22                   ,-33.07                      ,20.62         ,30.62                       ,-5.81                     ,38.68             ,-5.92                       ,38.84               ,7.41   ,2.51              ,10.22  ,10.22  ,3.62             ,5.2                  ,24.66             ,0.22               ,- -                ,-1.44                ,9.09                           ,9.09                    ,12.47                   ,- -         ,22.61           ,14.74                ,2.27                           ,                     4.16 ,- -                          ,2.31            ,2.31                    ,4.31         ,21.29               ,1800    ,2.11                 ,21.17                     ,4.17    ,2.81                 ,3.94                         ,7.81              ,7.11                 ,- -          ,            11.53 ,2.7          ,-4.47                           ,-4.47        ,4.31                       ,-4.35              ,6.07     ,11.04              ,-5.48                        ,-5.31         ,27.24                 ,4.55                ,30.62      ,-1.44                       ,-59.57         ,4.62                     ,-56.58                   ,6.32                           ,-19.22                ,-66.67                      ,53.89                          ,- -            ,-31.88         ,-19.64                      ,-15.22                         ,-231.58             ,-19.22               ,15.6           ,8.13                 ,-18.61                  ,0.06668782103298554
 7 ,2017 ,                    3.47 ,2.2             ,        4.95 ,4.45                       ,- -                    ,5.33                    ,-3.53                       ,6.51          ,32.47                       ,-4.15                     ,39.78             ,-3.68                       ,39.1                ,5.33   ,1.8               ,5.33   ,5.33   ,1.43             ,1.8                  ,29.49             ,-0.84              ,- -                ,5.35                 ,8.33                           ,8.33                    ,10.53                   ,- -         ,24.14           ,14.29                ,-3.7                           ,                     2.17 ,- -                          ,4.13            ,3.73                    ,5.6          ,11.35               ,-96.84  ,14.29                ,6.48                      ,9.63    ,-20.98               ,4.42                         ,4.94              ,1.46                 ,- -          ,            13.85 ,-28.95       ,7.48                            ,7.48         ,5.6                        ,-3.67              ,7.34     ,-0.12              ,-8.47                        ,7.33          ,17.18                 ,4.35                ,32.47      ,5.35                        ,-392.98        ,-7.35                    ,-145.45                  ,3.63                           ,-1.03                 ,900                         ,18.59                          ,- -            ,8.65           ,-1.8                        ,-3.76                          ,-76                 ,-1.03                ,4.82           ,14.74                ,-22.65                  ,0.03961673909282659
 8 ,2018 ,                    2.23 ,1.49            ,        3.07 ,6.78                       ,- -                    ,0.26                    ,-117.68                     ,14.51         ,-3.65                       ,-3.98                     ,-0.79             ,-4.08                       ,-0.68               ,6.5    ,4.17              ,0.26   ,0.26   ,0.82             ,-1.92                ,-6.81             ,2.23               ,- -                ,28.41                ,27.69                          ,27.69                   ,5.22                    ,- -         ,16.39           ,12.61                ,2.05                           ,                     4.34 ,- -                          ,8.22            ,8.71                    ,9.46         ,17.57               ,33.33   ,-31.16               ,3.72                      ,21.61   ,38.87                ,23.83                        ,18.67             ,2.5                  ,100          ,            13.62 ,24.07        ,-16.04                          ,-16.04       ,9.46                       ,-5.47              ,21.18    ,44.33              ,-3.46                        ,8.57          ,17.66                 ,- -                 ,-3.65      ,28.41                       ,-86.83         ,15.87                    ,1026.67                  ,4.65                           ,25.44                 ,-70                         ,0.91                           ,- -            ,118.14         ,63.41                       ,2.68                           ,683.33              ,25.44                ,-0.33          ,-1.19                ,9.85                    ,0.18324494086278642
 9 ,2019 ,                   74.94 ,72.99           ,       77.12 ,167.43                     ,- -                    ,4.46                    ,-1862.07                    ,-30.35        ,-23                         ,26.34                     ,-40.45            ,26.32                       ,-40.45              ,55.86  ,-10.91            ,4.46   ,4.46   ,1.25             ,-40.29               ,-57               ,-4.58              ,- -                ,196.94               ,115.18                         ,115.18                  ,165.2                   ,- -         ,1659.34         ,666.46               ,303.52                         ,                   116.79 ,4084.62                      ,555.01          ,569.32                  ,588.5        ,89.42               ,7075    ,3152.63              ,682.44                    ,262.92  ,432.17               ,287.34                       ,375.88            ,2129.95              ,- -          ,             7.68 ,168.66       ,1338.25                         ,1420.15      ,588.5                      ,73.22              ,278.9    ,-75.08             ,-51.45                       ,-2.04         ,-18.87                ,83.33               ,-23        ,196.94                      ,-981.82        ,213.7                    ,-121.3                   ,80.09                          ,100.28                ,1400                        ,2404.07                        ,- -            ,302.06         ,-78.35                      ,-1785.39                       ,717.02              ,100.28               ,73.99          ,8                    ,139.38                  ,0.28463065459407133
