   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,38.65                    ,29.63           ,64.18        ,19.54                      ,- -                    ,121.99                  ,31.3                        ,265.36        ,257.52                      ,45.98                     ,161.65            ,47.03                       ,159.78              ,81.83  ,31.14             ,121.99 ,121.99 ,18.41            ,60.1                 ,175.48            ,30.25              ,-6.41              ,42.74                ,-22.38                         ,-21.56                  ,21.87                   ,- -         ,-27.28          ,0.41                 ,3.75                           ,12.9                      ,- -                          ,1.2             ,1.28                    ,1.17         ,-0.08               ,8.53    ,11.31                ,4.15                      ,63.6    ,12.33                ,48.77                        ,38.72             ,-1.98                ,- -          ,29.67             ,6.93         ,-22.94                          ,-22.97       ,1.17                       ,-19.39             ,71.98    ,123.28             ,63.23                        ,-3.58         ,-2.14                 ,6.45                ,229.86     ,42.74                       ,8.04           ,-17.32                   ,-659.85                  ,50.02                          ,47.76                 ,- -                         ,-358.92                        ,36.62          ,138.48         ,-1150.77                    ,-32.6                          ,-147.64             ,47.76                ,50.98          ,14.68                ,-60.72                  ,0.049609187089436624
 1 ,2011 ,9.33                     ,10.28           ,7.2          ,-0.93                      ,- -                    ,12.87                   ,-2.41                       ,21.55         ,26.92                       ,-12.89                    ,33.28             ,-12.78                      ,33.11               ,8.89   ,-0.4              ,12.87  ,12.87  ,-1.95            ,3.24                 ,6.19              ,9.33               ,2.12               ,2.86                 ,22.87                          ,22.93                   ,-5.72                   ,- -         ,-10.49          ,0.06                 ,6.28                           ,12.07                     ,- -                          ,-2.6            ,-2.32                   ,-2.04        ,11.02               ,0.9     ,-3.54                ,5.47                      ,-7.79   ,-4.64                ,-7.1                         ,-4.98             ,0.35                 ,- -          ,27.81             ,-58.7        ,1.56                            ,1.37         ,-2.04                      ,-2.98              ,-9.47    ,-10.69             ,-9.96                        ,-5.13         ,-18.8                 ,- -                 ,34.42      ,2.86                        ,-15.89         ,10.22                    ,17.73                    ,9.35                           ,-4.36                 ,- -                         ,-53.55                         ,-11.05         ,-13.33         ,-85.66                      ,51.19                          ,-195.32             ,-4.36                ,15.04          ,-21.24               ,-5.81                   ,-0.02220844127193744
 2 ,2012 ,3.03                     ,0.95            ,7.8          ,17.81                      ,- -                    ,1.67                    ,-25.21                      ,13.93         ,12.86                       ,-2.93                     ,1.17              ,-3.09                       ,1.35                ,0.78   ,-2.18             ,1.67   ,1.67   ,4.63             ,-1.31                ,-4.67             ,-2.86              ,300.47             ,-0.69                ,12.67                          ,24.57                   ,10.03                   ,- -         ,4.87            ,10.17                ,1.21                           ,10.51                     ,- -                          ,-4.23           ,-4.05                   ,-2.33        ,2.33                ,-40.62  ,-4.27                ,-7.34                     ,-7.01   ,-3.6                 ,-6.25                        ,-6.45             ,-0.38                ,- -          ,11.99             ,-17.36       ,2.12                            ,2.14         ,-2.33                      ,0.41               ,-11.98   ,-13.82             ,-20.46                       ,18.89         ,-16.17                ,6.06                ,- -        ,-0.69                       ,-87.32         ,29.52                    ,-5.43                    ,-10.65                         ,-1.4                  ,- -                         ,-92.25                         ,288.74         ,16.89          ,40.39                       ,17.34                          ,17.24               ,-1.4                 ,-13.84         ,37.18                ,-9.03                   ,0.20728266922322103
 3 ,2013 ,4.62                     ,3.45            ,7.13         ,18.93                      ,- -                    ,-1.25                   ,-3.47                       ,-0.58         ,-7.81                       ,-0.72                     ,7.69              ,-1.11                       ,8.12                ,-1.85  ,-6.18             ,-1.25  ,-1.25  ,2.4              ,-5.6                 ,2.2               ,-3.64              ,9.95               ,-2.88                ,5.78                           ,5.78                    ,12.24                   ,- -         ,169.66          ,27.53                ,4.65                           ,10.45                     ,- -                          ,-1.03           ,-0.83                   ,3.03         ,59.43               ,-16.31  ,-15.21               ,33.09                     ,2.56    ,-4.53                ,0.92                         ,6.91              ,0.7                  ,2.63         ,11.21             ,-133         ,-0.91                           ,-0.83        ,3.03                       ,-1.19              ,1.38     ,2.22               ,-17.01                       ,-4.18         ,0.96                  ,8.57                ,7.61       ,-2.88                       ,-135.16        ,-36.28                   ,-23.19                   ,1.3                            ,13.54                 ,- -                         ,1903.02                        ,9.16           ,-5.97          ,-6.92                       ,-40.7                          ,-51.7               ,13.54                ,-3.53          ,48.36                ,-5.25                   ,0.27700100717225506
 4 ,2014 ,5.77                     ,5.72            ,5.85         ,-10.22                     ,- -                    ,19.58                   ,-8.94                       ,27.87         ,39.53                       ,-1.62                     ,39.97             ,-1.77                       ,40.18               ,13.08  ,6.92              ,19.58  ,19.58  ,0.08             ,13.06                ,30.19             ,0.48               ,9.07               ,1.85                 ,-9.99                          ,-9.99                   ,6.42                    ,- -         ,17.52           ,5.15                 ,10.09                          ,11.79                     ,- -                          ,3.54            ,3.78                    ,4.01         ,0.13                ,-89.83  ,16.5                 ,-4.41                     ,16.47   ,-2.88                ,12.25                        ,8.39              ,1.23                 ,- -          ,17.29             ,982.83       ,-0.36                           ,-0.68        ,4.01                       ,-1.96              ,16.67    ,17.47              ,2.98                         ,10.01         ,-25.61                ,5.26                ,36.57      ,1.85                        ,-896.88        ,4.87                     ,233.84                   ,9.87                           ,10.65                 ,- -                         ,111.96                         ,7.3            ,-24.38         ,9.69                        ,-63.74                         ,-136.29             ,10.65                ,9.52           ,6.06                 ,-20.21                  ,0.06460617874984553
 5 ,2015 ,2.85                     ,1.57            ,5.51         ,35.21                      ,- -                    ,-13.53                  ,-71.56                      ,-1.52         ,-8.36                       ,- -                       ,-6.92             ,- -                         ,-6.92               ,-6.8   ,-9.39             ,-13.53 ,-13.53 ,2.59             ,-15.93               ,-9.5              ,-25.2              ,10.91              ,6.87                 ,38.39                          ,38.39                   ,55.37                   ,- -         ,16.04           ,41.89                ,26.42                          ,15.91                     ,- -                          ,90.94           ,88.35                   ,80.43        ,33.18               ,14.5    ,116.7                ,47.85                     ,126.11  ,155.21               ,131.6                        ,114.5             ,39.14                ,2.56         ,11.88             ,160.26       ,42.16                           ,40.58        ,80.43                      ,13.9               ,135.24   ,67.33              ,105.32                       ,-4.03         ,-0.45                 ,37.5                ,-7.92      ,6.87                        ,-133.33        ,75                       ,-21.46                   ,-2.92                          ,11.56                 ,- -                         ,92.69                          ,10.91          ,66.53          ,-38.7                       ,-612.63                        ,-1477.78            ,11.56                ,-9.71          ,-4.72                ,4.3                     ,-0.002751506806035642
 6 ,2016 ,33.88                    ,34.13           ,33.39        ,54.9                       ,- -                    ,11.83                   ,532.26                      ,-19.29        ,-17.02                      ,14.39                     ,-27.38            ,14.19                       ,-27.25              ,34.73  ,0.63              ,11.83  ,11.83  ,-0.37            ,-16.47               ,-37.95            ,33.88              ,-2.26              ,72.35                ,0.15                           ,0.15                    ,-10.1                   ,- -         ,133.38          ,22.03                ,2.45                           ,6.59                      ,- -                          ,-4.33           ,-4.15                   ,-0.65        ,7.27                ,2113.33 ,55.93                ,33.29                     ,-11.23  ,-3.7                 ,-9.66                        ,-3.61             ,1.66                 ,- -          ,7.35              ,18.64        ,4.51                            ,4.66         ,-0.65                      ,1.08               ,-8.99    ,-13.03             ,-25.89                       ,-8.45         ,-6.14                 ,- -                 ,-15.98     ,72.35                       ,300            ,39.8                     ,-270.35                  ,70.2                           ,48.43                 ,- -                         ,-67.39                         ,11.8           ,-41.4          ,-87.5                       ,-228.97                        ,-101.21             ,48.43                ,82.82          ,-11.97               ,104.89                  ,0.17112607760151843
 7 ,2017 ,-1.85                    ,-1.71           ,-2.11        ,-15.52                     ,- -                    ,16.52                   ,16.33                       ,16.61         ,137                         ,1.23                      ,137.28            ,1.82                        ,135.9               ,17.46  ,19.67             ,16.52  ,16.52  ,-0.27            ,18.71                ,144.71            ,1.86               ,11.53              ,18.47                ,-2.64                          ,-2.64                   ,11.39                   ,- -         ,-45.93          ,-13.87               ,-2.56                          ,11.36                     ,- -                          ,-4.24           ,-4.19                   ,-5.78        ,17.74               ,214.76  ,-19.08               ,27.29                     ,-23.93  ,-31.57               ,-25.62                       ,-15.32            ,1.48                 ,- -          ,24.55             ,0.3          ,9.96                            ,9.9          ,-5.78                      ,1.52               ,-17.33   ,-24.78             ,-13.46                       ,-32.34        ,-15.06                ,-3.64               ,136.56     ,18.47                       ,966.18         ,-21.9                    ,-166.21                  ,-9.56                          ,-0.49                 ,- -                         ,-211.47                        ,12.9           ,24.14          ,282.5                       ,89.46                          ,1533.33             ,-0.49                ,-13.83         ,34.97                ,-62.35                  ,0.06616588136593382
 8 ,2018 ,-2.83                    ,-3.88           ,-0.7         ,-9.78                      ,- -                    ,8.45                    ,-1.54                       ,13.11         ,-31.92                      ,-0.61                     ,-32.5             ,-1.19                       ,-32.1               ,6.25   ,9.35              ,8.45   ,8.45   ,2.19             ,11.6                 ,-30.96            ,9.58               ,10.02              ,3.95                 ,5.71                           ,5.71                    ,-2.44                   ,- -         ,6.24            ,1.22                 ,-3.77                          ,-0.72                     ,- -                          ,-3.85           ,-3.84                   ,-3.08        ,-5.43               ,-69.86  ,-4.77                ,-22.09                    ,12.33   ,-11.33               ,7.51                         ,-1.15             ,2.52                 ,- -          ,10.2              ,29.52        ,-4.63                           ,-5.53        ,-3.08                      ,-1.8               ,2.27     ,8.26               ,-5.3                         ,29.92         ,-17.97                ,-11.32              ,-31.92     ,3.95                        ,-118.07        ,-21.5                    ,126.29                   ,14.47                          ,1.47                  ,- -                         ,-196.81                        ,9.35           ,174.27         ,720.26                      ,-50.16                         ,-281.63             ,1.47                 ,21.54          ,-4.87                ,70.63                   ,0.16557247709804657
 9 ,2019 ,22.68                    ,18.69           ,30.45        ,105                        ,- -                    ,-32                     ,43.21                       ,-62.59        ,-65.61                      ,35.67                     ,-74.04            ,35.84                       ,-74.07              ,17.73  ,-4.03             ,-32    ,-32    ,6.34             ,-44.57               ,-71.29            ,4.83               ,14.85              ,72.11                ,63.87                          ,63.87                   ,113.03                  ,- -         ,222.87          ,132.84               ,149.4                          ,66.63                     ,- -                          ,278.66          ,274.88                  ,252.57       ,212.55              ,881.59  ,10.55                ,232.22                    ,104.09  ,257.84               ,129.95                       ,153.54            ,319.88               ,50           ,-8.11             ,-92.33       ,383.99                          ,383.82       ,252.57                     ,87.77              ,129.9    ,-52.48             ,11.38                        ,-29.91        ,35.98                 ,17.02               ,-65.61     ,72.11                       ,292.37         ,378.57                   ,93.85                    ,20.92                          ,33.12                 ,- -                         ,1022.9                         ,55.82          ,26.47          ,-63.9                       ,-713.35                        ,2697.75             ,33.12                ,15.39          ,50.07                ,243.29                  ,0.08309985031196354
