   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   28.79 ,          21.77 ,       31.49 ,                     17.22 ,                 18.03 ,118.45                  ,-54.11                      ,104.78        ,-31.46                      ,167.19                    ,-74.35            ,19.91                       ,-42.84              ,95.2   ,51.57             ,118.45 ,118.45 ,2.09             ,69.62                ,-46.78            ,17.9               ,- -                ,-4.03                ,20.44                          ,-68.53                  ,                  32.6  ,26.93       ,24.5            ,22.78                ,                         10.47 ,                    14.17 ,- -                          ,14.63           ,178.39                  ,       40.86 ,              21.75 ,- -     ,               20.71 ,                    20.94 ,- -     ,               47.34 ,                       47.34 ,            27.87 ,               23.32 ,11.94        ,-68.77            ,101.2        ,63.18                           ,63.18        ,                     40.86 ,11.33              ,-68.53   ,-80.72             ,15.85                        ,1.51          ,-10.92                ,               9.24 ,-31.46     ,-4.03                       ,-151.64        ,                   24.85 ,168.58                   ,66.82                          ,-17.72                ,-1581.85                    ,-2162.3                        ,- -            ,- -            ,-67.13                      ,-56.41                         ,-195.14             ,-17.72               ,73.59          ,32.91                ,143.41                  ,0.7133794358989325
 1 ,2011 ,                   33.53 ,          33.32 ,       33.61 ,                     24.67 ,                 27.66 ,60.65                   ,216.9                       ,63.42         ,51.51                       ,8.42                      ,39.74             ,4.72                        ,44.69               ,57.11  ,17.65             ,60.65  ,60.65  ,0.06             ,20.31                ,13.47             ,12.7               ,- -                ,22.7                 ,24.49                          ,7.67                    ,                  32.05 ,20.21       ,3.52            ,24.61                ,                         12.9  ,                    23.32 ,100.7                        ,23.81           ,68.59                   ,       34.71 ,              22.99 ,- -     ,               21.97 ,                    22.2  ,- -     ,               15.8  ,                       15.8  ,            20.27 ,               25.87 ,108          ,-333.7            ,-81.57       ,54.16                           ,54.16        ,                     34.71 ,4.19               ,7.67     ,-30.15             ,14.21                        ,1.97          ,-8.7                  ,              18.49 ,51.51      ,22.7                        ,7.58           ,                  104.13 ,13.38                    ,28.5                           ,-4.03                 ,-42.65                      ,-41.2                          ,- -            ,- -            ,-31.41                      ,16.98                          ,-103.97             ,-4.03                ,29.73          ,10.74                ,-15.19                  ,0.3484090020445558
 2 ,2012 ,                   23.08 ,          29.77 ,       20.7  ,                     22.19 ,                 27.53 ,13.02                   ,42.66                       ,14.04         ,6.95                        ,3.6                       ,3.23              ,1.56                        ,5.31                ,16.84  ,-5.07             ,13.02  ,13.02  ,-1.93            ,-8.18                ,-13.1             ,-0.29              ,- -                ,65.46                ,6                              ,70.82                   ,                  12.69 ,29.61       ,24.86           ,8.73                 ,                        221.84 ,                    78.69 ,119.58                       ,-0.19           ,92.36                   ,       32.77 ,              20.19 ,- -     ,               19.49 ,                    19.65 ,- -     ,               32.62 ,                       32.62 ,            23.42 ,               26.19 ,3.85         ,152.72            ,668.91       ,42.58                           ,42.58        ,                     32.77 ,3.46               ,70.82    ,19.81              ,7.39                         ,-9.13         ,-0.64                 ,              23.44 ,6.95       ,65.46                       ,176.93         ,                   61.4  ,41.37                    ,38.41                          ,509.35                ,-0.75                       ,9.52                           ,- -            ,- -            ,90.74                       ,26.03                          ,782.69              ,509.35               ,25.2           ,-35.34               ,29.41                   ,-0.17027882416422346
 3 ,2013 ,                   15.3  ,          22.54 ,       12.54 ,                     26.99 ,                 26.62 ,-28.25                  ,-14.82                      ,-27.67        ,-33.76                      ,2.76                      ,-35.54            ,1.11                        ,-34.49              ,-21.71 ,-32.1             ,-28.25 ,-28.25 ,-2.39            ,-37.77               ,-42.55            ,-2.38              ,- -                ,35.1                 ,18.78                          ,-5.78                   ,                  21.21 ,131.11      ,141.96          ,29.21                ,                         42.96 ,                    37.98 ,7.91                         ,-18.47          ,6.57                    ,       19.78 ,              65.75 ,- -     ,               18.76 ,                    29.36 ,- -     ,               16.79 ,                       16.79 ,            25.43 ,               15.63 ,-0.62        ,10.18             ,-64.67       ,14.64                           ,14.64        ,                     19.78 ,0.74               ,-5.78    ,-17.81             ,-4.9                         ,-0.12         ,36.74                 ,              18.12 ,-33.76     ,35.1                        ,64.89          ,                   43.07 ,-53.48                   ,-19.84                         ,-37.16                ,-21.43                      ,-19.69                         ,- -            ,- -            ,-120.86                     ,-112.81                        ,-111.25             ,-37.16               ,-17.48         ,16.78                ,21.01                   ,-0.3859268680747828
 4 ,2014 ,                   25.2  ,          27.88 ,       24.09 ,                     37.42 ,                 19.7  ,-17.71                  ,-42.22                      ,-18.95        ,-42.76                      ,0.86                      ,-43.25            ,0.66                        ,-43.13              ,-7.25  ,-25.92            ,-17.71 ,-17.71 ,-0.89            ,-34.27               ,-54.28            ,1.25               ,- -                ,41                   ,46.53                          ,144.45                  ,                  41.6  ,42.75       ,-52.11          ,36.68                ,                         60.75 ,                    20.65 ,-22.73                       ,99.03           ,-3.12                   ,       21.94 ,               6.81 ,- -     ,               25.63 ,                    20.19 ,- -     ,               48.75 ,                       48.75 ,            28.51 ,               21.58 ,3.11         ,-6.74             ,-131.96      ,15.4                            ,15.4         ,                     21.94 ,3.04               ,144.45   ,111.83             ,-4.99                        ,13.72         ,15.69                 ,              23.66 ,-42.76     ,41                          ,34.2           ,                   34.36 ,127.85                   ,33.38                          ,132.02                ,-102.29                     ,-80                            ,- -            ,- -            ,-242.82                     ,-111.66                        ,-3009.77            ,132.02               ,23.13          ,15.81                ,133.01                  ,0.4888119081394906
 5 ,2015 ,                   31.01 ,          24.14 ,       33.95 ,                     51.72 ,                 28.69 ,-62.11                  ,-345.93                     ,-72.37        ,-68.48                      ,4                         ,-69.7             ,4.05                        ,-69.71              ,-33.54 ,-49.27            ,-62.11 ,-62.11 ,2.25             ,-71.08               ,-75.94            ,-6.94              ,- -                ,43.4                 ,23.8                           ,91.8                    ,                  40.5  ,20.71       ,14.83           ,26.37                ,                         54.56 ,                    48.04 ,0.45                         ,75.71           ,23.98                   ,       25.67 ,              28.61 ,- -     ,               39.5  ,                    36.7  ,- -     ,               41.26 ,                       41.26 ,            38.24 ,               22.24 ,3.01         ,-39.74            ,167.34       ,11.75                           ,11.75        ,                     25.67 ,2.98               ,91.8     ,71.64              ,-12.23                       ,-7.56         ,4.13                  ,              40.78 ,-68.48     ,43.4                        ,47.47          ,                   61.18 ,77.11                    ,43.73                          ,16.03                 ,2498.32                     ,-96.71                         ,- -            ,- -            ,-35.54                      ,-2978.1                        ,54.79               ,16.03                ,49.16          ,-24.26               ,356.06                  ,0.023900086739232274
 6 ,2016 ,                   26.37 ,          17.79 ,       29.77 ,                     30.58 ,                 15.79 ,108.66                  ,-30.56                      ,153.45        ,303.16                      ,1.3                       ,297.98            ,0.09                        ,302.79              ,76.45  ,39.63             ,108.66 ,108.66 ,2.69             ,65.12                ,219.03            ,8.84               ,- -                ,53.53                ,21.78                          ,30.5                    ,                  20.59 ,27.45       ,-6.87           ,21.11                ,                         50.71 ,                    48.24 ,-17.58                       ,53.26           ,15.63                   ,       19.52 ,              12.24 ,- -     ,               25.39 ,                    22.22 ,- -     ,               32.64 ,                       32.64 ,            25.81 ,               16.43 ,1.17         ,-45.07            ,-18.01       ,10.9                            ,10.9         ,                     19.52 ,0.98               ,30.5     ,17.68              ,-8.33                        ,-0.91         ,13.4                  ,              16.1  ,303.16     ,53.53                       ,22.53          ,                   28.72 ,-1.34                    ,22.35                          ,79.88                 ,-79.57                      ,7562.87                        ,- -            ,- -            ,-1002.38                    ,391.26                         ,-36.27              ,79.88                ,13.59          ,-25.05               ,-69.65                  ,-0.1290364684450247
 7 ,2017 ,                   17.21 ,          14.06 ,       18.34 ,                     11.49 ,                 15.02 ,134.75                  ,-465.79                     ,187.7         ,-2.48                       ,0.98                      ,-3.44             ,1.02                        ,-3.47               ,73.58  ,48.1              ,134.75 ,134.75 ,0.97             ,100.29               ,-16.8             ,7.93               ,- -                ,14.43                ,15.27                          ,14.39                   ,                  11.25 ,-27.68      ,20.1            ,11.57                ,                         78.8  ,                    63.97 ,-56.44                       ,-17.28          ,-10                     ,        5.51 ,              26.78 ,- -     ,               23    ,                    23.84 ,- -     ,               35.63 ,                       35.63 ,            28.12 ,               13.61 ,15.61        ,-949.55           ,4.58         ,-29.64                          ,-29.64       ,                      5.51 ,-3                 ,14.39    ,62.57              ,-34.01                       ,-9.91         ,-17.77                ,               8.6  ,-2.48      ,14.43                       ,10.55          ,                   12.09 ,169.23                   ,71.94                          ,101.34                ,284.87                      ,3.64                           ,- -            ,- -            ,461.36                      ,292.45                         ,-38.44              ,101.34               ,64.85          ,-16.94               ,76.32                   ,0.2563314989188177
 8 ,2018 ,                   20.72 ,          16.9  ,       22.04 ,                     10.95 ,                 16.1  ,112.9                   ,43.17                       ,105.08        ,966.56                      ,-2.98                     ,999.36            ,-2.19                       ,990.44              ,75.18  ,45.12             ,112.9  ,112.9  ,1.1              ,76.36                ,783.52            ,4.63               ,- -                ,0.36                 ,31.83                          ,37.16                   ,                  27.66 ,16.43       ,-8              ,29.36                ,                         10.59 ,                    12.21 ,-31.63                       ,162.37          ,58.4                    ,       36.32 ,              24.46 ,- -     ,               21.68 ,                    22.31 ,- -     ,               26.52 ,                       26.52 ,            23.93 ,               17.44 ,- -          ,-82.01            ,- -          ,71.39                           ,71.39        ,                     36.32 ,1.14               ,37.16    ,-19.97             ,25.52                        ,5.76          ,-16.15                ,              15.38 ,966.56     ,0.36                        ,75.82          ,                   18.73 ,-101.1                   ,7.49                           ,-60.83                ,-202.91                     ,75.65                          ,- -            ,- -            ,-66.18                      ,-51.25                         ,195.49              ,-60.83               ,27.62          ,66.19                ,-89.92                  ,0.6744120328968267
 9 ,2019 ,                   19.86 ,          12.32 ,       22.37 ,                     17.56 ,                 13.33 ,49.74                   ,75.88                       ,51.79         ,-0.96                       ,1.12                      ,-2.06             ,0.46                        ,-1.41               ,42.23  ,18.66             ,49.74  ,49.74  ,2.09             ,24.93                ,-17.37            ,-1.08              ,- -                ,10.59                ,25.22                          ,9.9                     ,                  22.45 ,31          ,11.96           ,24.68                ,                         26.86 ,                    25.93 ,115.37                       ,19.84           ,29.53                   ,       26.03 ,               3.27 ,- -     ,               19.66 ,                    15.87 ,- -     ,               33.23 ,                       33.23 ,            22.68 ,               10.48 ,- -          ,-379.65           ,-237.5       ,32.88                           ,32.88        ,                     26.03 ,1.12               ,9.9      ,-17.3              ,4.53                         ,7.6           ,11.13                 ,              21.16 ,-0.96      ,10.59                       ,11.65          ,                    6.88 ,-3425                    ,26.47                          ,73.96                 ,523.75                      ,272.35                         ,- -            ,- -            ,-23.7                       ,-3.46                          ,-63.47              ,73.96                ,22.17          ,15.85                ,27.69                   ,0.22705052109600854
