   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,1.52                     ,0.78            ,4.97         ,0.51                       ,- -                    ,7.35                    ,-4.32                       ,7.88          ,9.18                        ,-1.1                      ,10.82             ,-0.69                       ,10.37               ,6.54   ,4.95              ,7.35   ,7.35   ,3.41             ,5.74                 ,7.97              ,3.43               ,10.57              ,1.25                 ,15.47                          ,15.47                   ,4.62                    ,1.51        ,7.43            ,7.07                 ,2.03                           ,                     4.97 ,- -                          ,3.16            ,2.98                    ,4.72         ,15.69               ,9.65    ,5.03                 ,7.77                      ,-23.08  ,9.72                 ,-2.79                        ,3.08              ,               10.55 ,- -          ,13.14             ,18.97        ,7.19                            ,7.19         ,4.72                       ,-3.54              ,-63.15   ,-65.62             ,-36.39                       ,-0.65         ,-38.44                ,-1.85               ,9.02       ,1.25                        ,-59.28         ,0.85                     ,-32.31                   ,5.14                           ,-3.9                  ,-137.1                      ,-70.69                         ,9.36           ,- -            ,466.99                      ,176.18                         ,-45.17              ,-3.9                 ,6.56           ,-2.2                 ,-4.08                   ,-0.06097754769469188
 1 ,2011 ,0.65                     ,0.99            ,-0.9         ,3.36                       ,- -                    ,-3.02                   ,-30.32                      ,-1.9          ,-2.89                       ,-4.48                     ,0.78              ,-4.6                        ,0.9                 ,-2.13  ,-2.76             ,-3.02  ,-3.02  ,-1.54            ,-3.64                ,-4.36             ,-4.75              ,11.66              ,4.04                 ,1.38                           ,1.38                    ,15.1                    ,246.52      ,-85.41          ,8.33                 ,10.54                          ,                     9.38 ,- -                          ,5.48            ,6.3                     ,7.18         ,36.7                ,-97.02  ,-3.73                ,-0.29                     ,60.78   ,17.38                ,30.48                        ,12.6              ,                7.19 ,- -          ,10.78             ,61           ,-0.63                           ,-0.63        ,7.18                       ,-4.2               ,117.12   ,118.5              ,49.51                        ,8.64          ,117.3                 ,5.67                ,-3.73      ,4.04                        ,-82.9          ,8.47                     ,-121.86                  ,8.44                           ,23.78                 ,-142.61                     ,383.82                         ,6.66           ,100.4          ,23.88                       ,-46.05                         ,-82.1               ,23.78                ,6.27           ,-17.78               ,12.65                   ,-0.03858093367226878
 2 ,2012 ,-5.16                    ,-3.02           ,-14.96       ,9.41                       ,- -                    ,-27.89                  ,2016.67                     ,-87.28        ,-114.93                     ,-2.97                     ,-113.55           ,-3.86                       ,-113.67             ,-24.2  ,-20.08            ,-27.89 ,-27.89 ,-10.34           ,-23.97               ,-113.86           ,-2.17              ,36.75              ,-0.34                ,24.42                          ,24.42                   ,-5.08                   ,3.5         ,-37.93          ,2.45                 ,3.62                           ,                     7.44 ,- -                          ,-6.59           ,-4.87                   ,-1.65        ,-11.66              ,- -     ,12.65                ,4.26                      ,0.03    ,12                   ,7.55                         ,5.86              ,                4.22 ,- -          ,-5.59             ,20.03        ,-13.92                          ,-13.92       ,-1.65                      ,- -                ,-52.22   ,-44.5              ,-11.65                       ,-1.74         ,50.77                 ,-3.05               ,-113.14    ,-0.34                       ,6336.36        ,-10.94                   ,157.47                   ,-19.52                         ,-4.8                  ,340.82                      ,-67.48                         ,32.69          ,59.12          ,-58.99                      ,15.07                          ,823.81              ,-4.8                 ,-21.94         ,17.74                ,-712.34                 ,-0.05183527177651959
 3 ,2013 ,-0.2                     ,-3.11           ,15.02        ,-8.19                      ,- -                    ,33.71                   ,-96.59                      ,663.42        ,-752.49                     ,-0.74                     ,-815.27           ,0.04                        ,-809.63             ,25.83  ,26.08             ,33.71  ,33.71  ,15.25            ,33.98                ,-811.36           ,-4.15              ,-33.32             ,-11.02               ,60.83                          ,60.83                   ,3.95                    ,-0.9        ,62.9            ,15.36                ,-1.29                          ,                     2.13 ,- -                          ,-7.84           ,-6.64                   ,3.45         ,-8.69               ,-95.65  ,11.12                ,5.5                       ,- -     ,-34.7                ,-22.7                        ,-8.4              ,                9.64 ,- -          ,8.78              ,-57.3        ,27.31                           ,27.31        ,3.45                       ,-0.85              ,-327.45  ,-278.65            ,-169.28                      ,9.35          ,6.49                  ,4.12                ,-809.94    ,-11.02                      ,-78.01         ,5.26                     ,-206.25                  ,19.38                          ,- -                   ,-89.81                      ,-43.46                         ,-33.82         ,- -            ,22.92                       ,-47.54                         ,247.59              ,- -                  ,23.27          ,20.35                ,-116.82                 ,0.11382360939679215
 4 ,2014 ,-0.25                    ,-0.88           ,2.53         ,-2.7                       ,- -                    ,5.42                    ,11.54                       ,5.29          ,7.52                        ,-4.43                     ,12.44             ,-3.44                       ,11.3                ,4.06   ,4.32              ,5.42   ,5.42   ,2.79             ,5.69                 ,7.74              ,-3.76              ,45.53              ,-5.52                ,-17.22                         ,-17.22                  ,-7.32                   ,1.85        ,40.93           ,-4.16                ,-0.89                          ,                     1.96 ,- -                          ,4.49            ,3.45                    ,-0.44        ,-8.02               ,50000   ,13.35                ,12.17                     ,-13.2   ,31.89                ,11.71                        ,11.98             ,               11.89 ,- -          ,8.75              ,147.43       ,-18.43                          ,-18.43       ,-0.44                      ,-6.01              ,-64.44   ,-56.41             ,-152.96                      ,-14.56        ,2.9                   ,3.65                ,7.47       ,-5.52                       ,-59.31         ,6.67                     ,-355.88                  ,23.05                          ,19.5                  ,2172.73                     ,203.58                         ,39.09          ,- -            ,357.03                      ,406.9                          ,-146.91             ,19.5                 ,23.63          ,15.71                ,14.5                    ,0.35869272441263544
 5 ,2015 ,3.01                     ,2.28            ,6.11         ,-2.37                      ,- -                    ,10.44                   ,-12.64                      ,10.97         ,13.58                       ,-4.14                     ,25.04             ,-4.3                        ,25.24               ,8.92   ,5.73              ,10.44  ,10.44  ,3.01             ,7.21                 ,16.35             ,2.6                ,10.79              ,-3.02                ,-36.53                         ,-36.53                  ,-14.91                  ,-1.14       ,-46.67          ,-16.29               ,4.12                           ,                     5.27 ,- -                          ,-4.39           ,-2.81                   ,-9.45        ,-5.87               ,- -     ,-10.91               ,-9.5                      ,-14.56  ,-7.05                ,-9.66                        ,-9.57             ,                6.01 ,- -          ,9.83              ,12.07        ,-9.22                           ,-9.22        ,-9.45                      ,-5.77              ,-224.04  ,-236.64            ,106.8                        ,-7.51         ,-5.07                 ,0.4                 ,19.86      ,-3.02                       ,120            ,-23.44                   ,-318.06                  ,-31.9                          ,9.21                  ,-175.4                      ,-118.15                        ,6.2            ,- -            ,-4.41                       ,18.83                          ,64.38               ,9.21                 ,-38.37         ,30.39                ,-43.18                  ,0.02495800455904562
 6 ,2016 ,-3.84                    ,-2.56           ,-9.1         ,-0.83                      ,- -                    ,-12.83                  ,15.79                       ,-13.34        ,-11.76                      ,-5.17                     ,-10.67            ,-4.98                       ,-10.84              ,-12.12 ,-8.62             ,-12.83 ,-12.83 ,-5.47            ,-9.35                ,-11.9             ,-2.77              ,10.04              ,-5.82                ,-16.19                         ,-16.19                  ,120.86                  ,-33.73      ,138.41          ,13.47                ,0.32                           ,                     3.3  ,- -                          ,-5.72           ,-4.52                   ,3.67         ,23.7                ,79.64   ,-0.14                ,8.08                      ,3.11    ,8.74                 ,6.89                         ,7.58              ,                2.77 ,- -          ,5.77              ,3.07         ,-4.07                           ,-4.07        ,3.67                       ,-3.38              ,153.09   ,163.83             ,16.7                         ,4.99          ,-21.6                 ,-1.1                ,-15.28     ,-5.82                       ,-74.16         ,-3.06                    ,-26.96                   ,-17.03                         ,-31.11                ,- -                         ,-295.5                         ,4.35           ,-58.35         ,-38.26                      ,-50.33                         ,-74.55              ,-31.11               ,-13.1          ,48.18                ,-2.06                   ,0.18921196696636655
 7 ,2017 ,1.35                     ,-0.66           ,10.19        ,4.42                       ,- -                    ,13.14                   ,80.68                       ,11.52         ,8.7                         ,-1.82                     ,15.31             ,-1.85                       ,15.36               ,11.44  ,9.95              ,13.14  ,13.14  ,8.72             ,11.64                ,11.71             ,1.55               ,10.24              ,-2.65                ,27.81                          ,27.81                   ,16.37                   ,3.61        ,-19.44          ,10.85                ,1.15                           ,                     3.88 ,- -                          ,0.3             ,0.48                    ,5.65         ,23.58               ,-99.78  ,-2.31                ,-2.61                     ,33.2    ,1.54                 ,11.58                        ,3.24              ,                1.61 ,- -          ,7.75              ,-16.74       ,11.01                           ,11.01        ,5.65                       ,-1.83              ,-35.71   ,-42.09             ,-39.17                       ,13.82         ,-22.4                 ,-0.2                ,13.22      ,-2.65                       ,602.78         ,29.47                    ,-75.67                   ,79.2                           ,9.18                  ,- -                         ,101.53                         ,8.23           ,-0.71          ,-21.94                      ,10.6                           ,-273.55             ,9.18                 ,94.69          ,-31.59               ,58.27                   ,0.004345396991844996
 8 ,2018 ,16.85                    ,19.43           ,6.65         ,12.81                      ,- -                    ,3.73                    ,94.34                       ,0.2           ,15.32                       ,-1.31                     ,16.39             ,-1.8                        ,16.97               ,10.26  ,-5.64             ,3.73   ,3.73   ,-8.73            ,-11.23               ,-1.7              ,9.11               ,10.47              ,73.02                ,-67.72                         ,-67.72                  ,16.69                   ,12.71       ,-22.87          ,-0.76                ,13.11                          ,                     8.92 ,- -                          ,76.05           ,62.81                   ,29.57        ,3.46                ,48550   ,5.83                 ,12.52                     ,187.54  ,14.71                ,80.15                        ,42.63             ,                2.21 ,- -          ,10.9              ,33.97        ,2.6                             ,2.6          ,29.57                      ,-2.76              ,1046.55  ,1017.52            ,754.16                       ,-11.8         ,-10.3                 ,7.1                 ,14.87      ,73.02                       ,-117.79        ,13.82                    ,249.58                   ,-18.78                         ,61.21                 ,- -                         ,1198.73                        ,9.03           ,756.14         ,13.54                       ,-312.01                        ,-390.28             ,61.21                ,-28.71         ,-15.56               ,-29.3                   ,-0.15103648092941602
 9 ,2019 ,8.72                     ,9.57            ,4.96         ,6.81                       ,- -                    ,4.01                    ,19.09                       ,2.86          ,3.75                        ,-2.36                     ,6.68              ,-2.78                       ,7.14                ,4.69   ,-3.71             ,4.01   ,4.01   ,-3.46            ,-4.34                ,-4.2              ,11.58              ,9.76               ,8.65                 ,-6.33                          ,-6.33                   ,10.31                   ,5.5         ,83.7            ,11.54                ,12.49                          ,                     8.79 ,- -                          ,5.79            ,6.77                    ,8.68         ,-0.68               ,226     ,-1.13                ,13.99                     ,-10.34  ,10.89                ,-1.94                        ,5.03              ,                2.71 ,- -          ,7.87              ,1.06         ,19.14                           ,19.14        ,8.68                       ,0.32               ,-3.72    ,-19.19             ,-34.86                       ,-2.15         ,-0.84                 ,-2.56               ,4.16       ,8.65                        ,-300           ,-5                       ,94.18                    ,-5.3                           ,43.04                 ,- -                         ,-90.29                         ,7.16           ,-96.55         ,-86.94                      ,-139.26                        ,-99.5               ,43.04                ,-18.88         ,5.8                  ,-9.08                   ,-0.14082923474755282
10 ,2020 ,-3.62                    ,-2.36           ,-9.47        ,-9.31                      ,- -                    ,-9.56                   ,7.34                        ,-11.04        ,-9.1                        ,-0.47                     ,-8.67             ,-1.01                       ,-8.18               ,-7.19  ,-3.7              ,-9.56  ,-9.56  ,-6.07            ,-6.16                ,-5.68             ,-1.52              ,8.15               ,5.91                 ,213.08                         ,213.08                  ,-1.89                   ,-8.9        ,6.55            ,6.19                 ,13.97                          ,                     9.76 ,- -                          ,0.32            ,2.42                    ,3.97         ,4.19                ,5.08    ,-12.28               ,-4.98                     ,11.09   ,-0.3                 ,5.99                         ,0.78              ,                2.41 ,- -          ,5.9               ,-7.02        ,12.04                           ,12.04        ,3.97                       ,-1.08              ,-7.74    ,-17.66             ,-23.74                       ,11.75         ,-2.69                 ,-2.14               ,-9.1       ,5.91                        ,-93.7          ,-3.76                    ,-87.27                   ,29.42                          ,-2.03                 ,- -                         ,-2.01                          ,7.64           ,1405.15        ,154.11                      ,-54.78                         ,-19910              ,-2.03                ,44.98          ,-31.47               ,42.37                   ,-0.2939901292299275
11 ,2021 ,1.43                     ,1.46            ,1.31         ,2.42                       ,- -                    ,0.73                    ,-26.58                      ,3.61          ,2.84                        ,-2.26                     ,5.22              ,-2.05                       ,4.99                ,0.84   ,-0.59             ,0.73   ,0.73   ,-0.12            ,-0.7                 ,1.39              ,-0.93              ,8.5                ,1.37                 ,-43.24                         ,-43.24                  ,3.16                    ,-7.05       ,-15.87          ,-7.22                ,6.22                           ,                     7    ,- -                          ,0.02            ,1.08                    ,-2.41        ,5.73                ,-59.74  ,-2.87                ,-12.44                    ,3.81    ,-20.07               ,-6.24                        ,-9.02             ,                4.27 ,- -          ,5.74              ,-45.92       ,12.64                           ,12.64        ,-2.41                      ,-3.09              ,-2.77    ,-13.68             ,-29.09                       ,5.96          ,-13.15                ,2.38                ,2.84       ,1.37                        ,-3111.76       ,-1.56                    ,-411.76                  ,10.71                          ,-8.27                 ,- -                         ,-9.45                          ,6.05           ,-20.23         ,211.41                      ,408.31                         ,-160.63             ,-8.27                ,17.05          ,28.24                ,7.65                    ,0.16882258921414572
12 ,2022 ,2.44                     ,2.26            ,3.34         ,7.39                       ,- -                    ,1.15                    ,-39.66                      ,4.21          ,4.08                        ,-1.82                     ,6.02              ,-1.36                       ,5.52                ,0.83   ,-1.57             ,1.15   ,1.15   ,0.88             ,-1.25                ,1.61              ,-0.83              ,6.04               ,-0.67                ,-22.52                         ,-22.52                  ,2.29                    ,18.39       ,12.69           ,5.38                 ,8.92                           ,                     7.22 ,- -                          ,-0.19           ,1.45                    ,3.02         ,7.54                ,14.83   ,10.14                ,9.75                      ,-10.65  ,7.28                 ,-4.22                        ,1.8               ,                7.39 ,- -          ,5.6               ,12.08        ,5.25                            ,5.25         ,3.02                       ,-1.16              ,-6.45    ,-11.12             ,-22.99                       ,-3.98         ,0.36                  ,3.3                 ,4.08       ,-0.67                       ,-26.76         ,30.95                    ,6.92                     ,7.21                           ,25.59                 ,- -                         ,68.82                          ,4.11           ,- -            ,-32.77                      ,-24.38                         ,-68.28              ,25.59                ,2.39           ,7.19                 ,3.01                    ,0.411310106191044
13 ,2023 ,7.27                     ,8.59            ,0.76         ,0.66                       ,- -                    ,0.81                    ,49.14                       ,-1.29         ,-2.21                       ,-0.79                     ,-1.44             ,-0.88                       ,-1.35               ,0.26   ,-6.54             ,0.81   ,0.81   ,-6.07            ,-6.02                ,-8.84             ,2.37               ,5.14               ,-2.38                ,54.03                          ,54.03                   ,-6.79                   ,35.68       ,25.18           ,12.12                ,5.05                           ,                     5.76 ,- -                          ,1.52            ,2.2                     ,6.25         ,-4.38               ,-46.01  ,22.52                ,7.11                      ,-3.05   ,-3.87                ,-3.38                        ,1.5               ,                5.05 ,- -          ,4.99              ,-46.14       ,14.71                           ,14.71        ,6.25                       ,-0.3               ,-20.6    ,-30.78             ,-76.27                       ,4.67          ,23.65                 ,4.79                ,-2.21      ,-2.38                       ,-72.53         ,9.7                      ,-6.62                    ,2.86                           ,-18.85                ,- -                         ,-36.8                          ,4.31           ,- -            ,-64.69                      ,-10.86                         ,-277.17             ,-18.85               ,9.84           ,4.5                  ,5.19                    ,-0.1710461400388117
