   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-4.19                    ,-3.44           ,-6.19        ,-0.17                      ,- -                    ,3.7                     ,-14.84                      ,37.35         ,15.08                       ,0.44                      ,5.31              ,0.59                        ,5.15                ,1.14   ,5.57              ,3.7     ,3.7     ,-2.08            ,8.24                 ,10.24             ,1.48               ,-46.93             ,-5.86                ,-1.05                          ,9.27                    ,-4.92                   ,-4.17       ,-500            ,-3.9                 ,-4.33                          ,-2.89                     ,- -                          ,40.66           ,-3.68                   ,-3.82        ,31.27               ,-6.19   ,-354.39              ,-11.66                    ,-7.49   ,-26.61               ,30.06                        ,-4.41             ,-2.18                ,- -          ,3.78              ,16.97        ,1.36                            ,-0.72        ,-3.82                      ,-0.45              ,-8.2     ,-7.53              ,8.75                         ,8.79          ,25.78                 ,-5.59               ,15.08      ,-5.86                       ,-537.42        ,- -                      ,-102.8                   ,46.88                          ,13.5                  ,- -                         ,-24.56                         ,-46.69         ,-37.02         ,-302.73                     ,41.53                          ,-71.04              ,13.5                 ,64.94          ,-13.49               ,39.07                   ,0.12387925904760722
 1 ,2011 ,-1.94                    ,-3.78           ,3.08         ,-3.32                      ,- -                    ,14.75                   ,-9                          ,41.46         ,9.18                        ,-0.66                     ,16.42             ,-0.54                       ,16.29               ,9.01   ,11.17             ,14.75   ,14.75   ,5.12             ,17.01                ,23.93             ,-6.5               ,35.71              ,-8.27                ,7.31                           ,7.02                    ,-8.76                   ,20          ,525             ,-3.78                ,-0.72                          ,-40.26                    ,- -                          ,-7.18           ,-5.69                   ,-4.51        ,4.52                ,-5.27   ,-104.39              ,0.96                      ,-12.84  ,-4.72                ,-21.83                       ,-4.43             ,-98.13               ,- -          ,5.07              ,34.27        ,-2.1                            ,-4.91        ,-4.51                      ,-0.4               ,-9.95    ,-5.3               ,-28.25                       ,-4.69         ,1488.72               ,4.88                ,7.55       ,-8.27                       ,-13.45         ,- -                      ,1049.36                  ,-7.65                          ,29.08                 ,- -                         ,-38.7                          ,34.82          ,-3.16          ,15.28                       ,-23.91                         ,-8.53               ,29.08                ,-21.33         ,-1.38                ,-24.01                  ,0.02229130649974298
 2 ,2012 ,-1.7                     ,4.77            ,-18.11       ,919.71                     ,- -                    ,-5.4                    ,5.64                        ,-13.39        ,3.73                        ,-0.64                     ,4.64              ,-0.53                       ,4.52                ,-3.9   ,-2.24             ,-5.4    ,-5.4    ,-16.69           ,-3.77                ,-1.94             ,-2.99              ,12.04              ,1.75                 ,32.1                           ,48.76                   ,-6.8                    ,11.59       ,-193340         ,-5.57                ,4.4                            ,4.4                       ,- -                          ,-4.9            ,-2.65                   ,-4.46        ,-0.23               ,-65.38  ,-15527.14            ,-99.96                    ,51.84   ,-190.99              ,379.91                       ,-7.06             ,- -                  ,- -          ,4.55              ,-15.62       ,5.67                            ,8.72         ,-4.46                      ,-1.58              ,-30.59   ,-36.16             ,35.76                        ,228053.68     ,3.96                  ,1.33                ,-3.6       ,1.75                        ,5.42           ,- -                      ,89.18                    ,-6.08                          ,19.57                 ,- -                         ,-43.15                         ,11.32          ,29.36          ,185.99                      ,8.99                           ,-232.35             ,19.57                ,-21.75         ,10.85                ,-2.57                   ,0.09325440140120134
 3 ,2013 ,-1.22                    ,1.43            ,-9.83        ,-39.57                     ,- -                    ,-11.68                  ,-16.75                      ,-7.21         ,3.85                        ,-2.86                     ,6.07              ,-2.6                        ,5.79                ,-8.1   ,-6.97             ,-11.68  ,-11.68  ,-8.72            ,-10.59               ,4.31              ,-1.86              ,11.99              ,4.45                 ,1.3                            ,5.41                    ,-5.8                    ,12.34       ,-9.17           ,-1.81                ,0.28                           ,0.28                      ,- -                          ,-10.87          ,-7.98                   ,-4.19        ,11.51               ,-10.61  ,-107.23              ,92650.5                   ,-7.51   ,-4.7                 ,-6.79                        ,-6.82             ,- -                  ,- -          ,3.47              ,-54.92       ,6.91                            ,7.24         ,-4.19                      ,-3.31              ,-12.25   ,-18.18             ,12.92                        ,-99.89        ,-85.91                ,0.66                ,-4.28      ,4.45                        ,-50.09         ,- -                      ,-111.79                  ,-8.78                          ,-11.03                ,- -                         ,157.63                         ,8.79           ,-27.29         ,122.81                      ,-10.77                         ,-243.62             ,-11.03               ,-6.69          ,48.02                ,-11.47                  ,0.09378669422336028
 4 ,2014 ,3.34                     ,-27.58          ,116.28       ,56.17                      ,- -                    ,118.65                  ,260.04                      ,6.67          ,-0.12                       ,-1.73                     ,10.29             ,-1.61                       ,10.16               ,87.49  ,81.43             ,118.65  ,118.65  ,109.29           ,111.58               ,4.88              ,4.02               ,15.16              ,-4.91                ,5.4                            ,4.23                    ,-5.81                   ,2.31        ,-5.18           ,-0.75                ,-30.16                         ,-30.16                    ,- -                          ,8.91            ,-2.14                   ,-1.26        ,-1.96               ,1.26    ,-1368.86             ,-98.17                    ,-4.7    ,5.22                 ,-2.1                         ,-1.45             ,- -                  ,- -          ,4.21              ,99.25        ,-2.51                           ,-0.58        ,-1.26                      ,-0.03              ,-5.59    ,-5.03              ,2.36                         ,5314.98       ,6.79                  ,-0.65               ,16.67      ,-4.91                       ,3.03           ,- -                      ,-848.75                  ,-3.04                          ,2                     ,- -                         ,-117.28                        ,13.17          ,6.82           ,-117.5                      ,-62.79                         ,-52.8               ,2                    ,-7.53          ,-9.06                ,-10.54                  ,-0.17227077852997297
 5 ,2015 ,-22.09                   ,1.7             ,-51.18       ,-36.37                     ,- -                    ,-73.36                  ,-81.16                      ,-52.49        ,-89                         ,-1.01                     ,-140.74           ,-1.06                       ,-140.76             ,-70.08 ,-61.6             ,-73.36  ,-73.36  ,-37.34           ,-65.8                ,-151.62           ,-28.64             ,6.08               ,-47.79               ,-27.71                         ,-25.78                  ,-84.35                  ,27.12       ,-29.88          ,-59.38               ,12.53                          ,12.53                     ,- -                          ,43.38           ,37.15                   ,-23.94       ,1.38                ,39.58   ,-81.91               ,5758.82                   ,-59.6   ,-67.67               ,-61.87                       ,-23.17            ,- -                  ,- -          ,-9.86             ,-9.04        ,-23.32                          ,-26.81       ,-23.94                     ,-6.74              ,-34.07   ,-9.92              ,-46.87                       ,-99.31        ,74.31                 ,9.18                ,-140.22    ,-47.79                      ,150.9          ,- -                      ,-36.46                   ,-28.22                         ,-46.75                ,- -                         ,-1282.66                       ,5.02           ,-72.56         ,-167.67                     ,348.48                         ,-41.89              ,-46.75               ,-10.02         ,82.98                ,-278.5                  ,0.29363314909805793
 6 ,2016 ,3.93                     ,5.79            ,-0.8         ,3.06                       ,- -                    ,5.76                    ,1.46                        ,10.31         ,458.47                      ,-9.24                     ,-246.61           ,-8.85                       ,-245.97             ,5.16   ,1.18              ,5.76    ,5.76    ,-4.56            ,1.76                 ,-238.7            ,17.32              ,4.39               ,3.09                 ,1.67                           ,-9.85                   ,-6.44                   ,-0.44       ,46.07           ,-8.28                ,-6.61                          ,-6.61                     ,- -                          ,-40.62          ,-34.99                  ,-25.94       ,5.31                ,-31.32  ,6.12                 ,-31.28                    ,-28.68  ,-1.32                ,-22.15                       ,-26.78            ,- -                  ,- -          ,-0.35             ,12.52        ,-22.89                          ,-22.65       ,-25.94                     ,-6.79              ,-38.76   ,-20.82             ,-176.77                      ,33.45         ,6.87                  ,-11.41              ,-244.16    ,3.09                        ,-172.4         ,- -                      ,-266                     ,-101.23                        ,-1.5                  ,- -                         ,-17.29                         ,-5.26          ,-89.31         ,1849.86                     ,17.19                          ,-1308.21            ,-1.5                 ,-159.16        ,265.4                ,-99.15                  ,-0.04095819630323372
 7 ,2017 ,0.65                     ,5.09            ,-11.4        ,-0.53                      ,- -                    ,-33.39                  ,134.81                      ,-197.35       ,-160.54                     ,-3.75                     ,-179.07           ,-4.85                       ,-179.99             ,-25.46 ,-25.94            ,-33.39  ,-33.39  ,-11.97           ,-33.82               ,-165.09           ,-5.14              ,2.05               ,2.84                 ,-40.02                         ,-53.14                  ,13.15                   ,-2.13       ,-109.96         ,-2.33                ,6.64                           ,77.61                     ,- -                          ,8               ,7.68                    ,3.49         ,4.1                 ,-82.35  ,-161.46              ,-42.48                    ,5.11    ,133.8                ,44.05                        ,2.87              ,- -                  ,- -          ,-9.93             ,-22.6        ,-15.22                          ,5.79         ,3.49                       ,-0.71              ,-38.72   ,-42.07             ,140.64                       ,69.81         ,-8.84                 ,6.1                 ,-165.52    ,2.84                        ,-180.42        ,- -                      ,3.99                     ,-4372.95                       ,10.02                 ,- -                         ,-95.28                         ,-1.77          ,897.05         ,-88.1                       ,-78.52                         ,-84.07              ,10.02                ,-133.67        ,-80.31               ,6421.68                 ,-0.6185256260448636
 8 ,2018 ,0.95                     ,0.8             ,1.44         ,-0.92                      ,- -                    ,-8.81                   ,49.82                       ,129.03        ,260.42                      ,0.05                      ,266.31            ,0.05                        ,266.31              ,11.98  ,10.93             ,-8.81   ,-8.81   ,0.48             ,-9.67                ,282.72            ,11.65              ,-48.3              ,60.03                ,25.29                          ,59.13                   ,-32.81                  ,-11.96      ,-859.72         ,-21.33               ,-5.8                           ,-2.31                     ,- -                          ,-19.32          ,-16.14                  ,-18.22       ,10.03               ,357.65  ,-286.88              ,40.59                     ,-12.37  ,-53.11               ,-32.37                       ,-12.96            ,- -                  ,- -          ,-25.92            ,0.13         ,-51.76                          ,-37.18       ,-18.22                     ,0.25               ,51.14    ,140.62             ,39.83                        ,-44.05        ,-19.74                ,-9.58               ,287.88     ,60.03                       ,112.52         ,- -                      ,-91.69                   ,-59.27                         ,1.72                  ,- -                         ,685.49                         ,-48.28         ,-78.48         ,-99.33                      ,62.09                          ,33.6                ,1.72                 ,-252.04        ,-35.03               ,-89.46                  ,-0.48834379794458105
 9 ,2019 ,-21.71                   ,-24.43          ,-12.98       ,-4.79                      ,-8.7                   ,-26.68                  ,-78.06                      ,-105.71       ,-102.04                     ,0.43                      ,-76.25            ,0.43                        ,-76.25              ,-28.96 ,-9.26             ,-26.68  ,-26.68  ,11.14            ,-6.35                ,-71.55            ,8.08               ,-85.56             ,-31.97               ,29.87                          ,23.22                   ,-27.9                   ,-26.94      ,22.29           ,9.03                 ,-72.29                         ,-47.29                    ,-46.45                       ,-39.52          ,-28.05                  ,-13.94       ,-4.48               ,-17.36  ,-7.23                ,-16.35                    ,-96.7   ,180.7                ,-2.25                        ,-8.31             ,- -                  ,- -          ,-5.77             ,-18.61       ,-8.71                           ,-42.14       ,-13.94                     ,0.42               ,-45.78   ,-6.3               ,-70.74                       ,30.34         ,-21.86                ,-27.56              ,-78.11     ,-31.97                      ,-50.11         ,- -                      ,65.57                    ,106.59                         ,-24.34                ,- -                         ,-50.99                         ,-85.49         ,-31.74         ,-270.59                     ,-48.01                         ,-118.46             ,-24.34               ,-170.26        ,26.46                ,827.58                  ,0.25214766936044963
