   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,0.72                     ,-5.66           ,12.23        ,9.55                       ,- -                    ,11.55                   ,0.32                        ,14.05         ,17.68                       ,-0.62                     ,18.06             ,-0.55                       ,17.99               ,9.81   ,9.03              ,11.55 ,11.55 ,11.43            ,10.75                ,16.5              ,-8.44              ,11.77              ,0.77                 ,-12.31                         ,-10.22                  ,9.25                    ,-0.21       ,-9.77           ,-1.55                ,3.06                           ,4.97                      ,40.52                        ,-3.16           ,-0.98                   ,-1.1         ,5.74                ,-12.36  ,18.91                ,4.52                      ,-8.45   ,-3.35                ,-6.67                        ,-3.43             ,7.38                 ,100.27       ,            12.26 ,69.85        ,4.41                            ,4.26         ,-1.1                       ,0.08               ,-9.06    ,-12.78             ,-5.49                        ,-5.81         ,4.19                  ,10                  ,17.68      ,0.77                        ,-142.83        ,-8.84                    ,-18.94                   ,19.31                          ,15.52                 ,- -                         ,149.64                         ,11.08          ,-87.25         ,-69.43                      ,7.07                           ,-132.49             ,15.52                ,20.99          ,16.33                ,1.68                    ,-0.09278020640428997
 1 ,2011 ,0.57                     ,0.04            ,1.36         ,-1.36                      ,- -                    ,5.36                    ,-19.01                      ,10.15         ,17.49                       ,-2.56                     ,20.59             ,-2.71                       ,20.77               ,5.07   ,4.48              ,5.36  ,5.36  ,0.79             ,4.77                 ,16.84             ,-5.18              ,16.29              ,3.39                 ,-8.61                          ,-7.96                   ,11.59                   ,19.74       ,22.67           ,12.13                ,6.98                           ,7.8                       ,30.39                        ,2.2             ,4.04                    ,5.63         ,17.14               ,16      ,-25.01               ,-2.92                     ,5.2     ,-4.43                ,1.71                         ,0.26              ,0.92                 ,- -          ,            13.16 ,-32.02       ,17.82                           ,17.07        ,5.63                       ,-1.78              ,8.91     ,-6.97              ,-22.92                       ,15.49         ,10.83                 ,6.06                ,17.49      ,3.39                        ,-162.14        ,-1.86                    ,-602.72                  ,-30                            ,-0.17                 ,-98.62                      ,-0.85                          ,13.31          ,93.98          ,148.55                      ,-37.72                         ,185.16              ,-0.17                ,-42.66         ,40.69                ,-40.43                  ,0.17196665319338922
 2 ,2012 ,11.95                    ,18.89           ,1.53         ,5.91                       ,- -                    ,-4.13                   ,29.31                       ,-8.97         ,-11.89                      ,0.84                      ,-13.57            ,0.29                        ,-13.09              ,-1.41  ,-11.94            ,-4.13 ,-4.13 ,-9.3             ,-14.37               ,-22.15            ,11.95              ,8.78               ,14.58                ,-23.95                         ,-23.95                  ,27.07                   ,-8.11       ,-48.22          ,-5.4                 ,9.17                           ,10.58                     ,20.96                        ,20.33           ,17.82                   ,12.97        ,125.82              ,-5.58   ,-75.15               ,5.03                      ,11.18   ,17.5                 ,13.33                        ,10.81             ,-0.82                ,- -          ,             8.35 ,72.51        ,0.88                            ,16.91        ,12.97                      ,0.57               ,11.06    ,-5.01              ,28.92                        ,-9.93         ,-15.31                ,- -                 ,-11.89     ,14.58                       ,-197.18        ,2.85                     ,-133.82                  ,57.32                          ,4.18                  ,- -                         ,161.61                         ,9.69           ,204            ,-58.44                      ,-29.38                         ,4.24                ,4.18                 ,96.59          ,-31.12               ,80.51                   ,-0.10134593793068536
 3 ,2013 ,6.7                      ,6.94            ,6.27         ,5.08                       ,- -                    ,7.79                    ,-25.76                      ,14.68         ,19.09                       ,0.08                      ,18.28             ,-0.16                       ,18.56               ,7.93   ,1.15              ,7.79  ,7.79  ,-0.4             ,1.02                 ,10.94             ,-8.91              ,8.35               ,8.59                 ,57.34                          ,57.34                   ,-2.07                   ,4.51        ,113.84          ,16.46                ,6.17                           ,7.82                      ,-9.65                        ,6.01            ,5.48                    ,7.4          ,-36.67              ,61.16   ,456.55               ,37.75                     ,-3.83   ,-0.57                ,-2.68                        ,8.95              ,-10.25               ,- -          ,             7.47 ,-9.08        ,3.9                             ,4.73         ,7.4                        ,-1.19              ,3.87     ,-0.82              ,-2.21                        ,-15.46        ,-16.41                ,17.14               ,19.09      ,8.59                        ,-192.75        ,-7.29                    ,93.23                    ,21.82                          ,-9.17                 ,- -                         ,-19                            ,8.44           ,-28            ,233.83                      ,72.39                          ,-307.68             ,-9.17                ,33.95          ,7.54                 ,2.91                    ,-0.023002114368801063
 4 ,2014 ,0.76                     ,1.67            ,-0.84        ,-2.2                       ,- -                    ,0.83                    ,-28.57                      ,4.74          ,-1.65                       ,-3.08                     ,1.47              ,-2.99                       ,1.37                ,0.62   ,-0.15             ,0.83  ,0.83  ,-1.59            ,0.07                 ,-2.4              ,-3.92              ,16.94              ,-0.44                ,16.98                          ,16.98                   ,2.57                    ,0.9         ,-14.57          ,2.2                  ,1.65                           ,5.15                      ,1.48                         ,2.31            ,2.14                    ,2.15         ,13.22               ,15.63   ,-20.67               ,2.45                      ,8.39    ,-0.98                ,5.01                         ,4.08              ,5.25                 ,- -          ,            10.13 ,-15.45       ,-2.06                           ,-1.32        ,2.15                       ,-4.45              ,9.56     ,11.02              ,-2.55                        ,-0.24         ,-13.7                 ,4.88                ,-1.65      ,-0.44                       ,-594.14        ,8.07                     ,-106.84                  ,-13.16                         ,8.08                  ,- -                         ,-62.93                         ,13.34          ,67.12          ,67.03                       ,59.98                          ,-42.64              ,8.08                 ,-18.8          ,22.67                ,-11.69                  ,-0.01118899857051514
 5 ,2015 ,-1.56                    ,1.22            ,-6.6         ,-4.21                      ,- -                    ,-9.47                   ,257.3                       ,-33.64        ,-32.34                      ,-4.02                     ,-30.25            ,-4.17                       ,-30.15              ,-7.8   ,-6.34             ,-9.47 ,-9.47 ,-5.12            ,-8.04                ,-32               ,0.78               ,7.84               ,0.5                  ,-61.47                         ,-61.47                  ,-6.53                   ,-1.19       ,8.42            ,-13.83               ,-4.02                          ,2.11                      ,-2.5                         ,-2.81           ,-3.06                   ,-5.1         ,4.51                ,-31.58  ,9.66                 ,-9.83                     ,18.44   ,-0.43                ,12.02                        ,4.2               ,4.96                 ,- -          ,             1.73 ,72.4         ,-23.54                          ,-22.75       ,-5.1                       ,-2.22              ,12.26    ,45.33              ,46.56                        ,-4.44         ,-14.32                ,-2.33               ,-32.34     ,0.5                         ,279.76         ,-1.94                    ,-766.77                  ,0.07                           ,7.37                  ,- -                         ,185.19                         ,3.5            ,34.68          ,-33.43                      ,-24.08                         ,-386.4              ,7.37                 ,-2.51          ,-2.7                 ,49.49                   ,0.12270794423311338
 6 ,2016 ,-6.05                    ,-8.11           ,-2.01        ,-6.28                      ,- -                    ,3.41                    ,-64.27                      ,36.42         ,37.91                       ,-0.73                     ,40                ,-1.12                       ,40.55               ,3.4    ,10.06             ,3.41  ,3.41  ,4.3              ,10.07                ,47.94             ,1.17               ,6.08               ,3.37                 ,128.52                         ,128.52                  ,-1.87                   ,-8.25       ,-23.84          ,4                    ,-1.05                          ,-0.91                     ,-5.29                        ,-2.42           ,-2.22                   ,-1.15        ,21.53               ,-15.04  ,0.32                 ,2.55                      ,-7.23   ,5.83                 ,-3.28                        ,-1.48             ,-8.72                ,- -          ,             5.22 ,13.05        ,-1.33                           ,-0.31        ,-1.15                      ,-0.32              ,-13.75   ,-13.49             ,-3.66                        ,1.42          ,-38.61                ,-7.14               ,37.91      ,3.37                        ,-94.44         ,-15.6                    ,20.26                    ,3.42                           ,2.37                  ,- -                         ,-105.83                        ,5.31           ,-75.92         ,-47.78                      ,65.05                          ,-198.51             ,2.37                 ,3.83           ,7.31                 ,-25.59                  ,0.007741714728323634
 7 ,2017 ,-5.7                     ,-6.31           ,-4.56        ,-10.18                     ,- -                    ,1.91                    ,60                          ,-5.5          ,-2.06                       ,-1.97                     ,-0.39             ,-2.27                       ,-0.08               ,1.43   ,7.55              ,1.91  ,1.91  ,1.21             ,8.07                 ,3.55              ,-3.21              ,8.04               ,-0.74                ,0.31                           ,0.31                    ,5.09                    ,4.94        ,-4.36           ,3.15                 ,-1.49                          ,0.24                      ,-4.95                        ,0.43            ,-0.13                   ,0.46         ,3.58                ,33.91   ,-13.97               ,6.3                       ,8.29    ,-7.02                ,3.23                         ,4.22              ,-4.48                ,- -          ,             4.14 ,-14.08       ,-12.22                          ,-9.04        ,0.46                       ,-3.33              ,13.67    ,24.97              ,6.48                         ,-2.96         ,-38.11                ,-2.56               ,-2.06      ,-0.74                       ,801.12         ,6.57                     ,-189.85                  ,-12.04                         ,-6.16                 ,- -                         ,-792.61                        ,5.92           ,97.62          ,172.21                      ,-28.01                         ,-95.22              ,-6.16                ,-14.29         ,-1.73                ,-9.92                   ,-0.20070878060893382
 8 ,2018 ,0.77                     ,2.55            ,-2.45        ,-1.74                      ,- -                    ,-3.17                   ,9.79                        ,-5.97         ,27.15                       ,-1.75                     ,30.86             ,-2.06                       ,31.27               ,-2.15  ,-2.9              ,-3.17 ,-3.17 ,-3.2             ,-3.91                ,27.58             ,-4.27              ,2.2                ,2.52                 ,-47.92                         ,-47.92                  ,17.77                   ,10.69       ,4.38            ,1.53                 ,9.75                           ,5                         ,-1.13                        ,61.92           ,49.29                   ,40.4         ,29.55               ,71.3    ,5.36                 ,37.73                     ,65.76   ,3.15                 ,47.11                        ,44.03             ,6.82                 ,- -          ,            10.05 ,8.22         ,41.9                            ,29.88        ,40.4                       ,2.81               ,76.92    ,36.22              ,73.63                        ,-26.28        ,-34.48                ,5.26                ,27.15      ,2.52                        ,-300.71        ,-19.54                   ,-333.66                  ,22.81                          ,-9.02                 ,- -                         ,1242.62                        ,0.41           ,510.95         ,-122.3                      ,-430.93                        ,-2008.61            ,-9.02                ,36.18          ,-35.86               ,-4.48                   ,-0.2533290189837579
 9 ,2019 ,7.15                     ,7.71            ,6.07         ,6.66                       ,- -                    ,5.46                    ,37.03                       ,-2.51         ,-17.42                      ,4.09                      ,-20.99            ,3.36                        ,-20.43              ,4.48   ,-2.49             ,5.46  ,5.46  ,-1.01            ,-1.57                ,-23.24            ,7.15               ,-0.39              ,0.21                 ,12.78                          ,12.78                   ,-0.27                   ,-5.05       ,24.91           ,1.52                 ,-6.42                          ,0.77                      ,-9.35                        ,-1.22           ,-2.17                   ,-1.67        ,3.93                ,-9.04   ,-5.39                ,-3.47                     ,-8.24   ,4.04                 ,-5.68                        ,-4.98             ,14.41                ,- -          ,             3.71 ,8.09         ,14.87                           ,8.95         ,-1.67                      ,1.48               ,-8.95    ,-16.43             ,-5.29                        ,5.17          ,-155.92               ,- -                 ,-17.42     ,0.21                        ,-184.53        ,10.26                    ,-101.38                  ,-1.2                           ,-13.67                ,- -                         ,-93.59                         ,3.69           ,-94.82         ,-100.3                      ,-139.97                        ,-118.58             ,-13.67               ,2.3            ,21.67                ,20.13                   ,0.14250064305164956
