   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,29.64                    ,5.88            ,-320.88      ,-3.71                      ,- -                    ,-124.28                 ,-99.47                      ,-94.4         ,-93.82                      ,62.16                     ,-97.25            ,75.57                       ,-97.46              ,-307.59 ,-260.12           ,-124.28 ,-124.28 ,-270.37          ,-118.73              ,-95.46            ,- -                ,899.38             ,-54.31               ,16.67                          ,-7.13                   ,15.71                   ,19.97       ,-70.16          ,-10.45               ,2.93                           ,12.72                     ,-9.51                        ,18.69           ,11.42                   ,1.91         ,9.52                ,-84.19  ,-47.96               ,-10.07                    ,64.37   ,-19.35               ,-11.83                       ,-11.02            ,0.9                  ,- -          ,-106.05           ,-21.22       ,70.27                           ,69.24        ,1.91                       ,62.18              ,49.41    ,-11.72             ,-30.56                       ,-0.43         ,74.77                 ,- -                 ,-93.82     ,-54.31                      ,-95.66         ,- -                      ,-85.91                   ,-139.33                        ,-99.8                 ,496.5                       ,-106.5                         ,1520.62        ,-17.08         ,- -                         ,-121.92                        ,-121.02             ,-99.8                ,-129.93        ,- -                  ,-767.94                 ,
 1 ,2011 ,10.83                    ,10.42           ,13.72        ,3.82                       ,- -                    ,36.55                   ,-246.55                     ,4.32          ,42.81                       ,2.4                       ,58.68             ,2.71                        ,58.2                ,18.98   ,7.35              ,36.55   ,36.55   ,2.61             ,23.2                 ,34.35             ,8.15               ,-43.1              ,6.08                 ,18.9                           ,-26.41                  ,14.37                   ,18.14       ,-22.91          ,13.56                ,19.35                          ,22.41                     ,-20.39                       ,-5.98           ,-1.73                   ,4.11         ,5.2                 ,4.08    ,- -                  ,3.76                      ,27.43   ,-0.9                 ,3.84                         ,3.81              ,8.8                  ,6.67         ,2600.38           ,-568.51      ,5.36                            ,4.93         ,4.11                       ,4.31               ,-78.97   ,-79.96             ,-44.29                       ,9.44          ,-21.49                ,2.48                ,42.81      ,6.08                        ,-19.58         ,- -                      ,303.42                   ,20.44                          ,7509.09               ,93.96                       ,-1133.25                       ,-41.73         ,537.09         ,-102.62                     ,-96.34                         ,180.71              ,7509.09              ,8.27           ,-57.69               ,-19.11                  ,-0.4500492353777026
 2 ,2012 ,1.32                     ,7.83            ,-43.4        ,11.76                      ,- -                    ,-146.36                 ,2725.39                     ,-605.55       ,-33.93                      ,1.95                      ,-37.17            ,0.42                        ,-36.21              ,148.8   ,145.57            ,-146.36 ,-146.36 ,-44.14           ,-145.75              ,-33.54            ,-1.54              ,0.55               ,427.81               ,-13.39                         ,18.86                   ,45.13                   ,2.72        ,210.45          ,16.18                ,-12.76                         ,-6.22                     ,1.37                         ,-3.83           ,-5.84                   ,3.33         ,2.59                ,228.06  ,- -                  ,10.34                     ,-9.6    ,6.37                 ,3.09                         ,6.45              ,-9.69                ,-12.5        ,40.01             ,37.38        ,-4.92                           ,-5.11        ,3.33                       ,-12.68             ,9.46     ,15.35              ,-228.28                      ,5.29          ,-180.31               ,2.9                 ,-33.93     ,427.81                      ,665.76         ,- -                      ,-117.63                  ,29.87                          ,25.45                 ,-165.34                     ,-72.49                         ,2.51           ,0.02           ,5623.6                      ,1224.3                         ,-147.83             ,25.45                ,30.37          ,7.02                 ,92.87                   ,0.28824131796785113
 3 ,2013 ,2.08                     ,-2.88           ,66.97        ,-8.91                      ,- -                    ,-276.26                 ,-106.61                     ,-124.65       ,-13.12                      ,-11.05                    ,-12.78            ,0.06                        ,-22.46              ,-61.42  ,-62.21            ,-276.26 ,-276.26 ,63.56            ,-272.66              ,-15.37            ,-0.71              ,101.97             ,-79.26               ,5.78                           ,8.68                    ,58                      ,-4.59       ,16.55           ,16.44                ,46.05                          ,41.92                     ,17.59                        ,-9.55           ,6.82                    ,11.32        ,-3.09               ,156.58  ,104.16               ,15.59                     ,109.12  ,-19.13               ,3.98                         ,9.56              ,20.74                ,7.14         ,37.38             ,-61.34       ,17.56                           ,16.69        ,11.32                      ,9.78               ,-781.37  ,-683.93            ,62.81                        ,0.73          ,500.07                ,2.82                ,-13.12     ,-79.26                      ,-101.67        ,- -                      ,-293.01                  ,19.09                          ,114.67                ,-98.03                      ,309.76                         ,79.66          ,210.33         ,-52.14                      ,-178.7                         ,-15.26              ,114.67               ,8.59           ,14.88                ,37.85                   ,0.12160809933210404
 4 ,2014 ,0.32                     ,3.46            ,-23.52       ,-1.81                      ,- -                    ,-70.91                  ,45.35                       ,-43.07        ,-24.63                      ,15.22                     ,-35.45            ,0.66                        ,-26.11              ,-35.19  ,-35.39            ,-70.91  ,-70.91  ,-23.76           ,-71                  ,-26.37            ,1.72               ,62.83              ,-9.99                ,-2.82                          ,-5.33                   ,12.24                   ,-2.83       ,3.77            ,2.66                 ,18.98                          ,20.17                     ,3.16                         ,7.06            ,10.8                    ,6.81         ,4.5                 ,5.86    ,27.12                ,5.27                      ,44.62   ,13.85                ,25.01                        ,15.01             ,0.55                 ,6.67         ,5.51              ,159.33       ,-16.78                          ,-16.56       ,6.81                       ,6.67               ,72.55    ,106.79             ,-16.21                       ,-2.48         ,95.1                  ,-1.37               ,-24.63     ,-9.99                       ,-346.92        ,- -                      ,-118.4                   ,-20.36                         ,111.89                ,-393.38                     ,9.3                            ,87.61          ,11.88          ,34.41                       ,52.1                           ,-98.25              ,111.89               ,-49.09         ,-12.55               ,7.81                    ,-0.22953967671830755
 5 ,2015 ,-2.29                    ,-5.68           ,32.55        ,10.26                      ,- -                    ,196.79                  ,8.67                        ,81.77         ,139.3                       ,-1.18                     ,249.61            ,-2.79                       ,255.37              ,45.3    ,48.7              ,196.79  ,196.79  ,35.65            ,203.75               ,151.06            ,-1.84              ,-28.31             ,10.76                ,-16.95                         ,-19.61                  ,3.05                    ,0.89        ,-11.03          ,-6.77                ,47.69                          ,44.63                     ,10.19                        ,9.94            ,23.94                   ,9.48         ,1.19                ,30.52   ,37.3                 ,8.77                      ,36.72   ,-11.15               ,8.93                         ,8.86              ,-4.6                 ,-6.25        ,39.16             ,-0.46        ,12.45                           ,11.93        ,9.48                       ,-6.25              ,71.67    ,53.37              ,5.35                         ,-14.29        ,10.47                 ,-0.46               ,139.3      ,10.76                       ,112.14         ,- -                      ,-818.85                  ,19.09                          ,217.38                ,-315.04                     ,78.59                          ,-29.16         ,13.73          ,7.42                        ,141.16                         ,-6874.29            ,217.38               ,-160.2         ,-48.41               ,-51.45                  ,0.02244699804156003
 6 ,2016 ,9.2                      ,8.26            ,16.13        ,-12.64                     ,- -                    ,94.92                   ,-24.18                      ,51.39         ,-3.61                       ,-2.9                      ,0.22              ,-4.27                       ,1.65                ,54.51   ,41.48             ,94.92   ,94.92   ,6.35             ,78.49                ,-10.89            ,4.35               ,8.77               ,29.82                ,5.98                           ,-14.95                  ,20.14                   ,0.17        ,-59.1           ,-2.31                ,36.86                          ,38.52                     ,-2.23                        ,18.3            ,24.87                   ,13.97        ,7.49                ,48.39   ,23.71                ,19.19                     ,27.67   ,-5.99                ,11.73                        ,15.19             ,-2.26                ,- -          ,29                ,16.1         ,9.94                            ,9.3          ,13.97                      ,- -                ,49.7     ,36.96              ,-3.71                        ,-18.04        ,-5.54                 ,4.65                ,-3.61      ,29.82                       ,-24.58         ,- -                      ,-75.03                   ,38.13                          ,29.46                 ,-531.35                     ,27.14                          ,5.62           ,26.52          ,-28.98                      ,25.23                          ,-17.38              ,29.46                ,-3.18          ,-26.08               ,41.94                   ,-0.020785547967751672
 7 ,2017 ,-12.5                    ,-13.18          ,-7.83        ,-18.23                     ,- -                    ,4.93                    ,-13.65                      ,1.53          ,-96.44                      ,-4.87                     ,-143.27           ,-4.97                       ,-143.31             ,11.65   ,27.59             ,4.93    ,4.93    ,5.33             ,19.92                ,-146.84           ,9.38               ,-0.87              ,17.8                 ,-3.94                          ,19.69                   ,-9.52                   ,-22.66      ,-5.75           ,-9.79                ,-21.74                         ,-10.39                    ,0.86                         ,20.36           ,-1.2                    ,-4.15        ,-6.5                ,-7.11   ,- -                  ,-9.73                     ,20.96   ,-12.75               ,7.53                         ,-0.75             ,-5.97                ,-6.67        ,-32.64            ,-14.14       ,-20.15                          ,-17.87       ,-4.15                      ,-6.67              ,9.82     ,33.71              ,-16.26                       ,-0.06         ,3.84                  ,-20                 ,-96.44     ,17.8                        ,-436.45        ,- -                      ,588.36                   ,4.73                           ,-2.26                 ,-194.68                     ,-22.64                         ,-5.7           ,15.61          ,79.68                       ,-26.58                         ,-219.45             ,-2.26                ,-39.85         ,11.02                ,-355.52                 ,0.030915511060922718
 8 ,2018 ,1.0                      ,5.52            ,-28.05       ,0.78                       ,- -                    ,-55.62                  ,122.2                       ,-27.94        ,2346.97                     ,-3.69                     ,-311.83           ,-4.09                       ,-312.72             ,-18.69  ,-19.5             ,-55.62  ,-55.62  ,-28.77           ,-56.06               ,-305.34           ,5.09               ,4.25               ,11.48                ,12.53                          ,34.37                   ,16.43                   ,-7.94       ,-5.44           ,9.53                 ,0.98                           ,4.02                      ,1.57                         ,9.58            ,5.78                    ,6.99         ,0.84                ,18.27   ,- -                  ,6.95                      ,8.63    ,-8.94                ,2.95                         ,4.7               ,0.76                 ,- -          ,26.64             ,12.83        ,11.03                           ,18.17        ,6.99                       ,- -                ,6.86     ,-9.57              ,14.2                         ,2.41          ,16.25                 ,-3.89               ,2346.97    ,11.48                       ,-165.86        ,- -                      ,-54.36                   ,-11.96                         ,-12.74                ,-34.7                       ,-24.7                          ,0.4            ,-16.07         ,-159.48                     ,-8.98                          ,154.15              ,-12.74               ,-20.09         ,-10.37               ,-142.45                 ,-0.0881913343970464
 9 ,2019 ,-6.67                    ,-7.29           ,-0.87        ,-12.01                     ,- -                    ,23.31                   ,-52.36                      ,-13.02        ,-17.44                      ,0.92                      ,-17.62            ,0.56                        ,-17.33              ,8.2     ,15.93             ,23.31   ,23.31   ,6.21             ,32.12                ,-9.99             ,-1.55              ,3.86               ,3.28                 ,-13.3                          ,-8.52                   ,- -                     ,5.93        ,50.97           ,-0.4                 ,-6.27                          ,-1.84                     ,-7.09                        ,5.89            ,0.66                    ,0.31         ,-5.64               ,17.27   ,- -                  ,3.24                      ,-9.77   ,6.79                 ,-5.03                        ,-1.34             ,2                    ,- -          ,20.33             ,23.42        ,7.55                            ,7.43         ,0.31                       ,- -                ,0.18     ,-6.76              ,8.74                         ,-3.53         ,32.99                 ,-5.2                ,-17.44     ,3.28                        ,-61.37         ,- -                      ,175.36                   ,-1.54                          ,-1.98                 ,-4.28                       ,-47.51                         ,4.82           ,-15.67         ,- -                         ,-140.83                        ,-109.33             ,-1.98                ,-6.55          ,9.51                 ,17.21                   ,-0.14859721470608656
