,Date,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income,Performance
0,2010,23.97,17.79,27.67,30.37,32.33,24.89,501.45,28.82,30.44,0.78,29.43,1.2,28.9,19.73,-3.42,24.89,24.89,2.98,0.74,5.22,0.78,- -,-8.4,36.31,17.96,56.26,- -,115.06,42.5,60.14,44.78,305.43,25.98,43.77,42.85,219.39,- -,42.38,263.89,- -,-7.56,-7.56,158.4,-42.36,15.29,38.77,31.43,28.43,28.43,42.85,1.11,-16.01,-34.61,-11.55,-60.84,-7.56,23.01,30.44,-8.4,62.72,18.21,-120.37,18.95,527.78,12.04,33.18,- -,- -,- -,1209.01,125.56,527.78,-29.51,-39.49,-8.82,-0.16978012789355457
1,2011,29.28,26.6,30.75,53.6,37.21,17.93,-79.76,14.17,14.49,1.28,13.04,1.23,13.1,19.67,-7.43,17.93,17.93,1.14,-8.78,-11.44,-2.84,- -,32.59,33.71,-17.02,23.39,- -,-39.56,26.94,23.77,22.33,51.05,17.68,21.65,25.45,12.76,-64.85,31.1,-10.83,- -,56.75,241.76,24.28,11.13,11.13,34.94,100,25.74,25.74,25.45,1.12,-32.53,-46.34,0.39,42.36,-4.99,33.06,14.49,32.59,83.5,43.46,-736.36,31.44,4.98,67.79,78.29,- -,107.87,- -,-73.54,-206.32,4.98,53.89,-11.45,14.81,0.08746054188098551
2,2012,21.46,30.24,16.77,22.33,17.84,13,655.95,17.39,18.65,1.37,8.78,1.56,8.58,19.18,-1.88,13,13,-3.86,-6.96,-9.21,-26.79,- -,60.02,5.68,38.73,39.1,1342.86,118.44,14.59,23.44,22.9,85.95,112.47,68.27,29.24,62.36,105.25,34.59,60.85,0.07,88.06,40.43,53.05,12.69,12.69,28.55,94.93,23.34,23.34,29.24,1.56,44.68,17.3,-8.36,-28.76,-2.13,65.89,10.27,60.02,-13.85,36.37,42.54,14.1,159.29,-108.38,-31.43,- -,-26.14,- -,52.29,-230.61,159.29,-69.89,-27.7,3.48,-0.03887196473185006
3,2013,20.59,28.04,16.16,22.8,17.33,11.34,-21.89,9.88,13.91,1.72,16.58,1.96,16.31,15.16,-4.51,11.34,11.34,-3.68,-7.67,-1.66,36.01,- -,32.98,21.82,27.29,9.38,-15.64,33.72,20.56,39.4,34.7,34.51,-2.43,14.07,18.25,7.87,20.36,11.97,10.96,-25.17,14.9,-0.56,6.92,13.52,13.52,26.73,-76.77,21.74,21.74,18.25,1.77,51.15,24.16,5.43,8.66,-18.85,-11.33,18.59,32.98,-9.45,24.18,-82.63,12.28,-36.38,-734.41,4.77,- -,-33.16,- -,-169.73,-13.96,-36.38,254.68,79.62,-5.32,0.28829875170646035
4,2014,18.88,16.81,20.24,27.27,37.76,7.1,53.83,8.55,3.5,1.54,9.34,1.39,9.49,11.03,-6.61,7.1,7.1,1.14,-9.91,-6.61,5.92,- -,26.4,9.03,-5.92,15.54,- -,-7.99,7.92,44.54,37.37,55.82,20.66,32.86,16.47,17.29,-33.2,7.18,5.48,44.36,-2.69,10.97,7.27,10.98,10.98,22.53,-78.4,18.96,18.96,16.47,1.5,-8.27,-22.89,2.74,2.31,-8.7,12.24,11.02,26.4,76.79,28,330.77,23.39,80.58,-1.44,53.92,- -,7.96,- -,143.52,-102.86,80.58,-27.72,-30.88,11.15,-0.16784650543359203
5,2015,13.62,9.63,16.16,8.59,24.92,17.36,-61.86,13.86,20.03,1.29,14.18,0.85,14.67,13.73,0.1,17.36,17.36,2.24,3.3,1.79,-1.48,- -,1.69,16.66,-0.22,28.21,15.26,-48.82,14.57,21.49,22.6,68.33,-1.79,13.49,14.15,7.39,60.45,13.27,15.08,-38.2,9.49,-8.52,7.12,14.65,14.65,18.86,-7040.74,15.86,15.86,14.15,0.92,-0.34,-13.98,2.61,-0.45,32,15.32,15.65,1.69,72.07,21.59,-160.86,15.41,-35.95,88.8,12.61,- -,17.89,122.22,102.44,1055.93,-35.95,130.08,56.45,-0.21,0.4733836697160605
6,2016,20.38,24.76,17.74,15.06,13.56,22.5,49.14,22.89,19.15,0.46,18.6,0.83,18.16,22.26,1.56,22.5,22.5,-2.19,1.76,-1.03,3.27,- -,21.35,18.16,-21.94,2.32,-45.42,72.77,16.97,17.98,18.39,13.41,-5.06,8.27,13.59,-0.65,- -,17.29,-13.23,97.24,33.39,49.68,4.91,10.08,10.08,17.83,28.18,15.54,15.54,13.59,0.57,-22.25,-32.71,2.5,34.8,13.59,16.56,19.15,21.35,27.72,28.83,-906.85,35.62,9.94,34.59,31.44,- -,-36.31,107.47,97.21,153.74,9.94,51.58,-20,13.82,-0.07679005448090304
7,2017,22.8,29.73,18.39,12.95,19.19,21.92,-496.54,12.6,-34.99,0.7,-35.45,0.7,-35.44,19.99,-2.29,21.92,21.92,-3.59,-0.72,-47.06,10.45,- -,12.55,18,-17.05,31.43,179.48,-34.8,17.93,23.8,25.5,32.92,3.7,17.55,17.79,30.95,- -,75.11,44.32,0.86,114.17,76.08,57.38,10.85,10.85,7.72,-58.7,9.69,9.69,17.79,0.5,-24.61,-31.27,-7.33,-18.29,5.39,11.18,-34.99,12.55,16.22,14.56,180.18,2.93,20.3,9.39,0.76,- -,-50.84,9.56,-0.41,-24.65,20.3,-4.9,23.61,58.33,0.13509546816789952
8,2018,23.42,30.64,18.38,17.85,28.84,12.73,-234.69,28.39,142.74,0.37,141.85,-0.04,142.85,16.19,-5.86,12.73,12.73,-4.08,-8.66,96.68,0.1,- -,30.66,7.14,55.87,13.3,47.8,42,9.15,40.9,38.33,77.38,3.28,33.06,17.99,19.27,- -,84.28,43.16,1.08,-0.66,-0.32,23.15,11.93,11.93,19.11,132.46,16.48,16.48,17.99,0.11,88.29,61.66,-1.01,-23.76,-5.32,23.29,142.74,30.66,-60.18,21.8,-46.92,29.33,97.68,-89.86,-9.23,- -,57.68,100.82,58.82,-341.1,97.68,-9.65,-32.1,-46.72,0.05436051609292869
9,2019,18.3,20.73,16.42,20.46,21.47,10.23,59.49,13.5,11.74,-0.37,12.15,-0.67,12.49,14.6,-3.13,10.23,10.23,-1.59,-6.83,-5.55,-1.73,- -,30.39,9.65,10.76,29.72,-9.76,4.15,12.46,41.64,39.56,-5.64,9.04,26.99,18.52,32.73,-62.82,20.95,30.62,268.1,-12.42,42.36,34.99,12.22,12.22,12.78,-46.57,13.41,13.41,18.52,-1.04,9.36,-3.57,-4.67,-13.91,-8.32,20.38,11.74,30.39,130.16,15.41,-83.31,13.65,-2.13,103.7,3.46,- -,-95.31,126.41,76.11,-71.06,-2.13,33.34,16.12,1.72,-0.00701886948143704
