   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,12.32                    ,15.8            ,10.49        ,                     10.48 ,- -                    ,10.51                   ,4553.43                     ,6.2           ,7.73                        ,1.14                      ,440.14            ,1.32                        ,439.18              ,9.23   ,-2.75             ,10.51 ,10.51 ,-1.63            ,-1.62                ,386.38            ,82.74              ,0.1                ,3.59                 ,80.34                          ,80.34                   ,7.33                    ,64.69       ,44.2            ,62.68                ,                          4.38 ,                     1.99 ,- -                          ,-2.02           ,-0.98                   ,21.62        ,-20.04              ,474.61  ,174.43               ,100.03                    ,62.86   ,-75.81               ,-40.72                       ,6.67              ,13.7                 ,- -          ,99.48             ,305.97       ,29.04                           ,43.63        ,21.62                      ,-0.99              ,22.69    ,-14.58             ,-206.68                      ,-18.67        ,-68.32                ,-38.54              ,195.38     ,3.59                        ,-63.22         ,24.04                    ,133.3                    ,21.62                          ,36.92                 ,-95.48                      ,-95.49                         ,1.25           ,79.61          ,-849.52                     ,-159.29                        ,-2429.62            ,36.92                ,19.79          ,-2.22                ,-77.74                  ,-0.26820214153240807
 1 ,2011 ,13.23                    ,13.75           ,12.94        ,                     17.51 ,- -                    ,2.57                    ,-42.69                      ,4.45          ,2.74                        ,-1.53                     ,4.51              ,-2                          ,5.01                ,5.58   ,-6.75             ,2.57  ,2.57  ,-0.25            ,-9.41                ,-9.11             ,8.37               ,-0.15              ,19.76                ,75.89                          ,75.89                   ,26.4                    ,-21.56      ,467.94          ,90.85                ,                         39.34 ,                    33.17 ,- -                          ,40.48           ,40.29                   ,64.3         ,39.93               ,56.82   ,198.37               ,114.78                    ,-1.74   ,38.91                ,10.65                        ,76.4              ,-8.93                ,- -          ,25.86             ,-279.23      ,37.53                           ,51.07        ,64.3                       ,0.87               ,170.57   ,79.11              ,-42.93                       ,-11.14        ,-188.67               ,4.48                ,4.4        ,19.76                       ,-28.29         ,-12.1                    ,228.93                   ,52.39                          ,75.79                 ,- -                         ,959.44                         ,-1.68          ,5.9            ,-78.03                      ,-219.19                        ,61.5                ,75.79                ,49.19          ,-21.47               ,48.08                   ,0.02705612031728144
 2 ,2012 ,18.5                     ,18.01           ,18.77        ,                     19.01 ,- -                    ,-7.31                   ,-6.57                       ,-7.33         ,-5.05                       ,-1.26                     ,-8.92             ,-1.3                        ,-8.89               ,-1.78  ,-17.12            ,-7.31 ,-7.31 ,0.23             ,-21.78               ,-24.11            ,17.16              ,0.06               ,20.5                 ,-42.31                         ,-42.31                  ,9.88                    ,29.11       ,-14.12          ,-32.43               ,                         19.33 ,                    15.79 ,- -                          ,-9.04           ,-4.2                    ,-19.77       ,37.82               ,-18.16  ,-71.11               ,-42.03                    ,-11.8   ,1.61                 ,-6.67                        ,-33.85            ,-14.51               ,- -          ,23.02             ,-137.82      ,-1.04                           ,-1.79        ,-19.77                     ,-2.22              ,-65.33   ,-64.7              ,63.62                        ,16.57         ,5.53                  ,1.15                ,-4.89      ,20.5                        ,-68.23         ,3.19                     ,-246.13                  ,-124.44                        ,11.51                 ,270.42                      ,-43.66                         ,-1.21          ,-63.12         ,568.48                      ,-291.18                        ,-197.35             ,11.51                ,-146.36        ,-1122.06             ,-127.18                 ,-0.17622774753356163
 3 ,2013 ,7.81                     ,9.85            ,6.68         ,                      9.01 ,- -                    ,16.22                   ,232.21                      ,11.26         ,9.72                        ,-1.35                     ,16.43             ,-1.52                       ,16.63               ,15.39  ,7.03              ,16.22 ,16.22 ,-1.05            ,7.81                 ,6.54              ,3.5                ,-0.45              ,12.8                 ,-12.9                          ,-12.9                   ,3.59                    ,12.09       ,21.48           ,-2.74                ,                         13.8  ,                     7.96 ,- -                          ,37.84           ,32.73                   ,16.25        ,-17.21              ,-10.97  ,-20.08               ,-15.91                    ,276.7   ,43.95                ,179.73                       ,47.93             ,-43.58               ,- -          ,13.67             ,-49.79       ,-2.23                           ,-10.98       ,16.25                      ,-3.98              ,-286.03  ,-308.98            ,-136.66                      ,15.65         ,3.91                  ,4.16                ,9.72       ,12.8                        ,313.18         ,12.42                    ,-64.81                   ,-238.66                        ,-10.27                ,6.51                        ,251.36                         ,-1.79          ,675.63         ,75.99                       ,-184.11                        ,-80.72              ,-10.27               ,-150.1         ,-121.02              ,-220.72                 ,0.14090152859488225
 4 ,2014 ,7.5                      ,10.46           ,5.82         ,                      6.84 ,- -                    ,13.52                   ,22.77                       ,12.88         ,13.09                       ,-7.26                     ,22.38             ,-7.08                       ,22.14               ,12.49  ,4.63              ,13.52 ,13.52 ,-1.56            ,5.59                 ,5.57              ,2.8                ,0.16               ,9.2                  ,-14.49                         ,-14.49                  ,13.01                   ,-39.98      ,152.59          ,35.32                ,                          6.23 ,                     7.27 ,- -                          ,28.35           ,24.32                   ,28.59        ,-0.34               ,76.22   ,153.49               ,72.08                     ,54.41   ,22.63                ,47.6                         ,56.97             ,-9.57                ,- -          ,-14.89            ,-88.21       ,-12.99                          ,-11.95       ,28.59                      ,-8.72              ,166.11   ,202.24             ,265.38                       ,-21.36        ,-1.68                 ,4.58                ,13.09      ,9.2                         ,-31.08         ,61.68                    ,37.43                    ,-19.31                         ,-17.42                ,- -                         ,-5.09                          ,-7.12          ,136.94         ,155.17                      ,19.28                          ,-15.14              ,-17.42               ,-20.62         ,63.47                ,-28.9                   ,0.12967977931437824
 5 ,2015 ,8.59                     ,7.34            ,9.34         ,                      8.23 ,- -                    ,12.6                    ,40.28                       ,10.54         ,14.51                       ,-7.05                     ,21.95             ,-7.19                       ,22.14               ,12.61  ,3.7               ,12.6  ,12.6  ,0.69             ,3.69                 ,4.38              ,1.18               ,-0.21              ,12.65                ,11.84                          ,11.84                   ,-5.78                   ,-21.22      ,189.56          ,100.18               ,                          1.19 ,                     2.28 ,- -                          ,5.47            ,4.81                    ,43.81        ,-9.22               ,42.95   ,317.89               ,148.86                    ,21.97   ,-25.47               ,13.52                        ,70.34             ,-18.73               ,- -          ,-2.54             ,10372.52     ,-23.99                          ,-23.77       ,43.81                      ,-5.18              ,34.35    ,76.24              ,-7.49                        ,-19.56        ,-11.64                ,7.33                ,14.51      ,12.65                       ,165.25         ,-29.33                   ,-42.19                   ,121.47                         ,13.68                 ,- -                         ,-12.11                         ,-7.24          ,-7.18          ,-16.75                      ,-37.78                         ,-241.14             ,13.68                ,199.35         ,-26.11               ,95.38                   ,0.6066124263588926
 6 ,2016 ,4.49                     ,12.28           ,-0.06        ,                      2.36 ,- -                    ,-6.93                   ,62.16                       ,-13.47        ,-6.11                       ,-1.33                     ,-0.97             ,-1.3                        ,-1                  ,3.15   ,-1.28             ,-6.93 ,-6.93 ,-4.35            ,-10.93               ,-6.49             ,-48.45             ,3.23               ,36.64                ,60.54                          ,60.54                   ,42.12                   ,- -         ,-37.55          ,-13.33               ,                         31.95 ,                    25.32 ,- -                          ,238.73          ,207.65                  ,81.86        ,51.37               ,-21.46  ,-25.99               ,-19.38                    ,160.97  ,269.85               ,173.7                        ,55.27             ,1228.96              ,- -          ,27.74             ,32.29        ,262.34                          ,233.21       ,81.86                      ,18.28              ,128.84   ,-31.32             ,287.17                       ,7.51          ,2.18                  ,102.68              ,-6.11      ,36.64                       ,-54.36         ,46.32                    ,-140.81                  ,37.92                          ,-1.04                 ,- -                         ,382.46                         ,1.85           ,143.44         ,-63.49                      ,1337.31                        ,238.17              ,-1.04                ,48.61          ,11.48                ,41.16                   ,-0.018749186661943806
 7 ,2017 ,37.16                    ,68.0            ,16.94        ,                     12.27 ,- -                    ,31.52                   ,159.53                      ,8.8           ,70.24                       ,16.91                     ,47.49             ,16.79                       ,47.64               ,64.81  ,20.16             ,31.52 ,31.52 ,-14.74           ,-4.12                ,25.71             ,23.38              ,5.87               ,140.13               ,27.87                          ,27.87                   ,4.67                    ,- -         ,75.59           ,50.93                ,                         19.18 ,                    30    ,- -                          ,13.14           ,13.53                   ,23.67        ,32.48               ,43.09   ,66.6                 ,56.97                     ,4.1     ,-19.98               ,0.3                          ,18.35             ,20.39                ,- -          ,57.3              ,-25.57       ,38.16                           ,37.81        ,23.67                      ,3.08               ,2.86     ,-25.36             ,-37.88                       ,-3.85         ,-15.73                ,11.17               ,70.24      ,140.13                      ,-229.77        ,26.89                    ,-720.91                  ,-13.58                         ,98.61                 ,- -                         ,-65.4                          ,23.77          ,-67.19         ,-74.4                       ,-82                            ,-69.6               ,98.61                ,-34.07         ,49.71                ,-49.88                  ,0.25065312252563565
 8 ,2018 ,-15.32                   ,-43.21          ,10.95        ,                      3.09 ,- -                    ,31.88                   ,5.24                        ,43.16         ,-1.9                        ,2.6                       ,-5.94             ,2.41                        ,-5.76               ,24.74  ,47.3              ,31.88 ,31.88 ,31.02            ,55.73                ,13.96             ,-23.01             ,-8.32              ,15.88                ,-9.36                          ,-9.36                   ,15.41                   ,- -         ,-31.84          ,-21.55               ,                         11.08 ,                    28.21 ,- -                          ,13.51           ,13.34                   ,1.79         ,4.13                ,10.89   ,-24.43               ,-14.34                    ,10      ,15.63                ,10.71                        ,0.13              ,-6.08                ,- -          ,29.32             ,69.36        ,5.19                            ,5.58         ,1.79                       ,-0.77              ,16.69    ,10.53              ,37.6                         ,-8.42         ,-26.44                ,10                  ,-1.9       ,15.88                       ,-293.51        ,47.91                    ,-87.59                   ,115.87                         ,17.25                 ,- -                         ,100.58                         ,-5.94          ,39.11          ,498.08                      ,-18.56                         ,-164.72             ,17.25                ,170.15         ,-44.77               ,123.69                  ,0.0915566149171877
 9 ,2019 ,45.91                    ,89.39           ,24.95        ,                     33.39 ,- -                    ,7.38                    ,56.37                       ,-7.87         ,-3.18                       ,24.97                     ,-23.78            ,25.03                       ,-23.81              ,32.53  ,-9.17             ,7.38  ,7.38  ,-14.36           ,-26.41               ,-34.72            ,-33.12             ,996.1              ,68                   ,38.6                           ,38.6                    ,156.96                  ,- -         ,-1.32           ,29.33                ,                        111.59 ,                    72.62 ,- -                          ,320.94          ,307.06                  ,236.19       ,104.53              ,-28     ,3.06                 ,9.51                      ,81.26   ,393.72               ,122.41                       ,81.61             ,1055.77              ,- -          ,12.9              ,0.13         ,597.89                          ,570.16       ,236.19                     ,90.06              ,71.23    ,-74.45             ,10.98                        ,18.1          ,80.65                 ,118.18              ,-3.18      ,68                          ,39.48          ,55.01                    ,250.3                    ,25.78                          ,44.34                 ,- -                         ,-37.88                         ,1269.84        ,159.67         ,49.56                       ,-109.99                        ,-635                ,44.34                ,21.35          ,70.27                ,32.05                   ,0.4837394997496982
