   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   15.43 ,          15.26 ,15.67        ,10.96                      ,- -                    ,29.35                   ,-115.9                      ,20.7          ,19.22                       ,-4                        ,23.62             ,-3.68                       ,23.21               ,24.29  ,7.67              ,29.35  ,29.35  ,0.21             ,12.06                ,2.81              ,12.31              ,             17.82 ,1.46                 ,-31.84                         ,-31.84                  ,                  22.08 ,11.45       ,8.33            ,5                    ,1.09                           ,4.91                      ,-1.34                        ,9.58            ,4.48                    ,4.78         ,15.47               ,-16.02  ,- -                  ,11.91                     ,-3.9    ,14.79                ,3.47                         ,7.84              ,                6.35 ,- -          ,             9.08 ,247.11       ,1.92                            ,2.72         ,4.78                       ,-4.01              ,175.91   ,168.61             ,-3.38                        ,-6.17         ,-10.47                ,2.78                ,19.22      ,1.46                        ,48.22          ,15                       ,-194.21                  ,-18.56                         ,-9.67                 ,- -                         ,-35.57                         ,13.11          ,410.13         ,35.44                       ,39.91                          ,-368.73             ,-9.67                ,-20.68         ,64.13                ,-31.38                  ,0.32515528235156266
 1 ,2011 ,                   12.48 ,           9.36 ,16.81        ,14.6                       ,- -                    ,22.31                   ,-86.53                      ,23.16         ,29.76                       ,-1.62                     ,31                ,-1.33                       ,30.63               ,18.96  ,5.76              ,22.31  ,22.31  ,3.85             ,8.74                 ,14.59             ,-2.77              ,             20.45 ,-0.32                ,7.03                           ,7.03                    ,                  16.49 ,27.94       ,18.76           ,20.41                ,10.03                          ,7.89                      ,- -                          ,37.43           ,21.3                    ,20.79        ,-14.58              ,362.57  ,- -                  ,59.66                     ,-58.36  ,31.15                ,-19.21                       ,23.2              ,                9.12 ,- -          ,            11.08 ,-166.91      ,19.21                           ,19.09        ,20.79                      ,0.84               ,0.14     ,-15.91             ,-2.36                        ,-24.58        ,7.46                  ,15.68               ,29.76      ,-0.32                       ,24.97          ,8.48                     ,12.77                    ,25.09                          ,54.92                 ,- -                         ,216.31                         ,18.5           ,66.32          ,-70.07                      ,-69.33                         ,-122.2              ,54.92                ,17.01          ,3.91                 ,-2.94                   ,0.3782801675709677
 2 ,2012 ,                   10.79 ,          10.21 ,11.55        ,13.29                      ,- -                    ,7.48                    ,1378.49                     ,6.3           ,4.87                        ,0.17                      ,4.6               ,0.01                        ,4.77                ,7.37   ,-3.09             ,7.48   ,7.48   ,0.68             ,-2.99                ,-5.43             ,5.85               ,             21.7  ,6.6                  ,34.75                          ,34.75                   ,                   5.78 ,2.62        ,2.26            ,7.63                 ,7.95                           ,7.61                      ,- -                          ,0.89            ,4.59                    ,6.33         ,-4.85               ,-71.42  ,-8.47                ,-22.19                    ,166.8   ,-18.34               ,35.33                        ,-4.75             ,               14.79 ,- -          ,             9.83 ,-286.44      ,15.03                           ,14.43        ,6.33                       ,-0.69              ,-37.83   ,-45.67             ,10.93                        ,38.32         ,1.22                  ,4.67                ,4.87       ,6.6                         ,45.85          ,2.74                     ,-0.27                    ,9.39                           ,26.87                 ,- -                         ,-42.88                         ,21.91          ,17.84          ,125.4                       ,122.29                         ,245.61              ,26.87                ,3.13           ,-7.76                ,4.41                    ,-0.0365376766816099
 3 ,2013 ,                    5.45 ,           5.31 ,5.63         ,1.96                       ,- -                    ,14.65                   ,-30.6                       ,15.19         ,15.58                       ,-0.51                     ,16.12             ,-0.85                       ,16.52               ,14.52  ,8.6               ,14.65  ,14.65  ,0.17             ,8.73                 ,9.56              ,-0.33              ,             16.68 ,13.56                ,-4.74                          ,-4.74                   ,                  17.19 ,0.28        ,-0.08           ,4.95                 ,5.59                           ,6.54                      ,- -                          ,4.55            ,5.11                    ,5.02         ,13.81               ,-0.32   ,7.99                 ,10.72                     ,-4.61   ,-14.85               ,-9                           ,2.23              ,                9.28 ,- -          ,            10.31 ,-46.03       ,7.49                            ,6.72         ,5.02                       ,-0.9               ,-0.38    ,-6.65              ,2.11                         ,-5.21         ,-0.93                 ,5.8                 ,15.58      ,13.56                       ,-35.99         ,0.16                     ,-55.23                   ,20.87                          ,8.92                  ,- -                         ,30.68                          ,16.08          ,-68.6          ,28.76                       ,49.8                           ,-103.27             ,8.92                 ,26.14          ,8.68                 ,4.62                    ,-0.015563614964194672
 4 ,2014 ,                    5.59 ,           6.59 ,4.3          ,4.49                       ,- -                    ,3.88                    ,37.56                       ,3.63          ,0.56                        ,-1.62                     ,2.24              ,-1.94                       ,2.58                ,5.28   ,-0.29             ,3.88   ,3.88   ,-1.22            ,-1.62                ,-4.73             ,6.03               ,             15.94 ,15.34                ,-47.37                         ,-47.37                  ,                   6.47 ,3.9         ,2.48            ,-2.52                ,9.58                           ,5.92                      ,- -                          ,-2.2            ,4.21                    ,0.32         ,10.31               ,-17.46  ,1.95                 ,5.51                      ,-9.47   ,11.98                ,-0.87                        ,3.07              ,                5.83 ,- -          ,             8.82 ,-434.35      ,-1.25                           ,-1.28        ,0.32                       ,-2.07              ,129.14   ,132.12             ,-1.05                        ,-7.61         ,-3.48                 ,-0.42               ,0.56       ,15.34                       ,86.98          ,-11.8                    ,186.23                   ,-2.7                           ,42.35                 ,- -                         ,-3.85                          ,14.06          ,82.47          ,19.76                       ,28.31                          ,4701.66             ,42.35                ,-19.87         ,-7.57                ,-3.27                   ,-0.0986733446046788
 5 ,2015 ,                    0.08 ,           1.61 ,-1.92        ,-1.21                      ,- -                    ,-3.47                   ,289.72                      ,-6.27         ,-3.34                       ,-4.65                     ,0.59              ,-4.97                       ,0.94                ,-1.75  ,-1.83             ,-3.47  ,-3.47  ,-2               ,-3.56                ,-4.16             ,-8.45              ,             10.3  ,9.43                 ,28.01                          ,28.01                   ,                   3.13 ,4.26        ,-36.34          ,2.73                 ,8.07                           ,8.19                      ,- -                          ,39.02           ,21.32                   ,10.88        ,6.8                 ,647.72  ,-13.12               ,41.75                     ,244.24  ,-1.74                ,132.83                       ,75.34             ,                5.2  ,- -          ,             7.36 ,128.7        ,-29.39                          ,-28.36       ,10.88                      ,-8.01              ,561      ,822.67             ,-56.45                       ,-27.53        ,2.47                  ,9.32                ,-3.34      ,9.43                        ,-33.26         ,-4.43                    ,-71.7                    ,7.95                           ,-3.49                 ,- -                         ,119.59                         ,5.17           ,538.45         ,166.62                      ,-85.65                         ,-146.06             ,-3.49                ,15.69          ,-28.32               ,12.54                   ,-0.18184183263218012
 6 ,2016 ,                    1.64 ,           4.88 ,-2.75        ,2.42                       ,- -                    ,-14.41                  ,89.46                       ,-18.53        ,-19.38                      ,-7.25                     ,-15.03            ,-7.49                       ,-14.82              ,-10.88 ,-12.32            ,-14.41 ,-14.41 ,-4.32            ,-15.79               ,-22.47            ,2.43               ,              6.6  ,9.23                 ,-5.51                          ,-5.51                   ,                   1.11 ,-0.54       ,-13.49          ,-0.93                ,-0.72                          ,1.22                      ,- -                          ,-9.05           ,-4.81                   ,-2.79        ,10.21               ,-32.36  ,-16.74               ,-8.92                     ,32.59   ,-2.88                ,25.81                        ,8.09              ,                2.82 ,- -          ,             4.58 ,23.16        ,-20.68                          ,-19          ,-2.79                      ,-5.2               ,16.14    ,43.38              ,-28.68                       ,8.77          ,-4.19                 ,-0.78               ,-19.38     ,9.23                        ,43.37          ,-23.18                   ,-189.78                  ,-1.17                          ,-24.04                ,- -                         ,-68.93                         ,-1.13          ,-64.91         ,-43.57                      ,613.52                         ,-116.67             ,-24.04               ,11.74          ,14.82                ,25.41                   ,0.07736235130592739
 7 ,2017 ,                    2.84 ,           5.06 ,-0.41        ,2.03                       ,- -                    ,-7.01                   ,5.32                        ,-8.15         ,-1.58                       ,-4.52                     ,1.28              ,-4.67                       ,1.43                ,-4.63  ,-7.26             ,-7.01  ,-7.01  ,-3.16            ,-9.58                ,-5.97             ,2.44               ,              5.08 ,6.02                 ,19.28                          ,19.28                   ,                   8.33 ,1.6         ,7.28            ,6.15                 ,-2.03                          ,0.98                      ,- -                          ,-3.77           ,-2.85                   ,1.93         ,11.48               ,-76.61  ,29.73                ,-7.49                     ,22.11   ,-30.65               ,14.33                        ,4.95              ,                1.01 ,0.31         ,             4.1  ,-50.42       ,-6                              ,-4.08        ,1.93                       ,-4.21              ,2.18     ,6.53               ,-11.89                       ,14.74         ,-5.6                  ,0.39                ,-1.58      ,6.02                        ,- -            ,-8.33                    ,66.67                    ,3.22                           ,-16.55                ,- -                         ,-44.27                         ,0.33           ,-19.76         ,-23.42                      ,11.73                          ,-414.29             ,-16.55               ,10.81          ,-2.31                ,6.75                    ,-0.1507437217194436
 8 ,2018 ,                    7.64 ,           8.63 ,6.1          ,4.15                       ,- -                    ,11.88                   ,-22.22                      ,15.49         ,32.1                        ,-2.77                     ,37.25             ,-2.59                       ,36.99               ,8.93   ,1.2               ,11.88  ,11.88  ,-1.43            ,3.95                 ,23.98             ,12.45              ,              6.91 ,-2.65                ,64.53                          ,64.53                   ,                   4.53 ,7.84        ,-25.6           ,10.95                ,-2.87                          ,-0.12                     ,- -                          ,-20.07          ,-10.85                  ,1.19         ,-8.36               ,36.84   ,13.83                ,-0.4                      ,-7.03   ,-14.48               ,-7.7                         ,-4.93             ,                8.49 ,- -          ,             6.27 ,26.67        ,13.67                           ,14.5         ,1.19                       ,-0.83              ,-16.57   ,-27.13             ,58.99                        ,11.39         ,-0.66                 ,-4.28               ,32.1       ,-2.65                       ,111            ,42.42                    ,-434.29                  ,- -                            ,0.84                  ,- -                         ,13.7                           ,3.95           ,-94.53         ,-29.75                      ,-22.72                         ,402.27              ,0.84                 ,-0.24          ,15.14                ,-25.06                  ,0.279234061862501
 9 ,2019 ,                    2.36 ,           3.14 ,1.13         ,-1.72                      ,- -                    ,8.98                    ,-31.17                      ,11.84         ,8.75                        ,-2.5                      ,11.35             ,-2.83                       ,11.73               ,5.37   ,2.94              ,8.98   ,8.98   ,-1.21            ,6.47                 ,6.06              ,-0.47              ,              6.45 ,-10.89               ,-33.09                         ,-33.09                  ,                   2.89 ,7.4         ,23.66           ,-0.06                ,3.55                           ,1.51                      ,- -                          ,8.92            ,5.79                    ,2.25         ,9.02                ,131.54  ,-20.76               ,11.79                     ,-8.42   ,86.77                ,-0.53                        ,4.37              ,                4.04 ,- -          ,             6.81 ,-9.94        ,-3.44                           ,-1.58        ,2.25                       ,-3.89              ,10.29    ,12.05              ,3.87                         ,-10.6         ,6.28                  ,2.85                ,8.75       ,-10.89                      ,-18.01         ,-14.89                   ,8.97                     ,-1.42                          ,-7.53                 ,- -                         ,21.69                          ,3.8            ,-23.08         ,64.71                       ,52.69                          ,-182.81             ,-7.53                ,0.37           ,19.2                 ,-9.2                    ,-0.06629167308393291
10 ,2020 ,                    2.71 ,           6.63 ,-3.62        ,2.68                       ,- -                    ,-19.26                  ,35.85                       ,-21.67        ,-15.64                      ,-2.19                     ,-16.3             ,-2.19                       ,-16.31              ,-19.45 ,-21.57            ,-19.26 ,-19.26 ,-6.16            ,-21.38               ,-20.3             ,12.49              ,              5.36 ,-20.52               ,62.5                           ,62.5                    ,                   3.44 ,4.71        ,10.43           ,10.24                ,14.64                          ,7.27                      ,- -                          ,-26.57          ,-3.02                   ,4.83         ,0.47                ,-78.41  ,-1.92                ,-14.12                    ,33.28   ,-40.51               ,21.79                        ,6.51              ,                4.61 ,- -          ,             4.45 ,-60.39       ,-1.46                           ,1.6          ,4.83                       ,-2.17              ,-2.32    ,-3.86              ,3.17                         ,28.37         ,-0.75                 ,-8.7                ,-15.64     ,-20.52                      ,105.78         ,15                       ,-33.33                   ,7.77                           ,-10.86                ,- -                         ,-11.39                         ,3.05           ,7880           ,-14.14                      ,-29.03                         ,-219.13             ,-10.86               ,12.79          ,12.76                ,31.65                   ,0.06589365263303604
