   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,22.47                    ,18.08           ,47.45        ,10.63                      ,- -                    ,50.9                    ,13.46                       ,57.85         ,54.81                       ,0.89                      ,58.85             ,1                           ,58.68               ,41.13  ,15.23             ,50.9   ,50.9   ,20.39            ,23.21                ,30.85             ,7.69               ,0.04               ,20.19                ,-39.57                         ,-32.85                  ,32.39                   ,21.4        ,42.38           ,2.87                 ,18.81                          ,17.44                     ,- -                          ,19.99           ,19.13                   ,10.64        ,42.58               ,- -     ,7.64                 ,-4.57                     ,- -     ,24.44                ,5.34                         ,1.66              ,-2.18                ,0.19         ,13.88             ,12.68        ,18.85                           ,18.61        ,10.64                      ,0.89               ,-2.65    ,-17.93             ,7.71                         ,7.8           ,-17.97                ,13.73               ,54.81      ,20.19                       ,-235.66        ,- -                      ,-298.9                   ,-8.06                          ,11                    ,-148.71                     ,-43.11                         ,0.93           ,- -            ,729.41                      ,-166.71                        ,-166.3              ,11                   ,-73.62         ,36                   ,-42.63                  ,0.2454164563474368
 1 ,2011 ,38.15                    ,34.45           ,54.97        ,22.71                      ,- -                    ,57.43                   ,-18.64                      ,67.57         ,67.04                       ,1.1                       ,53.03             ,1.21                        ,52.87               ,47.67  ,6.9               ,57.43  ,57.43  ,12.18            ,13.96                ,11.99             ,17.83              ,-0.18              ,21.45                ,38.86                          ,92.99                   ,29.56                   ,32.47       ,10.71           ,30.28                ,24.12                          ,20.78                     ,- -                          ,40.44           ,28.57                   ,29.4         ,-1.56               ,- -     ,154.43               ,49.47                     ,26.05   ,14.37                ,23.04                        ,32.25             ,4.15                 ,0.34         ,20.28             ,13.75        ,27.23                           ,27.24        ,29.4                       ,1.21               ,-12.53   ,-31.25             ,-2.22                        ,-12.84        ,155.74                ,17.24               ,67.04      ,21.45                       ,130.93         ,- -                      ,25.47                    ,66.55                          ,42.73                 ,-22.24                      ,81.77                          ,0.92           ,-50.48         ,-231.91                     ,-174.78                        ,-301.98             ,42.73                ,411.19         ,-46.22               ,7.65                    ,-0.14756038223843604
 2 ,2012 ,14.8                     ,19.98           ,-5.66        ,-2.14                      ,- -                    ,-5.87                   ,121.18                      ,-14.09        ,-14.05                      ,0.87                      ,-7.99             ,0.65                        ,-7.79               ,-0.15  ,-13.02            ,-5.87  ,-5.87  ,-17.82           ,-18                  ,-19.15            ,6.93               ,0.04               ,19.79                ,-12.78                         ,-7.93                   ,13.83                   ,23.97       ,51.53           ,13.03                ,20.78                          ,17.48                     ,- -                          ,12.72           ,18.38                   ,15.77        ,11.77               ,- -     ,18.13                ,15.31                     ,- -     ,34.74                ,8.33                         ,11.08             ,0.96                 ,-0.04        ,15.47             ,13.19        ,19.45                           ,19.48        ,15.77                      ,0.87               ,10.08    ,-7.86              ,3.43                         ,-1.97         ,61.81                 ,7.35                ,-12.13     ,19.79                       ,5.8            ,- -                      ,-3.53                    ,-0.81                          ,20.76                 ,-149.6                      ,15.61                          ,0.91           ,- -            ,- -                         ,-120.65                        ,-115.52             ,20.76                ,-87.96         ,-7.01                ,6.86                    ,-0.11774472880300624
 3 ,2013 ,3.15                     ,4.89            ,-5.56        ,21.09                      ,- -                    ,-7.2                    ,115.7                       ,-27.68        ,-18.21                      ,-3.02                     ,-16.84            ,-2.8                        ,-17.03              ,-0.8   ,-3.84             ,-7.2   ,-7.2   ,-8.44            ,-10.04               ,-21.82            ,-2.2               ,43.99              ,16.71                ,-5.15                          ,-5.15                   ,6.81                    ,3.74        ,14.3            ,4.72                 ,10.38                          ,13.59                     ,- -                          ,3.2             ,8.34                    ,6.61         ,33.37               ,- -     ,-15.01               ,5.77                      ,62.16   ,35.06                ,54.08                        ,34.32             ,-2.3                 ,-0.07        ,9.66              ,-0.65        ,-13.85                          ,-13.77       ,6.61                       ,-8.61              ,133.73   ,171.07             ,-21.69                       ,-0.99         ,5.71                  ,5.48                ,-19.28     ,16.71                       ,35.23          ,- -                      ,-79.05                   ,21.7                           ,-17.72                ,-110.89                     ,-22.18                         ,39.64          ,203.48         ,-2441.94                    ,919.77                         ,-14.08              ,-17.72               ,1619.32        ,41.58                ,50.91                   ,0.1839240486873306
 4 ,2014 ,11.8                     ,9.64            ,23.82        ,-12.01                     ,- -                    ,26.7                    ,-61.35                      ,70.48         ,62.43                       ,-5.57                     ,74.42             ,-5.54                       ,74.37               ,22.04  ,9.17              ,26.7   ,26.7   ,10.76            ,13.34                ,47.33             ,7.6                ,21.38              ,11.89                ,-2.76                          ,-2.76                   ,22.38                   ,8.05        ,-34.43          ,6.88                 ,10.18                          ,12.88                     ,- -                          ,20.16           ,12.88                   ,10.07        ,18.33               ,-98.13  ,14.19                ,16.71                     ,-0.65   ,-19.16               ,-5.49                        ,1.66              ,-3.46                ,-0.04        ,15.75             ,29.97        ,19.78                           ,19.71        ,10.07                      ,-0.12              ,0.51     ,-16.03             ,10.65                        ,-8.42         ,-1.92                 ,3.9                 ,63.98      ,11.89                       ,-162.71        ,37.33                    ,407.86                   ,-8.66                          ,11.9                  ,866.67                      ,9.34                           ,14.62          ,- -            ,-89.26                      ,-41.28                         ,-40.11              ,11.9                 ,-48.51         ,-26.19               ,-44.54                  ,-0.3298427958691713
 5 ,2015 ,-28.1                    ,-22.76          ,-54.48       ,-31.74                     ,- -                    ,-55.75                  ,513.18                      ,-119.86       ,-119.26                     ,0.59                      ,-119.06           ,0.12                        ,-119.15             ,-43.62 ,-21.58            ,-55.75 ,-55.75 ,-36.69           ,-38.46               ,-126.66           ,-11.51             ,14.52              ,-13.69               ,339.85                         ,339.85                  ,-29.71                  ,-16.19      ,37.84           ,37.02                ,-2.87                          ,0.9                       ,- -                          ,-5.71           ,-3.69                   ,14.85        ,-28.22              ,4607.14 ,-10.07               ,-9.02                     ,89.14   ,-36.36               ,61.08                        ,35.17             ,-1.24                ,-0.07        ,-5.89             ,-9.02        ,-4.95                           ,-4.93        ,14.85                      ,0.94               ,-3.99    ,0.98               ,-18.97                       ,50.61         ,28.73                 ,-18.75              ,-119.05    ,-13.69                      ,-279.1         ,- -                      ,-187.53                  ,-28.46                         ,-33.48                ,-101.15                     ,-30.15                         ,15.2           ,150.67         ,-135.68                     ,-787.48                        ,-7453.77            ,-33.48               ,-7.32          ,25.03                ,-473.17                 ,-0.11206662300971992
 6 ,2016 ,-32.78                   ,-28.87          ,-65.48       ,13                         ,- -                    ,-72.24                  ,153.96                      ,714.64        ,771.15                      ,0.94                      ,750.89            ,0.94                        ,750.89              ,-48.33 ,-23.13            ,-72.24 ,-72.24 ,-48.64           ,-58.71               ,1177.62           ,-12.61             ,0.04               ,-18.09               ,-60.22                         ,-60.22                  ,-26.24                  ,-23.99      ,-12.6           ,-41.82               ,-29.59                         ,-16.73                    ,- -                          ,42.82           ,-9.18                   ,-26.91       ,-14.27              ,-74.2   ,-20.92               ,-24.62                    ,-16.84  ,-7.59                ,-16.02                       ,-18.16            ,-2.58                ,-0.11        ,-31.1             ,25.07        ,-39.15                          ,-39.03       ,-26.91                     ,1.17               ,58.95    ,160.68             ,-24.59                       ,-22.82        ,7.61                  ,-23.08              ,764.92     ,-18.09                      ,84.86          ,- -                      ,21.02                    ,-158.6                         ,-63.46                ,-233.33                     ,-67.61                         ,0.98           ,-99.01         ,11.38                       ,-149.99                        ,-176.37             ,-63.46               ,-446.4         ,-1003.48             ,-106.82                 ,0.521285803447245
 7 ,2017 ,29.79                    ,22.15           ,161.72       ,13.27                      ,- -                    ,213.82                  ,-83.81                      ,-108.94       ,-92.21                      ,1.05                      ,-92.05            ,1.05                        ,-92.05              ,66.6   ,28.36             ,213.82 ,213.82 ,101.65           ,141.79               ,-93.81            ,17.99              ,-0.08              ,3.53                 ,-41.71                         ,-41.71                  ,28.4                    ,5.32        ,-31.48          ,-7.71                ,-0.13                          ,5.27                      ,- -                          ,-14.78          ,-6.62                   ,-7.09        ,40.51               ,201.18  ,-16.35               ,20.86                     ,-14.61  ,9.81                 ,-12.23                       ,-4.65             ,0.17                 ,-0.04        ,-10.42            ,3.3          ,-11.55                          ,-11.63       ,-7.09                      ,0.81               ,2.75     ,16.27              ,-11.71                       ,-23.63        ,-31.83                ,10                  ,-91.89     ,3.53                        ,50.71          ,- -                      ,-150.81                  ,-244.92                        ,72.06                 ,-375                        ,171.41                         ,0.97           ,-86.49         ,-15.05                      ,-38.95                         ,-72.79              ,72.06                ,-143.78        ,-121.45              ,-1903.84                ,-0.2759905175779178
 8 ,2018 ,16.37                    ,14.53           ,31.14        ,-0.78                      ,- -                    ,35.18                   ,-31.44                      ,165.98        ,-469.04                     ,0.57                      ,-455.62           ,0.8                         ,-454.81             ,21.27  ,4.22              ,35.18  ,35.18  ,12.69            ,16.17                ,-407.36           ,6.67               ,0.06               ,3.21                 ,-14.08                         ,-14.08                  ,3.93                    ,26.38       ,-12.6           ,3.47                 ,4.13                           ,6.05                      ,- -                          ,2.95            ,3.66                    ,3.58         ,17.27               ,-92.97  ,-4.15                ,-1.23                     ,-1.13   ,-8.31                ,-2                           ,-1.78             ,0.07                 ,-0.07        ,8.45              ,-24.31       ,14.42                           ,14.31        ,3.58                       ,-0.23              ,-3.08    ,-15.21             ,14.87                        ,4.76          ,-5.82                 ,9.09                ,-454.06    ,3.21                        ,-86.14         ,- -                      ,-38.66                   ,27.92                          ,47.56                 ,-1045.45                    ,3.43                           ,0.64           ,- -            ,-229.75                     ,-34.34                         ,-84.26              ,47.56                ,3.29           ,-59.27               ,-135.76                 ,-0.38389902084257854
 9 ,2019 ,-6.61                    ,-4.22           ,-23.48       ,-10.63                     ,- -                    ,-24.67                  ,246.41                      ,-161.85       ,-168.14                     ,- -                       ,-168.3            ,-0.23                       ,-168.45             ,-15.1  ,-9.09             ,-24.67 ,-24.67 ,-18.06           ,-19.34               ,-173.13           ,1.88               ,- -                ,1.18                 ,12.95                          ,12.95                   ,-12.55                  ,3.67        ,39.39           ,0.55                 ,-7.12                          ,-5.24                     ,- -                          ,-0.57           ,-4.49                   ,-2.33        ,-16.04              ,508.33  ,27.8                 ,1.58                      ,8.04    ,0.68                 ,7.2                          ,5.56              ,-2.43                ,-0.07        ,-12.74            ,1.97         ,-15.86                          ,-15.92       ,-2.33                      ,0.8                ,-3.37    ,14.92              ,-20.38                       ,-1.02         ,10.79                 ,-8.33               ,-168.14    ,1.18                        ,658.99         ,- -                      ,-58.07                   ,-22.55                         ,-24.48                ,- -                         ,-27.5                          ,- -            ,- -            ,-108.78                     ,-51.02                         ,-219.61             ,-24.48               ,-19.1          ,19.36                ,-213.4                  ,-0.3377603034932508
