   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,2.75                     ,2.12            ,3.98         ,-0.33                      ,- -                    ,21.57                   ,-31.06                      ,32.42         ,27.4                        ,-2.08                     ,28.11             ,-2.01                       ,28.01               ,14.34  ,11.28             ,19.11 ,21.57 ,1.2              ,18.31                ,22.08             ,1.47               ,              5.07 ,0.64                 ,-61.81                         ,-61.65                  ,12.55                   ,4.29        ,-7.34           ,-3.03                ,-1.92                          ,2.78                      ,- -                          ,11.14           ,-1.23                   ,-1.84        ,29.01               ,2.16    ,-63.41               ,-2.33                     ,0.52    ,-2.11                ,-0.06                        ,-1.15             ,                3.94 ,- -          ,            13.38 ,22.93        ,-2.6                            ,-2.6         ,-1.84                      ,-4.42              ,11.42    ,14.39              ,-0.94                        ,-0.72         ,0.21                  ,1.26                ,25.44      ,-4.87                       ,-1300.82       ,6.47                     ,1226.53                  ,-10.54                         ,13.46                 ,- -                         ,34.04                          ,          2.89 ,- -            ,1688.57                     ,27.06                          ,-201.27             ,13.46                ,-16.11         ,41.49                ,-28.68                  ,0.12171141694423615
 1 ,2011 ,3.53                     ,3.22            ,4.11         ,1.13                       ,- -                    ,14.08                   ,4.77                        ,15.08         ,16.33                       ,-5.22                     ,22.73             ,-5.31                       ,22.85               ,10.4   ,6.64              ,14.08 ,14.08 ,0.56             ,10.19                ,12.36             ,0.4                ,              9.74 ,-2.1                 ,264.59                         ,264.59                  ,14.75                   ,-2.82       ,-21.32          ,7.72                 ,-2.44                          ,1.54                      ,- -                          ,-2.27           ,-2.43                   ,0.98         ,-13.62              ,-97.12  ,114.02               ,-7.37                     ,23.56   ,3.28                 ,19.17                        ,6.52              ,                6.19 ,1.16         ,            15.01 ,-34.16       ,-5.25                           ,-5.25        ,0.98                       ,-5.3               ,-4.38    ,0.92               ,-6.33                        ,16.29         ,3.76                  ,3.12                ,16.33      ,-2.1                        ,-104.92        ,0.47                     ,-77.67                   ,45.06                          ,11.41                 ,- -                         ,11.56                          ,          4.02 ,99.8           ,26.36                       ,-9.05                          ,-267.88             ,11.41                ,55.63          ,-17.42               ,24.7                    ,0.23499426734643603
 2 ,2012 ,6.19                     ,6.02            ,6.51         ,2.99                       ,- -                    ,16.59                   ,-8.09                       ,19            ,16.79                       ,-4.03                     ,21.7              ,-3.76                       ,21.35               ,13.27  ,6.66              ,16.59 ,16.59 ,0.3              ,9.79                 ,9.98              ,3.38               ,             11.29 ,0.12                 ,25.52                          ,25.52                   ,12.05                   ,3.73        ,-19.73          ,5.87                 ,-60.54                         ,-38.25                    ,- -                          ,936.45          ,-1.1                    ,1.4          ,-0.54               ,4303.33 ,33.03                ,22.25                     ,-11.93  ,-4.67                ,-10.56                       ,3.04              ,               13.94 ,1.15         ,            16.19 ,35.49        ,-0.68                           ,-0.68        ,1.4                        ,-3.45              ,-5.67    ,-5.03              ,-2.3                         ,-13.4         ,-1.95                 ,2.72                ,16.79      ,0.12                        ,1.4            ,1.4                      ,-38.23                   ,4.87                           ,7.45                  ,- -                         ,26.84                          ,          6.8  ,- -            ,1.14                        ,24.36                          ,-65.47              ,7.45                 ,4.29           ,36.98                ,-10.21                  ,0.36935416536191856
 3 ,2013 ,5.43                     ,5.13            ,5.99         ,0.54                       ,- -                    ,18.03                   ,28.26                       ,17.26         ,18.74                       ,-4.94                     ,24.91             ,-5.1                        ,25.12               ,15.59  ,9.64              ,18.03 ,18.03 ,0.53             ,11.95                ,12.63             ,-1.79              ,             35.37 ,4.33                 ,-22.65                         ,-22.65                  ,0.22                    ,3.24        ,15.78           ,-0.6                 ,-20.89                         ,-3                        ,- -                          ,9.6             ,-1.84                   ,-1.38        ,6.41                ,-97.5   ,4.18                 ,-6.22                     ,55.05   ,7.85                 ,45.61                        ,20.12             ,                5.65 ,- -          ,            15.68 ,-88.41       ,-29.56                          ,-29.56       ,-1.38                      ,-7.01              ,54.12    ,118.8              ,-31.18                       ,5.99          ,-5.78                 ,7.35                ,18.74      ,4.33                        ,4.59           ,4.59                     ,-52.04                   ,9.36                           ,5.87                  ,- -                         ,5.24                           ,         28.69 ,161.89         ,159.53                      ,32.14                          ,-204.32             ,5.87                 ,10.17          ,-1.14                ,-7.9                    ,0.0629508985761078
 4 ,2014 ,5.54                     ,5.45            ,5.71         ,1.43                       ,- -                    ,14.22                   ,-29.47                      ,17.82         ,17.83                       ,-6.11                     ,25.49             ,-6.14                       ,25.53               ,12.19  ,6.31              ,14.22 ,14.22 ,0.16             ,8.22                 ,11.65             ,3.83               ,             20.13 ,1.65                 ,-10.68                         ,-10.68                  ,6.15                    ,0.2         ,13.52           ,0.15                 ,-9.24                          ,-2.69                     ,- -                          ,0.62            ,-2.36                   ,-1.41        ,-0.37               ,893.94  ,7.22                 ,4.84                      ,14.83   ,-2.74                ,12.22                        ,9.39              ,                5.69 ,- -          ,            16.46 ,-1082.61     ,-25.56                          ,-25.56       ,-1.41                      ,-5.29              ,20.94    ,62.45              ,-27.89                       ,-4.47         ,-5.74                 ,1.64                ,17.83      ,1.65                        ,-142.98        ,-1.32                    ,-18.99                   ,8.05                           ,3.82                  ,878.79                      ,-15.66                         ,         12.8  ,-56.51         ,-18.75                      ,6.3                            ,-81.17              ,3.82                 ,8.99           ,21.99                ,-8.3                    ,0.1884671339637869
 5 ,2015 ,6.42                     ,7.44            ,4.53         ,-0.2                       ,- -                    ,12.47                   ,52.74                       ,10.48         ,10.46                       ,-4.56                     ,15.74             ,-4.68                       ,15.89               ,11.28  ,4.56              ,12.47 ,12.47 ,-1.78            ,5.68                 ,3.8               ,2.55               ,             25.53 ,4.31                 ,28.61                          ,28.61                   ,27.36                   ,6.59        ,6.1             ,11.05                ,-26.14                         ,-2.33                     ,- -                          ,15.37           ,3.7                     ,6.52         ,12.25               ,937.2   ,7.37                 ,37.55                     ,6.19    ,13.4                 ,7.11                         ,18.32             ,                5.15 ,- -          ,            14.74 ,98.67        ,-32.25                          ,-32.25       ,6.52                       ,-4.21              ,23.43    ,82.17              ,-49.54                       ,-19.27        ,-3.37                 ,3.77                ,10.46      ,4.31                        ,-202.04        ,8.44                     ,91.87                    ,13.72                          ,4.23                  ,-55.42                      ,134.62                         ,         19.8  ,78.38          ,0.36                        ,-18.16                         ,-704                ,4.23                 ,15.74          ,-1.71                ,2.95                    ,0.29250546300774927
 6 ,2016 ,6.86                     ,6.91            ,6.77         ,1.97                       ,- -                    ,14.04                   ,24.3                        ,13.34         ,13.53                       ,-3.76                     ,17.96             ,-3.82                       ,18.03               ,12.93  ,5.67              ,14.04 ,14.04 ,-0.09            ,6.71                 ,6.23              ,1.34               ,             16.69 ,5.9                  ,14.53                          ,14.53                   ,7.35                    ,6.27        ,-43.6           ,4.3                  ,-33.5                          ,-1.25                     ,- -                          ,6.85            ,-1.23                   ,0.98         ,5                   ,-63.2   ,9.41                 ,-8.83                     ,24.76   ,-23.7                ,18.17                        ,6.62              ,                4.66 ,- -          ,            14.68 ,-3.45        ,-31.4                           ,-31.4        ,0.98                       ,-3.91              ,10.28    ,60.75              ,-47.4                        ,14.4          ,-1.8                  ,5.45                ,13.53      ,5.9                         ,167            ,9.43                     ,-203.24                  ,4.37                           ,7.85                  ,- -                         ,-46.91                         ,         12.31 ,31.3           ,-1.62                       ,35.99                          ,-45.36              ,7.85                 ,3.71           ,2.5                  ,-8.06                   ,-0.05993589471590055
 7 ,2017 ,6.67                     ,6.85            ,6.32         ,4.27                       ,- -                    ,9.34                    ,5.02                        ,9.66          ,8.46                        ,-4.15                     ,13.15             ,-4.05                       ,13.04               ,8.72   ,1.92              ,9.34  ,9.34  ,-0.33            ,2.5                  ,1.68              ,4.86               ,             29.09 ,4.51                 ,41.65                          ,41.65                   ,-3.79                   ,1.59        ,4.93            ,6.82                 ,-19.58                         ,0.73                      ,- -                          ,4.67            ,1.4                     ,3.64         ,4.71                ,120.53  ,3.46                 ,14.58                     ,8.58    ,21.52                ,9.72                         ,11.5              ,                4.11 ,1.14         ,            12.43 ,-34.72       ,-66.44                          ,-66.44       ,3.64                       ,-3.74              ,11.25    ,231.54             ,-135.45                      ,-6.77         ,-5.11                 ,1.72                ,8.46       ,4.51                        ,2.25           ,2.25                     ,-357.49                  ,22.98                          ,17.03                 ,- -                         ,40.75                          ,         23.74 ,-27.79         ,16.26                       ,12.71                          ,182.73              ,17.03                ,24.16          ,16                   ,13.39                   ,0.25192859655041877
 8 ,2018 ,7.23                     ,6.75            ,8.16         ,9.23                       ,- -                    ,7.47                    ,24.21                       ,6.26          ,28.86                       ,-3.48                     ,33.51             ,-3.46                       ,33.49               ,7.08   ,-0.14             ,7.47  ,7.47  ,0.87             ,0.22                 ,20.17             ,7.23               ,             15.71 ,4.36                 ,-50.54                         ,-50.54                  ,-0.82                   ,9.23        ,39.5            ,-2.13                ,-33.81                         ,1.36                      ,- -                          ,3.51            ,-0.48                   ,-1.18        ,4.24                ,-13.26  ,11.23                ,3.22                      ,10.47   ,-9.79                ,8.5                          ,6.51              ,                3.75 ,- -          ,            16.25 ,36.4         ,-229.16                         ,-229.16      ,-1.18                      ,-4.58              ,17.03    ,-190.61            ,409.11                       ,-5.19         ,-1.21                 ,- -                 ,28.86      ,4.36                        ,65.57          ,3.3                      ,-164.45                  ,8.37                           ,28.73                 ,- -                         ,8.44                           ,         11.68 ,-9.76          ,25.59                       ,40.02                          ,-292.71             ,28.73                ,4.56           ,-22.42               ,-15.9                   ,-0.010582417776052622
 9 ,2019 ,1.87                     ,2.27            ,1.11         ,1.16                       ,- -                    ,0.42                    ,-7.62                       ,1.09          ,1.09                        ,-3.87                     ,5.16              ,-4.02                       ,5.33                ,1.17   ,-0.68             ,0.42  ,0.42  ,-0.75            ,-1.42                ,-0.77             ,1.21               ,             31.76 ,6.69                 ,19.97                          ,19.97                   ,8.78                    ,4.35        ,16.85           ,6.91                 ,246.49                         ,26.77                     ,- -                          ,6.29            ,23.36                   ,16.44        ,0.22                ,52.03   ,7.77                 ,9.92                      ,25.85   ,-4.96                ,23.36                        ,18.46             ,                3.97 ,- -          ,            11.43 ,-4.27        ,65.92                           ,65.92        ,16.44                      ,-2.53              ,7.02     ,-35.5              ,10.83                        ,-2.74         ,6.13                  ,0.65                ,1.09       ,6.69                        ,40.93          ,-10.99                   ,-34.21                   ,5.25                           ,9.66                  ,- -                         ,9.81                           ,         26.66 ,-1.33          ,-31.27                      ,-12.77                         ,-113.13             ,9.66                 ,4.24           ,16.27                ,4.12                    ,0.016817347900190294
