   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,7.97                     ,10.07           ,1.66         ,8.66                       ,- -                    ,-15.94                  ,- -                         ,-4.53         ,-7.04                       ,2.78                      ,-8.62             ,3.41                        ,-9.18               ,-11.73 ,-18.24            ,-15.94 ,-15.94 ,-5.84            ,-22.14               ,-13.01            ,1.32               ,              0.05 ,3.13                 ,10.96                          ,-5.39                   ,12.66                   ,14.86       ,-38.02          ,7.71                 ,-0.14                          ,2.07                      ,6.39                         ,5.13            ,4                       ,5.44         ,10.65               ,-34.68  ,- -                  ,5.11                      ,-7.86   ,-0.85                ,-3.6                         ,-0.01             ,                3.22 ,- -          ,-13.67            ,-75.91       ,22.05                           ,21.9         ,5.44                       ,2.46               ,-16.9    ,-31.83             ,-14.01                       ,2.47          ,-108.68               ,6.56                ,-6.08      ,3.13                        ,177.4          ,38.98                    ,-72.06                   ,6.51                           ,6.9                   ,1382.61                     ,100.26                         ,          2.83 ,-98.59         ,427.03                      ,-4.88                          ,-117.1              ,6.9                  ,6.44           ,29.39                ,13.41                   ,0.26673959577622885
 1 ,2011 ,9.47                     ,11.9            ,1.55         ,14.46                      ,- -                    ,-9.46                   ,-27.72                      ,-19.73        ,-8.35                       ,0.94                      ,1.27              ,1.37                        ,0.84                ,-7.81  ,-15.78            ,-9.46  ,-9.46  ,-7.23            ,-17.29               ,-6.61             ,7.81               ,             14.49 ,-3.04                ,34.56                          ,39.55                   ,2.26                    ,7.73        ,-47.55          ,7.48                 ,-0.74                          ,-0.57                     ,-19.81                       ,5.04            ,3.15                    ,4.86         ,7.14                ,-24.18  ,- -                  ,4.76                      ,19.57   ,1.83                 ,8.49                         ,6.87              ,                3.65 ,- -          ,6.53              ,35.33        ,0.11                            ,-0.12        ,4.86                       ,-1.06              ,-3.43    ,-3.31              ,-1.53                        ,2.6           ,-1149.49              ,1.54                ,2.23       ,-3.04                       ,-105.9         ,2.44                     ,-201.59                  ,-32.6                          ,22.58                 ,-92.38                      ,-73.07                         ,         15.57 ,7947.62        ,-500.51                     ,-45.58                         ,-1080.53            ,22.58                ,-42.71         ,40.19                ,-34.06                  ,0.04890349729289678
 2 ,2012 ,3.11                     ,-0.93           ,17.57        ,-3.35                      ,- -                    ,61.46                   ,-3.77                       ,69.81         ,57.16                       ,0.2                       ,41.27             ,0.04                        ,41.5                ,43.93  ,39.58             ,61.46  ,61.46  ,14.03            ,56.59                ,37.29             ,3.11               ,             10.77 ,-3.24                ,10.81                          ,25.31                   ,2.78                    ,-0.68       ,182.61          ,9.07                 ,4.1                            ,3.56                      ,26.11                        ,1.39            ,2.45                    ,5.14         ,2.96                ,63.35   ,- -                  ,6.27                      ,-7.06   ,-5.66                ,-6.24                        ,-0.93             ,                3.93 ,- -          ,10.67             ,-7.27        ,20.91                           ,21.22        ,5.14                       ,1.05               ,-25.8    ,-38.78             ,-54.37                       ,2.64          ,107.06                ,- -                 ,41.56      ,-3.24                       ,-295.24        ,1.19                     ,257.81                   ,24.14                          ,10.78                 ,450                         ,133.72                         ,         11    ,-93.96         ,-103.2                      ,8.26                           ,-20.31              ,10.78                ,29.39          ,-5.48                ,-12.3                   ,0.06466418694579579
 3 ,2013 ,3.69                     ,0.26            ,14.05        ,-0.54                      ,- -                    ,32.36                   ,-68.33                      ,39.66         ,35.18                       ,0.51                      ,33.43             ,0.68                        ,33.2                ,27.71  ,23.16             ,32.36  ,32.36  ,9.99             ,27.65                ,29.33             ,4.48               ,             11.16 ,6.8                  ,38.58                          ,38.58                   ,6.73                    ,1.37        ,93.85           ,20.26                ,5.54                           ,2.85                      ,-36.92                       ,-0.17           ,0.07                    ,8.56         ,2.06                ,84.2    ,- -                  ,8.99                      ,6.35    ,-27.48               ,-13.61                       ,-3.31             ,                6.09 ,- -          ,14.52             ,-161.09      ,34.55                           ,34.29        ,8.56                       ,0.13               ,-15.9    ,-37.37             ,-218.99                      ,10.34         ,-2.57                 ,-0.76               ,34.11      ,6.8                         ,-86.99         ,- -                      ,29.69                    ,23.26                          ,7.13                  ,-31.47                      ,37.18                          ,         11.73 ,942.16         ,-2604                       ,-64.1                          ,120.05              ,7.13                 ,28.67          ,21.54                ,-8.09                   ,0.17424800392955686
 4 ,2014 ,3.2                      ,2.09            ,6.15         ,6.32                       ,- -                    ,6                       ,-85.39                      ,7.5           ,9.26                        ,-0.25                     ,8.3               ,-0.26                       ,8.31                ,4.08   ,0.85              ,6      ,6      ,2.86             ,2.71                 ,4.67              ,6.45               ,             11.89 ,-6.57                ,8.36                           ,8.36                    ,0.39                    ,2.61        ,13.77           ,4.85                 ,1.99                           ,-0.79                     ,18.32                        ,-6.39           ,-4.17                   ,0.04         ,-0.44               ,30.03   ,- -                  ,3.9                       ,-11.1   ,-0.61                ,-5.91                        ,-0.87             ,                6.31 ,- -          ,13.4              ,-278.36      ,1.17                            ,1.45         ,0.04                       ,-0.2               ,-28.38   ,-29.4              ,34.94                        ,0.91          ,-3.82                 ,-3.05               ,8.03       ,-6.57                       ,-2443.75       ,10                       ,-139.73                  ,15.89                          ,15.52                 ,702.04                      ,-4.24                          ,         11.6  ,-90.87         ,5.27                        ,424.71                         ,-54.92              ,15.52                ,16             ,-4.33                ,7.28                    ,0.0015776986366622392
 5 ,2015 ,-4.28                    ,-7.63           ,4.27         ,-9.28                      ,- -                    ,17.1                    ,1761.54                     ,13.2          ,11.97                       ,-0.59                     ,13.14             ,-0.74                       ,13.32               ,14.15  ,19.26             ,17.1   ,17.1   ,8.94             ,22.33                ,17.51             ,-5.76              ,             14.98 ,-4.44                ,-21.61                         ,-21.61                  ,1.44                    ,0.34        ,-26.65          ,-9.63                ,7.54                           ,2.8                       ,11.18                        ,31.85           ,25.81                   ,8.5          ,-2.3                ,147.02  ,- -                  ,24.36                     ,-8.14   ,0.81                 ,-3.46                        ,11.51             ,                5.65 ,- -          ,13.12             ,73.75        ,3.57                            ,3.92         ,8.5                        ,-1.65              ,283.58   ,269.13             ,-161.94                      ,-27.33        ,1.37                  ,1.57                ,12.48      ,-4.44                       ,-90.93         ,-6.42                    ,-169.07                  ,8.56                           ,-1.92                 ,-83.84                      ,247.23                         ,         14.3  ,-38.14         ,157.66                      ,-104.49                        ,-209.36             ,-1.92                ,11.48          ,-4.11                ,-3.49                   ,0.06528433743872264
 6 ,2016 ,1.87                     ,1.51            ,2.69         ,9.25                       ,- -                    ,-2.12                   ,-2.48                       ,-2.11         ,-0.02                       ,-1.99                     ,2.91              ,-1.77                       ,2.68                ,0.03   ,-1.81             ,-2.12  ,-2.12  ,0.8              ,-3.92                ,-0.99             ,0.31               ,             13.2  ,16.65                ,71.64                          ,43.78                   ,9.2                     ,-1.22       ,-75.7           ,14.99                ,0.07                           ,-2.69                     ,13.54                        ,7.63            ,6.24                    ,9.79         ,7.43                ,-44.84  ,- -                  ,-11.1                     ,119.34  ,-8.98                ,49.26                        ,13.03             ,                6.38 ,- -          ,9.8               ,7.06         ,6.13                            ,4.5          ,9.79                       ,-1.11              ,19.95    ,14.78              ,43.49                        ,29.35         ,0.27                  ,1.55                ,0.86       ,16.65                       ,361.76         ,5.14                     ,12.88                    ,0.81                           ,2.05                  ,114.96                      ,-48.7                          ,         10.95 ,15308.33       ,-1.65                       ,239.22                         ,-361.17             ,2.05                 ,0.5            ,9.21                 ,-0.05                   ,0.05407146798098261
 7 ,2017 ,3.13                     ,1.57            ,6.64         ,6.2                        ,- -                    ,7                       ,5.51                        ,7.06          ,-64.96                      ,-0.29                     ,-65.49            ,-0.41                       ,-65.44              ,7.17   ,3.91              ,7      ,7      ,3.4              ,3.75                 ,-66.63            ,3.13               ,             10.97 ,8.25                 ,15.53                          ,-10                     ,0.54                    ,5.66        ,233.86          ,12.77                ,2.3                            ,4.69                      ,13.63                        ,8.43            ,7.39                    ,9.68         ,6.39                ,47.76   ,- -                  ,15.49                     ,3.21    ,72.76                ,26.37                        ,21.24             ,                6.4  ,- -          ,-1.58             ,-17.65       ,-10.78                          ,-10.77       ,9.68                       ,-1.3               ,36.45    ,52.92              ,65.86                        ,-2.36         ,-4.97                 ,- -                 ,-65.59     ,8.25                        ,-2494.27       ,-4.35                    ,205.98                   ,8.51                           ,-5.84                 ,753.11                      ,6.94                           ,         10.65 ,61.59          ,41.86                       ,-1116.18                       ,-144.92             ,-5.84                ,12.08          ,24.66                ,215.31                  ,0.15679708197781772
 8 ,2018 ,3.13                     ,5.33            ,-1.57        ,4.18                       ,- -                    ,-6.24                   ,-414.06                     ,8.48          ,302.12                      ,-2.51                     ,319.27            ,-2.47                       ,319.13              ,-5.38  ,-8.25             ,-6.24  ,-6.24  ,-4.55            ,-9.08                ,296.36            ,18.51              ,              9.98 ,0.09                 ,0.86                           ,31.56                   ,-15.32                  ,-6.22       ,-5.16           ,-6.31                ,-10.63                         ,-11.7                     ,11.24                        ,2.17            ,0.08                    ,-2.72        ,-8.01               ,21.64   ,- -                  ,0.33                      ,-22.41  ,2.08                 ,-11.26                       ,-6.04             ,                3.35 ,- -          ,20.25             ,53.78        ,5.27                            ,5.28         ,-2.72                      ,-2.84              ,-36      ,-39.21             ,-76.19                       ,-6.62         ,-14.09                ,-12.98              ,308.76     ,0.09                        ,-146.1         ,-0.57                    ,-150.8                   ,7.84                           ,-19.69                ,-184.71                     ,-128.74                        ,          7.22 ,60.1           ,57.58                       ,43.12                          ,-316.1              ,-19.69               ,13.6           ,-16.36               ,-73.62                  ,-0.020290236855116328
 9 ,2019 ,-12.18                   ,-16.21          ,-3.03        ,-8.79                      ,- -                    ,2.18                    ,-9.46                       ,0.96          ,-8.76                       ,-2.96                     ,-6.42             ,-3.01                       ,-6.37               ,1.51   ,15.59             ,2.18   ,2.18   ,10.43            ,16.35                ,3.4               ,-11.41             ,             10.76 ,-2.51                ,-4.53                          ,-2.37                   ,-0.2                    ,2.2         ,21.94           ,-0.24                ,0.55                           ,2.26                      ,-20.75                       ,3.98            ,2.89                    ,1.57         ,5.94                ,-24.25  ,- -                  ,-4.36                     ,13.88   ,0.28                 ,6.76                         ,1.42              ,                5.72 ,- -          ,10.93             ,-6.98        ,1.9                             ,1.89         ,1.57                       ,-2.54              ,0.12     ,-1.75              ,-57.21                       ,4.31          ,10.34                 ,-0.88               ,-9.19      ,-2.51                       ,-78.19         ,-12.57                   ,-84.62                   ,7.2                            ,1.33                  ,-89.31                      ,-151.9                         ,          7.48 ,-29.24         ,4.53                        ,31.16                          ,-109.72             ,1.33                 ,8.06           ,22.11                ,18.05                   ,0.078170642394499
