   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,7.03                     ,0.32            ,17.64        ,18.02                      ,- -                    ,17.08                   ,3.77                        ,20.52         ,16.93                       ,-0.05                     ,16.98             ,0.58                        ,16.26               ,15.48  ,7.9               ,17.08 ,17.08 ,9.91             ,9.4                  ,9.25              ,8.61               ,              7.65 ,8.06                 ,248.83                         ,248.83                  ,-4.95                   ,2.68        ,-2.4            ,44.74                ,2.34                           ,2.53                      ,- -                          ,-6.22           ,-0.96                   ,16.26        ,-8.87               ,626.17  ,- -                  ,42.63                     ,2.6     ,-1.37                ,1.61                         ,14.42             ,                5.33 ,- -          ,5.46              ,6.03         ,25.24                           ,23.31        ,16.26                      ,-0.42              ,-26.84   ,-40.67             ,277.17                       ,1.48          ,-25.44                ,-1.46               ,16.93      ,8.06                        ,-1806.15       ,41.63                    ,-71.03                   ,-15.42                         ,35.73                 ,- -                         ,32.57                          ,          7.6  ,- -            ,1715.54                     ,-89.83                         ,191.47              ,35.73                ,-24.76         ,41.99                ,-27.66                  ,0.2278011181242665
 1 ,2011 ,7.23                     ,9.0             ,4.83         ,3.59                       ,- -                    ,6.62                    ,-49.24                      ,19.04         ,23.37                       ,-0.51                     ,24.01             ,-0.17                       ,23.59               ,7.09   ,-0.13             ,6.62  ,6.62  ,-2.23            ,-0.57                ,15.06             ,4.89               ,              7.84 ,9.46                 ,-21.59                         ,-21.59                  ,2.42                    ,21.61       ,54.61           ,2.06                 ,8.49                           ,7.93                      ,- -                          ,-3.49           ,4.1                     ,3.14         ,30.24               ,-51.07  ,- -                  ,-9.63                     ,13.4    ,22.13                ,15.52                        ,5.73              ,                7.04 ,- -          ,7.62              ,105.67       ,-4.99                           ,-6.04        ,3.14                       ,-0.8               ,26.71    ,34.86              ,-16.64                       ,12.94         ,-5.84                 ,2.22                ,23.37      ,9.46                        ,-13.81         ,-12.13                   ,-338.61                  ,-34.78                         ,66.12                 ,- -                         ,70.61                          ,          7.29 ,-14.78         ,127.39                      ,517.18                         ,-130.26             ,66.12                ,-68.04         ,53.96                ,-47.14                  ,0.34375505616854496
 2 ,2012 ,9.27                     ,6.64            ,12.95        ,15.3                       ,- -                    ,9.67                    ,53.9                        ,5.48          ,5.08                        ,-0.68                     ,5.8               ,-0.69                       ,5.81                ,7.58   ,-1.55             ,9.67  ,9.67  ,3.38             ,0.37                 ,-3.83             ,6.19               ,             12.98 ,-2.65                ,4.99                           ,4.99                    ,15.49                   ,-2.42       ,-4.55           ,3.27                 ,7.33                           ,-0.78                     ,- -                          ,20.79           ,11.9                    ,7.89         ,5.91                ,169.13  ,- -                  ,25.33                     ,-12.44  ,16.64                ,-4.97                        ,5.11              ,               12.01 ,- -          ,6.79              ,-12.94       ,20.93                           ,19.01        ,7.89                       ,-0.63              ,-1.33    ,-17.09             ,-6.91                        ,-17.6         ,1.39                  ,2.9                 ,5.08       ,-2.65                       ,-55.77         ,16.14                    ,-163.98                  ,86.24                          ,-25.11                ,- -                         ,39.22                          ,         12.21 ,-98.64         ,32.8                        ,33.74                          ,-118.11             ,-25.11               ,276.97         ,-20.38               ,77.23                   ,0.0620727975052191
 3 ,2013 ,7.55                     ,2.14            ,14.72        ,12.93                      ,- -                    ,17.35                   ,-24.99                      ,23.21         ,24.14                       ,-0.38                     ,24.61             ,-0.5                        ,24.76               ,14.03  ,6.02              ,17.35 ,17.35 ,6.66             ,9.11                 ,15.42             ,3.19               ,             15.86 ,-4.29                ,53.58                          ,53.58                   ,3.58                    ,4.15        ,-20.37          ,17.69                ,7.84                           ,6.14                      ,- -                          ,10.08           ,8.66                    ,12.67        ,13.32               ,-55.61  ,- -                  ,-4.29                     ,17.26   ,-23.58               ,4.39                         ,0.94              ,                7.55 ,- -          ,8.49              ,-56.74       ,54.79                           ,54.15        ,12.67                      ,0.05               ,-28.43   ,-53.57             ,179.81                       ,22.96         ,-2.47                 ,4.23                ,24.14      ,-4.29                       ,-281.63        ,6.9                      ,7.29                     ,8.82                           ,26.24                 ,- -                         ,-25.73                         ,         15.41 ,6125.96        ,-40.16                      ,-23.9                          ,1036.96             ,26.24                ,2.89           ,21.46                ,-12.34                  ,0.07775232714292346
 4 ,2014 ,3.86                     ,5.7             ,1.69         ,-1.34                      ,- -                    ,5.98                    ,25.09                       ,4.37          ,3.22                        ,-0.72                     ,3.97              ,-1.04                       ,4.31                ,5.88   ,1.95              ,5.98  ,5.98  ,-2.09            ,2.05                 ,-0.61             ,-31.53             ,             12.65 ,5.22                 ,-57.8                          ,-66.49                  ,24.91                   ,21.45       ,62.98           ,-9.66                ,19.2                           ,14.53                     ,- -                          ,14.94           ,17.62                   ,4.95         ,4.75                ,280.82  ,- -                  ,37.47                     ,-14.08  ,16.18                ,-7.1                         ,9.67              ,                8.71 ,- -          ,7.45              ,115.27       ,-9.33                           ,-5.97        ,4.95                       ,-1.27              ,113.75   ,127.32             ,-52.62                       ,-34.29        ,19.41                 ,51.69               ,3.22       ,5.22                        ,-34.66         ,0.19                     ,-186.51                  ,-29.13                         ,5.66                  ,- -                         ,145.34                         ,         11.84 ,-98.78         ,88.75                       ,61.07                          ,-287.55             ,5.66                 ,-43.65         ,35.98                ,-31.34                  ,-0.022349222604878705
 5 ,2015 ,-0.47                    ,-2.0            ,1.39         ,3.74                       ,- -                    ,-1.7                    ,287.99                      ,-30.95        ,-39.43                      ,-1.56                     ,-38.48            ,-1.86                       ,-38.28              ,0.54   ,1.02              ,-1.7  ,-1.7  ,1.88             ,-1.24                ,-39.14            ,7.89               ,              9.82 ,15.79                ,-26.58                         ,-7.56                   ,0.36                    ,-6.25       ,-59.68          ,-17.73               ,4.12                           ,4.36                      ,- -                          ,2.56            ,3.55                    ,-4.95        ,4.18                ,35.87   ,- -                  ,14.58                     ,0.96    ,-16.55               ,-4.09                        ,4.72              ,                2.67 ,- -          ,0.63              ,3.47         ,-31.41                          ,-31.07       ,-4.95                      ,-1.93              ,15.03    ,66.88              ,-124.23                      ,-28.2         ,10.24                 ,-7.75               ,-39.43     ,15.79                       ,-1266.63       ,-4.69                    ,-187.27                  ,48.79                          ,-3.77                 ,-198.13                     ,-44.67                         ,          8.11 ,19533.92       ,1.02                        ,10.8                           ,-97.56              ,-3.77                ,89.93          ,-37                  ,145.65                  ,-0.11297422474307761
 6 ,2016 ,0.73                     ,6.66            ,-6.3         ,-3.96                      ,- -                    ,-9.56                   ,-65.05                      ,21.91         ,40.37                       ,-2.26                     ,43.62             ,-2.42                       ,43.86               ,-4.72  ,-5.4              ,-9.56 ,-9.56 ,-6.98            ,-10.21               ,39.36             ,16.02              ,              7.33 ,23.23                ,-14.3                          ,-14.3                   ,-2.95                   ,-0.7        ,26.79           ,-1.72                ,-2.82                          ,1.28                      ,- -                          ,21.91           ,6.06                    ,3.37         ,-5.74               ,-26.72  ,- -                  ,-13.91                    ,50.76   ,-15.74               ,34.06                        ,9.3               ,                7.52 ,- -          ,3.7               ,1.31         ,-21.26                          ,-20.98       ,3.37                       ,-2.08              ,29.37    ,63.73              ,595.65                       ,14.16         ,-10.49                ,-13.18              ,40.37      ,23.23                       ,-85.93         ,6.31                     ,-134.56                  ,-19.33                         ,-24.48                ,- -                         ,24.77                          ,          4.9  ,32.37          ,1.7                         ,-41.73                         ,158.46              ,-24.48               ,-17.29         ,41.05                ,-42.53                  ,0.0921828609169777
 7 ,2017 ,1.01                     ,-4.93           ,9.02         ,-0.31                      ,- -                    ,22.82                   ,156.9                       ,1.02          ,5.07                        ,-0.88                     ,9.71              ,-0.73                       ,9.54                ,15.93  ,14.77             ,22.82 ,22.82 ,7.93             ,21.59                ,7.65              ,7.4                ,              6.31 ,-13.25               ,28.02                          ,28.02                   ,1.18                    ,0.96        ,45.59           ,10.19                ,-3.24                          ,-2.5                      ,- -                          ,-5.57           ,-4.2                    ,0.53         ,-4.67               ,35.84   ,- -                  ,8.75                      ,-12.2   ,10.2                 ,-8.67                        ,-1.59             ,                4.48 ,- -          ,4.17              ,-16.53       ,16.48                           ,12.55        ,0.53                       ,-0.66              ,-5.33    ,-15.88             ,-38.53                       ,1.32          ,-2.84                 ,-5.95               ,5.07       ,-13.25                      ,670.9          ,-6.8                     ,140.44                   ,23.3                           ,-4.38                 ,- -                         ,-44.8                          ,          5.37 ,-99.88         ,-49.32                      ,81.69                          ,-266.05             ,-4.38                ,33.32          ,-6.92                ,13.39                   ,-0.07088199878341261
 8 ,2018 ,3.67                     ,3.83            ,3.47         ,-0.57                      ,- -                    ,8.32                    ,-36.75                      ,26.96         ,54.79                       ,-1.06                     ,52.01             ,-1.29                       ,52.36               ,8.95   ,5.09              ,8.32  ,8.32  ,-0.19            ,4.49                 ,45.07             ,6.76               ,              8.03 ,12.71                ,54.66                          ,54.66                   ,1                       ,4.26        ,-3.02           ,11.85                ,1.12                           ,2.71                      ,- -                          ,130.68          ,53.83                   ,38.7         ,-0.2                ,40.01   ,-99.73               ,16.47                     ,57.9    ,28.54                ,52.31                        ,36.21             ,                4.45 ,- -          ,10.37             ,13.72        ,52.81                           ,51.06        ,38.7                       ,-0.54              ,52.33    ,0.84               ,368.48                       ,-3.97         ,2.8                   ,-2.9                ,54.79      ,12.71                       ,-43.9          ,-3.48                    ,-46.97                   ,28.05                          ,27.53                 ,- -                         ,357.27                         ,          6.89 ,125669.92      ,-17.59                      ,-113.76                        ,176.59              ,27.53                ,28.19          ,-28                  ,-14.86                  ,0.03321439750690436
 9 ,2019 ,2.51                     ,3.51            ,1.32         ,1.66                       ,- -                    ,0.94                    ,15.61                       ,-2.08         ,-2.07                       ,-0.26                     ,-2.12             ,-0.14                       ,-2.23               ,0.62   ,-1.84             ,0.94  ,0.94  ,-1.16            ,-1.52                ,-4.75             ,4.28               ,              8.77 ,-1.22                ,-16.11                         ,-16.11                  ,-4.31                   ,3.87        ,-11.79          ,-5.45                ,11.43                          ,8.15                      ,- -                          ,9.48            ,10.24                   ,5.68         ,2.41                ,-36.44  ,- -                  ,-16.94                    ,14.16   ,7.82                 ,13.14                        ,1.58              ,                1.61 ,-38.44       ,-81.65            ,-9.2         ,24.34                           ,24           ,5.68                       ,-0.43              ,-4.55    ,-23.02             ,-6.84                        ,13.83         ,-0.91                 ,-1.71               ,-2.07      ,-1.22                       ,15.63          ,5.3                      ,-224.29                  ,10.24                          ,-3.17                 ,- -                         ,-48.07                         ,          8.5  ,-17.52         ,113.01                      ,-1031.42                       ,-145.99             ,-3.17                ,13.71          ,27.5                 ,12.91                   ,0.11324488169214098
