   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,8.51                     ,- -             ,8.51         ,3.61                       ,- -                    ,- -                     ,9.19                        ,9.19          ,5.71                        ,0.25                      ,5.44              ,0.43                        ,5.25                ,5.08   ,-3.16             ,- -   ,- -  ,- -              ,- -                  ,-2.59             ,-13.37             ,- -                ,5.08                 ,9.51                           ,3.68                    ,16.44                   ,- -         ,- -             ,10.17                ,20                             ,20                        ,11.03                        ,-18.84          ,19.39                   ,13.77        ,13.68               ,9.22    ,- -                  ,13.34                     ,-0.55   ,8.72                 ,4.24                         ,9.57              ,4.66                 ,1.16         ,            24.82 ,184.8        ,19.88                           ,19.88        ,13.77                      ,-1.02              ,-7.75    ,-23.05             ,3.45                         ,-2.79         ,- -                   ,25.27               ,5.71       ,5.08                        ,-235.11        ,-4.36                    ,1196.29                  ,57.71                          ,19.71                 ,-54.54                      ,-2.6                           ,- -            ,- -            ,372.83                      ,-558.91                        ,-116.81             ,19.71                ,63.41          ,-19.76               ,49.2                    ,0.11938209604898731
 1 ,2011 ,9.63                     ,- -             ,9.63         ,23.17                      ,- -                    ,- -                     ,27.79                       ,27.79         ,29.12                       ,-1.41                     ,30.97             ,-1.16                       ,30.63               ,15.21  ,5.09              ,- -   ,- -  ,- -              ,- -                  ,17.77             ,-3.52              ,- -                ,15.21                ,6.72                           ,-17.69                  ,7.82                    ,- -         ,- -             ,6.83                 ,11.9                           ,11.9                      ,37.54                        ,157.89          ,14.49                   ,9.97         ,45.75               ,-25.18  ,- -                  ,35.02                     ,-0.6    ,-75.4                ,-40.91                       ,5.08              ,11.36                ,- -          ,            23.44 ,152.5        ,16.45                           ,16.45        ,9.97                       ,-2.64              ,45.19    ,24.68              ,4.51                         ,-20.88        ,- -                   ,13.64               ,29.12      ,15.21                       ,-317.95        ,6.35                     ,-80.48                   ,-7.27                          ,55.86                 ,5.29                        ,-25.01                         ,- -            ,- -            ,400.93                      ,174.12                         ,-593.33             ,55.86                ,-14.21         ,62.9                 ,-28.18                  ,0.6150314193446023
 2 ,2012 ,6.23                     ,- -             ,6.23         ,8.06                       ,- -                    ,- -                     ,-14.5                       ,-14.5         ,-13.88                      ,-2.38                     ,-11.79            ,-2.6                        ,-11.58              ,11.55  ,5.01              ,- -   ,- -  ,- -              ,- -                  ,-18.93            ,-2.09              ,106.12             ,11.55                ,2.05                           ,-5.16                   ,-29.11                  ,- -         ,- -             ,-1.12                ,20.39                          ,20.39                     ,4.17                         ,-64.21          ,31.57                   ,12.82        ,6.62                ,5.88    ,5.88                 ,6.62                      ,57.38   ,7.92                 ,46.28                        ,15.42             ,8.27                 ,- -          ,            15.47 ,27.39        ,9.72                            ,9.72         ,12.82                      ,-3.46              ,177.04   ,152.49             ,-14.74                       ,-7.26         ,- -                   ,8.5                 ,-13.88     ,11.55                       ,-56.47         ,22.39                    ,54.55                    ,-7.5                           ,18.5                  ,-59.8                       ,44.7                           ,101.22         ,- -            ,-4.25                       ,-97.15                         ,-76.01              ,18.5                 ,-12.69         ,-22.97               ,7.41                    ,-0.3399297094588174
 3 ,2013 ,5.59                     ,- -             ,5.59         ,9.01                       ,- -                    ,- -                     ,0.52                        ,0.52          ,0.74                        ,-2.47                     ,3.28              ,-2.63                       ,3.46                ,26.04  ,19.36             ,- -   ,- -  ,- -              ,- -                  ,-4.6              ,-11.87             ,4.39               ,26.04                ,-0.85                          ,-12.86                  ,29.6                    ,- -         ,- -             ,1.37                 ,10.93                          ,10.93                     ,-0.48                        ,-54.17          ,6.22                    ,3.78         ,4.01                ,24.38   ,24.38                ,4.01                      ,-0.42   ,-4.44                ,-1.09                        ,2.58              ,7.83                 ,3.12         ,            13.46 ,-59.07       ,5.3                             ,5.3          ,3.78                       ,-2.72              ,14.49    ,8.72               ,4.55                         ,-2.53         ,- -                   ,19.82               ,0.74       ,26.04                       ,227.03         ,12.2                     ,-163.32                  ,-10.76                         ,7.56                  ,85                          ,-39.85                         ,1.82           ,-92.02         ,2.51                        ,2320.69                        ,136.62              ,7.56                 ,-15.73         ,60.75                ,-11.42                  ,0.22702599972974147
 4 ,2014 ,17.4                     ,- -             ,17.4         ,20.2                       ,- -                    ,- -                     ,12.96                       ,12.96         ,-6.82                       ,-2.11                     ,-4.82             ,-2.06                       ,-4.86               ,5.4    ,-10.22            ,- -   ,- -  ,- -              ,- -                  ,-20.63            ,2.25               ,4.58               ,5.4                  ,3.31                           ,70.04                   ,10.84                   ,- -         ,- -             ,4.01                 ,0.82                           ,0.82                      ,-2.58                        ,-569.85         ,22.58                   ,13.47        ,11.16               ,-17.12  ,-17.12               ,11.16                     ,47.12   ,62.22                ,49.53                        ,21.56             ,2.74                 ,- -          ,            10.89 ,41.14        ,3.54                            ,3.54         ,13.47                      ,-2.87              ,19.25    ,15.17              ,0.36                         ,-6.43         ,- -                   ,14.81               ,-6.82      ,5.4                         ,-63.64         ,6.52                     ,-63.93                   ,-5.71                          ,19.73                 ,-169.43                     ,-94.67                         ,2.38           ,2093.67        ,64.22                       ,7.98                           ,-574.4              ,19.73                ,-14.51         ,39.81                ,1.19                    ,0.2896544106660712
 5 ,2015 ,11.94                    ,- -             ,11.94        ,-4.5                       ,- -                    ,- -                     ,12.03                       ,12.03         ,11.25                       ,-3.07                     ,14.77             ,-3.04                       ,14.73               ,-0.45  ,-11.06            ,- -   ,- -  ,- -              ,- -                  ,-0.62             ,29.26              ,3.17               ,-0.45                ,3.2                            ,32.87                   ,10.26                   ,- -         ,- -             ,3.9                  ,12.7                           ,12.7                      ,-4.58                        ,47.05           ,5.7                     ,4.89         ,4.18                ,-10.48  ,- -                  ,7.41                      ,-0.81   ,-25.4                ,-5.08                        ,3.25              ,8.46                 ,- -          ,            11.1  ,-73.99       ,7.26                            ,7.26         ,4.89                       ,-0.88              ,-31.56   ,-36.2              ,6.12                         ,-3.27         ,- -                   ,-13.4               ,11.25      ,-0.45                       ,-302.27        ,11.22                    ,925.76                   ,-46.35                         ,-0.95                 ,-144.04                     ,-607.94                        ,- -            ,-82.8          ,-55.85                      ,-27.18                         ,-20.2               ,-0.95                ,-68.35         ,83.03                ,-51.78                  ,0.257960674342093
 6 ,2016 ,0.17                     ,- -             ,0.17         ,-1.67                      ,- -                    ,- -                     ,-36.16                      ,-36.16        ,-51.88                      ,-0.05                     ,-51.86            ,-0.15                       ,-51.81              ,4.03   ,3.85              ,- -   ,- -  ,- -              ,- -                  ,-51.96            ,-4.45              ,2.96               ,4.03                 ,16.61                          ,50.8                    ,10.25                   ,- -         ,- -             ,15.94                ,8.74                           ,8.74                      ,7.55                         ,-57.9           ,-7.57                   ,2.91         ,4.52                ,0.33    ,- -                  ,4.4                       ,-0.05   ,-9.35                ,-1.32                        ,2.64              ,1.25                 ,- -          ,             3.97 ,-213.79      ,3.28                            ,3.28         ,2.91                       ,0.69               ,-85.87   ,-86.32             ,2.26                         ,11.05         ,- -                   ,4.84                ,-51.88     ,4.03                        ,-183.71        ,5.5                      ,-204.58                  ,123.04                         ,0.76                  ,357.46                      ,-525.62                        ,2.91           ,- -            ,-72.99                      ,-232.61                        ,105.35              ,0.76                 ,308.41         ,-35.86               ,363.52                  ,0.05317098099662254
 7 ,2017 ,-1.13                    ,- -             ,-1.13        ,-8.45                      ,- -                    ,- -                     ,159.02                      ,159.02        ,298.7                       ,-3.27                     ,312.17            ,-3.53                       ,313.3               ,4.3    ,5.49              ,- -   ,- -  ,- -              ,- -                  ,303.24            ,16.75              ,28.49              ,4.3                  ,18.54                          ,4.26                    ,-33.28                  ,- -         ,- -             ,13.34                ,5.25                           ,5.25                      ,25.56                        ,-186.58         ,0.64                    ,7.02         ,17.12               ,-50     ,- -                  ,15.18                     ,25.79   ,13.26                ,24.22                        ,17.84             ,-4.51                ,- -          ,            19.35 ,-128.79      ,-7.89                           ,-7.89        ,7.02                       ,-7.79              ,308.37   ,343.35             ,-18.04                       ,-1.6          ,- -                   ,-15.31              ,298.7      ,4.3                         ,188.59         ,36.52                    ,-2.82                    ,109.25                         ,-0.57                 ,188.16                      ,115.93                         ,24.29          ,496.98         ,3135.58                     ,-229.1                         ,-87.37              ,-0.57                ,150.32         ,-36.01               ,-47.52                  ,0.03184016513102983
 8 ,2018 ,5.85                     ,- -             ,5.85         ,14.59                      ,- -                    ,- -                     ,-48.68                      ,-48.68        ,-31.25                      ,-4.85                     ,-27.75            ,-4.93                       ,-27.68              ,10.1   ,4.02              ,- -   ,- -  ,- -              ,- -                  ,-35.05            ,16.79              ,26.59              ,10.1                 ,-9.04                          ,-42.03                  ,18.85                   ,- -         ,- -             ,-7.4                 ,9.53                           ,9.53                      ,-6.65                        ,2.5             ,-5.47                   ,-6.49        ,-29.51              ,1029.33 ,- -                  ,-16.22                    ,-8.28   ,40.49                ,-2.71                        ,-12.02            ,3.63                 ,- -          ,            10.26 ,-936.84      ,3.24                            ,3.24         ,-6.49                      ,-1.53              ,324.37   ,311.05             ,5.73                         ,10.53         ,- -                   ,-9.37               ,-31.25     ,10.1                        ,161.16         ,-12.74                   ,-269.62                  ,-46.36                         ,16.79                 ,-90.74                      ,4.96                           ,20.45          ,-14.84         ,-67.61                      ,-16.93                         ,-1129.7             ,16.79                ,-55.74         ,76.72                ,-21.98                  ,0.22509617231723145
 9 ,2019 ,14.01                    ,- -             ,14.01        ,-1.91                      ,- -                    ,- -                     ,67.52                       ,67.52         ,60.84                       ,-2.5                      ,64.96             ,-2.66                       ,65.23               ,7.68   ,-5.56             ,- -   ,- -  ,- -              ,- -                  ,41.07             ,3.11               ,12.62              ,7.68                 ,21.48                          ,73.03                   ,4.04                    ,- -         ,- -             ,20.16                ,12.68                          ,12.68                     ,8.33                         ,17.98           ,8.01                    ,14.41        ,20                  ,-58.74  ,- -                  ,6.68                      ,13.53   ,60.65                ,21.3                         ,11.7              ,11.1                 ,- -          ,            16    ,-198.11      ,18.46                           ,18.46        ,14.41                      ,-2.55              ,-56.74   ,-63.48             ,12.27                        ,12.63         ,- -                   ,10.58               ,60.84      ,7.68                        ,-69.81         ,18.98                    ,-242.5                   ,143.17                         ,20.26                 ,145.25                      ,-58.6                          ,9.81           ,-31.29         ,-1.83                       ,192.36                         ,-200.71             ,20.26                ,191.35         ,-41.46               ,51.18                   ,0.0005846353916127978
