   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,4.29                     ,3.62            ,5.09         ,4.22                       ,3.54                   ,13.47                   ,-62.84                      ,8.74          ,10.49                       ,-4.4                      ,15.57             ,-4.03                       ,15.12               ,9.67   ,5.16              ,13.47  ,13.47  ,0.76             ,8.8                  ,5.94              ,-2.39              ,             16.19 ,-3.26                ,-16.62                         ,-12.49                  ,5.34                    ,-1.72       ,2.03            ,-1.67                ,-0.49                          ,1.75                      ,7.42                         ,12.13           ,8.73                    ,4.06         ,4.19                ,62.62   ,8.2                  ,12.67                     ,-0.39   ,-1.63                ,-1.09                        ,4.65              ,                8.63 ,        8.63 ,14.38             ,-0.46        ,1.81                            ,1.83         ,4.06                       ,-5.93              ,29.07    ,26.75              ,-10768.9                     ,-12.73        ,-49.27                ,6.85                ,45.62      ,-3.26                       ,-247.73        ,12.72                    ,-395.93                  ,-2.36                          ,16.61                 ,-187.18                     ,26.42                          ,         11.08 ,20.53          ,165.04                      ,-15.45                         ,-0.46               ,16.61                ,-6.99          ,5.56                 ,-11.63                  ,0.014784625057113754
 1 ,2011 ,7.06                     ,5.42            ,8.96         ,8.05                       ,3.85                   ,10.82                   ,-193.54                     ,6.49          ,6.89                        ,-5.66                     ,13.31             ,-5.72                       ,13.37               ,8.59   ,1.43              ,10.82  ,10.82  ,1.78             ,3.52                 ,-0.15             ,5.42               ,             15.88 ,-0.33                ,2.33                           ,11.83                   ,4.73                    ,5.92        ,18.31           ,5.84                 ,-1.51                          ,-0.41                     ,-15.28                       ,2.79            ,0.26                    ,2.63         ,-4.72               ,24.86   ,4.14                 ,3.85                      ,4.63    ,12                   ,8.76                         ,6.56              ,                5.97 ,        5.97 ,13.32             ,16.76        ,-12.62                          ,-12.67       ,2.63                       ,-5.28              ,7.99     ,23.66              ,67.9                         ,1.92          ,-77.71                ,1.55                ,-18.9      ,-0.33                       ,-154.76        ,10.81                    ,93.21                    ,-2.15                          ,-1.83                 ,0.17                        ,-48.32                         ,          9.32 ,24.1           ,8.55                        ,10.19                          ,-368.61             ,-1.83                ,-2.25          ,22.29                ,-8.46                   ,0.27415116381228843
 2 ,2012 ,-2.25                    ,-4.52           ,0.32         ,-0.17                      ,0.7                    ,0.57                    ,-198.47                     ,4.28          ,4.72                        ,-4.55                     ,9.71              ,-4.8                        ,10.01               ,-0.06  ,2.24              ,0.57   ,0.57   ,2.63             ,2.89                 ,7.14              ,-9.29              ,             13.81 ,-2.89                ,-6.65                          ,-12.67                  ,3.44                    ,-11.87      ,-20.6           ,-2.94                ,0.81                           ,0.94                      ,2.57                         ,8.64            ,6.53                    ,2.39         ,8.44                ,8.48    ,-3.46                ,3.57                      ,5.39    ,4.16                 ,4.68                         ,4.19              ,                4.12 ,        4.12 ,12.19             ,17.7         ,-6.35                           ,-6.18        ,2.39                       ,-3.94              ,17.83    ,25.6               ,51.08                        ,-6.28         ,-180.3                ,7.76                ,4.7        ,-2.89                       ,-50.64         ,904.3                    ,2.47                     ,-1.24                          ,1.07                  ,-11.94                      ,104.73                         ,          8.64 ,-76.99         ,-16.62                      ,-12.38                         ,-179.82             ,1.07                 ,-1.95          ,-2.54                ,-5.69                   ,-0.07480786028680964
 3 ,2013 ,-4.55                    ,-5.47           ,-3.56        ,-0.22                      ,-1.21                  ,-8.91                   ,-119.48                     ,-10.86        ,-0.73                       ,-4.2                      ,3.63              ,-4.54                       ,3.99                ,-7.23  ,-2.81             ,-8.91  ,-8.91  ,1.03             ,-4.57                ,4.01              ,-3.89              ,             13.43 ,0.51                 ,-0.57                          ,2.92                    ,4.11                    ,1.01        ,12.85           ,3.88                 ,-1.25                          ,-0.06                     ,-7.61                        ,11.13           ,7.3                     ,5.88         ,-5.1                ,-25.26  ,-1.48                ,-7.96                     ,36.4    ,-6.86                ,11.55                        ,3.06              ,                2.96 ,        2.96 ,10.54             ,-16.14       ,20.85                           ,20.78        ,5.88                       ,-5.64              ,26.88    ,5.05               ,-18.42                       ,12.86         ,-114.34               ,-0.69               ,-0.6       ,0.51                        ,-22.38         ,-91.43                   ,75.58                    ,-10.71                         ,-12.23                ,164.14                      ,-18.89                         ,          8.67 ,204.35         ,21.9                        ,-17.5                          ,-121.43             ,-12.23               ,-10.23         ,5.72                 ,-10.06                  ,-0.29778881702532434
 4 ,2014 ,-6.97                    ,-9.48           ,-4.33        ,-1.37                      ,-12.67                 ,-5.44                   ,-2038.67                    ,2.37          ,-4.44                       ,-8.24                     ,-20.51            ,-8.44                       ,-20.35              ,-5.21  ,1.89              ,-5.44  ,-5.44  ,2.85             ,1.65                 ,-21.6             ,4.52               ,             14.3  ,-4.26                ,-23.41                         ,-20.9                   ,-0.02                   ,-8.96       ,14.24           ,-3.75                ,-22.07                         ,-3.56                     ,20.78                        ,-8.29           ,-9.03                   ,-6.89        ,6.64                ,-16.48  ,-3.29                ,-1.38                     ,6.75    ,1.85                 ,4.4                          ,2.15              ,                2.08 ,        2.08 ,5.96              ,29.04        ,-47.93                          ,-47.6        ,-6.89                      ,-6.06              ,11.47    ,112.74             ,94.04                        ,-2.41         ,-568.7                ,-11                 ,-27.27     ,-4.26                       ,-266.67        ,-16.67                   ,-132.56                  ,-3.43                          ,1.04                  ,-60.89                      ,-58.9                          ,          4.88 ,-74.29         ,1.56                        ,56.57                          ,-633.33             ,1.04                 ,-4.81          ,-19.16               ,32.41                   ,-0.23777722235301146
 5 ,2015 ,-11.91                   ,-11.49          ,-12.33       ,-11.86                     ,-3.49                  ,-15.34                  ,-82.39                      ,-20.22        ,-15.15                      ,-2.54                     ,12.58             ,-2.7                        ,12.76               ,-14.95 ,-3.45             ,-15.34 ,-15.34 ,-0.48            ,-3.9                 ,24.55             ,-11.7              ,             16.93 ,-13.33               ,-3.33                          ,-9.32                   ,-10.29                  ,-26.25      ,-40.03          ,-14                  ,-0.41                          ,-24.83                    ,-7.42                        ,0.66            ,-0.18                   ,-5.99        ,-26.35              ,12.74   ,-8.35                ,-13.46                    ,-4.69   ,-8.01                ,-6.24                        ,-8.95             ,                1.13 ,        1.13 ,6.05              ,6.21         ,20.17                           ,20.06        ,-5.99                      ,-2.5               ,-0.39    ,-17.03             ,8.94                         ,-0.62         ,272.55                ,-0.24               ,10         ,-13.33                      ,-140           ,- -                      ,-135.71                  ,0.59                           ,-0.77                 ,40.74                       ,173.33                         ,         13.95 ,- -            ,-66.92                      ,-40.65                         ,-75                 ,-0.77                ,1.04           ,-15.92               ,-8.32                   ,-0.10695731239199813
 6 ,2016 ,-2.23                    ,1.38            ,-5.87        ,3.13                       ,9.61                   ,-16.47                  ,-402.73                     ,-22.67        ,-11.1                       ,-2.38                     ,-7.8              ,-2.44                       ,-7.74               ,-10.74 ,-8.7              ,-16.47 ,-16.47 ,-3.73            ,-14.56               ,-7.94             ,-2.84              ,              9.88 ,12.33                ,4.06                           ,1.82                    ,2.42                    ,0.13        ,8.51            ,3.26                 ,0.97                           ,2.7                       ,-11.61                       ,11.69           ,8.22                    ,6.31         ,-28.61              ,16.28   ,32.5                 ,5.85                      ,3.67    ,-0.8                 ,1.62                         ,3.13              ,                1.26 ,        1.26 ,4.54              ,-0.71        ,27.93                           ,27.51        ,6.31                       ,-2.06              ,6.64     ,-16.37             ,4.47                         ,-2.45         ,-98.53                ,0.63                ,-10.06     ,12.33                       ,36             ,8.8                      ,-44.2                    ,-2.84                          ,-0.02                 ,123.73                      ,28.49                          ,          7.27 ,53.5           ,-23.3                       ,-37.05                         ,-147.75             ,-0.02                ,-3.74          ,19.49                ,7.95                    ,0.15675787553487175
 7 ,2017 ,-0.98                    ,3.09            ,-5.4         ,-4.57                      ,0.63                   ,-9.97                   ,-48.52                      ,-7.54         ,-51.54                      ,-2.36                     ,-50.37            ,-2.22                       ,-50.44              ,-6.55  ,-5.63             ,-9.97  ,-9.97  ,-4.47            ,-9.08                ,-51.06            ,3.16               ,              7.29 ,3.65                 ,47.53                          ,52.98                   ,8.16                    ,1.93        ,-13.61          ,13.32                ,2.63                           ,7.29                      ,7.28                         ,2.44            ,2.77                    ,6.71         ,12.98               ,-7      ,2.01                 ,3                         ,14.95   ,8.11                 ,11.89                        ,8.63              ,                1.17 ,        1.17 ,0.24              ,-9.54        ,-3.57                           ,-3.63        ,6.71                       ,-2.5               ,1.49     ,5.3                ,-8.47                        ,10.02         ,-3087.36              ,-4.01               ,-51.54     ,3.65                        ,-1.65          ,-1.84                    ,-2212.9                  ,1.25                           ,-9.08                 ,-83.51                      ,-32.65                         ,          4.76 ,24.72          ,26.83                       ,10.83                          ,1580.63             ,-9.08                ,4.71           ,-8.68                ,108.94                  ,-0.23407795513043728
 8 ,2018 ,0.57                     ,-0.6            ,1.96         ,-3.69                      ,-7.05                  ,12.02                   ,369.92                      ,-0.51         ,51.49                       ,-2.23                     ,55.17             ,-2.25                       ,55.2                ,8.3    ,7.69              ,12.03  ,12.02  ,1.38             ,11.38                ,50.85             ,4.98               ,              5.25 ,-1.37                ,-4.63                          ,-4.95                   ,-3.37                   ,6.25        ,24.4            ,-1.18                ,-2.91                          ,0.4                       ,-51.49                       ,2.47            ,-1.83                   ,-1.57        ,-9.99               ,46.09   ,-6.55                ,2.31                      ,-10.62  ,7.19                 ,-2.91                        ,-1.1              ,                1.07 ,        1.07 ,3.97              ,10.9         ,-4.54                           ,-4.49        ,-1.57                      ,-3.22              ,-1.2     ,3.44               ,-0.75                        ,-3.42         ,-412.11               ,-4.2                ,51.71      ,-1.34                       ,-4.67          ,-4.49                    ,-74.06                   ,-8.83                          ,5.06                  ,556.47                      ,-30.76                         ,          2.91 ,99.97          ,7.65                        ,63.12                          ,-104.21             ,5.06                 ,-12.88         ,-23.33               ,-39.91                  ,-0.16320728467325896
 9 ,2019 ,-3.07                    ,-4.68           ,-1.21        ,6.39                       ,11.34                  ,-20.23                  ,-79.89                      ,-10.37        ,8.16                        ,-2.72                     ,11.08             ,-2.56                       ,10.9                ,-6.19  ,-3.22             ,-20.24 ,-20.23 ,1.92             ,-17.7                ,11.48             ,-3.07              ,              3.54 ,35.28                ,-26.08                         ,-28.18                  ,-22.14                  ,-3.75       ,-15.62          ,-21.82               ,-164.97                        ,-53.77                    ,-13.08                       ,94.41           ,53.25                   ,23.35        ,-19.46              ,-0.29   ,7.46                 ,-1.38                     ,62.85   ,8.89                 ,37.05                        ,23.25             ,                1.35 ,        1.35 ,2.35              ,-3.03        ,24.08                           ,23.95        ,23.35                      ,-0.6               ,58.94    ,28.23              ,149.76                       ,-20.73        ,-88.23                ,- -                 ,8.05       ,35.25                       ,33.14          ,33.14                    ,-191.5                   ,-3.13                          ,-26.66                ,-95.06                      ,448.26                         ,          0.72 ,361.83         ,-65.93                      ,-186.37                        ,2214.07             ,-26.66               ,5.14           ,23.83                ,-10.35                  ,-0.05301992597682559
