   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,15.6                     ,2.63            ,       20.53 ,-6.01                      ,- -                    ,                  27.67 ,110.92                      ,23.45         ,29.8                        ,0.88                      ,24.95             ,0.52                        ,25.4                , 24.35 ,7.57              ,27.67 ,27.67 ,4.26             ,10.45                ,9.04              ,2.34               ,- -                ,8.85                 ,12.5                           ,12.55                   ,4.94                    ,- -         ,21.5            ,21.15                ,3.02                           ,                    20.73 ,- -                          ,35.96           ,26.45                   ,21.74        ,-5.69               ,155.3   ,21.42                ,21.93                     ,56.24   ,35.45                ,44.42                        ,22.49             ,4.21                 ,1.16         ,37.96             ,53.68        ,15.74                           ,15.74        ,21.74                      ,-0.25              ,-82.33   ,-84.73             ,-96.92                       ,-0.64         ,21.13                 ,12.95               ,29.8       ,8.85                        ,-2.73          ,-7.24                    ,-251.27                  ,9.69                           ,-60.05                ,-452.86                     ,344.97                         ,- -            ,504.88         ,763.31                      ,-325.69                        ,-73.92              ,-60.05               ,20.46          ,4.19                 ,-12.98                  ,-0.06682977747278973
 1 ,2011 ,15.4                     ,5.99            ,       18.44 ,3.21                       ,- -                    ,                  22.15 ,-7.27                       ,24.7          ,28.01                       ,-0.85                     ,29.14             ,-0.64                       ,28.87               , 20.1  ,4.07              ,22.15 ,22.15 ,2.64             ,5.85                 ,10.96             ,6.28               ,- -                ,8.9                  ,31.93                          ,32.35                   ,19.11                   ,- -         ,38.57           ,38.3                 ,38.58                          ,                    15.88 ,206.24                       ,-0.39           ,15.52                   ,35.68        ,17.24               ,-80.22  ,38.92                ,37.5                      ,157.1   ,-6.62                ,69.77                        ,38.45             ,4.8                  ,0.89         ,35.21             ,-156.31      ,12.38                           ,12.27        ,35.68                      ,-1.2               ,-249.11  ,-232.81            ,2822.48                      ,0.58          ,4.1                   ,8.57                ,28.01      ,8.9                         ,36.72          ,7.46                     ,-121.05                  ,33.58                          ,234.69                ,3619.58                     ,-2.86                          ,- -            ,4.92           ,82.34                       ,-38.06                         ,189.19              ,234.69               ,23.29          ,-29.22               ,4.32                    ,0.011781746373705548
 2 ,2012 ,2.71                     ,-0.34           ,        3.6  ,1.14                       ,- -                    ,                   4.57 ,14.29                       ,3.95          ,7.66                        ,- -                       ,8.24              ,-1.35                       ,9.72                ,  3.83 ,1.08              , 4.57 , 4.57 ,0.86             ,1.81                 ,5.38              ,-3.39              ,- -                ,-0.76                ,95.88                          ,95.88                   ,-6.84                   ,- -         ,1.15            ,3.51                 ,9.96                           ,                    12.24 ,-13.33                       ,-1.03           ,-2.19                   ,2.95         ,-14.87              ,226     ,1.12                 ,1.4                       ,15.7    ,-7.11                ,9.01                         ,1.67              ,4.05                 ,26.26        ,28.2              ,144.67       ,16.74                           ,16.27        ,2.95                       ,0.07               ,-843.6   ,-739.52            ,124.79                       ,2.08          ,5.4                   ,6.32                ,7.66       ,-0.76                       ,-53.85         ,-1.89                    ,128.57                   ,2.81                           ,-21.84                ,- -                         ,-80.81                         ,- -            ,-77.33         ,-62.11                      ,63.81                          ,287.68              ,-21.84               ,6.23           ,0.39                 ,-5.02                   ,-0.10701421355329854
 3 ,2013 ,26.93                    ,67.34           ,       15.67 ,61.8                       ,- -                    ,                  10.28 ,666.07                      ,-36.2         ,-43.06                      ,6.85                      ,-56.94            ,8.22                        ,-57.48              , 11.46 ,-12.18            ,10.28 ,10.28 ,-8.87            ,-13.11               ,-63.75            ,-67.7              ,- -                ,19.08                ,-35.79                         ,-40.38                  ,329.92                  ,- -         ,33.35           ,31.17                ,517.36                         ,                   203.62 ,-17.14                       ,546.42          ,481.62                  ,73.11        ,524.8               ,596.32  ,32.69                ,37.45                     ,304.85  ,975.85               ,472.6                        ,54.21             ,414.44               ,- -          ,-1.08             ,-340.38      ,238.89                          ,245.47       ,73.11                      ,58.68              ,-953.54  ,-347.07            ,-564.1                       ,-4.57         ,104.3                 ,292.94              ,-43.06     ,19.08                       ,995.83         ,23.08                    ,-256.25                  ,0.27                           ,163.24                ,-94.92                      ,2038.14                        ,- -            ,1199.32        ,6.94                        ,550.58                         ,-185.01             ,163.24               ,-16.39         ,71.56                ,117.92                  ,0.5260628755353935
 4 ,2014 ,151.56                   ,310.46          ,       87.51 ,179.17                     ,- -                    ,                  69.02 ,-60.37                      ,179.17        ,214.06                      ,46.15                     ,164.26            ,45.06                       ,166.24              , 75.39 ,-30.28            ,69.02 ,69.02 ,-25.46           ,-32.81               ,53.53             ,266.85             ,172.77             ,113.46               ,78.94                          ,-32.15                  ,-6.96                   ,- -         ,12.14           ,13.47                ,-1.69                          ,                    10.72 ,16.98                        ,-11.46          ,-10.57                  ,5.95         ,-3.84               ,79.91   ,12.35                ,13.8                      ,-43.03  ,-12.92               ,-28.89                       ,7.69              ,1.47                 ,- -          ,29.33             ,-136.8       ,0.09                            ,-1.15        ,5.95                       ,-1.74              ,-11.52   ,-10.49             ,-42.82                       ,-0.29         ,-72.17                ,-31.43              ,214.06     ,113.46                      ,-93.54         ,51.56                    ,-532                     ,105.99                         ,39.66                 ,4707.69                     ,-81.45                         ,298.67         ,- -            ,796.1                       ,-219.21                        ,-56.95              ,39.66                ,127.34         ,-25.31               ,-46.67                  ,-0.12630090389988202
 5 ,2015 ,7.58                     ,5.78            ,        9.17 ,-22.39                     ,- -                    ,                  16.55 ,8.82                        ,17.48         ,28.86                       ,-2.46                     ,33.14             ,-2.44                       ,33.12               , 15.81 ,7.65              ,16.55 ,16.55 ,1.47             ,8.34                 ,20.71             ,-43.74             ,13.49              ,12.31                ,-64.58                         ,-3.83                   ,37.8                    ,- -         ,8.53            ,6.13                 ,18.65                          ,                    24.75 ,-21.11                       ,39.17           ,36.91                   ,14.26        ,-2.93               ,26.89   ,7.93                 ,8.54                      ,111.05  ,20.69                ,59.08                        ,13.31             ,23.71                ,500          ,29.22             ,308.7        ,19.81                           ,18.46        ,14.26                      ,5.31               ,84.3     ,55.58              ,99.53                        ,-2.22         ,-22.94                ,91.21               ,28.86      ,12.31                       ,-317.65        ,14.43                    ,-397.22                  ,-13.41                         ,10.8                  ,-186.72                     ,541.88                         ,10.7           ,8.48           ,2.17                        ,-248.13                        ,-198.26             ,10.8                 ,-18.2          ,24.67                ,-33.32                  ,0.19018073923803103
 6 ,2016 ,27.53                    ,29.1            ,       26.19 ,3.53                       ,- -                    ,                  22.52 ,12.97                       ,23.59         ,12.51                       ,7.01                      ,4.89              ,7.16                        ,4.75                , 29.39 ,1.45              ,22.52 ,22.52 ,-1.05            ,-3.93                ,-11.99            ,25.67              ,15.47              ,63.1                 ,-34.45                         ,-35.09                  ,11                      ,- -         ,7.64            ,7.17                 ,8.87                           ,                    19.29 ,44.48                        ,-0.12           ,0.79                    ,5.15         ,2.74                ,-3.78   ,7.69                 ,7.08                      ,-17.94  ,2                    ,-9.24                        ,4.91              ,-8                   ,- -          ,15.45             ,82.98        ,6.14                            ,6.15         ,5.15                       ,- -                ,-10.84   ,-16                ,-19.15                       ,0.08          ,-70.02                ,1.48                ,12.51      ,63.1                        ,-743.24        ,11.71                    ,-51.4                    ,63.92                          ,31.77                 ,-106.46                     ,-71.37                         ,23.56          ,- -            ,-85.25                      ,-173.99                        ,-161.13             ,31.77                ,72.53          ,-24.9                ,46.04                   ,0.019616101853658474
 7 ,2017 ,-2.14                    ,-8.54           ,        3.45 ,6.81                       ,- -                    ,                   7.24 ,-153.11                     ,23.64         ,75.29                       ,-1.01                     ,78.44             ,-0.83                       ,78.13               ,  3.07 ,5.33              , 7.24 , 7.24 ,5.72             ,9.59                 ,80.51             ,11.27              ,17.57              ,-12.3                ,28.14                          ,31.45                   ,16.22                   ,- -         ,-6.83           ,-6.25                ,10.36                          ,                    17.56 ,- -                          ,0.63            ,-0.68                   ,-4.56        ,9.08                ,-26.47  ,-6.95                ,-7.58                     ,10.23   ,-23.84               ,-6.48                        ,-7.45             ,0.76                 ,- -          ,43.2              ,-35.17       ,7.89                            ,7.57         ,-4.56                      ,-2.02              ,-6.58    ,-13.15             ,-15.53                       ,1.44          ,32.53                 ,-12.06              ,75.29      ,-12.3                       ,-421.43        ,8.87                     ,53.21                    ,-2.98                          ,-2.19                 ,367.14                      ,-110.7                         ,16.38          ,-76.33         ,897.12                      ,34.82                          ,-219.08             ,-2.19                ,-3.14          ,27.6                 ,-45.07                  ,0.07184980860903578
 8 ,2018 ,7.41                     ,6.87            ,        7.83 ,1.45                       ,- -                    ,                   8.36 ,-187.39                     ,-0.24         ,-20.91                      ,-2.38                     ,-19.38            ,-2.53                       ,-19.26              ,  8.58 ,1.09              , 8.36 , 8.36 ,0.39             ,0.89                 ,-26.73            ,3.06               ,19.44              ,9.53                 ,31.4                           ,35.33                   ,5.54                    ,- -         ,24.77           ,24.51                ,-0.4                           ,                    10.15 ,- -                          ,5.98            ,5.66                    ,18.56        ,10.89               ,-48.12  ,24.7                 ,22.03                     ,52.1    ,1.9                  ,32.05                        ,23.19             ,1.36                 ,- -          ,21.27             ,41.26        ,1.44                            ,1.87         ,18.56                      ,-2.4               ,20.7     ,18.49              ,-8.53                        ,2.04          ,41.67                 ,4.22                ,-20.91     ,9.53                        ,-103.01        ,-3.7                     ,-59.83                   ,21.49                          ,-21.57                ,-29.97                      ,-2007.61                       ,16.6           ,124.9          ,23.24                       ,-76.51                         ,52.91               ,-21.57               ,30.38          ,-10.78               ,54.36                   ,0.14345585338110844
 9 ,2019 ,4.32                     ,4.88            ,        3.88 ,1.14                       ,- -                    ,                   2.22 ,100                         ,-1.55         ,-2.97                       ,-2.43                     ,-0.34             ,-2.42                       ,-0.36               ,  4.18 ,-0.13             , 2.22 , 2.22 ,-0.42            ,-2.01                ,-6.79             ,-10.1              ,14.68              ,12.97                ,16.16                          ,16.16                   ,3.67                    ,- -         ,1.75            ,1.93                 ,23.77                          ,                    21.34 ,- -                          ,0.48            ,1.59                    ,1.83         ,3.09                ,170.14  ,1.65                 ,4.1                       ,-14.78  ,-3.77                ,-11.38                       ,2.17              ,1.69                 ,- -          ,15.77             ,-22.86       ,0.31                            ,0.36         ,1.83                       ,-2.64              ,3.89     ,3.51               ,-2.47                        ,-2.08         ,-3.83                 ,16.04               ,-2.97      ,12.97                       ,186.96         ,6.92                     ,-69.79                   ,4.97                           ,8.93                  ,-103.93                     ,-0.85                          ,11.89          ,-82.83         ,19.33                       ,-8.42                          ,57.14               ,8.93                 ,4.48           ,14.52                ,7.96                    ,-0.04407471763383852
