   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt  ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    6.96 ,           3.84 ,        9.95 ,                      7.35 ,5.33                   ,15.86                   ,22.52                       ,15.81         ,15.61                       ,-1.86                     ,17.79             ,-1.85                       ,17.77               ,10.67  ,3.48              ,15.86 ,15.86 ,2.8              ,8.33                 ,8.08              ,6.96               ,- -                ,-7.67                ,47.02                          ,47.02                   ,4.32                    ,15.81       ,26.39           ,22.39                ,0.89                           ,8.67                      ,- -                          ,1.11            ,                   1.01 ,10.96        ,13.84               ,8.58    ,10.89                ,11.24                     ,-20.16   ,2.91                 ,0.29                         ,9.84              ,               10.33 ,        1.7  ,17.14             ,30.23        ,11.6                            ,11.6         ,10.96                      ,-1.55              ,-237.77  ,-223.44            ,5.31                         ,10.02         ,2.95                  ,- -                 ,15.61      ,-7.67                       ,-140           ,14.1                     ,-72.88                   ,2.94                           ,-32.05                ,- -                         ,-17.56                         ,- -            ,- -            ,72.19                       ,-8.95                          ,87.72               ,-32.05               ,20.42          ,34.08                ,-10.94                  ,0.16721496123161095
 1 ,2011 ,                   10.45 ,           9.04 ,       11.73 ,                      9.18 ,10.85                  ,15.86                   ,2.91                        ,15.98         ,14.46                       ,-1.6                      ,16.37             ,-2.26                       ,17.16               ,13.85  ,3.07              ,15.86 ,15.86 ,1.16             ,4.9                  ,3.68              ,3.95               ,- -                ,4.89                 ,17.19                          ,17.19                   ,17.65                   ,4.08        ,18.39           ,13.82                ,7.46                           ,12.14                     ,- -                          ,18.26           ,                  16.04 ,14.9         ,25.96               ,87.83   ,7.47                 ,53.23                     ,-26.83   ,50.99                ,43.95                        ,52.15             ,                9.37 ,        1.29 ,16.76             ,14.67        ,-6.04                           ,-6.04        ,14.9                       ,-3.86              ,-364.54  ,-381.54            ,-29.27                       ,-25.72        ,-3.76                 ,6.25                ,14.46      ,4.89                        ,-179.73        ,16.85                    ,-307.72                  ,23.41                          ,155                   ,- -                         ,124.58                         ,- -            ,1022.97        ,78.56                       ,12.55                          ,-46.71              ,155                  ,-13.65         ,-26.16               ,7.77                    ,0.111849197647377
 2 ,2012 ,                    6.13 ,           3.85 ,        8.14 ,                      6.08 ,7.85                   ,11.15                   ,7.93                        ,11.17         ,10.22                       ,-3.18                     ,13.8              ,-3.54                       ,14.23               ,10.74  ,4.35              ,11.15 ,11.15 ,1.9              ,4.73                 ,3.83              ,0.23               ,- -                ,8.73                 ,21.8                           ,21.8                    ,-2.09                   ,5.9         ,0.49            ,8.64                 ,13.1                           ,13.25                     ,-14.61                       ,0.3             ,                   5.42 ,7.06         ,-2.75               ,-12.63  ,34.36                ,-6.99                     ,-44.26   ,15                   ,12.27                        ,-4.86             ,                7.68 ,        0.94 ,15.81             ,3.31         ,17.91                           ,17.91        ,7.06                       ,-1.08              ,-115.17  ,-112.87            ,21.94                        ,16.81         ,-1.75                 ,5.88                ,10.22      ,8.73                        ,-163.23        ,2.94                     ,-65.25                   ,4.34                           ,-31.1                 ,- -                         ,-31.95                         ,- -            ,- -            ,-48.23                      ,28.35                          ,49.48               ,-31.1                ,33.83          ,21.35                ,-5.3                    ,0.071764350553438
 3 ,2013 ,                    6.47 ,           4.5  ,        8.15 ,                     13.19 ,7.3                    ,1.6                     ,79.91                       ,1.01          ,5.33                        ,-3.32                     ,8.97              ,-3.86                       ,9.58                ,2.03   ,-4.18             ,1.6   ,1.6   ,1.57             ,-4.58                ,-1.06             ,0.87               ,- -                ,4.17                 ,24.59                          ,24.59                   ,14.25                   ,-5.33       ,23.99           ,14.6                 ,14.7                           ,14.99                     ,26.65                        ,1.78            ,                   8.19 ,11.5         ,3.37                ,30.47   ,6.27                 ,17.72                     ,10686.15 ,40.21                ,283.45                       ,52.41             ,                8.89 ,        1.03 ,14.38             ,-14.62       ,-18.55                          ,-18.55       ,11.5                       ,-5.45              ,-1674.44 ,-2033.08           ,-38.87                       ,-2.65         ,-1.31                 ,5.56                ,5.33       ,4.17                        ,-349.22        ,3.68                     ,-235.35                  ,6.82                           ,13.88                 ,- -                         ,30.38                          ,- -            ,88.76          ,178.04                      ,-18.26                         ,47.65               ,13.88                ,3.8            ,3.83                 ,1.4                     ,-0.14978405555468277
 4 ,2014 ,                    7.9  ,           7.85 ,        7.94 ,                     14.01 ,11.66                  ,-2.44                   ,291.32                      ,-6.35         ,-3.11                       ,-5.85                     ,2.88              ,-5.99                       ,3.03                ,-0.69  ,-7.96             ,-2.44 ,-2.44 ,0.04             ,-9.58                ,-10.23            ,-3.9               ,- -                ,7.86                 ,15.58                          ,15.58                   ,-3.58                   ,20.17       ,51.05           ,16.35                ,7.96                           ,9.8                       ,-17.67                       ,9.5             ,                   8.13 ,12.49        ,34.24               ,97.46   ,48.25                ,71.61                     ,132.78   ,14.51                ,90.52                        ,77.82             ,                7.55 ,        0.75 ,12.18             ,-159.25      ,-77.32                          ,-77.31       ,12.49                      ,-8.08              ,286.02   ,1601.18            ,-141.35                      ,-32.2         ,-1.88                 ,12.28               ,-3.11      ,7.86                        ,-29.15         ,9.43                     ,217.27                   ,-4.13                          ,-22.81                ,- -                         ,-6.56                          ,- -            ,119.53         ,68.09                       ,0.96                           ,-9.55               ,-22.81               ,4.65           ,44.18                ,-1.02                   ,0.2800017230893497
 5 ,2015 ,                    7.81 ,           6.26 ,        9.09 ,                      5.43 ,1.44                   ,18.39                   ,155.35                      ,10.78         ,5.6                         ,-7.49                     ,14.14             ,-7.74                       ,14.45               ,18.15  ,9.59              ,18.39 ,18.39 ,1.18             ,9.81                 ,-2.06             ,1.47               ,- -                ,17.1                 ,6.22                           ,-60.01                  ,23.58                   ,17.77       ,-17.92          ,8.2                  ,9.7                            ,12.37                     ,13.01                        ,-0.74           ,                   4.57 ,6.56         ,7.53                ,4.37    ,-19.58               ,4.37                      ,70.6     ,9.85                 ,57.55                        ,23.08             ,                5.82 ,        0.62 ,-81               ,423.66       ,-171.59                         ,-171.43      ,6.56                       ,-5.01              ,80.6     ,-352.83            ,121.02                       ,3.67          ,5.81                  ,6.25                ,5.6        ,17.1                        ,430.88         ,9.86                     ,618.37                   ,-8.26                          ,36.61                 ,5279.58                     ,283.53                         ,- -            ,-41.93         ,-34.97                      ,-7.62                          ,-460.79             ,36.61                ,-23.81         ,-10.47               ,-13.12                  ,-0.00912307586727712
 6 ,2016 ,                   10.83 ,          12.42 ,        9.57 ,                      8.62 ,1.45                   ,13.67                   ,-18.84                      ,17.83         ,15.57                       ,-3.1                      ,19.3              ,-2.95                       ,19.12               ,13.62  ,2.52              ,13.67 ,13.67 ,-1.14            ,2.56                 ,4.3               ,2.33               ,- -                ,13.43                ,14.38                          ,20.08                   ,8.59                    ,-16.31      ,-10.49          ,2.91                 ,7.33                           ,9.43                      ,-9.76                        ,2.78            ,                   4.86 ,3.78         ,14.72               ,6.63    ,7.02                 ,9.08                      ,-0.67    ,5.8                  ,0.3                          ,5.13              ,                7.51 ,        0.74 ,69.75             ,1.86         ,28.8                            ,28.83        ,3.78                       ,-2.25              ,0.78     ,-21.77             ,-0.97                        ,-5.65         ,-11.1                 ,8.31                ,15.57      ,13.43                       ,24.77          ,0.04                     ,-104.3                   ,54.63                          ,-21.87                ,-88.83                      ,-70.56                         ,- -            ,-86.14         ,-24.35                      ,127.96                         ,-113.84             ,-21.87               ,102.17         ,17.32                ,33.76                   ,0.5128505356388742
 7 ,2017 ,                   10.91 ,           8.96 ,       12.5  ,                      9.75 ,7.97                   ,17.93                   ,12.6                        ,18.4          ,18.56                       ,-2.19                     ,21.16             ,-1.45                       ,20.25               ,15.8   ,4.42              ,17.93 ,17.93 ,1.44             ,6.33                 ,6.86              ,7.48               ,- -                ,6.29                 ,20.44                          ,21.16                   ,14.72                   ,3.98        ,10.89           ,14.95                ,6.06                           ,9.3                       ,-9.37                        ,11.26           ,                   8.22 ,11.94        ,8.17                ,7.2     ,6.58                 ,7.49                      ,2.19     ,40.79                ,8.28                         ,7.83              ,                6.08 ,        0.91 ,48.69             ,-15.29       ,-50.06                          ,-50.24       ,11.94                      ,-0.99              ,2.31     ,105.62             ,-20.48                       ,6.94          ,-11.84                ,3.19                ,18.56      ,6.29                        ,-40.93         ,18.23                    ,179.15                   ,11.57                          ,18.39                 ,97.23                       ,52.76                          ,- -            ,15.79          ,-4.42                       ,-4.5                           ,2.35                ,18.39                ,9.93           ,17.15                ,-5.86                   ,0.13930430451212583
 8 ,2018 ,                   12.4  ,          11.47 ,       13.14 ,                      9.94 ,7.95                   ,18.96                   ,5.07                        ,20.12         ,43.22                       ,-1.03                     ,44.77             ,-1.22                       ,45.06               ,15.79  ,3.02              ,18.96 ,18.96 ,0.65             ,5.83                 ,27.47             ,1.98               ,- -                ,0.05                 ,-73.77                         ,-34.04                  ,6.08                    ,5.47        ,7               ,-32.7                ,15.35                          ,11.63                     ,9.5                          ,23.45           ,                  19.12 ,-10.28       ,3.07                ,-39.09  ,41.5                 ,-23.31                    ,-0.78    ,11.6                 ,1.76                         ,-12.49            ,                5.94 ,        0.78 ,45.35             ,14.59        ,-82.42                          ,-82.85       ,-10.28                     ,-1.15              ,-18.34   ,376.17             ,2.38                         ,-12.25        ,-4.78                 ,10.22               ,43.22      ,0.05                        ,70.38          ,6.97                     ,-1193.56                 ,7.18                           ,60.27                 ,-699.17                     ,-199.94                        ,- -            ,- -            ,30.3                        ,187.38                         ,-322.46             ,60.27                ,-6.55          ,0.27                 ,-25.19                  ,0.2519108928060193
 9 ,2019 ,                    8.75 ,           7.17 ,        9.99 ,                      7.46 ,13.01                  ,12.52                   ,-8.83                       ,14.09         ,13.46                       ,-0.86                     ,14.43             ,-1.05                       ,14.65               ,11.55  ,2.57              ,12.52 ,12.52 ,1.14             ,3.47                 ,4.32              ,-0.98              ,- -                ,5.81                 ,-27.04                         ,-27.04                  ,8.22                    ,12.53       ,15.49           ,3.89                 ,-96.61                         ,-41.08                    ,25.36                        ,158.47          ,                  30.53 ,19.2         ,19.65               ,-27.62  ,0.42                 ,-5.85                     ,16.22    ,31.82                ,19.74                        ,6.99              ,                6.56 ,        0.59 ,36.62             ,10.51        ,-1965.58                        ,-2025.97     ,19.2                       ,-0.73              ,2.38     ,-105.32            ,-62.15                       ,10.35         ,2.1                   ,9.82                ,13.46      ,5.81                        ,53.41          ,56.13                    ,14.54                    ,14.77                          ,26.26                 ,- -                         ,-248.29                        ,- -            ,127.27         ,-18.22                      ,-52.09                         ,-44.55              ,26.26                ,9.66           ,17.77                ,1.16                    ,0.11499307952050386
