   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,24.19                    ,-4.87           ,47.31        ,-5.57                      ,16.33                  ,167.79                  ,-292.02                     ,186.97        ,167.15                      ,-0.04                     ,167.25            ,0.9                         ,164.76              ,86.92  ,50.52             ,87.35  ,167.79 ,18.62            ,115.63               ,115.12            ,20.12              ,12.75              ,-48.57               ,81.1                           ,37.9                    ,26.13                   ,30.29       ,21.01           ,49.18                ,3.91                           ,                     5.56 ,-18.54                       ,-1.22           ,-1.14                   ,18.92        ,23.21               ,-77.91  ,4.89                 ,19.48                     ,1.37    ,34.38                ,16.58                        ,18.51             ,7.9                  ,7.9          ,25.87             ,-15.27       ,19.02                           ,19.02        ,18.92                      ,-0.22              ,91.56    ,60.94              ,0.48                         ,24.86         ,21.92                 ,3.38                ,162.39     ,-8.19                       ,-68.92         ,3.15                     ,8.33                     ,49.44                          ,15.33                 ,590.57                      ,32.32                          ,12.71          ,-94.85         ,-15.64                      ,80.76                          ,137.21              ,15.33                ,72.58          ,-26.18               ,-44.06                  ,-0.06513226611667022
 1 ,2011 ,23.79                    ,36.7            ,17.15        ,21.57                      ,26.98                  ,9.84                    ,-33.48                      ,8.63          ,10.88                       ,-5.38                     ,17.19             ,-5                          ,16.72               ,14.55  ,-7.46             ,13.39  ,9.84   ,-5.36            ,-11.27               ,-10.43            ,2.02               ,24.52              ,1344.44              ,-38.98                         ,-7.88                   ,187.44                  ,7.11        ,-59.29          ,-18.03               ,32                             ,                    15.04 ,-64.03                       ,109.18          ,43.3                    ,12.64        ,17.15               ,550     ,210.13               ,32.61                     ,241.07  ,159.07               ,197.52                       ,86.73             ,5.3                  ,5.3          ,-10.48            ,-334.53      ,-7.51                           ,-7.51        ,12.64                      ,-9.27              ,-166.98  ,-172.42            ,-28.98                       ,-38.19        ,10.64                 ,21.33               ,12.89      ,30.75                       ,209.71         ,14.83                    ,409.23                   ,25.59                          ,106.72                ,-284.15                     ,-2.26                          ,17.81          ,5091.18        ,970.06                      ,139.12                         ,-128.99             ,106.72               ,-11.2          ,-23.83               ,13.26                   ,0.19399670961993754
 2 ,2012 ,-1.22                    ,-0.26           ,-1.8         ,5.05                       ,21.53                  ,-16.24                  ,-22.7                       ,-16.35        ,-14.97                      ,-4.95                     ,-10.54            ,-4.64                       ,-10.83              ,-5.87  ,-4.71             ,-6.14  ,-16.24 ,-0.58            ,-15.21               ,-13.92            ,-5.83              ,10.89              ,18.46                ,77.26                          ,67.38                   ,-53.49                  ,15.58       ,40.74           ,21.2                 ,18.44                          ,                    13.73 ,238.87                       ,-0.38           ,17.12                   ,18.61        ,-22.03              ,26.32   ,154.22               ,7.23                      ,85.43   ,16.7                 ,53.64                        ,31.5              ,14.25                ,14.25        ,8.37              ,-48.91       ,11.53                           ,11.53        ,18.61                      ,-1.12              ,119.33   ,96.66              ,-5.7                         ,13.03         ,10.37                 ,4.9                 ,-14.97     ,24.04                       ,-64.51         ,4.65                     ,-166.47                  ,-9.92                          ,10.01                 ,-124.14                     ,36.49                          ,5.4            ,15.66          ,-58.44                      ,-87.32                         ,-879.91             ,10.01                ,-30.95         ,-18.38               ,5.94                    ,-0.2542037690442268
 3 ,2013 ,-1.19                    ,4.94            ,-4.92        ,0.38                       ,4.56                   ,-14.39                  ,-65.96                      ,-15.21        ,-12.59                      ,-0.52                     ,-12.13            ,-1.22                       ,-11.5               ,-7.21  ,-6.09             ,-7.23  ,-14.39 ,-3.77            ,-13.37               ,-11.54            ,-3.57              ,3.5                ,-5.52                ,10.6                           ,-33.07                  ,-6.55                   ,-11.87      ,-8.34           ,2.32                 ,12.31                          ,                    11.16 ,56.48                        ,5.27            ,13.74                   ,9.49         ,5.02                ,-9.94   ,6.42                 ,5.19                      ,0.22    ,3.58                 ,1.4                          ,2.88              ,10.65                ,10.65        ,10.39             ,-411.53      ,13.77                           ,13.77        ,9.49                       ,0.47               ,56.38    ,37.45              ,7.75                         ,-2.74         ,-28.18                ,2.48                ,-12.59     ,6.78                        ,-102.77        ,1.45                     ,-1527.27                 ,10.02                          ,-9.25                 ,191.48                      ,28.54                          ,2.97           ,- -            ,-52.25                      ,290.48                         ,-181.82             ,-9.25                ,42.42          ,22.72                ,25.86                   ,0.013188497803493515
 4 ,2014 ,6.0                      ,-4.37           ,12.97        ,0.59                       ,8.73                   ,24.83                   ,98.75                       ,25.3          ,21.66                       ,-1.39                     ,23.38             ,-0.8                        ,22.65               ,17.64  ,10.99             ,17.88  ,24.83  ,6.58             ,17.76                ,14.78             ,6.89               ,-0.18              ,1.03                 ,-30.03                         ,-54.86                  ,23.59                   ,2.42        ,17.28           ,-13.57               ,5.76                           ,                     8.57 ,18.53                        ,3.39            ,6.56                    ,-0.44        ,8.27                ,470.82  ,8.83                 ,18.06                     ,-8.04   ,8.09                 ,-2.25                        ,5.83              ,1.14                 ,1.14         ,-5.8              ,-46.42       ,-4.1                            ,-4.1         ,-0.44                      ,-4.41              ,43.46    ,49.6               ,-4.72                        ,-26.79        ,3.28                  ,-0.84               ,21.66      ,6.44                        ,-1750          ,2.68                     ,-103.15                  ,-1.72                          ,-5.12                 ,-130.84                     ,-45.19                         ,-1.56          ,- -            ,355.61                      ,147.56                         ,10.84               ,-5.12                ,1.91           ,44.96                ,-19.22                  ,0.32833347840053917
 5 ,2015 ,-0.92                    ,2.05            ,-2.61        ,-2.53                      ,5.12                   ,-8.22                   ,-190.57                     ,-10.06        ,-2.43                       ,-3.24                     ,0.85              ,-3.2                        ,0.8                 ,-4.65  ,-3.76             ,-4.58  ,-8.22  ,-1.71            ,-7.37                ,-1.52             ,-1.48              ,6.8                ,-9.86                ,80.11                          ,497.74                  ,8.13                    ,20.92       ,2.27            ,45.53                ,-4.15                          ,                     4.63 ,-13.91                       ,5.18            ,-2.36                   ,12.08        ,-11.77              ,64.21   ,-6.23                ,-2.2                      ,65.49   ,-21.19               ,31.09                        ,16.32             ,7.48                 ,7.48         ,12.56             ,-90.99       ,9.34                            ,9.34         ,12.08                      ,-0.48              ,-33.97   ,-39.62             ,-1.37                        ,48.8          ,43.16                 ,0.56                ,-2.43      ,1.89                        ,-112.5         ,13.68                    ,991.92                   ,-6.86                          ,-26.98                ,-2.38                       ,-17.39                         ,3.33           ,54.74          ,-75.93                      ,-114.05                        ,-511.43             ,-26.98               ,13.21          ,6.45                 ,-4.55                   ,-0.014873491437107922
 6 ,2016 ,7.28                     ,12.19           ,4.36         ,5.89                       ,5.05                   ,2.81                    ,1166.67                     ,-8.98         ,-9.67                       ,-0.25                     ,-9.44             ,-0.39                       ,-9.32               ,-2.24  ,-8.88             ,-2.39  ,2.81   ,-2.73            ,-4.17                ,-15.8             ,8.6                ,8.37               ,10.94                ,-32.45                         ,-63.68                  ,-2.03                   ,7.47        ,60.46           ,-12.01               ,13.54                          ,                     8.04 ,38.78                        ,33.7            ,24.1                    ,9.96         ,11.13               ,75.93   ,33.36                ,29.58                     ,3.06    ,-2.02                ,1.85                         ,12.2              ,8.38                 ,8.38         ,8.33              ,76.67        ,8.42                            ,8.42         ,9.96                       ,0.11               ,167.9    ,147.11             ,-8.96                        ,-32.1         ,7.33                  ,-1.21               ,-9.67      ,-10.57                      ,-9293.94       ,10.65                    ,-161.79                  ,14.68                          ,29.26                 ,-157.95                     ,215.5                          ,8.1            ,-71.15         ,-3.33                       ,-400.16                        ,-176.48             ,29.26                ,5.29           ,-11.39               ,26.95                   ,-0.0077863527446588865
 7 ,2017 ,5.68                     ,2.14            ,7.95         ,-10.99                     ,2.81                   ,24.12                   ,-211.4                      ,57.33         ,-6.93                       ,-0.61                     ,-6.36             ,-0.82                       ,-6.16               ,17.29  ,10.98             ,18.04  ,24.12  ,2.15             ,17.45                ,-11.93            ,9.08               ,3.62               ,-39.8                ,-18.11                         ,-38.26                  ,19.55                   ,25.75       ,-64.39          ,-16.92               ,13.65                          ,                    11.42 ,-27.46                       ,45.47           ,20.47                   ,8.76         ,22.16               ,-61.67  ,-27.04               ,-14.19                    ,21.25   ,91.41                ,37.35                        ,15.14             ,2.76                 ,2.76         ,3.28              ,713.21       ,4.22                            ,4.22         ,8.76                       ,-0.91              ,18.54    ,13.74              ,-22.07                       ,-3.18         ,11.37                 ,-3.11               ,-6.93      ,4.35                        ,-73.76         ,-5.96                    ,436.53                   ,1.38                           ,22.37                 ,-848.03                     ,-38.95                         ,2.98           ,182.22         ,39.74                       ,47.67                          ,-78.18              ,22.37                ,-15.19         ,15.55                ,8.94                    ,0.1145019459162
 8 ,2018 ,12.89                    ,14.43           ,11.95        ,-9.69                      ,3.4                    ,26.88                   ,-96.41                      ,14.57         ,119.28                      ,-1.91                     ,123.56            ,-2.77                       ,125.53              ,22.23  ,8.28              ,22.29  ,26.88  ,-0.83            ,12.4                 ,94.25             ,7.95               ,11.38              ,12.99                ,-16.8                          ,-12.06                  ,19.89                   ,3.87        ,8.73            ,-2.42                ,19.14                          ,                    13.87 ,19.31                        ,-8.87           ,5.79                    ,3.82         ,12.23               ,-29     ,-30.1                ,-4.56                     ,0.24    ,-0.82                ,-0.1                         ,-1.53             ,-2.72                ,-2.72        ,19.22             ,-212.99      ,8.03                            ,8.03         ,3.82                       ,-3.65              ,-0.17    ,-7.59              ,12.66                        ,2.25          ,-5.35                 ,4.58                ,119.28     ,11.76                       ,-135.8         ,13.84                    ,-111.75                  ,33.12                          ,28.89                 ,-42.15                      ,-28.7                          ,9.25           ,-94.52         ,196.82                      ,119.55                         ,-80.54              ,28.89                ,37.93          ,-24.74               ,-39.29                  ,0.10463746479400415
 9 ,2019 ,1.58                     ,10.01           ,-3.65        ,-8.89                      ,-1.34                  ,-3.51                   ,2132.88                     ,3.18          ,-0.02                       ,-4.21                     ,4.37              ,-4.85                       ,5.07                ,2.86   ,1.26              ,-30.19 ,-3.51  ,-5.15            ,-5.01                ,-1.58             ,-1.54              ,5.05               ,5313                 ,12.64                          ,38.92                   ,13.94                   ,20.56       ,-45.83          ,8.52                 ,13.09                          ,                    12.59 ,-23.19                       ,4.63            ,6.16                    ,6.69         ,25.73               ,192.86  ,6.38                 ,34.19                     ,0.84    ,-2.35                ,-0.17                        ,10.52             ,-0.41                ,-0.41        ,6.68              ,31.42        ,3.94                            ,3.94         ,6.69                       ,-5                 ,6.29     ,2.25               ,-2.58                        ,-19.13        ,6.57                  ,3.17                ,-0.02      ,19.16                       ,-143.16        ,10.28                    ,-372.68                  ,12.62                          ,6.8                   ,-54.76                      ,28.17                          ,0.63           ,701.89         ,26.52                       ,-5.6                           ,-383.82             ,6.8                  ,18.81          ,8.89                 ,12.64                   ,0.01833896933312329
