   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,8.56                     ,-1.9            ,11.07        ,                      8.95 ,                  1.2  ,19.17                   ,-32.16                      ,24.73         ,20.57                       ,-1.86                     ,30.84             ,-1.52                       ,30.38               ,12.03  ,3.19              ,19.17  ,19.17  ,2.31             ,9.77                 ,18.27             ,9.97               ,- -                ,-6.8                 ,20.41                          ,-68.48                  ,-24.05                  ,- -         ,25.39           ,16.62                ,-3.58                          ,3.75                      ,-6.28                        ,3.12            ,1.56                    ,7.7          ,29.49               ,- -     ,6.78                 ,12.66                     ,-2.46   ,- -                  ,-2.46                        ,4.76              ,                7.17 ,-7.06        ,            19.24 ,46.59        ,10.38                           ,10.31        ,7.7                        ,-2.76              ,86.07    ,68.68              ,32.82                        ,3.52          ,21.18                 ,-1.28               ,28.4       ,-6.8                        ,-72.4          ,                    1.67 ,-237.01                  ,22.85                          ,-21.62                ,-371.99                     ,130.55                         ,- -            ,- -            ,351.86                      ,323.34                         ,-272.84             ,-21.62               ,35.73          ,13.29                ,-4.32                   ,0.4764685171513616
 1 ,2011 ,11.46                    ,8.28            ,12.14        ,                     10.65 ,                 10.65 ,20.16                   ,47.92                       ,18.53         ,17.63                       ,-2.85                     ,13.69             ,-2.46                       ,13.24               ,14.21  ,2.46              ,20.16  ,20.16  ,0.61             ,7.81                 ,-0.9              ,7.28               ,- -                ,-5.86                ,13.13                          ,237.38                  ,50                      ,- -         ,-65.56          ,-1.79                ,10                             ,9.48                      ,-30.77                       ,-3.04           ,-1.62                   ,-1.69        ,-5.23               ,- -     ,12                   ,47.83                     ,-40.4   ,- -                  ,-40.4                        ,4.92              ,                5.79 ,- -          ,            18.66 ,36.36        ,-7.27                           ,-7.27        ,-1.69                      ,-4.23              ,-70.59   ,-68.29             ,-15.96                       ,-33.56        ,2.28                  ,3.9                 ,10.45      ,-5.86                       ,395.92         ,                   13.33 ,-188.24                  ,1.5                            ,59.44                 ,-185.73                     ,-149.85                        ,- -            ,- -            ,134.13                      ,115.42                         ,-208.15             ,59.44                ,-8.19          ,7.16                 ,-8.1                    ,0.07018845087002235
 2 ,2012 ,7.79                     ,16.21           ,6.07         ,                      2.8  ,                  5.52 ,13.5                    ,-63.38                      ,19.15         ,20.98                       ,-3.58                     ,29.56             ,-3.79                       ,29.84               ,11.03  ,3.01              ,13.5   ,13.5   ,-1.6             ,5.3                  ,15.89             ,1.45               ,- -                ,0.41                 ,-59.46                         ,-45.57                  ,-2.88                   ,- -         ,208.52          ,-32.43               ,1.07                           ,-2.1                      ,19.05                        ,12.86           ,10.68                   ,-8.34        ,-54.36              ,- -     ,15.3                 ,-29.92                    ,-27.58  ,- -                  ,-2.03                        ,-22.21            ,                4.57 ,- -          ,            14.41 ,66.67        ,4.89                            ,4.89         ,-8.34                      ,-1.77              ,-61.73   ,-63.52             ,-19.33                       ,-3.59         ,-13.5                 ,6.25                ,24.92      ,0.41                        ,-51.03         ,                   10.46 ,-188.57                  ,23                             ,-14.04                ,-49.93                      ,-145.27                        ,- -            ,- -            ,-16.43                      ,33.6                           ,-164.09             ,-14.04               ,33.76          ,3.33                 ,-1.54                   ,0.00910364972417721
 3 ,2013 ,0.48                     ,-24.08          ,5.99         ,                      8.96 ,                  2.39 ,4.76                    ,-11.54                      ,5.13          ,7.3                         ,0.34                      ,7.97              ,-0.66                       ,9.05                ,3.24   ,2.75              ,4.76   ,4.76   ,5.48             ,4.26                 ,7.81              ,6.76               ,13.66              ,-4.13                ,123.25                         ,156.74                  ,-18.64                  ,- -         ,- -             ,57.32                ,-2.12                          ,0.54                      ,10.67                        ,-2.66           ,-2.25                   ,17.12        ,-11.46              ,- -     ,2.98                 ,1.19                      ,- -     ,- -                  ,- -                          ,0.77              ,                6.06 ,- -          ,            14.09 ,-20          ,28.68                           ,28.68        ,17.12                      ,1.43               ,-581.13  ,-473.9             ,258.23                       ,55.48         ,49.29                 ,-5.88               ,1.64       ,-4.13                       ,129.41         ,                   15.38 ,-39.78                   ,9.63                           ,6.63                  ,-188.25                     ,115.56                         ,14.04          ,- -            ,-67.56                      ,-80.51                         ,-291.64             ,6.63                 ,10.19          ,-0.97                ,1.2                     ,0.0012583804352377381
 4 ,2014 ,8.03                     ,15.77           ,6.79         ,                      7.37 ,                 10.66 ,5.27                    ,- -                         ,7.27          ,3.4                         ,-4.04                     ,8.95              ,-3.96                       ,8.86                ,2.05   ,-5.54             ,5.27   ,5.27   ,-1.15            ,-2.55                ,-3.23             ,8.03               ,12.94              ,-15.09               ,15.23                          ,-15.86                  ,-11.98                  ,- -         ,0.18            ,9.64                 ,9.19                           ,6.2                       ,-62.65                       ,-20.76          ,-16.5                   ,-5.09        ,26.62               ,- -     ,10.52                ,12.27                     ,- -     ,15.34                ,4                            ,9.41              ,               11.25 ,- -          ,            13.06 ,-110         ,-13.11                          ,-13.11       ,-5.09                      ,-4.86              ,-31.37   ,-21.02             ,-29.93                       ,-2.34         ,-5.64                 ,- -                 ,6.46       ,-15.09                      ,7.69           ,                    4.62 ,89.29                    ,6.44                           ,- -                   ,28.25                       ,-88.25                         ,8.37           ,- -            ,440.07                      ,491.98                         ,-124.88             ,- -                  ,7.61           ,18.66                ,1.81                    ,0.106650431447608
 5 ,2015 ,-6.97                    ,8.53            ,-9.67        ,                      0.51 ,                  5.28 ,-31.74                  ,656.52                      ,-45.15        ,-51.47                      ,-1.4                      ,-58.73            ,-1.72                       ,-58.6               ,-25.28 ,-19.69            ,-31.74 ,-31.74 ,-2.9             ,-26.63               ,-56.26            ,-3.34              ,30.47              ,17.26                ,-11.34                         ,-4.83                   ,3.55                    ,- -         ,26.47           ,-2.55                ,12.54                          ,9.42                      ,-12.9                        ,-12.56          ,-6.67                   ,-4.59        ,7.95                ,- -     ,23.24                ,21.36                     ,0.2     ,93.1                 ,27.07                        ,23.24             ,               12.61 ,- -          ,             1.31 ,1400         ,-23.99                          ,-23.99       ,-4.59                      ,-2.54              ,-12      ,15.77              ,-25.98                       ,-19.7         ,10.04                 ,-3.75               ,-57.41     ,17.26                       ,55.78          ,                   25.98 ,324.53                   ,3.44                           ,24.88                 ,-139.49                     ,219.3                          ,28.64          ,- -            ,-21.05                      ,-13.8                          ,-90.26              ,24.88                ,-0.16          ,18.56                ,154.2                   ,0.06574290497522606
 6 ,2016 ,11.98                    ,3.72            ,13.7         ,                      2.03 ,                 10.4  ,40.18                   ,-77.59                      ,68.96         ,95.16                       ,-6.76                     ,187.67            ,-7.34                       ,189.47              ,32.5   ,18.33             ,40.18  ,40.18  ,1.54             ,25.19                ,139.53            ,9.14               ,20.52              ,3.03                 ,-36.36                         ,-21.04                  ,-26.86                  ,- -         ,-40.99          ,-36.95               ,51.17                          ,28.51                     ,3.7                          ,-7.18           ,9.47                    ,-14.45       ,-3.16               ,2.4     ,0.06                 ,29.07                     ,-2.4    ,-10.71               ,-6.05                        ,17.19             ,               10.85 ,- -          ,            10.95 ,6.67         ,-50.21                          ,-50.21       ,-14.45                     ,-7.15              ,-217.53  ,-336.08            ,-120.84                      ,-51.15        ,0.84                  ,2.6                 ,71.23      ,3.03                        ,-19.65         ,                    9.34 ,-62.22                   ,-6.85                          ,100                   ,167.95                      ,-303.85                        ,12.37          ,- -            ,81.85                       ,45.1                           ,1020                ,100                  ,-29.28         ,-10.21               ,-65.27                  ,0.10632073638251205
 7 ,2017 ,10.29                    ,7.58            ,10.81        ,                      9.19 ,                 13.28 ,12.32                   ,-28.21                      ,13.63         ,20.47                       ,-1.91                     ,1.11              ,-1.51                       ,0.7                 ,10.2   ,-0.08             ,12.32  ,12.32  ,0.47             ,1.84                 ,-10.07            ,6.25               ,13.17              ,-0.84                ,-28.06                         ,-17.08                  ,29.69                   ,- -         ,16.26           ,-12.33               ,-0.1                           ,7.99                      ,10.71                        ,0.95            ,0.64                    ,-4.28        ,-14.67              ,-90.23  ,11.7                 ,-13.64                    ,-10.25  ,-5.14                ,-8.11                        ,-12.14            ,                9.27 ,- -          ,             9.12 ,-31.25       ,16.62                           ,16.62        ,-4.28                      ,-0.85              ,-111.33  ,-109.71            ,-123.83                      ,1.52          ,-16.31                ,3.8                 ,55.36      ,-0.84                       ,-5.71          ,                   16.01 ,-73.53                   ,14.13                          ,-55.94                ,-54.55                      ,-122.91                        ,11.01          ,-89.97         ,-62.94                      ,-15.88                         ,-29.76              ,-55.94               ,55.75          ,25.09                ,15.07                   ,0.19794347492023978
 8 ,2018 ,15.2                     ,20.77           ,14.17        ,                     16.47 ,                 18.84 ,7.31                    ,-121.43                     ,9.95          ,24.72                       ,-0.39                     ,25.2              ,- -                         ,24.72               ,7.3    ,-6.86             ,7.31   ,7.31   ,-0.89            ,-6.85                ,8.26              ,6.14               ,15.75              ,7.2                  ,120.85                         ,176.75                  ,-17.47                  ,- -         ,16.74           ,69.89                ,-21.17                         ,-9.3                      ,-58.06                       ,22.42           ,4.56                    ,27.29        ,13.38               ,- -     ,8.69                 ,8.85                      ,-11.42  ,-3.61                ,-8.05                        ,4.05              ,                9.9  ,- -          ,            11.02 ,59.09        ,73.86                           ,73.86        ,27.29                      ,1.15               ,2402.44  ,1339.38            ,1346.31                      ,56.08         ,-18.8                 ,8.54                ,24.72      ,7.2                         ,49.28          ,                   17.18 ,188.89                   ,32.08                          ,-46.09                ,-96.32                      ,525.88                         ,15.3           ,433.33         ,-67.58                      ,-61.15                         ,-901.69             ,-46.09               ,45.22          ,23.22                ,5.91                    ,0.3209563565154213
 9 ,2019 ,13.75                    ,19.45           ,12.63        ,                      9.83 ,                  3.96 ,23.85                   ,350                         ,25.15         ,28.57                       ,1.56                      ,26.59             ,1.15                        ,27.11               ,18.8   ,4.44              ,23.85  ,23.85  ,-0.98            ,8.88                 ,13.03             ,7.7                ,21.2               ,-11.07               ,59.67                          ,44.54                   ,10.95                   ,- -         ,27.4            ,49.5                 ,-3.94                          ,-1.5                      ,- -                          ,-2.72           ,-3.06                   ,21.34        ,53.93               ,- -     ,-13.03               ,-7.09                     ,-0.52   ,-43.12               ,-19.77                       ,-10.27            ,                8.19 ,- -          ,            18.76 ,2.86         ,59.26                           ,59.26        ,21.34                      ,0.6                ,63.74    ,2.81               ,129.28                       ,60.91         ,16.45                 ,5.62                ,28.57      ,-11.07                      ,-21.04         ,                    4.97 ,2.31                     ,10.04                          ,25                    ,-5314.29                    ,6.39                           ,23.1           ,-88            ,104.41                      ,63.09                          ,-23.47              ,25                   ,9.1            ,24.55                ,-14.41                  ,0.05235449981877349
