   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,34.29                    ,          27.19 ,37.14        ,28.83                      ,21.97                  ,47.1                    ,-8.42                       ,44.48         ,64.14                       ,2.35                      ,60.37             ,2.81                        ,59.66               ,44.56  ,7.64              ,47.1   ,47.1   ,2.12             ,9.53                 ,22.22             ,2.18               ,- -                ,               16.84 ,48.71                          ,37.28                   ,20.17                   ,50.69       ,64.31           ,41.07                ,                         27.09 ,                    28.99 ,13.29                        ,33.92           ,-2.31                   ,32.09        ,31.52               ,- -     ,26.25                ,29.57                     ,- -     ,13.79                ,13.79                        ,29.57             ,               28.56 ,- -          ,40.49             ,27.39        ,32.53                           ,32.53        ,32.09                      ,1.04               ,37.28    ,3.58               ,0.61                         ,8.87          ,-8.77                 ,              31.43 ,64.14      ,                      16.84 ,11.23          ,21.26                    ,-55.3                    ,37.12                          ,79.72                 ,59.23                       ,62.97                          ,- -            ,- -            ,-37.03                      ,-111.64                        ,123.32              ,79.72                ,30.26          ,-39.5                ,-16.46                  ,-0.27837252535927115
 1 ,2011 ,24.37                    ,          26.24 ,23.67        ,22.3                       ,20.86                  ,25.14                   ,-12.87                      ,24.01         ,29.68                       ,- -                       ,29.68             ,-0.25                       ,30                  ,24.46  ,0.08              ,25.14  ,25.14  ,-0.56            ,0.63                 ,4.27              ,7.3                ,- -                ,               15.1  ,22.13                          ,34.99                   ,20.71                   ,29.15       ,2.66            ,27.54                ,                         23.4  ,                    23.91 ,63.58                        ,74.42           ,31.47                   ,28.14        ,16.01               ,- -     ,22.3                 ,18.27                     ,- -     ,22.35                ,22.35                        ,18.27             ,               32.34 ,- -          ,25.46             ,-43.75       ,29.85                           ,29.85        ,28.14                      ,1.03               ,34.99    ,3.95               ,1.61                         ,7.84          ,3.24                  ,              15.9  ,29.68      ,                      15.1  ,75.56          ,15.99                    ,-217.06                  ,28.33                          ,-13.65                ,4.1                         ,0.52                           ,- -            ,- -            ,23.83                       ,-261.04                        ,214.53              ,-13.65               ,37.66          ,48.53                ,-1.03                   ,0.7963849032520334
 2 ,2012 ,23.99                    ,          25.85 ,23.28        ,19.01                      ,21.26                  ,26.38                   ,6.04                        ,25.95         ,32.62                       ,1.53                      ,30.62             ,2.24                        ,29.72               ,26.25  ,1.83              ,26.38  ,26.38  ,-0.57            ,1.93                 ,6.96              ,0.99               ,- -                ,               24.3  ,34.95                          ,34.47                   ,24.3                    ,8.39        ,36.79           ,32.17                ,                         22.62 ,                    23.02 ,39.69                        ,38.73           ,34.41                   ,32.52        ,11.59               ,- -     ,20.1                 ,14.75                     ,- -     ,-20.02               ,-20.02                       ,14.75             ,               28.53 ,- -          ,47.84             ,633.33       ,35.32                           ,35.32        ,32.52                      ,2.29               ,34.47    ,-0.63              ,2.27                         ,15.17         ,-6.79                 ,              22.77 ,32.62      ,                      24.3  ,6.03           ,12.39                    ,229.15                   ,20.16                          ,71.05                 ,77.71                       ,76.56                          ,- -            ,- -            ,-135.11                     ,-1061.29                       ,-52.9               ,71.05                ,13.07          ,-16.22               ,-9.4                    ,-0.07496529642268746
 3 ,2013 ,3.96                     ,          10.25 ,1.52         ,9.92                       ,-1.35                  ,-2.92                   ,16.46                       ,-2.57         ,2.19                        ,-1.51                     ,3.76              ,-2.43                       ,4.74                ,-1.72  ,-5.46             ,-2.92  ,-2.92  ,-2.35            ,-6.61                ,-1.7              ,-12.05             ,- -                ,               16.44 ,-61.98                         ,-73.22                  ,-18.61                  ,47.82       ,-106.22         ,-43.37               ,                         28.16 ,                    28.71 ,-15.39                       ,-130.03         ,211.93                  ,-2.68        ,-62.38              ,- -     ,45.28                ,-20.5                     ,- -     ,-12.26               ,-12.26                       ,-6.3              ,               12.49 ,- -          ,-26.55            ,-68.18       ,-2.2                            ,-2.2         ,-2.68                      ,-4.98              ,-73.22   ,-72.62             ,0.17                         ,-28.77        ,15.24                 ,              18.2  ,2.19       ,                      16.44 ,-0.97          ,10.18                    ,-66.41                   ,8.08                           ,-26.23                ,-151.66                     ,-130.63                        ,- -            ,- -            ,-3894.4                     ,-863.93                        ,160.43              ,-26.23               ,15.32          ,-24.61               ,5.76                    ,-0.5127672084131997
 4 ,2014 ,-5.89                    ,           7.01 ,-11.32       ,20.38                      ,6.14                   ,-36.09                  ,-77.17                      ,-36.96        ,-37.59                      ,-5.87                     ,-33.7             ,-5.99                       ,-33.61              ,-32.68 ,-28.47            ,-36.09 ,-36.09 ,-5.77            ,-32.09               ,-33.68            ,-11.77             ,- -                ,               10.55 ,122.96                         ,219.27                  ,4.55                    ,1.17        ,-1419.83        ,54.93                ,                         25.01 ,                    26.04 ,-6.36                        ,-291.92         ,-52.15                  ,0.23         ,225.25              ,- -     ,-18.06               ,52.27                     ,- -     ,15.88                ,15.88                        ,29.2              ,               14.96 ,- -          ,-50.2             ,-342.86      ,-3.48                           ,-3.48        ,0.23                       ,-4.19              ,219.27   ,230.79             ,-3.81                        ,1.74          ,6.6                   ,               6.66 ,-37.59     ,                      10.55 ,-3.67          ,- -                      ,-164.55                  ,-24.42                         ,0.96                  ,-90.1                       ,-159.42                        ,- -            ,- -            ,-24.48                      ,-23.96                         ,-179.33             ,0.96                 ,-27.84         ,65.72                ,21.09                   ,0.2632546365047914
 5 ,2015 ,11.85                    ,          12.34 ,11.61        ,-7.31                      ,10.9                   ,35.83                   ,340.48                      ,38.16         ,40.59                       ,0.54                      ,39.83             ,0.53                        ,39.85               ,33.96  ,19.77             ,35.83  ,35.83  ,-0.22            ,21.43                ,25.69             ,3.74               ,- -                ,               20.3  ,34                             ,34.07                   ,25.13                   ,-7.59       ,33.69           ,30.6                 ,                         11.54 ,                    14.57 ,41.4                         ,78.17           ,3.28                    ,23.94        ,-0.11               ,- -     ,3.7                  ,1.34                      ,- -     ,21.7                 ,21.7                         ,1.34              ,               18.4  ,- -          ,84.38             ,86.27        ,27.82                           ,27.82        ,23.94                      ,2.19               ,34.07    ,4.89               ,3.46                         ,28.87         ,-8.69                 ,               7.82 ,40.59      ,                      20.3  ,18.01          ,-0.59                    ,-751.41                  ,16.06                          ,-23.3                 ,-2234.72                    ,451.98                         ,- -            ,- -            ,-124.76                     ,-127.93                        ,-163.91             ,-23.3                ,23.49          ,-5.16                ,-17.45                  ,0.039821684437454596
 6 ,2016 ,13.42                    ,           0.97 ,19.79        ,10.12                      ,21.38                  ,27.73                   ,92.43                       ,29.31         ,24.98                       ,3.23                      ,21.07             ,3.69                        ,20.53               ,25.05  ,10.25             ,27.73  ,27.73  ,5.61             ,12.62                ,10.19             ,-3.01              ,- -                ,                2.91 ,51.58                          ,44.51                   ,9.1                     ,8.58        ,79.6            ,39.4                 ,                          6.09 ,                    11.6  ,27.7                         ,39.45           ,3.93                    ,32.19        ,28.38               ,- -     ,8.6                  ,20.64                     ,- -     ,17.41                ,17.41                        ,20.64             ,               22.8  ,- -          ,75.14             ,-6.32        ,33.76                           ,33.76        ,32.19                      ,3.74               ,44.51    ,8.04               ,1.38                         ,15.55         ,0.32                  ,              16.94 ,24.98      ,                       2.91 ,17.09          ,5.78                     ,-96.76                   ,35.11                          ,-33.46                ,59.47                       ,50.61                          ,- -            ,- -            ,203.49                      ,188.78                         ,178.07              ,-33.46               ,43.15          ,-6.53                ,8.1                     ,0.06579302502286022
 7 ,2017 ,15.7                     ,          14.8  ,16.08        ,14.97                      ,37.15                  ,11.57                   ,17.7                        ,11.8          ,-10.31                      ,-2.79                     ,-7.74             ,-1.36                       ,-9.08               ,11.22  ,-3.87             ,11.57  ,11.57  ,0.33             ,-3.56                ,-22.48            ,-2.24              ,- -                ,                7.6  ,-18.83                         ,-20.49                  ,18.99                   ,32.31       ,-19.3           ,-14.01               ,                         33.75 ,                    23.04 ,-17.4                        ,-16.26          ,3.34                    ,-11.24       ,58.62               ,- -     ,21.17                ,45.42                     ,- -     ,196.27               ,196.27                       ,45.42             ,               11.1  ,163.16       ,-96.1             ,74.16        ,-18.22                          ,-18.19       ,-11.24                     ,-3.52              ,-20.49   ,-2.81              ,-8.2                         ,-40.87        ,2.27                  ,              18.35 ,-10.31     ,                       7.6  ,34.56          ,17.74                    ,-3153.33                 ,9.68                           ,253.8                 ,-146.46                     ,-129.6                         ,- -            ,- -            ,-445.19                     ,-442.54                        ,-221.27             ,253.8                ,-3.62          ,40.44                ,22.3                    ,0.5321828770302672
 8 ,2018 ,19.03                    ,          19.82 ,18.69        ,21.67                      ,27.24                  ,13.73                   ,91.17                       ,16.69         ,70.45                       ,1.79                      ,67.89             ,2.15                        ,67.3                ,14.61  ,-3.71             ,13.73  ,13.73  ,-0.29            ,-4.45                ,43.58             ,-4.3               ,- -                ,               23.92 ,36.46                          ,25.68                   ,33.29                   ,69.57       ,45.02           ,35.58                ,                         32.44 ,                    30.01 ,-6.08                        ,-23.6           ,39.33                   ,36.27        ,14.21               ,- -     ,8.09                 ,12.41                     ,- -     ,1.5                  ,1.5                          ,12.41             ,               10.5  ,- -          ,2378.34           ,-14.19       ,41.34                           ,41.48        ,36.27                      ,1.96               ,25.68    ,-11.17             ,4.07                         ,20.61         ,26.03                 ,              24.37 ,70.45      ,                      23.92 ,4.2            ,24.92                    ,-518.89                  ,2.25                           ,-1.73                 ,-235.99                     ,-377.16                        ,- -            ,- -            ,- -                         ,-106.6                         ,-163.07             ,-1.73                ,3.04           ,30.06                ,-40.17                  ,0.3746978984496955
 9 ,2019 ,20.25                    ,          22.16 ,19.43        ,19.44                      ,33.29                  ,14.6                    ,59.43                       ,17.41         ,22.83                       ,1.5                       ,20.49             ,0.56                        ,21.61               ,19.31  ,-0.79             ,14.6   ,14.6   ,-0.68            ,-4.7                 ,1.69              ,-9.28              ,- -                ,               65.31 ,-54.23                         ,-75.85                  ,-5.44                   ,45.6        ,-271.63         ,18.21                ,                         56.76 ,                    47.09 ,48.11                        ,53.52           ,48.87                   ,24.04        ,30.22               ,- -     ,11.58                ,24.96                     ,- -     ,23.54                ,23.54                        ,24.96             ,               11.34 ,- -          ,63.93             ,-193.23      ,23.73                           ,23.88        ,24.04                      ,1.31               ,-75.85   ,-80.5              ,-0.15                        ,-5.4          ,-64.55                ,              32.55 ,22.83      ,                      65.31 ,9.62           ,28.56                    ,-16.21                   ,36.65                          ,127.11                ,-13.59                      ,9.98                           ,- -            ,- -            ,-85.5                       ,-233.33                        ,11.81               ,127.11               ,19.39          ,-16.44               ,11.74                   ,-0.05444091394577755
