   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,11.09                    ,9.32            ,14.51        ,-2.65                      ,- -                    ,51.19                   ,-40.24                      ,72.11         ,49.77                       ,0.12                      ,58.51             ,0.27                        ,58.28               ,29.43  ,16.51             ,51.19  ,51.19  ,3.08             ,36.09                ,42.87             ,7.45               ,2.51               ,-18.66               ,-9.76                          ,-9.76                   ,7.49                    ,14.1        ,8.8             ,5.18                 ,-5.31                          ,-1.58                     ,-2.15                        ,-0.03           ,-1.21                   ,1.05         ,5.87                ,48.72   ,- -                  ,9.1                       ,-13.82  ,-16.52               ,-14.75                       ,-5.44             ,               68.71 ,0.65         ,             9.22 ,-38.73       ,6.38                            ,6.39         ,1.05                       ,-0.91              ,-9.4     ,-14.84             ,23.36                        ,-3.59         ,-43.55                ,3.39                ,56.49      ,-18.66                      ,-73.94         ,7.99                     ,-149.09                  ,-30.68                         ,16.55                 ,318.41                      ,33.3                           ,2.63           ,-99.95         ,-331                        ,-15.78                         ,-160.44             ,16.55                ,-36.83         ,48.79                ,-56.32                  ,0.015640956361766323
 1 ,2011 ,-5.84                    ,-9.08           ,0.13         ,-3.75                      ,- -                    ,4.7                     ,-16.87                      ,6.41          ,22.25                       ,-1.88                     ,40.43             ,-1.73                       ,40.21               ,5.39   ,11.93             ,4.7    ,4.7    ,6.34             ,11.2                 ,46.34             ,-11.64             ,8.96               ,8.2                  ,-1.01                          ,-1.01                   ,11.87                   ,10.89       ,73.47           ,14.75                ,0.1                            ,2.12                      ,-7.38                        ,11.31           ,8.3                     ,10.67        ,-44.56              ,57.97   ,- -                  ,-3.77                     ,38.86   ,17.53                ,31.72                        ,15.74             ,               48.22 ,-7.15        ,            13.41 ,-8.77        ,6.9                             ,6.96         ,10.67                      ,-2.84              ,71.49    ,60.34              ,-14.98                       ,19.25         ,27.76                 ,6.56                ,40.01      ,8.2                         ,25.25          ,- -                      ,32.66                    ,31.45                          ,22.57                 ,185.08                      ,134.97                         ,6.92           ,98900          ,239.15                      ,-69.52                         ,-123.63             ,22.57                ,33.58          ,-34.1                ,-4.6                    ,-0.10031892774603413
 2 ,2012 ,1.9                      ,0.5             ,4.26         ,2.88                       ,- -                    ,4.91                    ,-628.26                     ,44.22         ,25.8                        ,-4.4                      ,44.95             ,-4.33                       ,44.85               ,4.57   ,2.62              ,4.91   ,4.91   ,2.31             ,2.96                 ,35.99             ,10.39              ,33.05              ,3.2                  ,135.91                         ,135.91                  ,1.6                     ,-7.63       ,-42.44          ,16.22                ,-1.53                          ,-4.21                     ,-21.76                       ,3.84            ,1.92                    ,7.37         ,-9.49               ,-8.57   ,-14.64               ,-10.95                    ,31.57   ,0.94                 ,22.42                        ,9.92              ,               47.18 ,- -          ,            18.48 ,30.8         ,5.43                            ,5.34         ,7.37                       ,-5.9               ,-19.31   ,-23.4              ,-2.1                         ,30.51         ,47.5                  ,-7.69               ,14.27      ,3.2                         ,404.03         ,-3.57                    ,-51.27                   ,5.93                           ,8.22                  ,792.89                      ,-166.31                        ,27.21          ,8.99           ,117.94                      ,389.41                         ,2664.29             ,8.22                 ,5.43           ,15.22                ,-23.56                  ,0.20174141166571657
 3 ,2013 ,-4.44                    ,-6.35           ,-1.34        ,-3.86                      ,- -                    ,1.57                    ,-123.18                     ,-26.79        ,-27                         ,-5.02                     ,-38.4             ,-5.05                       ,-38.39              ,1.26   ,5.96              ,1.57   ,1.57   ,3.24             ,6.29                 ,-38.78            ,12.43              ,-35.73             ,- -                  ,30.19                          ,30.19                   ,-16.13                  ,-21.32      ,334.42          ,23.32                ,-14.29                         ,-16.45                    ,-8.13                        ,-9.83           ,-10.56                  ,3.4          ,5.24                ,673.64  ,27.28                ,127.61                    ,-39.14  ,-4.6                 ,-30.63                       ,17.37             ,                3.44 ,20           ,             6.94 ,31.06        ,-8.12                           ,-8.15        ,3.4                        ,-5.45              ,20.14    ,30.8               ,-10.6                        ,-45.82        ,-8.88                 ,-15                 ,-25.35     ,- -                         ,-97.6          ,-31.48                   ,-155.75                  ,22.01                          ,-3.66                 ,-85.71                      ,-143.55                        ,-38.96         ,-99.72         ,9.38                        ,-27.43                         ,-39.79              ,-3.66                ,27.81          ,12.76                ,108.55                  ,0.1178420725810434
 4 ,2014 ,2.47                     ,1.39            ,4.12         ,-4.87                      ,- -                    ,14.79                   ,11.83                       ,15            ,15.95                       ,-9.97                     ,94.9              ,-9.95                       ,94.85               ,8.5    ,5.89              ,14.79  ,14.79  ,1.61             ,12.02                ,71.23             ,6.65               ,49.58              ,-17.29               ,10.28                          ,10.28                   ,-3.17                   ,-5.37       ,-90.74          ,-19.89               ,-1.35                          ,-1.5                      ,-14.63                       ,-5.93           ,-5.41                   ,-12.53       ,-4.5                ,-58.43  ,-36.18               ,-41.58                    ,112.78  ,-17.97               ,68.51                        ,3.74              ,                4.75 ,- -          ,            14.92 ,-271.35      ,-29.72                          ,-29.71       ,-12.53                     ,-10.99             ,25.79    ,78.97              ,-84.92                       ,37.14         ,-12.13                ,-3.92               ,-30.62     ,-17.29                      ,-373.33        ,5.41                     ,-200                     ,-36.08                         ,-1.9                  ,-30                         ,-723.25                        ,34.66          ,110866.67      ,120.95                      ,211.49                         ,-2.68               ,-1.9                 ,-41.9          ,52.01                ,-63.57                  ,0.035966883280207806
 5 ,2015 ,-7.45                    ,-9.05           ,-5.06        ,-9.75                      ,- -                    ,-0.73                   ,-21.69                      ,0.74          ,0.48                        ,-8.41                     ,-29.62            ,-8.53                       ,-29.53              ,-1.5   ,6.43              ,-0.73  ,-0.73  ,2.58             ,7.26                 ,-30.35            ,-5.52              ,13.95              ,-5.92                ,-22.56                         ,-22.56                  ,-2.99                   ,-7.97       ,-34.23          ,-14.55               ,-6.47                          ,-3                        ,-15.54                       ,-5.79           ,-6.17                   ,-9.94        ,-7.5                ,-64.36  ,-15.72               ,-32.82                    ,16.04   ,5.46                 ,14.29                        ,-1.32             ,                3.54 ,- -          ,             6.66 ,128.57       ,-23.39                          ,-23.39       ,-9.94                      ,-5.02              ,26.33    ,64.9               ,-343.45                      ,27.2          ,6.64                  ,-2.04               ,54.64      ,-5.92                       ,-29.27         ,5.13                     ,-33.75                   ,42.26                          ,-21.33                ,-21.43                      ,-107.39                        ,4.36           ,-66.99         ,-53.72                      ,-28.87                         ,-148.18             ,-21.33               ,60.56          ,-32.69               ,120.7                   ,0.008556288594714356
 6 ,2016 ,1.45                     ,0.25            ,3.15         ,-0.25                      ,- -                    ,6.59                    ,- -                         ,6.95          ,7.16                        ,-3.51                     ,11.06             ,-3.51                       ,11.06               ,5.44   ,3.94              ,6.59   ,6.59   ,1.68             ,5.07                 ,5.63              ,-2.61              ,14.67              ,-1.47                ,-20                            ,-20                     ,1.46                    ,-0.92       ,-2.74           ,-8.88                ,4.76                           ,2.75                      ,-65.57                       ,1.84            ,0.77                    ,-3.36        ,18.38               ,23.95   ,5.12                 ,16.55                     ,4.07    ,-18.76               ,0.6                          ,4.2               ,                4.65 ,- -          ,             6.49 ,20.15        ,-18.57                          ,-18.53       ,-3.36                      ,-4.62              ,23.66    ,51.8               ,142.23                       ,-21.83        ,-2.44                 ,4.17                ,7.16       ,-1.47                       ,-931.03        ,-4.88                    ,-135.85                  ,0.13                           ,-3.87                 ,-4.55                       ,153.33                         ,10.65          ,-9.74          ,-1.39                       ,-10.73                         ,10.98               ,-3.87                ,0.69           ,28.28                ,-6.56                   ,0.25496852361772104
 7 ,2017 ,5.26                     ,5.03            ,5.57         ,0.04                       ,- -                    ,10.93                   ,-18.92                      ,12.45         ,-17.1                       ,-3.07                     ,-14.47            ,-2.88                       ,-14.64              ,9.25   ,3.79              ,10.93  ,10.93  ,0.3              ,5.39                 ,-21.24            ,5.26               ,18.25              ,-1.7                 ,25.16                          ,25.16                   ,15.87                   ,13.38       ,2.11            ,18.86                ,7.63                           ,7.9                       ,-27.4                        ,4.32            ,4.67                    ,10.39        ,2.48                ,30.37   ,9.91                 ,10.62                     ,4.19    ,65.17                ,11.68                        ,11.41             ,                2.51 ,- -          ,             3.61 ,-28.78       ,7.78                            ,7.75         ,10.39                      ,-1.56              ,-2.3     ,-9.32              ,-30.49                       ,7.46          ,1.48                  ,- -                 ,-17.1      ,-1.7                        ,-139.42        ,-7.69                    ,315.79                   ,4.34                           ,8.79                  ,104.76                      ,-52.82                         ,14.62          ,- -            ,-52.19                      ,-25.76                         ,-198.35             ,8.79                 ,3.75           ,26.17                ,25.87                   ,0.19504929848992592
 8 ,2018 ,3.17                     ,3.59            ,2.6          ,-0.87                      ,- -                    ,5.72                    ,58.33                       ,3.79          ,51.93                       ,-2.64                     ,56.05             ,-2.8                        ,56.3                ,5.01   ,1.78              ,5.72   ,5.72   ,-0.56            ,2.47                 ,47.26             ,7.47               ,22.69              ,-0.22                ,-51.39                         ,-51.39                  ,-0.71                   ,8.03        ,8.28            ,-20.61               ,0.73                           ,1.4                       ,-3.77                        ,-5.49           ,-4.31                   ,-11.38       ,-0.13               ,58.94   ,-1.58                ,16.02                     ,-19.38  ,22.95                ,-11.69                       ,-4.75             ,                2.86 ,- -          ,             4.98 ,30.3         ,-29.03                          ,-29          ,-11.38                     ,-3.92              ,12.27    ,58.13              ,101.37                       ,-31.57        ,5.68                  ,-4                  ,51.93      ,-0.22                       ,-21.05         ,11.11                    ,-282.28                  ,17.03                          ,22.56                 ,-62.79                      ,29.48                          ,19.45          ,- -            ,115.94                      ,136.8                          ,-409.85             ,22.56                ,16.25          ,-38.19               ,-22.97                  ,-0.15866122409473127
 9 ,2019 ,-4.46                    ,-4.85           ,-3.93        ,-1.25                      ,- -                    ,-5.08                   ,-40                         ,-3.12         ,-1.64                       ,-3.31                     ,1.73              ,-3.41                       ,1.84                ,-5.36  ,-0.94             ,-5.08  ,-5.08  ,0.56             ,-0.64                ,2.96              ,1.91               ,21.55              ,-7.59                ,31.72                          ,31.72                   ,-6.72                   ,-11.68      ,216.56          ,8.22                 ,8.04                           ,3.82                      ,- -                          ,-5.81           ,-3.05                   ,1.33         ,-4.97               ,-95.93  ,-2.25                ,-39.19                    ,30.73   ,-1.91                ,22.48                        ,3.67              ,                4.05 ,- -          ,             5.59 ,1.67         ,-7.01                           ,-7           ,1.33                       ,-2.53              ,-1.68    ,5.71               ,-11.47                       ,77.96         ,3.25                  ,-6.25               ,-1.64      ,-7.59                       ,-77.33         ,2.5                      ,-110.76                  ,6.55                           ,-10.44                ,25                          ,-43.69                         ,17.53          ,78.83          ,-28.46                      ,-41.32                         ,-132.88             ,-10.44               ,9.07           ,32.25                ,8.32                    ,0.1672520619813862
