   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-0.5                     ,1.87            ,-1.51        ,-1.9                       ,-4.51                  ,0.27                    ,-157.77                     ,7.57          ,8.71                        ,-0.29                     ,9.03              ,-0.01                       ,8.72                ,1.09   ,1.6               ,0.27   ,0.27   ,-1.01            ,0.78                 ,9.25              ,0.81               ,              9.28 ,5.95                 ,42.38                          ,22.42                   ,1.33                    ,3.82        ,-14.99          ,19.64                ,-1.4                           ,4.02                      ,- -                          ,1.65            ,0.83                    ,8.69         ,0.27                ,20.56   ,- -                  ,6.17                      ,11.35   ,-0.28                ,4                            ,5.07              ,- -                  ,- -          ,10.62             ,15.47        ,11.84                           ,11.84        ,8.69                       ,-0.59              ,103.47   ,81.92              ,13.41                        ,12.69         ,75                    ,-1.3                ,8.71       ,5.95                        ,292.8          ,-2.23                    ,-167.92                  ,-1.12                          ,0.8                   ,66.92                       ,3.37                           ,          8.95 ,-5.28          ,31.31                       ,21.7                           ,-27.25              ,0.8                  ,-1.44          ,-4.11                ,-9.04                   ,-0.13369649344275725
 1 ,2011 ,5.59                     ,8.34            ,4.38         ,7.95                       ,10.29                  ,-2.26                   ,-1002.86                    ,-27.06        ,-27.46                      ,-0.56                     ,-27.06            ,-0.48                       ,-27.11              ,-0.8   ,-6.05             ,-2.26  ,-2.26  ,-1.15            ,-7.44                ,-31.3             ,2.1                ,              6.66 ,7.45                 ,16.64                          ,26.8                    ,8.26                    ,16.87       ,15.39           ,14.82                ,1.28                           ,4.61                      ,- -                          ,8.63            ,6.7                     ,10.43        ,4.52                ,-12.59  ,- -                  ,-1.13                     ,41.64   ,47.39                ,45.13                        ,22.09             ,- -                  ,- -          ,4.47              ,59.5         ,0.89                            ,0.89         ,10.43                      ,-0.5               ,90.36    ,88.69              ,-17.09                       ,16.13         ,21.77                 ,3.42                ,-27.46     ,7.45                        ,-118.64        ,1.14                     ,-289.77                  ,-12.74                         ,21.35                 ,-110.97                     ,-41.28                         ,          6.06 ,57.91          ,-9.72                       ,-10.6                          ,47.4                ,21.35                ,-18.54         ,15.13                ,20.3                    ,0.09892644614331858
 2 ,2012 ,3.37                     ,6.38            ,2.01         ,-0.48                      ,1.55                   ,5.44                    ,-14.11                      ,11.44         ,8.71                        ,0.63                      ,11.51             ,1.34                        ,10.72               ,7.18   ,3.68              ,5.44   ,5.44   ,-1.32            ,2                    ,8.55              ,-4.48              ,              6.76 ,16.09                ,-34.63                         ,-39.24                  ,6.88                    ,19.25       ,19.93           ,-15.1                ,9.21                           ,8.88                      ,- -                          ,32.62           ,26.81                   ,6.78         ,6.25                ,-29.77  ,- -                  ,6.36                      ,-11.41  ,-0.07                ,-4.43                        ,-0.08             ,- -                  ,- -          ,5.84              ,3.16         ,13.57                           ,13.57        ,6.78                       ,1.99               ,-125.51  ,-122.47            ,-32.3                        ,-20.17        ,29.61                 ,8.23                ,8.71       ,16.09                       ,-1840.44       ,6.6                      ,-219.26                  ,7.68                           ,1.42                  ,165.18                      ,-2.21                          ,          7.44 ,-76.67         ,411.64                      ,361.86                         ,-284.87             ,1.42                 ,9.27           ,0.34                 ,-4.04                   ,-0.0255830036184872
 3 ,2013 ,6.08                     ,3.16            ,7.47         ,4.6                        ,6.76                   ,11.3                    ,7.03                        ,12.31         ,31.55                       ,2.03                      ,24.9              ,2.29                        ,24.59               ,11.42  ,5.03              ,11.3   ,11.3   ,1.31             ,4.92                 ,20.13             ,5.67               ,              7.97 ,11.95                ,38.49                          ,40.35                   ,3.57                    ,5.11        ,22.29           ,22.32                ,3.81                           ,7.15                      ,- -                          ,0.73            ,1.39                    ,9.34         ,5.05                ,3.76    ,15.31                ,5.82                      ,16.01   ,-5.5                 ,2.16                         ,3.73              ,- -                  ,- -          ,4.07              ,-50.77       ,14.23                           ,14.23        ,9.34                       ,1.52               ,-319.06  ,-291.76            ,46.23                        ,15.58         ,4.83                  ,0.39                ,31.55      ,11.95                       ,-86.81         ,9.97                     ,-52.21                   ,13.11                          ,22.53                 ,-163.46                     ,13.15                          ,         10.16 ,51.46          ,-72.61                      ,-70.38                         ,-164.28             ,22.53                ,10.89          ,18.8                 ,-11.25                  ,0.05023128916856234
 4 ,2014 ,4.23                     ,1.81            ,5.34         ,0.57                       ,3.8                    ,11.5                    ,-83.53                      ,32.91         ,18.02                       ,0.21                      ,17.77             ,-0.46                       ,18.56               ,8.55   ,4.14              ,11.5   ,11.5   ,1.06             ,6.97                 ,13.22             ,5.55               ,              6.39 ,-5.09                ,13.3                           ,-30.6                   ,-6.22                   ,3.88        ,-7.32           ,5.15                 ,-3.49                          ,-1.21                     ,- -                          ,-6.52           ,-5.86                   ,-1.18        ,3.7                 ,-25.02  ,-1.54                ,-2.3                      ,13.46   ,7.81                 ,10.1                         ,4.67              ,- -                  ,- -          ,8.66              ,274.9        ,-5.81                           ,-5.81        ,-1.18                      ,-1.33              ,-254.24  ,-263.75            ,-11.34                       ,7.62          ,-14.63                ,-1.25               ,18.02      ,-5.09                       ,-262.14        ,8.79                     ,13.28                    ,6.07                           ,3.31                  ,1147.86                     ,141.13                         ,          6.62 ,-21.06         ,101.36                      ,101.28                         ,-197.97             ,3.31                 ,6.79           ,8.01                 ,-10.12                  ,0.059466865163622984
 5 ,2015 ,-5.73                    ,-5.32           ,-5.91        ,-3.42                      ,6.5                    ,-13.47                  ,-258.01                     ,-6.65         ,-5.6                        ,-1.54                     ,-4.12             ,-1.78                       ,-3.89               ,-11.97 ,-6.63             ,-13.47 ,-13.47 ,-0.19            ,-8.22                ,0.14              ,-6.17              ,              6.86 ,-3.83                ,15.98                          ,-5.45                   ,-2.28                   ,-1.6        ,-56.8           ,1.52                 ,-1.37                          ,-0.1                      ,- -                          ,2.9             ,1.94                    ,1.75         ,-2.28               ,92.52   ,-10.07               ,10.61                     ,-14.98  ,2.35                 ,-4.87                        ,1.46              ,- -                  ,- -          ,6.82              ,22.78        ,2                               ,2            ,1.75                       ,-1.01              ,44.65    ,41.81              ,9.5                          ,-8.22         ,-3.13                 ,0.47                ,-5.6       ,-3.83                       ,78.41          ,10.35                    ,-225.61                  ,4.37                           ,-6.76                 ,-38.12                      ,-37.14                         ,          5.21 ,-37.11         ,-25.74                      ,-11.53                         ,-111.45             ,-6.76                ,7.18           ,-6.22                ,10.57                   ,0.018687706718219177
 6 ,2016 ,2.59                     ,0.69            ,3.43         ,-5.93                      ,0.54                   ,15.73                   ,-250.17                     ,3.16          ,7.34                        ,-1.24                     ,8.69              ,-0.85                       ,8.26                ,13.09  ,10.23             ,15.73  ,15.73  ,0.82             ,12.8                 ,4.63              ,3.16               ,              6.81 ,0.21                 ,9.2                            ,38.16                   ,8.99                    ,1.13        ,7.71            ,8.01                 ,0.04                           ,3.07                      ,- -                          ,5.18            ,4.06                    ,5.84         ,3.6                 ,-33.12  ,8.16                 ,-5.26                     ,74.55   ,1.87                 ,28.94                        ,13.7              ,- -                  ,- -          ,6.42              ,13.19        ,-1.03                           ,-1.03        ,5.84                       ,-1.77              ,33.04    ,34.42              ,-17.97                       ,14.01         ,9.93                  ,-0.55               ,7.34       ,0.21                        ,-120.25        ,0.46                     ,-232.41                  ,-2.66                          ,-6.84                 ,-127.4                      ,-38.45                         ,          5.48 ,386.35         ,69.74                       ,-21.16                         ,681.52              ,-6.84                ,-1.74          ,14.85                ,-9.31                   ,0.05794185608202995
 7 ,2017 ,6.34                     ,16.92           ,1.77         ,7.4                        ,16.04                  ,-9.65                   ,6.39                        ,-10.76        ,-92.14                      ,-1.65                     ,-92.01            ,-1.56                       ,-92.02              ,-0.62  ,-6.55             ,-9.65  ,-9.65  ,-4.3             ,-15.04               ,-92.61            ,0.31               ,              5.48 ,50.29                ,-56.34                         ,-6.05                   ,15.31                   ,7.63        ,-22.7           ,-33.74               ,6.87                           ,9.78                      ,- -                          ,61.31           ,49.94                   ,11.4         ,25.1                ,-16.61  ,10.35                ,16.17                     ,36.69   ,62.87                ,49.67                        ,37.23             ,- -                  ,- -          ,-7.92             ,-11.42       ,-14.57                          ,-14.57       ,11.4                       ,-0.89              ,105.51   ,140.55             ,-252.74                      ,-42.96        ,3.12                  ,6.01                ,-92.14     ,50.29                       ,1067.89        ,9.57                     ,-734.01                  ,12.2                           ,1.64                  ,1100.22                     ,212.29                         ,          3.74 ,-18.61         ,-29.19                      ,-10.27                         ,-127.22             ,1.64                 ,14.39          ,8.31                 ,1327.49                 ,0.0500526637633556
 8 ,2018 ,6.71                     ,6.85            ,6.64         ,5.23                       ,2.09                   ,10.74                   ,119.19                      ,1.84          ,1076.69                     ,-0.39                     ,1081.3            ,-0.6                        ,1083.85             ,13.49  ,6.35              ,10.74  ,10.74  ,-0.06            ,3.77                 ,1002.68           ,5.84               ,              6.58 ,22.81                ,7.6                            ,1.59                    ,4.51                    ,-1.89       ,43.83           ,6.83                 ,0.18                           ,0.93                      ,- -                          ,-7.53           ,-6.39                   ,-2.76        ,7                   ,-28.42  ,4.91                 ,2.27                      ,-9.75   ,-4.57                ,-6.96                        ,-4.06             ,- -                  ,- -          ,4.35              ,15.33        ,-0.68                           ,-0.68        ,-2.76                      ,-0.75              ,-26.16   ,-25.66             ,-29.34                       ,4.46          ,-4.67                 ,0.82                ,1076.69    ,22.81                       ,-100.97        ,1.66                     ,-99.97                   ,5.44                           ,11.92                 ,-106.09                     ,-78.7                          ,          6.16 ,-99.14         ,-7.71                       ,141.24                         ,-135.29             ,11.92                ,4.24           ,-14.99               ,-91.04                  ,0.011057747487651537
 9 ,2019 ,0.59                     ,1.72            ,0.02         ,-1.61                      ,5.38                   ,-0.97                   ,14.67                       ,-3.73         ,-1.16                       ,-1.36                     ,0.2               ,-1.63                       ,0.47                ,-0.44  ,-1.02             ,-0.97  ,-0.97  ,-0.56            ,-1.54                ,-1.74             ,2.79               ,              5.89 ,1.15                 ,-2.03                          ,-4.43                   ,2.72                    ,4.9         ,-31.87          ,-1.65                ,3.66                           ,3.54                      ,- -                          ,5.46            ,5.17                    ,3.12         ,23.97               ,-57.01  ,8.26                 ,15.16                     ,-4.3    ,4.41                 ,0.52                         ,5.42              ,- -                  ,- -          ,4.18              ,4.39         ,-0.47                           ,-0.47        ,3.12                       ,-1.12              ,-16.02   ,-15.62             ,16.68                        ,-14.59        ,-3.47                 ,-2.15               ,-1.16      ,1.15                        ,9103.57        ,-0.1                     ,128733.33                ,5.47                           ,-4.69                 ,-85.42                      ,95.58                          ,          4.46 ,-50.59         ,14.96                       ,-2.67                          ,-251.34             ,-4.69                ,7.48           ,7.04                 ,6.71                    ,-0.126580508602246
