   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,19.77                    ,-5.68           ,53.36        ,-12.95                     ,-11.28                 ,-339.46                 ,-95.12                      ,-148.33       ,-140.56                     ,0.23                      ,-140.47           ,1.63                        ,-139.91             ,8532.85 ,7107.87           ,-339.46 ,-339.46 ,28.04            ,-299.93              ,-133.87           ,17.37              ,0.02               ,-35.7                ,15.35                          ,0.94                    ,109.44                  ,8.52        ,-5.9            ,18.21                ,-18.89                         ,1.04                      ,- -                          ,-9.16           ,-11.51                  ,8.24         ,70.02               ,- -     ,32.64                ,36.85                     ,0.07    ,23.24                ,3.19                         ,16.51             ,10.29                ,-1.75        ,-1                ,47.54        ,2.85                            ,2.85         ,8.24                       ,-1.54              ,-2       ,-4.72              ,-4.5                         ,-13.62        ,-8.63                 ,2.04                ,-140.56    ,-35.7                       ,-89.45         ,-18.53                   ,-337.59                  ,128.84                         ,35.89                 ,-54.21                      ,-52.99                         ,0.25           ,- -            ,-46.14                      ,-27.68                         ,-100.6              ,35.89                ,140.75         ,-47.49               ,-664.14                 ,-0.03235956293587949
 1 ,2011 ,74.39                    ,54.38           ,90.62        ,2.23                       ,17.18                  ,269.34                  ,118.68                      ,281.23        ,274.23                      ,-1.99                     ,281.82            ,-1.55                       ,280.12              ,210.42  ,78.01             ,269.34  ,269.34  ,9.31             ,111.79               ,114.6             ,58.53              ,66.77              ,-1.49                ,32.89                          ,34.23                   ,32.52                   ,43.31       ,4.11            ,29.64                ,8.7                            ,2.04                      ,- -                          ,-11.1           ,-6.73                   ,19.67        ,32.43               ,- -     ,11.33                ,14.28                     ,0.07    ,30.37                ,4.95                         ,9.29              ,119.3                ,601482.74    ,36.58             ,-92.34       ,27.34                           ,27.34        ,19.67                      ,-0.55              ,-83.8    ,-87.28             ,10.35                        ,13.44         ,-16.14                ,10                  ,274.23     ,-1.49                       ,134.43         ,-5.29                    ,-353.32                  ,83.82                          ,69.36                 ,61.54                       ,57.7                           ,63.46          ,- -            ,9.82                        ,38.75                          ,4564.79             ,69.36                ,84.87          ,-24.08               ,-50.88                  ,0.28430989406005036
 2 ,2012 ,-0.1                     ,5.62            ,-3.86        ,0.88                       ,17.29                  ,-12.41                  ,-15.98                      ,-12.25        ,-4.84                       ,-0.28                     ,-4.58             ,-0.12                       ,-4.73               ,-11.07  ,-10.98            ,-12.41  ,-12.41  ,-3.76            ,-12.32               ,-4.75             ,-3.78              ,39.91              ,7.08                 ,111.8                          ,256.3                   ,20.23                   ,13.04       ,-414.67         ,13.28                ,7.9                            ,1.41                      ,- -                          ,-11.26          ,-6.33                   ,9.09         ,-2.63               ,- -     ,-2.08                ,-2.17                     ,0.07    ,-6.09                ,-1.16                        ,-1.65             ,7.8                  ,7.8          ,21.3              ,781.33       ,15.89                           ,15.89        ,9.09                       ,-0.24              ,-5213.16 ,-4511.94           ,8.27                         ,15.78         ,21.97                 ,3.82                ,-4.84      ,7.08                        ,79.62          ,-3.19                    ,-13.87                   ,14.39                          ,12.6                  ,45.01                       ,47.11                          ,39.52          ,- -            ,-9.05                       ,21.3                           ,-70.26              ,12.6                 ,14.51          ,6.18                 ,20.21                   ,-0.1134221540382303
 3 ,2013 ,-10.38                   ,-6.96           ,-12.85       ,4.06                       ,7.7                    ,-28.2                   ,-7.5                        ,-29.1         ,-28.16                      ,-0.42                     ,-27.85            ,-0.52                       ,-27.78              ,-26.27  ,-17.74            ,-28.2   ,-28.2   ,-2.75            ,-19.89               ,-19.84            ,-12.07             ,14.33              ,-4.99                ,12.39                          ,15.17                   ,-25.19                  ,-2.51       ,10.25           ,4.5                  ,9.94                           ,8.89                      ,- -                          ,-4.25           ,-0.04                   ,3.67         ,-16.89              ,- -     ,3.06                 ,-0.16                     ,0.07    ,12.19                ,2.37                         ,1.15              ,-46.77               ,-99.98       ,4.98              ,73.32        ,5.02                            ,5.02         ,3.67                       ,-0.76              ,21.48    ,15.66              ,1.92                         ,4.67          ,11.96                 ,1.93                ,-28.16     ,-4.99                       ,-80.41         ,-11.1                    ,-226.36                  ,-3.02                          ,29.48                 ,-64.37                      ,-54.35                         ,13.84          ,- -            ,46.7                        ,17.69                          ,400.24              ,29.48                ,-5.14          ,14.51                ,34.99                   ,0.09351176823662977
 4 ,2014 ,3.05                     ,-0.36           ,5.68         ,-0.75                      ,10.58                  ,5.81                    ,-3.72                       ,6.35          ,7.29                        ,-0.04                     ,7.34              ,-0.67                       ,8.02                ,4.64    ,1.55              ,5.81    ,5.81    ,2.55             ,2.68                 ,4.12              ,-1.03              ,12.45              ,-5.1                 ,16.94                          ,8.01                    ,-6.05                   ,3.47        ,34.76           ,5.41                 ,8.18                           ,4.42                      ,- -                          ,-1.43           ,1.71                    ,4.75         ,-10.6               ,- -     ,6.21                 ,3.96                      ,0.07    ,15.02                ,3.18                         ,3.55              ,110.47               ,739599.39    ,5.08              ,-17.4        ,5.38                            ,5.38         ,4.75                       ,0.01               ,10.74    ,5.09               ,0.83                         ,1.4           ,-3.28                 ,4.12                ,7.29       ,-5.1                        ,-33.34         ,-13.05                   ,-66.24                   ,-14.71                         ,-9.48                 ,252.34                      ,180.02                         ,12.4           ,- -            ,-12.58                      ,7.09                           ,-246.41             ,-9.48                ,-15.17         ,51.14                ,-20.5                   ,0.2806795063505214
 5 ,2015 ,-3.94                    ,-1.44           ,-5.75        ,5.7                        ,-1.64                  ,-14.34                  ,504.13                      ,-40.89        ,-37.17                      ,-2.25                     ,-35.72            ,-2.63                       ,-35.47              ,-13.25  ,-9.69             ,-14.34  ,-14.34  ,-1.89            ,-10.83               ,-34.59            ,-1                 ,940.93             ,-3.05                ,-30.63                         ,-24.28                  ,18.79                   ,-5.87       ,-44.79          ,-14.87               ,-4.75                          ,3.09                      ,- -                          ,-2.37           ,-3.19                   ,-12.87       ,-0.08               ,- -     ,11.27                ,11.85                     ,324.3   ,1.59                 ,249.47                       ,135.62            ,-61.14               ,-61.13       ,-100.5            ,34.03        ,-88.51                          ,-88.51       ,-12.87                     ,-4.59              ,-133.41  ,-390.85            ,-97.4                        ,-23.89        ,2.98                  ,-2.97               ,-37.17     ,-3.05                       ,378.72         ,-9.25                    ,-116.01                  ,-22.21                         ,-32.16                ,-262.17                     ,-235.81                        ,917.51         ,- -            ,332.18                      ,183.94                         ,-162.1              ,-32.16               ,-21.26         ,-0.85                ,23.81                   ,0.027566365593359787
 6 ,2016 ,6.06                     ,-4.27           ,13.9         ,-6.75                      ,-9.3                   ,45.23                   ,-55                         ,97.68         ,92.38                       ,-3.95                     ,100.3             ,-4.23                       ,100.88              ,38.48   ,30.57             ,45.23   ,45.23   ,7.4              ,36.93                ,81.4              ,11.76              ,-88.14             ,-16.89               ,-1.58                          ,4.36                    ,4.74                    ,13.07       ,6.71            ,-0.94                ,-11.63                         ,-0.44                     ,- -                          ,34.53           ,18.77                   ,2.83         ,3.07                ,- -     ,1.64                 ,0.07                      ,-3.64   ,-7.16                ,-3.88                        ,-2.98             ,-4.51                ,-4.51        ,-2404.04          ,19.99        ,63.51                           ,63.51        ,2.83                       ,-1.2               ,-29.46   ,-56.86             ,355.99                       ,-1            ,8.63                  ,-5.1                ,92.38      ,-16.89                      ,-71.78         ,-18.54                   ,386.01                   ,25.38                          ,-30.68                ,-82.43                      ,-84.24                         ,-88.61         ,- -            ,-74.2                       ,-51.13                         ,21.04               ,-30.68               ,29.97          ,1.16                 ,-34.83                  ,0.07411351995981863
 7 ,2017 ,16.6                     ,10.67           ,20.39        ,2.62                       ,9.48                   ,32.88                   ,0.75                        ,36.71         ,31.47                       ,0.38                      ,30.96             ,0.45                        ,30.88               ,29.85   ,11.36             ,32.88   ,32.88   ,3.25             ,13.96                ,12.75             ,8.62               ,-1.04              ,-13.59               ,25.98                          ,21.09                   ,-6.87                   ,4.92        ,36.01           ,13.55                ,2.14                           ,5.5                       ,- -                          ,4.87            ,4.18                    ,11.48        ,38.36               ,1372.13 ,-0.01                ,29                        ,-12.34  ,9                    ,-10.95                       ,-1.58             ,16.85                ,16.85        ,197.89            ,5.42         ,92.48                           ,92.48        ,11.48                      ,0.57               ,-115.23  ,-107.91            ,145.31                       ,-11.98        ,-7.65                 ,7.35                ,31.47      ,-13.59                      ,11.72          ,13.08                    ,-169.32                  ,42.12                          ,21.59                 ,-393.28                     ,-487.65                        ,-0.66          ,- -            ,-114.19                     ,-25.74                         ,-82.83              ,21.59                ,43.01          ,-8.15                ,8.1                     ,0.1738489389536051
 8 ,2018 ,16.0                     ,12.41           ,18.1         ,13.89                      ,15.53                  ,20.45                   ,-21.12                      ,24.09         ,-13.37                      ,-0.08                     ,-13.3             ,-0.07                       ,-13.31              ,19.92   ,3.38              ,20.45   ,20.45   ,1.81             ,3.83                 ,-25.32            ,6.08               ,16.97              ,8.38                 ,-10.74                         ,-4.52                   ,14.11                   ,27.13       ,-22.41          ,3.57                 ,0.82                           ,5.07                      ,- -                          ,-8.42           ,-6.12                   ,1.58         ,14.91               ,- -     ,17.07                ,-5.81                     ,-16.53  ,134.09               ,-4.53                        ,-4.92             ,16.76                ,16.76        ,24.51             ,5.09         ,22.17                           ,22.17        ,1.58                       ,-0.5               ,645.12   ,509.9              ,28.1                         ,9.96          ,0.05                  ,9.35                ,-13.37     ,8.38                        ,18.26          ,23.24                    ,620.71                   ,13.84                          ,73.46                 ,-175.7                      ,-151.99                        ,16.88          ,-92.29         ,-796.24                     ,168.63                         ,445.17              ,73.46                ,11.63          ,-5.54                ,31.41                   ,-0.06252271286860456
 9 ,2019 ,13.18                    ,29.16           ,4.26         ,35.11                      ,16.81                  ,-9.62                   ,14.62                       ,-10.97        ,46.46                       ,-0.19                     ,46.81             ,-0.27                       ,46.94               ,1.42    ,-10.39            ,-9.62   ,-9.62   ,-7.89            ,-20.14               ,29.47             ,-26.01             ,17.68              ,272.06               ,-43.47                         ,-39.61                  ,51.93                   ,35.48       ,-71.22          ,-5.14                ,56.76                          ,21.28                     ,- -                          ,441.37          ,338.49                  ,60.31        ,19.52               ,0.01    ,25.49                ,45.19                     ,41.83   ,155.62               ,64.07                        ,58.32             ,226.45               ,226.43       ,-32.34            ,35.41        ,64.09                           ,65.24        ,60.31                      ,2.2                ,-361.93  ,-258.52            ,-187.99                      ,-34.66        ,8.2                   ,52.98               ,46.46      ,272.06                      ,10.56          ,50.03                    ,-208.71                  ,-6.22                          ,94.93                 ,104.22                      ,-504.98                        ,17.46          ,1099.79        ,626.98                      ,-71.66                         ,-254.95             ,94.93                ,-12.05         ,16.97                ,-36                     ,0.7510969284263092
