   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,3.3                      ,3.95            ,2.02         ,5                          ,- -                    ,-1.84                   ,-10.44                      ,-1.01         ,-2.56                       ,-0.89                     ,-1.3              ,-0.58                       ,-1.61               ,-0.61  ,-3.79             ,-1.84  ,-1.84  ,-1.24            ,-4.98                ,-5.3              ,1.49               ,              9.08 ,3.83                 ,9.77                           ,9.77                    ,4.83                    ,16.72       ,-16.7           ,7.91                 ,4.02                           ,5.57                      ,5.35                         ,-3.05           ,1.43                    ,3.41         ,4.06                ,-43.61  ,- -                  ,8.43                      ,6.84    ,-15.77               ,-3.16                        ,1.06              ,2.61                 ,- -          ,7.33              ,-20.02       ,9.45                            ,9            ,3.41                       ,-2.42              ,-0.35    ,-8.57              ,15.28                        ,-0.48         ,-18.32                ,1.79                ,-2.56      ,3.83                        ,-91.02         ,-39.53                   ,-97.83                   ,-21.17                         ,13.68                 ,310                         ,-39.36                         ,          8.11 ,25650          ,167.67                      ,3.97                           ,-74.32              ,13.68                ,-32.4          ,13.74                ,-19.42                  ,-0.09531657525339976
 1 ,2011 ,5.57                     ,11.35           ,-6.08        ,2.4                        ,- -                    ,-11.94                  ,16.14                       ,-14.39        ,-13.33                      ,-4.05                     ,-10.03            ,-3.81                       ,-10.25              ,-1.48  ,-6.68             ,-11.94 ,-11.94 ,-11.03           ,-16.58               ,-18.23            ,5.57               ,              7.45 ,34.19                ,-12.79                         ,-12.79                  ,-3.27                   ,-0.72       ,44.22           ,-0.71                ,-3.67                          ,2.03                      ,-9.63                        ,-2.14           ,-3.29                   ,-2.47        ,4.52                ,105.23  ,- -                  ,1.11                      ,5.98    ,-5.71                ,1.48                         ,1.33              ,-4.59                ,-10.37       ,-25.64            ,27.29        ,-11.29                          ,-10.85       ,-2.47                      ,-2.75              ,17       ,31.24              ,-21.44                       ,-1.8          ,-15.47                ,- -                 ,-13.33     ,34.19                       ,525            ,-7.69                    ,-1191.67                 ,-16.62                         ,0.41                  ,-93.29                      ,-12.8                          ,          3.1  ,62.91          ,55.17                       ,-6.35                          ,-228.85             ,0.41                 ,-25.84         ,27.9                 ,-3.41                   ,0.21656551156673864
 2 ,2012 ,-6.62                    ,-9.23           ,-0.37        ,-0.11                      ,- -                    ,-2.66                   ,3.09                        ,-3.34         ,-3.38                       ,-0.68                     ,10.75             ,-0.63                       ,10.69               ,-8.46  ,-1.98             ,-2.66  ,-2.66  ,6.68             ,4.23                 ,17.79             ,-8.23              ,              5.45 ,-21.45               ,44.76                          ,44.76                   ,1.54                    ,-0.34       ,-12.12          ,4.87                 ,0.57                           ,-3.2                      ,5.03                         ,2.79            ,1.48                    ,2.58         ,6.08                ,57.93   ,- -                  ,12.86                     ,-6.56   ,13.37                ,0.57                         ,5.36              ,4.2                  ,- -          ,7.02              ,10.34        ,-5.03                           ,-4.38        ,2.58                       ,-1.62              ,-5.38    ,-1.05              ,-14.27                       ,-7.08         ,-3.6                  ,1.75                ,8.55       ,-21.45                      ,-315.11        ,39.58                    ,-145.42                  ,43.71                          ,12.91                 ,-954.55                     ,73.86                          ,          4.73 ,-62.46         ,3.05                        ,3.5                            ,-325.37             ,12.91                ,66.29          ,-16.87               ,30.65                   ,0.05717272506579629
 3 ,2013 ,0.48                     ,-2.89           ,7.83         ,-1.54                      ,- -                    ,22.13                   ,-1.87                       ,25.17         ,24.03                       ,-2.29                     ,25.27             ,-2.22                       ,25.18               ,16.45  ,15.89             ,22.13  ,22.13  ,7.31             ,21.54                ,21.81             ,2.25               ,              8.75 ,0.7                  ,-4.7                           ,-4.7                    ,-3.67                   ,-4.9        ,45.64           ,-0.59                ,-1.82                          ,0.14                      ,7.61                         ,-16.45          ,-6.89                   ,-4.8         ,-1.07               ,-66.37  ,8.7                  ,-3.99                     ,6.23    ,-25.69               ,-6.64                        ,-5.53             ,11.11                ,- -          ,10.1              ,8.89         ,-2.59                           ,-2.78        ,-4.8                       ,-2.18              ,-7.32    ,-4.67              ,5.87                         ,3.54          ,-13.29                ,-1.72               ,21.5       ,0.7                         ,-76.45         ,37.31                    ,-232.77                  ,-7.54                          ,-12.81                ,-128.72                     ,-28.72                         ,          6.26 ,182.54         ,-5.3                        ,21.25                          ,-96.36              ,-12.81               ,-4.92          ,37.01                ,-24.46                  ,-0.016959417008665545
 4 ,2014 ,0.83                     ,0.69            ,1.12         ,0.27                       ,- -                    ,-13.16                  ,1.53                        ,-14.62        ,-23.44                      ,-2.47                     ,-26.95            ,-2.56                       ,-26.89              ,-10.17 ,-10.91            ,-13.16 ,-13.16 ,0.28             ,-13.88               ,-29.35            ,33.66              ,              5.3  ,-0.12                ,-25.14                         ,-25.14                  ,-12.65                  ,-15.27      ,-8.77           ,-15.13               ,-7.41                          ,-5.1                      ,-32.72                       ,-41.79          ,-19.42                  ,-17.93       ,-2.76               ,253.6   ,-79.45               ,6.46                      ,4.53    ,4.95                 ,4.67                         ,5.43              ,3.36                 ,- -          ,-12.81            ,47.73        ,-84.99                          ,-80.56       ,-17.93                     ,-4.07              ,31.02    ,574.1              ,-148.33                      ,-20.28        ,-35.24                ,-24.56              ,-28.19     ,-0.12                       ,394.74         ,-43.48                   ,11.39                    ,-6.41                          ,9.02                  ,696.3                       ,-8.77                          ,          2.7  ,41.24          ,59.46                       ,-13.36                         ,1554.55             ,9.02                 ,-13.46         ,15.67                ,31.36                   ,0.07516333433158096
 5 ,2015 ,-5.74                    ,-8.24           ,-0.88        ,-7.17                      ,- -                    ,-36.02                  ,4.51                        ,-40.8         ,-31                         ,-2.86                     ,-31.66            ,-2.94                       ,-31.61              ,-30.27 ,-26.02            ,-36.02 ,-36.02 ,5.16             ,-32.12               ,-29.57            ,-5.74              ,              4.25 ,-13.46               ,-21.55                         ,-21.55                  ,2.61                    ,0.9         ,-5.8            ,-2.39                ,-3.47                          ,-1.38                     ,-3.89                        ,-12.17          ,-5.53                   ,-4.41        ,-2.99               ,25.87   ,-68.14               ,1.98                      ,8.45    ,-12.13               ,1.83                         ,1.89              ,-7.36                ,-11.75       ,-41.04            ,-1.03        ,-123.87                         ,-96          ,-4.41                      ,-1.2               ,16.04    ,2798.02            ,110.69                       ,-4.28         ,-21.8                 ,- -                 ,-33.17     ,-13.46                      ,66.49          ,44.23                    ,152.84                   ,-18.95                         ,1.64                  ,-91.63                      ,36.36                          ,          1.27 ,-12.49         ,-55.6                       ,-31.43                         ,-123.08             ,1.64                 ,-30.79         ,23.14                ,22.1                    ,0.14482317193788607
 6 ,2016 ,-1.64                    ,-3.1            ,1.01         ,-4.15                      ,- -                    ,109.73                  ,34.53                       ,125.39        ,108.16                      ,-1.21                     ,116.44            ,-1.26                       ,116.54              ,73.29  ,76.17             ,109.73 ,109.73 ,2.69             ,113.22               ,117.37            ,0.71               ,              4.33 ,-5.5                 ,49.11                          ,49.11                   ,-4.6                    ,-12.05      ,-45.38          ,-5.73                ,0.91                           ,1.86                      ,4.05                         ,-0.19           ,0.75                    ,-1.62        ,0.54                ,-32.12  ,22.22                ,-7.92                     ,5.45    ,-6.26                ,2.2                          ,-2.14             ,8.13                 ,- -          ,16.76             ,5.98         ,-41.38                          ,192.5        ,-1.62                      ,-1.19              ,-7.08    ,-68.23             ,-7.89                        ,2.38          ,-27.29                ,-2.33               ,108.16     ,-5.5                        ,-102.77        ,2.67                     ,-175.06                  ,40.16                          ,-26.99                ,-283.33                     ,-30.29                         ,          3.07 ,17.55          ,-14.17                      ,68.34                          ,-850                ,-26.99               ,96.88          ,-25.85               ,-34.45                  ,-0.17220966196954857
 7 ,2017 ,0.33                     ,1.42            ,-1.55        ,-2.97                      ,- -                    ,-0.74                   ,-1.87                       ,-0.6          ,4.51                        ,-1.61                     ,6.9               ,-1.6                        ,6.88                ,-0.15  ,-0.48             ,-0.74  ,-0.74  ,-1.88            ,-1.07                ,4.82              ,0.33               ,              5.36 ,2.7                  ,-33.26                         ,-33.26                  ,6.39                    ,6.61        ,45.4            ,1.88                 ,3.72                           ,6.3                       ,-9.34                        ,10.19           ,4.77                    ,3.76         ,4.09                ,-15.89  ,2.27                 ,0.21                      ,0.51    ,-11.86               ,-2.64                        ,-1.49             ,-8.8                 ,- -          ,-1.06             ,-15.98       ,-716.67                         ,653.85       ,3.76                       ,-1.54              ,2.41     ,-86.42             ,-50.78                       ,1.67          ,-5.66                 ,- -                 ,4.51       ,2.7                         ,-230.77        ,-1.3                     ,-144.31                  ,-9.38                          ,1.82                  ,-6.06                       ,16.26                          ,          3.66 ,-27.53         ,23.27                       ,10.8                           ,-208.89             ,1.82                 ,-12.88         ,11.32                ,-13.83                  ,-0.1038186943492847
 8 ,2018 ,0.75                     ,9.59            ,-15.03       ,5.15                       ,- -                    ,-33.62                  ,13.35                       ,-39.38        ,-37.69                      ,-1.58                     ,-37.11            ,-1.77                       ,-36.99              ,-23.79 ,-24.36            ,-33.62 ,-33.62 ,-15.66           ,-34.12               ,-38.57            ,3.21               ,              3.63 ,21.82                ,-12.5                          ,-12.5                   ,-6.52                   ,1.28        ,7.14            ,-3.26                ,-3.73                          ,-1.12                     ,-3.86                        ,-7.79           ,-4.66                   ,-4.18        ,9.63                ,26.76   ,- -                  ,11.57                     ,-3.48   ,-8.15                ,-4.55                        ,2.07              ,-4.31                ,- -          ,3.09              ,13.02        ,-145.63                         ,-105.22      ,-4.18                      ,-1.74              ,1.57     ,-2047.52           ,127.94                       ,-13.3         ,-38.26                ,-2.38               ,-37.69     ,21.82                       ,647.06         ,-46.05                   ,-362.84                  ,1.4                            ,11.72                 ,161.29                      ,5.99                           ,          1.99 ,-45.89         ,-12.18                      ,-12.64                         ,-86.3               ,11.72                ,-2.38          ,-10.8                ,63.82                   ,0.04178046876420094
 9 ,2019 ,-0.19                    ,-3.68           ,7.83         ,-3.36                      ,- -                    ,34.19                   ,-18.03                      ,46.17         ,52.04                       ,-1.26                     ,54.94             ,-1.14                       ,54.75               ,25.62  ,25.86             ,34.19  ,34.19  ,8.04             ,34.45                ,53.28             ,2.3                ,              2.89 ,3.97                 ,-18                            ,-18                     ,4.57                    ,-1.27       ,7.05            ,0.32                 ,4.06                           ,0.71                      ,19.64                        ,19.77           ,7.9                     ,5.27         ,-1.37               ,37.75   ,- -                  ,5.86                      ,-0.54   ,9.88                 ,1.77                         ,3.6               ,0.78                 ,- -          ,12.43             ,-0.15        ,-88.5                           ,-521.74      ,5.27                       ,-1.01              ,5.62     ,-125.05            ,-18.96                       ,-5.24         ,-70.11                ,-2.44               ,52.04      ,3.97                        ,-135.43        ,134.15                   ,-174.04                  ,-7.88                          ,37.86                 ,-67.9                       ,15.52                          ,          1.59 ,39.25          ,- -                         ,-15.27                         ,108.51              ,37.86                ,-27.04         ,16.42                ,-39.78                  ,-0.0430351556562083
