   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,13.32                    ,14.48           ,12.68        ,15.85                      ,- -                    ,2.65                    ,710.35                      ,59.21         ,71.72                       ,-0.26                     ,73.5              ,0.19                        ,72.72               ,4.49   ,-7.8              ,2.65   ,2.65   ,-0.57            ,-9.42                ,52.71             ,-24.67             ,              7.33 ,16.75                ,23.05                          ,-6.93                   ,17.88                   ,12.57       ,42.05           ,22.95                ,54.03                          ,31.82                     ,12.29                        ,96.1            ,64.98                   ,49.82        ,31.95               ,37.88   ,- -                  ,34.89                     ,177.54  ,99.23                ,140.48                       ,78.37             ,               16.14 ,- -          ,18.64             ,91.55        ,25.02                           ,23.56        ,49.82                      ,-0.48              ,450.22   ,345.31             ,-36.24                       ,-8.85         ,10.72                 ,50.43               ,71.72      ,16.75                       ,-780.92        ,57.68                    ,-165.6                   ,16.44                          ,11.14                 ,3468.18                     ,118.18                         ,          7.05 ,3.83           ,51.29                       ,51.11                          ,-57.1               ,11.14                ,18.15          ,-1.45                ,-32.71                  ,0.062373621250402245
 1 ,2011 ,32.53                    ,43.51           ,26.31        ,32.54                      ,- -                    ,20.18                   ,-77.82                      ,-19.69        ,-27.19                      ,-1.04                     ,-26.65            ,-0.45                       ,-27.08              ,22.4   ,-7.64             ,20.18  ,20.18  ,-4.69            ,-9.32                ,-45.23            ,26.54              ,              6.81 ,35.41                ,23.8                           ,50.32                   ,11.06                   ,16.68       ,9.11            ,18.16                ,1.44                           ,6.66                      ,10.4                         ,7.35            ,6.11                    ,9.67         ,2.62                ,59.04   ,- -                  ,31.2                      ,-2.74   ,11.7                 ,2.92                         ,15.5              ,               10.56 ,- -          ,8.67              ,86.41        ,2.04                            ,1.93         ,9.67                       ,-1.27              ,5.81     ,3.8                ,-63.5                        ,-9.94         ,-22.15                ,4.73                ,-27.19     ,35.41                       ,-118.82        ,-6.84                    ,-611.62                  ,-0.61                          ,31.83                 ,-202.29                     ,-42.7                          ,          5.7  ,80.28          ,127.34                      ,-35.53                         ,183.75              ,31.83                ,-10.43         ,1.05                 ,36.92                   ,0.0946180328984827
 2 ,2012 ,3.17                     ,4.59            ,2.25         ,1.71                       ,- -                    ,6.16                    ,-19.84                      ,3.23          ,5.24                        ,-1.4                      ,6.71              ,-1.33                       ,6.64                ,5.39   ,2.16              ,6.16   ,6.16   ,-0.89            ,2.89                 ,1.98              ,-0.04              ,              8.38 ,1.43                 ,17.93                          ,-34.06                  ,-3.27                   ,5.56        ,66.78           ,18.95                ,-3.1                           ,1.45                      ,24.77                        ,-0.78           ,2.51                    ,7.75         ,-2.35               ,19.86   ,- -                  ,14.57                     ,7.91    ,3.31                 ,5.95                         ,10.31             ,                8.66 ,100          ,8.39              ,25.23        ,3.65                            ,3.91         ,7.75                       ,-1.26              ,53.3     ,47.54              ,21.91                        ,3.82          ,-12.82                ,3.21                ,5.24       ,1.43                        ,-15.66         ,-26.84                   ,-42.95                   ,12.36                          ,-4.79                 ,-1249.94                    ,351.82                         ,          6.86 ,55.63          ,4.28                        ,49.82                          ,-187.07             ,-4.79                ,20             ,-6.62                ,6.79                    ,-0.0687807294254803
 3 ,2013 ,-2.42                    ,-3.32           ,-1.83        ,-2.41                      ,- -                    ,-5.11                   ,21.26                       ,-2.81         ,-5.06                       ,-1.55                     ,-3.32             ,-1.64                       ,-3.24               ,-4.36  ,-1.98             ,-5.11  ,-5.11  ,0.6              ,-2.76                ,-2.46             ,12.75              ,              9.85 ,-0.25                ,22.46                          ,23.36                   ,2.4                     ,0.4         ,-49.84          ,3.22                 ,3.39                           ,6.58                      ,10.18                        ,4.37            ,5.2                     ,4.5          ,8.03                ,0.29    ,- -                  ,-0.04                     ,29.98   ,-7.65                ,14.37                        ,6.81              ,                6.83 ,- -          ,6.23              ,1.39         ,1.17                            ,0.82         ,4.5                        ,-1.5               ,10.33    ,9.43               ,-5.81                        ,3.26          ,11.64                 ,-13.45              ,-5.06      ,-0.25                       ,32.57          ,-12.36                   ,-13.7                    ,-0.97                          ,-8.27                 ,-78.44                      ,-63.05                         ,          8.14 ,1.48           ,14.14                       ,11.89                          ,-162.91             ,-8.27                ,1.61           ,15.62                ,4.05                    ,-0.12368244484110558
 4 ,2014 ,-1.83                    ,-2.89           ,-1.14        ,-0.53                      ,- -                    ,-5.08                   ,-130.66                     ,-18.75        ,-17.41                      ,-1.06                     ,-16.43            ,-1.31                       ,-16.21              ,-4.27  ,-2.49             ,-5.08  ,-5.08  ,0.7              ,-3.32                ,-15.77            ,-0.76              ,              8.82 ,-0.05                ,6.94                           ,-13.98                  ,-8.35                   ,-5.4        ,29.76           ,5.37                 ,-2.23                          ,0.9                       ,18.35                        ,-4.63           ,0.49                    ,2.19         ,-2.55               ,26.54   ,-92.71               ,16.41                     ,-0.48   ,3.89                 ,0.99                         ,8.56              ,                6.26 ,- -          ,2.83              ,68.33        ,-8.6                            ,-8.61        ,2.19                       ,-0.82              ,22.96    ,34.54              ,-31.65                       ,-9.48         ,16.94                 ,-1.07               ,-17.41     ,-0.05                       ,124.34         ,-7.93                    ,-52.9                    ,0.69                           ,-5.65                 ,141.79                      ,78.12                          ,          7.67 ,-4.03          ,-24.94                      ,-3.04                          ,-120.21             ,-5.65                ,2.72           ,3.55                 ,21.77                   ,-0.06124570394197382
 5 ,2015 ,-3.7                     ,-2.28           ,-4.61        ,-40.54                     ,- -                    ,-10.09                  ,-328.98                     ,3             ,3.4                         ,-0.8                      ,4.4               ,-1.01                       ,4.62                ,-8.44  ,-4.92             ,-10.09 ,-10.09 ,-0.94            ,-6.64                ,7.55              ,0.99               ,              8.17 ,-0.3                 ,-8.19                          ,-18.41                  ,-11.76                  ,-6.39       ,77.62           ,1.24                 ,-14.09                         ,-11.5                     ,15.88                        ,-8.24           ,-4.13                   ,-2.2         ,-6.01               ,-30.32  ,3467.24              ,-16.82                    ,48.51   ,-10.3                ,28.24                        ,4.51              ,                5.78 ,- -          ,2.54              ,76.11        ,-15.72                          ,-15.7        ,-2.2                       ,-0.96              ,12.26    ,33.16              ,-61.17                       ,21.71         ,-67.6                 ,-4.64               ,3.4        ,-0.3                        ,-30.96         ,12.92                    ,-64.24                   ,-0.82                          ,6.11                  ,-63.61                      ,-17.59                         ,          7.31 ,-2.98          ,-11.83                      ,40.82                          ,47.7                ,6.11                 ,-2.85          ,-0.59                ,-4.23                   ,0.05866451949302931
 6 ,2016 ,-5.49                    ,-5.82           ,-5.27        ,49.09                      ,- -                    ,-1.17                   ,-155.87                     ,-15.29        ,-11.08                      ,-0.8                      ,-10.49            ,-0.86                       ,-10.44              ,-2.66  ,2.99              ,-1.17  ,-1.17  ,0.23             ,4.57                 ,-6.05             ,16.09              ,              6.11 ,-9.29                ,11.56                          ,17.05                   ,-2.16                   ,-7.82       ,-20.66          ,1.84                 ,-15.4                          ,-4.91                     ,9.25                         ,-10.15          ,-5.9                    ,-3.03        ,8.19                ,1.39    ,-65.68               ,-1.47                     ,4.85    ,-12.88               ,0.58                         ,-0.28             ,                6.19 ,- -          ,0.74              ,10.13        ,-9.75                           ,-9.87        ,-3.03                      ,-0.83              ,0.94     ,12                 ,27.65                        ,3.37          ,42.22                 ,-18.59              ,-11.08     ,-9.29                       ,-49.59         ,9.32                     ,40.76                    ,-16.45                         ,-11.4                 ,-164.21                     ,-83.85                         ,          5.26 ,-32.53         ,-3.1                        ,28.01                          ,-262.39             ,-11.4                ,-18.07         ,12.91                ,-5.9                    ,-0.09892098418054285
 7 ,2017 ,-15.41                   ,-19.49          ,-12.77       ,-18.12                     ,- -                    ,-13.04                  ,54.9                        ,-17.13        ,-81.95                      ,-1.04                     ,-80.68            ,-0.98                       ,-80.69              ,-15.86 ,-0.53             ,-13.04 ,-13.04 ,3.12             ,2.8                  ,-77.39            ,37.28              ,              5.69 ,-29.49               ,-6.87                          ,-29.8                   ,-4.9                    ,-0.75       ,80.9            ,7.45                 ,-22.87                         ,-22.61                    ,27.27                        ,-16.47          ,-3.58                   ,0.72         ,-6.52               ,2.98    ,115.92               ,2.5                       ,5.05    ,34.58                ,11.21                        ,7.6               ,                5.2  ,- -          ,-7.74             ,-8.03        ,-25.97                          ,-18.27       ,0.72                       ,-0.68              ,12.18    ,37.26              ,3.87                         ,4.84          ,229.62                ,-38.38              ,-81.95     ,-29.49                      ,50.59          ,-15.12                   ,-1696.83                 ,-19.21                         ,-25.95                ,-154.13                     ,145.25                         ,          4.58 ,9.44           ,-7.12                       ,13.78                          ,-322.92             ,-25.95               ,-16.88         ,36.68                ,322.51                  ,-0.05037872635506013
 8 ,2018 ,-3.13                    ,-1.43           ,-4.16        ,-47.82                     ,- -                    ,22.01                   ,22.13                       ,22            ,447.88                      ,-0.3                      ,417.12            ,-0.58                       ,418.54              ,16.86  ,20.64             ,22.01  ,22.01  ,-1.06            ,25.96                ,432.23            ,-4.37              ,              5.45 ,-13.81               ,-22.06                         ,51.13                   ,0.49                    ,15.67       ,-78.44          ,-31.78               ,17.01                          ,7.06                      ,-7.62                        ,34.03           ,13.51                   ,-5.32        ,-1.44               ,14.15   ,-40.12               ,5.84                      ,-18.62  ,-5.15                ,-15.22                       ,-6.91             ,                3.72 ,- -          ,4.64              ,24.35        ,-0.53                           ,0.43         ,-5.32                      ,0.21               ,-15.7    ,-16.05             ,-224.91                      ,-35.55        ,-74.07                ,1.29                ,447.88     ,-13.81                      ,-2.54          ,2.74                     ,-135.14                  ,7.33                           ,-7.58                 ,-1280.3                     ,-341.92                        ,          5.13 ,-7.54          ,-79.11                      ,38.94                          ,-214.91             ,-7.58                ,11.93          ,-1.12                ,-79.18                  ,0.1301072850360513
 9 ,2019 ,8.65                     ,11.88           ,6.66         ,85.63                      ,- -                    ,10.21                   ,-175.51                     ,31.14         ,38.74                       ,0.4                       ,38.09             ,0.35                        ,38.16               ,11.85  ,2.95              ,10.21  ,10.21  ,-1.83            ,1.43                 ,27.6              ,-21.1              ,              2.62 ,25.69                ,-30.65                         ,-28.61                  ,7.76                    ,10.03       ,-8.4            ,-18.13               ,12.92                          ,7.44                      ,-1.97                        ,24.09           ,13.18                   ,3.8          ,29.91               ,-19.06  ,- -                  ,-6.29                     ,8.43    ,7.94                 ,8.29                         ,1.75              ,                3.47 ,- -          ,4.07              ,5.35         ,11.78                           ,10.7         ,3.8                        ,0.28               ,3.26     ,-6.72              ,131.69                       ,-12.64        ,48.2                  ,37.7                ,38.74      ,25.69                       ,-124.55        ,-10.67                   ,-129.52                  ,37.29                          ,32.69                 ,-68.43                      ,-167.08                        ,          3.03 ,-16.65         ,-79.13                      ,-12.98                         ,-178.24             ,32.69                ,38.46          ,-14.56               ,-0.97                   ,-0.08278623624650727
