   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,5.68                     ,2.81            ,6.37         ,2.33                       ,12.89                  ,6.31                    ,-75.6                       ,21.79         ,17.11                       ,0.68                      ,16.32             ,0.68                        ,16.32               ,5.64   ,-0.03             ,6.31   ,6.31   ,0.66             ,0.6                  ,10.82             ,11.22              ,-0.06              ,2.34                 ,49.57                          ,34.29                   ,8.52                    ,-11.66      ,9.94            ,18.85                ,-3.13                          ,-4.06                     ,53.96                        ,14.59           ,7.93                    ,12.89        ,6.35                ,469.34   ,6.07                 ,8.12                      ,2.05    ,-0.34                ,1.05                         ,3.64              ,3.09                 ,- -          ,29.52             ,8.02         ,30.41                           ,30.31        ,12.89                      ,0.28               ,-57.56   ,-67.43             ,18.3                         ,9.92          ,-10.2                 ,-4.98               ,17.11      ,2.34                        ,-292.88        ,-37.31                   ,-80.61                   ,58.15                          ,38.8                  ,-208.78                     ,-2312.75                       ,0.61           ,-99.95         ,- -                         ,-63.46                         ,-258.72             ,38.8                 ,62.91          ,-37.08               ,35.05                   ,-0.09125866944556327
 1 ,2011 ,5.25                     ,16.07           ,2.72         ,11.72                      ,2.8                    ,-6.71                   ,292.06                      ,-18.02        ,-14.24                      ,0.74                      ,-14.86            ,0.74                        ,-14.87              ,-5.05  ,-9.78             ,-6.71  ,-6.71  ,-2.4             ,-11.36               ,-18.51            ,5.99               ,-0.05              ,3.42                 ,2.53                           ,-1.18                   ,1.92                    ,-8.65       ,-43.4           ,-3.99                ,-2.27                          ,0.74                      ,126.46                       ,18.32           ,20.11                   ,8.58         ,26.66               ,875.83   ,-7.85                ,25.76                     ,-19.29  ,21.45                ,-2.56                        ,8.26              ,14.77                ,- -          ,17.01             ,44.51        ,9.03                            ,9.05         ,8.58                       ,0.48               ,14.06    ,4.6                ,1.6                          ,-23.66        ,-22.59                ,-0.7                ,-14.24     ,3.42                        ,-58.92         ,-36.19                   ,-772.99                  ,5.51                           ,42.66                 ,120                         ,52.68                          ,0.68           ,- -            ,- -                         ,17.21                          ,-97.6               ,42.66                ,-2.27          ,7.72                 ,23.02                   ,0.25182213711620993
 2 ,2012 ,-6.93                    ,-5.36           ,-7.35        ,-4.65                      ,5.12                   ,-20.62                  ,-140.57                     ,1.1           ,-5.96                       ,-0.07                     ,-5.9              ,0.3                         ,-6.24               ,-15.78 ,-9.51             ,-20.62 ,-20.62 ,-0.45            ,-14.71               ,1.04              ,-7.59              ,0.4                ,6.45                 ,-17.58                         ,-32.14                  ,-8.25                   ,14.96       ,1.09            ,-8.49                ,- -                            ,2.22                      ,56.67                        ,-4.39           ,10.04                   ,2.2          ,-1.35               ,-99.22   ,27.48                ,-6.06                     ,1       ,-0.22                ,0.38                         ,-2.48             ,-10.34               ,-1.04        ,7.99              ,-1.59        ,9.04                            ,9.15         ,2.2                        ,-0.98              ,42.09    ,30.18              ,14.71                        ,-2.58         ,12.4                  ,0.71                ,-5.96      ,6.45                        ,-173.56        ,-4                       ,-104.1                   ,-26.67                         ,-38.32                ,12.29                       ,-41.28                         ,0.33           ,- -            ,- -                         ,86.49                          ,-4944.78            ,-38.32               ,-23.12         ,64.86                ,-22.03                  ,0.10833627275075797
 3 ,2013 ,2.25                     ,2.33            ,2.24         ,-5.16                      ,4.8                    ,10.62                   ,-13.16                      ,8.9           ,14.58                       ,-2.9                      ,18.01             ,-2.91                       ,18.02               ,7.97   ,5.59              ,10.62  ,10.62  ,-0.02            ,8.18                 ,12.06             ,3.4                ,-0.15              ,-1.14                ,-5.05                          ,-4.69                   ,3.46                    ,10.78       ,-8.09           ,0.51                 ,2.77                           ,4.88                      ,20.78                        ,-10.2           ,3.67                    ,2.47         ,5.16                ,8409.24  ,-14.01               ,6.28                      ,-23.9   ,-21.43               ,-22.64                       ,-10.28            ,1.21                 ,-2.53        ,5.62              ,-47.26       ,19.41                           ,19.4         ,2.47                       ,-2.59              ,-8.58    ,-23.44             ,27.35                        ,-5.44         ,10.88                 ,-1.11               ,14.58      ,-1.14                       ,-98.77         ,2.4                      ,667.58                   ,8.11                           ,4.7                   ,-64.76                      ,-26.83                         ,-3.05          ,- -            ,135.49                      ,-13.36                         ,-91.42              ,4.7                  ,8.94           ,-4.72                ,-5.65                   ,-0.22314644042461484
 4 ,2014 ,-15.13                   ,0.5             ,-19.35       ,-7.08                      ,-14.42                 ,-40                     ,-196.25                     ,-49.06        ,-48.97                      ,-1.01                     ,-48.45            ,-0.97                       ,-48.48              ,-32.69 ,-20.68            ,-40    ,-40    ,-4.96            ,-29.31               ,-39.88            ,-17.76             ,0.09               ,-4.61                ,-10.57                         ,1.08                    ,-5.51                   ,-6.45       ,7.37            ,-7.06                ,-0.15                          ,2.45                      ,-40.08                       ,90.5            ,12.89                   ,5.47         ,-0.47               ,165.52   ,15.57                ,25.69                     ,27.79   ,16.12                ,21.76                        ,23.75             ,4.15                 ,-0.56        ,-3                ,99.32        ,-12.81                          ,-12.77       ,5.47                       ,-0.55              ,202.65   ,246.96             ,-23.28                       ,-26.06        ,3.2                   ,3.19                ,-48.97     ,-4.61                       ,-26620.83      ,7.66                     ,-90.1                    ,-23.85                         ,43.23                 ,-455.96                     ,88.59                          ,-0.92          ,82641.67       ,-52.89                      ,-98.04                         ,-329.14             ,43.23                ,-39.65         ,55.73                ,49.23                   ,0.2836296181284441
 5 ,2015 ,1.75                     ,2.12            ,1.62         ,-1.33                      ,1.33                   ,7.91                    ,144.24                      ,-7.01         ,0.75                        ,-0.75                     ,1.51              ,-0.8                        ,1.56                ,6.63   ,4.8               ,7.91   ,7.91   ,-0.12            ,6.06                 ,-0.98             ,-3.53              ,2.01               ,3.53                 ,-7.77                          ,-5.3                    ,7.11                    ,25.76       ,-25.52          ,3.23                 ,1.13                           ,3.94                      ,-20.19                       ,-9.39           ,-8.01                   ,-4.33        ,25.53               ,-99.77   ,-27.05               ,-26.57                    ,48.53   ,-8.4                 ,20.47                        ,-3.72             ,4.28                 ,-0.48        ,-2.86             ,14.75        ,-5.22                           ,-5.18        ,-4.33                      ,-0.48              ,3.04     ,8.68               ,-36.97                       ,40.59         ,11.93                 ,5.47                ,0.75       ,3.53                        ,-122.83        ,39.62                    ,2259.9                   ,-36.51                         ,3.85                  ,-67.94                      ,-100.69                        ,1.24           ,348.66         ,-6.31                       ,3787.08                        ,-131.24             ,3.85                 ,-59.07         ,63.98                ,-36.98                  ,0.26119062142406335
 6 ,2016 ,6.33                     ,12.26           ,4.33         ,-1.24                      ,9.33                   ,7.77                    ,-38                         ,20.93         ,13.67                       ,-0.34                     ,14.05             ,-0.37                       ,14.09               ,6.93   ,0.57              ,7.77   ,7.77   ,-1.88            ,1.36                 ,6.9               ,4.56               ,1.81               ,4.83                 ,35.64                          ,24.98                   ,17.06                   ,3.37        ,21.54           ,20.1                 ,2.47                           ,0.7                       ,42.8                         ,-9.3            ,3.08                    ,9.1          ,23.67               ,31660.66 ,-9.03                ,33.5                      ,4.96    ,12.44                ,7.76                         ,17.86             ,1.37                 ,-0.41        ,0.22              ,15.14        ,-3.87                           ,-3.49        ,9.1                        ,-0.4               ,32.72    ,37.53              ,-9.37                        ,-10.04        ,-0.68                 ,1.7                 ,13.67      ,4.83                        ,-857.67        ,17.22                    ,-47.27                   ,74.95                          ,-32.85                ,-267.49                     ,-11813.06                      ,1.47           ,-72.91         ,-19.93                      ,-80.82                         ,-1063.29            ,-32.85               ,227.84         ,-36.79               ,53.91                   ,-0.199038586505493
 7 ,2017 ,7.77                     ,7.34            ,7.93         ,2.11                       ,0.72                   ,27.38                   ,449.73                      ,-34.87        ,-107.46                     ,-0.6                      ,-107.5            ,-0.92                       ,-107.52             ,21.06  ,12.33             ,27.38  ,27.38  ,0.14             ,18.19                ,-106.92           ,11.27              ,2.16               ,4.72                 ,33.05                          ,42.65                   ,10.4                    ,25.17       ,97.05           ,27.15                ,6.95                           ,7.83                      ,9.05                         ,10.05           ,8.75                    ,15.91        ,18                  ,91.32    ,22.84                ,32.31                     ,18.79   ,64.53                ,36.67                        ,34.73             ,2.79                 ,-0.09        ,-13.41            ,8.43         ,-17.24                          ,-17.13       ,15.91                      ,-0.08              ,24.25    ,49.94              ,-52.64                       ,-3.89         ,15.15                 ,-3.14               ,-107.46    ,4.72                        ,-4.85          ,10.18                    ,-762.03                  ,15.76                          ,98.13                 ,-71.07                      ,20.53                          ,1.56           ,84.98          ,-50.04                      ,-125.47                        ,71.39               ,98.13                ,-8.17          ,-12.31               ,-1652.72                ,-0.01585641301193852
 8 ,2018 ,-6.03                    ,-22.87          ,0.06         ,-9.3                       ,-4.37                  ,17.32                   ,-22.99                      ,67.48         ,-1643.66                    ,-2.31                     ,-1720.98          ,-1.74                       ,-1711.66            ,13.78  ,21.08             ,17.32  ,17.32  ,6.48             ,24.84                ,-1785.06          ,-1.23              ,7.95               ,2.66                 ,-7.78                          ,12                      ,9.78                    ,-30.51      ,194.7           ,7.02                 ,-9.41                          ,-7.89                     ,-64.69                       ,18.48           ,-9.39                   ,-2.38        ,1.45                ,-70.26   ,-3.78                ,-18.22                    ,-7.49   ,34.83                ,12.43                        ,-0.94             ,11.36                ,-3.91        ,-17.98            ,0.19         ,-15.21                          ,-6.5         ,-2.38                      ,-3.91              ,-58.12   ,-55.21             ,128.69                       ,30.85         ,-3.76                 ,-4.86               ,-1683.54   ,2.66                        ,192.33         ,-0.64                    ,-174.22                  ,-1.62                          ,39.5                  ,-1008.3                     ,-150.38                        ,5.46           ,11.01          ,730.89                      ,-4240.88                       ,-22.74              ,39.5                 ,-27.4          ,20.19                ,-106.21                 ,0.4669202277360024
 9 ,2019 ,3.84                     ,0.84            ,4.68         ,3.99                       ,10.77                  ,0.07                    ,-75.13                      ,43.09         ,47.21                       ,-9.41                     ,184.1             ,-9.48                       ,184.33              ,-5.03  ,-8.55             ,0.07   ,0.07   ,0.8              ,-3.63                ,147.85            ,19.46              ,15.06              ,-23.39               ,-67.09                         ,-68.07                  ,-4.07                   ,2.99        ,-40.48          ,-33.29               ,5.11                           ,5.42                      ,-2.14                        ,13.86           ,9.49                    ,-10.53       ,0.99                ,36.03    ,-15.74               ,-0.95                     ,55.55   ,-11.81               ,17.53                        ,10.87             ,0.55                 ,-9.41        ,-56.82            ,13.87        ,-73.48                          ,-75.26       ,-10.53                     ,-9.41              ,335.87   ,1661.67            ,-228.28                      ,-32.65        ,-4.18                 ,-13.07              ,157.38     ,-23.39                      ,-198.86        ,11.77                    ,-29.07                   ,-12.45                         ,-55.16                ,-91.08                      ,-524.08                        ,4.24           ,164.62         ,76.64                       ,-60.63                         ,-465.15             ,-55.16               ,38.97          ,43.32                ,-65.98                  ,-0.1273811741154467
