   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,91.21                    ,59.44           ,150.63       ,1.36                       ,                 11.31 ,-418.01                 ,-86.48                      ,-263.49       ,-214.73                     ,1.07                      ,-213.53           ,2.02                        ,-212.47             ,-861.3 ,-498.15           ,-418.01 ,-418.01 ,31.08            ,-266.32              ,-160.01           ,60.39              ,- -                ,-1.4                 ,42.64                          ,45.86                   ,97.13                   ,36.45       ,-13.6           ,46.9                 ,-7.11                          ,                     1.46 ,-7.4                         ,0.89            ,-3.35                   ,27.44        ,317.96              ,-7.12    ,-46.99               ,63.94                     ,-56.84  ,22.05                ,1.63                         ,44.2              ,                5.5  ,-0.79        ,            21.06 ,32.23        ,21.68                           ,21.68        ,27.44                      ,-0.46              ,59.53    ,31.11              ,-3.5                         ,-10.4         ,-37.17                ,19.22               ,-214.73    ,-1.4                        ,-62.49         ,-4.86                    ,68.16                    ,-548.89                        ,-19.63                ,-139.32                     ,-1821.17                       ,- -            ,-46.24         ,-7290.06                    ,-72.14                         ,-152.47             ,-19.63               ,-357.43        ,-113.66              ,291.24                  ,0.19275436790225897
 1 ,2011 ,51.74                    ,50.11           ,53.67        ,27.86                      ,                 16.34 ,82.63                   ,-9.62                       ,86.19         ,108.77                      ,-2.68                     ,114.53            ,-2.42                       ,113.96              ,71.89  ,13.29             ,82.63   ,82.63   ,1.28             ,20.36                ,37.59             ,32.54              ,- -                ,4.7                  ,156.79                         ,173.4                   ,18.14                   ,24.53       ,49.66           ,86.54                ,35                             ,                    24.19 ,0.01                         ,-5.55           ,6.82                    ,63.12        ,-26.6               ,-3.72    ,195.08               ,22.49                     ,4085.25 ,15.26                ,462.43                       ,120.72            ,                5.4  ,-1.59        ,            36.81 ,-113.97      ,39.69                           ,39.69        ,63.12                      ,-1.88              ,43.14    ,2.47               ,-13.78                       ,52.29         ,-14.57                ,14.48               ,108.77     ,4.7                         ,-34.54         ,5.05                     ,-113.73                  ,151.21                         ,258.23                ,113.51                      ,364.33                         ,- -            ,262647.32      ,185.75                      ,-825.24                        ,431.28              ,258.23               ,139.12         ,-58.59               ,20.33                   ,-0.2850201075892985
 2 ,2012 ,-17.68                   ,-9.15           ,-27.6        ,29.86                      ,                 19.09 ,-70.65                  ,133.79                      ,-74.48        ,-76.69                      ,0.52                      ,-76.81            ,0.17                        ,-76.73              ,-61.79 ,-53.59            ,-70.65  ,-70.65  ,-12.04           ,-64.35               ,-71.68            ,-53.85             ,- -                ,34.87                ,34.89                          ,4.87                    ,29.67                   ,59.57       ,-8.13           ,34.74                ,116.15                         ,                    59.35 ,- -                          ,771.28          ,359.84                  ,97.29        ,-10.27              ,10588.81 ,73.93                ,108.53                    ,3.15    ,199.69               ,39.01                        ,68.97             ,              222.78 ,50.81        ,             6.27 ,-446.46      ,115.48                          ,115.48       ,97.29                      ,51.04              ,-61.03   ,-81.92             ,-15.53                       ,-35.39        ,56.92                 ,78.38               ,-76.69     ,34.87                       ,169.65         ,53.85                    ,201.35                   ,-43.36                         ,-15.86                ,-651.63                     ,-156.2                         ,- -            ,- -            ,288.34                      ,-231.45                        ,-91.81              ,-15.86               ,-48.01         ,42.52                ,142.97                  ,-0.15809838967001244
 3 ,2013 ,35.03                    ,38.88           ,29.43        ,49.85                      ,                 53.79 ,-49.94                  ,51.9                        ,-67.39        ,-32.51                      ,36.04                     ,-50.39            ,38.49                       ,-51.26              ,24.6   ,-7.73             ,-49.94  ,-49.94  ,-4.15            ,-62.92               ,-50.02            ,35.03              ,- -                ,201.63               ,-12.77                         ,-25.71                  ,-21.31                  ,-11.62      ,-12.41          ,-14.07               ,3.3                            ,                    11.49 ,- -                          ,-5.07           ,-3.71                   ,-9.42        ,-15.47              ,0.69     ,2.83                 ,-1.57                     ,3.61    ,-22.89               ,-6.81                        ,-4.03             ,                2.85 ,-12.83       ,             3.98 ,-15.15       ,-12.14                          ,-12.14       ,-9.42                      ,-12.74             ,-148.47  ,-155.17            ,-8.19                        ,-12.7         ,-23.8                 ,- -                 ,-32.51     ,201.63                      ,-37.73         ,21.79                    ,202.67                   ,44.27                          ,49.89                 ,24.4                        ,-188.47                        ,- -            ,- -            ,28.23                       ,28.16                          ,-634.81             ,49.89                ,42.73          ,14.52                ,113.75                  ,0.21104598194050772
 4 ,2014 ,28.02                    ,18.4            ,43.08        ,2.31                       ,                  4.8  ,465.27                  ,-185.85                     ,985.19        ,455.23                      ,-2.48                     ,469.35            ,0.62                        ,451.81              ,128.76 ,78.69             ,465.27  ,465.27  ,11.76            ,341.55               ,333.71            ,29.99              ,- -                ,-3.9                 ,22.76                          ,24.96                   ,32.85                   ,32.39       ,31.36           ,26.09                ,-10                            ,                     4.16 ,- -                          ,-6.54           ,-7.14                   ,10.25        ,44.65               ,0.7      ,10.29                ,12.64                     ,3.54    ,0.06                 ,2.41                         ,7.99              ,                3.05 ,-0.61        ,            20.29 ,-0.13        ,11.49                           ,11.49        ,10.25                      ,-0.32              ,-182.87  ,-174.33            ,11.31                        ,11.94         ,-7.74                 ,-1.52               ,455.23     ,-3.9                        ,-16.01         ,4.4                      ,-246.28                  ,-0.4                           ,-9.51                 ,-24.14                      ,11.14                          ,- -            ,- -            ,-81.11                      ,-81.67                         ,-171.12             ,-9.51                ,2.22           ,55.02                ,-82.06                  ,0.3540540663355616
 5 ,2015 ,14.15                    ,14.43           ,13.79        ,-3.54                      ,                 15.18 ,28.01                   ,-377.13                     ,2.42          ,3.68                        ,-3.1                      ,7                 ,1.47                        ,2.18                ,18.09  ,3.45              ,28.01   ,28.01   ,-0.32            ,12.14                ,-9.17             ,1.64               ,- -                ,-4.9                 ,32.97                          ,3.36                    ,36.59                   ,27.39       ,-11             ,31.09                ,14.34                          ,                    14.06 ,- -                          ,-7.27           ,-3.61                   ,17.16        ,11.67               ,162.35   ,23.36                ,66.33                     ,22.54   ,1.56                 ,15.87                        ,44.58             ,                2.43 ,-1.85        ,            14.57 ,101.7        ,2.53                            ,2.53         ,17.16                      ,-2.35              ,-833.31  ,-815.21            ,-12.04                       ,-21.19        ,16.75                 ,12.31               ,3.68       ,-4.9                        ,219.44         ,30.52                    ,43.68                    ,9.55                           ,36.26                 ,59.18                       ,317.06                         ,- -            ,12.39          ,203.29                      ,-332.57                        ,-79.98              ,36.26                ,2.75           ,7.89                 ,5.66                    ,0.022295048765193615
 6 ,2016 ,11.91                    ,9.82            ,14.65        ,6.65                       ,                 10.72 ,23.84                   ,-9.87                       ,29.6          ,39.43                       ,-0.44                     ,40.05             ,-1.08                       ,40.95               ,19.2   ,6.51              ,23.84   ,23.84   ,2.44             ,10.65                ,24.58             ,8.93               ,64.79              ,4.72                 ,67.5                           ,235.61                  ,15.41                   ,3.03        ,-2.87           ,46.95                ,2.93                           ,                     8.82 ,- -                          ,-2.24           ,-1.2                    ,31.04        ,24.76               ,-30.17   ,11.62                ,-8.04                     ,237.89  ,-5.4                 ,170.08                       ,53.48             ,                3.84 ,0.63         ,            17.65 ,19.96        ,14.17                           ,14.17        ,31.04                      ,1.05               ,-182.17  ,-171.97            ,-9.72                        ,59.8          ,3.73                  ,2.74                ,39.43      ,4.72                        ,-27.65         ,5.17                     ,-87.59                   ,71.9                           ,-11.57                ,-106.43                     ,-153.57                        ,64.06          ,135.65         ,-80.47                      ,321.63                         ,6013.62             ,-11.57               ,100.08         ,-35.17               ,23.29                   ,0.25643673792240596
 7 ,2017 ,36.15                    ,35.0            ,37.59        ,5.79                       ,                 13.14 ,77.07                   ,-20.75                      ,88.69         ,85.74                       ,2.08                      ,81.96             ,4.92                        ,77.04               ,61.8   ,18.84             ,77.07   ,77.07   ,1.06             ,30.05                ,36.42             ,8.63               ,25.28              ,5.46                 ,-11.52                         ,-52.82                  ,32.58                   ,26.85       ,27.53           ,-0.79                ,7.19                           ,                     5.99 ,- -                          ,-5.06           ,-2.5                    ,-1.21        ,30.96               ,-4.32    ,42.72                ,21.92                     ,-47.25  ,9.37                 ,-41.72                       ,-16.76            ,                4.89 ,1.25         ,            29.66 ,-11.01       ,14.51                           ,14.51        ,-1.21                      ,0.95               ,-144.73  ,-139.06            ,24.98                        ,-18.62        ,-12.34                ,25.33               ,85.74      ,5.46                        ,69.91          ,5.36                     ,495.13                   ,50.29                          ,-10.22                ,-1168.77                    ,-447.46                        ,27.88          ,- -            ,646.62                      ,-264.96                        ,-175.22             ,-10.22               ,59.31          ,26.73                ,-19.09                  ,0.5678688109162016
 8 ,2018 ,38.23                    ,34.05           ,43.34        ,14.19                      ,                 15.07 ,68.93                   ,-32                         ,73.97         ,40.22                       ,-0.36                     ,40.73             ,-1.63                       ,42.54               ,60.24  ,15.92             ,68.93   ,68.93   ,3.7              ,22.21                ,1.45              ,19.21              ,26.78              ,6.35                 ,-18.07                         ,89.79                   ,30.09                   ,52.17       ,-24.51          ,0.08                 ,31.64                          ,                    20.33 ,- -                          ,5.77            ,11.72                   ,2.94         ,37.66               ,-32.85   ,18.48                ,6.79                      ,1.21    ,135.43               ,25.8                         ,14.88             ,                5.11 ,-3.09        ,            32.19 ,-6.89        ,-5.83                           ,-5.83        ,2.94                       ,-2.99              ,-763.44  ,-804.5             ,-10.99                       ,-6.28         ,4.68                  ,15.96               ,40.22      ,6.35                        ,-20.74         ,14.83                    ,2.05                     ,30.87                          ,73.72                 ,-23.83                      ,-233.51                        ,26.33          ,-52.54         ,247.5                       ,24.3                           ,-180.1              ,73.72                ,27.27          ,-11.62               ,-6.67                   ,-0.18163522192629145
 9 ,2019 ,-12.85                   ,-10.43          ,-15.62       ,-7.85                      ,                  0.15 ,-23.3                   ,-70.47                      ,-22.38        ,-7.95                       ,-5.67                     ,-2.42             ,-11.54                      ,4.06                ,-21.63 ,-10.08            ,-23.3   ,-23.3   ,-3.17            ,-11.99               ,5.62              ,-11.22             ,133.78             ,-5.24                ,9.73                           ,-18.93                  ,-33.14                  ,-17.91      ,-9.29           ,-6.44                ,17.34                          ,                    16.51 ,- -                          ,-1.86           ,3.34                    ,-3.83        ,-32.77              ,9.36     ,-32.97               ,-24.72                    ,111.6   ,14.96                ,78.47                        ,23.37             ,                4.31 ,-8.28        ,            20.21 ,11.46        ,-28.22                          ,-28.22       ,-3.83                      ,-7.94              ,-139.69  ,-155.29            ,-34.43                       ,24.27         ,16.26                 ,-1.83               ,-7.95      ,-5.24                       ,-30.88         ,8.72                     ,-254.96                  ,19.59                          ,10.98                 ,-55.22                      ,-159.56                        ,120.52         ,123.21         ,46.93                       ,-26.95                         ,-139.92             ,10.98                ,20.58          ,-18.14               ,29.92                   ,0.9045534085761564
