   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,8.64                     ,- -             ,8.64         ,-2.16                      ,- -                    ,21.76                   ,-111.89                     ,24.3          ,26.28                       ,0.77                      ,25.26             ,0.77                        ,25.26               ,20.76  ,11.16             ,21.76  ,21.76  ,-22.01           ,12.08                ,16.19             ,-1.06              ,-0.37              ,                4.68 ,45.77                          ,49.21                   ,15.2                    ,- -         ,-1.66           ,29                   ,-2.23                          ,                     2.42 ,-72.58                       ,20.1            ,-3.41                   ,       18.3  ,-3.02               ,- -     ,9.57                 ,-0.76                     ,- -     ,-37.9                ,-39.59                       ,-8.52             ,                0.96 ,- -          ,           153.98 ,-50.95       ,48.55                           ,48.52        ,                     18.3  ,0.87               ,50.8     ,1.53               ,27.14                        ,29.99         ,- -                   ,               9.8  ,26.28      ,                       4.68 ,-68.55         ,-28.76                   ,-34.88                   ,23.14                          ,8.35                  ,-115.11                     ,-3.49                          ,0.4            ,- -            ,- -                         ,-110.27                        ,103.2               ,8.35                 ,24.8           ,-28.48               ,-2.44                   ,-0.2500588570377169
 1 ,2011 ,21.21                    ,19.2            ,21.21        ,15.08                      ,- -                    ,-1.42                   ,560                         ,-0.4          ,3.09                        ,-2.37                     ,5.75              ,-1.98                       ,5.34                ,0.24   ,-17.3             ,-1.42  ,-1.42  ,0.47             ,-18.67               ,-14.82            ,1.31               ,-0.17              ,               31.08 ,17.89                          ,21.75                   ,22.84                   ,- -         ,24.71           ,19.94                ,2.28                           ,                     6.23 ,-25.35                       ,33.02           ,23.88                   ,       21    ,36.41               ,- -     ,25.08                ,34.17                     ,- -     ,25.31                ,25.31                        ,33                ,                2.15 ,- -          ,            62.78 ,-102.11      ,12.74                           ,12.67        ,                     21    ,-3.08              ,21.75    ,8.05               ,-11.36                       ,-10.61        ,-41.15                ,              19.64 ,3.09       ,                      31.08 ,-185.82        ,26.98                    ,-261.05                  ,58.16                          ,17.22                 ,-165.38                     ,16.69                          ,-2.53          ,- -            ,24748.48                    ,-6494.74                       ,-32.93              ,17.22                ,62.16          ,7.08                 ,53.18                   ,0.6672291242003447
 2 ,2012 ,10.08                    ,7.71            ,-13.23       ,5.5                        ,- -                    ,45.85                   ,-175.76                     ,43.19         ,44.85                       ,-2.03                     ,47.76             ,-2.02                       ,47.75               ,44.03  ,30.84             ,45.85  ,45.85  ,0.6              ,32.49                ,31.49             ,-1.66              ,74.99              ,               18.56 ,1.09                           ,-45.05                  ,44.93                   ,- -         ,67.17           ,20.88                ,5.12                           ,                     4.76 ,165.09                       ,-1.88           ,5.18                    ,       16.54 ,13.26               ,- -     ,29.95                ,16.34                     ,- -     ,4.67                 ,4.67                         ,14.89             ,                3.47 ,- -          ,            54.98 ,-3150        ,17.88                           ,17.9         ,                     16.54 ,-2.85              ,-45.05   ,-53.39             ,3.67                         ,3.9           ,-61.53                ,              11.94 ,44.85      ,                      18.56 ,-342.98        ,-47.5                    ,-147.24                  ,9.84                           ,-45.76                ,3464.71                     ,279.55                         ,71.43          ,- -            ,52.26                       ,47.98                          ,-334.26             ,-45.76               ,13.76          ,17.76                ,-24.12                  ,0.186872338674259
 3 ,2013 ,12.92                    ,11.12           ,13.41        ,8.93                       ,- -                    ,16.2                    ,292                         ,14.45         ,12.98                       ,-3.35                     ,16.86             ,-3.42                       ,16.94               ,15.98  ,2.71              ,16.2   ,16.2   ,0.43             ,2.9                  ,0.02              ,3.28               ,99.88              ,               12.17 ,25.82                          ,75.39                   ,13.47                   ,- -         ,1.12            ,17.02                ,11.44                          ,                     7.23 ,-14.59                       ,7.4             ,6.02                    ,       14.28 ,22.16               ,- -     ,26.01                ,22.95                     ,- -     ,14.04                ,14.04                        ,21.94             ,                3.32 ,- -          ,            37.63 ,191.8        ,8.2                             ,8.17         ,                     14.28 ,30.01              ,75.39    ,62.14              ,-5.14                        ,-4.82         ,-22.62                ,               9.33 ,12.98      ,                      12.17 ,-96.26         ,50                       ,-324.55                  ,40.26                          ,61.46                 ,-116.45                     ,-99.86                         ,93.18          ,- -            ,39.76                       ,46.22                          ,-188.93             ,61.46                ,39.55          ,19                   ,24.19                   ,0.4107445130874021
 4 ,2014 ,13.5                     ,18.69           ,12.14        ,15.93                      ,- -                    ,11.05                   ,-72.45                      ,12.87         ,16.08                       ,-3.8                      ,20.66             ,-3.79                       ,20.65               ,11.76  ,-1.54             ,11.05  ,11.05  ,-1.2             ,-2.16                ,2.27              ,-9.64              ,109.94             ,               24.42 ,0.16                           ,42.73                   ,-6.73                   ,- -         ,8.25            ,0.43                 ,16.92                          ,                    14.35 ,2.08                         ,37.45           ,31.59                   ,        7.63 ,0.27                ,- -     ,13.89                ,3.15                      ,6817.31 ,10.35                ,219.3                        ,26.06             ,                3.03 ,- -          ,            30.12 ,-246.07      ,-9.27                           ,-8.95        ,                      7.63 ,-28.07             ,1.22     ,11.18              ,-23.49                       ,-2.64         ,-14.65                ,              25.61 ,16.08      ,                      24.42 ,5690.91        ,-123.81                  ,-255.73                  ,-17.61                         ,12.9                  ,384.95                      ,-17350                         ,101.96         ,4271.43        ,38.6                        ,-11.03                         ,17.04               ,12.9                 ,-18.79         ,19.68                ,-29.02                  ,-0.0766520461155249
 5 ,2015 ,2.05                     ,1.99            ,2.07         ,2.87                       ,- -                    ,0.65                    ,570.37                      ,-2.38         ,5.28                        ,-2.66                     ,8.16              ,-2.74                       ,8.24                ,1.44   ,-0.6              ,0.65   ,0.65   ,0.02             ,-1.37                ,3.17              ,-6.98              ,45.02              ,               14.02 ,6.87                           ,11.87                   ,-0.65                   ,- -         ,-17.03          ,-0.11                ,9.76                           ,                    10.84 ,-32.24                       ,27.97           ,21.98                   ,        6.13 ,0.82                ,- -     ,0.55                 ,0.76                      ,120.01  ,-17.49               ,72.49                        ,20.01             ,                3.3  ,- -          ,            23.18 ,160          ,-11.22                          ,-11.17       ,                      6.13 ,-3.17              ,-32.47   ,-23.99             ,-29.2                        ,-0.86         ,33.32                 ,               9.71 ,5.28       ,                      14.02 ,8.16           ,-246.67                  ,-29.79                   ,18.67                          ,1.14                  ,-85.52                      ,-203.62                        ,41.17          ,13.4           ,3.9                         ,5.09                           ,-50.51              ,1.14                 ,19.62          ,-6.96                ,12.72                   ,0.1453765893515775
 6 ,2016 ,11.47                    ,5.7             ,13.08        ,8.72                       ,- -                    ,14.38                   ,28.18                       ,13.88         ,6.59                        ,-3.17                     ,10.09             ,-3.17                       ,10.08               ,13.55  ,1.87              ,14.38  ,14.38  ,1.44             ,2.61                 ,-4.38             ,5.85               ,18.91              ,                1.91 ,23.7                           ,16.95                   ,16.86                   ,- -         ,13.52           ,20.42                ,8.59                           ,                    14.58 ,-20.48                       ,3.13            ,3.08                    ,       14.79 ,16.32               ,- -     ,10.42                ,14.95                     ,57.59   ,-7.07                ,46.9                         ,27.28             ,                4.47 ,- -          ,            19.7  ,36.69        ,-6.17                           ,-6.24        ,                     14.79 ,-3.14              ,-37.36   ,-33.19             ,-20.22                       ,4.76          ,29.13                 ,               5.31 ,6.59       ,                       1.91 ,33.38          ,127.27                   ,5.73                     ,10.91                          ,21.47                 ,-458.1                      ,63.22                          ,15.13          ,13.66          ,-0.2                        ,-6.71                          ,17.7                ,21.47                ,10.42          ,-8.07                ,4.05                    ,-0.02627896823172482
 7 ,2017 ,15.97                    ,20.76           ,14.72        ,19.87                      ,- -                    ,12.91                   ,-50.43                      ,15.52         ,-3.55                       ,-2.82                     ,-0.75             ,-2.63                       ,-0.94               ,13.17  ,-2.42             ,12.91  ,12.91  ,-1.08            ,-2.64                ,-16.83            ,2.99               ,15.81              ,               17.16 ,-6.63                          ,-11.72                  ,33.28                   ,- -         ,12.04           ,4.3                  ,13.1                           ,                    15.49 ,88.64                        ,40.86           ,38.28                   ,       14.21 ,23.61               ,- -     ,16.51                ,22.02                     ,4.71    ,155.21               ,20.45                        ,21.32             ,                4.35 ,- -          ,            15.17 ,-46.21       ,-3.32                           ,-2.04        ,                     14.21 ,-2.5               ,-66.97   ,-66.28             ,-58.43                       ,-14.52        ,19.15                 ,              12.61 ,-3.55      ,                      17.16 ,62.02          ,252                      ,-67.01                   ,23.88                          ,39.53                 ,-75.8                       ,52.44                          ,12.54          ,- -            ,7.15                        ,107.76                         ,-196.48             ,39.53                ,23.1           ,14.52                ,28.44                   ,0.28265593839099035
 8 ,2018 ,19.63                    ,19.61           ,19.63        ,12.11                      ,- -                    ,26.71                   ,948.7                       ,10.46         ,49.66                       ,-2.44                     ,53.39             ,-2.33                       ,53.23               ,25.37  ,4.8               ,26.71  ,26.71  ,- -              ,5.92                 ,25.1              ,8.31               ,13.6               ,                5.03 ,7.66                           ,12.62                   ,41.39                   ,- -         ,14.75           ,17.21                ,11.1                           ,                    14.58 ,35.34                        ,15.14           ,15.36                   ,       16.55 ,31.06               ,- -     ,8.1                  ,31.84                     ,7.56    ,25.91                ,11.62                        ,22.9              ,                4.93 ,- -          ,            22    ,44.47        ,-1.34                           ,-1.42        ,                     16.55 ,-2.18              ,-31.63   ,-30.65             ,-7.59                        ,-11.1         ,-42.76                ,              10.45 ,49.66      ,                       5.03 ,-18.2          ,11.36                    ,359.09                   ,12.03                          ,10                    ,-106.59                     ,-71.56                         ,10.83          ,-49.75         ,31.13                       ,4.24                           ,-176.01             ,10                   ,12.14          ,7.16                 ,-25.14                  ,0.3155019102132909
 9 ,2019 ,12.93                    ,10.05           ,13.72        ,10.13                      ,- -                    ,14.91                   ,-105.56                     ,35.08         ,38.56                       ,-2.31                     ,41.83             ,-2.39                       ,41.95               ,14.85  ,1.7               ,14.91  ,14.91  ,0.7              ,1.75                 ,22.69             ,-10.14             ,31.87              ,               13.73 ,-8.38                          ,4.58                    ,16.52                   ,- -         ,21.27           ,4.52                 ,98.48                          ,                    65.61 ,171.22                       ,29.08           ,41.95                   ,       17.6  ,5.98                ,- -     ,13.26                ,2.68                      ,46.16   ,44.75                ,45.81                        ,20                ,                4.52 ,- -          ,            24.56 ,-6.27        ,9.23                            ,9.15         ,                     17.6  ,-2.29              ,-542.24  ,-505.18            ,-69.44                       ,1.79          ,-96.33                ,              25.68 ,38.56      ,                      13.73 ,1.89           ,27.55                    ,29.32                    ,31.5                           ,27.88                 ,4333.33                     ,224.11                         ,28.83          ,174.87         ,31.7                        ,18.14                          ,-9.99               ,27.88                ,31.7           ,17.75                ,-5.1                    ,0.3027992575783973
