   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,7.18                     ,5.61            ,19.43        ,8.03                       ,- -                    ,35.48                   ,-84.53                      ,-231.82       ,-229.75                     ,1.8                       ,-230.03           ,6.14                        ,-224.71             ,25.07  ,16.7              ,35.48  ,35.48  ,11.43            ,26.4                 ,-223.5            ,13.82              ,-32.95             ,-3.78                ,339.13                         ,339.13                  ,11.93                   ,3.12        ,-0.88           ,18.63                ,-4.04                          ,0.31                      ,0.4                          ,16.51           ,10.21                   ,13.24        ,22.66               ,115.62  ,-9.19                ,9.36                      ,20.46   ,-2.82                ,8.73                         ,8.94              ,1.64                 ,- -          ,5.9               ,-115.38      ,38.79                           ,38.79        ,13.24                      ,2.63               ,6.46     ,-23.3              ,-89.23                       ,8.47          ,-42.74                ,-5.84               ,-229.75    ,-3.78                       ,-57.53         ,- -                      ,13.21                    ,32.6                           ,86.22                 ,191.67                      ,282.61                         ,-31.75         ,- -            ,422.22                      ,-39.24                         ,-2152.63            ,86.22                ,13.84          ,10.36                ,-200.18                 ,0.40594681077052464
 1 ,2011 ,5.35                     ,8.06            ,-13.36       ,-3.59                      ,- -                    ,-24.32                  ,18.06                       ,-35.39        ,-56.77                      ,-3.5                      ,-55.2             ,-4.23                       ,-54.86              ,-23.25 ,-27.15            ,-24.32 ,-24.32 ,-17.76           ,-28.16               ,-58.97            ,13.26              ,222.93             ,-19.1                ,-79.8                          ,-79.8                   ,-6.72                   ,-99.26      ,-25.33          ,-60.85               ,-10.64                         ,-18.04                    ,6                            ,-22.03          ,-18.12                  ,-34.21       ,-58.67              ,157.25  ,59.59                ,2.28                      ,-32.52  ,5.03                 ,-15.6                        ,-9.56             ,-30.99               ,- -          ,-2.25             ,2300         ,-149.27                         ,-149.27      ,-34.21                     ,-9.26              ,-10.97   ,-280.68            ,7458.66                      ,-61.72        ,-51.16                ,-6.98               ,-56.77     ,-19.1                       ,73.42          ,- -                      ,-48.33                   ,-5.39                          ,-38.66                ,- -                         ,-6.44                          ,211.63         ,106.05         ,-1022.7                     ,150.5                          ,-203.33             ,-38.66               ,13.66          ,-16.48               ,118.85                  ,-0.2458448365009097
 2 ,2012 ,-4.08                    ,-7.69           ,27.07        ,-22.61                     ,- -                    ,78.71                   ,-46.47                      ,138.48        ,188.38                      ,-7.85                     ,212.97            ,-8.11                       ,213.85              ,55.52  ,62.14             ,78.71  ,78.71  ,32.48            ,86.32                ,200.66            ,-9.37              ,54.69              ,-29.17               ,-13.73                         ,-13.73                  ,17.49                   ,100         ,0.3             ,11.4                 ,31.76                          ,20.76                     ,-18.49                       ,-1.3            ,6.13                    ,7.31         ,139.78              ,14.65   ,-36.44               ,8.41                      ,39.21   ,0.39                 ,17.44                        ,13.99             ,2.86                 ,- -          ,9.25              ,-8.33        ,64.53                           ,64.53        ,7.31                       ,-6.88              ,37.6     ,-16.37             ,25.93                        ,2.77          ,-34.19                ,5.83                ,188.38     ,-29.17                      ,-33.87         ,- -                      ,-320.97                  ,-9.18                          ,168.48                ,-542.86                     ,136.84                         ,42.54          ,152.82         ,-25.75                      ,-66.43                         ,-96.53              ,168.48               ,-64.06         ,-8.37                ,-68.51                  ,0.16085645131392035
 3 ,2013 ,8.21                     ,8.15            ,8.62         ,11.51                      ,- -                    ,5.11                    ,- -                         ,5.65          ,9.63                        ,-5.46                     ,15.96             ,-5.98                       ,16.6                ,7.01   ,-1.11             ,5.11   ,5.11   ,0.38             ,-2.87                ,1.31              ,11.73              ,8.54               ,24.51                ,43.18                          ,43.18                   ,5.16                    ,- -         ,106.53          ,29.02                ,0.26                           ,-3.24                     ,2.78                         ,0.45            ,0.49                    ,7.13         ,52.44               ,-98.53  ,-36.69               ,-3.53                     ,24.49   ,2.62                 ,14.01                        ,7.63              ,5.06                 ,- -          ,9.35              ,- -          ,10.12                           ,10.12        ,7.13                       ,-4.15              ,6.32     ,-3.45              ,-5.05                        ,33.74         ,17.82                 ,-3.15               ,9.63       ,24.51                       ,-25.61         ,23.4                     ,-136.5                   ,15.27                          ,-48.26                ,-141.94                     ,-11.28                         ,2.62           ,-41.43         ,-34.27                      ,39.47                          ,-371.43             ,-48.26               ,161.87         ,42.31                ,5.14                    ,0.048328316166954544
 4 ,2014 ,7.92                     ,7.35            ,11.45        ,1.54                       ,- -                    ,17.31                   ,-21.98                      ,21.29         ,20.29                       ,-4.95                     ,26.55             ,-5.18                       ,26.85               ,17.22  ,8.62              ,17.31  ,17.31  ,3.28             ,8.7                  ,11.46             ,7.48               ,19.7               ,16.54                ,-17.46                         ,-17.46                  ,1.76                    ,- -         ,-41.67          ,-15.4                ,-5.38                          ,-2.86                     ,0.9                          ,13.21           ,6.79                    ,0.57         ,1.7                 ,5300    ,1.65                 ,13.57                     ,9.53    ,6.74                 ,8.33                         ,10.04             ,3.16                 ,- -          ,11.7              ,59.09        ,55.48                           ,55.48        ,0.57                       ,-6.68              ,21.14    ,-22.08             ,35.66                        ,-25.51        ,-7.31                 ,0.41                ,20.29      ,16.54                       ,31.45          ,-6.03                    ,-340                     ,7.37                           ,33.33                 ,- -                         ,-39.69                         ,13.78          ,-4.12          ,109.76                      ,60.03                          ,-157.89             ,33.33                ,-4.47          ,34.13                ,-10.74                  ,0.48652618082657817
 5 ,2015 ,5.0                      ,4.51            ,7.99         ,-3.79                      ,- -                    ,16.48                   ,33.8                        ,15.35         ,14.08                       ,-7.8                      ,23.72             ,-8.09                       ,24.11               ,13.93  ,8.5               ,16.48  ,16.48  ,2.84             ,10.93                ,8.64              ,1.71               ,23.05              ,-6.08                ,-7.69                          ,-7.69                   ,0.27                    ,- -         ,-54.43          ,-14.04               ,-29.52                         ,-19.01                    ,-26.34                       ,-0.99           ,-10.05                  ,-10.99       ,-2.75               ,-7.41   ,40.62                ,6.42                      ,10.44   ,3.3                  ,7.41                         ,7.07              ,0.68                 ,- -          ,13.81             ,180          ,63.18                           ,63.18        ,-10.99                     ,-7.83              ,9.38     ,-32.97             ,67.48                        ,-19.22        ,-7.83                 ,3.24                ,14.08      ,-6.08                       ,25.96          ,3.67                     ,-65.83                   ,23.77                          ,-10.5                 ,-275.38                     ,-217.25                        ,13.45          ,3.34           ,40.92                       ,102.57                         ,-63.64              ,-10.5                ,45.59          ,-30.46               ,8.5                     ,-0.12289204991213443
 6 ,2016 ,6.36                     ,3.01            ,25.86        ,17.19                      ,- -                    ,34.07                   ,501.05                      ,-1.27         ,-5.94                       ,8.83                      ,-13.57            ,6.63                        ,-11.79              ,32.24  ,24.33             ,34.07  ,34.07  ,18.34            ,26.06                ,-11.56            ,-40.13             ,35.83              ,14.39                ,793.75                         ,793.75                  ,53.67                   ,- -         ,342.16          ,143.57               ,126.92                         ,72.38                     ,341.21                       ,405.31          ,342.08                  ,296.91       ,50.03               ,3       ,96.01                ,59.2                      ,115.31  ,106.65               ,111.77                       ,94.2              ,105.7                ,- -          ,33.27             ,153.57       ,-249.22                         ,-249.22      ,296.91                     ,50.3               ,90.68    ,-227.78            ,-2.44                        ,52.99         ,46.98                 ,77.65               ,-5.94      ,14.39                       ,35.84          ,87.61                    ,158.54                   ,6.86                           ,-34.51                ,- -                         ,-739.24                        ,47.83          ,339.23         ,-71.55                      ,-179.21                        ,-9725               ,-34.51               ,23.05          ,33.9                 ,13.61                   ,0.15835553156465942
 7 ,2017 ,32.74                    ,30.66           ,42.7         ,23.96                      ,- -                    ,47.13                   ,-155.87                     ,140.68        ,80.57                       ,28.98                     ,40                ,30.59                       ,38.27               ,49.42  ,12.56             ,47.13  ,47.13  ,7.5              ,10.83                ,36.03             ,69.87              ,-0.08              ,75.47                ,-55.36                         ,-55.36                  ,16.4                    ,- -         ,-53.06          ,-18.72               ,-23.21                         ,-12.95                    ,0.82                         ,4.93            ,1.62                    ,-1.22        ,10.63               ,28.8    ,13.67                ,12.82                     ,-4.36   ,21.66                ,6.02                         ,7.88              ,-0.65                ,- -          ,11.4              ,-96.58       ,-33.13                          ,-33.13       ,-1.22                      ,-6.97              ,2.71     ,53.6               ,46.86                        ,-27.96        ,12.21                 ,-21.85              ,80.57      ,75.47                       ,-31.53         ,-14.62                   ,-71.7                    ,37.55                          ,53.76                 ,- -                         ,-151.62                        ,28.88          ,-97.9          ,463.11                      ,-360.25                        ,-159.48             ,53.76                ,34.18          ,52.61                ,-23.82                  ,0.46817058733065964
 8 ,2018 ,1.5                      ,2.67            ,-3.65        ,0.65                       ,- -                    ,-5.33                   ,-155.17                     ,-21.36        ,30.71                       ,-6.69                     ,40.08             ,-6.76                       ,40.19               ,-4.66  ,-6.06             ,-5.33  ,-5.33  ,-5.07            ,-6.73                ,28.78             ,2.07               ,20.73              ,1.79                 ,-17.49                         ,-17.49                  ,8.11                    ,- -         ,-33.07          ,-1.24                ,9.09                           ,20.17                     ,-0.27                        ,-1.49           ,-0.55                   ,-0.63        ,-6.48               ,109.3   ,19.24                ,10.85                     ,8.6     ,-1.47                ,3.99                         ,5.96              ,0.76                 ,- -          ,24.03             ,2200         ,-37.88                          ,-37.88       ,-0.63                      ,-5.36              ,14.97    ,85.09              ,4.12                         ,-10.91        ,17.66                 ,-0.56               ,30.71      ,1.79                        ,-53.37         ,1.66                     ,153.33                   ,5.84                           ,29.6                  ,- -                         ,-104.29                        ,12.66          ,2643.33        ,-5.35                       ,-39.07                         ,-84.93              ,29.6                 ,0.17           ,-32.99               ,-19.03                  ,-0.12810210930647525
 9 ,2019 ,1.03                     ,3.93            ,-12.44       ,1.19                       ,- -                    ,-23.13                  ,92.61                       ,-31.81        ,-33.25                      ,-4.97                     ,-29.75            ,-5.28                       ,-29.53              ,-16.54 ,-17.39            ,-23.13 ,-23.13 ,-13.33           ,-23.91               ,-33.93            ,2.19               ,18.6               ,41.9                 ,-28.8                          ,-28.8                   ,12.28                   ,- -         ,97.28           ,15.56                ,42.74                          ,17.85                     ,-21.17                       ,1.38            ,4.45                    ,5.72         ,11.93               ,17.29   ,-10.72               ,3.73                      ,27.38   ,4.69                 ,17.54                        ,13.4              ,-0.24                ,- -          ,7.37              ,-7.67        ,-68.4                           ,-68.4        ,5.72                       ,-4.46              ,18.65    ,275.52             ,-4.68                        ,11.4          ,23.42                 ,-1.14               ,-33.25     ,41.9                        ,16.53          ,1.63                     ,259.21                   ,-28.51                         ,17.45                 ,- -                         ,446.15                         ,12.71          ,-15.13         ,-20.84                      ,-36.48                         ,55.07               ,17.45                ,-42.7          ,66.36                ,7.09                    ,0.12610531940601155
