   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,5.85                     ,3.47            ,9.62         ,4.44                       ,- -                    ,10.65                   ,71.36                       ,7.91          ,8.69                        ,-2.4                      ,11.36             ,-2.45                       ,11.41               ,9.78   ,3.72              ,10.65 ,10.65 ,3.56             ,4.54                 ,2.68              ,1.88               ,             10.37 ,4.93                 ,32.91                          ,32.91                   ,11.19                   ,3.48        ,52.63           ,27.87                ,2.46                           ,3.12                      ,10.11                        ,3.6             ,2.98                    ,5.79         ,-1.82               ,-54.14  ,- -                  ,-2.14                     ,8.87    ,10.5                 ,9.2                          ,7.1               ,                7.03 ,- -          ,             8.13 ,0.74         ,4.28                            ,4.28         ,5.79                       ,-2.15              ,3.82     ,-0.43              ,-1.83                        ,30.67         ,26.8                  ,3.9                 ,8.69       ,4.93                        ,-232.53        ,-26.4                    ,-175.44                  ,10.27                          ,9.4                   ,- -                         ,24.21                          ,7.72           ,65.21          ,-3.54                       ,-15.66                         ,-271.2              ,9.4                  ,10.72          ,7.99                 ,1.46                    ,0.14160100956941468
 1 ,2011 ,12.18                    ,13.04           ,10.89        ,2.59                       ,- -                    ,13.64                   ,2.33                        ,14.46         ,11.26                       ,-3.18                     ,14.91             ,-3.28                       ,15.03               ,13.24  ,0.95              ,13.64 ,13.64 ,-1.15            ,1.31                 ,-0.82             ,6.83               ,             11.93 ,10.88                ,-2.15                          ,-2.15                   ,13.2                    ,6.28        ,-11.08          ,0.79                 ,3.51                           ,3.64                      ,6.87                         ,2.72            ,3.55                    ,3.17         ,-38.97              ,4316.87 ,- -                  ,19.98                     ,5.54    ,1.28                 ,4.68                         ,7.26              ,                5.58 ,- -          ,             8.56 ,-40.27       ,-1.67                           ,-1.67        ,3.17                       ,-3.06              ,11.48    ,13.37              ,-5.63                        ,-16           ,-43.47                ,5                   ,11.26      ,10.88                       ,-22.61         ,3.73                     ,-131.01                  ,12.75                          ,27.83                 ,- -                         ,25.04                          ,8.37           ,-29.22         ,24.63                       ,21.57                          ,-91.7               ,27.83                ,5.09           ,8.65                 ,1.34                    ,0.3466387853473263
 2 ,2012 ,2.08                     ,2.64            ,1.21         ,2.57                       ,- -                    ,-1.93                   ,-45.07                      ,0.83          ,-0.7                        ,-2.13                     ,1.47              ,-2.36                       ,1.71                ,-0.92  ,-2.93             ,-1.93 ,-1.93 ,-0.85            ,-3.93                ,-2.72             ,-2.56              ,             13.41 ,5.19                 ,0.02                           ,0.02                    ,3.04                    ,4.2         ,76.84           ,11.79                ,8.07                           ,7.7                       ,-3.26                        ,1.88            ,6.57                    ,7.26         ,91.21               ,- -     ,- -                  ,-3.02                     ,12.35   ,3.4                  ,10.6                         ,8.03              ,                5.3  ,- -          ,             7    ,77.1         ,6.28                            ,6.28         ,7.26                       ,-1.83              ,11.13    ,4.57               ,-0.92                        ,15.28         ,-75.69                ,4.76                ,-0.7       ,5.19                        ,-29.22         ,8.35                     ,-407.75                  ,-2.57                          ,11.7                  ,- -                         ,23.2                           ,10.99          ,67.11          ,-22.24                      ,-15.07                         ,-210.39             ,11.7                 ,-11.39         ,-16.16               ,-1.89                   ,-0.22665348709426159
 3 ,2013 ,1.95                     ,2.7             ,0.8          ,-2.83                      ,- -                    ,1.87                    ,10.81                       ,1.55          ,2.22                        ,-1.16                     ,3.41              ,-1.39                       ,3.66                ,2.56   ,0.6               ,1.87  ,1.87  ,-1.13            ,-0.09                ,0.26              ,1.95               ,              8.79 ,6.49                 ,19.8                           ,19.8                    ,-4.04                   ,1.64        ,-25.81          ,2.6                  ,4.34                           ,4.84                      ,-12.42                       ,4.84            ,3.65                    ,3.5          ,-6.85               ,- -     ,- -                  ,-6.85                     ,3.65    ,8.49                 ,4.53                         ,2.61              ,                3.71 ,- -          ,             6.3  ,-46.31       ,4.68                            ,4.68         ,3.5                        ,-1.23              ,0.31     ,-4.18              ,1.53                         ,10.15         ,48.98                 ,- -                 ,2.22       ,6.49                        ,3.83           ,-4.6                     ,55.48                    ,2.22                           ,-7.36                 ,- -                         ,-15.58                         ,7.53           ,-37.98         ,-32.02                      ,5.02                           ,-891.96             ,-7.36                ,9.68           ,10.13                ,- -                     ,-0.1600643927916896
 4 ,2014 ,-2.36                    ,-1.26           ,-4.1         ,4.29                       ,- -                    ,-6.45                   ,90.6                        ,-10.15        ,-14.82                      ,-1.79                     ,-13.27            ,-1.96                       ,-13.12              ,-4.85  ,-2.55             ,-6.45 ,-6.45 ,-1.78            ,-4.18                ,-12.76            ,2.29               ,              5.14 ,3.75                 ,-25.75                         ,-25.75                  ,-7.99                   ,-11.08      ,-3.06           ,-17.12               ,-4.62                          ,-3.05                     ,-16.92                       ,-1.86           ,-4.69                   ,-6.4         ,-13.32              ,- -     ,- -                  ,-13.32                    ,6.09    ,11.26                ,7.07                         ,3.94              ,                4.08 ,- -          ,             3.7  ,-455.4       ,-19.71                          ,-19.71       ,-6.4                       ,-2.78              ,13.95    ,41.93              ,-17.59                       ,-4.39         ,-55.74                ,-4.55               ,-14.82     ,3.75                        ,177.53         ,26.6                     ,-66.77                   ,-5.48                          ,-8.54                 ,- -                         ,-13.8                          ,3.26           ,8.71           ,79.92                       ,14.23                          ,-147.76             ,-8.54                ,-3.47          ,1.24                 ,10.97                   ,-0.11492038241557156
 5 ,2015 ,-7.39                    ,-8.02           ,-6.37        ,-2.15                      ,- -                    ,-7.69                   ,34.14                       ,-11.07        ,-4.8                        ,-4.19                     ,-0.64             ,-4.23                       ,-0.6                ,-7.3   ,0.1               ,-7.69 ,-7.69 ,1.1              ,-0.32                ,2.8               ,-7.39              ,              4.84 ,-5.4                 ,269.87                         ,269.87                  ,6.94                    ,-9          ,-28.66          ,130.39               ,-5.86                          ,-3.66                     ,-21.09                       ,-3.28           ,-5.98                   ,10.67        ,7.37                ,- -     ,- -                  ,7.37                      ,60.92   ,2.38                 ,49.36                        ,43.97             ,                4.7  ,- -          ,             3    ,89.5         ,-44.86                          ,-44.86       ,10.67                      ,-5.83              ,27.3     ,130.85             ,-59.76                       ,114.58        ,-114.39               ,- -                 ,-4.8       ,-5.4                        ,-26.92         ,-2.48                    ,-363.99                  ,-2.84                          ,-29.79                ,- -                         ,-38.39                         ,0.44           ,563.38         ,90.68                       ,-115.92                        ,-3134.94            ,-29.79               ,13.95          ,35.34                ,2.06                    ,0.3115567545441218
 6 ,2016 ,-3.11                    ,-7.72           ,4.24         ,-2.05                      ,- -                    ,6.33                    ,19.39                       ,4.73          ,3.47                        ,-9.05                     ,13.76             ,-8.83                       ,13.49               ,4.78   ,8.15              ,6.33  ,6.33  ,7.59             ,9.74                 ,6.8               ,8.51               ,              4.09 ,-2.52                ,-84.08                         ,-84.08                  ,13.51                   ,-41.16      ,274.48          ,-49.72               ,-8.05                          ,-8.62                     ,-8.43                        ,-4.41           ,-7.49                   ,-18.23       ,-8.61               ,-78.94  ,-49.02               ,17.55                     ,7.28    ,2.73                 ,6.66                         ,7.71              ,                3.43 ,- -          ,             3.65 ,7.4          ,-131.1                          ,-131.1       ,-18.23                     ,-9.73              ,50.47    ,-583.84            ,-222.65                      ,-57.23        ,729.11                ,-10.71              ,3.47       ,-2.52                       ,-208.46        ,19.36                    ,-0.54                    ,-7.33                          ,0.4                   ,- -                         ,-30.87                         ,-5.33          ,-63.02         ,83.16                       ,-1631.67                       ,-205.64             ,0.4                  ,-10.3          ,-0.14                ,-10.44                  ,-0.033289174921109055
 7 ,2017 ,-7.32                    ,-15.38          ,4.08         ,-6.42                      ,- -                    ,7.28                    ,-119.28                     ,24.87         ,10.79                       ,-5.5                      ,17.24             ,-5.31                       ,17                  ,4.46   ,12.7              ,7.28  ,7.28  ,12.29            ,15.75                ,19.54             ,47.9               ,              6.89 ,-10.1                ,101.39                         ,101.39                  ,34.06                   ,-0.17       ,-60.41          ,9.87                 ,5.6                            ,6.34                      ,49.57                        ,17.91           ,8.79                    ,8.96         ,7.21                ,- -     ,- -                  ,-16.66                    ,14.13   ,19.67                ,14.86                        ,11.57             ,                4.64 ,- -          ,             4.55 ,-29.57       ,48.26                           ,48.26        ,8.96                       ,-2.99              ,9.46     ,-26.17             ,13.55                        ,31.83         ,125.87                ,-37.33              ,10.79      ,-10.1                       ,-92.27         ,-10.51                   ,-687.13                  ,-8.39                          ,1.79                  ,- -                         ,-157.25                        ,1.01           ,25.08          ,-58.05                      ,-52.84                         ,-112.97             ,1.79                 ,-12.76         ,41.97                ,-17.31                  ,0.2563034064206675
 8 ,2018 ,-7.87                    ,-16.07          ,1.56         ,-1.39                      ,- -                    ,2.34                    ,-518.32                     ,-8.83         ,14.1                        ,-3.62                     ,18.38             ,-3.67                       ,18.44               ,3.23   ,12.04             ,2.34  ,2.34  ,10.23            ,11.08                ,23.84             ,3.1                ,              9.35 ,8.7                  ,-64.85                         ,-64.85                  ,23.55                   ,-13.1       ,-16.15          ,-23.92               ,-62.17                         ,-37.63                    ,10.79                        ,285.7           ,0.99                    ,-2.94        ,2.87                ,- -     ,- -                  ,2.87                      ,5.21    ,8.1                  ,5.6                          ,5.39              ,                4.28 ,- -          ,             4.47 ,19.79        ,91.51                           ,91.51        ,-2.94                      ,-3.4               ,11.59    ,-41.73             ,56.81                        ,-26.04        ,-46.23                ,-10.64              ,14.1       ,8.7                         ,-237.92        ,6.47                     ,-51.79                   ,25.5                           ,47.9                  ,- -                         ,-536.85                        ,5.4            ,-19.74         ,11.14                       ,12.03                          ,-279.21             ,47.9                 ,14.27          ,-25.26               ,9.99                    ,0.12016375850057803
 9 ,2019 ,0.24                     ,-2.72           ,3.05         ,1.33                       ,- -                    ,3.5                     ,12.75                       ,2.58          ,1.71                        ,-2.58                     ,4.4               ,-2.63                       ,4.46                ,4.33   ,4.08              ,3.5   ,3.5   ,2.8              ,3.24                 ,1.46              ,2.69               ,             12.93 ,9.17                 ,3.75                           ,3.75                    ,-8.9                    ,-1.76       ,-44.57          ,-12.22               ,165.32                         ,63.82                     ,5.61                         ,5.71            ,52.84                   ,44.8         ,-1.1                ,780.96  ,- -                  ,21.78                     ,50.85   ,4.05                 ,44.34                        ,42.62             ,                3.76 ,- -          ,             4.84 ,-4.86        ,31.19                           ,31.19        ,44.8                       ,-2.71              ,10.16    ,-16.03             ,-13.83                       ,-27.92        ,-10.88                ,-2.38               ,1.71       ,9.17                        ,444.71         ,-12.39                   ,-163.15                  ,16.58                          ,-12.69                ,- -                         ,25.09                          ,10.01          ,18.57          ,-4.45                       ,-16.05                         ,-103.91             ,-12.69               ,35.58          ,0.54                 ,14.63                   ,-0.1490658715850961
