   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,13.06                    ,13.6            ,12.84        ,                     18.62 ,- -                    ,9.63                    ,-0.51                       ,10.55         ,26.11                       ,-0.47                     ,26.91             ,-0.5                        ,26.96               ,9.11   ,-3.49             ,9.63   ,9.63   ,-0.2             ,-3.04                ,11.72             ,0.5                ,              0.88 ,3.43                 ,38.93                          ,39.19                   ,11.82                   ,- -         ,105.95          ,32.59                ,8.98                           ,                    13.61 ,1.32                         ,27.02           ,20.89                   ,26.81        ,11.07               ,-97.47  ,20.98                ,-24.45                    ,64.61   ,9.62                 ,39.72                        ,9.21              ,0.1                  ,- -          ,12.23             ,-18.93       ,-48.93                          ,-49.94       ,26.81                      ,-2.56              ,-19.42   ,60.97              ,-27.81                       ,75.5          ,-5.38                 ,12.5                ,26.11      ,3.43                        ,-43.4          ,-1.39                    ,-66.63                   ,1.48                           ,-12.9                 ,-45.45                      ,143.92                         ,          0.41 ,-77.91         ,- -                         ,-30.82                         ,-8.95               ,-12.9                ,3.83           ,-3                   ,-19.67                  ,-0.12019554183198333
 1 ,2011 ,12.24                    ,13.01           ,11.91        ,                      7.07 ,- -                    ,15.77                   ,-5.98                       ,17.55         ,12.58                       ,-3.7                      ,16.85             ,-3.04                       ,16.06               ,16.06  ,3.41              ,15.77  ,15.77  ,-0.29            ,3.15                 ,0.25              ,-17.2              ,             27.44 ,19.46                ,15.25                          ,15.22                   ,-1.55                   ,- -         ,-7.74           ,6.06                 ,2.35                           ,                    12.48 ,20.78                        ,28.39           ,21.25                   ,13.22        ,-20.27              ,530.97  ,37.11                ,21.44                     ,-4.54   ,-1.34                ,-3.41                        ,4.77              ,0.76                 ,- -          ,11.77             ,221.86       ,-45.41                          ,-67.19       ,13.22                      ,-3.62              ,-16.59   ,154.25             ,2.65                         ,-12.66        ,-9.43                 ,35.56               ,12.58      ,19.46                       ,36.41          ,0.18                     ,168.5                    ,22.96                          ,-14.3                 ,100                         ,16.96                          ,         22.72 ,- -            ,49.28                       ,73.1                           ,-35.59              ,-14.3                ,28.09          ,5.05                 ,9.27                    ,0.28944431939737614
 2 ,2012 ,19.71                    ,16.31           ,21.17        ,                     19.47 ,- -                    ,23.2                    ,42.55                       ,21.93         ,21.06                       ,-1.37                     ,22.43             ,-1.22                       ,22.25               ,22.78  ,2.56              ,23.2   ,23.2   ,1.22             ,2.91                 ,0.87              ,7.39               ,             19.82 ,18.06                ,128.87                         ,130.97                  ,26.95                   ,- -         ,-18.27          ,77.32                ,-6.03                          ,                     6.22 ,2.96                         ,0.19            ,-1.14                   ,37.72        ,6.23                ,-10.52  ,2.67                 ,2.72                      ,37.09   ,7.82                 ,26.47                        ,17.42             ,-7.39                ,- -          ,12.86             ,-23.63       ,-327.93                         ,-578.96      ,37.72                      ,0.37               ,-117.4   ,-96.37             ,-74.63                       ,72.61         ,-5.02                 ,11.48               ,21.06      ,18.06                       ,58.46          ,13.76                    ,-158.56                  ,2.46                           ,-33.53                ,-29.17                      ,-81.24                         ,         18.18 ,-83.35         ,-41.13                      ,-148.5                         ,726.69              ,-33.53               ,5.78           ,44.03                ,-15.15                  ,0.3841632640202708
 3 ,2013 ,8.87                     ,3.45            ,11.1         ,                      9.29 ,- -                    ,13.73                   ,7.78                        ,14.19         ,16.61                       ,-1.7                      ,18.61             ,-1.37                       ,18.21               ,12.65  ,3.47              ,13.73  ,13.73  ,2.05             ,4.47                 ,7.09              ,-11.87             ,             40.36 ,-0.11                ,18.78                          ,9.35                    ,11.64                   ,- -         ,28.87           ,17.54                ,-9.25                          ,                     5.31 ,-2.09                        ,1.86            ,-0.62                   ,10.96        ,16.19               ,- -     ,-1.01                ,-2.03                     ,30.76   ,0.61                 ,21.43                        ,13.61             ,11.04                ,- -          ,12.49             ,-33.5        ,-12.51                          ,-8.74        ,10.96                      ,-4.16              ,-316.51  ,-337.25            ,2.64                         ,19.97         ,10.01                 ,23.53               ,16.61      ,-0.11                       ,-121.47        ,4.03                     ,-165.44                  ,12.6                           ,-6                    ,9835.29                     ,421.71                         ,         37.97 ,0.22           ,354.5                       ,-346.2                         ,-82.97              ,-6                   ,13.67          ,39.87                ,-3.43                   ,0.28617746072676287
 4 ,2014 ,12.17                    ,13.12           ,11.81        ,                      5.74 ,- -                    ,15.29                   ,-118.34                     ,24.95         ,23.3                        ,-3.97                     ,27.97             ,-3.94                       ,27.93               ,14.39  ,1.98              ,15.29  ,15.29  ,-0.32            ,2.78                 ,9.56              ,-4.82              ,             24.55 ,2.36                 ,-20.35                         ,-36.47                  ,14.15                   ,- -         ,28.58           ,-9.51                ,8.47                           ,                    15.19 ,85.6                         ,45.1            ,39                      ,6.23         ,0.81                ,- -     ,7                    ,5.12                      ,21.2    ,21.41                ,21.25                        ,16.61             ,-5.35                ,- -          ,14                ,330.77       ,-155.73                         ,-89.97       ,6.23                       ,-4.49              ,628.36   ,7164.92            ,206.44                       ,-13.92        ,0.49                  ,17.86               ,23.3       ,2.36                        ,218.23         ,19.82                    ,-171.35                  ,9.91                           ,76.36                 ,48.37                       ,115.69                         ,         19.61 ,50.38          ,36.66                       ,113.41                         ,-467.73             ,76.36                ,6.73           ,5.74                 ,-10.57                  ,0.12285361911064396
 5 ,2015 ,4.5                      ,4.94            ,4.33         ,                      5.98 ,- -                    ,2.37                    ,-746.45                     ,-5.57         ,-5.61                       ,-5.03                     ,0.25              ,-5.26                       ,0.5                 ,3.39   ,-1.07             ,2.37   ,2.37   ,-0.16            ,-2.04                ,-8.9              ,-0.52              ,             21.4  ,18.72                ,33.06                          ,44.11                   ,1.21                    ,- -         ,-3.47           ,20.72                ,1.36                           ,                     9.49 ,20.26                        ,-8.75           ,-6.19                   ,9.3          ,8.41                ,- -     ,-1.25                ,1.57                      ,32.71   ,-4.8                 ,23.09                        ,17.51             ,17.4                 ,- -          ,11                ,44.35        ,200.85                          ,-876.22      ,9.3                        ,-4.06              ,22.25    ,-115.75            ,4.84                         ,18.86         ,1.86                  ,5.05                ,-5.61      ,18.72                       ,-271.7         ,8.46                     ,-242.13                  ,17.62                          ,19.3                  ,-101.84                     ,-83.71                         ,         15.3  ,14.06          ,-10.03                      ,-52.51                         ,-198.33             ,19.3                 ,17.49          ,-16.55               ,23.55                   ,0.06824419979296281
 6 ,2016 ,3.44                     ,4.44            ,3.05         ,                      1.07 ,- -                    ,3.28                    ,868.36                      ,-59.55        ,-70.96                      ,-3.7                      ,-70.59            ,-3.93                       ,-70.52              ,3.87   ,0.42              ,3.28   ,3.28   ,-0.38            ,-0.15                ,-72.62            ,1.48               ,              8.8  ,11.63                ,-0.33                          ,16.73                   ,10.65                   ,- -         ,-32.6           ,0.31                 ,6.36                           ,                    11.64 ,-29.51                       ,14.93           ,11.52                   ,4.4          ,229.27              ,370.22  ,4.88                 ,99.28                     ,-9.39   ,3.17                 ,-6.9                         ,16.9              ,5.7                  ,- -          ,-0.3              ,7.48         ,116.81                          ,208.5        ,4.4                        ,-2.74              ,-19.2    ,-73.81             ,39.4                         ,-49.66        ,1                     ,1.92                ,-70.96     ,11.63                       ,-194.24        ,12.5                     ,2531.3                   ,5.1                            ,29.44                 ,6345.65                     ,-210.87                        ,          4.78 ,- -            ,-32.72                      ,106.31                         ,-47                 ,29.44                ,3.15           ,-15.53               ,271.08                  ,-0.14097647627281928
 7 ,2017 ,16.64                    ,19.26           ,15.61        ,                      5.88 ,- -                    ,20.66                   ,-94.13                      ,220.25        ,265.48                      ,-0.83                     ,278.61            ,-0.61                       ,277.79              ,20.97  ,3.71              ,20.66  ,20.66  ,-0.89            ,3.44                 ,221.9             ,3.03               ,              2.57 ,24.7                 ,-46.82                         ,-47.77                  ,29.28                   ,- -         ,77.63           ,-20.67               ,-0.25                          ,                    11.91 ,105.42                       ,229.56          ,189.92                  ,61.32        ,-62.7               ,43.13   ,32.69                ,-15.03                    ,66.87   ,77.75                ,69.26                        ,37.05             ,10.69                ,- -          ,11.61             ,-52.81       ,-73.25                          ,-88.82       ,61.32                      ,0.14               ,240.75   ,2946.63            ,192.55                       ,-6.64         ,5.63                  ,13.21               ,265.48     ,24.7                        ,-142.92        ,25.38                    ,-147.48                  ,-40.04                         ,-21.01                ,-38.62                      ,-3452.94                       ,          1.72 ,384.17         ,-72.93                      ,-253.42                        ,-434.59             ,-21.01               ,-41.96         ,152.38               ,-84.03                  ,0.39110885653895133
 8 ,2018 ,5.69                     ,2.47            ,6.99         ,                      9.53 ,- -                    ,4.39                    ,343.86                      ,-6.44         ,30.95                       ,0.26                      ,30.53             ,0.1                         ,30.73               ,5.74   ,0.06              ,4.39   ,4.39   ,1.24             ,-1.22                ,23.83             ,-2.44              ,             15.9  ,21.52                ,53.64                          ,57.26                   ,12.19                   ,- -         ,12.75           ,31.25                ,-1.57                          ,                     7.65 ,1.49                         ,2.31            ,2.09                    ,10.84        ,8.94                ,4.8     ,-2.27                ,1.73                      ,2.25    ,0.67                 ,1.88                         ,1.85              ,13.53                ,-11.76       ,15.12             ,147.39       ,-240.07                         ,-670.93      ,10.84                      ,0.17               ,-10.7    ,-115.64            ,-34.49                       ,29.02         ,14.37                 ,8.33                ,30.95      ,21.52                       ,-22.5          ,5.69                     ,-81.82                   ,93.51                          ,- -                   ,-117.58                     ,-88.13                         ,         16.21 ,-49.65         ,1.5                         ,-125.75                        ,-160.38             ,- -                  ,106.33         ,-48.3                ,47.87                   ,0.021340451638467983
 9 ,2019 ,8.69                     ,11.32           ,7.66         ,                      8.06 ,- -                    ,7.79                    ,4.74                        ,8.25          ,8.26                        ,-1.2                      ,9.87              ,-1.44                       ,10.14               ,7.46   ,-1.13             ,7.79   ,7.79   ,-0.94            ,-0.82                ,-0.13             ,28.45              ,             13.53 ,4.17                 ,6.16                           ,8.72                    ,10.26                   ,- -         ,17.02           ,8.62                 ,133.75                         ,                    42.97 ,3.25                         ,0.26            ,7.28                    ,7.76         ,4.54                ,-80.22  ,13.22                ,-8.91                     ,16.07   ,-6.15                ,11                           ,6.29              ,6.79                 ,- -          ,12.36             ,3.05         ,33.33                           ,27.59        ,7.76                       ,-1.89              ,-6.06    ,-26.38             ,-22.6                        ,19.24         ,1                     ,-15.38              ,8.26       ,4.17                        ,422.58         ,4.62                     ,41.46                    ,14.65                          ,-24.18                ,-228.12                     ,-108.87                        ,         12.17 ,2.98           ,388.18                      ,279.37                         ,-76.98              ,-24.18               ,17.23          ,48.22                ,5.62                    ,0.4238199885593259
