   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,21.84                    ,21.4            ,22.62        ,31.76                      ,- -                    ,3.77                    ,72.55                       ,-15.05        ,-17.6                       ,16.04                     ,17.36             ,15.75                       ,17.65               ,11.19  ,-8.74             ,8.33   ,3.77   ,0.64             ,-14.83               ,11.77             ,-6.94              ,9.49               ,711.54               ,18.09                          ,18.09                   ,25.82                   ,40.66       ,36.93           ,30.25                ,28.98                          ,18.57                     ,- -                          ,49.83           ,45.72                   ,42.83        ,43.63               ,93.06   ,24.07                ,36.28                     ,49.02   ,49.89                ,49.35                        ,45.67             ,32.27                ,- -          ,13.55             ,-1.64        ,38.48                           ,38.39        ,42.83                      ,0.75               ,55.39    ,12.28              ,33.91                        ,-4.43         ,-4.03                 ,30.93               ,36.69      ,54.67                       ,-258.1         ,6.1                      ,-266.4                   ,-26.28                         ,24.89                 ,- -                         ,502.26                         ,27.04          ,314333.33      ,- -                         ,-233.67                        ,-33.43              ,24.89                ,-44.41         ,57.58                ,-45.86                  ,0.07608723262724015
 1 ,2011 ,10.48                    ,12.92           ,6.22         ,1.16                       ,- -                    ,17.37                   ,-7.21                       ,31.03         ,42.16                       ,2.92                      ,-16.7             ,3.02                        ,-16.78              ,14.48  ,3.62              ,14.72  ,17.37  ,-3.86            ,6.23                 ,-22.4             ,11.36              ,-8.73              ,6.64                 ,-20.44                         ,-20.44                  ,-2.72                   ,7.46        ,14.28           ,-0.12                ,0.15                           ,3.92                      ,- -                          ,-2.23           ,-1.81                   ,-1.52        ,55.07               ,105.68  ,-25.82               ,17.78                     ,-14.01  ,0.84                 ,-8.29                        ,-1.41             ,0.28                 ,- -          ,8.38              ,70.62        ,-1.72                           ,-1.71        ,-1.52                      ,1.13               ,-4.9     ,-3.25              ,-2.23                        ,-15.2         ,-2.53                 ,-0.79               ,-14.3      ,3.12                        ,-43.28         ,4.02                     ,-93.43                   ,20.6                           ,6.62                  ,- -                         ,-76.84                         ,-6.07          ,-99.62         ,- -                         ,-175.81                        ,-180.8              ,6.62                 ,31.72          ,5.16                 ,40.67                   ,0.22639618199539768
 2 ,2012 ,-35.59                   ,-37.94          ,-31.23       ,-24.42                     ,- -                    ,-44.62                  ,1.65                        ,-62.82        ,-55.82                      ,0.68                      ,-14.73            ,0.96                        ,-14.96              ,-38.19 ,-4.04             ,-39.18 ,-44.62 ,6.77             ,-14.01               ,33.3              ,-26.22             ,0.05               ,-3.56                ,126.7                          ,126.7                   ,-3.65                   ,-34.44      ,-40.91          ,-3.58                ,-27.53                         ,-29.57                    ,- -                          ,-21.9           ,-22.9                   ,-19.56       ,-44.66              ,0.39    ,2.56                 ,-19.37                    ,-32.57  ,-25.3                ,-29.49                       ,-26.3             ,0.73                 ,- -          ,-41.94            ,-60.33       ,-8.52                           ,-8.42        ,-19.56                     ,0.57               ,-40.1    ,-34.59             ,-31.9                        ,19.58         ,14.51                 ,-12.7               ,-13.87     ,-9.43                       ,-244.24        ,-10.5                    ,1517.39                  ,-13.21                         ,-9.09                 ,- -                         ,-2.37                          ,0.73           ,18977.78       ,- -                         ,-106.43                        ,-737.08             ,-9.09                ,-15.86         ,17.32                ,1.09                    ,-0.08353263412365086
 3 ,2013 ,0.81                     ,1.14            ,0.26         ,-5.42                      ,- -                    ,14.42                   ,-4.56                       ,34.84         ,48.82                       ,-0.17                     ,29.51             ,- -                         ,29.29               ,5.23   ,4.38              ,5.47   ,14.42  ,-0.55            ,13.5                 ,28.25             ,3.64               ,-54.1              ,- -                  ,-40.47                         ,-40.47                  ,-11.85                  ,0.05        ,10.1            ,-15.4                ,2.37                           ,4.5                       ,- -                          ,-1.51           ,-0.86                   ,-3.87        ,65.08               ,-31.47  ,-35.83               ,-3.21                     ,-7.01   ,-12.06               ,-9.28                        ,-7.18             ,-0.48                ,- -          ,28.33             ,9.72         ,0.49                            ,0.55         ,-3.87                      ,-4.08              ,-3.3     ,-3.82              ,2.27                         ,-12.6         ,-23.13                ,-2.73               ,28.81      ,-19.93                      ,-47.57         ,-20.99                   ,-195.25                  ,63.4                           ,0.75                  ,- -                         ,-12.09                         ,-54.18         ,-33.36         ,- -                         ,-3357.35                       ,-170.41             ,0.75                 ,107            ,-3.14                ,26.38                   ,0.12120228679859757
 4 ,2014 ,-2.99                    ,-2.44           ,-3.91        ,-2.56                      ,- -                    ,-6.64                   ,-24.26                      ,6.77          ,-5.62                       ,-4.68                     ,-41.48            ,-4.47                       ,-41.6               ,-5.63  ,-2.72             ,-22.47 ,-6.64  ,-0.95            ,-3.77                ,-42.5             ,-0.19              ,7.24               ,388.02               ,-38.78                         ,-38.78                  ,-12.86                  ,-7.03       ,34.28           ,-11.42               ,-4.1                           ,-3.99                     ,- -                          ,-9.2            ,-7.21                   ,-7.97        ,-4.14               ,7.43    ,-7.6                 ,-3                        ,-4.26   ,-0.51                ,-2.63                        ,-2.76             ,0.81                 ,- -          ,8.27              ,153.31       ,-14.28                          ,-14.38       ,-7.97                      ,-2.45              ,4.23     ,21.74              ,14.16                        ,-8.68         ,-38.68                ,-2.8                ,-44.07     ,-1.67                       ,-137.01        ,10.16                    ,-59.92                   ,-44.43                         ,1.23                  ,- -                         ,10.72                          ,2.23           ,11.73          ,-41.38                      ,-59.55                         ,-55.3               ,1.23                 ,-59.9          ,55.36                ,-0.39                   ,-0.06792661131718503
 5 ,2015 ,-13.46                   ,-16.27          ,-8.61        ,-10.41                     ,- -                    ,-4.58                   ,-399.28                     ,208.69        ,231.26                      ,-4.32                     ,247.75            ,-4.21                       ,247.37              ,-6.91  ,7.56              ,13.55  ,-4.58  ,5.6              ,10.26                ,284.47            ,-9.09              ,9.28               ,-82.91               ,14.65                          ,14.65                   ,-18.31                  ,-25.03      ,-66.47          ,-23.48               ,-14.91                         ,-13.94                    ,713.75                       ,-9.96           ,-2.14                   ,-5.88        ,-11.19              ,-70.34  ,-5.97                ,-21.78                    ,4.99    ,-16.47               ,-4.54                        ,-10.73            ,0.34                 ,- -          ,42.47             ,36.46        ,0.94                            ,0.89         ,-5.88                      ,-5.03              ,-10.23   ,-11.02             ,-29.71                       ,-2.17         ,-105.23               ,-4.81               ,231.26     ,-15.58                      ,3996.77        ,-3.55                    ,46.24                    ,4.66                           ,-7.8                  ,- -                         ,-261.33                        ,4.56           ,2.41           ,113.06                      ,118.86                         ,-164.32             ,-7.8                 ,15.31          ,15.97                ,-68.55                  ,0.2610405089030794
 6 ,2016 ,-12.53                   ,-12.85          ,-12.02       ,-13.69                     ,- -                    ,-9.11                   ,-147.41                     ,-81.56        ,-77.11                      ,-3.83                     ,-76.26            ,-3.91                       ,-76.24              ,-8.89  ,4.16              ,-23.62 ,-9.11  ,0.58             ,3.91                 ,-73.9             ,-3.78              ,12.86              ,354.7                ,-6.9                           ,-6.9                    ,-9.78                   ,-5.37       ,26.38           ,-5.34                ,-1.59                          ,0.91                      ,3.68                         ,-2.22           ,-1.53                   ,-2.08        ,8.26                ,373.48  ,-5.2                 ,32                        ,-9.21   ,-6.21                ,-8.04                        ,4.55              ,0.27                 ,- -          ,2.17              ,11.38        ,-10.18                          ,-10.27       ,-2.08                      ,-3.27              ,14.27    ,27.34              ,17.4                         ,-28.28        ,1768.96               ,-9.09               ,-77.11     ,-7.94                       ,-110.87        ,2.94                     ,-133.07                  ,-23.87                         ,-19.15                ,- -                         ,-138.84                        ,8.53           ,37.1           ,-28.19                      ,-68.35                         ,-110.73             ,-19.15               ,-27.1          ,23.32                ,233.46                  ,-0.08969751854451835
 7 ,2017 ,-0.1                     ,0.23            ,-0.62        ,-9.62                      ,- -                    ,16.53                   ,-56.49                      ,114.86        ,75.91                       ,-2.76                     ,81.14             ,-2.67                       ,80.96               ,13.15  ,13.27             ,16.53  ,16.53  ,-0.52            ,16.65                ,76.31             ,8.32               ,12.62              ,-0.85                ,-56.29                         ,-56.29                  ,1.61                    ,3.56        ,-15.5           ,-11.32               ,5.44                           ,6.76                      ,13.61                        ,3.37            ,4.77                    ,2.55         ,5.24                ,17.53   ,9.13                 ,9.54                      ,-1.85   ,-6.17                ,-3.57                        ,1.64              ,0.21                 ,- -          ,7.57              ,-10.11       ,3.78                            ,3.87         ,2.55                       ,-2.63              ,9.27     ,5.2                ,1.83                         ,-19.05        ,32.74                 ,-7.78               ,75.91      ,-0.85                       ,-130.07        ,-2.14                    ,382.04                   ,-8.63                          ,-17.16                ,- -                         ,-70.75                         ,9.51           ,-69.94         ,-16.42                      ,80.5                           ,1916.98             ,-17.16               ,-2.17          ,4.73                 ,-48.13                  ,-0.20997279112192613
 8 ,2018 ,0.16                     ,-1.55           ,2.85         ,9.54                       ,- -                    ,-6.92                   ,0.82                        ,-9.03         ,15.63                       ,-2.71                     ,18.93             ,-2.94                       ,19.21               ,-5.84  ,-6                ,-6.92  ,-6.92  ,2.68             ,-7.07                ,15.52             ,3.92               ,16.6               ,-0.61                ,44.55                          ,44.55                   ,-14.75                  ,1.37        ,34.02           ,1.12                 ,-2.25                          ,-2.77                     ,12.26                        ,-2.58           ,-0.83                   ,-0.6         ,1.57                ,24.79   ,-9.05                ,5.98                      ,-3.39   ,-4.98                ,-4                           ,0.27              ,0.14                 ,- -          ,7.66              ,6.32         ,-1.82                           ,-1.83        ,-0.6                       ,-2.5               ,2.26     ,4.16               ,-6.31                        ,-4.59         ,26.19                 ,-3.61               ,15.63      ,-0.61                       ,-3.01          ,-6.57                    ,-90.23                   ,52.26                          ,7.99                  ,- -                         ,306.64                         ,13.44          ,221.08         ,-7.08                       ,-30.71                         ,-136.95             ,7.99                 ,80.68          ,-35.33               ,31.59                   ,0.01969001495966194
 9 ,2019 ,-0.27                    ,-0.35           ,-0.14        ,-5.24                      ,- -                    ,8.81                    ,-32.48                      ,21.29         ,14.43                       ,-1.83                     ,16.6              ,-1.88                       ,16.66               ,12.46  ,12.76             ,8.81   ,8.81   ,0.13             ,9.1                  ,14.77             ,-0.27              ,15.59              ,29.1                 ,17.36                          ,17.36                   ,-2.63                   ,-1.77       ,-4.42           ,0.34                 ,-70.56                         ,-38.99                    ,1.25                         ,19.46           ,3.25                    ,2.9          ,1.84                ,-27.76  ,2                    ,-8.45                     ,16.58   ,-6.21                ,7.88                         ,0.49              ,0.18                 ,- -          ,8.83              ,-3.5         ,6.39                            ,6.37         ,2.9                        ,-1.1               ,-0.79    ,-6.73              ,-17.94                       ,9.61          ,15.62                 ,- -                 ,14.43      ,29.1                        ,222.36         ,5.47                     ,361.86                   ,0.43                           ,-15.53                ,- -                         ,-21.57                         ,13.47          ,-35.89         ,-26.73                      ,19.67                          ,-44.81              ,-15.53               ,6.55           ,39.19                ,-12.26                  ,0.11545827959749522
