   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,29.28                    ,- -             ,27.25        ,16.91                      ,- -                    ,- -                     ,-229.15                     ,-229.15       ,-273.17                     ,7.82                      ,-252.44           ,8.69                        ,-251.22             ,12.5   ,-12.98            ,- -   ,- -  ,- -              ,- -                  ,-238.24           ,5.77               ,14.8               ,12.5                 ,21.35                          ,29.02                   ,16.18                   ,- -         ,- -             ,18.87                ,- -                            ,- -                       ,48.61                        ,25.74           ,36.7                    ,35.49        ,165.7               ,-66.45  ,-123                 ,174.45                    ,66.18   ,33.12                ,34.54                        ,34.77             ,56.71                ,25           ,9.55              ,-132.7       ,46.81                           ,46.27        ,35.49                      ,20.4               ,86.55    ,27.54              ,-2.29                        ,-56.69        ,- -                   ,22.22               ,-222.3     ,12.5                        ,-121.26        ,- -                      ,-397.53                  ,110.26                         ,- -                   ,35.43                       ,31.42                          ,23.77          ,47.07          ,245.51                      ,-426.13                        ,-121.52             ,- -                  ,202.31         ,-15.67               ,-217.65                 ,0.1513814205535191
 1 ,2011 ,23.18                    ,- -             ,34.44        ,56.87                      ,- -                    ,- -                     ,37.78                       ,37.78         ,36.52                       ,20.07                     ,14.65             ,20.07                       ,14.66               ,16.07  ,-5.78             ,- -   ,- -  ,- -              ,- -                  ,10.83             ,21.34              ,-16.44             ,16.07                ,23.8                           ,-19.81                  ,13.37                   ,- -         ,- -             ,854.84               ,- -                            ,- -                       ,8.36                         ,-98.85          ,-42.98                  ,9.43         ,92.19               ,124.18  ,-1768                ,-33.96                    ,-12.59  ,9.61                 ,8.43                         ,8.46              ,1.36                 ,10           ,27.74             ,488.6        ,22.98                           ,23.02        ,9.43                       ,7.32               ,-6.76    ,-24.21             ,17.95                        ,1345.84       ,- -                   ,1.52                ,150.22     ,16.07                       ,234.62         ,- -                      ,29.37                    ,28.69                          ,- -                   ,83.3                        ,21.41                          ,0.33           ,-73.56         ,-17.51                      ,-29.89                         ,-183.68             ,- -                  ,28.69          ,-34.16               ,-5.74                   ,-0.2830909895688769
 2 ,2012 ,4.54                     ,- -             ,-2.98        ,-42.93                     ,- -                    ,- -                     ,5.46                        ,5.46          ,5.99                        ,1.05                      ,5.01              ,0.82                        ,5.26                ,-12.22 ,-16.03            ,- -   ,- -  ,- -              ,- -                  ,1.38              ,9.44               ,1.57               ,-12.22               ,1375.64                        ,50.44                   ,-3.77                   ,- -         ,- -             ,6.91                 ,- -                            ,- -                       ,3.05                         ,20.67           ,3.23                    ,4.65         ,-70.95              ,-85.42  ,- -                  ,-25.65                    ,-29.42  ,6.14                 ,4.62                         ,4.39              ,4.59                 ,- -          ,-7.64             ,93.63        ,7.79                            ,7.77         ,4.65                       ,3.19               ,-69.59   ,-71.78             ,8.4                          ,43.79         ,- -                   ,-4.48               ,-80.46     ,-12.22                      ,-182.94        ,- -                      ,32.01                    ,66.76                          ,- -                   ,-37.48                      ,-46.35                         ,2.64           ,44.73          ,-66.1                       ,-99.63                         ,-305.46             ,- -                  ,66.76          ,-37.94               ,57.35                   ,-0.05481192711810823
 3 ,2013 ,1.39                     ,- -             ,0.07         ,-8.05                      ,- -                    ,- -                     ,7.83                        ,7.83          ,10.35                       ,3.25                      ,7.09              ,3.66                        ,6.67                ,19.8   ,18.16             ,- -   ,- -  ,- -              ,- -                  ,8.84              ,-0.17              ,28.82              ,19.8                 ,-8.46                          ,-51.8                   ,1.04                    ,- -         ,- -             ,-7.98                ,- -                            ,- -                       ,-6.44                        ,2367.09         ,20.47                   ,5.8          ,-23.74              ,75      ,- -                  ,-15.7                     ,-1.83   ,6.83                 ,6.58                         ,6.54              ,4.52                 ,- -          ,8.44              ,-55.22       ,-4.5                            ,-3.04        ,5.8                        ,2.78               ,118.2    ,125.04             ,-9.88                        ,9.16          ,- -                   ,1.56                ,149.12     ,19.8                        ,-17.05         ,- -                      ,-22.54                   ,-6                             ,- -                   ,-74.92                      ,27.13                          ,33.01          ,-29.57         ,- -                         ,-25548.57                      ,-250.8              ,- -                  ,-6             ,84.64                ,-14.81                  ,0.3788641409622231
 4 ,2014 ,2.57                     ,- -             ,7.5          ,-3.25                      ,- -                    ,- -                     ,3.33                        ,3.33          ,4.26                        ,2.09                      ,2.2               ,2.36                        ,1.94                ,-0.14  ,-2.64             ,- -   ,- -  ,- -              ,- -                  ,1.65              ,-1.95              ,27.94              ,-0.14                ,3.56                           ,42.49                   ,1.76                    ,- -         ,- -             ,3.46                 ,- -                            ,- -                       ,2.88                         ,-6.63           ,0.68                    ,1.92         ,0.81                ,-42.86  ,- -                  ,-6.56                     ,-10.83  ,1.23                 ,0.91                         ,0.9               ,4.33                 ,9.09         ,17.15             ,108.64       ,17.06                           ,15.36        ,1.92                       ,0.88               ,-39.24   ,-47.33             ,17.35                        ,10.73         ,- -                   ,4.62                ,86.74      ,-0.14                       ,-180.13        ,- -                      ,49.05                    ,1.52                           ,- -                   ,185.6                       ,-0.73                          ,30.62          ,-27.11         ,- -                         ,-125.33                        ,-145.04             ,- -                  ,1.52           ,3.41                 ,-2.63                   ,-0.08415029185843381
 5 ,2015 ,-2.27                    ,- -             ,-16.33       ,-0.11                      ,- -                    ,- -                     ,-12.52                      ,-12.52        ,-16.19                      ,-0.97                     ,-15.59            ,-1.24                       ,-15.35              ,-2.81  ,-0.55             ,- -   ,- -  ,- -              ,- -                  ,-14.25            ,-3.68              ,10.19              ,-2.81                ,-3.01                          ,17.99                   ,2.78                    ,- -         ,- -             ,-2.7                 ,- -                            ,- -                       ,-3.8                         ,1.26            ,-2.71                   ,-2.7         ,-17.05              ,- -     ,- -                  ,-15.29                    ,8.92    ,-2.7                 ,-2.42                        ,-2.44             ,0.67                 ,- -          ,10.93             ,-55.2        ,-5.7                            ,-5.73        ,-2.7                       ,-2.99              ,-2.35    ,3.59               ,-3.4                         ,14.86         ,- -                   ,1.47                ,-16        ,-2.81                       ,17.77          ,- -                      ,-5.51                    ,-13.72                         ,- -                   ,-44.3                       ,-30.93                         ,9.13           ,289.3          ,-293                        ,-157.4                         ,-31.9               ,- -                  ,-13.72         ,0.1                  ,2.95                    ,-0.07570118151198302
 6 ,2016 ,-8.63                    ,- -             ,-0.91        ,-0.88                      ,- -                    ,- -                     ,-102.46                     ,-102.46       ,-85.64                      ,-1.55                     ,-87.09            ,-1.75                       ,-87.06              ,-5.92  ,2.97              ,- -   ,- -  ,- -              ,- -                  ,-84.37            ,8.7                ,5.59               ,-5.92                ,0.8                            ,40.19                   ,14.16                   ,- -         ,-122.3          ,-18.15               ,- -                            ,- -                       ,-0.66                        ,89.4            ,19.52                   ,2.37         ,-1.67               ,142     ,-99.59               ,14.39                     ,-7.29   ,2.93                 ,2.66                         ,2.7               ,0.63                 ,- -          ,-2.93             ,12.07        ,-0.94                           ,-1.48        ,2.37                       ,-0.23              ,-76.23   ,-75.87             ,-3.63                        ,-28.45        ,- -                   ,-15.94              ,-84.89     ,-5.92                       ,-259.06        ,- -                      ,-33.56                   ,4.94                           ,- -                   ,-153.96                     ,-43.74                         ,3.96           ,- -            ,-80.73                      ,174.13                         ,122.78              ,- -                  ,4.94           ,4.62                 ,634.58                  ,0.06323143578386392
 7 ,2017 ,-1.84                    ,- -             ,2.5          ,-5.48                      ,- -                    ,- -                     ,-1913.33                    ,-1913.33      ,522.64                      ,-2.8                      ,476.69            ,-2.71                       ,476.14              ,21.93  ,24.22             ,- -   ,- -  ,- -              ,- -                  ,410.65            ,16.19              ,158.07             ,21.93                ,-13.36                         ,-28.95                  ,-29.42                  ,- -         ,-96.81          ,5.45                 ,- -                            ,- -                       ,-12.65                       ,-73.92          ,-34.41                  ,-19.9        ,40.25               ,97.11   ,- -                  ,56.72                     ,-4.28   ,-20.94               ,-20.55                       ,-20.48            ,0.54                 ,- -          ,-23.07            ,38.9         ,-12.83                          ,-12.76       ,-19.9                      ,-4.74              ,224.46   ,271.91             ,5.93                         ,-32.71        ,- -                   ,-15.52              ,400        ,21.93                       ,-66.97         ,- -                      ,-27.55                   ,-17.16                         ,- -                   ,-482.47                     ,188.48                         ,150.84         ,-6.06          ,686.83                      ,-74.48                         ,-201.33             ,- -                  ,-17.16         ,24.88                ,-83.47                  ,-0.10997427135627968
 8 ,2018 ,9.04                     ,- -             ,9.04         ,-3.9                       ,- -                    ,- -                     ,78.37                       ,78.37         ,2.44                        ,-5.96                     ,35.6              ,-5.99                       ,35.64               ,-21.01 ,-27.56            ,- -   ,- -  ,- -              ,- -                  ,17.16             ,11.31              ,-58.07             ,-21.01               ,-2.9                           ,24.56                   ,6.63                    ,- -         ,-42.7           ,-2.1                 ,- -                            ,- -                       ,0.26                         ,-49             ,-6.69                   ,-4.49        ,12.59               ,-43.82  ,- -                  ,-5.71                     ,-15.16  ,-3.67                ,-4                           ,-4                ,4.38                 ,- -          ,9.04              ,-76.81       ,-10.11                          ,-10.04       ,-4.49                      ,-8.14              ,-93.6    ,-92.88             ,-7.46                        ,3.83          ,- -                   ,-2.04               ,27.56      ,-21.01                      ,-219.53        ,- -                      ,46.26                    ,-4.44                          ,- -                   ,-120.56                     ,-66.62                         ,-60.57         ,-99.34         ,36.39                       ,209.16                         ,-160.07             ,- -                  ,-4.44          ,-21.34               ,-25.2                   ,-0.09528025278994867
 9 ,2019 ,2.47                     ,- -             ,1.15         ,1.42                       ,- -                    ,- -                     ,7.74                        ,7.74          ,15.23                       ,-6.79                     ,23.2              ,-6.85                       ,23.28               ,0.32   ,-2.1              ,- -   ,- -  ,- -              ,- -                  ,12.37             ,0.38               ,7.4                ,0.32                 ,9.02                           ,4.91                    ,4.07                    ,- -         ,- -             ,9.19                 ,- -                            ,- -                       ,9.59                         ,-33.62          ,6.25                    ,7.7          ,-6.62               ,-12.31  ,- -                  ,-7.72                     ,4.01    ,6.31                 ,6.26                         ,6.22              ,0.63                 ,- -          ,14.35             ,657.96       ,25.41                           ,25.35        ,7.7                        ,-4.51              ,-40.19   ,-52.28             ,21.59                        ,18.33         ,- -                   ,2.08                ,15.23      ,0.32                        ,-91.99         ,- -                      ,-9.5                     ,17.45                          ,- -                   ,-587.76                     ,212.14                         ,0.11           ,5658.33        ,-42.76                      ,-263.08                        ,-76.75              ,- -                  ,17.45          ,-1.51                ,2                       ,-0.00040890938931426035
