   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   14.05 ,17.46           ,       11.09 ,- -                        ,- -                    ,3.11                    ,-192.19                     ,4.05          ,1.59                        ,-1.62                     ,3.25              ,-1.71                       ,3.36                ,4.77   ,-8.14             ,3.11   ,3.11   ,-2.59            ,-9.59                ,-10.93            ,8.95               ,- -                ,99.36                ,72.85                          ,8.07                    ,-6.68                   ,41.7        ,102.53          ,53.4                 ,3.71                           ,                    24.56 ,-45.33                       ,4.8             ,-14.26                  ,35.25        ,41.78               ,33.01   ,- -                  ,53.87                     ,- -     ,-4.94                ,-4.94                        ,17.95             ,               36.36 ,1.65         ,31.63             ,-106.02      ,41.62                           ,41.62        ,35.25                      ,0.93               ,8.05     ,-23.7              ,5.06                         ,-0.31         ,11.72                 ,4.69                ,1.59       ,99.36                       ,-52.81         ,20.1                     ,-99.29                   ,46.64                          ,-22.15                ,-950.51                     ,4655.2                         ,- -            ,- -            ,-96.75                      ,-111.26                        ,-62.99              ,-22.15               ,62.17          ,-2.56                ,44.35                   ,0.23363129173088804
 1 ,2011 ,                   30.62 ,29.7            ,       31.47 ,- -                        ,- -                    ,31.23                   ,-43.08                      ,30.91         ,34.99                       ,-0.46                     ,35.62             ,0.34                        ,34.53               ,31.68  ,0.81              ,31.23  ,31.23  ,0.65             ,0.46                 ,3.34              ,2.92               ,- -                ,45.07                ,28.54                          ,1.27                    ,115.22                  ,1.55        ,-13.88          ,31.68                ,30.68                          ,                    44.44 ,-47.51                       ,5.83            ,-2.31                   ,25.9         ,106.18              ,- -     ,116.33               ,106.54                    ,- -     ,-6.2                 ,-6.2                         ,51.04             ,               22.8  ,101.21       ,32.44             ,-650.53      ,18.2                            ,18.2         ,25.9                       ,-2.07              ,1.34     ,-14.26             ,-6.27                        ,-36.24        ,-13.75                ,26.92               ,34.99      ,45.07                       ,173.91         ,15.19                    ,-3067.33                 ,45.75                          ,37                    ,-24.11                      ,-18.58                         ,- -            ,- -            ,5646.47                     ,-1769.11                       ,-74.36              ,37                   ,46.7           ,23.73                ,7.97                    ,0.7624646165852926
 2 ,2012 ,                   20.99 ,23.01           ,       19.16 ,- -                        ,- -                    ,20.64                   ,-273.44                     ,20.09         ,18.8                        ,-1.42                     ,20.51             ,-1.92                       ,21.13               ,20.63  ,-0.3              ,20.64  ,20.64  ,-1.51            ,-0.29                ,-1.81             ,5.45               ,- -                ,20.36                ,-58.53                         ,-38.08                  ,8.21                    ,30.52       ,100.73          ,-29.39               ,53.12                          ,                    41.69 ,-7.76                        ,5.7             ,15.88                   ,-23.42       ,-29.67              ,- -     ,432.59               ,8.44                      ,- -     ,-5.78                ,-5.78                        ,4.09              ,               25.48 ,2.52         ,29.1              ,-234.07      ,-34.19                          ,-34.19       ,-23.42                     ,-4.88              ,-38.08   ,-5.91              ,-15.79                       ,-34.89        ,8.15                  ,14.74               ,18.8       ,20.36                       ,-64.84         ,46.28                    ,-629.7                   ,-13.82                         ,60.46                 ,-323.64                     ,-257.11                        ,- -            ,- -            ,359.18                      ,353.38                         ,-2211.83            ,60.46                ,-21.34         ,17.22                ,-27.46                  ,0.012893548705533275
 3 ,2013 ,                    9.01 ,7.88            ,       10.07 ,80.5                       ,- -                    ,4.05                    ,514.16                      ,2.68          ,-0.4                        ,-4.05                     ,3.8               ,-5.3                        ,5.17                ,4.29   ,-4.33             ,4.05   ,4.05   ,0.97             ,-4.55                ,-8.63             ,18.06              ,- -                ,10.7                 ,92.02                          ,-5.02                   ,25.12                   ,9.03        ,-31.54          ,41.67                ,27.49                          ,                    31.04 ,-54.23                       ,18.52           ,14.03                   ,36.15        ,9.39                ,- -     ,9.7                  ,9.52                      ,- -     ,1.66                 ,1.66                         ,7.35              ,               27.73 ,1.08         ,22.45             ,-159.45      ,53.99                           ,53.99        ,36.15                      ,0.63               ,-5.02    ,-38.32             ,14.65                        ,29.36         ,16.13                 ,-7.66               ,-0.4       ,10.7                        ,-294.39        ,1.24                     ,-88.97                   ,18.9                           ,5.49                  ,-191.3                      ,-225                           ,- -            ,- -            ,-93.53                      ,-97.44                         ,-88.78              ,5.49                 ,21.66          ,5.99                 ,19.37                   ,-0.01346148571208361
 4 ,2014 ,                    9.72 ,4.8             ,       14.23 ,- -                        ,- -                    ,30.47                   ,-80.97                      ,32.26         ,42.68                       ,0.35                      ,42.18             ,0.52                        ,41.94               ,29.79  ,18.29             ,30.47  ,30.47  ,4.1              ,18.91                ,30.03             ,10.38              ,- -                ,12.69                ,87.66                          ,75.22                   ,-5.21                   ,-21.17      ,67.21           ,43.14                ,2.28                           ,                    13.95 ,338.52                       ,-19.48          ,3.36                    ,36.49        ,-7.5                ,- -     ,41.97                ,12.56                     ,- -     ,-39.39               ,-39.39                       ,-1.05             ,               15.74 ,0.49         ,26.16             ,828.87       ,52.69                           ,52.69        ,36.49                      ,0.54               ,75.22    ,14.75              ,13.41                        ,27.17         ,-12.24                ,-0.6                ,42.68      ,12.69                       ,-159.72        ,-0.74                    ,-913.09                  ,71.2                           ,-39.61                ,40.58                       ,29.6                           ,- -            ,- -            ,-119.4                      ,-207.89                        ,-1150.14            ,-39.61               ,91.04          ,5.13                 ,19.99                   ,0.4848835976136443
 5 ,2015 ,                   10.45 ,-3.09           ,       21.83 ,- -                        ,- -                    ,-2.05                   ,-9381.6                     ,19.54         ,13.15                       ,12.89                     ,0.23              ,10.5                        ,2.4                 ,-1.31  ,-10.65            ,-2.05  ,-2.05  ,10.3             ,-11.32               ,2.44              ,-0.17              ,- -                ,20.31                ,153.59                         ,487.44                  ,70.24                   ,-10.57      ,-67.11          ,111.56               ,7.98                           ,                     9.29 ,-64.26                       ,1662.25         ,752.57                  ,192.71       ,98.11               ,- -     ,-6.59                ,44.55                     ,- -     ,416.98               ,416.98                       ,104.33            ,              834.71 ,- -          ,-40.15            ,91.02        ,217.42                          ,217.42       ,192.71                     ,20.97              ,487.44   ,85.07              ,0.8                          ,46.36         ,-21.02                ,10.64               ,13.15      ,20.31                       ,-11724.61      ,14.59                    ,434.89                   ,-64.48                         ,35.49                 ,-115.65                     ,-190.84                        ,- -            ,- -            ,9782.06                     ,6130.43                        ,1000.8              ,35.49                ,-70.14         ,265.67               ,-68.61                  ,0.3820700032613169
 6 ,2016 ,                   12.0  ,1.57            ,       18.97 ,- -                        ,- -                    ,48.23                   ,-103.55                     ,21.1          ,30.35                       ,3.78                      ,25.6              ,3.82                        ,25.56               ,47.59  ,31.77             ,48.23  ,48.23  ,6.22             ,32.35                ,16.38             ,-6.28              ,- -                ,32.36                ,-79.52                         ,-82.64                  ,19.9                    ,3.75        ,247.77          ,-60.02               ,78.05                          ,                    49.18 ,-84.4                        ,28.57           ,30.04                   ,-26.81       ,-16.15              ,- -     ,7.06                 ,-8.48                     ,- -     ,0.45                 ,0.45                         ,-4.85             ,                1.54 ,201.06       ,51.09             ,6.27         ,-30.77                          ,-30.77       ,-26.81                     ,-6.92              ,-82.64   ,-74.93             ,-30.98                       ,-56.32        ,-12.65                ,19.51               ,30.35      ,32.36                       ,-103.56        ,40.13                    ,-120.93                  ,237.21                         ,147.89                ,734.02                      ,-164.04                        ,- -            ,- -            ,-351.61                     ,-286.17                        ,-199.05             ,147.89               ,260.15         ,-70.82               ,158.69                  ,-0.20235885675918042
 7 ,2017 ,                   10.48 ,11.19           ,       10.08 ,- -                        ,- -                    ,10.45                   ,-150.17                     ,11.29         ,15.15                       ,-3.59                     ,19.44             ,-3.78                       ,19.68               ,10.79  ,0.28              ,10.45  ,10.45  ,-0.37            ,-0.03                ,4.23              ,38.29              ,- -                ,19.69                ,100.88                         ,40                      ,-21.56                  ,57.9        ,81.21           ,45.67                ,32.84                          ,                    30.3  ,-1.17                        ,-2.89           ,-0.61                   ,15.35        ,19.22               ,- -     ,18.84                ,19.07                     ,- -     ,-5.02                ,-5.02                        ,8.75              ,                2.45 ,0.96         ,38.94             ,-28.35       ,16.98                           ,16.98        ,15.35                      ,-0.05              ,40       ,19.68              ,16.87                        ,22.33         ,11.34                 ,-20.11              ,15.15      ,19.69                       ,348.39         ,14.03                    ,-98.87                   ,40.83                          ,-11.59                ,-181.71                     ,107.48                         ,- -            ,- -            ,-86.2                       ,-86.1                          ,-108.09             ,-11.59               ,50.1           ,-0.1                 ,22.3                    ,0.23317970195536009
 8 ,2018 ,                   13.0  ,22.78           ,        7.38 ,- -                        ,- -                    ,7.08                    ,240.37                      ,7.63          ,21                          ,-1.7                      ,23.09             ,-2.23                       ,23.76               ,7.45   ,-4.92             ,7.08   ,7.08   ,-4.98            ,-5.25                ,7.07              ,8.44               ,- -                ,16.55                ,-20.26                         ,20.6                    ,7.81                    ,8.59        ,-53.37          ,-13.53               ,5.55                           ,                    13.01 ,- -                          ,0.31            ,0.67                    ,-5.51        ,7.94                ,- -     ,6.22                 ,7.28                      ,- -     ,-6.14                ,-6.14                        ,2.25              ,                2.11 ,0.29         ,33.69             ,97.27        ,-7.3                            ,-7.3         ,-5.51                      ,-3.99              ,20.6     ,30.09              ,-9.01                        ,-19.39        ,0.53                  ,4.21                ,21         ,16.55                       ,-53.12         ,9.24                     ,-6401.12                 ,17.63                          ,-19.55                ,-181.03                     ,-151.35                        ,- -            ,- -            ,325.93                      ,323                            ,-18.15              ,-19.55               ,21.5           ,-33.08               ,-2.78                   ,-0.1599373950461117
 9 ,2019 ,                   10.34 ,11.27           ,        9.72 ,- -                        ,- -                    ,9.3                     ,34.91                       ,9.49          ,11.56                       ,-2.69                     ,14.65             ,-3.13                       ,15.17               ,9.48   ,-0.77             ,9.3    ,9.3    ,-0.56            ,-0.95                ,1.11              ,-31.12             ,- -                ,13.75                ,38.91                          ,25.17                   ,11.51                   ,29.9        ,0.58            ,28.39                ,22.87                          ,                    21.33 ,445.44                       ,1.73            ,4.09                    ,13.77        ,8.45                ,- -     ,12.44                ,9.97                      ,- -     ,0.99                 ,0.99                         ,6.89              ,                3.76 ,0.86         ,28.3              ,-1.45        ,15.52                           ,15.52        ,13.77                      ,-1.28              ,25.17    ,8.35               ,12.6                         ,16.74         ,18.74                 ,60.19               ,11.56      ,13.75                       ,15.32          ,10.93                    ,-319.78                  ,-4.14                          ,47.34                 ,-160.86                     ,-219.7                         ,- -            ,- -            ,-53.21                      ,-52.25                         ,33.53               ,47.34                ,-7.69          ,26.39                ,-14.08                  ,0.0023610624976995176
