   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,0.4                      ,-3.58           ,4.01         ,-3.8                       ,- -                    ,4.91                    ,-50.55                      ,17.35         ,21.79                       ,0.53                      ,21.16             ,0.39                        ,21.33               ,4.44   ,4.02              ,4.91  ,4.91  ,3.59             ,4.48                 ,21.31             ,0.4                ,              9.26 ,-5.15                ,23.68                          ,23.68                   ,-11.46                  ,-0.39       ,-10.87          ,3.6                  ,-11.33                         ,-16.18                    ,0.89                         ,3.99            ,1.67                    ,1.98         ,-5.3                ,- -     ,-2.93                ,-14.41                    ,9.02    ,-1.9                 ,3.07                         ,-1.22             ,-3.55                ,- -          ,3.81              ,-4.93        ,27.6                            ,27.36        ,1.98                       ,0.61               ,-2.07    ,-23.11             ,-12.04                       ,21.05         ,36.71                 ,- -                 ,21.79      ,-5.15                       ,1337.66        ,- -                      ,-1571.43                 ,-19.63                         ,-38.46                ,-60.2                       ,-102.65                        ,          9.84 ,-76.14         ,16.85                       ,-1035.87                       ,-107.33             ,-38.46               ,-18.01         ,58.39                ,-34.02                  ,0.21134779064169407
 1 ,2011 ,-1.62                    ,-0.31           ,-2.71        ,-3.36                      ,- -                    ,0.42                    ,30.87                       ,-2.46         ,-13.16                      ,-0.63                     ,-12.64            ,-0.72                       ,-12.56              ,0.05   ,1.69              ,0.42  ,0.42  ,-1.11            ,2.06                 ,-11.76            ,-0.62              ,              9.61 ,-8.33                ,41.31                          ,41.31                   ,215.29                  ,-1.33       ,-9.89           ,15.7                 ,-6.89                          ,-8.19                     ,-8.39                        ,-3.11           ,-5.06                   ,-1.74        ,3.39                ,-22.58  ,- -                  ,8.65                      ,7.34    ,-4.52                ,1.19                         ,2.78              ,-1.15                ,- -          ,0.53              ,27.16        ,-29.12                          ,-29.54       ,-1.74                      ,-2.12              ,5.46     ,49.66              ,16.28                        ,6.48          ,1.75                  ,-1                  ,-13.16     ,-8.33                       ,-88.8          ,- -                      ,-119.09                  ,29.42                          ,-37.5                 ,57.05                       ,49.42                          ,          8.92 ,48.36          ,-1348.08                    ,16.61                          ,115.8               ,-37.5                ,33.74          ,-4.59                ,49.08                   ,0.2766207715084077
 2 ,2012 ,5.3                      ,3.35            ,6.98         ,-12.94                     ,- -                    ,16.28                   ,18.22                       ,16.03         ,23.28                       ,-1.94                     ,25.74             ,-1.94                       ,25.74               ,15.22  ,9.42              ,16.28 ,16.28 ,1.59             ,10.43                ,17.1              ,14.56              ,              7.61 ,-11.07               ,-11.31                         ,-11.31                  ,-27.99                  ,-1.85       ,-7.92           ,-8.74                ,-5.14                          ,0.47                      ,1.65                         ,-4.6            ,-2.74                   ,-3.87        ,-0.47               ,143.17  ,- -                  ,11.13                     ,-5.12   ,-8.5                 ,-6.77                        ,-2.75             ,0.21                 ,- -          ,3.11              ,8.11         ,-13.91                          ,-13.93       ,-3.87                      ,-1.7               ,5.37     ,22.42              ,11.67                        ,-17.88        ,-0.87                 ,-8.08               ,23.28      ,-11.07                      ,1284.68        ,- -                      ,1923.73                  ,8.49                           ,18.1                  ,114.08                      ,137.73                         ,          5.52 ,86.55          ,-16.64                      ,71.81                          ,-138.7              ,18.1                 ,8.2            ,-5.8                 ,-12.01                  ,-0.0167063034513395
 3 ,2013 ,0.93                     ,-9.21           ,9.35         ,1.69                       ,- -                    ,10.68                   ,37.75                       ,7.18          ,8.42                        ,-1.24                     ,9.85              ,-1.24                       ,9.85                ,10.19  ,9.17              ,10.68 ,10.68 ,8.34             ,9.66                 ,7.49              ,2.05               ,              7.56 ,-5.78                ,9.48                           ,9.48                    ,-40.41                  ,7.62        ,-3.73           ,4.35                 ,-3.52                          ,1.41                      ,-8.31                        ,0.54            ,-2.57                   ,-1.33        ,-3.93               ,-64.02  ,- -                  ,-14.54                    ,12.67   ,-15.59               ,-0.91                        ,-4.41             ,0.39                 ,- -          ,3.5               ,-32.45       ,30.02                           ,29.91        ,-1.33                      ,-0.81              ,3.32     ,-20.47             ,-4.5                         ,22.11         ,15.31                 ,-1.1                ,8.42       ,-5.78                       ,-110.83        ,- -                      ,-146.73                  ,12.61                          ,5.65                  ,-31.74                      ,-34.57                         ,          6.24 ,49.95          ,-41.4                       ,-9.14                          ,-174.32             ,5.65                 ,12.84          ,8.55                 ,3.8                     ,-0.010581300152500805
 4 ,2014 ,1.6                      ,8.03            ,-2.84        ,8.5                        ,- -                    ,-5.88                   ,-113.44                     ,11.99         ,11.8                        ,-1.05                     ,12.98             ,-1.05                       ,12.98               ,-5.78  ,-7.26             ,-5.88 ,-5.88 ,-4.37            ,-7.36                ,10.04             ,1.6                ,              8.9  ,-1.89                ,4.6                            ,4.6                     ,7.83                    ,8.57        ,-1.97           ,4.37                 ,-2.22                          ,-1.29                     ,-7.75                        ,0.16            ,-2.38                   ,-1.1         ,2.14                ,90.48   ,- -                  ,8.71                      ,-2.14   ,4.21                 ,0.46                         ,2.36              ,0.32                 ,- -          ,4.41              ,94.63        ,-26.83                          ,-26.91       ,-1.1                       ,-1.1               ,0.26     ,37.17              ,12.32                        ,-4            ,2.38                  ,- -                 ,11.8       ,-1.89                       ,-326.34        ,- -                      ,-65.23                   ,6.58                           ,24.43                 ,-48.46                      ,-70.6                          ,          7.75 ,-76.09         ,48.11                       ,-0.17                          ,-46.91              ,24.43                ,6.03           ,20.33                ,-4.66                   ,0.23091508332859534
 5 ,2015 ,5.07                     ,-0.58           ,9.39         ,6.66                       ,- -                    ,9.79                    ,-285.16                     ,3.91          ,3.41                        ,-0.86                     ,4.27              ,-0.86                       ,4.27                ,9.75   ,4.46              ,9.79  ,9.79  ,4.12             ,4.5                  ,-1.61             ,7.45               ,              8.3  ,8.17                 ,-28.67                         ,-28.67                  ,- -                     ,-0.44       ,-72.22          ,-28.6                ,-0.05                          ,2.57                      ,-13.79                       ,0.15            ,-3.8                    ,-8.75        ,5.89                ,-99.6   ,- -                  ,-7.86                     ,-6.21   ,-14.12               ,-9.57                        ,-9.15             ,1.17                 ,- -          ,3.73              ,22.3         ,-4.45                           ,-4.55        ,-8.75                      ,-0.58              ,-7.86    ,-3.47              ,22.15                        ,-22.51        ,5.01                  ,-2.22               ,3.41       ,8.17                        ,-127.79        ,- -                      ,-232.99                  ,25.31                          ,40.49                 ,-39.84                      ,-108.47                        ,          7.37 ,- -            ,-41                         ,44.44                          ,-752.05             ,40.49                ,24.76          ,-7.63                ,21.22                   ,0.23837904877323002
 6 ,2016 ,2.56                     ,0.32            ,4.12         ,-1.7                       ,- -                    ,6.52                    ,-4609.41                    ,170.51        ,171.68                      ,-0.46                     ,172.94            ,-0.46                       ,172.94              ,6.1    ,3.45              ,6.52  ,6.52  ,1.52             ,3.85                 ,164.9             ,8.74               ,              8.47 ,-9.33                ,92.87                          ,92.87                   ,238.71                  ,0.98        ,-43.15          ,47.83                ,-1.21                          ,-0.86                     ,180.87                       ,-0.06           ,45.67                   ,46.01        ,4.37                ,- -     ,- -                  ,4.31                      ,8.08    ,37.24                ,19.84                        ,16                ,1.19                 ,- -          ,35.4              ,-37.44       ,343.4                           ,344.59       ,46.01                      ,-0.91              ,-11.13   ,-80.01             ,-84.43                       ,41.72         ,0.08                  ,-5.68               ,171.68     ,-9.33                       ,-8947.86       ,- -                      ,-204.65                  ,-34.52                         ,-17.47                ,232.43                      ,-24820                         ,          7.97 ,97.8           ,85.92                       ,-21.4                          ,-331.62             ,-17.47               ,-35.22         ,74.88                ,-75.9                   ,0.10901944554611931
 7 ,2017 ,0.81                     ,-3.01           ,3.38         ,-12.17                     ,- -                    ,8.02                    ,-98.43                      ,-55.02        ,-28.2                       ,-1.59                     ,-27.05            ,-1.59                       ,-27.05              ,7.9    ,7.03              ,8.02  ,8.02  ,2.55             ,7.15                 ,-28.79            ,0.81               ,              8.26 ,2.45                 ,-72.58                         ,-72.58                  ,43.57                   ,8.48        ,19.55           ,-40.17               ,-2.25                          ,0.91                      ,-4.92                        ,6.49            ,0.48                    ,-5.94        ,-19.62              ,21500   ,- -                  ,-7.91                     ,-6.13   ,-32.79               ,-18.44                       ,-16.1             ,0.86                 ,- -          ,14.48             ,-7.55        ,20.42                           ,20.41        ,-5.94                      ,-2.11              ,35.75    ,12.74              ,-42.58                       ,-35.03        ,10.41                 ,- -                 ,-28.2      ,2.45                        ,-64.44         ,- -                      ,586.67                   ,28.1                           ,5.29                  ,-82.66                      ,-112.59                        ,          6.54 ,- -            ,183.2                       ,45.82                          ,-251.34             ,5.29                 ,29.28          ,-18.74               ,78.44                   ,-0.09974767518350847
 8 ,2018 ,0.68                     ,-2.1            ,2.43         ,17.88                      ,- -                    ,-1.32                   ,-177.34                     ,-4.96         ,-31.88                      ,-1.77                     ,-30.65            ,-1.72                       ,-30.69              ,-1.11  ,-1.78             ,-1.32 ,-1.32 ,1.74             ,-1.99                ,-32.34            ,0.68               ,             14.68 ,8.61                 ,6.38                           ,6.38                    ,-48.76                  ,4.76        ,23.95           ,-1.04                ,1.25                           ,1.46                      ,69.88                        ,-1.4            ,31.66                   ,28.37        ,23.9                ,1502.78 ,- -                  ,212.03                    ,-8.69   ,-5.26                ,-7.38                        ,46.18             ,0.13                 ,- -          ,4.05              ,34.26        ,-3.84                           ,-3.84        ,28.37                      ,-1.43              ,93.13    ,100.84             ,-22.52                       ,-68.28        ,10.42                 ,- -                 ,-31.88     ,8.61                        ,-103.31        ,- -                      ,-157.98                  ,71.21                          ,19.6                  ,-43.75                      ,2681.16                        ,         12.65 ,547.77         ,-42.65                      ,-160.69                        ,-103.57             ,19.6                 ,73.39          ,-60.02               ,151.34                  ,-0.20904993287170892
 9 ,2019 ,0.86                     ,-3.91           ,3.73         ,-19.23                     ,- -                    ,10.39                   ,6090.45                     ,-91.8         ,-118.63                     ,-0.95                     ,-118.75           ,-1.01                       ,-118.76             ,10.14  ,9.2               ,10.39 ,10.39 ,2.84             ,9.45                 ,-118.41           ,14.68              ,             13.16 ,-0.44                ,58.81                          ,58.81                   ,-50.81                  ,-1.63       ,-19.63          ,12.21                ,3.15                           ,2.51                      ,-22.68                       ,0.75            ,-13.12                  ,-11.16       ,-2.33               ,-92.78  ,- -                  ,-61.43                    ,127.28  ,2.07                 ,78.56                        ,5.61              ,0.13                 ,- -          ,-16.89            ,12.45        ,-57.92                          ,-57.27       ,-11.16                     ,-0.86              ,6.19     ,148.54             ,419.83                       ,190.94        ,6.75                  ,-12.05              ,-118.63    ,-0.44                       ,7245.9         ,- -                      ,-104.93                  ,-6.6                           ,3.36                  ,- -                         ,-81.54                         ,         12.08 ,27.07          ,-49.49                      ,-199.92                        ,510.92              ,3.36                 ,-6.89          ,7.25                 ,-602.96                 ,-0.21008021792942788
