   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,67.66                    ,103.97          ,49.87        ,55.04                      ,88.04                  ,-16.57                  ,-115.1                      ,-89.19        ,-92.46                      ,36.46                     ,-95.11            ,37.26                       ,-95.14              ,62.74  ,-2.94             ,-16.57 ,-16.57 ,-10.61           ,-50.24               ,-96.02            ,78.36              ,2.22               ,186.53               ,27.03                          ,17.06                   ,11.22                   ,-27.15      ,-12.36          ,2.24                 ,-6.52                          ,-0.99                     ,403.12                       ,-11.54          ,-8.3                    ,-5.63        ,-6.52               ,74.01   ,- -                  ,-0.7                      ,-3.69   ,-4.89                ,-4.34                        ,-3.2              ,2.47                 ,0.38         ,-9.34             ,16.25        ,-7.93                           ,-7.62        ,-5.63                      ,-0.84              ,-14.25   ,-7.18              ,152.84                       ,2.95          ,-41.45                ,-6                  ,-92.46     ,186.53                      ,-116.09        ,22.5                     ,-134.36                  ,219.04                         ,14.88                 ,-133.49                     ,-210.8                         ,39.49          ,-52.72         ,- -                         ,232.11                         ,-61.63              ,14.88                ,373.44         ,-47.93               ,4680.6                  ,-0.09870796521489855
 1 ,2011 ,4.48                     ,-8.29           ,12.99        ,3.68                       ,-22.96                 ,167.54                  ,-3.53                       ,343.68        ,550.92                      ,-0.78                     ,632.39            ,-0.83                       ,632.82              ,52.79  ,46.23             ,167.54 ,167.54 ,8.15             ,156.07               ,597.22            ,14.2               ,-0.09              ,0.62                 ,22.71                          ,24.14                   ,12.49                   ,6.58        ,1.18            ,14.17                ,-4.6                           ,6.25                      ,58.99                        ,-9.17           ,-6.22                   ,-0.62        ,7.66                ,-17.08  ,- -                  ,3.86                      ,0.28    ,-8.05                ,-4.18                        ,-1.62             ,-0.09                ,- -          ,3.87              ,-2.61        ,0.26                            ,0.24         ,-0.62                      ,-1.34              ,-42.94   ,-43.08             ,93.96                        ,9.92          ,-1.65                 ,-8.51               ,550.92     ,0.62                        ,-143.82        ,-27.5                    ,-182.37                  ,14.42                          ,2.68                  ,-62.03                      ,-17.36                         ,-0.87          ,- -            ,20.59                       ,26.89                          ,37.42               ,2.68                 ,16.58          ,-8.15                ,-84.29                  ,0.09563273862413113
 2 ,2012 ,-1.62                    ,-2.52           ,-1.14        ,-6.97                      ,-3.53                  ,10.04                   ,-60.72                      ,25.88         ,6.26                        ,-0.98                     ,7.51              ,-0.58                       ,7.08                ,2.76   ,4.45              ,10.04  ,10.04  ,0.49             ,11.85                ,7.95              ,1.93               ,9.91               ,-6.05                ,7.81                           ,-0.59                   ,-7.13                   ,4.49        ,22.06           ,5.05                 ,-1.64                          ,2.9                       ,111.25                       ,-8.15           ,-0.93                   ,0.96         ,-1.56               ,116.83  ,- -                  ,12.95                     ,4.7     ,-2.12                ,1.19                         ,5.16              ,-0.04                ,- -          ,2.55              ,49.49        ,-2.75                           ,-2.6         ,0.96                       ,-0.47              ,78.66    ,83.43              ,22.79                        ,-6.99         ,12.5                  ,-3.49               ,-1.45      ,-6.05                       ,-231.49        ,-9.21                    ,439.95                   ,-19.07                         ,13.41                 ,405.29                      ,135.47                         ,8.83           ,28.16          ,34.88                       ,-52.68                         ,-101.93             ,13.41                ,-24.32         ,25.5                 ,-23.79                  ,-0.002692065914435604
 3 ,2013 ,-6.84                    ,3.09            ,-12.14       ,-6.77                      ,-8.14                  ,-22.4                   ,228.68                      ,-39.94        ,-33.5                       ,-2.56                     ,-32.14            ,-2.6                        ,-32.12              ,-13.06 ,-6.68             ,-22.4  ,-22.4  ,-5.69            ,-16.7                ,-29.03            ,1.74               ,3.44               ,0.14                 ,8.33                           ,16.13                   ,-6.36                   ,-4.73       ,6.21            ,2.38                 ,-6.59                          ,-0.96                     ,33.74                        ,-5.68           ,-1.84                   ,-0.46        ,-4.89               ,4.77    ,- -                  ,-2.62                     ,26.36   ,-7.19                ,9.68                         ,5.23              ,-0.33                ,- -          ,-1.82             ,-53.08       ,-6.14                           ,-5.66        ,-0.46                      ,-3.27              ,32.61    ,40.56              ,6.31                         ,5.13          ,-1.69                 ,-8.43               ,-28.29     ,0.14                        ,7.04           ,-17.61                   ,-80.8                    ,16.28                          ,-20.78                ,-66.53                      ,-53.74                         ,0.78           ,152.42         ,151.49                      ,83.35                          ,-5132               ,-20.78               ,25.26          ,9.1                  ,75.88                   ,-0.027744930654098887
 4 ,2014 ,-4.08                    ,-1.1            ,-5.95        ,-2.56                      ,-4.3                   ,-12.81                  ,-600                        ,211.69        ,164.2                       ,-2.33                     ,177.12            ,-2.27                       ,176.95              ,-8.73  ,-4.85             ,-12.81 ,-12.81 ,-1.95            ,-9.1                 ,182.17            ,4.14               ,1.8                ,-4.25                ,-10.11                         ,-52.37                  ,-7.77                   ,-10.52      ,9.77            ,-7.04                ,-12.27                         ,-5.9                      ,38.33                        ,-14.83          ,-6.86                   ,-6.92        ,20.34               ,-40.19  ,- -                  ,5.03                      ,-8.96   ,-19                  ,-13.18                       ,-7.08             ,-0.2                 ,- -          ,17.23             ,96.77        ,-2.25                           ,-6.76        ,-6.92                      ,-3.05              ,47.92    ,58.64              ,1.71                         ,-11.49        ,-14.35                ,-7.89               ,164.2      ,-4.25                       ,-1434.99       ,0.72                     ,-329.72                  ,-32.56                         ,114.28                ,455.88                      ,-88.12                         ,-0.57          ,-51.35         ,18.22                       ,152.3                          ,-403.14             ,114.28               ,-55.05         ,32.91                ,-75.08                  ,0.05541286189527472
 5 ,2015 ,-6.48                    ,-10.94          ,-3.55        ,-11.14                     ,-6.63                  ,12.93                   ,-120.25                     ,-68.75        ,-62.64                      ,-2.7                      ,-61.7             ,-2.97                       ,-61.59              ,4.1    ,11.32             ,12.93  ,12.93  ,3.13             ,20.76                ,-60.15            ,-3.73              ,0.22               ,-4.72                ,-14.58                         ,14.55                   ,-2.14                   ,-15.63      ,-1.98           ,-10.28               ,-4.79                          ,-8.7                      ,-3.52                        ,20.66           ,10.52                   ,3.5          ,3.46                ,-4.4    ,- -                  ,2.33                      ,27.97   ,14.91                ,22.84                        ,15.07             ,-0.48                ,- -          ,-1.46             ,-4.05        ,-8.16                           ,-8.25        ,3.5                        ,-2.01              ,28.85    ,40.43              ,-69.54                       ,-12.32        ,-10.13                ,-2.86               ,-62.64     ,-4.72                       ,-114.74        ,7.55                     ,-114.69                  ,58.03                          ,-61.32                ,-139.66                     ,1172.19                        ,-2.48          ,152.32         ,-45.66                      ,-65.13                         ,-131.38             ,-61.32               ,145.17         ,-27.04               ,324.06                  ,-0.03161442126861502
 6 ,2016 ,0.78                     ,-6.98           ,5.5          ,-5.34                      ,7.31                   ,18.72                   ,-31.92                      ,38.84         ,28.1                        ,-1.78                     ,30.43             ,-1.9                        ,30.6                ,3.44   ,2.64              ,18.72  ,18.72  ,4.69             ,17.8                 ,27.12             ,0.78               ,1.95               ,-14.65               ,6.81                           ,-23.57                  ,8.24                    ,3.53        ,-14.83          ,2.86                 ,-3.85                          ,-2.3                      ,-12.45                       ,-11.08          ,-10.07                  ,-6.29        ,0.11                ,-78.03  ,- -                  ,-10.41                    ,1.44    ,-2.08                ,0.15                         ,-3.41             ,-0.67                ,- -          ,-2.68             ,25.99        ,-10.27                          ,-9.96        ,-6.29                      ,-1.16              ,1.87     ,13.14              ,11.79                        ,14.81         ,-0.76                 ,- -                 ,-11.62     ,-14.65                      ,93.8           ,0.33                     ,870.52                   ,-16.46                         ,25.8                  ,-134.78                     ,-32.53                         ,0.14           ,-86.41         ,-17.96                      ,71.61                          ,-178.48             ,25.8                 ,-21.33         ,24.82                ,-34.8                   ,0.055191506237858734
 7 ,2017 ,0.79                     ,-8.03           ,5.52         ,0.7                        ,38.75                  ,-15.9                   ,-46.06                      ,-10.03        ,-54.62                      ,-1.3                      ,-54.28            ,-1.4                        ,-54.24              ,-15.48 ,-16.14            ,-15.9  ,-15.9  ,4.69             ,-16.56               ,-55.23            ,-0.67              ,2.17               ,-14.78               ,-40.74                         ,-6.49                   ,-2.07                   ,4.73        ,-2.05           ,-19.1                ,3.43                           ,4.56                      ,6.21                         ,-6.73           ,-2.56                   ,-7.87        ,-6.49               ,438.2   ,- -                  ,8.2                       ,-12.03  ,-1.88                ,-8.39                        ,-3.21             ,-0.09                ,- -          ,-6.31             ,-6.05        ,-14.35                          ,-14.24       ,-7.87                      ,-1.9               ,-0.05    ,16.54              ,-53.05                       ,-25.23        ,3.66                  ,1.47                ,-38.65     ,-14.78                      ,22.75          ,4                        ,93.04                    ,-37.87                         ,16.98                 ,-479.43                     ,-183.46                        ,0.84           ,- -            ,16.89                       ,10.64                          ,-53.14              ,16.98                ,-47.97         ,37.13                ,37.7                    ,-0.209064555537688
 8 ,2018 ,5.41                     ,5.75            ,5.26         ,2.77                       ,-2.3                   ,18.53                   ,-70.81                      ,28.96         ,138.93                      ,-2.42                     ,148.21            ,-2.51                       ,148.45              ,10.5   ,4.82              ,18.53  ,18.53  ,-0.15            ,12.44                ,129.77            ,5.41               ,2.58               ,-2.54                ,4.31                           ,30.75                   ,2.88                    ,6.75        ,4.68            ,4.48                 ,6.85                           ,1.98                      ,-48.59                       ,-3.38           ,-10.05                  ,-5.96        ,8.62                ,73.63   ,- -                  ,19.3                      ,-7.24   ,3.05                 ,-3.29                        ,4.6               ,-2.62                ,- -          ,2.97              ,12.93        ,-22.24                          ,-22.24       ,-5.96                      ,-3.86              ,-6.38    ,20.39              ,-239.47                      ,-12.42        ,-3.79                 ,- -                 ,156.12     ,-2.54                       ,-60.05         ,11.54                    ,-69.07                   ,69.41                          ,38.51                 ,47.37                       ,61.03                          ,0.1            ,- -            ,126.48                      ,31.52                          ,-335.91             ,38.51                ,82.21          ,-19.91               ,-30.06                  ,0.46191156943255207
 9 ,2019 ,10.75                    ,4.46            ,13.7         ,5.08                       ,1.23                   ,37.06                   ,237.83                      ,31.75         ,57.87                       ,-3.72                     ,64.36             ,-3.7                        ,64.32               ,18.16  ,6.7               ,37.06  ,37.06  ,2.66             ,23.76                ,42.89             ,7.63               ,14.36              ,-19.19               ,17.89                          ,21.48                   ,-4.14                   ,9.89        ,-4.96           ,6.21                 ,13.26                          ,10.55                     ,-76.43                       ,8.47            ,0.27                    ,2.13         ,10.13               ,-31.99  ,- -                  ,0.06                      ,14.79   ,-2.2                 ,7.83                         ,4.74              ,2.1                  ,- -          ,9.45              ,11.69        ,-2.97                           ,-3.28        ,2.13                       ,-2.07              ,-2.79    ,0.5                ,183.61                       ,6.15          ,-3.57                 ,2.9                 ,57.87      ,-19.19                      ,-240.56        ,19.83                    ,33.1                     ,23.05                          ,28.83                 ,-25.32                      ,-160.94                        ,10.11          ,359.5          ,-47.42                      ,-32.67                         ,-6.07               ,28.83                ,21.24          ,-7.01                ,-22.24                  ,-0.06606647177843716
