   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA    ,EBIT     ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-12.53                   ,-17.37          ,-2.25        ,-0.41                      ,-20.52                 ,-1072.64                ,500                         ,-510.3        ,-407.95                     ,1.65                      ,-1321.07          ,3.11                        ,-1303.73            ,148.53 ,184.13            ,-1072.64 ,-1072.64 ,11.75            ,-1211.97             ,-1518.97          ,44.87              ,- -                ,-23.83               ,11.3                           ,46.67                   ,-6.49                   ,4.28        ,12.03           ,7                    ,-19.73                         ,-24.41                    ,-27.62                       ,-8.39           ,-11.99                  ,-0.1         ,-7.24               ,12.87   ,- -                  ,5.44                      ,-34.8   ,-9.97                ,-21.17                       ,-7.19             ,5.02                 ,-86.96       ,16.54             ,-2.8         ,11.36                           ,11.17        ,-0.1                       ,1.82               ,-236.53  ,-222.81            ,15.75                        ,1.48          ,2.1                   ,-39.62              ,-407.95    ,-23.83                      ,-202.42        ,-7.77                    ,-169.96                  ,212.72                         ,-5.88                 ,-163.81                     ,-128.14                        ,- -            ,- -            ,54.31                       ,305.24                         ,-623.69             ,-5.88                ,317.65         ,-54.15               ,-125.2                  ,0.040987229608656195
 1 ,2011 ,-57.46                   ,-67.24          ,-39.9        ,-43.21                     ,-59.09                 ,-16.78                  ,-66.1                       ,9.01          ,173.43                      ,0.15                      ,82.66             ,0.47                        ,82.08               ,-23.64 ,79.48             ,-16.78   ,-16.78   ,41.28            ,95.62                ,330.02            ,-40.81             ,-37.96             ,-36.01               ,-42.56                         ,-55.3                   ,-42.9                   ,-62.46      ,-64.5           ,-48.89               ,-48.18                         ,-46.34                    ,-56.32                       ,-35.08          ,-38.73                  ,-45.54       ,-52.58              ,-33.06  ,-98.72               ,-56.2                     ,-48.5   ,0.65                 ,-17.69                       ,-40.68            ,-18.19               ,- -          ,-77.22            ,29.43        ,-52.1                           ,-52          ,-45.54                     ,-5.2               ,-75.44   ,-48.84             ,-14.24                       ,16.7          ,-37.19                ,-28.12              ,173.43     ,-36.01                      ,-35.9          ,-38.46                   ,-417.39                  ,-55.57                         ,-3.12                 ,239.69                      ,1186.17                        ,-36.84         ,- -            ,-612.85                     ,557.11                         ,-276.38             ,-3.12                ,-61.24         ,161.17               ,-75.71                  ,0.2753792629510752
 2 ,2012 ,6.03                     ,7.22            ,4.87         ,2.67                       ,3.86                   ,49.3                    ,-45                         ,64.63         ,18.49                       ,-12.49                    ,-13.06            ,-12.45                      ,-13.1               ,21.65  ,14.73             ,49.3     ,49.3     ,-1.1             ,40.8                 ,-28.25            ,10.85              ,328.53             ,-43.17               ,-29.23                         ,-21.96                  ,0.8                     ,0.2         ,8.08            ,-15.59               ,-6.36                          ,-6.42                     ,-13.25                       ,4.78            ,2.27                    ,-8.97        ,-1.97               ,-99.01  ,- -                  ,-12.58                    ,64.51   ,13.07                ,25.08                        ,8.48              ,-30.17               ,- -          ,59.94             ,14.74        ,-37.38                          ,-37.62       ,-8.97                      ,-13.39             ,-214.16  ,-283.01            ,-48.2                        ,-3.44         ,220.37                ,-4.35               ,18.49      ,-43.17                      ,24.31          ,9.52                     ,-27.74                   ,22.43                          ,-8.6                  ,-34.06                      ,-67.04                         ,275            ,12350          ,151.09                      ,-58.98                         ,-81.43              ,-8.6                 ,30.81          ,-13.33               ,60.92                   ,0.09192225971038437
 3 ,2013 ,-0.02                    ,2.41            ,-2.46        ,-6.37                      ,-1.86                  ,3.2                     ,168.18                      ,-5.76         ,25.85                       ,-8.94                     ,36.98             ,-9.05                       ,37.15               ,4.1    ,4.12              ,3.2      ,3.2      ,-2.44            ,3.22                 ,24.77             ,4.74               ,18.76              ,9.62                 ,-10.44                         ,119.69                  ,2.07                    ,1.75        ,-3.77           ,-5.15                ,-3.46                          ,-3.17                     ,74.31                        ,-12.22          ,-8.47                   ,-6.53        ,-3.45               ,- -     ,- -                  ,-3.45                     ,32.17   ,-40.76               ,-18.37                       ,-13.07            ,-28.72               ,- -          ,49.23             ,-30.7        ,12.07                           ,12.13        ,-6.53                      ,-7.82              ,-293.42  ,-272.5             ,32.27                        ,-1.76         ,-5.63                 ,-4.55               ,25.85      ,9.62                        ,-228.47        ,-16.85                   ,-38.63                   ,-11.78                         ,-0.59                 ,120.22                      ,152.2                          ,8.15           ,-20.62         ,-33.67                      ,-47.38                         ,-509.13             ,-0.59                ,-13.89         ,26.23                ,-29.28                  ,-0.06049368283180434
 4 ,2014 ,-32.37                   ,-31.54          ,-33.25       ,-35.58                     ,-35.45                 ,-27.23                  ,1099.44                     ,-201.4        ,-162.99                     ,-7.67                     ,28.02             ,-9.21                       ,30.18               ,-26.77 ,8.28              ,-27.23   ,-27.23   ,-1.29            ,7.6                  ,74.78             ,-32.37             ,17.95              ,-24.12               ,22.53                          ,22.6                    ,-26.61                  ,-33.91      ,-13.32          ,-2.01                ,-32.22                         ,-14.26                    ,25.9                         ,-28.94          ,-26.64                  ,-12.05       ,-30.16              ,- -     ,- -                  ,-30.12                    ,38.22   ,-19.07               ,9.41                         ,-6.19             ,-66.49               ,-33.33       ,40.62             ,-18.89       ,-25.25                          ,-25.02       ,-12.05                     ,-13.63             ,-27.49   ,-3.29              ,12.6                         ,40.24         ,15.16                 ,- -                 ,-162.99    ,-24.12                      ,-375.72        ,-38.56                   ,515.06                   ,-162.5                         ,7.1                   ,54.68                       ,54.98                          ,8.9            ,131.87         ,57.68                       ,41.76                          ,-53.41              ,7.1                  ,-199.48        ,-348.4               ,-152.88                 ,-0.09982193975142506
 5 ,2015 ,-3.16                    ,-2.43           ,-3.96        ,-13.77                     ,-8.96                  ,11.23                   ,-92.79                      ,-178.98       ,-192.39                     ,-18.73                    ,-42.22            ,-17.83                      ,-42.85              ,7.49   ,11                ,11.23    ,11.23    ,-0.82            ,14.86                ,-51.51            ,45.26              ,7.18               ,-13.29               ,-39.78                         ,-49.92                  ,-3.34                   ,-14.2       ,-53.63          ,-33.39               ,-11.29                         ,-5.51                     ,-15.19                       ,13.85           ,7.36                    ,-19.53       ,-2.54               ,- -     ,- -                  ,-2.53                     ,29.15   ,-5.32                ,16.33                        ,10.79             ,-96.27               ,- -          ,-49.68            ,0.59         ,-103.88                         ,-103.47      ,-19.53                     ,-20.7              ,-535.02  ,12433.96           ,-127.29                      ,-31.66        ,-10.17                ,-33.33              ,-192.39    ,-13.29                      ,-89.45         ,-17.02                   ,-103.83                  ,-270.34                        ,-3.31                 ,-93.24                      ,-116.95                        ,-12.89         ,-29.38         ,27.62                       ,39.22                          ,-334.03             ,-3.31                ,-207.65        ,-129.1               ,-462.74                 ,0.050292846364296206
 6 ,2016 ,6.02                     ,6.49            ,5.52         ,-2.06                      ,-10.81                 ,12.43                   ,134.64                      ,-7.96         ,-12.6                       ,-15.03                    ,8.04              ,-14.22                      ,7.02                ,22.79  ,15.81             ,12.43    ,12.43    ,-0.48            ,6.04                 ,-13.41            ,6.02               ,18.96              ,96.67                ,-54.81                         ,-47.98                  ,0.73                    ,-7.77       ,30.57           ,-25.14               ,62.01                          ,5.36                      ,-11.19                       ,30.1            ,31.27                   ,0.45         ,19.96               ,- -     ,- -                  ,19.93                     ,0.14    ,23.69                ,7.27                         ,10.54             ,365.91               ,- -          ,-33.1             ,24.17        ,809.43                          ,891.67       ,0.45                       ,-5.51              ,39.67    ,-85.92             ,237                          ,-37.58        ,-14.27                ,- -                 ,-12.6      ,96.67                       ,144.37         ,-12.82                   ,-200                     ,15.92                          ,54.86                 ,191.3                       ,89.77                          ,1.08           ,-30.69         ,-75.66                      ,-56.26                         ,-53.86              ,54.86                ,7.71           ,-15.04               ,26.27                   ,0.1436582466788312
 7 ,2017 ,5.66                     ,5.9             ,5.4          ,-2.1                       ,2.71                   ,10.22                   ,-30.36                      ,27.49         ,-126.87                     ,-3.95                     ,-128.82           ,-5.89                       ,-129.41             ,11.42  ,5.44              ,10.22    ,10.22    ,-0.25            ,4.32                 ,-126.19           ,-1.38              ,14.15              ,16.27                ,11.99                          ,16.99                   ,11.01                   ,19.78       ,26.23           ,15.16                ,8.49                           ,9.38                      ,3.78                         ,-20.49          ,-14.75                  ,-2.58        ,9.63                ,1200    ,- -                  ,11.44                     ,0.61    ,9.77                 ,3.81                         ,5.95              ,72.2                 ,- -          ,-59.32            ,10.57        ,80.71                           ,81.41        ,-2.58                      ,-2.13              ,-2.97    ,-46.51             ,152.06                       ,3.33          ,1.56                  ,7.14                ,-126.87    ,16.27                       ,236.86         ,-2.94                    ,45.9                     ,15.54                          ,-16.24                ,-72.69                      ,-55.29                         ,9.64           ,-98.51         ,-46.46                      ,-30.71                         ,-120.02             ,-16.24               ,25.17          ,-6.21                ,-517.42                 ,-0.0798030795537239
 8 ,2018 ,15.09                    ,15.11           ,15.08        ,28.09                      ,12.15                  ,5.66                    ,19.6                        ,2.42          ,-741.72                     ,-0.31                     ,-725.14           ,5.59                        ,-690.25             ,5.51   ,-8.33             ,5.66     ,5.66     ,-0.01            ,-8.2                 ,-641.49           ,7.9                ,10.11              ,4.96                 ,3.4                            ,3.4                     ,51.35                   ,8.87        ,-59.22          ,8.15                 ,4.56                           ,-7.8                      ,-31.58                       ,29.1            ,20.64                   ,14.63        ,-37.41              ,-40.38  ,10425                ,5.63                      ,19.69   ,-11.03               ,8.35                         ,7.55              ,19.26                ,- -          ,125.05            ,7.92         ,-25.77                          ,-26.11       ,14.63                      ,1.43               ,24.74    ,68.83              ,9.63                         ,2.39          ,-13.71                ,6.67                ,-741.72    ,4.96                        ,-90.67         ,10.61                    ,315.73                   ,-20.13                         ,-13.22                ,-48.09                      ,182.59                         ,9.77           ,14800          ,-108.98                     ,-130.47                        ,-83.52              ,-13.22               ,-21.54         ,62.54                ,-112.81                 ,0.35875844691072445
 9 ,2019 ,7.41                     ,2.41            ,12.96        ,11.88                      ,7.85                   ,16.56                   ,111.37                      ,-9.17         ,-10.11                      ,2.59                      ,-12.41            ,2.09                        ,-11.99              ,15.11  ,7.17              ,16.56    ,16.56    ,5.17             ,8.52                 ,-16.34            ,1.09               ,9.63               ,9.44                 ,-19.66                         ,-19.66                  ,6.64                    ,25.56       ,-25.48          ,-2.2                 ,-93.07                         ,-31.53                    ,-5.92                        ,53.28           ,25.83                   ,13.1         ,9.54                ,-48.39  ,14.73                ,11.08                     ,6.07    ,-1.04                ,3.91                         ,5.99              ,19                   ,- -          ,17.89             ,-11.75       ,-45.86                          ,-46.47       ,13.1                       ,4.28               ,1.33     ,89.3               ,-6.74                        ,-11.95        ,-3.46                 ,6.25                ,-10.11     ,9.44                        ,304.31         ,61.64                    ,-124.05                  ,69.58                          ,25.89                 ,-83.16                      ,-26.22                         ,12.46          ,21.07          ,-658.33                     ,-620                           ,-979.31             ,25.89                ,79.38          ,-10.74               ,88.73                   ,0.1331303220861948
