   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,76.6                     ,10.01           ,-716.82      ,49.15                      ,-3.55                  ,-200.9                  ,-217.76                     ,-203.67       ,-195.33                     ,10.84                     ,-188.69           ,31.22                       ,-174.91             ,446.08 ,209.22            ,-200.9  ,-200.9  ,-449.28          ,-157.14              ,-155.66           ,24.1               ,- -                ,-12.08               ,96.16                          ,96.16                   ,91.85                   ,79.33       ,60.81           ,89.38                ,-6.88                          ,                     6.55 ,84.76                        ,65.54           ,3.02                    ,28.22        ,45.52               ,67.92   ,11.6                 ,42.81                     ,-30.73  ,111.65               ,-17.24                       ,7.9               ,16.39                ,16.47        ,-77.53            ,-375         ,61.92                           ,41.46        ,28.22                      ,17.18              ,-141.96  ,-129.66            ,11.34                        ,32.61         ,16.68                 ,42.31               ,-195.33    ,-12.08                      ,-116.28        ,102.17                   ,418.1                    ,156.72                         ,26.23                 ,-44.82                      ,-33.53                         ,- -            ,-72.07         ,-104.71                     ,320.69                         ,490.08              ,26.23                ,245.4          ,-48.15               ,-361.16                 ,-0.36835747448305645
 1 ,2011 ,3.61                     ,21.88           ,-35.22       ,12.12                      ,26.76                  ,-57.17                  ,-132.96                     ,-71.3         ,-90                         ,11.32                     ,-91.89            ,-4.11                       ,-90.59              ,-20.38 ,-23.15            ,-57.17  ,-57.17  ,-37.48           ,-58.66               ,-91.29            ,2.81               ,- -                ,9.52                 ,-25.85                         ,-25.85                  ,-2.22                   ,17.51       ,-20.17          ,-7.91                ,14.45                          ,                    10.91 ,-8.08                        ,-29.48          ,6.7                     ,0.4          ,0.66                ,-80.34  ,70.69                ,-8.22                     ,12.92   ,6.07                 ,11.26                        ,0.47              ,1.91                 ,-1.01        ,-30.97            ,1100         ,5.61                            ,0.37         ,0.4                        ,-1.03              ,-71.25   ,-71.35             ,-0.36                        ,0.33          ,28.94                 ,0.77                ,-90        ,9.52                        ,-279.67        ,-18.28                   ,-74.63                   ,-19.77                         ,313.96                ,-129.09                     ,355.8                          ,- -            ,379            ,938.46                      ,-2.05                          ,-152.73             ,313.96               ,-102.66        ,-33.46               ,788.8                   ,-0.2156789058519104
 2 ,2012 ,-6.3                     ,3.36            ,-44.94       ,4.73                       ,16.06                  ,-189.24                 ,33.05                       ,-236.84       ,-642.63                     ,0.3                       ,-716.09           ,-1.64                       ,-728.25             ,-44.34 ,-40.6             ,-189.24 ,-189.24 ,-41.23           ,-195.24              ,-759.54           ,-10.75             ,- -                ,1.71                 ,18.47                          ,13.84                   ,-13.89                  ,-12.88      ,3.16            ,-1.27                ,-5.98                          ,                     5.41 ,42.62                        ,-15.18          ,-3.92                   ,-2.87        ,-1.25               ,60      ,-36.78               ,-9.56                     ,63.25   ,12.7                 ,51.57                        ,20.63             ,3.61                 ,4.08         ,278.92            ,-39.39       ,-9.09                           ,-14.57       ,-2.87                      ,3.39               ,-605.03  ,-691.13            ,-12.42                       ,9.16          ,-8.65                 ,4.98                ,-642.63    ,1.71                        ,25.99          ,14.47                    ,-528.99                  ,-14.9                          ,-33.37                ,-1087.5                     ,13.22                          ,- -            ,74.74          ,-95.56                      ,-141.59                        ,-139.71             ,-33.37               ,-728.79        ,33.07                ,-113.77                 ,-0.1261078300566152
 3 ,2013 ,10.19                    ,-0.55           ,90.81        ,-9.35                      ,1.42                   ,-160.13                 ,-689.81                     ,-270.42       ,-215.81                     ,3.13                      ,-211.81           ,6.66                        ,-208.11             ,40.09  ,27.14             ,-160.13 ,-160.13 ,73.16            ,-154.57              ,-204.65           ,-2.29              ,- -                ,-15.74               ,21.18                          ,17.12                   ,80.68                   ,46.19       ,748.98          ,54.76                ,7.36                           ,                     0.46 ,17.3                         ,139.49          ,19.1                    ,33.43        ,31.67               ,607.59  ,8.86                 ,83.91                     ,46.54   ,-15.08               ,35.96                        ,54.15             ,2.98                 ,1.96         ,-84.88            ,-21.25       ,18.73                           ,18.88        ,33.43                      ,2.62               ,137.24   ,99.56              ,-10.92                       ,-15.85        ,44.33                 ,12.77               ,-215.81    ,-15.74                      ,-310.44        ,4.6                      ,-154.05                  ,-14.33                         ,-15.13                ,5.27                        ,-17.39                         ,- -            ,-25.51         ,-16.67                      ,4.63                           ,40.8                ,-15.13               ,-11.08         ,173.16               ,-174.29                 ,2.13458684629544
 4 ,2014 ,80.29                    ,51.13           ,194.37       ,25.8                       ,47.26                  ,838.72                  ,-168.79                     ,112.68        ,157.87                      ,3.72                      ,146.71            ,13.34                       ,125.77              ,153.03 ,40.34             ,838.72  ,838.72  ,63.27            ,420.66               ,41.93             ,83.26              ,- -                ,16.57                ,46.21                          ,44.1                    ,24.77                   ,-7.32       ,-57.93          ,14.97                ,13.85                          ,                    12.01 ,100                          ,0.77            ,19.24                   ,17.25        ,40.05               ,2.08    ,-27.96               ,16.15                     ,11.43   ,105.98               ,21.58                        ,19.12             ,-14.16               ,2.88         ,-1387.26          ,-11.11       ,17.7                            ,15.55        ,17.25                      ,2.74               ,-20.31   ,-31.04             ,-1.58                        ,-1.01         ,-22.21                ,-1.62               ,157.87     ,16.57                       ,-83.74         ,26.37                    ,-305.62                  ,214.69                         ,115.46                ,3.01                        ,51.94                          ,- -            ,78.51          ,1420                        ,-388.27                        ,208.31              ,115.46               ,602.44         ,1.51                 ,22.98                   ,0.4957488010471778
 5 ,2015 ,-1.01                    ,0.51            ,-4.08        ,1.7                        ,12.33                  ,-11.45                  ,-41.13                      ,-4.54         ,-5.85                       ,0.94                      ,-5.68             ,-2.34                       ,-2.52               ,3.25   ,4.31              ,-11.45  ,-11.45  ,-3.1             ,-10.55               ,-3.82             ,-5.37              ,- -                ,26.82                ,-22.34                         ,-44.89                  ,-13.73                  ,-4.68       ,-34.86          ,-16.1                ,21.56                          ,                    16.4  ,95.08                        ,-11.65          ,27.74                   ,7.7          ,-6.15               ,-32.69  ,-45.95               ,-18.49                    ,27.01   ,-36.66               ,15.44                        ,0.46              ,-4.93                ,0.93         ,104.76            ,-76.79       ,14.33                           ,14.5         ,7.7                        ,1.03               ,183.99   ,148.02             ,6.7                          ,2.94          ,-2.75                 ,4.61                ,-5.85      ,26.82                       ,-49.65         ,46.09                    ,-143.62                  ,-8.62                          ,29.42                 ,331.91                      ,114.2                          ,- -            ,12.44          ,1063.16                     ,-52.1                          ,-232.97             ,29.42                ,-54.21         ,-55                  ,-4.01                   ,-0.5882780444403972
 6 ,2016 ,-23.43                   ,-9.87           ,-51.97       ,-8.34                      ,5                      ,-92.26                  ,36.53                       ,-110.77       ,-109.49                     ,-3.18                     ,-109.83           ,-11.45                      ,-110.75             ,-43.18 ,-25.8             ,-92.26  ,-92.26  ,-37.27           ,-89.89               ,-112.43           ,-22.45             ,- -                ,11.74                ,24.91                          ,81.02                   ,-17.51                  ,23.46       ,-38.6           ,10.46                ,39.15                          ,                    23.21 ,-49.08                       ,5.33            ,16.07                   ,14.07        ,44.34               ,-30.58  ,50.91                ,23.82                     ,45.28   ,-10.74               ,39.69                        ,34.01             ,3.47                 ,0.93         ,-5.17             ,-369.23      ,-1.8                            ,-2.35        ,14.07                      ,-4.06              ,1.23     ,3.66               ,-15.04                       ,-10.79        ,17.31                 ,-1.26               ,-109.49    ,11.74                       ,-508.45        ,13.69                    ,-160.28                  ,-39.17                         ,44.67                 ,-228.24                     ,-51.03                         ,- -            ,18.42          ,-83.26                      ,-343.04                        ,-208.29             ,44.67                ,-323.17        ,-4.53                ,-738.93                 ,0.4526721947534229
 7 ,2017 ,63.9                     ,20.13           ,236.77       ,12.75                      ,12.8                   ,2438.53                 ,30.47                       ,-1949.11      ,-1950.91                    ,5.12                      ,-1854.1           ,11.39                       ,-1755.3             ,202.87 ,84.79             ,2438.53 ,2438.53 ,105.47           ,1448.82              ,-1224.98          ,50.92              ,- -                ,29.56                ,23.42                          ,23.41                   ,81.77                   ,8.1         ,5               ,31.2                 ,32.31                          ,                    23.59 ,-65.3                        ,79.06           ,26.79                   ,28.31        ,-7.47               ,66.93   ,82.23                ,10.32                     ,8.07    ,2.57                 ,7.72                         ,8.58              ,7.06                 ,2.75         ,93.62             ,-182.86      ,54.15                           ,50.6         ,28.31                      ,6.92               ,11.27    ,-26.11             ,15.55                        ,18.92         ,-12.5                 ,8.6                 ,-1950.91   ,29.56                       ,151.72         ,12.57                    ,-983.24                  ,157.35                         ,-18.62                ,-109.45                     ,147.6                          ,- -            ,11.71          ,-75.68                      ,-80                            ,-48.37              ,-18.62               ,-229.07        ,47                   ,-113.96                 ,0.6817126662221606
 8 ,2018 ,49.55                    ,5.17            ,112.08       ,9.42                       ,17.38                  ,154.54                  ,-7.34                       ,175.35        ,177.76                      ,5.79                      ,162.57            ,6.5                         ,160.81              ,102.42 ,35.35             ,154.54  ,154.54  ,41.81            ,70.2                 ,85.73             ,41.65              ,- -                ,23.26                ,25.31                          ,27.34                   ,45.73                   ,15.11       ,11.56           ,28.75                ,21.83                          ,                    18.2  ,-23.34                       ,12.75           ,19.49                   ,22.75        ,26.16               ,-31.93  ,-13.88               ,7.87                      ,-61.79  ,6.1                  ,-57.67                       ,-35.64            ,-0.96                ,4.46         ,137.77            ,-65.52       ,73.43                           ,70.33        ,22.75                      ,4.41               ,-155.87  ,-132.8             ,42.74                        ,19.36         ,5.19                  ,5.57                ,177.76     ,23.26                       ,-58.08         ,-7.91                    ,18                       ,113.42                         ,87.56                 ,-160.97                     ,9.01                           ,- -            ,-69.53         ,97.22                       ,-2328.08                       ,45.91               ,87.56                ,149.22         ,-12.93               ,-23.16                  ,-0.16598333895520634
 9 ,2019 ,-22.98                   ,1.63            ,-40.18       ,2.83                       ,14.01                  ,-50.49                  ,-44.75                      ,-50.74        ,-55.03                      ,-3.3                      ,-53.81            ,-7                          ,-51.98              ,-34.9  ,-15.48            ,-50.49  ,-50.49  ,-22.33           ,-35.71               ,-42.01            ,-25.07             ,- -                ,13.97                ,16.95                          ,9.93                    ,-41.68                  ,42.36       ,43.29           ,2.89                 ,19.3                           ,                    17.79 ,146.09                       ,-6.64           ,18.46                   ,12.71        ,5.76                ,52.5    ,-12.86               ,11.05                     ,20.13   ,74.93                ,28.47                        ,18.65             ,0.17                 ,0.85         ,26.1              ,-10          ,11.11                           ,10.87        ,12.71                      ,-4.74              ,-30.26   ,-37.1              ,-1.57                        ,-7.35         ,33.87                 ,2.78                ,-55.03     ,13.97                       ,59.8           ,22.73                    ,-150.92                  ,-24.2                          ,10.15                 ,-815.24                     ,22.75                          ,- -            ,251.83         ,3743.66                     ,-68.65                         ,-52.7               ,10.15                ,-59.99         ,-8.9                 ,69.72                   ,0.4061449175325431
