   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-2.1                     ,-15.71          ,10.12        ,- -                        ,- -                    ,25.02                   ,15.64                       ,28.17         ,21.18                       ,                     1.46 ,19.43             ,                       1.42 ,19.47               ,17.49  ,20.01             ,25.02  ,25.02  ,12.49            ,27.7                 ,23.78             ,-30.03             ,              5.9  ,7.45                 ,26.89                          ,26.89                   ,15.06                   ,-2.28       ,56.07           ,21.4                 ,8.31                           ,7.79                      ,404.06                       ,-44.36          ,                   8.22 ,        9.4  ,36.19               ,8.5     ,-10.84               ,7.47                      ,10.51   ,6.84                 ,8.9                          ,8.64              ,7.2                  ,- -          ,            14.65 ,-5.14        ,11.48                           ,       11.48 ,                      9.4  ,1.69               ,   10.02 ,-1.31              ,1.9                          ,12.96         ,-14.71                ,39.9                ,21.18      ,7.45                        ,-144.49        ,- -                      ,-407.79                  ,-14.82                         ,-24.31                ,-4.15                       ,-11.43                         ,          7.44 ,10.37          ,55.56                       ,29.62                          ,-121.55             ,-24.31               ,-13.99         ,15.78                ,-29.7                   ,-0.10346583578317414
 1 ,2011 ,0.16                     ,0.22            ,0.11         ,- -                        ,- -                    ,5.74                    ,29.58                       ,-1.49         ,-1.74                       ,                     1.54 ,-3.22             ,                       1.45 ,-3.14               ,-1.16  ,-1.32             ,5.74   ,5.74   ,-0.05            ,5.57                 ,-1.89             ,1.47               ,             10.1  ,-11.85               ,24.83                          ,24.83                   ,-30.21                  ,25.32       ,6.72            ,-7.34                ,8.74                           ,6.14                      ,1.29                         ,23.68           ,                   9.24 ,        7.6  ,11.04               ,-23.21  ,11.74                ,-2.68                     ,15.53   ,6.84                 ,11.79                        ,9.19              ,-3.71                ,- -          ,            11.3  ,-192.77      ,3.33                            ,        3.33 ,                      7.6  ,-1.19              ,   10.09 ,6.54               ,-3.96                        ,-4.79         ,7.07                  ,-1.29               ,-1.74      ,-11.85                      ,-267.04        ,- -                      ,-289.03                  ,6.26                           ,96.35                 ,-50.85                      ,-0.09                          ,         11.79 ,5.02           ,-206.17                     ,-15.46                         ,17.19               ,96.35                ,-0.67          ,6.53                 ,8.14                    ,0.21867288321538236
 2 ,2012 ,-7.07                    ,32.29           ,-34.18       ,- -                        ,- -                    ,-4.46                   ,-31.12                      ,6.16          ,-0.62                       ,                     0.02 ,-0.65             ,                       0.05 ,-0.67               ,-4.27  ,3.02              ,-4.46  ,-4.46  ,-29.17           ,2.81                 ,6.94              ,-6.43              ,              9.1  ,-3.9                 ,-12.73                         ,-12.73                  ,14.1                    ,-0.09       ,9.88            ,7.49                 ,16.29                          ,12.8                      ,8.21                         ,-5.32           ,                  13.53 ,       13.01 ,-2.35               ,86.97   ,7.74                 ,29.92                     ,12.09   ,12.15                ,12.12                        ,14.96             ,6.13                 ,- -          ,             9.18 ,65.58        ,7.54                            ,        7.54 ,                     13.01 ,1.92               ,   19.65 ,11.27              ,-4.85                        ,-17.26        ,16.15                 ,-0.69               ,-0.62      ,-3.9                        ,-16.03         ,- -                      ,-27.46                   ,-2.01                          ,-43.31                ,219.25                      ,69.12                          ,          9.13 ,71.08          ,-218.04                     ,281.88                         ,-164                ,-43.31               ,4.27           ,19.6                 ,-1.4                    ,0.04518250464483198
 3 ,2013 ,6.17                     ,-1.5            ,16.79        ,- -                        ,- -                    ,8.09                    ,51.56                       ,-3.15         ,-9.99                       ,                     1.8  ,-1.92             ,                       1.86 ,-1.98               ,20.09  ,13.11             ,8.09   ,8.09   ,10               ,1.8                  ,-5.96             ,14.1               ,              9.78 ,42.27                ,33.13                          ,33.13                   ,11.33                   ,7.46        ,10.29           ,11.55                ,6.69                           ,6.98                      ,14.23                        ,4.76            ,                   7.2  ,        7.55 ,18.38               ,10.51   ,-13.75               ,5.27                      ,2.76    ,10.99                ,6.15                         ,5.99              ,15.77                ,- -          ,             7.29 ,-121.96      ,12.27                           ,       12.27 ,                      7.55 ,2.59               ,    3.54 ,-7.77              ,4.38                         ,5.97          ,16.18                 ,-6.94               ,-9.99      ,42.27                       ,43.53          ,- -                      ,-83.69                   ,27.71                          ,21.64                 ,64.77                       ,-31.42                         ,         11.75 ,-45.43         ,118.13                      ,-76.8                          ,-327.08             ,21.64                ,28.21          ,0.24                 ,27.91                   ,-0.016014472697861493
 4 ,2014 ,12.45                    ,7.35            ,18.41        ,- -                        ,- -                    ,24.12                   ,-26.47                      ,44.59         ,43.55                       ,                     2.4  ,26.16             ,                       3.07 ,25.35               ,20.27  ,6.95              ,24.12  ,24.12  ,5.3              ,10.37                ,14.89             ,12.45              ,              9.75 ,14.88                ,31.74                          ,31.74                   ,-5.68                   ,12.06       ,48.62           ,18.86                ,5.66                           ,6.03                      ,11.25                        ,18.01           ,                   7.12 ,        8.11 ,-0.32               ,4.49    ,12.7                 ,5.16                      ,1.66    ,14.49                ,7.18                         ,6.82              ,11.97                ,- -          ,            10.41 ,-171.43      ,10.4                            ,       11.8  ,                      8.11 ,1.84               ,    1.64 ,-9.08              ,3.41                         ,13.03         ,8.13                  ,- -                 ,43.55      ,14.88                       ,-26.04         ,- -                      ,915.09                   ,7.89                           ,-22.64                ,2.77                        ,3.89                           ,         12.39 ,50.78          ,-24.82                      ,-11.82                         ,27.52               ,-22.64               ,10.28          ,23.11                ,-16.49                  ,0.16530360519407128
 5 ,2015 ,2.73                     ,-1.77           ,7.5          ,- -                        ,- -                    ,6.03                    ,-10.67                      ,9.47          ,11.87                       ,                     3.71 ,7.65              ,                       3.16 ,8.22                ,7.85   ,4.98              ,6.03   ,6.03   ,4.64             ,3.21                 ,8.67              ,-3.73              ,              5.91 ,10.6                 ,-1.04                          ,-1.04                   ,4.91                    ,-2.55       ,-7.41           ,-2.15                ,10.2                           ,9.16                      ,5.47                         ,29.03           ,                  11.32 ,       10.08 ,55.71               ,-35.45  ,27.98                ,4.59                      ,9.5     ,8.91                 ,9.23                         ,8.41              ,19.74                ,25           ,            10.7  ,317.5        ,13.35                           ,       14.6  ,                     10.08 ,4.06               ,    2.35 ,-10.69             ,4.11                         ,-6.44         ,-76.03                ,6.72                ,11.87      ,10.6                        ,-63.89         ,- -                      ,-82.9                    ,11.2                           ,25.78                 ,18.32                       ,25.84                          ,          9.83 ,13.15          ,105.06                      ,88.3                           ,-104.32             ,25.78                ,10.4           ,-10.33               ,-0.4                    ,0.014773405278583063
 6 ,2016 ,-7.61                    ,-13.55          ,-1.87        ,- -                        ,- -                    ,-7.79                   ,-113.58                     ,9.97          ,8.8                         ,                     2.8  ,2.93              ,                       2.6  ,3.13                ,-2.4   ,5.64              ,-7.79  ,-7.79  ,6.22             ,-0.19                ,14.53             ,-10.13             ,             13.22 ,5.43                 ,126.27                         ,126.27                  ,7.68                    ,2.38        ,-11.52          ,9.04                 ,9                              ,8.24                      ,14.33                        ,5.18            ,                   9.12 ,        9.11 ,29.44               ,0.53    ,-10.99               ,8.03                      ,4.26    ,14.82                ,9.1                          ,8.92              ,4.09                 ,- -          ,             9.32 ,-58.08       ,7.83                            ,        9.6  ,                      9.11 ,1.52               ,    1.48 ,-7.41              ,0.45                         ,0.93          ,-588.57               ,2.8                 ,8.8        ,5.43                        ,-27.16         ,- -                      ,142.39                   ,3.6                            ,-21.61                ,-9.2                        ,1.31                           ,         16.39 ,-1.16          ,-58.63                      ,32.5                           ,-12116.67           ,-21.61               ,5.18           ,15.02                ,-2.1                    ,0.08894801938717167
 7 ,2017 ,6.44                     ,-0.44           ,12.3         ,- -                        ,- -                    ,39.28                   ,-1548.35                    ,6.36          ,77.04                       ,                     1.23 ,82.44             ,                       1.44 ,82.07               ,12.25  ,5.46              ,39.28  ,39.28  ,5.51             ,30.86                ,73.51             ,11.76              ,             13.06 ,-22.15               ,32.66                          ,32.66                   ,12.22                   ,-1.24       ,-40.02          ,-3.4                 ,8.23                           ,7.78                      ,13.21                        ,19.8            ,                   9.79 ,        8.71 ,-3.11               ,19.72   ,-4.42                ,2.87                      ,13.1    ,-1.12                ,6.24                         ,5.67              ,1.7                  ,- -          ,            22.86 ,-258.57      ,15.89                           ,       16.45 ,                      8.71 ,0.64               ,   12.92 ,-3.03              ,1.81                         ,-6.09         ,37.43                 ,-4.76               ,77.04      ,-22.15                      ,-1163.28       ,- -                      ,-255.16                  ,1.22                           ,-30.39                ,-2.4                        ,9.96                           ,         14.45 ,66.04          ,-89.76                      ,17.56                          ,-40.64              ,-30.39               ,2.69           ,32.54                ,-45.2                   ,0.14976038629189747
 8 ,2018 ,-2.72                    ,-4.54           ,-1.35        ,- -                        ,- -                    ,-29.06                  ,-335.66                     ,57.53         ,8.57                        ,                     0.94 ,22.28             ,                       0.95 ,22.27               ,-2.65  ,0.08              ,-29.06 ,-29.06 ,1.41             ,-27.07               ,26.88             ,-4.76              ,             12.82 ,57.47                ,-62.78                         ,-62.78                  ,8.48                    ,-3.93       ,9.07            ,-10.67               ,-2.88                          ,-1.81                     ,40.97                        ,54.34           ,                   7.32 ,        6.01 ,-17.01              ,202.1   ,-5.47                ,56.37                     ,-14.88  ,-14.39               ,-14.66                       ,-2.99             ,15.27                ,- -          ,            25.51 ,-269.37      ,21.04                           ,       26.83 ,                      6.01 ,1.49               ,   11.11 ,-12.4              ,22.4                         ,-42.87        ,-45.45                ,2.14                ,8.57       ,57.47                       ,44.79          ,- -                      ,-272.83                  ,2.81                           ,35.53                 ,8.96                        ,22.79                          ,         13.88 ,8.83           ,1205.45                     ,160.28                         ,665.65              ,35.53                ,1.77           ,7.29                 ,-16.71                  ,0.20540953086728597
 9 ,2019 ,14.81                    ,13.32           ,15.89        ,- -                        ,- -                    ,24.54                   ,-146.75                     ,-47.82        ,-41.34                      ,                     1.85 ,-44.25            ,                       1.78 ,-44.21              ,16.46  ,1.44              ,24.54  ,24.54  ,0.94             ,8.48                 ,-50.54            ,10.93              ,             12.53 ,8.16                 ,-5.96                          ,-5.96                   ,-5.46                   ,8.59        ,71.02           ,15.88                ,16.6                           ,16.39                     ,14.03                        ,-3.31           ,                  13.33 ,       13.49 ,31.62               ,-53.89  ,34.83                ,-21.12                    ,40.18   ,13.63                ,28.22                        ,15.15             ,14.1                 ,- -          ,             5.71 ,-10.11       ,8.38                            ,       10.55 ,                     13.49 ,2.3                ,   13.24 ,2.43               ,-6.66                        ,46.91         ,3.83                  ,3.5                 ,-41.34     ,8.16                        ,-96.77         ,- -                      ,-163.04                  ,23.69                          ,17.98                 ,-41.01                      ,47.74                          ,         14.61 ,26.9           ,108.08                      ,-49.27                         ,-226.61             ,17.98                ,23.93          ,15.1                 ,117.85                  ,0.13807804716456218
