   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   29.48 ,          25.77 ,36.26        ,26.05                      ,42.59                  ,47.78                   ,-6402.37                    ,39.29         ,38.83                       ,-7.13                     ,49.49             ,-7.04                       ,49.35               , 38.46 ,6.94              ,47.78  ,47.78  ,5.24             ,14.13                ,7.23              ,22.03              ,- -                ,               31.51 ,9.41                           ,44.91                   ,- -                     ,384.89      ,105.03          ,55.95                ,-2.34                          ,-0.3                      ,- -                          ,55.05           ,26.93                   ,       44.48 ,107.68              ,47.73    ,27.06                ,71.66                     ,-1.04   ,292.07               ,19.31                        ,43.97             ,            97400    ,- -          ,            19.58 ,174.73       ,45.71                           ,45.71        ,                     44.48 ,-1.23              ,-91.64   ,-94.26             ,-13.85                       ,-9.15         ,-60.48                ,6.1                 ,38.83      ,                      31.51 ,16704.1        ,121.87                   ,-598.07                  ,-14.97                         ,-85.64                ,-261.61                     ,-52.83                         ,- -            ,- -            ,-44.48                      ,18.2                           ,-1165.49            ,-85.64               ,181.83         ,443.8                ,-38.75                  ,2.0614995128549265
 1 ,2011 ,                   48.18 ,          50.29 ,44.63        ,42.86                      ,58.6                   ,35.76                   ,3.77                        ,37.66         ,44.01                       ,0.61                      ,43.14             ,0.12                        ,43.83               , 96.79 ,32.8              ,35.76  ,35.76  ,-2.39            ,-8.38                ,-2.82             ,119.16             ,- -                ,              147.9  ,127.69                         ,161.21                  ,- -                     ,- -         ,839.6           ,185.1                ,6.05                           ,15.42                     ,- -                          ,418.51          ,263.04                  ,      212.17 ,311.57              ,11.33    ,15.17                ,212.95                    ,70.85   ,1057.98              ,296.06                       ,249.38            ,              324.14 ,3.77         ,            80.22 ,-5.87        ,123.43                          ,123.43       ,                    212.17 ,4.96               ,-2064.24 ,-979.12            ,-244.86                      ,-8.9          ,1086.46               ,-32.39              ,40.58      ,                     147.9  ,90.49          ,119.97                   ,-51.56                   ,14.95                          ,292.63                ,-559.36                     ,128.99                         ,- -            ,-6.97          ,-112.4                      ,-361.54                        ,420.21              ,292.63               ,-24.45         ,-73.47               ,-20.18                  ,-0.6056027902696948
 2 ,2012 ,                   12.63 ,          28.73 ,-15.56       ,16.11                      ,27.01                  ,-87.02                  ,17.93                       ,-91.73        ,-92.6                       ,5.06                      ,-92.95            ,8.34                        ,-93.17              , 43.06 ,27.02             ,-87.02 ,-87.02 ,-25.03           ,-88.47               ,-93.43            ,35.72              ,- -                ,              102.72 ,-6.23                          ,-42.86                  ,- -                     ,- -         ,44.99           ,22.62                ,-3.43                          ,9.8                       ,- -                          ,44.78           ,39.47                   ,       29.43 ,-86.92              ,- -      ,948.85               ,37.82                     ,- -     ,43.17                ,28.8                         ,33.33             ,               37.64 ,1.82         ,             2.72 ,313.46       ,14.86                           ,14.86        ,                     29.43 ,0.34               ,-201.53  ,-188.4             ,56.62                        ,-11.02        ,-27.32                ,-17.01              ,-92.41     ,                     102.72 ,100.71         ,20.08                    ,-76.39                   ,-92.83                         ,-33.45                ,22.54                       ,-7.48                          ,- -            ,- -            ,-81.6                       ,-97.86                         ,-169.39             ,-33.45               ,-136.62        ,463.89               ,-3.23                   ,0.20221104985745408
 3 ,2013 ,                   21.2  ,          17.42 ,31.31        ,13.2                       ,15.12                  ,356.77                  ,193.53                      ,461.27        ,555.33                      ,4.82                      ,525.19            ,3.15                        ,535.31              , 40.98 ,16.31             ,356.77 ,356.77 ,8.34             ,276.86               ,440.69            ,26.52              ,- -                ,               31.7  ,60.47                          ,108.4                   ,- -                     ,- -         ,24.5            ,36.5                 ,1.46                           ,6.3                       ,- -                          ,39.16           ,36.29                   ,       36.41 ,16.36               ,- -      ,29.64                ,28.54                     ,25      ,24.19                ,24.4                         ,26.55             ,              157.73 ,7.14         ,            25.54 ,22.47        ,79.08                           ,79.08        ,                     36.41 ,7.23               ,-195.68  ,-153.43            ,-26.25                       ,6.2           ,-84.9                 ,-4.2                ,555.33     ,                      31.7  ,37.95          ,-1.15                    ,360.94                   ,329.74                         ,33.81                 ,-14.04                      ,4.09                           ,- -            ,147.7          ,3303.2                      ,8421.45                        ,-246.22             ,33.81                ,-66.79         ,117.48               ,-34.42                  ,2.6803347339943673
 4 ,2014 ,                   25.83 ,          21.71 ,35.67        ,28.17                      ,24.7                   ,76.33                   ,-6.97                       ,104.22        ,137.36                      ,3.23                      ,129.93            ,1.54                        ,133.75              , 28.92 ,2.46              ,76.33  ,76.33  ,7.82             ,40.13                ,88.63             ,19.52              ,- -                ,               24.09 ,34                             ,84.08                   ,- -                     ,- -         ,25.49           ,28.83                ,12.18                          ,16.1                      ,- -                          ,33.61           ,32.39                   ,       30.38 ,67.02               ,- -      ,20.09                ,23.63                     ,80      ,14.81                ,31.74                        ,27.46             ,               34.13 ,- -          ,            48.29 ,-224.36      ,39.3                            ,39.3         ,                     30.38 ,1.36               ,103.5    ,46.09              ,-6.27                        ,4.21          ,30.68                 ,5.29                ,137.36     ,                      24.09 ,33.38          ,57.65                    ,14.38                    ,-83.15                         ,20.36                 ,-170.73                     ,-83.25                         ,- -            ,-18.46         ,-51.39                      ,13.74                          ,61.99               ,20.36                ,475.71         ,29.42                ,-92.9                   ,-0.18604690771509336
 5 ,2015 ,                   23.16 ,          22.35 ,24.9         ,40.42                      ,37.79                  ,-24.05                  ,207.7                       ,-59.39        ,-54.03                      ,1.27                      ,-54.61            ,1.06                        ,-54.51              , 20.99 ,-1.76             ,-24.05 ,-24.05 ,1.41             ,-38.33               ,-62.68            ,-18.45             ,- -                ,               27.51 ,43.66                          ,62.47                   ,- -                     ,- -         ,33.84           ,37.85                ,15.7                           ,13.52                     ,- -                          ,54.99           ,53.11                   ,       44.59 ,45.17               ,- -      ,31.1                 ,32.54                     ,163.48  ,27.06                ,75.48                        ,53.48             ,               27.03 ,2207915      ,            14.97 ,874.09       ,19.69                           ,19.69        ,                     44.59 ,1.19               ,-363.11  ,-319.84            ,65.95                        ,4.01          ,19.98                 ,51.02               ,-54.03     ,                      27.51 ,44.89          ,8.23                     ,26.1                     ,-4646.74                       ,17.08                 ,-108.05                     ,318.03                         ,- -            ,275            ,28.8                        ,202.8                          ,38.1                ,17.08                ,617.51         ,-166.35              ,-9991.19                ,1.3510497314692902
 6 ,2016 ,                   30.26 ,          31.33 ,28.0         ,27.4                       ,30.93                  ,24.19                   ,-27.24                      ,83.6          ,52.22                       ,0.69                      ,51.17             ,0.5                         ,51.45               , 37.68 ,5.7               ,24.19  ,24.19  ,-1.73            ,-4.66                ,16.86             ,2.54               ,- -                ,               38.85 ,-24.97                         ,-18.89                  ,- -                     ,- -         ,27.73           ,5.31                 ,44.39                          ,15.69                     ,- -                          ,65.65           ,64.88                   ,       33.16 ,29.6                ,- -      ,29.99                ,29.95                     ,41.87   ,42.21                ,42.03                        ,36.69             ,               20.75 ,20.75        ,            19.82 ,12.14        ,20.53                           ,20.53        ,                     33.16 ,0.49               ,237.48   ,180.01             ,105.2                        ,-18.96        ,-5.24                 ,27.03               ,52.22      ,                      38.85 ,47.6           ,39.25                    ,11.27                    ,96.68                          ,9.23                  ,-3017.22                    ,-127.77                        ,- -            ,-33.33         ,-52.58                      ,-33.45                         ,-146.74             ,9.23                 ,80.57          ,-50.86               ,29.21                   ,-0.012993118572291129
 7 ,2017 ,                   32.41 ,          27.03 ,44.0         ,36.5                       ,23.55                  ,120.83                  ,196.23                      ,86.3          ,199.41                      ,0.71                      ,197.28            ,1.86                        ,193.94              , 35.14 ,2.06              ,120.83 ,120.83 ,8.75             ,66.77                ,126.12            ,13.15              ,- -                ,               28.54 ,62.81                          ,92.34                   ,- -                     ,- -         ,21.59           ,34.08                ,27.56                          ,17.74                     ,- -                          ,44.74           ,44.19                   ,       39.94 ,32.16               ,- -      ,17.55                ,19.18                     ,93.19   ,17.23                ,57.66                        ,41.48             ,               16.98 ,16.98        ,            53.39 ,-57.67       ,33.67                           ,33.67        ,                     39.94 ,0.78               ,93.84    ,45.02              ,7.93                         ,12.51         ,-6.53                 ,17.02               ,199.41     ,                      28.54 ,28.86          ,4.91                     ,-69.34                   ,21.16                          ,22.83                 ,13.8                        ,-31.02                         ,- -            ,202.05         ,139                         ,181.87                         ,-498.5              ,22.83                ,21.35          ,28.45                ,-59.53                  ,0.3563657888859977
 8 ,2018 ,                   35.08 ,          30.13 ,44.48        ,40.07                      ,16.06                  ,91.4                    ,7.19                        ,152.71        ,116.71                      ,0.81                      ,114.97            ,0.99                        ,114.58              , 29.19 ,-4.36             ,91.4   ,91.4   ,6.96             ,41.69                ,60.43             ,4.64               ,- -                ,               20.95 ,34.42                          ,34.42                   ,- -                     ,- -         ,9.96            ,26.39                ,30.96                          ,22.7                      ,- -                          ,43.89           ,43.53                   ,       36.62 ,54.21               ,- -      ,13.67                ,18.68                     ,59.4    ,12.21                ,42.99                        ,34.38             ,               23.76 ,23.76        ,            69.97 ,-4.74        ,46.25                           ,46.25        ,                     36.62 ,0.74               ,78.58    ,22.1               ,12.36                        ,6.5           ,-20.73                ,29.09               ,116.71     ,                      20.95 ,35.58          ,75.98                    ,398.1                    ,50.09                          ,-6.38                 ,- -                         ,-1087.85                       ,- -            ,31.17          ,40.87                       ,31.57                          ,-22.37              ,-6.38                ,43.72          ,-13.79               ,-30.74                  ,0.4567255590119851
 9 ,2019 ,                   27.62 ,          24.81 ,32.43        ,18.9                       ,26.46                  ,62.24                   ,43.1                        ,68.15         ,54.13                       ,0.56                      ,53.28             ,0.12                        ,53.95               , 28.75 ,0.88              ,62.24  ,62.24  ,3.77             ,27.13                ,20.78             ,5.36               ,- -                ,               21.73 ,32.26                          ,32.26                   ,71.88                   ,- -         ,-96.6           ,-36.27               ,35.13                          ,24.71                     ,- -                          ,71.68           ,70.74                   ,       30.8  ,45.85               ,- -      ,-1.99                ,5.68                      ,42.46   ,22.9                 ,37.12                        ,27.29             ,               20.64 ,20.64        ,            63.53 ,20.12        ,44.73                           ,44.73        ,                     30.8  ,0.51               ,48.36    ,2.51               ,102.4                        ,-39.69        ,-15.33                ,21.13               ,54.13      ,                      21.73 ,19.21          ,26.42                    ,-85.35                   ,7.72                           ,19.06                 ,- -                         ,14.14                          ,- -            ,12.81          ,-41.78                      ,11.29                          ,19.67               ,19.06                ,8.55           ,16.09                ,-30.11                  ,-0.07989628583840425
