   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-16.63                   ,-18.77          ,-5.88        ,-21.48                     ,- -                    ,13.85                   ,112.44                      ,4.41          ,21.04                       ,-6.99                     ,30.91             ,-6.87                       ,30.75               ,10.23  ,32.22             ,13.85  ,13.85  ,12.88            ,36.56                ,46.05             ,-14.06             ,              8.71 ,-5.13                ,13.01                          ,13.01                   ,-1.92                   ,-23.42      ,638.07          ,59.83                ,-37.45                         ,-25.62                    ,- -                          ,-12.32          ,-17.98                  ,4.23         ,-50.87              ,661.17   ,108.42               ,43.55                     ,-5.99   ,-37.28               ,-24.89                       ,2.33              ,-9.98                ,-5.21        ,22.38             ,-8.53        ,6.86                            ,6.86         ,4.23                       ,-5.18              ,0.39     ,-6.05              ,-148.58                      ,11.34         ,-37.43                ,-2.98               ,13.82      ,-5.13                       ,-203.78        ,29.52                    ,-1511.76                 ,15                             ,-18.14                ,- -                         ,-187.66                        ,1.11           ,76.04          ,7                           ,3.01                           ,-75.89              ,-18.14               ,31.96          ,-1.36                ,-5.56                   ,0.06866561073270128
 1 ,2011 ,-6.15                    ,-9.03           ,398.9        ,-4.74                      ,- -                    ,15.88                   ,-58.13                      ,30.3          ,9.56                        ,-6.77                     ,10.66             ,-6.48                       ,10.31               ,12.95  ,20.35             ,15.88  ,15.88  ,13.24            ,23.48                ,9.93              ,51.58              ,              6.87 ,-1.98                ,-18.89                         ,-18.89                  ,-10.96                  ,-2.57       ,-84.56          ,-43.87               ,0.07                           ,3.3                       ,- -                          ,-0.46           ,-0.37                   ,-19.41       ,-5.85               ,-98.34   ,-39.49               ,-38.82                    ,-0.13   ,24.91                ,12.5                         ,-16.13            ,-48.85               ,-12.71       ,17.63             ,26.59        ,-23.76                          ,-23.76       ,-19.41                     ,-12.74             ,-7.53    ,21.29              ,-426.41                      ,-8.27         ,-3.32                 ,-38.09              ,-101.67    ,-1.98                       ,663.91         ,2.94                     ,-34.44                   ,-13.78                         ,-17.43                ,6150                        ,-189.47                        ,-0.37          ,- -            ,94.99                       ,175.99                         ,-263.7              ,-17.43               ,-12.62         ,9.99                 ,-16.43                  ,0.033282162029747875
 2 ,2012 ,-4.52                    ,-5.52           ,-78.87       ,4.26                       ,- -                    ,-4.46                   ,-14.51                      ,-3.83         ,-5.18                       ,-10.19                    ,3.98              ,-10.01                      ,3.78                ,-4.71  ,-0.2              ,-4.46  ,-4.46  ,3.88             ,0.07                 ,-2.19             ,1.65               ,              9.7  ,-6.25                ,28.65                          ,28.65                   ,-3.58                   ,-8.59       ,-3.64           ,8.34                 ,-5.25                          ,0.76                      ,- -                          ,4.42            ,2.75                    ,4.45         ,-6.01               ,- -      ,0.5                  ,-1.29                     ,-0.13   ,40.72                ,22.74                        ,12.96             ,-23.36               ,-5.91        ,14.84             ,37.16        ,-7.95                           ,-7.95        ,4.45                       ,-5.78              ,-92.81   ,-92.19             ,21.42                        ,9.75          ,78.16                 ,-6.07               ,-6281.25   ,-6.25                       ,-94.54         ,30.71                    ,-105.51                  ,24.82                          ,-32.17                ,-200                        ,-112.35                        ,-1.47          ,- -            ,-42.66                      ,-51.46                         ,-223.03             ,-32.17               ,41.92          ,-10.78               ,33.66                   ,0.06185149393631462
 3 ,2013 ,-2.21                    ,-1.81           ,-3.6         ,-7.92                      ,- -                    ,-0.22                   ,57.58                       ,-3.44         ,-1.31                       ,-7.64                     ,6.85              ,-7.7                        ,6.91                ,-0.6   ,1.64              ,-0.22  ,-0.22  ,-1.42            ,2.03                 ,0.91              ,1.98               ,             10.3  ,-2.94                ,33.35                          ,33.35                   ,-6.05                   ,-12.53      ,9.27            ,13.06                ,-2.81                          ,1.56                      ,- -                          ,-7.71           ,-6.93                   ,-0.61        ,-11.71              ,- -      ,-1.67                ,-3.98                     ,50.84   ,-42.95               ,-9.36                        ,-7.45             ,-66.3                ,-8.79        ,12.57             ,-37.66       ,11.62                           ,11.62        ,-0.61                      ,-9.03              ,1044.12  ,924.97             ,-36.92                       ,17.75         ,-2                    ,-4.11               ,-1.31      ,-2.94                       ,7.14           ,-21.31                   ,-480.77                  ,-5.95                          ,9.97                  ,- -                         ,311.9                          ,1.87           ,91.44          ,80.17                       ,-49.94                         ,49.77               ,9.97                 ,-8.23          ,65.47                ,-4.69                   ,0.44804607955921427
 4 ,2014 ,-2.77                    ,-4.69           ,4.13         ,6.6                        ,- -                    ,2.34                    ,-0.38                       ,2.58          ,5.99                        ,-9.06                     ,16.55             ,-9.32                       ,16.89               ,1.11   ,3.98              ,2.34   ,2.34   ,7.09             ,5.25                 ,9.01              ,-1.25              ,             13.59 ,-6.67                ,-24.99                         ,-24.99                  ,4.51                    ,6.3         ,-19.06          ,-13.74               ,6.59                           ,6.43                      ,- -                          ,9.3             ,8.85                    ,0.72         ,6.18                ,- -      ,0.02                 ,1.32                      ,-0.05   ,87.16                ,35.18                        ,22.69             ,-81.33               ,-8.72        ,-1.16             ,79.49        ,-31.87                          ,-31.87       ,0.72                       ,-8.58              ,165.04   ,289.04             ,184.41                       ,-14.87        ,2.46                  ,-1.53               ,5.99       ,-6.67                       ,-111.85        ,-6.94                    ,-178.79                  ,4.43                           ,54.12                 ,- -                         ,86.42                          ,3.3            ,- -            ,12.53                       ,281.04                         ,-199.92             ,54.12                ,-4.11          ,8                    ,-1.48                   ,0.19998450029088932
 5 ,2015 ,-1.89                    ,-2.69           ,0.73         ,6.69                       ,- -                    ,-3.75                   ,10.42                       ,-5.01         ,-3.82                       ,-9.29                     ,6.03              ,-9.67                       ,6.47                ,-3.14  ,-1.28             ,-3.75  ,-3.75  ,2.67             ,-1.9                 ,-1.97             ,-2.95              ,             18.08 ,1.08                 ,-39.97                         ,-39.97                  ,1.25                    ,8.76        ,-52.52          ,-22.61               ,2.44                           ,4.09                      ,- -                          ,-2.21           ,-1.46                   ,-7.97        ,-1.76               ,- -      ,-8.98                ,-7.38                     ,8.29    ,-6.13                ,0.22                         ,-2.09             ,-9.05                ,-9.05        ,-13.97            ,-0.67        ,-23.68                          ,-23.68       ,-7.97                      ,-8.86              ,98.69    ,160.33             ,55.99                        ,-16.44        ,7.49                  ,1.09                ,-3.82      ,1.08                        ,150            ,-26.12                   ,-426.92                  ,-16.62                         ,-16.04                ,- -                         ,-33.18                         ,7.1            ,-78.88         ,19.27                       ,1.24                           ,19.97               ,-16.04               ,-16.78         ,36                   ,-13.31                  ,0.3119912514515253
 6 ,2016 ,4.17                     ,4.74            ,2.39         ,0.7                        ,- -                    ,3.8                     ,-5.59                       ,4.77          ,10.55                       ,-5.54                     ,17.04             ,-5.79                       ,17.35               ,2.99   ,-1.13             ,3.8    ,3.8    ,-1.71            ,-0.36                ,6.12              ,4.17               ,             12.37 ,-2.36                ,9.57                           ,9.57                    ,16.12                   ,1.12        ,-45.5           ,8.24                 ,17.1                           ,6.39                      ,- -                          ,0.76            ,3.52                    ,4.74         ,21.22               ,- -      ,-2.37                ,3.17                      ,10.01   ,8.61                 ,9.28                         ,7.52              ,-3.31                ,-3.31        ,-0.29             ,4.25         ,-4.76                           ,-4.76        ,4.74                       ,-3.44              ,10.25    ,15.77              ,-5.57                        ,4.92          ,1.82                  ,- -                 ,10.55      ,-2.36                       ,-20            ,-6.06                    ,-174.12                  ,30.11                          ,95.33                 ,- -                         ,86.77                          ,6.14           ,47.33          ,-51.38                      ,-45.47                         ,-114.38             ,95.33                ,11.95          ,-18.32               ,17.69                   ,0.15665799626821375
 7 ,2017 ,5.28                     ,5.97            ,3.06         ,2.75                       ,- -                    ,3.32                    ,-7.41                       ,4.31          ,-8.41                       ,-2.52                     ,-6.05             ,-2.71                       ,-5.85               ,3.43   ,-1.77             ,3.32   ,3.32   ,-2.11            ,-1.87                ,-13.01            ,-2.24              ,             10.43 ,4.17                 ,341.76                         ,341.76                  ,20.52                   ,-4.41       ,84              ,138.46               ,17.75                          ,10.36                     ,- -                          ,-5.45           ,-1.01                   ,36.32        ,6.89                ,- -      ,30.13                ,23.71                     ,104.01  ,-15.16               ,41.96                        ,36.91             ,24.57                ,-0.57        ,8.64              ,-14.93       ,34.02                           ,34.02        ,36.32                      ,-0.56              ,-29.73   ,-47.57             ,-55.93                       ,92.76         ,7.66                  ,7.69                ,-8.41      ,4.17                        ,-259.38        ,1.08                     ,-61.9                    ,-7.11                          ,0.87                  ,- -                         ,10.43                          ,7.66           ,832.69         ,-74.6                       ,-489.7                         ,3811.71             ,0.87                 ,-10.99         ,35.75                ,1.42                    ,0.14464943425256105
 8 ,2018 ,16.63                    ,17.41           ,14.06        ,13.41                      ,- -                    ,14.58                   ,-84.8                       ,22.73         ,60.25                       ,-0.4                      ,60.89             ,-0.57                       ,61.17               ,21.36  ,4.05              ,14.58  ,14.58  ,-2.21            ,-1.76                ,37.39             ,-3.95              ,             19.64 ,68.42                ,-85.93                         ,-85.93                  ,62.83                   ,-16.15      ,164.4           ,-40.79               ,50.82                          ,26.37                     ,- -                          ,50.6            ,50.65                   ,7.84         ,31.37               ,- -      ,14.86                ,18.79                     ,-3.58   ,12.36                ,1.38                         ,5.73              ,-21.56               ,-1.72        ,-30.14            ,-98.9        ,16.16                           ,16.16        ,7.84                       ,-2                 ,287.65   ,233.72             ,179.73                       ,-50.16        ,-62.04                ,21.43               ,60.25      ,68.42                       ,1296.08        ,-8.51                    ,-1369.44                 ,46.46                          ,34.59                 ,- -                         ,898.65                         ,19.16          ,- -            ,221.37                      ,-166.02                        ,-211.08             ,34.59                ,53             ,-45.25               ,-8.6                    ,-0.12714953985588862
 9 ,2019 ,12.45                    ,14.07           ,6.89         ,9.27                       ,- -                    ,5                       ,3639.47                     ,-31.91        ,-30.38                      ,-2.53                     ,-28.57            ,-2.63                       ,-28.5               ,8.89   ,-3.17             ,5      ,5      ,-4.94            ,-6.62                ,-38.09            ,6.2                ,              9.97 ,27.25                ,42.18                          ,42.18                   ,2.87                    ,19.72       ,2.47            ,10.38                ,32.19                          ,21.57                     ,- -                          ,1.76            ,8.69                    ,9.13         ,2.02                ,8430.77  ,0.11                 ,14.02                     ,1.4     ,19.82                ,7.76                         ,9.52              ,-1.75                ,-1.75        ,8.43              ,86.54        ,7.72                            ,7.72         ,9.13                       ,-1.62              ,-5.45    ,-12.22             ,-23.95                       ,-3.19         ,-138.17               ,5.88                ,-30.38     ,27.25                       ,125.56         ,47.67                    ,-37.09                   ,12.28                          ,1.2                   ,- -                         ,-86.4                          ,7.19           ,- -            ,-41.09                      ,-47.25                         ,-106.9              ,1.2                  ,17.65          ,27.21                ,61.28                   ,0.138104455180738
