   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,19.41                    ,19.65           ,19.29        ,12.79                      ,- -                    ,36.39                   ,-9.12                       ,45.93         ,44.68                       ,-0.16                     ,44.14             ,-0.76                       ,45.01               ,24.76  ,4.48              ,36.39  ,36.39  ,-0.1             ,14.22                ,21.16             ,- -                ,              2.97 ,-2.25                ,2.21                           ,-16.97                  ,5.35                    ,3.05        ,67.39           ,10.02                ,2.6                            ,3.36                      ,1.34                         ,-3.8            ,2.41                    ,        3.03 ,27.42               ,-3.38   ,5.17                 ,16.38                     ,-1.68   ,3.9                  ,1.45                         ,3.02              ,3.26                 ,-3.24        ,2.18              ,-5.63        ,3.05                            ,3.05         ,                      3.03 ,-3.16              ,0.67     ,-2.32              ,0.02                         ,-5.47         ,-12.25                ,- -                 ,44.68      ,-2.25                       ,72.93          ,- -                      ,-139.5                   ,45.91                          ,13.16                 ,-64.83                      ,0.34                           ,2.8            ,-67.89         ,-1272.73                    ,4503.23                        ,-144.71             ,13.16                ,121.75         ,-11.79               ,0.85                    ,0.1006072167997063
 1 ,2011 ,17.4                     ,24.45           ,13.64        ,9.82                       ,- -                    ,20.07                   ,-4.53                       ,23.28         ,28.07                       ,-5.73                     ,35.95             ,-5.51                       ,35.64               ,16.56  ,-0.72             ,20.07  ,20.07  ,-3.21            ,2.27                 ,9.09              ,- -                ,             18.87 ,5.21                 ,-72.88                         ,-66.63                  ,26.64                   ,23.67       ,-43.12          ,-29.14               ,5.33                           ,4.43                      ,1.87                         ,-72.37          ,4.12                    ,        1.2  ,-5.87               ,-67.25  ,3.28                 ,-18.3                     ,12.53   ,7.38                 ,9.57                         ,6.26              ,-0.27                ,-7.26        ,-5.76             ,27.45        ,-7.1                            ,-7.1         ,                      1.2  ,-7.55              ,17.2     ,26.16              ,-8.21                        ,-13.27        ,-24.26                ,- -                 ,28.07      ,5.21                        ,58.15          ,- -                      ,-167.09                  ,18.9                           ,46.94                 ,-466.27                     ,21.7                           ,12.06          ,214.57         ,149.48                      ,40.57                          ,226.04              ,46.94                ,-14.23         ,-14.63               ,-7.16                   ,0.1876410229291583
 2 ,2012 ,-1.18                    ,71.16           ,-43.5        ,-96.07                     ,- -                    ,-2.77                   ,24.07                       ,-5.48         ,-8.72                       ,-7.12                     ,-1.76             ,-7.43                       ,-1.43               ,-0.88  ,0.3               ,-2.77  ,-2.77  ,-42.82           ,-1.61                ,-7.62             ,- -                ,             16.64 ,6.1                  ,121.93                         ,136.59                  ,8.51                    ,3.35        ,13.7            ,28.04                ,-35.37                         ,-24.16                    ,2.95                         ,11788.1         ,4.9                     ,        6.32 ,20.71               ,66.67   ,4.37                 ,22.34                     ,14.1    ,5.59                 ,9.31                         ,10.5              ,-0.8                 ,-5.12        ,-0.58             ,8.09         ,-1.52                           ,-1.52        ,                      6.32 ,-4.95              ,10.53    ,12.24              ,-5.58                        ,4.66          ,-67.6                 ,- -                 ,-8.72      ,6.1                         ,-21.41         ,- -                      ,-109.43                  ,-5.02                          ,3.75                  ,-81.91                      ,12.53                          ,8.33           ,35.42          ,-37.91                      ,-65.4                          ,-168.42             ,3.75                 ,-22.77         ,-21.54               ,4.05                    ,-0.26157938275582826
 3 ,2013 ,1.86                     ,1.46            ,2.56         ,-44.44                     ,- -                    ,4.26                    ,-20.22                      ,7.51          ,9.21                        ,-2.8                      ,12.52             ,-2.98                       ,12.73               ,3.29   ,1.4               ,4.26   ,4.26   ,0.69             ,2.36                 ,7.21              ,- -                ,              5.03 ,- -                  ,133.68                         ,120.98                  ,-7.66                   ,3.24        ,7.23            ,37.15                ,68.49                          ,43.89                     ,6.04                         ,-96.76          ,4.65                    ,        7.06 ,-4.97               ,118     ,2.66                 ,10.76                     ,5.59    ,-0.82                ,2.1                          ,2.97              ,4.72                 ,-1.59        ,8.05              ,-65.64       ,15.67                           ,15.67        ,                      7.06 ,-1.64              ,-0.3     ,-13.8              ,7.9                          ,23.83         ,22.73                 ,- -                 ,9.21       ,- -                         ,-56.81         ,- -                      ,1460                     ,0.42                           ,-12.05                ,-221.82                     ,-5.02                          ,2.08           ,-33.67         ,-58.63                      ,-43.23                         ,109.55              ,-12.05               ,34.34          ,54.39                ,-8.04                   ,0.24557860840348011
 4 ,2014 ,3.37                     ,-0.71           ,10.53        ,70.77                      ,- -                    ,9.76                    ,51.03                       ,5.7           ,4.71                        ,-0.8                      ,5.63              ,-0.95                       ,5.79                ,8.42   ,4.89              ,9.76   ,9.76   ,6.92             ,6.18                 ,1.3               ,- -                ,              8.72 ,3.69                 ,-37.67                         ,-32.57                  ,3.03                    ,5.83        ,92.51           ,-9.66                ,3.94                           ,3.99                      ,9.84                         ,-72.22          ,3.59                    ,        2.33 ,-2.68               ,-81.28  ,-15.56               ,-22.78                    ,0.24    ,1.43                 ,0.87                         ,-1.7              ,5.45                 ,- -          ,10.8              ,4.46         ,9.91                            ,9.91         ,                      2.33 ,-0.21              ,0.6      ,-8.47              ,7.34                         ,16.99         ,-7.11                 ,- -                 ,4.71       ,3.69                        ,-12.5          ,- -                      ,-421.79                  ,-7.34                          ,7.46                  ,-102.99                     ,5.7                            ,7.85           ,-79.78         ,-62.1                       ,235.03                         ,-159.49             ,7.46                 ,-33.69         ,21.52                ,-11.51                  ,0.09359737795288603
 5 ,2015 ,-9.58                    ,-6.44           ,-14.51       ,24.32                      ,- -                    ,-19.33                  ,0.23                        ,-22.08        ,-22.2                       ,-2.42                     ,-20.34            ,-2.59                       ,-20.2               ,-12.98 ,-3.76             ,-19.33 ,-19.33 ,-5.45            ,-10.79               ,-13.96            ,- -                ,              6.36 ,10.77                ,13.16                          ,13.16                   ,-10.33                  ,14.83       ,-38.72          ,-5.22                ,4.69                           ,5.1                       ,-3.99                        ,-30             ,3.82                    ,        3.07 ,-10.76              ,586.27  ,3.95                 ,25.34                     ,5.26    ,3.15                 ,4.14                         ,5.95              ,-0.65                ,-3.55        ,-1.52             ,11.81        ,-1.77                           ,-1.77        ,                      3.07 ,-3.39              ,11.66    ,13.68              ,-4.27                        ,-24.38        ,-24.54                ,- -                 ,-22.2      ,10.77                       ,21.77          ,- -                      ,-133.07                  ,0.88                           ,12.61                 ,11650                       ,4.25                           ,3.78           ,492.5          ,448.94                      ,-49.85                         ,-127.23             ,12.61                ,-32.97         ,-30.39               ,29.66                   ,-0.19628122976254725
 6 ,2016 ,-5.93                    ,-9.56           ,0.34         ,-85.51                     ,- -                    ,6.59                    ,11.31                       ,5.73          ,7.2                         ,-2.65                     ,10.21             ,-2.76                       ,10.34               ,4.08   ,10.64             ,6.59   ,6.59   ,6.66             ,13.3                 ,13.95             ,- -                ,              0.13 ,-2.74                ,-13.17                         ,-13.17                  ,-0.11                   ,-5.17       ,-57.78          ,-12.99               ,2.62                           ,-0.82                     ,7.97                         ,15.87           ,3.08                    ,        1.84 ,12.83               ,-7.14   ,-3.38                ,4.84                      ,1.8     ,1.28                 ,1.53                         ,1.86              ,1.19                 ,-2.34        ,2.3               ,9.44         ,1.81                            ,1.81         ,                      1.84 ,-2.48              ,2.94     ,1.1                ,-0.53                        ,-17.01        ,29.95                 ,- -                 ,7.2        ,-2.74                       ,-82.68         ,- -                      ,267.47                   ,5.46                           ,-20.88                ,-131.91                     ,-12.22                         ,-2.52          ,-41.43         ,-27.71                      ,103.47                         ,-213.28             ,-20.88               ,133.13         ,34.48                ,-1.62                   ,0.21942510651275238
 7 ,2017 ,6.71                     ,3.47            ,11.72        ,- -                        ,- -                    ,16.66                   ,-6.91                       ,21.15         ,223.98                      ,-2.04                     ,231.48            ,-1.93                       ,231.09              ,13.18  ,6.07              ,16.66  ,16.66  ,4.7              ,9.33                 ,203.62            ,10.38              ,              3.26 ,2.82                 ,-27.82                         ,-27.82                  ,1.06                    ,-13.62      ,112.03          ,-6.2                 ,1.95                           ,5.23                      ,7.35                         ,243.84          ,2.95                    ,        2.35 ,10.41               ,7.69    ,1.75                 ,8.81                      ,-4.46   ,-27.51               ,-16.57                       ,-13.93            ,2.75                 ,-2.4         ,35.98             ,-26.9        ,31.83                           ,31.83        ,                      2.35 ,-2.16              ,-1.19    ,-25.05             ,28.18                        ,-13.79        ,57.39                 ,-3.33               ,223.98     ,2.82                        ,-10641.94      ,- -                      ,-80.98                   ,7.22                           ,-8.69                 ,-153.33                     ,-19.16                         ,1.15           ,-58.21         ,23.73                       ,51.3                           ,83.45               ,-8.69                ,33.39          ,29.66                ,-66.91                  ,0.1743057630545084
 8 ,2018 ,8.6                      ,9.96            ,6.63         ,-405                       ,- -                    ,10.4                    ,6.99                        ,10.9          ,-50.67                      ,-3.54                     ,-48.93            ,-3.48                       ,-48.97              ,9      ,0.37              ,10.4   ,10.4   ,-1.81            ,1.66                 ,-54.57            ,10.42              ,             24.47 ,4.25                 ,-48.12                         ,-48.12                  ,5.65                    ,-6.76       ,2.13            ,-13.36               ,2.51                           ,2.9                       ,4.29                         ,-29.48          ,2.43                    ,        1.48 ,9.18                ,-16.43  ,5.58                 ,1.81                      ,15.59   ,0.72                 ,8.8                          ,7.88              ,-2.13                ,-5.61        ,-5.19             ,58.15        ,-6.09                           ,-6.09        ,                      1.48 ,-5.65              ,17.94    ,25.6               ,-7.27                        ,-14.89        ,15.57                 ,-1.65               ,-50.67     ,4.25                        ,-94.92         ,- -                      ,110.34                   ,14.54                          ,13.23                 ,122.5                       ,11.95                          ,20.06          ,597.59         ,196.97                      ,13.44                          ,-8.27               ,13.23                ,16.01          ,-13.5                ,132.17                  ,0.11457662742012309
 9 ,2019 ,-1.41                    ,-4.05           ,2.49         ,3.28                       ,- -                    ,0.76                    ,1.63                        ,0.63          ,2.1                         ,-5.19                     ,7.73              ,-5.21                       ,7.76                ,1.28   ,2.74              ,0.76   ,0.76   ,3.96             ,2.2                  ,3.56              ,6.91               ,             18.59 ,3.17                 ,62.01                          ,62.01                   ,-8.82                   ,17.87       ,17.01           ,11.76                ,1.68                           ,0.3                       ,10.26                        ,351.98          ,4.26                    ,        4.65 ,-5.85               ,-45.98  ,32.93                ,-11.23                    ,12.5    ,10.78                ,11.77                        ,8.92              ,-0.68                ,-3.72        ,-1.73             ,-12.79       ,-1.16                           ,-1.16        ,                      4.65 ,-3.8               ,7.69     ,8.95               ,-5.45                        ,25.9          ,6.91                  ,-7.78               ,2.1        ,3.17                        ,-202.41        ,- -                      ,-213.93                  ,4.46                           ,3.49                  ,-237.08                     ,6.39                           ,12.44          ,8.35           ,-24.41                      ,-13.75                         ,-154.92             ,3.49                 ,5.52           ,18.29                ,2.31                    ,0.035104411827804105
