   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,41.59                    ,35.93           ,446.44       ,-9.16                      ,- -                    ,-263.62                 ,34.62                       ,-164.52       ,-186.99                     ,0.35                      ,-145.51           ,0.52                        ,-145.43             ,256.86 ,152.04            ,-263.62 ,-263.62 ,285.92           ,-215.56              ,-132.25           ,40.9               ,-19.33             ,2.86                 ,10.57                          ,-34.29                  ,29.01                   ,18.64       ,-24.76          ,13.1                 ,-4.03                          ,                     3.34 ,- -                          ,24.67           ,9.08                    ,10.74        ,22.29               ,72.02   ,- -                  ,22.61                     ,38.96   ,18.55                ,35.27                        ,32.15             ,                1.97 ,0.2          ,-4.55             ,-32.35       ,-3.66                           ,-3.34        ,10.74                      ,0.3                ,177.14   ,186.73             ,-16.47                       ,-7.75         ,-41.34                ,0.49                ,-186.99    ,2.86                        ,46.14          ,-21.26                   ,-118.23                  ,-26.13                         ,-13.27                ,312.72                      ,223                            ,-19.05         ,- -            ,26.13                       ,-184.37                        ,106.16              ,-13.27               ,-32.47         ,21.88                ,-261.76                 ,-0.15550789104283014
 1 ,2011 ,26.37                    ,20.49           ,130.97       ,33.03                      ,- -                    ,213.49                  ,-10.3                       ,368.64        ,317.3                       ,0.33                      ,478.44            ,0.21                        ,479.15              ,94.06  ,53.56             ,213.49  ,213.49  ,82.76            ,148.07               ,359.22            ,24.55              ,-10.27             ,1.34                 ,3.4                            ,-9.41                   ,18.82                   ,27.59       ,16.12           ,14.45                ,-2.51                          ,                     4.27 ,- -                          ,-16.34          ,-2.46                   ,4.66         ,-5.38               ,4790.65 ,- -                  ,59.27                     ,-15.19  ,3.84                 ,-12.17                       ,4.14              ,                2.43 ,0.21         ,4.64              ,37.45        ,4.98                            ,5.13         ,4.66                       ,0.3                ,3.82     ,-1.25              ,3.1                          ,-28.14        ,2.32                  ,1.46                ,317.3      ,1.34                        ,-45.12         ,13.85                    ,315.71                   ,18.23                          ,29.6                  ,-78.85                      ,-70.76                         ,-9.98          ,-100.95        ,72.75                       ,-171.55                        ,-82.23              ,29.6                 ,11.02          ,-26.55               ,-79.63                  ,-0.0628404581519415
 2 ,2012 ,-2.97                    ,-0.88           ,-22.33       ,-12.63                     ,- -                    ,-25.34                  ,23.84                       ,-31.86        ,-31.11                      ,0.37                      ,-35.39            ,0.34                        ,-35.37              ,-17.06 ,-14.52            ,-25.34  ,-25.34  ,-19.95           ,-23.05               ,-33.17            ,-9.09              ,0.68               ,2.82                 ,-54.86                         ,-12.31                  ,-0.2                    ,16.93       ,-8.41           ,-16.56               ,14.04                          ,                    10.1  ,- -                          ,19.51           ,7.99                    ,-3.31        ,24.01               ,-57.06  ,- -                  ,-15.3                     ,-6.89   ,-5.35                ,-6.6                         ,-9.63             ,                2.9  ,0.21         ,0.18              ,-248.68      ,2.23                            ,2.32         ,-3.31                      ,0.29               ,-15.39   ,-17.31             ,3.89                         ,-1.49         ,21.12                 ,6.73                ,-31.11     ,2.82                        ,-26.26         ,3.53                     ,-83.93                   ,16.25                          ,115.88                ,-740.5                      ,-69.16                         ,1.05           ,- -            ,29.86                       ,131.68                         ,21.5                ,115.88               ,-57.42         ,-26.17               ,79.27                   ,-0.002831261455381817
 3 ,2013 ,-1.94                    ,-1.53           ,-6.8         ,5.94                       ,- -                    ,-12.27                  ,-33.11                      ,-7.25         ,-1.28                       ,0.28                      ,-3.56             ,0.32                        ,-3.6                ,-7.61  ,-5.78             ,-12.27  ,-12.27  ,-4.95            ,-10.54               ,-1.37             ,-2.38              ,0.71               ,0.53                 ,30.63                          ,40.88                   ,6.07                    ,12.13       ,17.8            ,14.52                ,14.8                           ,                    10.58 ,- -                          ,-7.88           ,3.56                    ,7.92         ,10.18               ,-88.39  ,- -                  ,-3.42                     ,29.49   ,20.58                ,27.8                         ,17.58             ,                1.64 ,0.14         ,0.22              ,-84          ,0.05                            ,0.32         ,7.92                       ,0.21               ,12.23    ,11.88              ,-7.39                        ,18.57         ,11.96                 ,0.45                ,-1.28      ,0.53                        ,36             ,-6.47                    ,173.16                   ,-10.2                          ,26.31                 ,-94.16                      ,311.76                         ,1              ,-8825.76       ,- -                         ,-117.09                        ,-388.41             ,26.31                ,-147.08        ,19.64                ,-7.15                   ,-0.02062177321309311
 4 ,2014 ,10.78                    ,8.83            ,35.15        ,13.34                      ,- -                    ,46.47                   ,13.19                       ,52.26         ,39.33                       ,0.24                      ,45.94             ,0.27                        ,45.9                ,35.47  ,22.29             ,46.47   ,46.47   ,22.01            ,32.22                ,32.06             ,4.67               ,0.63               ,18.72                ,-25.62                         ,-30.95                  ,14.21                   ,5.35        ,4.65            ,0.5                  ,7.54                           ,                     7.89 ,- -                          ,0.26            ,4.33                    ,2.71         ,-2.79               ,588.61  ,- -                  ,7.02                      ,-0.37   ,13.24                ,2.07                         ,3.4               ,                2.02 ,0.15         ,3.33              ,-1704.71     ,1.66                            ,2.08         ,2.71                       ,0.22               ,21.67    ,19.19              ,-1.02                        ,-6.09         ,2.91                  ,5.83                ,39.33      ,18.72                       ,72.77          ,-2.25                    ,70.14                    ,24.58                          ,-44.19                ,-198.72                     ,71.2                           ,0.87           ,- -            ,-46.61                      ,-283.15                        ,-204.65             ,-44.19               ,-667.14        ,4.76                 ,-14.84                  ,-0.16795320902726063
 5 ,2015 ,-22.11                   ,-22.61          ,-17.06       ,-15.97                     ,- -                    ,-17.5                   ,165.19                      ,-41.12        ,-39.19                      ,0.23                      ,-50.02            ,0.17                        ,-49.99              ,-12.59 ,12.22             ,-17.5   ,-17.5   ,6.48             ,5.92                 ,-35.69            ,-22.44             ,0.68               ,-3.37                ,81.42                          ,89.37                   ,-33.09                  ,-21.84      ,-63.2           ,-10.67               ,-7.5                           ,                     1.43 ,- -                          ,-7.24           ,-7.39                   ,-8.74        ,-28.82              ,-77.07  ,- -                  ,-33.97                    ,- -     ,-33.61               ,-6.68                        ,-14.27            ,                1.76 ,0.12         ,-1.66             ,141.14       ,-4.58                           ,-3.58        ,-8.74                      ,-0.34              ,-30.55   ,-27.98             ,7.59                         ,35.28         ,21.61                 ,0.42                ,-39.19     ,-3.37                       ,7.41           ,-1.27                    ,-285.67                  ,60.63                          ,-43.99                ,-99.34                      ,-69.29                         ,0.91           ,- -            ,-1277.09                    ,119.96                         ,-303.78             ,-43.99               ,164.17         ,-35                  ,220.64                  ,-0.1419832239102976
 6 ,2016 ,-1.41                    ,-4.55           ,28.12        ,30.02                      ,- -                    ,27.34                   ,-68.41                      ,83.11         ,81.5                        ,-0.31                     ,123.33            ,-0.27                       ,123.23              ,16.13  ,17.78             ,27.34   ,27.34   ,29.95            ,29.16                ,125.81            ,-2.23              ,0.66               ,-1.85                ,7.67                           ,5.49                    ,17.91                   ,15.59       ,7.09            ,13.07                ,3.83                           ,                     4.78 ,- -                          ,0.93            ,2.6                     ,6.83         ,32.85               ,1104.25 ,- -                  ,72.54                     ,-14.25  ,16.85                ,-9.85                        ,7.8               ,                2.71 ,0.2          ,5.17              ,-9.54        ,6.24                            ,6.02         ,6.83                       ,0.24               ,-6.52    ,-11.83             ,-0.62                        ,-34.47        ,-3.32                 ,0.84                ,81.5       ,-1.85                       ,-40.74         ,23.4                     ,-97.18                   ,-19.45                         ,61.67                 ,10426.32                    ,132.09                         ,0.34           ,- -            ,-116.01                     ,-22.26                         ,-89.36              ,61.67                ,-36.47         ,63.06                ,-63.82                  ,0.42649903221182917
 7 ,2017 ,24.95                    ,24.68           ,26.83        ,15.21                      ,- -                    ,31.68                   ,1.1                         ,34.75         ,53.33                       ,0.13                      ,65.39             ,0.3                         ,65.12               ,23.28  ,-1.33             ,31.68   ,31.68   ,1.5              ,5.38                 ,32.54             ,18.98              ,0.75               ,5.82                 ,-54.5                          ,-53.61                  ,24.32                   ,39.59       ,68.56           ,4.89                 ,0.29                           ,                     4.19 ,- -                          ,7.84            ,3.44                    ,4.06         ,28.21               ,-10.54  ,- -                  ,18.19                     ,-13.29  ,-17.89               ,-14.13                       ,-3.05             ,                2.21 ,0.15         ,10.91             ,-19.87       ,10.9                            ,10.06        ,4.06                       ,-0.24              ,23.14    ,11.89              ,8.22                         ,-11.26        ,-1.66                 ,5.02                ,53.33      ,5.82                        ,-215.67        ,13.56                    ,-4433.52                 ,-39.5                          ,-25.84                ,-300                        ,-10.36                         ,0.88           ,- -            ,-848.34                     ,101.68                         ,-1223.28            ,-25.84               ,-46.79         ,66.13                ,-63.47                  ,-0.09819228364719579
 8 ,2018 ,23.77                    ,17.47           ,67.18        ,25.19                      ,- -                    ,82.51                   ,55.62                       ,84.54         ,79.71                       ,-1.29                     ,81.37             ,-1.26                       ,81.31               ,59.23  ,28.65             ,82.51   ,82.51   ,35.06            ,47.46                ,44.64             ,18.13              ,1.32               ,-1.02                ,40.01                          ,47.39                   ,23.52                   ,31.54       ,-46.79          ,26.55                ,4.74                           ,                     5.33 ,- -                          ,0.66            ,2.97                    ,13.13        ,20.97               ,-89.53  ,- -                  ,-0.65                     ,30.57   ,-1.51                ,24.94                        ,14.24             ,                2.41 ,0.07         ,22.14             ,19.42        ,12.05                           ,12.3         ,13.13                      ,-3.89              ,1.63     ,-9.5               ,2.76                         ,27.38         ,9.51                  ,4.78                ,79.71      ,-1.02                       ,-218.1         ,14.41                    ,8.4                      ,127.72                         ,119.04                ,-50                         ,12.1                           ,0.01           ,-0.34          ,948.39                      ,-26.66                         ,-141.21             ,119.04               ,134.18         ,-64.81               ,27.2                    ,-0.10123673999974792
 9 ,2019 ,-9.89                    ,-4.15           ,-37.63       ,-17.37                     ,- -                    ,-42.71                  ,-9.87                       ,-44.79        ,-44.75                      ,-3.42                     ,-44.25            ,-3.55                       ,-44.18              ,-34.95 ,-27.81            ,-42.71  ,-42.71  ,-30.79           ,-36.42               ,-40.25            ,-11.57             ,4.97               ,2.09                 ,31.15                          ,9.7                     ,-13.79                  ,-15.62      ,118.45          ,-4.75                ,15.82                          ,                     7.36 ,- -                          ,-0.25           ,8.98                    ,2.37         ,-13.69              ,58.47   ,- -                  ,-12.21                    ,1.37    ,17.58                ,3.61                         ,-2.14             ,                1.52 ,- -          ,7.52              ,-0.38        ,5.78                            ,5.78         ,2.37                       ,-1.24              ,-1.52    ,-6.89              ,5.66                         ,8.5           ,9.8                   ,1.9                 ,-44.75     ,2.09                        ,64.73          ,23.07                    ,-142.03                  ,17.35                          ,50.36                 ,-700.08                     ,74.18                          ,1.38           ,- -            ,-65.97                      ,-3.06                          ,-70.42              ,50.36                ,-5.62          ,-18.24               ,117.95                  ,-0.1703617333767018
