   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,18.96                    ,352.04          ,-71.24       ,-89.82                     ,- -                    ,75.32                   ,-37.79                      ,117.66        ,116.95                      ,- -                       ,116.95            ,- -                         ,116.95              ,25.82  ,5.77              ,75.32  ,75.32  ,-75.82           ,47.38                ,82.38             ,2.24               ,- -                ,-15.22               ,30.66                          ,30.66                   ,28.23                   ,- -         ,25.26           ,27.79                ,2.63                           ,                     6.61 ,- -                          ,16.39           ,3.27                    ,        6.95 ,9.93                ,1.24    ,37.84                ,                    14.8  ,-12.93  ,11.92                ,-4.06                        ,0.87              ,- -                  ,- -          ,15.18             ,- -          ,12.76                           ,12.76        ,                      6.95 ,- -                ,-11.81   ,-21.79             ,5.71                         ,11.32         ,-514.76               ,16.35               ,116.95     ,-15.22                      ,-23.46         ,- -                      ,141.39                   ,7.5                            ,-49.57                ,- -                         ,-49.08                         ,- -            ,-96.36         ,- -                         ,-166.89                        ,-106.42             ,-49.57               ,-142.63        ,114.18               ,-50.45                  ,0.4352020425798957
 1 ,2011 ,28.55                    ,25.11           ,43.19        ,16.52                      ,- -                    ,69.94                   ,5.07                        ,76.88         ,84.36                       ,2.18                      ,80.43             ,2.18                        ,80.43               ,48.96  ,15.88             ,69.94  ,69.94  ,11.39            ,32.2                 ,43.42             ,19.53              ,- -                ,13.01                ,1291.74                        ,1291.74                 ,20.6                    ,- -         ,4.52            ,49.09                ,16.88                          ,                    13.23 ,- -                          ,2.24            ,16.11                   ,       22.03 ,21.03               ,5.99    ,29.96                ,                    20.44 ,-1.82   ,32.8                 ,12.6                         ,14.94             ,51.15                ,54.05        ,24.3              ,- -          ,28.1                            ,28.1         ,                     22.03 ,2.71               ,-27.25   ,-43.21             ,5.36                         ,23.79         ,-3.65                 ,7.54                ,84.36      ,13.01                       ,432.22         ,- -                      ,-112.7                   ,97.79                          ,135.8                 ,- -                         ,136.48                         ,- -            ,3957.9         ,- -                         ,-206.47                        ,5404.3              ,135.8                ,-20.51         ,-38.75               ,7.28                    ,0.26699056546603606
 2 ,2012 ,12.12                    ,10.9            ,16.66        ,13.45                      ,- -                    ,21.87                   ,-13.1                       ,24.09         ,21.5                        ,0.52                      ,20.87             ,0.52                        ,20.87               ,21.89  ,8.71              ,21.87  ,21.87  ,4.04             ,8.69                 ,8.36              ,3.56               ,- -                ,21.94                ,-83.05                         ,-83.05                  ,1.12                    ,- -         ,9.79            ,-17.12               ,22.39                          ,                    15.97 ,- -                          ,7.2             ,21.69                   ,       13.18 ,7.49                ,-0.96   ,19.94                ,                     9.93 ,-12.36  ,17.15                ,2.14                         ,4.57              ,- -                  ,- -          ,23.75             ,- -          ,19.78                           ,19.78        ,                     13.18 ,- -                ,17.7     ,-1.74              ,6.08                         ,-24.61        ,-3.29                 ,8.27                ,21.5       ,21.94                       ,-60.19         ,- -                      ,892.45                   ,18.03                          ,48.82                 ,- -                         ,47.22                          ,- -            ,-89.16         ,- -                         ,-179.04                        ,-189.48             ,48.82                ,-266.15        ,-5.89                ,-2.85                   ,0.13463289941809164
 3 ,2013 ,9.51                     ,8.27            ,13.92        ,14.04                      ,- -                    ,18.64                   ,-19.78                      ,20.35         ,21.64                       ,- -                       ,21.64             ,- -                         ,21.64               ,17.55  ,7.34              ,18.64  ,18.64  ,4.03             ,8.34                 ,11.07             ,1.29               ,- -                ,14.74                ,134.69                         ,134.69                  ,17.21                   ,- -         ,6.47            ,21.07                ,11.87                          ,                    12.08 ,- -                          ,-3.66           ,11.24                   ,       12.82 ,-6.5                ,-8.37   ,21.41                ,                     3.1  ,-22.7   ,20.08                ,1.4                          ,1.96              ,- -                  ,- -          ,23.34             ,- -          ,20.09                           ,20.09        ,                     12.82 ,- -                ,-29.13   ,-40.99             ,6.65                         ,17.43         ,2.75                  ,8.12                ,21.64      ,14.74                       ,51.99          ,- -                      ,-131.6                   ,6.89                           ,-20.79                ,- -                         ,-21.27                         ,- -            ,- -            ,- -                         ,63.95                          ,-127.49             ,-20.79               ,-221.98        ,68.74                ,-12.12                  ,0.2506614042322475
 4 ,2014 ,19.26                    ,16.6            ,28.2         ,16.96                      ,- -                    ,30.4                    ,-9.83                       ,31.59         ,29.79                       ,- -                       ,29.79             ,- -                         ,29.79               ,26.26  ,5.87              ,30.4   ,30.4   ,7.5              ,9.34                 ,8.83              ,2.07               ,- -                ,15.26                ,15.29                          ,15.29                   ,34.69                   ,- -         ,-52.63          ,21.26                ,12.97                          ,                    13.27 ,- -                          ,6.78            ,12.76                   ,       14.22 ,14.62               ,- -     ,9.27                 ,                    10.13 ,-22.94  ,8.01                 ,-2.29                        ,1.83              ,- -                  ,-0.08        ,24.06             ,- -          ,21.26                           ,21.26        ,                     14.22 ,-0.08              ,-25.01   ,-38.16             ,6.33                         ,10.11         ,2.69                  ,16.84               ,29.79      ,15.26                       ,-8.02          ,- -                      ,395.52                   ,11.69                          ,24.38                 ,- -                         ,21.61                          ,- -            ,- -            ,-111.43                     ,-15.78                         ,-73.36              ,24.38                ,-56.42         ,25.7                 ,-13.94                  ,0.3504469788309732
 5 ,2015 ,6.62                     ,5.45            ,10.18        ,6.06                       ,- -                    ,12.9                    ,-6.48                       ,13.3          ,13.9                        ,-0.91                     ,14.94             ,-0.91                       ,14.94               ,12.9   ,5.89              ,12.9   ,12.9   ,3.34             ,5.89                 ,6.83              ,-2.23              ,- -                ,12.89                ,-67.02                         ,-67.02                  ,-0.82                   ,- -         ,19.56           ,-5.46                ,16.07                          ,                    14.68 ,- -                          ,2.47            ,15.62                   ,       11.77 ,18.11               ,-25.83  ,17.32                ,                    11.64 ,-10.57  ,15.42                ,8.6                          ,9.69              ,-0.12                ,-1.95        ,14.12             ,- -          ,12.76                           ,12.76        ,                     11.77 ,-1.95              ,1.16     ,-10.28             ,0.94                         ,-15.32        ,-1.76                 ,9.05                ,13.9       ,12.89                       ,61.31          ,- -                      ,-192.92                  ,41.41                          ,25.67                 ,- -                         ,26.55                          ,- -            ,18.3           ,1962.85                     ,238.4                          ,-605.42             ,25.67                ,282.68         ,-44.77               ,24.16                   ,-0.23191468745070942
 6 ,2016 ,0.64                     ,1.44            ,-1.7         ,-0.78                      ,- -                    ,-2.89                   ,-24.02                      ,-2.54         ,-2.93                       ,-2.65                     ,-0.28             ,-2.61                       ,-0.33               ,1.52   ,0.88              ,-2.89  ,-2.89  ,-2.33            ,-3.51                ,-3.55             ,2.87               ,- -                ,14.83                ,-11.34                         ,-11.34                  ,-3.06                   ,- -         ,50.58           ,0.23                 ,10.77                          ,                    11.25 ,- -                          ,17.77           ,10.98                   ,        9.31 ,18.72               ,- -     ,3.68                 ,                     1.13 ,-2.18   ,16.02                ,12.08                        ,8.09              ,0.61                 ,-2.36        ,10.74             ,- -          ,9.88                            ,9.88         ,                      9.31 ,-2.36              ,-22.5    ,-29.47             ,0.56                         ,-0.89         ,-9.29                 ,-2.16               ,-2.93      ,14.83                       ,-9.15          ,- -                      ,-0.53                    ,2.11                           ,-9.55                 ,- -                         ,-6.9                           ,- -            ,- -            ,14.2                        ,14.26                          ,-94.42              ,-9.55                ,60.79          ,49.25                ,5.19                    ,0.3569940786756083
 7 ,2017 ,12.25                    ,10.5            ,17.56        ,16.28                      ,- -                    ,19.03                   ,-99.14                      ,20.57         ,56.8                        ,-0.97                     ,58.34             ,-0.9                        ,58.23               ,16.02  ,3.36              ,19.03  ,19.03  ,4.73             ,6.03                 ,39.69             ,2.66               ,- -                ,8.37                 ,1153.19                        ,1153.19                 ,24.3                    ,- -         ,9.08            ,52.8                 ,7.27                           ,                     8.98 ,- -                          ,9.82            ,7.35                    ,       13.8  ,-6.89               ,88.76   ,18.11                ,                    21.62 ,-57.13  ,-12.39               ,-20.83                       ,-6.33             ,2.01                 ,-0.05        ,24.76             ,- -          ,23                              ,23           ,                     13.8  ,-0.05              ,-134.24  ,-127.84            ,8.2                          ,25.64         ,4.03                  ,9.35                ,56.8       ,8.37                        ,-314.71        ,129.93                   ,-226.52                  ,-5.18                          ,-8.57                 ,- -                         ,-9.73                          ,- -            ,- -            ,-93.85                      ,-67.86                         ,-9115.45            ,-8.57                ,4.42           ,63.13                ,-39.53                  ,0.3513778135325616
 8 ,2018 ,20.42                    ,16.78           ,30.71        ,9.69                       ,- -                    ,41.88                   ,2748.15                     ,41.62         ,30.6                        ,-0.47                     ,31.21             ,-0.47                       ,31.21               ,34     ,11.28             ,41.88  ,41.88  ,8.55             ,17.82                ,8.45              ,8.55               ,29.89              ,11.95                ,49.29                          ,49.29                   ,12.62                   ,- -         ,15.16           ,20.79                ,14.58                          ,                    13.78 ,- -                          ,6.05            ,14.3                    ,       15.54 ,6.6                 ,- -     ,30.08                ,                     1.62 ,- -     ,17.08                ,15.33                        ,9.25              ,2.53                 ,-1.4         ,18.77             ,- -          ,17.73                           ,17.73        ,                     15.54 ,-1.39              ,347.54   ,280.15             ,1.94                         ,18.87         ,2.48                  ,10.93               ,30.6       ,11.95                       ,-180.74        ,50.96                    ,-101.83                  ,67.84                          ,53.95                 ,- -                         ,57.82                          ,29.28          ,- -            ,1937.5                      ,401.21                         ,-46.44              ,53.95                ,102.26         ,-42.84               ,28.52                   ,0.007938668511290659
 9 ,2019 ,1.62                     ,1.36            ,2.27         ,6.05                       ,- -                    ,0.2                     ,-440.9                      ,1.03          ,1.63                        ,-2.01                     ,3.71              ,-1.97                       ,3.67                ,2.38   ,0.75              ,0.2    ,0.2    ,0.64             ,-1.39                ,0.01              ,7.55               ,30.79              ,10.13                ,112.09                         ,112.09                  ,-12.83                  ,- -         ,15.54           ,22.74                ,7.76                           ,                     8.84 ,- -                          ,90.1            ,10.2                    ,       12.7  ,9.66                ,- -     ,-2.99                ,                     2.62 ,- -     ,8.79                 ,8.01                         ,5.79              ,53.3                 ,47.15        ,12.65             ,- -          ,14.93                           ,14.93        ,                     12.7  ,-1.9               ,146.81   ,114.75             ,2.01                         ,19.61         ,-0.34                 ,-5.52               ,1.63       ,10.13                       ,-25.48         ,241.58                   ,6594.66                  ,9.31                           ,-18.52                ,- -                         ,-18.39                         ,28.16          ,- -            ,47.59                       ,15.59                          ,239.52              ,-18.52               ,61.81          ,51.56                ,7.56                    ,0.26157820869928083
