   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,30.78                    ,18.22           ,54.02        ,22.23                      ,24.75                  ,139.28                  ,-1.45                       ,330.56        ,362.72                      ,2.42                      ,364.96            ,2.85                        ,363.05              ,75.7   ,34.35             ,82.25  ,139.28 ,17.77            ,82.96                ,264.14            ,17.8               ,- -                ,9.31                 ,9.12                           ,18.57                   ,12.92                   ,33.68       ,19.07           ,16.21                ,22.51                          ,14.37                     ,2308.47                      ,3.84            ,25.33                   ,20.91        ,35.35               ,-33.95  ,51.32                ,14.85                     ,3.46    ,6.97                 ,3.74                         ,8.62              ,                3.41 ,4.26         ,-19.31            ,-8.94        ,38.68                           ,38.16        ,20.91                      ,2.23               ,-34.89   ,-52.88             ,34.8                         ,1.18          ,-39.2                 ,11.02               ,362.72     ,7.26                        ,-3.25          ,-3.14                    ,-63.96                   ,99.28                          ,226.67                ,76.46                       ,165.8                          ,- -            ,91.19          ,158.06                      ,42.48                          ,44.76               ,226.67               ,65.16          ,-47.92               ,-58.16                  ,-0.007645680907990782
 1 ,2011 ,48.8                     ,79.28           ,5.52         ,40.65                      ,46.17                  ,-46.08                  ,87.49                       ,-87.63        ,-94.91                      ,3.64                      ,-96.15            ,2.88                        ,-96.12              ,-21.53 ,-47.26            ,-24.85 ,-46.08 ,-29.08           ,-63.76               ,-97.32            ,9.5                ,- -                ,34.7                 ,44.63                          ,4.75                    ,55.19                   ,76.66       ,65.95           ,56.68                ,28.37                          ,18.26                     ,- -                          ,16.49           ,12.46                   ,33.03        ,64.5                ,172.13  ,37.53                ,79.42                     ,11.17   ,311.26               ,35.86                        ,56.09             ,                3.23 ,2.04         ,-0.96             ,-20.98       ,7.48                            ,7.6          ,33.03                      ,3.32               ,108.7    ,93.96              ,-22.39                       ,-12.67        ,-1.11                 ,35.89               ,-94.91     ,37.45                       ,108.3          ,-36.19                   ,-406.1                   ,-1.14                          ,65.31                 ,174.09                      ,26.21                          ,- -            ,-54.61         ,40                          ,-18.59                         ,-74.56              ,65.31                ,-36.35         ,-31.23               ,2375.72                 ,-0.21859167540385582
 2 ,2012 ,-15.9                    ,-20.16          ,-5.64        ,-11.87                     ,1.38                   ,-8.14                   ,52.22                       ,-292.86       ,-679.19                     ,1.32                      ,-870.85           ,-1.01                       ,-888.97             ,-0.76  ,18                ,-1.27  ,-8.14  ,12.2             ,9.22                 ,-1028.72          ,-18.25             ,- -                ,3.98                 ,-29.93                         ,-25.43                  ,-21.74                  ,-8.74       ,-7.14           ,-20.41               ,-0.56                          ,2.36                      ,- -                          ,-17.73          ,-6.88                   ,-14.29       ,-26.65              ,-4.46   ,-23.44               ,-19.69                    ,-21.34  ,-8.11                ,-18.04                       ,-18.92            ,                1.38 ,2            ,7.54              ,-11.99       ,-7.29                           ,-6.88        ,-14.29                     ,-0.55              ,-5.25    ,1.75               ,14.93                        ,-0.89         ,85.25                 ,2.87                ,-679.19    ,6.19                        ,3.39           ,-38.81                   ,-292.18                  ,-49.4                          ,-18.87                ,-141.75                     ,-68.52                         ,- -            ,-65.8          ,395.54                      ,208.33                         ,-738.62             ,-18.87               ,-91.42         ,43.03                ,-106.48                 ,-0.2208444245078598
 3 ,2013 ,-3.88                    ,-5.08           ,-1.42        ,-6.38                      ,-9.06                  ,26.65                   ,-74.02                      ,-348.15       ,-293.74                     ,-1.04                     ,-282.91           ,-0.42                       ,-281.78             ,4.77   ,9                 ,8.15   ,26.65  ,2.56             ,31.76                ,-288.31           ,-12.61             ,- -                ,-25.45               ,-0.95                          ,4.64                    ,7.15                    ,5.17        ,-26.92          ,0.99                 ,-2.64                          ,-6.9                      ,- -                          ,-11.12          ,-5.39                   ,-2.15        ,-3.16               ,-48.64  ,-10.74               ,-20.02                    ,15.54   ,-30.54               ,2.67                         ,-9.33             ,                1.72 ,1.96         ,-12.68            ,15.33        ,7.8                             ,7.86         ,-2.15                      ,-1.91              ,-17.58   ,-23.59             ,16.58                        ,26.28         ,18.26                 ,10                  ,-278.45    ,-13.05                      ,-63.65         ,57.56                    ,1.52                     ,18.59                          ,-38.94                ,-72.45                      ,-11.39                         ,- -            ,636.02         ,81.98                       ,-41.94                         ,-122.34             ,-38.94               ,767.01         ,32.34                ,-165.51                 ,-0.12721823357886763
 4 ,2014 ,13.62                    ,12.61           ,15.61        ,19.14                      ,9.69                   ,7                       ,1.56                        ,9.12          ,18.18                       ,-1.88                     ,21.3              ,-1.6                        ,20.96               ,16.11  ,2.18              ,9.14   ,7      ,1.75             ,-5.83                ,4.75              ,2.03               ,- -                ,106.65               ,-17.24                         ,0.43                    ,8.89                    ,19.3        ,57.33           ,5.58                 ,12.07                          ,10.54                     ,- -                          ,77.15           ,31.96                   ,18.11        ,34                  ,15.42   ,17.51                ,27.05                     ,29.24   ,-4.01                ,22.96                        ,24.87             ,                2.19 ,- -          ,-19.38            ,-12.45       ,11.23                           ,10.19        ,18.11                      ,-1.4               ,57.36    ,42.8               ,-22.59                       ,-16.9         ,-2.56                 ,11.36               ,24.74      ,26.91                       ,4.28           ,41.8                     ,-43.32                   ,47.05                          ,30.54                 ,243.71                      ,378.51                         ,- -            ,99.42          ,20.59                       ,-152.53                        ,-79.77              ,30.54                ,62.18          ,-14.57               ,23.55                   ,0.11546264220790081
 5 ,2015 ,10.56                    ,10.87           ,9.98         ,1.5                        ,8.21                   ,1.93                    ,-24.02                      ,11.35         ,5.77                        ,-4.16                     ,10.22             ,-3.54                       ,9.51                ,17.48  ,6.25              ,5.69   ,1.93   ,-0.53            ,-7.81                ,-4.46             ,10.56              ,- -                ,98.39                ,19.27                          ,20.7                    ,2.13                    ,2.81        ,-30.89          ,4.75                 ,5.83                           ,7.12                      ,- -                          ,-15.91          ,-3.09                   ,0.59         ,-12.34              ,159.26  ,-32.16               ,19.07                     ,-13.48  ,-13.05               ,-13.42                       ,2                 ,                4.24 ,1.92         ,-22.05            ,1.93         ,-1.46                           ,-1.27        ,0.59                       ,-5.08              ,14.01    ,15.48              ,6.62                         ,-12.03        ,-4.13                 ,- -                 ,8.8        ,33.04                       ,16.86          ,2.4                      ,183.08                   ,-2.22                          ,33.24                 ,-92.37                      ,-53.24                         ,- -            ,135.71         ,185.88                      ,-209.19                        ,1397.18             ,33.24                ,-28.38         ,-12.63               ,-7.44                   ,-0.02531050032408466
 6 ,2016 ,11.76                    ,13.35           ,8.69         ,21.13                      ,14.02                  ,-0.98                   ,67.1                        ,-17.83        ,-11.72                      ,-1.42                     ,-10.41            ,-1.82                       ,-10.05              ,0.6    ,-9.98             ,6.99   ,-0.98  ,-2.75            ,-11.4                ,-20.98            ,-14.43             ,- -                ,-22.77               ,66.47                          ,66.47                   ,47.7                    ,37.29       ,86.41           ,51.68                ,69.46                          ,38.23                     ,- -                          ,169.35          ,105.01                  ,78.94        ,43.69               ,1.91    ,-1.96                ,21.25                     ,260.79  ,243.68               ,258.25                       ,126.99            ,                1.55 ,1.89         ,-25.67            ,18.68        ,13.37                           ,13.06        ,78.94                      ,1.68               ,234.17   ,195.58             ,-90.45                       ,25.1          ,18.99                 ,30.61               ,-11.72     ,1.82                        ,-91.21         ,19.62                    ,-111.32                  ,23.5                           ,-21.79                ,- -                         ,820.45                         ,- -            ,216.83         ,- -                         ,-2369.24                       ,286.92              ,-21.79               ,85.64          ,20.33                ,39.85                   ,0.2066905876677001
 7 ,2017 ,41.88                    ,34.46           ,56.82        ,28.29                      ,31.42                  ,163.28                  ,84.05                       ,203.16        ,340.65                      ,1.61                      ,338.13            ,1.98                        ,336.57              ,88.28  ,32.7              ,102.13 ,163.28 ,10.53            ,85.56                ,213.78            ,33.53              ,- -                ,18.13                ,-7.67                          ,-7.67                   ,11.38                   ,5.76        ,6.63            ,2.23                 ,5.56                           ,8.92                      ,- -                          ,4.57            ,5.09                    ,3.91         ,38.36               ,-55.2   ,- -                  ,-6.24                     ,-11.89  ,-44.62               ,-16.54                       ,-13.49            ,                3.46 ,1.85         ,-166.66           ,-19.12       ,52.41                           ,51.82        ,3.91                       ,1.47               ,-22.8    ,-49.15             ,635.88                       ,9.03          ,-16.99                ,6.25                ,340.65     ,32.35                       ,-1223.16       ,24.42                    ,-506.93                  ,88.27                          ,85.86                 ,-121.33                     ,-85.03                         ,- -            ,-57.24         ,-92.82                      ,-135.81                        ,-119.74             ,85.86                ,89.66          ,-11.95               ,-57.71                  ,0.4468661879056359
 8 ,2018 ,6.05                     ,3.71            ,10.07        ,2.86                       ,9.47                   ,20.08                   ,-38.25                      ,37.9          ,-22.52                      ,0.45                      ,-22.96            ,1.77                        ,-23.96              ,14.23  ,7.72              ,17     ,20.08  ,3.8              ,13.23                ,-27.02            ,1                  ,- -                ,-9.77                ,12.68                          ,12.68                   ,-2.21                   ,12.46       ,-3.11           ,8                    ,11.87                          ,13.32                     ,- -                          ,-5.68           ,3.7                     ,5.46         ,14.65               ,-44.18  ,- -                  ,4.29                      ,-2.81   ,5.36                 ,-2.04                        ,-0.01             ,                3.03 ,1.82         ,178.69            ,-6.65        ,14.14                           ,14.03        ,5.46                       ,-2.65              ,-15.29   ,-25.71             ,25.26                        ,3.56          ,-3.53                 ,5                   ,-22.52     ,5.56                        ,-344.61        ,12.18                    ,33.4                     ,16.45                          ,30.1                  ,- -                         ,50.59                          ,- -            ,-98.62         ,1161.2                      ,-25.38                         ,-248.03             ,30.1                 ,8.72           ,-34.33               ,50.47                   ,-0.14918423971736727
 9 ,2019 ,-6.13                    ,-2.62           ,-11.84       ,-5.34                      ,-1.51                  ,-26.31                  ,244.53                      ,-63.36        ,-66.04                      ,-3.04                     ,-65.2             ,-4.57                       ,-64.64              ,-10.34 ,-4.49             ,-11.54 ,-26.31 ,-6.08            ,-21.49               ,-64.05            ,-3.7               ,- -                ,3.13                 ,-16.4                          ,-16.4                   ,2.77                    ,0.59        ,0.75            ,-4.67                ,1.65                           ,6.8                       ,- -                          ,50.46           ,22.3                    ,11.04        ,-18.67              ,431.41  ,- -                  ,23.76                     ,9.47    ,37.05                ,12.27                        ,16.11             ,                2.89 ,1.79         ,21.61             ,43.27        ,4.1                             ,4.07         ,11.04                      ,-0.61              ,60.23    ,53.96              ,-37.51                       ,-22.97        ,9.9                   ,-2.52               ,-66.04     ,16.59                       ,-40.84         ,1.4                      ,112.68                   ,-45.48                         ,23.27                 ,- -                         ,175.26                         ,- -            ,9081.7         ,-55.92                      ,-202.97                        ,-260.65             ,23.27                ,-92.09         ,90.15                ,61.58                   ,0.18790002596048128
