   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,15.34                    ,20.23           ,14.08        ,10.47                      ,17.6                   ,15                      ,121.22                      ,5.22          ,9.69                        ,-1.1                      ,10.92             ,-1.11                       ,10.92               ,14.98  ,-0.31             ,15     ,15     ,-1.1             ,-0.3                 ,-4.9              ,-5.53              ,            235.05 ,14.93                ,46.3                           ,10.22                   ,26.07                   ,- -         ,76.23           ,45.33                ,43.76                          ,                    21.48 ,- -                          ,18.2            ,19.9                    ,29.87        ,58.93               ,214.19  ,37.23                ,60.57                     ,24.61   ,6.04                 ,19.06                        ,36.07             ,12.85                ,12.85        ,35.75             ,-98.15       ,22.75                           ,24.35        ,29.87                      ,0.37               ,281.42   ,206.73             ,-195.25                      ,-9.49         ,-10.89                ,22.09               ,9.69       ,14.93                       ,-90.34         ,22.82                    ,-33.15                   ,5.16                           ,-56.52                ,392.1                       ,297.04                         ,231.35         ,- -            ,-96.33                      ,-160.24                        ,-16.86              ,-56.52               ,9.38           ,13.66                ,-4.13                   ,0.15829763631223726
 1 ,2011 ,32.82                    ,45.7            ,29.29        ,26.01                      ,38.88                  ,29.38                   ,-17.43                      ,38.43         ,39.32                       ,0.68                      ,38.38             ,1.08                        ,37.82               ,28.2   ,-3.48             ,29.38  ,29.38  ,-2.65            ,-2.59                ,4.89              ,29.13              ,              4.97 ,23.12                ,56.2                           ,63.03                   ,18.68                   ,16.99       ,26.16           ,45.07                ,3.4                            ,                     9.62 ,- -                          ,-0.97           ,-0.62                   ,19.42        ,131.84              ,-63.43  ,-22.8                ,-3.4                      ,28.34   ,3.54                 ,21.74                        ,9.58              ,13.69                ,13.69        ,39.86             ,13450        ,29.15                           ,28.99        ,19.42                      ,0.84               ,-105.08  ,-103.94            ,437.84                       ,50.17         ,-3.99                 ,2.86                ,39.32      ,23.12                       ,1303.23        ,16.97                    ,-331.15                  ,29.18                          ,95.65                 ,-13.25                      ,-41.07                         ,5.68           ,-39.7          ,-283.05                     ,-80.63                         ,450.58              ,95.65                ,27.37          ,16.49                ,-7.28                   ,-0.17458902849365088
 2 ,2012 ,4.21                     ,-6.43           ,7.49         ,9.33                       ,0.09                   ,10.44                   ,-16.86                      ,13.59         ,16.78                       ,-0.65                     ,17.55             ,-0.64                       ,17.53               ,9.33   ,4.92              ,10.44  ,10.44  ,3.15             ,5.98                 ,12.06             ,-2.14              ,             14.32 ,4.29                 ,6.34                           ,-7.47                   ,-3.79                   ,-47.85      ,-17.17          ,2.17                 ,5.74                           ,                     6.36 ,- -                          ,12              ,11.48                   ,6.52         ,-92.92              ,156.52  ,75.13                ,8.43                      ,-8.45   ,23.16                ,-1.29                        ,2.85              ,5.02                 ,5.02         ,15.53             ,-79.34       ,9.84                            ,9.55         ,6.52                       ,-3.22              ,-730.29  ,-675.36            ,-0.49                        ,-5.77         ,11.24                 ,6.48                ,16.78      ,4.29                        ,92.41          ,29.22                    ,-101.6                   ,22.55                          ,44                    ,-22.06                      ,37.82                          ,13.57          ,-60.96         ,-2471.76                    ,-1281.98                       ,-113.05             ,44                   ,21.66          ,-37.73               ,4.94                    ,0.183112380928103
 3 ,2013 ,0.16                     ,-9.48           ,2.75         ,1.78                       ,7.23                   ,2.67                    ,-51.23                      ,7.22          ,9.46                        ,-4.91                     ,15.1              ,-4.93                       ,15.13               ,2.3    ,2.14              ,2.67   ,2.67   ,2.58             ,2.5                  ,9.28              ,-4.01              ,             25.06 ,0.51                 ,5.02                           ,-2.29                   ,-5.14                   ,51.9        ,13.34           ,4.17                 ,1.06                           ,                     6.22 ,- -                          ,5.06            ,4.74                    ,4.45         ,203.65              ,- -     ,-3.82                ,-16.35                    ,36.75   ,-0.51                ,26.22                        ,7.09              ,8.03                 ,8.03         ,-0.89             ,-188.39      ,2.2                             ,2.4          ,4.45                       ,-5.28              ,155.5    ,149.51             ,-4.47                        ,24.53         ,3.72                  ,4.35                ,9.46       ,0.51                        ,14.93          ,14.57                    ,-6700                    ,3.5                            ,0.31                  ,-33.98                      ,-28.93                         ,18.92          ,192.59         ,85.32                       ,39.37                          ,-68.52              ,0.31                 ,3.66           ,19.84                ,-5.44                   ,-0.13918853738224546
 4 ,2014 ,2.95                     ,1.73            ,3.23         ,2.44                       ,6.21                   ,3.82                    ,139.51                      ,-1.4          ,0.27                        ,-5.05                     ,5.61              ,-4.95                       ,5.5                 ,3.04   ,0.09              ,3.82   ,3.82   ,0.28             ,0.85                 ,-2.59             ,1.26               ,             60.08 ,-0.78                ,20.5                           ,21.6                    ,0.63                    ,-21.25      ,-4.52           ,15.46                ,0.26                           ,                     8.39 ,- -                          ,5.61            ,5.2                     ,10.43        ,-33.31              ,-48.88  ,3.92                 ,11.79                     ,22.56   ,10.19                ,19.81                        ,16.99             ,11.56                ,11.56        ,0.43              ,65.66        ,4.99                            ,5.1          ,10.43                      ,-3.92              ,65.06    ,57.05              ,-8.43                        ,3.29          ,-6.85                 ,1.67                ,0.27       ,-0.78                       ,14.14          ,6.62                     ,-93.27                   ,4.9                            ,-10.77                ,73.46                       ,26.58                          ,51.99          ,11.9           ,-19.13                      ,-52.14                         ,-1528.45            ,-10.77               ,5.65           ,12.35                ,4.61                    ,0.07584142379669179
 5 ,2015 ,-0.13                    ,4.09            ,-1.11        ,1.48                       ,7.24                   ,-4.63                   ,13.76                       ,-6.35         ,-9.28                       ,-2.74                     ,-6.73             ,-2.19                       ,-7.25               ,-4.14  ,-4.02             ,-4.63  ,-4.63  ,-0.98            ,-4.51                ,-9.17             ,-7.69              ,              6.45 ,-1.62                ,40.06                          ,22.21                   ,-7.7                    ,66.14       ,-5.26           ,31.25                ,20.42                          ,                    16.93 ,- -                          ,12.49           ,13.06                   ,22.76        ,50.85               ,32.56   ,-0.33                ,6.27                      ,76.29   ,12.22                ,63.16                        ,44.08             ,9.86                 ,9.86         ,2.07              ,507.32       ,3.81                            ,3.48         ,22.76                      ,-2.71              ,215.99   ,205.36             ,-42.81                       ,23.51         ,-18.33                ,8.2                 ,-9.28      ,-1.62                       ,-21.31         ,15.9                     ,-1782.5                  ,-3.92                          ,139.83                ,228.93                      ,152.65                         ,3.54           ,256.49         ,-18.14                      ,-342.13                        ,55.07               ,139.83               ,-9.73          ,0.32                 ,5.91                    ,-0.16904439764425716
 6 ,2016 ,-3.08                    ,-0.7            ,-3.67        ,3.52                       ,4.76                   ,-8.29                   ,14.23                       ,-10.85        ,-10.43                      ,-4.16                     ,-6.55             ,-4.4                        ,-6.32               ,-8.96  ,-6.06             ,-8.29  ,-8.29  ,-0.6             ,-5.37                ,-7.58             ,-5.93              ,             17.57 ,-12.3                ,3.23                           ,-7.2                    ,-4.15                   ,-32.48      ,-10.13          ,1.79                 ,8.52                           ,                    10.98 ,- -                          ,-0.38           ,0.31                    ,1.15         ,-62.33              ,87.59   ,8.37                 ,12.54                     ,0.37    ,7.96                 ,1.44                         ,4.18              ,4.58                 ,4.58         ,-9.87             ,-18.07       ,-2.82                           ,-2.66        ,1.15                       ,-4.88              ,17.1     ,20.3               ,-7                           ,-9.55         ,-7.98                 ,3.03                ,-10.43     ,-12.3                       ,46.06          ,11.15                    ,32.1                     ,-5.41                          ,-14.52                ,-70.96                      ,-72.94                         ,12.68          ,-81.1          ,44.85                       ,-200.06                        ,-128.2              ,-14.52               ,-4.43          ,-6.7                 ,5.61                    ,-0.026484376928341158
 7 ,2017 ,1.84                     ,-0.13           ,2.34         ,3.7                        ,6.43                   ,1.31                    ,5.84                        ,0.66          ,4.88                        ,-2.51                     ,7.58              ,-2.04                       ,7.06                ,0.73   ,-1.09             ,1.31   ,1.31   ,0.49             ,-0.52                ,2.98              ,0.36               ,              6.21 ,-2.31                ,17.73                          ,8.1                     ,-1.58                   ,41.51       ,9.49            ,15.86                ,32.88                          ,                    27.15 ,- -                          ,25.75           ,26.34                   ,20.33        ,18.85               ,161.25  ,6.39                 ,40.5                      ,19.97   ,19.47                ,19.89                        ,25.4              ,11.76                ,11.76        ,15.53             ,-1.59        ,13.9                            ,13.51        ,20.33                      ,0.15               ,52.41    ,34.27              ,-63.23                       ,-17.54        ,8.46                  ,1.47                ,4.88       ,-2.31                       ,26.86          ,30.18                    ,-16.87                   ,4.17                           ,69.97                 ,148.93                      ,317.04                         ,3.54           ,372.85         ,-81.73                      ,-192.19                        ,-218.56             ,69.97                ,-2.16          ,1.4                  ,-0.68                   ,0.0551684227198288
 8 ,2018 ,5.57                     ,8.19            ,4.93         ,3.7                        ,-1.1                   ,7.86                    ,-18.82                      ,11.93         ,-59.03                      ,0.15                      ,-59.08            ,0.5                         ,-59.23              ,8.76   ,3.01              ,7.86   ,7.86   ,-0.61            ,2.16                 ,-61.19            ,6.34               ,             19.17 ,13.63                ,1.79                           ,-0.75                   ,-0.4                    ,- -         ,20.69           ,1.94                 ,10.95                          ,                    14.71 ,- -                          ,0.44            ,1.36                    ,1.68         ,-11.69              ,-54.16  ,2.85                 ,-20.61                    ,16.66   ,85.89                ,27.01                        ,12.75             ,6.96                 ,6.96         ,-33.29            ,103.74       ,-15.1                           ,-14.79       ,1.68                       ,-3.38              ,7.96     ,26.69              ,-215.75                      ,28.41         ,-23.35                ,-0.72               ,-59.03     ,13.63                       ,-39.41         ,19.04                    ,956.29                   ,8.92                           ,-14.1                 ,-73.76                      ,-73.83                         ,19.35          ,-29.83         ,468.31                      ,-209.86                        ,-112.86             ,-14.1                ,12.76          ,-2.07                ,165.82                  ,0.03267692670892308
 9 ,2019 ,-0.82                    ,-1.06           ,-0.75        ,0.56                       ,-1.07                  ,-2.07                   ,22.83                       ,-4.83         ,189.75                      ,-11.82                    ,228.58            ,-11.94                      ,229.04              ,-0.95  ,-0.14             ,-2.07  ,-2.07  ,0.06             ,-1.27                ,192.14            ,-0.09              ,              5.89 ,4.81                 ,-43.76                         ,-5.12                   ,-2.75                   ,- -         ,0.03            ,-38.94               ,6.02                           ,                    10.73 ,- -                          ,1.21            ,1.67                    ,-20.8        ,9.64                ,0.07    ,-4.37                ,-2.94                     ,-7.94   ,2.07                 ,-5.75                        ,-5.16             ,-7.05                ,-7.05        ,-118.99           ,-0.49        ,-52.36                          ,-51.62       ,-20.8                      ,-15.96             ,-8.58    ,88.96              ,825.07                       ,-37.08        ,-20.85                ,-0.73               ,189.75     ,4.81                        ,-36.19         ,2.86                     ,-100.9                   ,-5.43                          ,-4.38                 ,-1420.09                    ,-572.12                        ,-6.62          ,- -            ,264.91                      ,321.32                         ,328.96              ,-4.38                ,-5.56          ,1.55                 ,-67.36                  ,-0.09534798789776522
