   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   11.36 ,          10.16 ,       12.66 ,                      5.5  ,- -                    ,                  36.47 ,8.8                         ,        38.74 ,                      36.38 ,1.78                      ,            34    ,2.98                        ,              32.43 , 30.52 ,17.21             ,36.47 ,36.47 ,1.17             ,22.55                ,22.47             ,5.88               ,- -                ,                8.95 ,10.34                          ,10.34                   ,7.4                     ,5.76        ,-44.28          ,3.35                 ,                         11.8  ,                    14.97 ,- -                          ,-1.44           ,                   7.51 ,        5.57 ,               8.4  ,-98.66  ,23.46                ,                     0.81 ,-47.77  ,30.92                ,-30.5                        ,-12.29            ,9.53                 ,2.55         ,25.41             ,-62.7        ,19.5                            ,19.5         ,                      5.57 ,2.59               ,-56.93   ,-63.96             ,19.13                        ,2.52          ,-2.04                 ,5.18                ,     36.38 ,                       8.95 ,29.04          ,-20.74                   ,-108.9                   ,146.73                         ,-11.9                 ,198.4                       ,-14.46                         ,- -            ,-58.72         ,6.06                        ,-388.72                        ,-163.81             ,-11.9                ,-361.05        ,6.43                 ,80.91                   ,0.45716761124997296
 1 ,2011 ,                    7.25 ,           6.3  ,        8.25 ,                      4.56 ,- -                    ,                  17.76 ,8.78                        ,        18.34 ,                      21.06 ,-2.88                     ,            24.64 ,-3.53                       ,              25.48 , 15.05 ,7.27              ,17.76 ,17.76 ,0.94             ,9.8                  ,12.87             ,2.87               ,- -                ,                2.75 ,1116.49                        ,1116.49                 ,10.95                   ,-1.87       ,-12.17          ,13.31                ,                          8.48 ,                    11.89 ,- -                          ,-2.13           ,                   5.33 ,        8.97 ,              30.78 ,-53.74  ,16.1                 ,                    28.57 ,123.05  ,10.65                ,76.57                        ,44.47             ,-2.78                ,-9.79        ,-16.24            ,- -          ,-11.37                          ,-11.37       ,                      8.97 ,-9.82              ,32.54    ,49.53              ,-22.9                        ,-11.86        ,-25.05                ,4.26                ,     21.06 ,                       2.75 ,-17.19         ,21.25                    ,1536.35                  ,59.02                          ,-10.15                ,- -                         ,-9                             ,- -            ,52.79          ,-1556.16                    ,33.72                          ,11810.66            ,-10.15               ,133.74         ,-5.45                ,31.36                   ,0.32326916488575264
 2 ,2012 ,                    6.8  ,           4.52 ,        9.17 ,                      7.43 ,- -                    ,                  13.13 ,-25.57                      ,        15.41 ,                      15.38 ,-10.01                    ,            28.22 ,-9.98                       ,              28.17 , 12.1  ,4.97              ,13.13 ,13.13 ,2.22             ,5.93                 ,8.04              ,-2.1               ,- -                ,                6.77 ,-31.37                         ,-31.37                  ,-11.08                  ,14.63       ,-51.7           ,4.81                 ,                          5.63 ,                     8.01 ,- -                          ,0.69            ,                   4.26 ,        4.52 ,              48.37 ,-66.47  ,14.07                ,                    43.85 ,37.5    ,-2.31                ,27.18                        ,37.1              ,-2.37                ,-11.16       ,-40.97            ,- -          ,-25.89                          ,-25.89       ,                      4.52 ,-11.18             ,94.45    ,162.38             ,-38.76                       ,-27.14        ,-29.1                 ,9.09                ,     15.38 ,                       6.77 ,-99.03         ,7.03                     ,34.77                    ,11.85                          ,-8.41                 ,- -                         ,-0.7                           ,- -            ,-64.35         ,50.34                       ,124.08                         ,-134.18             ,-8.41                ,20.26          ,-8.83                ,-3.06                   ,-0.015607858832427546
 3 ,2013 ,                    7.55 ,           6.34 ,        8.77 ,                      6.86 ,- -                    ,                  12.9  ,24.17                       ,        12.47 ,                      14.43 ,-9.85                     ,            26.94 ,-9.9                        ,              27.01 , 11.45 ,3.62              ,12.9  ,12.9  ,1.13             ,4.97                 ,6.4               ,-7.78              ,- -                ,                3.43 ,-6.77                          ,-6.77                   ,9.36                    ,4.34        ,12.44           ,3.74                 ,                          9.65 ,                    10.32 ,- -                          ,0.28            ,                   7.15 ,        5.53 ,               6.17 ,-69.82  ,10.46                ,                     6.61 ,27.42   ,3.47                 ,22.65                        ,12.63             ,3.22                 ,-6.28        ,-17.29            ,- -          ,-6.73                           ,-6.73        ,                      5.53 ,-6.22              ,37.4     ,47.32              ,-15.76                       ,-2.69         ,-41.48                ,16.63               ,     14.43 ,                       3.43 ,182.94         ,-1.38                    ,-89.29                   ,-27.45                         ,31.64                 ,- -                         ,22.48                          ,- -            ,0.37           ,-37.49                      ,-48.83                         ,-85.18              ,31.64                ,-46.14         ,57.05                ,-36.6                   ,0.14337477053228986
 4 ,2014 ,                    8.52 ,           6.92 ,       10.09 ,                      7.64 ,- -                    ,                  15.12 ,8.19                        ,        15.42 ,                      16.1  ,-4.56                     ,            21.64 ,-4.55                       ,              21.64 , 13.83 ,4.89              ,15.12 ,15.12 ,1.44             ,6.08                 ,6.98              ,-0.09              ,- -                ,                6.02 ,8.32                           ,8.32                    ,7.62                    ,7.57        ,52.44           ,8.12                 ,                          9.63 ,                    10.72 ,- -                          ,0.15            ,                   7.26 ,        7.66 ,              18.27 ,-62.69  ,-1.9                 ,                    16.11 ,-0.55   ,10.73                ,1.34                         ,10.07             ,6.78                 ,-4.06        ,-2.82             ,- -          ,2.65                            ,2.65         ,                      7.66 ,-4.09              ,-2.32    ,-4.84              ,-4.1                         ,-6.88         ,-16.74                ,8.62                ,     16.1  ,                       6.02 ,-837.88        ,6.32                     ,349.5                    ,31.1                           ,8.62                  ,- -                         ,8.91                           ,- -            ,- -            ,-7.74                       ,39.49                          ,-214.47             ,8.62                 ,48.48          ,16.63                ,12.92                   ,0.3826361613136231
 5 ,2015 ,                   10.4  ,           8.46 ,       12.23 ,                      8.62 ,- -                    ,                  19.18 ,11.34                       ,        19.49 ,                      19.67 ,-4.12                     ,            24.81 ,-4.27                       ,              25    , 17.73 ,6.64              ,19.18 ,19.18 ,1.66             ,7.95                 ,8.39              ,4.24               ,- -                ,                8.26 ,-53.58                         ,-53.58                  ,9.6                     ,2.98        ,-38.01          ,-1.81                ,                          7.64 ,                     9.48 ,- -                          ,-0.38           ,                   5.77 ,        2.21 ,               7.13 ,- -     ,19.9                 ,                     8.29 ,0.12    ,-10.58               ,-1.85                        ,4.47              ,7.24                 ,-3.84        ,-17.46            ,- -          ,-2.83                           ,-2.83        ,                      2.21 ,-3.81              ,11.94    ,15.2               ,-6.9                         ,-9.32         ,-53.82                ,5.91                ,     19.67 ,                       8.26 ,-148.51        ,-5.18                    ,-16.65                   ,13.03                          ,-3.71                 ,- -                         ,-3.83                          ,- -            ,- -            ,34.48                       ,43.43                          ,-797.74             ,-3.71                ,22.49          ,15.52                ,-5.55                   ,0.32291340969157245
 6 ,2016 ,                    7.86 ,           7.36 ,        8.32 ,                      6.09 ,- -                    ,                  12.23 ,15.58                       ,        12.11 ,                      11.43 ,-4.52                     ,            16.71 ,-4.72                       ,              16.96 , 11.18 ,3.08              ,12.23 ,12.23 ,0.42             ,4.05                 ,3.31              ,3.86               ,- -                ,                3.62 ,26.05                          ,26.05                   ,19.55                   ,5.62        ,82.69           ,8.24                 ,                          9.15 ,                    10.52 ,- -                          ,2.2             ,                   7.62 ,        7.9  ,              12.47 ,- -     ,4.06                 ,                    11.63 ,35.76   ,3.74                 ,30.4                         ,18.27             ,4.3                  ,-4.91        ,-57.35            ,- -          ,-17.04                          ,-17.04       ,                      7.9  ,-5                 ,36.64    ,64.7               ,-35.54                       ,-3.04         ,-47.24                ,3.85                ,     11.43 ,                       3.62 ,365.44         ,-13.88                   ,10.82                    ,12.28                          ,15.05                 ,- -                         ,29.94                          ,- -            ,66.4           ,34.92                       ,-11.3                          ,-122.57             ,15.05                ,11.05          ,-6.85                ,0.76                    ,0.0032607972152789433
 7 ,2017 ,                    4.48 ,           4.23 ,        4.69 ,                      6.6  ,- -                    ,                   1.54 ,41.25                       ,         0.04 ,                       9.26 ,-7.36                     ,            17.94 ,-7.46                       ,              18.07 ,  2.2  ,-2.18             , 1.54 , 1.54 ,0.21             ,-2.81                ,4.58              ,3.68               ,- -                ,                7.33 ,-68.38                         ,-68.38                  ,4.69                    ,8.31        ,-7.52           ,4.29                 ,                          7.06 ,                     7.42 ,- -                          ,0.93            ,                   5.78 ,        5.1  ,               8.23 ,- -     ,-2.18                ,                     7.25 ,57.84   ,1.28                 ,50.32                        ,24.06             ,-5.36                ,-9.26        ,-311.69           ,- -          ,-59.87                          ,-59.87       ,                      5.1  ,-9.21              ,68.47    ,319.76             ,-115.29                      ,-2.77         ,-27.49                ,0.77                ,      9.26 ,                       7.33 ,-22.73         ,2.87                     ,-96.97                   ,-7.08                          ,-2.18                 ,- -                         ,-12.26                         ,- -            ,671.26         ,47.1                        ,9.29                           ,-430.89             ,-2.18                ,-9.34          ,-16.01               ,-14.96                  ,-0.33022210370041816
 8 ,2018 ,                    6.22 ,           5.62 ,        6.76 ,                      7.66 ,- -                    ,                   5.2  ,38.24                       ,         3.44 ,                      16.82 ,-7.94                     ,            26.89 ,-8.07                       ,              27.07 ,  5.86 ,-0.34             , 5.2  , 5.2  ,0.51             ,-0.96                ,9.97              ,1.01               ,- -                ,               10.73 ,-32.44                         ,-32.44                  ,-7.63                   ,6.1         ,-1.58           ,4.28                 ,                          7.27 ,                     8.75 ,- -                          ,2.44            ,                   6.31 ,        5.4  ,               6.79 ,- -     ,6.47                 ,                     6.76 ,14.73   ,7.81                 ,14.11                        ,10.24             ,-0.24                ,-6.29        ,48.36             ,- -          ,-45.84                          ,-45.84       ,                      5.4  ,-6.24              ,15.48    ,113.23             ,215.33                       ,-2.33         ,-52.61                ,5.16                ,     16.82 ,                      10.73 ,82.23          ,3.99                     ,1276.62                  ,23.07                          ,8.23                  ,- -                         ,15.1                           ,- -            ,-24.34         ,-22.8                       ,16.21                          ,-85                 ,8.23                 ,30.45          ,10.09                ,5.35                    ,0.49386006911682034
 9 ,2019 ,                    6.43 ,           5.76 ,        7.04 ,                      7.73 ,- -                    ,                   5.81 ,7.68                        ,         5.68 ,                       5.02 ,-5.43                     ,            11.06 ,-5.46                       ,              11.09 ,  5.66 ,-0.72             , 5.81 , 5.81 ,0.57             ,-0.58                ,-1.32             ,2.56               ,- -                ,                4.61 ,29.03                          ,29.03                   ,8.97                    ,8.17        ,-7.26           ,8.2                  ,                         63.83 ,                    43.83 ,- -                          ,18.37           ,                  55.11 ,       34.29 ,               6.77 ,1264144 ,5.52                 ,                    14.78 ,62.3    ,-3.61                ,56.72                        ,35.3              ,1.48                 ,-4.3         ,-2.21             ,-264.65      ,12.35                           ,12.35        ,                     34.29 ,-4.33              ,13.71    ,1.21               ,-12.77                       ,-5.73         ,139.67                ,3.78                ,      5.02 ,                       4.61 ,1.53           ,8.65                     ,-108.8                   ,-1.1                           ,24.55                 ,-294.55                     ,49.12                          ,- -            ,10.14          ,-16.4                       ,-25.28                         ,-159.35             ,24.55                ,-11.68         ,14.58                ,-5.84                   ,-0.015989987366675784
