   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,23.35                    ,13.28           ,29.07        ,1.53                       ,- -                    ,55.65                   ,26.13                       ,57.61         ,55.84                       ,0.15                      ,55.17             ,- -                         ,55.4                ,34.67  ,9.18              ,55.65   ,55.65   ,4.64             ,26.19                ,25.99             ,13.25              ,7.26               ,1.15                 ,42.95                          ,109.59                  ,21.49                   ,-3.7        ,715.81          ,61.5                 ,8.59                           ,7.59                      ,17.73                        ,4.18            ,8.94                    ,18.55        ,25.49               ,- -     ,482.86               ,28.45                     ,99.88   ,9.2                  ,35.03                        ,32.37             ,                0.88 ,- -          ,12.57             ,-12.08       ,11.7                            ,11.4         ,18.55                      ,0.11               ,61.75    ,45.19              ,-6.03                        ,25.73         ,36.75                 ,8.91                ,55.84      ,1.15                        ,-10.45         ,- -                      ,-142.91                  ,60.83                          ,121.1                 ,-1306.67                    ,70.41                          ,7.41           ,249.19         ,159.09                      ,-204.84                        ,-347.53             ,121.1                ,34.19          ,-32.32               ,3.49                    ,0.09993063150564252
 1 ,2011 ,25.04                    ,15.86           ,29.62        ,9.1                        ,- -                    ,36.67                   ,-65.98                      ,42.13         ,43.07                       ,-0.05                     ,49.54             ,-0.11                       ,49.64               ,30.08  ,4.03              ,36.67   ,36.67   ,3.66             ,9.3                  ,19.54             ,21.72              ,23.96              ,13.89                ,35.05                          ,46.66                   ,7.21                    ,2.69        ,-89.14          ,-11.62               ,25.04                          ,21.35                     ,1.62                         ,-6.52           ,23.19                   ,14.52        ,8.89                ,- -     ,-84.8                ,1.56                      ,14.87   ,22.73                ,19.42                        ,12.41             ,                1.29 ,- -          ,17.66             ,-7.82        ,15.81                           ,15.81        ,14.52                      ,-0.22              ,-17.49   ,-28.75             ,1.13                         ,-12.97        ,36.48                 ,2.73                ,43.07      ,13.89                       ,106.55         ,- -                      ,-32.67                   ,31.36                          ,90.81                 ,- -                         ,9.09                           ,23.9           ,-18.3          ,292.98                      ,-208.49                        ,-11.15              ,90.81                ,-11.94         ,-35.92               ,-12.12                  ,-0.026188025241618673
 2 ,2012 ,0.91                     ,67.3            ,-28.68       ,5.19                       ,- -                    ,128.21                  ,12272.93                    ,-26.23        ,-30.2                       ,-0.34                     ,-31.86            ,-0.36                       ,-31.85              ,102.24 ,100.41            ,128.21  ,128.21  ,-29.32           ,126.15               ,-32.71            ,-7.29              ,48.7               ,25.62                ,-66.11                         ,-57.89                  ,-8.88                   ,25.72       ,330.45          ,-17.76               ,13.97                          ,15.46                     ,-8.59                        ,1.88            ,12.82                   ,6.94         ,-14.82              ,151.05  ,- -                  ,-8.27                     ,19.62   ,14.44                ,16.54                        ,7.75              ,                2.09 ,0.56         ,8.1               ,3.93         ,6.37                            ,6.45         ,6.94                       ,-0.68              ,188.56   ,171.07             ,-0.45                        ,-10.35        ,-72.5                 ,8.85                ,-30.75     ,25.62                       ,72.33          ,- -                      ,-320.88                  ,-7.89                          ,4.56                  ,- -                         ,27.79                          ,48.19          ,-17.76         ,122.32                      ,-28                            ,-281.96             ,4.56                 ,-27.55         ,-17.09               ,35.64                   ,-0.29502506270157913
 3 ,2013 ,1.17                     ,4.48            ,-2.29        ,12.42                      ,- -                    ,1.17                    ,-10.08                      ,25.17         ,27.77                       ,-0.64                     ,29.21             ,-0.67                       ,29.24               ,3.9    ,2.7               ,1.17    ,1.17    ,-3.42            ,- -                  ,26.9              ,-3.53              ,-26.55             ,18.53                ,113.13                         ,113.13                  ,15.42                   ,-10.71      ,-35.61          ,19.29                ,7.22                           ,11.18                     ,-22.97                       ,10.53           ,6.22                    ,8.15         ,26.07               ,- -     ,- -                  ,15.69                     ,-1.2    ,8.62                 ,4.53                         ,7.9               ,                0.97 ,- -          ,10.11             ,-39.64       ,7.77                            ,8.3          ,8.15                       ,-1.18              ,-41.2    ,-45.71             ,0.14                         ,3.11          ,0.18                  ,4.88                ,28.38      ,18.53                       ,-50.77         ,- -                      ,-134.75                  ,14.28                          ,-8.31                 ,- -                         ,-35.26                         ,-27.02         ,- -            ,83.33                       ,246.69                         ,-182.28             ,-8.31                ,65.72          ,19.47                ,-10.99                  ,-0.018516073399976296
 4 ,2014 ,-21.03                   ,-14.29          ,-28.56       ,-16.55                     ,- -                    ,-75.28                  ,-67.42                      ,-87.33        ,-102.2                      ,-2.86                     ,-89.26            ,-2.92                       ,-89.25              ,-65.42 ,-56.21            ,-75.28  ,-75.28  ,-9.54            ,-68.7                ,-86.79            ,-12.93             ,46.5               ,-20.31               ,11.67                          ,11.67                   ,-25.87                  ,-12.33      ,357.01          ,22.52                ,-28.83                         ,-16.32                    ,7.27                         ,29.88           ,-27.07                  ,-18.99       ,-2.25               ,- -     ,- -                  ,-2.25                     ,-1.46   ,-41.88               ,-25.97                       ,-18.3             ,                1.09 ,- -          ,-13.78            ,17.82        ,-18.94                          ,-19.4        ,-18.99                     ,-3.19              ,-14.02   ,6.68               ,-0.51                        ,25.34         ,57.51                 ,-9.3                ,-89.33     ,-20.31                      ,116.58         ,- -                      ,203.45                   ,-14.38                         ,16.37                 ,- -                         ,3.38                           ,42.31          ,- -            ,170.21                      ,-24.92                         ,-78.01              ,16.37                ,-53.14         ,-11.09               ,720.47                  ,-0.2031986303345903
 5 ,2015 ,-35.38                   ,-6.47           ,-74.15       ,-15.5                      ,- -                    ,-92.01                  ,110.89                      ,-891.18       ,6166.15                     ,-1.98                     ,-1396.67          ,-1.98                       ,-1396.67            ,-51.22 ,-24.52            ,-92.01  ,-92.01  ,-60              ,-87.64               ,-2066.7           ,-31.88             ,4.52               ,6.64                 ,-15.52                         ,-15.52                  ,-29.39                  ,-6.27       ,-47.87          ,-30.27               ,-20.36                         ,-4.64                     ,-8.37                        ,-11.82          ,-19.7                   ,-22.31       ,-35.92              ,141.67  ,18.28                ,-16.99                    ,0.66    ,-9.42                ,-4.14                        ,-9.12             ,                0.53 ,- -          ,-28.02            ,-14.01       ,-30.35                          ,-30.35       ,-22.31                     ,-0.9               ,68.32    ,141.65             ,-10.35                       ,-16           ,-86.94                ,-5.13               ,-1342.7    ,6.64                        ,129.67         ,- -                      ,-211.11                  ,-70.6                          ,-30.09                ,- -                         ,-35.97                         ,2.44           ,-14.8          ,-77.42                      ,-39.06                         ,-986.62             ,-30.09               ,-197.39        ,72.27                ,-102.31                 ,-0.11927904647411869
 6 ,2016 ,-19.15                   ,-8.61           ,-70.31       ,4.72                       ,- -                    ,-314.49                 ,-92.04                      ,-80.95        ,-87.7                       ,-0.24                     ,-92.65            ,-0.24                       ,-92.65              ,-35.71 ,-20.48            ,-314.49 ,-314.49 ,-63.28           ,-365.3               ,-90.93            ,-18.42             ,2.23               ,-6.07                ,-30.24                         ,-30.24                  ,34.31                   ,-12.17      ,-46.74          ,-12.87               ,2.21                           ,0.33                      ,-2.3                         ,-1.98           ,1.9                     ,-1.37        ,20.42               ,- -     ,- -                  ,-7.03                     ,42.66   ,-3.57                ,21.85                        ,11.64             ,                1.37 ,- -          ,-11.48            ,-13.36       ,-11.72                          ,-11.72       ,-1.37                      ,0.07               ,47.82    ,67.44              ,-10.49                       ,-6.28         ,-487.16               ,-0.9                ,-92.67     ,-6.07                       ,-122.53        ,- -                      ,-55.8                    ,-22.59                         ,-51.72                ,- -                         ,-12.56                         ,1.99           ,184.18         ,-102.51                     ,-40.24                         ,-13.84              ,-51.72               ,-88.05         ,83.14                ,955.86                  ,0.004337510461679406
 7 ,2017 ,23.96                    ,1.47            ,360.03       ,7.07                       ,- -                    ,-205.69                 ,-84.67                      ,-152.63       ,-230.84                     ,0.17                      ,-328.01           ,0.27                        ,-327.77             ,57.7   ,27.22             ,-205.69 ,-205.69 ,271.1            ,-185.26              ,-284.24           ,23.96              ,1.43               ,-6.23                ,-25.12                         ,-25.12                  ,3.91                    ,43.88       ,-9.93           ,-1.87                ,-3.6                           ,-1.47                     ,8.14                         ,13.15           ,-2.67                   ,-2.51        ,8.46                ,-65.52  ,- -                  ,16.32                     ,-5      ,-12.98               ,-7.84                        ,-0.73             ,                1.74 ,0.56         ,-4.55             ,-3.01        ,-4.3                            ,-4.3         ,-2.51                      ,0.11               ,7.51     ,12.35              ,-1.84                        ,-15.64        ,-74.32                ,- -                 ,-328.4     ,-6.23                       ,-102.67        ,- -                      ,-7.2                     ,98.33                          ,27.13                 ,- -                         ,-32.22                         ,1.6            ,- -            ,-78.57                      ,192.14                         ,-81.45              ,27.13                ,-547.76        ,-35.43               ,-186.84                 ,-0.10934355279551933
 8 ,2018 ,42.5                     ,9.89            ,149.97       ,13.27                      ,- -                    ,367.31                  ,-229.03                     ,443.46        ,215.1                       ,-0.44                     ,216.51            ,-0.34                       ,216.18              ,78.42  ,25.21             ,367.31  ,367.31  ,75.41            ,227.93               ,121.12            ,42.5               ,1.65               ,-0.62                ,81.4                           ,81.4                    ,18.05                   ,-4.41       ,-38.19          ,19.26                ,0.84                           ,5.94                      ,10.89                        ,-18.09          ,0.7                     ,4.35         ,5.74                ,-76.8   ,- -                  ,0.16                      ,9.36    ,3.91                 ,7.53                         ,4.99              ,                2.01 ,- -          ,8.27              ,-33.33       ,3.68                            ,3.68         ,4.35                       ,-2.05              ,-10.69   ,-13.87             ,-0.64                        ,19.07         ,-522.16               ,- -                 ,215.1      ,-0.62                       ,86.36          ,- -                      ,44.32                    ,53.5                           ,38.23                 ,- -                         ,-0.25                          ,1.19           ,-76.73         ,-40600                      ,32.39                          ,-342.6              ,38.23                ,92.84          ,-44.34               ,-51.28                  ,-0.0681165741853641
 9 ,2019 ,14.41                    ,35.78           ,-16.54       ,-45.32                     ,- -                    ,-44.99                  ,-1743.12                    ,-96.48        ,-112.27                     ,6.28                      ,-122.44           ,6.05                        ,-122.48             ,-3.28  ,-15.46            ,-44.99  ,-44.99  ,-27.05           ,-51.92               ,-114.11           ,-12.6              ,4                  ,50.39                ,-0.03                          ,-0.03                   ,30.25                   ,21.49       ,949.46          ,89.4                 ,160.37                         ,66.26                     ,280.3                        ,175.29          ,166.69                  ,149.3        ,68.85               ,434.48  ,1727.27              ,101.69                    ,286.15  ,322.68               ,298.02                       ,233.41            ,               84.36 ,16.76        ,-15.03            ,28.49        ,60.49                           ,60.49        ,149.3                      ,19.31              ,388.14   ,204.16             ,-53.98                       ,-6.09         ,-45.86                ,30.91               ,-112.64    ,50.39                       ,510.98         ,- -                      ,-305.57                  ,-6.08                          ,32.98                 ,- -                         ,800.59                         ,10.53          ,2104.19        ,-905.84                     ,-815.54                        ,-61.35              ,32.98                ,-78.21         ,-35.36               ,-681.71                 ,-0.571611969519795
