   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-0.32                    ,-3.96           ,        1.54 ,                      4.25 ,- -                    ,-0.68                   ,-94.53                      ,-10.19        ,-10.6                       ,0.17                      ,-10.75            ,0.2                         ,-10.77              ,-0.52  ,-0.19             ,-0.68 ,-0.68 ,1.87             ,-0.35                ,-10.31            ,              2.13 ,0.02               ,0.85                 ,-25.52                         ,-39.86                  ,4.68                    ,- -         ,1               ,-1.9                 ,-1.91                          ,6.58                      ,252.77                       ,-4.34           ,20.24                   ,1.93         ,16.3                ,- -     ,0.35                 ,1.09                      ,- -     ,-2.31                ,-2.31                        ,1.01              ,                7.08 ,-0.28        ,3.23              ,1.1          ,                           4.51 ,        4.51 ,1.93                       ,0.13               ,-39.86   ,-42.46             ,7.57                         ,-2.96         ,2.05                  ,-2.4                ,-10.6      ,0.85                        ,54             ,-0.42                    ,-231.21                  ,-11.31                         ,-24.43                ,-125.3                      ,-199.22                        ,          0.19 ,- -            ,- -                         ,-49.27                         ,-161.1              ,-24.43               ,-9.55          ,21.2                 ,-0.79                   ,-0.07425741413869225
 1 ,2011 ,4.17                     ,-0.32           ,        6.35 ,                      3.86 ,- -                    ,8.5                     ,28.89                       ,8.62          ,8.03                        ,0.11                      ,7.91              ,0.19                        ,7.82                ,7.86   ,3.54              ,8.5   ,8.5   ,2.09             ,4.15                 ,3.7               ,              2.49 ,-0.07              ,2.54                 ,26.5                           ,-58.14                  ,-11.52                  ,- -         ,0.74            ,2.38                 ,14.63                          ,12.62                     ,-28.54                       ,22.08           ,6.44                    ,3.2          ,-77.36              ,- -     ,5.68                 ,1.23                      ,- -     ,33.13                ,33.13                        ,1.92              ,                7.13 ,- -          ,7.38              ,-11.56       ,                           6.72 ,        6.72 ,3.2                        ,0.18               ,-58.14   ,-60.78             ,-2.7                         ,1.13          ,-41.37                ,1.64                ,8.03       ,2.54                        ,4.01           ,-3.12                    ,-222.26                  ,17.09                          ,63.95                 ,56.42                       ,2.04                           ,          0.04 ,- -            ,- -                         ,18.34                          ,-12.31              ,63.95                ,11.86          ,-7.95                ,8.39                    ,0.014334750146466346
 2 ,2012 ,6.98                     ,2.85            ,        8.86 ,                      9.19 ,- -                    ,8.58                    ,10.34                       ,8.6           ,6.35                        ,0.17                      ,6.17              ,0.17                        ,6.17                ,8.75   ,1.66              ,8.58  ,8.58  ,1.75             ,1.5                  ,-0.59             ,              6.98 ,2.44               ,10.26                ,-31.83                         ,-8.57                   ,-9.19                   ,- -         ,27.29           ,19.21                ,5.05                           ,6.69                      ,128.51                       ,-2.29           ,23.58                   ,20.13        ,53.52               ,- -     ,24.93                ,25.27                     ,- -     ,18.39                ,18.39                        ,25.08             ,                4.73 ,- -          ,8.98              ,0.53         ,                           7.24 ,        7.24 ,20.13                      ,0.14               ,-8.57    ,-14.74             ,-7.37                        ,-4.84         ,-189.4                ,- -                 ,6.35       ,10.26                       ,-0.64          ,-7.66                    ,-149.25                  ,-1.22                          ,-10.85                ,-42.38                      ,203.86                         ,          2.61 ,- -            ,- -                         ,-211.97                        ,-93.83              ,-10.85               ,0.36           ,-3.83                ,-7.11                   ,-0.037379053749014846
 3 ,2013 ,4.32                     ,0.18            ,        6.1  ,                      6.28 ,- -                    ,5.96                    ,3.12                        ,5.94          ,3.83                        ,0.39                      ,3.43              ,0.47                        ,3.35                ,5.39   ,1.02              ,5.96  ,5.96  ,1.71             ,1.57                 ,-0.47             ,              4.32 ,3.12               ,0.41                 ,59.82                          ,-1.38                   ,-4.16                   ,- -         ,-9.27           ,-4.79                ,6.69                           ,-0.87                     ,-22.08                       ,1.7             ,-5.17                   ,-4.88        ,-38.74              ,- -     ,-9.63                ,-10.06                    ,- -     ,-5.87                ,-5.87                        ,-9.95             ,               17.44 ,2.78         ,8.62              ,-41.64       ,                          10.55 ,       10.55 ,-4.88                      ,0.77               ,-1.38    ,-10.79             ,22.51                        ,5.86          ,37.08                 ,- -                 ,3.83       ,0.41                        ,10.09          ,-0.44                    ,366.67                   ,-4.43                          ,10.16                 ,96.25                       ,-114.6                         ,          3.52 ,- -            ,- -                         ,-262.75                        ,-85.29              ,10.16                ,-6.55          ,28.94                ,-7.96                   ,0.19318616385867338
 4 ,2014 ,8.28                     ,9.12            ,        7.95 ,                      7.15 ,- -                    ,8.61                    ,-18.18                      ,8.42          ,10.28                       ,0.19                      ,10.07             ,0.38                        ,9.86                ,8.44   ,0.15              ,8.61  ,8.61  ,-0.31            ,0.3                  ,1.84              ,              5.73 ,6.91               ,6.92                 ,9.04                           ,42.12                   ,12                      ,- -         ,2.51            ,3.52                 ,-1.1                           ,6.62                      ,4.47                         ,3.86            ,2.74                    ,3.35         ,14.29               ,- -     ,3.9                  ,4                         ,- -     ,26.6                 ,26.6                         ,4.63              ,               20.33 ,-2.7         ,-12.03            ,-2.27        ,                           0.19 ,        0.19 ,3.35                       ,-0.66              ,42.12    ,41.86              ,-3.41                        ,-0.47         ,-74.13                ,2.42                ,10.28      ,6.92                        ,9.99           ,15.35                    ,-171.17                  ,30.45                          ,-14.79                ,-132.29                     ,-273.97                        ,          7.11 ,- -            ,- -                         ,-39.48                         ,-3113.33            ,-14.79               ,38.19          ,-10.73               ,18.28                   ,-0.06428930399032362
 5 ,2015 ,8.76                     ,10.31           ,        8.13 ,                      9.24 ,- -                    ,7.21                    ,18.52                       ,7.28          ,7.55                        ,-0.44                     ,8.03              ,-0.41                       ,8                   ,6.67   ,-1.93             ,7.21  ,7.21  ,-0.58            ,-1.42                ,-1.11             ,              6.25 ,8.55               ,1.52                 ,-2.65                          ,11.48                   ,15.51                   ,- -         ,1.68            ,1.71                 ,3.42                           ,7.34                      ,3.68                         ,-2.22           ,0.86                    ,1.53         ,5.94                ,- -     ,2.99                 ,3.02                      ,- -     ,-29.31               ,-29.31                       ,1.94              ,               10.74 ,- -          ,-6.6              ,-65.12       ,                           0.48 ,        0.48 ,1.53                       ,-0.5               ,11.48    ,10.94              ,-1.81                        ,-1.27         ,-57.4                 ,2.36                ,7.55       ,1.52                        ,11.97          ,19.39                    ,-83.76                   ,1.62                           ,22.24                 ,-230.77                     ,-9.84                          ,          8.07 ,- -            ,-26.95                      ,14.07                          ,-61.28              ,22.24                ,-0.55          ,14.3                 ,-5.51                   ,0.1912830963170935
 6 ,2016 ,7.75                     ,6.08            ,        8.45 ,                      8    ,- -                    ,8.83                    ,-29.69                      ,8.59          ,12.14                       ,-0.61                     ,12.82             ,-0.58                       ,12.78               ,8.75   ,0.93              ,8.83  ,8.83  ,0.65             ,1                    ,4.07              ,              3.76 ,10.58              ,7.97                 ,-34.38                         ,-22.65                  ,107.32                  ,- -         ,-6.23           ,-4.41                ,-0.25                          ,3.99                      ,10.33                        ,25.18           ,14.35                   ,-0.41        ,9.67                ,- -     ,-4.69                ,-4.53                     ,- -     ,49.72                ,49.72                        ,-3.27             ,                8.22 ,- -          ,3.57              ,289.33       ,                           7.07 ,        7.07 ,-0.41                      ,-0.22              ,-22.65   ,-27.75             ,2.23                         ,0.12          ,-1432.64              ,3.85                ,12.14      ,7.97                        ,14.31          ,10.19                    ,197.75                   ,13.74                          ,-4.96                 ,95.38                       ,-77.86                         ,          9.91 ,- -            ,-40.84                      ,67.64                          ,-320                ,-4.96                ,16.17          ,-1.86                ,1.43                    ,0.09441280584865508
 7 ,2017 ,6.81                     ,7.27            ,        6.63 ,                      3.32 ,- -                    ,9.36                    ,15.56                       ,9.38          ,9.18                        ,-0.25                     ,9.46              ,0.03                        ,9.15                ,9.44   ,2.46              ,9.36  ,9.36  ,-0.17            ,2.38                 ,2.22              ,              5.25 ,9.47               ,10.25                ,-8.15                          ,40.38                   ,22.19                   ,- -         ,8.32            ,8.4                  ,-4.48                          ,3.83                      ,2.92                         ,-1.61           ,-0.98                   ,6.1          ,0.88                ,- -     ,8.32                 ,8.23                      ,- -     ,-6.07                ,-6.07                        ,7.71              ,                8.08 ,- -          ,-2.65             ,-31.51       ,                           2.28 ,        2.28 ,6.1                        ,-0.28              ,40.38    ,37.25              ,-2.24                        ,0.16          ,132.21                ,1.48                ,9.18       ,10.25                       ,154.42         ,2.31                     ,-1223.02                 ,-5.68                          ,-3.48                 ,-4.86                       ,949.45                         ,          9.2  ,- -            ,54.03                       ,-51.42                         ,379.22              ,-3.48                ,-5.91          ,15.13                ,-13.61                  ,-0.04011654821147537
 8 ,2018 ,7.13                     ,10.75           ,        5.64 ,                      9.01 ,- -                    ,3                       ,65.38                       ,3.26          ,20.31                       ,-0.22                     ,20.58             ,-0.3                        ,20.67               ,3.53   ,-3.36             ,3     ,3     ,-1.39            ,-3.85                ,12.3              ,              2.63 ,11.94              ,8.75                 ,31.17                          ,94.04                   ,-3.46                   ,- -         ,12.25           ,11.79                ,16.7                           ,12.53                     ,-34.91                       ,72.98           ,29.46                   ,15.83        ,28.85               ,- -     ,11.89                ,12.1                      ,- -     ,70.84                ,70.84                        ,13.94             ,                9.37 ,- -          ,40.02             ,-281         ,                          20.53 ,       20.53 ,15.83                      ,-0.11              ,94.04    ,60.98              ,-0.69                        ,-0.27         ,-20.44                ,4.38                ,20.31      ,8.75                        ,-17.65         ,25.99                    ,-64.15                   ,32.9                           ,63.31                 ,-345.43                     ,-250.79                        ,         11.69 ,- -            ,-13.9                       ,-12.2                          ,-1103.31            ,63.31                ,29.59          ,-18.31               ,10.47                   ,0.05158170535962081
 9 ,2019 ,11.69                    ,15.67           ,        9.97 ,                     14.55 ,- -                    ,6.18                    ,-138.37                     ,5.22          ,4.05                        ,0.06                      ,4                 ,0.08                        ,3.97                ,8.63   ,-2.74             ,6.18  ,6.18  ,-1.54            ,-4.93                ,-6.84             ,              2.38 ,11.71              ,31.52                ,67.99                          ,88.05                   ,62.83                   ,- -         ,-16.86          ,-3.66                ,3.86                           ,7.79                      ,-96.55                       ,93.53           ,48.3                    ,9.61         ,2.99                ,- -     ,-8.69                ,-8.53                     ,- -     ,53.53                ,362.58                       ,8.96              ,                7.03 ,- -          ,11.63             ,-100.28      ,                          11.15 ,       11.15 ,9.61                       ,0.08               ,-134.28  ,-130.84            ,-66.52                       ,5.32          ,-36.84                ,9.09                ,4.05       ,31.52                       ,12.91          ,3.59                     ,113.5                    ,-0.38                          ,-19.61                ,-136.93                     ,-263.07                        ,         11.78 ,- -            ,-60.24                      ,137.97                         ,-173.76             ,-19.61               ,2.25           ,33.58                ,-4.26                   ,0.05648272366655682
