   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,27.28                    ,26.46           ,30.63        ,10.72                      ,19.73                  ,34.77                   ,-18.69                      ,277.31        ,308.94                      ,0.33                      ,307.59            ,0.36                        ,307.48              ,19.59  ,-6.05             ,34.77  ,34.77  ,2.63             ,5.88                 ,221.28            ,9.31               ,8.09               ,-3.46                ,16.88                          ,6.74                    ,10.04                   ,-15.52      ,-22.12          ,10.3                 ,288.86                         ,126.18                    ,- -                          ,-32.88          ,-5.91                   ,-2.3         ,7.84                ,-20.24  ,-20.24               ,7.84                      ,-12.94  ,-11.07               ,-11.12                       ,-6.22             ,5.85                 ,0.25         ,4.43              ,14.09        ,4.98                            ,4.98         ,-2.3                       ,0.25               ,-72.89   ,-74.18             ,7.45                         ,2.28          ,-144.45               ,16.45               ,308.94     ,-3.46                       ,-23.98         ,- -                      ,-19.12                   ,12.97                          ,31.87                 ,-83.42                      ,-250.39                        ,8.44           ,-48.51         ,- -                         ,-47.12                         ,-193.65             ,31.87                ,11.03          ,36.92                ,-72.37                  ,0.4757756653864056
 1 ,2011 ,58.9                     ,62.73           ,43.9         ,13.58                      ,20.84                  ,63.63                   ,-2.42                       ,128.21        ,127.78                      ,-0.47                     ,128.84            ,-0.49                       ,128.9               ,46.25  ,-7.96             ,63.63  ,63.63  ,-9.44            ,2.98                 ,43.35             ,20.19              ,-13.22             ,9.38                 ,21.09                          ,3.23                    ,60.19                   ,33.03       ,97.45           ,28.29                ,-96.13                         ,-51.4                     ,- -                          ,78.64           ,18.08                   ,20.64        ,46.03               ,70.87   ,70.87                ,46.03                     ,- -     ,28.22                ,27.54                        ,33.03             ,-13.07               ,-2.33        ,6.78              ,-630.27      ,0.12                            ,0.12         ,20.64                      ,-2.22              ,562.64   ,561.82             ,-17.01                       ,-12.15        ,-22.15                ,32.2                ,127.78     ,9.38                        ,38.15          ,- -                      ,-1149.09                 ,2.66                           ,878.21                ,319.65                      ,417.88                         ,-13.63         ,64.85          ,-1634.55                    ,-198.51                        ,-3.39               ,878.21               ,-103.96        ,-65.53               ,-54.93                  ,-0.3247735745551128
 2 ,2012 ,4.25                     ,9.31            ,-18.15       ,4.52                       ,-3.09                  ,-25.34                  ,-105.3                      ,8.1           ,6.65                        ,-2.26                     ,9.11              ,-2.36                       ,9.23                ,-18.3  ,-21.63            ,-25.34 ,-25.34 ,-21.49           ,-28.38               ,2.3               ,11.9               ,280.95             ,4.02                 ,-18.29                         ,-39.6                   ,-7.74                   ,10.14       ,-40.4           ,-11.08               ,217.7                          ,17.9                      ,- -                          ,13.28           ,15.6                    ,8.47         ,-5.08               ,-9.49   ,-9.49                ,-5.08                     ,- -     ,14.95                ,14.67                        ,8.24              ,0.27                 ,-0.95        ,8.15              ,-27.17       ,8.99                            ,8.99         ,8.47                       ,-0.95              ,28.29    ,17.7               ,0.48                         ,-6.32         ,3.44                  ,-6.84               ,6.65       ,4.02                        ,-117.65        ,- -                      ,-72.11                   ,-4.62                          ,9.48                  ,-141.84                     ,6.99                           ,272.36         ,88.85          ,-51.98                      ,-77.86                         ,-818.05             ,9.48                 ,419.93         ,12.85                ,-10.57                  ,0.11761583686388088
 3 ,2013 ,0.43                     ,0.3             ,1.18         ,-2.12                      ,-9.99                  ,4.78                    ,-30.24                      ,4.06          ,5.37                        ,-0.25                     ,5.64              ,-0.17                       ,5.55                ,8.1    ,7.64              ,4.78   ,4.78   ,0.75             ,4.33                 ,4.92              ,0.43               ,-64.94             ,15.67                ,22.41                          ,37.54                   ,13.03                   ,3.99        ,33.53           ,16.62                ,49.41                          ,15.59                     ,- -                          ,8.48            ,9.76                    ,11.26        ,17.82               ,-95.49  ,- -                  ,21.93                     ,4634.13 ,-71.74               ,5.58                         ,10.25             ,12.32                ,0.25         ,10.16             ,-105.45      ,13.47                           ,13.47        ,11.26                      ,0.25               ,100.1    ,76.35              ,1.98                         ,-4.36         ,7.43                  ,- -                 ,5.37       ,15.67                       ,-488.45        ,- -                      ,-101.92                  ,56.4                           ,3.85                  ,-63.93                      ,-16.89                         ,-65.03         ,-3.04          ,- -                         ,30.69                          ,-158                ,3.85                 ,-276.83        ,4.14                 ,48.43                   ,0.053609415273829564
 4 ,2014 ,10.94                    ,10.77           ,11.93        ,0.34                       ,-14.24                 ,19.69                   ,-27.9                       ,19.03         ,16.01                       ,0.23                      ,15.75             ,0.25                        ,15.71               ,17.57  ,5.97              ,19.69  ,19.69  ,0.89             ,7.88                 ,4.57              ,3.8                ,119.85             ,13.2                 ,-0.27                          ,-0.71                   ,2.7                     ,13.78       ,-21.54          ,3.18                 ,-94.22                         ,-12.58                    ,- -                          ,2.49            ,-1.62                   ,-0.51        ,0.91                ,1570.67 ,-24.63               ,-2.49                     ,-5.71   ,11.46                ,-1.19                        ,-1.6              ,11.16                ,0.25         ,11.33             ,-6764.37     ,1.79                            ,1.79         ,-0.51                      ,0.06               ,47.32    ,44.73              ,2.32                         ,5.81          ,-2.36                 ,6.88                ,16.01      ,13.2                        ,-77.33         ,- -                      ,-6621.62                 ,-10.61                         ,-17.91                ,-962.94                     ,-28.78                         ,120.35         ,-22.65         ,-73.66                      ,-290.1                         ,-85.72              ,-17.91               ,16.58          ,36.5                 ,-22.95                  ,0.06895210328816215
 5 ,2015 ,0.62                     ,-1.3            ,11.75        ,-3.54                      ,11.22                  ,16.33                   ,-43.45                      ,15.84         ,18.05                       ,-0.11                     ,18.18             ,-0.14                       ,18.21               ,10.83  ,10.15             ,16.33  ,16.33  ,11.06            ,15.61                ,17.32             ,1.93               ,9.21               ,-1.16                ,15.11                          ,16.05                   ,-16.05                  ,-13.96      ,19.31           ,2.92                 ,-192.6                         ,0.27                      ,- -                          ,2.7             ,2.21                    ,2.38         ,-0.22               ,4.57    ,4.57                 ,-0.22                     ,4.82    ,-0.35                ,3.29                         ,2.19              ,-17.84               ,-1.1         ,9.81              ,75.41        ,2.77                            ,2.77         ,2.38                       ,-0.9               ,1.26     ,-1.47              ,0.38                         ,3.15          ,7.86                  ,-1.29               ,18.05      ,-1.16                       ,252.15         ,- -                      ,10.4                     ,20.36                          ,12.22                 ,-15.13                      ,28.92                          ,9.09           ,20.74          ,372.13                      ,-62.25                         ,440.17              ,12.22                ,41.7           ,-41.21               ,1.96                    ,-0.2637710336646848
 6 ,2016 ,-10.89                   ,-10.71          ,-11.79       ,-0.24                      ,3.09                   ,-16.33                  ,-8700                       ,-51.63        ,-67.48                      ,-0.99                     ,-67.15            ,-1.07                       ,-67.12              ,-9.1   ,2.02              ,-16.33 ,-16.33 ,-1.01            ,-6.11                ,-63.5             ,-10.89             ,23.08              ,9.48                 ,-11.77                         ,-4.99                   ,-1.91                   ,-8.63       ,54.91           ,-10.7                ,139.39                         ,3.41                      ,- -                          ,0.75            ,0.44                    ,-2.23        ,-6.36               ,-14.42  ,-14.42               ,-6.36                     ,-11.2   ,26.73                ,-0.33                        ,-2.17             ,0.05                 ,-0.17        ,-0.69             ,10.92        ,-2.35                           ,-2.35        ,-2.23                      ,-0.17              ,-0.24    ,2.16               ,-0.12                        ,-4.63         ,12.72                 ,- -                 ,-67.48     ,9.48                        ,25.51          ,- -                      ,-248.39                  ,-9.98                          ,13.89                 ,-63.18                      ,-20.79                         ,21.87          ,0.08           ,-65.03                      ,319.08                         ,-122.62             ,13.89                ,-59.57         ,34.14                ,176.76                  ,0.28844872433249424
 7 ,2017 ,14.23                    ,15.34           ,8.44         ,2.74                       ,7.08                   ,10.07                   ,-103.64                     ,92.26         ,221.1                       ,0.23                      ,220.37            ,0.31                        ,220.1               ,10.56  ,-3.21             ,10.07  ,10.07  ,-5.06            ,-3.63                ,181.11            ,5.09               ,-32.83             ,11.52                ,22.09                          ,23.44                   ,30.82                   ,27.56       ,-17.99          ,25.83                ,49.6                           ,15.98                     ,- -                          ,10.35           ,10.14                   ,13.57        ,29.93               ,21.46   ,21.46                ,29.93                     ,20.25   ,-26.53               ,3.2                          ,11.03             ,12.88                ,0.31         ,11.81             ,-29.65       ,18.78                           ,18.78        ,13.57                      ,0.31               ,-0.68    ,-16.39             ,4.59                         ,-3.16         ,-6.47                 ,8.7                 ,221.1      ,11.52                       ,-41.49         ,- -                      ,-174.75                  ,18.04                          ,-6.02                 ,-169.92                     ,25.59                          ,-32.68         ,-16.27         ,- -                         ,-52.18                         ,-510.8              ,-6.02                ,158.77         ,3.68                 ,-63.24                  ,-0.046003863353205166
 8 ,2018 ,20.76                    ,20.45           ,22.45        ,16.16                      ,15.64                  ,25.42                   ,309.76                      ,29.31         ,31.04                       ,-0.26                     ,31.37             ,-0.31                       ,31.44               ,15.12  ,-4.67             ,25.42  ,25.42  ,1.4              ,3.86                 ,8.51              ,7.82               ,44.43              ,-4.82                ,19.41                          ,45.3                    ,16.54                   ,27.61       ,42.58           ,19.73                ,228.85                         ,-6.04                     ,- -                          ,6.81            ,5.19                    ,8.71         ,8.36                ,19.57   ,19.57                ,8.36                      ,0.55    ,38.78                ,10.47                        ,9.75              ,-12.42               ,-1.48        ,10.83             ,38.42        ,6.74                            ,6.74         ,8.71                       ,-1.48              ,- -      ,-6.31              ,-1.82                        ,10.5          ,-5.78                 ,12                  ,31.04      ,-4.82                       ,31.76          ,- -                      ,88.87                    ,10.18                          ,5.72                  ,-265.41                     ,-1.73                          ,44.06          ,40.1           ,402.7                       ,-118.05                        ,216.93              ,5.72                 ,19.65          ,-26.02               ,-15.91                  ,-0.09081014185843739
 9 ,2019 ,8.95                     ,8.79            ,9.84         ,8.34                       ,6.7                    ,10.65                   ,2.14                        ,10.28         ,8.78                        ,-1.17                     ,10.07             ,-1.22                       ,10.13               ,8.27   ,-0.63             ,10.65  ,10.65  ,0.81             ,1.56                 ,-0.16             ,12.99              ,43.24              ,2.2                  ,19.77                          ,21.51                   ,-0.63                   ,-2.66       ,7.08            ,12.21                ,-39.81                         ,8.8                       ,- -                          ,9.83            ,10.97                   ,11.3         ,5.29                ,16.59   ,16.59                ,5.29                      ,6.33    ,27.09                ,13.09                        ,10.45             ,-2                   ,-0.09        ,12.11             ,0.15         ,12.95                           ,12.95        ,11.3                       ,-0.09              ,8.18     ,-4.23              ,1.49                         ,6.57          ,-0.8                  ,-3.57               ,8.78       ,2.2                         ,-103.12        ,- -                      ,6.7                      ,-4.41                          ,0.95                  ,-142.81                     ,14.33                          ,41.56          ,7.03           ,-68.91                      ,17.3                           ,-35                 ,0.95                 ,-14.47         ,39.33                ,-12.13                  ,0.16168753526925106
