   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,33.79                    ,32.22           ,35.14        ,51.83                      ,- -                    ,3.58                    ,-385.71                     ,1.89          ,6                           ,2.05                      ,4.15              ,2.35                        ,3.85                ,10.13  ,-17.69            ,3.58  ,3.58  ,1.02             ,-22.58               ,-20.55            ,-7.62              ,              6.81 ,42.32                ,54.03                          ,50.72                   ,36.74                   ,28.8        ,26.05           ,39.76                ,50.41                          ,32.63                     ,-69.49                       ,197.95          ,85.45                   ,71.03        ,32.59               ,955.6   ,- -                  ,81.5                      ,170.26  ,72.58                ,125.53                       ,108.32            ,1527.86              ,3.33         ,             9.72 ,-4.32        ,25.95                           ,23.13        ,71.03                      ,1.02               ,383.4    ,292.6              ,-165.99                      ,-23           ,-21.96                ,44.83               ,6          ,42.32                       ,-9.43          ,31.72                    ,189.02                   ,24.31                          ,52.87                 ,51.69                       ,219.37                         ,          9    ,733.7          ,- -                         ,-155.51                        ,14.12               ,52.87                ,11.29          ,-17.1                ,16.95                   ,-0.020909634403097233
 1 ,2011 ,14.98                    ,18.88           ,11.67        ,10.22                      ,- -                    ,15.61                   ,699                         ,7.31          ,1.96                        ,-0.88                     ,2.85              ,-1.05                       ,3.03                ,16.05  ,0.93              ,15.61 ,15.61 ,-2.88            ,0.55                 ,-11.34            ,13.82              ,              6.95 ,17.62                ,-30.52                         ,-31.57                  ,9.32                    ,13.49       ,51.3            ,-0.73                ,3.36                           ,6.35                      ,7.97                         ,13.62           ,9.6                     ,6.94         ,8.69                ,26.68   ,- -                  ,14.23                     ,2.85    ,22.95                ,9.89                         ,11.37             ,-1.45                ,- -          ,             8.7  ,71.6         ,-2.72                           ,-2.69        ,6.94                       ,-1.08              ,19.8     ,23.1               ,76.31                        ,-13.1         ,-0.56                 ,1.02                ,1.96       ,17.62                       ,-160.1         ,9.03                     ,-210.62                  ,5.87                           ,2.64                  ,-85.48                      ,-26.73                         ,          6.01 ,-57.23         ,-50                         ,-470.49                        ,-183.52             ,2.64                 ,7.89           ,-3.76                ,3.85                    ,0.04765030335005371
 2 ,2012 ,-1.52                    ,-0.96           ,-2.03        ,-0.7                       ,- -                    ,-5.41                   ,1.13                        ,-6            ,-3.84                       ,-1.21                     ,-2.94             ,-1.38                       ,-2.77               ,-4.6   ,-3.13             ,-5.41 ,-5.41 ,-0.52            ,-3.95                ,-2.63             ,5.21               ,              5.97 ,-1.75                ,49.58                          ,54.83                   ,1.87                    ,-6.43       ,-35.05          ,7.33                 ,-2.85                          ,2.91                      ,10.56                        ,2.58            ,0.86                    ,2.41         ,2.72                ,-22.4   ,- -                  ,-5.87                     ,14.47   ,-12.48               ,3.9                          ,0.49              ,-10.06               ,-16.13       ,             7.05 ,-11.91       ,8.29                            ,7.18         ,2.41                       ,-1.28              ,-2.84    ,-9.34              ,-13.37                       ,14.02         ,11.22                 ,-6.4                ,-3.84      ,-1.75                       ,-245.67        ,-14.72                   ,-151.42                  ,-5.2                           ,-18.72                ,-162.24                     ,-46.51                         ,          4.69 ,55.33          ,29.33                       ,-35.62                         ,-219.85             ,-18.72               ,2.85           ,10.44                ,-1.13                   ,-0.07010341753293092
 3 ,2013 ,1.41                     ,-0.15           ,2.84         ,1.55                       ,- -                    ,6.51                    ,0.74                        ,7.07          ,9.22                        ,-1.03                     ,10.23             ,-0.95                       ,10.15               ,4.8    ,3.35              ,6.51  ,6.51  ,1.41             ,5.03                 ,7.58              ,2.89               ,              4.98 ,-0.97                ,46.22                          ,48.88                   ,-1.24                   ,-4.8        ,46.18           ,18.61                ,-2.93                          ,2.21                      ,12.74                        ,-0.83           ,-1.15                   ,3.81         ,2.11                ,10.2    ,- -                  ,4.39                      ,3.35    ,-5.94                ,0.28                         ,1.63              ,-2.25                ,-3.85        ,             7.56 ,-6.56        ,8.9                             ,8.88         ,3.81                       ,-0.97              ,-8.15    ,-15.64             ,-31.57                       ,13.62         ,12.71                 ,-1.44               ,9.22       ,-0.97                       ,-16.08         ,8.99                     ,120.74                   ,14.26                          ,2.98                  ,- -                         ,-12.65                         ,          3.9  ,-10.65         ,-6.77                       ,14.61                          ,51.01               ,2.98                 ,19.57          ,8.73                 ,4.73                    ,-0.04953254667993989
 4 ,2014 ,0.4                      ,-1.15           ,1.78         ,3.03                       ,- -                    ,-1.28                   ,1.23                        ,-1.51         ,-3.37                       ,-2.08                     ,-1.32             ,-2.12                       ,-1.28               ,-1.31  ,-1.71             ,-1.28 ,-1.28 ,1.37             ,-1.67                ,-3.76             ,1.52               ,             10.92 ,-1.43                ,-9.84                          ,-34.57                  ,-4.36                   ,-7.8        ,-0.88           ,-6.94                ,-7.17                          ,-1.79                     ,46.06                        ,-14.19          ,-9.82                   ,-8.99        ,3.85                ,-4.33   ,- -                  ,1.42                      ,-2.1    ,1.2                  ,-1.08                        ,-0.24             ,0.25                 ,- -          ,             5.76 ,108.09       ,-28.18                          ,-28.05       ,-8.99                      ,-2.68              ,12.33    ,56.12              ,50.34                        ,-8.24         ,18.82                 ,-1.09               ,-3.37      ,-1.43                       ,-122.78        ,-1.98                    ,20.98                    ,8.44                           ,2.29                  ,2701.64                     ,88.08                          ,          8.62 ,-28.08         ,67.01                       ,118.11                         ,-182.32             ,2.29                 ,10.94          ,5.41                 ,12.22                   ,0.05875226117231014
 5 ,2015 ,-5.44                    ,-8.09           ,-3.15        ,-4.75                      ,- -                    ,1.37                    ,175.49                      ,-15.02        ,-16.12                      ,-2.65                     ,-14.01            ,-2.75                       ,-13.93              ,-0.64  ,5.08              ,1.37  ,1.37  ,2.42             ,7.2                  ,-11.48            ,-2.56              ,             11.26 ,-7.96                ,37.62                          ,48.29                   ,-3.22                   ,-13.46      ,-12.97          ,11.46                ,-5.38                          ,-1.52                     ,-14.06                       ,-6.37           ,-6.44                   ,-1.19        ,3.77                ,-19.8   ,- -                  ,-2.84                     ,22.64   ,-1.83                ,14.88                        ,8.83              ,-1.14                ,-4           ,             2.81 ,24.84        ,-31.63                          ,-31.45       ,-1.19                      ,-2.69              ,6.26     ,55                 ,29.27                        ,14.72         ,27.78                 ,-2.95               ,-16.12     ,-7.96                       ,918.9          ,-0.67                    ,-14.41                   ,0.7                            ,-3.53                 ,122.35                      ,-27.71                         ,          8.31 ,126.38         ,-0.24                       ,-53.68                         ,-218.11             ,-3.53                ,2.29           ,2.4                  ,20.3                    ,0.09475089120733227
 6 ,2016 ,-0.41                    ,-0.62           ,-0.24        ,-0.6                       ,- -                    ,0.75                    ,-45.73                      ,14.93         ,15.96                       ,-2.04                     ,18.51             ,-2.22                       ,18.73               ,0.21   ,0.62              ,0.75  ,0.75  ,0.17             ,1.16                 ,16.56             ,-0.78              ,              6.81 ,-1.99                ,34.27                          ,0.68                    ,3.99                    ,0.11        ,-17.05          ,17.62                ,1.68                           ,3                         ,-15.62                       ,1.75            ,0.87                    ,6.4          ,5.45                ,69.3    ,- -                  ,20.24                     ,2.88    ,8.26                 ,4.33                         ,9.18              ,0.23                 ,- -          ,             4.05 ,4.5          ,-6.94                           ,-6.91        ,6.4                        ,-1.38              ,14.88    ,23.4               ,0.28                         ,-2.18         ,8.82                  ,0.38                ,15.96      ,-1.99                       ,-55.42         ,-3.73                    ,-8.06                    ,-1.66                          ,10.22                 ,-207.61                     ,100.28                         ,          4.63 ,7.51           ,-40                         ,-23.15                         ,-90.14              ,10.22                ,-5.86          ,1.04                 ,-15.29                  ,-0.01739062665658464
 7 ,2017 ,1.16                     ,2.04            ,0.43         ,-2.04                      ,- -                    ,7.4                     ,-26.38                      ,12.26         ,-23.06                      ,-0.97                     ,-22.49            ,-0.96                       ,-22.5               ,5.97   ,4.75              ,7.4   ,7.4   ,-0.71            ,6.17                 ,-24.14            ,1.54               ,              6.84 ,0.04                 ,20.99                          ,15.85                   ,4.93                    ,8.23        ,-0.06           ,14.54                ,3.91                           ,6.21                      ,4.72                         ,3.49            ,3.69                    ,7.66         ,5.43                ,-20.41  ,- -                  ,-3                        ,12.45   ,23.7                 ,15.61                        ,9.36              ,-2.55                ,- -          ,             0.61 ,-6.19        ,-1.86                           ,-1.95        ,7.66                       ,-0.56              ,3.18     ,5.23               ,-4.61                        ,18.07         ,2.43                  ,-0.38               ,-23.06     ,0.04                        ,330.07         ,2.82                     ,-153.4                   ,-3.94                          ,-2.34                 ,-54.78                      ,-38.4                          ,          5.8  ,-18.99         ,-33.33                      ,42.28                          ,347.45              ,-2.34                ,-4.6           ,17.18                ,25.17                   ,-0.016018477869041314
 8 ,2018 ,1.79                     ,2.07            ,1.55         ,3.88                       ,- -                    ,-3.8                    ,1.54                        ,-4.3          ,155.89                      ,-0.7                      ,159.49            ,-0.9                        ,160.02              ,-2.87  ,-4.57             ,-3.8  ,-3.8  ,-0.23            ,-5.49                ,153.14            ,0.26               ,             11.02 ,1.27                 ,-53.91                         ,-17.8                   ,1.68                    ,6.14        ,70.12           ,-29.44               ,2.02                           ,2.71                      ,17.97                        ,21.23           ,14.31                   ,-2.7         ,20.61               ,-26.6   ,- -                  ,7.98                      ,-16.28  ,-13.16               ,-15.34                       ,-8.39             ,4                    ,-4.17        ,            13.45 ,15.79        ,33.33                           ,32.98        ,-2.7                       ,-0.77              ,-17.69   ,-38.1              ,-1                           ,-34.65        ,16.63                 ,1.52                ,155.89     ,1.27                        ,-297.88        ,-12.33                   ,-263.66                  ,-5.79                          ,10.54                 ,-570.58                     ,-203.66                        ,         10.24 ,-99.96         ,- -                         ,228.93                         ,-85.05              ,10.54                ,-12.7          ,-6.35                ,-63.44                  ,0.014243773455858477
 9 ,2019 ,3.87                     ,2.56            ,4.96         ,6.23                       ,- -                    ,1.79                    ,6.3                         ,1.34          ,-41.45                      ,-1.13                     ,-40.89            ,-1.26                       ,-40.81              ,1.71   ,-2.08             ,1.79  ,1.79  ,1.05             ,-2                   ,-43.73            ,3.87               ,              8.82 ,1.38                 ,-36.19                         ,-36.83                  ,9.52                    ,6.71        ,-71.6           ,-19.4                ,18.56                          ,10.92                     ,11.37                        ,4.5             ,9.23                    ,1.16         ,-3.15               ,-27.47  ,- -                  ,-7.58                     ,3.01    ,11.55                ,5.65                         ,1                 ,-1.69                ,- -          ,             3.33 ,-5.42        ,1.85                            ,1.82         ,1.16                       ,-1.28              ,12.54    ,10.52              ,4.05                         ,-12.8         ,6.16                  ,- -                 ,-41.45     ,1.38                        ,-105.41        ,-7.42                    ,-160.1                   ,2.49                           ,28.95                 ,-98.89                      ,-241.04                        ,          7.59 ,154133.33      ,50                          ,-38.35                         ,-2612.86            ,28.95                ,-11.67         ,11.64                ,75.36                   ,-0.015021499060573928
