   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,35.59                    ,83.16           ,25.31        ,31.86                      ,19.99                  ,-7.05                   ,7.51                        ,-12.98        ,-3.85                       ,14.69                     ,-16.64            ,14.61                       ,-16.58              ,13.29  ,-16.45            ,-17.26 ,-7.05  ,-7.58            ,-31.45               ,-29.48            ,42.83              ,-4.32              ,194.99               ,7.87                           ,-12.29                  ,-4.8                    ,-32.23      ,20.3            ,-1.95                ,-16.05                         ,-4.79                     ,-25.71                       ,-8.41           ,-11.06                  ,-8.42        ,-52.23              ,2.82    ,5.32                 ,-23.15                    ,-11.07  ,-5.6                 ,-8.37                        ,-12.86            ,                0.37 ,        0.23 ,5.66              ,-723.19      ,-2.45                           ,-2.41        ,-8.42                      ,-0.72              ,-9.4     ,-7.16              ,-27.13                       ,27.58         ,-48.66                ,-5.06               ,-4.11      ,78.41                       ,-154.7         ,16.05                    ,-183.29                  ,-30.95                         ,25.56                 ,-99.81                      ,-98.43                         ,          9.73 ,-88.58         ,- -                         ,-177.16                        ,3.92                ,25.56                ,-35.37         ,49.13                ,-27.78                  ,-0.12467636026683815
 1 ,2011 ,-0.57                    ,-7.33           ,1.57         ,-0.74                      ,-3.2                   ,28.37                   ,14.29                       ,35.45         ,5.31                        ,-2.73                     ,24.62             ,-2.53                       ,24.37               ,20.12  ,20.8              ,52.68  ,28.37  ,2.15             ,29.1                 ,21.91             ,6.05               ,5.27               ,-34.19               ,-4.48                          ,103.98                  ,53.19                   ,-7.57       ,-98.87          ,-4.53                ,-11.43                         ,-5.5                      ,-2.99                        ,-1.7            ,-3.18                   ,-3.6         ,-23.45              ,-28.54  ,21.68                ,-1.89                     ,-9.06   ,6.67                 ,-1.06                        ,-1.28             ,                0.93 ,        0.23 ,8.18              ,20.03        ,-6.4                            ,-6.39        ,-3.6                       ,-5.45              ,-16.28   ,-10.57             ,28.88                        ,-2.69         ,-7.74                 ,-6.24               ,21.26      ,6.35                        ,-130.68        ,3.46                     ,-126.17                  ,76.71                          ,9.72                  ,20360.87                    ,-547.15                        ,          2.4  ,100.17         ,800                         ,84.42                          ,-964.62             ,9.72                 ,86.9           ,-28.87               ,45.78                   ,0.28787314986845436
 2 ,2012 ,-12.52                   ,-24.87          ,-8.96        ,-14.65                     ,-13.63                 ,-1.01                   ,9.2                         ,-5.34         ,8.91                        ,-4.8                      ,52.91             ,-4.6                        ,52.6                ,-5.88  ,7.59              ,-5.5   ,-1.01  ,4.07             ,13.15                ,66.4              ,-0.85              ,10.09              ,-7.34                ,22.24                          ,193.56                  ,-6.61                   ,-9.09       ,-30.69          ,6.39                 ,-14.62                         ,-8.65                     ,49.61                        ,-7.8            ,-4.52                   ,-1.17        ,5.46                ,59.88   ,-12.75               ,1.96                      ,-11.15  ,4.92                 ,-2.34                        ,-1.2              ,                1.65 ,        0.67 ,17.38             ,44.18        ,-1.13                           ,-1.14        ,-1.17                      ,-3.95              ,-23.55   ,-22.67             ,-48.09                       ,4.34          ,4.27                  ,-11.76              ,45.24      ,-15.68                      ,105.17         ,14.8                     ,-171.16                  ,-15.74                         ,-20.06                ,-172.5                      ,179.73                         ,          4.81 ,-37.59         ,-8.58                       ,-22.36                         ,293.29              ,-20.06               ,-15.36         ,30.47                ,-42.12                  ,0.07019553016497326
 3 ,2013 ,-12.55                   ,-15.42          ,-11.87       ,-13.61                     ,-15.15                 ,-9.03                   ,-89                         ,30.1          ,19.88                       ,-8.45                     ,64.97             ,-8.16                       ,64.45               ,-11.04 ,1.73              ,-11.01 ,-9.03  ,0.78             ,4.02                 ,72.69             ,2.98               ,10                 ,-11.13               ,-0.92                          ,-78.99                  ,-56.63                  ,-12.7       ,11775.71        ,-8.42                ,-14.27                         ,-7.9                      ,15.95                        ,-9.1            ,-6.85                   ,-7.37        ,-20.45              ,-6.18   ,-22.54               ,-18.35                    ,-1.85   ,-6.32                ,-4.48                        ,-8.3              ,                6.41 ,        1.12 ,28.56             ,-45.05       ,-6.1                            ,-6.19        ,-7.37                      ,-12.05             ,26.73    ,35.09              ,-38.02                       ,12.17         ,-4.92                 ,-15.08              ,51.2       ,-15.78                      ,127.98         ,8.73                     ,74.67                    ,4.17                           ,10.4                  ,174.79                      ,-272.65                        ,          0.7  ,80.31          ,97.98                       ,-6.4                           ,-208.68             ,10.4                 ,3.64           ,8.97                 ,-31.02                  ,-0.03395113778947034
 4 ,2014 ,-3.84                    ,-0.09           ,-4.69        ,-1.8                       ,25.68                  ,-17.52                  ,93.69                       ,-22.12        ,-20.08                      ,-6.85                     ,-55.43            ,-6.83                       ,-55.44              ,-16.42 ,-13.09            ,-17.49 ,-17.52 ,-0.89            ,-14.23               ,-56.83            ,-4.57              ,7.83               ,-12.18               ,11.46                          ,53.14                   ,-7.35                   ,-8.16       ,-12.81          ,2.59                 ,-5.12                          ,-2.69                     ,6.78                         ,-5.47           ,-3.7                    ,-1.64        ,1.92                ,-14.7   ,-8.13                ,-7.43                     ,3.54    ,6.79                 ,5.42                         ,2.27              ,                2.18 ,        0.44 ,3.5               ,123.66       ,-6.56                           ,-6.52        ,-1.64                      ,-1.69              ,-2.82    ,3.96               ,4.01                         ,10.82         ,-8.04                 ,0.77                ,-58.46     ,-13.62                      ,-110.31        ,12.05                    ,-141.95                  ,-4.96                          ,8.05                  ,-54.96                      ,-46.79                         ,          0.44 ,-68.76         ,-69.31                      ,-33.32                         ,-115.86             ,8.05                 ,-6.13          ,-1.2                 ,128.91                  ,-0.061141822021266945
 5 ,2015 ,-1.52                    ,0.74            ,-2.06        ,5.05                       ,-8.38                  ,-3.87                   ,218.59                      ,-26.76        ,-23.51                      ,-2.68                     ,-21.71            ,-2.6                        ,-21.78              ,-4.74  ,-3.27             ,-3.95  ,-3.87  ,-0.55            ,-2.39                ,-22.63            ,-21.24             ,7.9                ,-7.7                 ,-35.52                         ,8.91                    ,25.02                   ,32.67       ,-70.16          ,-24.09               ,17.04                          ,9.12                      ,-8.67                        ,14.1            ,10.83                   ,-1.07        ,3.66                ,97.63   ,23.51                ,35.91                     ,-8.63   ,-0.53                ,-3.89                        ,4.93              ,                2.57 ,        0.88 ,-0.25             ,30.15        ,-9.23                           ,-9.25        ,-1.07                      ,-1.84              ,5.99     ,16.79              ,388.68                       ,-44.14        ,27.05                 ,25.03               ,-23.8      ,-6.86                       ,139.07         ,14.16                    ,-60.37                   ,-14.04                         ,-5.5                  ,-446.63                     ,-47.29                         ,          5.01 ,83.7           ,23.2                        ,2.47                           ,4.51                ,-5.5                 ,-14.93         ,17                   ,12.82                   ,0.07814575731662221
 6 ,2016 ,8.13                     ,27.79           ,3.3          ,0.19                       ,2.37                   ,5.81                    ,34.11                       ,-6.85         ,3.64                        ,-1.41                     ,5.16              ,-1.57                       ,5.33                ,7.47   ,-0.62             ,7.12   ,5.81   ,-4.47            ,-2.15                ,-4.13             ,9.7                ,6.94               ,8.8                  ,-23.36                         ,-28.73                  ,3.95                    ,-9.72       ,41.01           ,-11.08               ,-3.25                          ,3.14                      ,-55.52                       ,19.53           ,7.28                    ,2.48         ,17.44               ,5.2     ,1.21                 ,5.84                      ,8.95    ,11.34                ,10.4                         ,9.09              ,                2.05 ,        0.44 ,-0.3              ,15.9         ,-8                              ,-7.94        ,2.48                       ,-1.7               ,11.76    ,21.39              ,144.59                       ,-15.99        ,-30.06                ,-1.43               ,3.72       ,11.63                       ,55.84          ,3.29                     ,-84.93                   ,9.57                           ,33.62                 ,-14.58                      ,162.11                         ,          5.43 ,122.96         ,-18.83                      ,-12.82                         ,-163.97             ,33.62                ,6.81           ,-12.31               ,5.7                     ,-0.05110179156509065
 7 ,2017 ,-0.53                    ,-8.83           ,2.0          ,-0.36                      ,-2.73                  ,2.75                    ,-66.5                       ,47.35         ,195.38                      ,-1.95                     ,201.2             ,-1.64                       ,200.24              ,4.56   ,5.12              ,1.21   ,2.75   ,2.54             ,3.29                 ,196.89            ,6.42               ,6.76               ,17.31                ,12                             ,-48.29                  ,0.04                    ,11.72       ,-24.59          ,5.63                 ,4.11                           ,6.8                       ,-1.42                        ,-2.19           ,-1.52                   ,0.11         ,3.54                ,-7      ,-1.37                ,-2.21                     ,4.04    ,-24.79               ,-13.57                       ,-10.41            ,                1.92 ,        0.65 ,18.83             ,-15.54       ,19.76                           ,19.75        ,0.11                       ,-1.5               ,4.49     ,-12.74             ,-32.78                       ,8.02          ,7.83                  ,-6.53               ,194.71     ,8.89                        ,-542.59        ,21.56                    ,1424.71                  ,3.58                           ,10.91                 ,-117.39                     ,-39.3                          ,          4.67 ,-25.53         ,- -                         ,46.12                          ,57.16               ,10.91                ,2.52           ,5.53                 ,-64.93                  ,-0.035181784368453206
 8 ,2018 ,2.1                      ,0.07            ,2.65         ,-2.23                      ,4.56                   ,6.65                    ,75.36                       ,-3.41         ,-47.65                      ,-1.64                     ,-46.79            ,-1.34                       ,-46.95              ,5.17   ,3.01              ,5.88   ,6.65   ,0.54             ,4.46                 ,-48.73            ,-0.34              ,5.9                ,2.84                 ,-5.8                           ,-15.13                  ,1.14                    ,-0.92       ,429.83          ,21.35                ,-3.46                          ,-0.2                      ,-60.56                       ,-14.97          ,-16.19                  ,-7.2         ,11.51               ,-11.11  ,12.84                ,4.7                       ,-0.73   ,-15.31               ,-8.47                        ,-4.47             ,                2.33 ,        0.65 ,5                 ,20.96        ,-11.08                          ,-11.02       ,-7.2                       ,-4.38              ,-2.76    ,9.29               ,-28.66                       ,15.9          ,-2.12                 ,2.44                ,-47.61     ,1.83                        ,-37.58         ,12.98                    ,-171.45                  ,-3.9                           ,-0.95                 ,-395.95                     ,-195.44                        ,          4.17 ,-36.78         ,143.96                      ,56.82                          ,-93.19              ,-0.95                ,-4.36          ,22                   ,83.59                   ,0.3105616073537022
 9 ,2019 ,-3.54                    ,-9.15           ,-2.05        ,-0.73                      ,8.04                   ,-7.47                   ,-219.02                     ,48.78         ,45.79                       ,-5.16                     ,53.85             ,-5.05                       ,53.68               ,-6.99  ,-3.58             ,-7.35  ,-7.47  ,1.54             ,-4.08                ,51.26             ,0.94               ,6.3                ,-5.78                ,-47.8                          ,14.57                   ,5.87                    ,10.32       ,-78.48          ,-34.3                ,4.35                           ,2.6                       ,628.12                       ,7.74            ,23                      ,5.06         ,-8.54               ,83.23   ,-8.15                ,17.09                     ,10.87   ,-1.89                ,4.6                          ,8.76              ,                1.36 ,        0.21 ,9.06              ,3.24         ,-0.41                           ,-0.49        ,5.06                       ,-3.2               ,26.7     ,27.32              ,18.48                        ,-43.89        ,30.96                 ,-4.44               ,45.71      ,-5.86                       ,44.96          ,-24.34                   ,335.31                   ,-20.47                         ,18.12                 ,44.61                       ,-187.18                        ,          0.81 ,146.37         ,-27.32                      ,-58.49                         ,-277.53             ,18.12                ,-26.68         ,1.2                  ,-45.49                  ,-0.35785952715392544
