   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,2.93                     ,-1.99           ,7.93         ,10.46                      ,- -                    ,4.21                    ,1.35                        ,4.4           ,2.49                        ,-1.74                     ,-3.81             ,-1.74                       ,-3.82               ,3.65   ,0.7               ,4.21  ,4.21  ,4.87             ,1.25                 ,-7.9              ,9.41               ,             10.13 ,0.84                 ,-39.78                         ,-39.78                  ,-8.58                   ,-7.21       ,-5.08           ,-14.26               ,-1.12                          ,0.98                      ,- -                          ,-3.55           ,-3.13                   ,-4.94        ,8.43                ,-48.09  ,- -                  ,-21.42                    ,3.43    ,6                    ,4.69                         ,-6.6              ,0.89                 ,0.02         ,12.75             ,132.94       ,-3.14                           ,-3.07        ,-4.94                      ,-2.52              ,-16.27   ,-13.62             ,1.25                         ,9.12          ,-36.31                ,-5.93               ,-5.21      ,0.84                        ,56.92          ,-12.21                   ,-762.57                  ,7.73                           ,-5.28                 ,-204.22                     ,-74.63                         ,8.21           ,-22.25         ,-5.75                       ,59.56                          ,-201.6              ,-5.28                ,11.33          ,7.32                 ,13.65                   ,-0.03418717877538158
 1 ,2011 ,4.59                     ,7.51            ,1.88         ,3.9                        ,- -                    ,-1.27                   ,-35.42                      ,0.94          ,7.77                        ,-3.34                     ,-4.42             ,-3.14                       ,-4.62               ,-2.47  ,-6.75             ,-1.27 ,-1.27 ,-2.59            ,-5.6                 ,-11.44            ,2.97               ,              9.31 ,-8.69                ,-3.86                          ,-3.86                   ,17.62                   ,15.59       ,32.6            ,16.97                ,10.65                          ,12.14                     ,- -                          ,5.49            ,6.39                    ,7.94         ,9.5                 ,17.81   ,- -                  ,12.4                      ,3.15    ,-0.3                 ,1.43                         ,5.42              ,1.08                 ,- -          ,9.39              ,-73.74       ,10.68                           ,10.68        ,7.94                       ,-2.74              ,8.51     ,-1.96              ,-18.9                        ,4.07          ,-18.33                ,1.57                ,-7.37      ,-8.69                       ,-117.88        ,-8.61                    ,-179.48                  ,-17.68                         ,7.79                  ,-142.2                      ,483.25                         ,5.66           ,-59.9          ,17.24                       ,-41.91                         ,-84.61              ,7.79                 ,-23.68         ,16.94                ,-11.12                  ,0.07066675981661752
 2 ,2012 ,1.36                     ,3.98            ,-1.2         ,1.72                       ,- -                    ,-6.01                   ,231.16                      ,-15.83        ,-21.02                      ,-1.88                     ,-7.46             ,-2.02                       ,-7.33               ,-3.13  ,-4.43             ,-6.01 ,-6.01 ,-2.52            ,-7.26                ,-10.05            ,3.77               ,              8.49 ,12.9                 ,60.26                          ,60.26                   ,-3.3                    ,-8.92       ,-15.56          ,-0.27                ,-4.3                           ,-3.07                     ,- -                          ,-5.4            ,-5.2                    ,-4.42        ,-6.37               ,-12.85  ,- -                  ,-8.74                     ,-4.33   ,5.68                 ,0.56                         ,-3.05             ,1.17                 ,- -          ,6.6               ,420.45       ,-6.21                           ,-5.83        ,-4.42                      ,-0.64              ,-13.35   ,-7.98              ,-5.02                        ,9.28          ,-12.79                ,-2.33               ,-7.57      ,12.9                        ,-102.25        ,-8.94                    ,-53.61                   ,0.4                            ,19.9                  ,53.42                       ,-68.61                         ,6.45           ,159.44         ,-42.83                      ,3.86                           ,-750                ,19.9                 ,-6.1           ,-9.18                ,10.12                   ,-0.08202060626225594
 3 ,2013 ,0.58                     ,0.09            ,1.09         ,2                          ,- -                    ,-0.53                   ,-102.59                     ,16.1          ,22.38                       ,-0.31                     ,5.73              ,-0.36                       ,5.79                ,-1.67  ,-2.23             ,-0.53 ,-0.53 ,0.5              ,-1.11                ,4.56              ,4.74               ,              6.52 ,-6.93                ,34.06                          ,34.06                   ,7.25                    ,2.8         ,-1.26           ,9.49                 ,6.33                           ,6.91                      ,- -                          ,4.06            ,4.48                    ,5.31         ,8.61                ,42.93   ,- -                  ,20.6                      ,-9.34   ,-3.67                ,-6.43                        ,3.44              ,0.53                 ,0.02         ,6.43              ,-17.2        ,7.29                            ,7.3          ,5.31                       ,-0.21              ,1        ,-5.87              ,-20.84                       ,-9.21         ,-19.62                ,-3.97               ,4.57       ,-6.93                       ,2300           ,-8.22                    ,-183.46                  ,11.96                          ,1.11                  ,-1641.07                    ,475.94                         ,6.19           ,-41.51         ,48.76                       ,-32.07                         ,-15.38              ,1.11                 ,16.58          ,16.49                ,6.46                    ,-0.0595488828932329
 4 ,2014 ,-1.31                    ,0.08            ,-2.72        ,-6.07                      ,- -                    ,3.37                    ,-846.3                      ,0.28          ,2.67                        ,-0.84                     ,3.78              ,-0.88                       ,3.83                ,3.7    ,5.08              ,3.37  ,3.37  ,-1.43            ,4.75                 ,4.3               ,1.2                ,              6.91 ,5.33                 ,79.69                          ,43.9                    ,-1.87                   ,-2.17       ,68.31           ,31.79                ,2.94                           ,3.29                      ,- -                          ,-3.48           ,-2.28                   ,3.59         ,-0.82               ,25.53   ,- -                  ,12.28                     ,3.66    ,-3.05                ,0.12                         ,5.3               ,0.55                 ,- -          ,5.98              ,1.71         ,1.69                            ,1.84         ,3.59                       ,-1.15              ,4.93     ,3.03               ,-28.15                       ,17.38         ,-11.6                 ,-2.48               ,3.36       ,5.33                        ,-356.77        ,4.05                     ,-314.54                  ,-6.15                          ,-3.99                 ,-53.36                      ,-34.76                         ,6.01           ,85.93          ,0.32                        ,2.94                           ,70.67               ,-3.99                ,-6.95          ,6.98                 ,-8.82                   ,0.04033271669977201
 5 ,2015 ,-8.17                    ,-8.44           ,-7.88        ,-6.83                      ,- -                    ,-9.62                   ,389.33                      ,-20.42        ,-23.72                      ,-0.3                      ,-40.32            ,-0.73                       ,-40.07              ,-8.01  ,0.17              ,-9.62 ,-9.62 ,0.31             ,-1.58                ,-34.2             ,-1.49              ,              5.76 ,-0.22                ,8.67                           ,-20.02                  ,-23.88                  ,-19.31      ,-0.86           ,-6.23                ,-9.13                          ,-6.93                     ,- -                          ,-11.91          ,-11.36                  ,-10.24       ,-5.03               ,-22.97  ,79.85                ,-11.67                    ,-7.48   ,-11.69               ,-9.64                        ,-10.56            ,-0.09                ,- -          ,-0.22             ,56.63        ,-9.82                           ,-9.9         ,-10.24                     ,0.14               ,-12.49   ,-2.87              ,-16.26                       ,6.15          ,-76.15                ,-6.78               ,-39.38     ,-0.22                       ,653.75         ,-6.39                    ,-142.03                  ,4.66                           ,-2.91                 ,223.85                      ,-29.61                         ,5.44           ,-50.67         ,-23.33                      ,78.86                          ,-150.62             ,-2.91                ,7.54           ,-3.75                ,73.18                   ,-0.09243010677884544
 6 ,2016 ,-14.39                   ,-15.35          ,-13.4        ,-19.66                     ,- -                    ,-2.73                   ,-96.35                      ,12.86         ,12.28                       ,-0.47                     ,52.01             ,-1.36                       ,53.38               ,-2.55  ,13.83             ,-2.73 ,-2.73 ,1.16             ,13.63                ,74.46             ,-10.32             ,              2.53 ,-1.79                ,14.95                          ,3.75                    ,-10.04                  ,-13.53      ,46.97           ,13.95                ,-4.36                          ,-3.58                     ,- -                          ,-7.05           ,-6.5                    ,-1.82        ,1.16                ,-3.06   ,97.39                ,3.29                      ,3.36    ,6.07                 ,4.71                         ,4.08              ,-0.2                 ,- -          ,3.71              ,21.96        ,-8.14                           ,-8.04        ,-1.82                      ,-1.71              ,-0.04    ,8.7                ,-6.87                        ,10.32         ,-677.79               ,-4.55               ,48.43      ,-1.79                       ,-96.96         ,-0.59                    ,167.1                    ,5.66                           ,-11.3                 ,-47.53                      ,92.84                          ,2.04           ,83.16          ,24.54                       ,-29.23                         ,-149.69             ,-11.3                ,11.49          ,2.61                 ,-29.25                  ,-0.0017470755566639795
 7 ,2017 ,-0.37                    ,-1.14           ,0.41         ,-2.01                      ,- -                    ,3.82                    ,869.44                      ,-0.84         ,1.67                        ,-3.73                     ,52.78             ,-3.66                       ,52.65               ,1.55   ,1.93              ,3.82  ,3.82  ,0.78             ,4.21                 ,46.39             ,10.12              ,              1.09 ,-8.38                ,13.4                           ,-21.59                  ,5.05                    ,-1.95       ,-81.15          ,-21.57               ,2.62                           ,0.71                      ,- -                          ,0.07            ,0.6                     ,-5.29        ,-0.7                ,16.31   ,- -                  ,-1.82                     ,-4.79   ,-15.73               ,-10.33                       ,-6.54             ,-0.11                ,- -          ,9.29              ,-7.65        ,-3.76                           ,-3.8         ,-5.29                      ,-4.3               ,10.76    ,15.13              ,33.76                        ,-20.12        ,65.93                 ,-9.52               ,45.33      ,-8.38                       ,-4555.75       ,4.78                     ,-127.01                  ,-17.38                         ,2.11                  ,147.15                      ,2.04                           ,-2.69          ,-7.99          ,-9.24                       ,-7                             ,-332.46             ,2.11                 ,-22.7          ,16.13                ,-43.35                  ,-0.06724728949917314
 8 ,2018 ,2.73                     ,5.83            ,-0.38        ,2.53                       ,- -                    ,-4.24                   ,-94.7                       ,0.52          ,-3.27                       ,-2.65                     ,-35.39            ,-3.05                       ,-35.12              ,-3.45  ,-6.01             ,-4.24 ,-4.24 ,-3.02            ,-6.78                ,-38.07            ,6.08               ,              3.77 ,0.5                  ,-21.72                         ,-53.87                  ,2                       ,2.47        ,-4.35           ,-11.98               ,3.55                           ,4.23                      ,- -                          ,0.5             ,1.15                    ,-1.74        ,-16.09              ,-23.1   ,63.81                ,-6.53                     ,15.66   ,-0.32                ,8.05                         ,1.24              ,0.3                  ,- -          ,2.62              ,0.45         ,-5.24                           ,-5.19        ,-1.74                      ,-2.16              ,10.35    ,16.39              ,27.24                        ,-5.83         ,5.07                  ,-3.16               ,-36.01     ,0.5                         ,-83.16         ,12.54                    ,-781.72                  ,16.58                          ,9.84                  ,-101.36                     ,-38.28                         ,1.02           ,40.77          ,34.59                       ,67.78                          ,100.73              ,9.84                 ,19.01          ,-24.64               ,83.25                   ,0.0980681523223369
 9 ,2019 ,1.27                     ,0.98            ,1.59         ,0.25                       ,- -                    ,3.51                    ,20881.08                    ,-54.46        ,-59.78                      ,-1.02                     ,-61.29            ,-4.41                       ,-59.92              ,2.83   ,1.54              ,3.51  ,3.51  ,0.31             ,2.21                 ,-60.53            ,-3.95              ,              3.62 ,-0.35                ,-13.19                         ,65.01                   ,5.66                    ,5.89        ,8.41            ,-3.63                ,3.26                           ,3.69                      ,- -                          ,-4.09           ,-2.49                   ,-2.72        ,45.35               ,-6.97   ,- -                  ,6.28                      ,-2.24   ,4.8                  ,0.85                         ,3.19              ,-0.03                ,- -          ,-3.77             ,0.81         ,-9.75                           ,-10.03       ,-2.72                      ,0.27               ,-9.97    ,0.06               ,1.12                         ,-9.33         ,15.51                 ,5.43                ,-59.78     ,-0.35                       ,-1053.3        ,30.38                    ,-87.81                   ,2.52                           ,-9.95                 ,7308.7                      ,-0.6                           ,2.57           ,-53.33         ,-28.57                      ,-30.48                         ,-158.23             ,-9.95                ,6.68           ,37.17                ,156.5                   ,0.10822363873014518
