   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    2.74 ,- -             ,        4.35 ,10.31                      ,- -                    ,- -                     ,0.53                        ,0.53          ,1.02                        ,-1.33                     ,2.39              ,-1.32                       ,2.38                ,-34.87 ,-36.61            ,- -   ,- -  ,- -              ,- -                  ,-1.68             ,2.84               ,- -                ,1.1                  ,                          0.89 ,-1.12                   ,                  11.55 ,- -         ,- -             ,               13.09 ,-2.99                          ,-2.99                     ,                        5.51 ,-24.06          ,3.77                    ,        6.57 ,32.43               ,- -     ,- -                  ,32.43                     ,-10.06  ,5.53                 ,2.92                         ,             7.12 ,3.55                 ,-1.52        ,-2.37             ,72.93        ,5.22                            ,5.22         ,                      6.57 ,-1.52              ,-10.77   ,-15.2              ,-1.27                        ,-14.6         ,- -                   ,-0.09               ,1.02       ,-34.87                      ,-19.4          ,- -                      ,316.77                   ,12.95                          ,-2.85                 ,-61.41                      ,-58.72                         ,- -            ,- -            ,43.19                       ,685.93                         ,-101.67             ,-2.85                ,13.69          ,-4.08                ,11.81                   ,0.043767752006733884
 1 ,2011 ,                    3.64 ,- -             ,        3.71 ,-9.35                      ,- -                    ,- -                     ,-5                          ,-5            ,-4.94                       ,-3.89                     ,-1.09             ,-3.98                       ,-1                  ,6.5    ,2.76              ,- -   ,- -  ,- -              ,- -                  ,-8.28             ,2.11               ,-64.09             ,-31.4                ,                         36.63 ,-2.01                   ,                   6.99 ,- -         ,6121.85         ,              292.54 ,-2.28                          ,-2.28                     ,                        2.83 ,-2309.22        ,-67.9                   ,        3.28 ,-85.47              ,- -     ,- -                  ,32.13                     ,24.71   ,-0.87                ,2.87                         ,             6.2  ,-3.01                ,-7.46        ,-2.8              ,-11.64       ,-4                              ,-4           ,                      3.28 ,-7.46              ,54.84    ,61.3               ,-7.06                        ,197.09        ,- -                   ,1.5                 ,-4.94      ,6.5                         ,8.46           ,10.02                    ,-42.15                   ,-10.8                          ,21.95                 ,55.65                       ,53.11                          ,-65.48         ,- -            ,285.85                      ,-36.78                         ,3.85                ,21.95                ,-12.11         ,4.81                 ,-6.16                   ,0.0020345544780253633
 2 ,2012 ,                    8.26 ,- -             ,        8.31 ,86.08                      ,- -                    ,- -                     ,-11.39                      ,-11.39        ,-11.15                      ,-4.59                     ,-6.88             ,-4.57                       ,-6.89               ,6.67   ,-1.47             ,- -   ,- -  ,- -              ,- -                  ,-17.92            ,4.57               ,239.43             ,6.67                 ,                        716.59 ,15.03                   ,                   8.67 ,- -         ,- -             ,                4.45 ,2.46                           ,2.46                      ,                        3.21 ,3.63            ,2.2                     ,        3.89 ,-31.09              ,-70     ,- -                  ,-85.82                    ,-15.52  ,26.29                ,18.87                        ,             4.05 ,3.85                 ,-1.37        ,-1.16             ,25.78        ,3.45                            ,3.45         ,                      3.89 ,-1.37              ,-27      ,-29.43             ,-0.42                        ,636.76        ,- -                   ,3.53                ,-11.15     ,6.67                        ,-125.2         ,25.54                    ,263.61                   ,12.92                          ,61.85                 ,-85.5                       ,-64.44                         ,223.86         ,- -            ,-82.54                      ,85.8                           ,-929.63             ,61.85                ,10.2           ,-12.13               ,27.08                   ,0.02033398991019708
 3 ,2013 ,                    8.15 ,- -             ,        6.36 ,7.48                       ,- -                    ,- -                     ,30.53                       ,30.53         ,29.16                       ,-0.7                      ,30.06             ,-0.69                       ,30.06               ,7.31   ,-0.78             ,- -   ,- -  ,- -              ,- -                  ,19.43             ,7.09               ,-79.29             ,7.31                 ,                          6.78 ,-58.07                  ,                   3.99 ,- -         ,- -             ,                6.26 ,2.91                           ,2.91                      ,                        9.59 ,8.15            ,11.52                   ,        7.55 ,417.56              ,- -     ,- -                  ,176.55                    ,-9.8    ,8.14                 ,5.88                         ,             9.17 ,3.34                 ,-1.46        ,1.32              ,9.27         ,3.04                            ,3.04         ,                      7.55 ,-1.46              ,-12.2    ,-14.79             ,-4.2                         ,-61.58        ,- -                   ,0.99                ,29.16      ,7.31                        ,129.29         ,2.37                     ,0.04                     ,12.33                          ,9.95                  ,1314.43                     ,412.08                         ,-79.43         ,- -            ,56.95                       ,-53.93                         ,-561.61             ,9.95                 ,12.52          ,15.91                ,-13.03                  ,0.012656059656282581
 4 ,2014 ,                    6.72 ,- -             ,        6.72 ,31.19                      ,- -                    ,- -                     ,10.9                        ,10.9          ,9.92                        ,-1.42                     ,11.5              ,-1.46                       ,11.55               ,-4.15  ,-10.19            ,- -   ,- -  ,- -              ,- -                  ,2.99              ,5.29               ,415.63             ,-4.15                ,                          6.17 ,44.34                   ,                   6.85 ,- -         ,- -             ,                6.29 ,-0.03                          ,-0.03                     ,                        5.34 ,5.69            ,3.77                    ,        5.65 ,-54.61              ,- -     ,- -                  ,-54.61                    ,16.33   ,5.32                 ,6.5                          ,             3.51 ,1.97                 ,-1.34        ,18.1              ,7.5          ,11.94                           ,11.94        ,                      5.65 ,-1.34              ,15.15    ,2.86               ,5.81                         ,134.16        ,- -                   ,1.36                ,9.92       ,-4.15                       ,-22.99         ,-20.8                    ,-41.86                   ,-9.17                          ,-23.01                ,-48.64                      ,-38.3                          ,408.31         ,-29.92         ,-0.73                       ,32.25                          ,-132.21             ,-23.01               ,-8.07          ,9.77                 ,-17.37                  ,-0.06077353552115827
 5 ,2015 ,                    7.51 ,- -             ,        7.51 ,52.26                      ,- -                    ,- -                     ,0.22                        ,0.22          ,1.52                        ,-0.86                     ,-0.18             ,-0.94                       ,-0.11               ,54.99  ,44.17             ,- -   ,- -  ,- -              ,- -                  ,-7.96             ,-0.31              ,-54.39             ,54.99                ,                         12.16 ,107.01                  ,                  12.73 ,- -         ,-100            ,               12.26 ,7.97                           ,7.97                      ,                       10.09 ,2.48            ,25.76                   ,       15.63 ,28.48               ,- -     ,- -                  ,28.48                     ,25.09   ,18.49                ,19.27                        ,            19.46 ,1.71                 ,-0.71        ,13.38             ,-21.77       ,5.21                            ,5.21         ,                     15.63 ,-0.71              ,20.78    ,14.8               ,-18.08                       ,-12.63        ,- -                   ,7.84                ,1.52       ,54.99                       ,-164.93        ,28.79                    ,82.24                    ,32.88                          ,20.91                 ,46.2                        ,129.88                         ,-54.78         ,10.82          ,-23.18                      ,-70.45                         ,248.95              ,20.91                ,33.68          ,-11.64               ,34.28                   ,0.21747198007591306
 6 ,2016 ,                   12.41 ,- -             ,       12.41 ,18.71                      ,- -                    ,- -                     ,-23.06                      ,-23.06        ,-18.71                      ,-0.65                     ,-18.13            ,-0.71                       ,-18.08              ,32.56  ,17.92             ,- -   ,- -  ,- -              ,- -                  ,-27.65            ,1.28               ,29.43              ,32.56                ,                         12.97 ,-5.75                   ,                  13.08 ,- -         ,- -             ,               12.99 ,13.49                          ,13.49                     ,                       12.16 ,13.69           ,9.71                    ,       12.1  ,-23.84              ,- -     ,- -                  ,-23.84                    ,16.26   ,13.59                ,13.92                        ,            13.05 ,4.49                 ,-0.63        ,9.68              ,16.62        ,9.16                            ,9.16         ,                     12.1  ,-0.63              ,18.25    ,8.33               ,-1.09                        ,48.37         ,- -                   ,10.99               ,-18.71     ,32.56                       ,120.44         ,28.7                     ,68.26                    ,17.84                          ,64.5                  ,124.7                       ,28.1                           ,28.59          ,29.74          ,-7.67                       ,-0.95                          ,-111.19             ,64.5                 ,15.02          ,-8.62                ,44.88                   ,0.05365214340975544
 7 ,2017 ,                   14.51 ,- -             ,       14.51 ,19.02                      ,- -                    ,- -                     ,45.43                       ,45.43         ,51.16                       ,-0.15                     ,54.67             ,0.12                        ,54.25               ,18.35  ,3.35              ,- -   ,- -  ,- -              ,- -                  ,34.86             ,7.93               ,-23.7              ,18.35                ,                         16.52 ,25.3                    ,                  20.25 ,- -         ,- -             ,               17.2  ,-4.88                          ,-4.88                     ,                       16.15 ,17.01           ,11.84                   ,       15.78 ,65.68               ,2080.92 ,85.77                ,1607.18                   ,5.02    ,-11.71               ,-9.61                        ,            15.49 ,4.65                 ,0.31         ,17.34             ,37.37        ,16.69                           ,16.69        ,                     15.78 ,0.31               ,114.88   ,84.16              ,2.8                          ,-93.13        ,- -                   ,6.1                 ,51.16      ,18.35                       ,16.06          ,11.97                    ,34.58                    ,39.04                          ,-27.58                ,38.85                       ,38.23                          ,-23.82         ,69.71          ,-67.53                      ,20.17                          ,-478.46             ,-27.58               ,44.8           ,18.51                ,-9.97                   ,0.4216703327806737
 8 ,2018 ,                   19.16 ,- -             ,       19.16 ,22.47                      ,- -                    ,- -                     ,47.91                       ,47.91         ,64.01                       ,0.28                      ,62.47             ,0.17                        ,62.64               ,11.14  ,-6.73             ,- -   ,- -  ,- -              ,- -                  ,37.84             ,7.39               ,68.58              ,11.14                ,                         28.46 ,-73.77                  ,                  19.82 ,- -         ,- -             ,               26.83 ,1.08                           ,1.08                      ,                       23.07 ,33.31           ,1.59                    ,       20.35 ,670.34              ,34.74   ,-238.21              ,-17.85                    ,33.23   ,33.28                ,33.27                        ,            21.54 ,4.63                 ,0.26         ,39.04             ,-109.43      ,16.55                           ,16.55        ,                     20.35 ,0.26               ,38.5     ,18.83              ,-6.45                        ,54.38         ,- -                   ,10.96               ,64.01      ,11.14                       ,291.65         ,-19.08                   ,60.03                    ,67.29                          ,70.84                 ,111.22                      ,115.22                         ,69.04          ,34.82          ,26.4                        ,-381.39                        ,-507.11             ,70.84                ,67.14          ,-36.41               ,1.85                    ,0.15632135600932606
 9 ,2019 ,                   22.04 ,- -             ,       22.04 ,33.41                      ,- -                    ,- -                     ,63.11                       ,63.11         ,51.85                       ,0.24                      ,51.66             ,0.09                        ,51.9                ,16.65  ,-4.41             ,- -   ,- -  ,- -              ,- -                  ,24.39             ,9.64               ,149.25             ,16.65                ,                         17.21 ,225.47                  ,                  67.55 ,- -         ,- -             ,               26.18 ,7.25                           ,7.25                      ,                       16.94 ,28.38           ,-12                     ,       17.86 ,18.16               ,-88.66  ,30.23                ,-75.2                     ,0.05    ,37.41                ,31.96                        ,            15.3  ,4.65                 ,0.24         ,27.34             ,-382.63      ,26.35                           ,26.35        ,                     17.86 ,0.25               ,-46.45   ,-57.62             ,10.27                        ,408.74        ,- -                   ,11.31               ,51.85      ,16.65                       ,-262.94        ,16.84                    ,0.63                     ,-0.37                          ,36.65                 ,-40.59                      ,-40.83                         ,149.85         ,- -            ,15.57                       ,-309.15                        ,-176.09             ,36.65                ,-2.01          ,19.14                ,-34.37                  ,-0.03742983679435952
