   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-3.06                    ,-4.09           ,0.87         ,-1.03                      ,- -                    ,3.79                    ,-26.72                      ,10.77         ,9.41                        ,-0.4                      ,9.4               ,0.11                        ,8.84                ,3.05   ,6.31              ,3.79   ,3.79   ,4.05             ,7.07                 ,12.4              ,-8.66              ,              1.13 ,1.33                 ,206.77                         ,206.77                  ,12.89                   ,-6.61       ,-8.57           ,14.89                ,-9.71                          ,-3.21                     ,1.88                         ,-5.76           ,-6.1                    ,0.55         ,20.82               ,-24.55   ,- -                  ,9.93                      ,-23.16  ,5.87                 ,-9.09                        ,-2.25             ,7.56                 ,- -          ,             6.37 ,45.33        ,4.06                            ,4.2          ,0.55                       ,0.48               ,-43.69   ,-45.96             ,384.18                       ,4.51          ,-11.97                ,6.12                ,9.41       ,1.33                        ,8.03           ,25.62                    ,15.4                     ,7.94                           ,-52.27                ,- -                         ,-84.79                         ,          0.72 ,-99            ,-99.77                      ,136.92                         ,-498.78             ,-52.27               ,26.93          ,35.36                ,-0.94                   ,0.49981638609179946
 1 ,2011 ,23.54                    ,19.63           ,37.85        ,14.93                      ,- -                    ,71.53                   ,-32.65                      ,87.29         ,90.01                       ,0.13                      ,89.1              ,1.16                        ,87.17               ,48.63  ,20.31             ,71.53  ,71.53  ,11.58            ,38.84                ,53.27             ,15.93              ,             26.46 ,-6.26                ,14.24                          ,14.24                   ,23.62                   ,20.53       ,6.66            ,19.96                ,5.85                           ,8.58                      ,-13.06                       ,6.36            ,4.11                    ,9.85         ,25.75               ,-79.28   ,- -                  ,8.44                      ,19.63   ,-28.17               ,-7.35                        ,-0.96             ,4.24                 ,- -          ,            13.22 ,-62.68       ,23.26                           ,23.07        ,9.85                       ,-3.82              ,-7.7     ,-25                ,121.88                       ,10.62         ,-15.05                ,6.57                ,90.01      ,-6.26                       ,89.6           ,23.47                    ,-231.25                  ,-4.26                          ,60.42                 ,- -                         ,67.57                          ,         26.63 ,8757.67        ,62718.01                    ,40.89                          ,-98.53              ,60.42                ,-11.93         ,55.05                ,-49.44                  ,-0.10073960439870977
 2 ,2012 ,6.48                     ,6.08            ,7.75         ,3.51                       ,- -                    ,11.92                   ,19.07                       ,11.53         ,9.3                         ,-6.15                     ,16.98             ,-6.15                       ,16.98               ,8.73   ,2.11              ,11.92  ,11.92  ,1.19             ,5.11                 ,3.11              ,4.86               ,             24.42 ,-5.26                ,27.51                          ,27.51                   ,0.73                    ,-0.81       ,3.49            ,4.48                 ,-4.3                           ,-1.93                     ,55.83                        ,-3.96           ,1.38                    ,2.6          ,-2.39               ,199.7    ,- -                  ,3.97                      ,-11.07  ,72.8                 ,25.64                        ,16.04             ,-3.7                 ,- -          ,            13    ,213.95       ,-9.05                           ,-10.62       ,2.6                        ,-3.52              ,-19.63   ,-10.09             ,-36.3                        ,0.49          ,-1.27                 ,1.54                ,9.3        ,-5.26                       ,-72.82         ,10.51                    ,-108.16                  ,31.15                          ,5.56                  ,- -                         ,53.41                          ,         16.77 ,-74.78         ,-31.09                      ,-10.07                         ,5225.67             ,5.56                 ,36.67          ,-37.12               ,19.45                   ,0.0033874412355228145
 3 ,2013 ,-0.99                    ,1.29            ,-8.11        ,2.35                       ,- -                    ,-17.64                  ,-31.16                      ,-16.85        ,-17.89                      ,-1.33                     ,-16.55            ,-1.99                       ,-15.99              ,-14.1  ,-13.24            ,-17.64 ,-17.64 ,-7.19            ,-16.81               ,-16.83            ,0.97               ,              7.39 ,4.25                 ,112.5                          ,112.5                   ,3.54                    ,-1.67       ,16.06           ,22.97                ,5.13                           ,3.09                      ,-26.17                       ,12.26           ,5.06                    ,12.27        ,-3.28               ,491.26   ,- -                  ,41.6                      ,-0.53   ,-21.6                ,-13.21                       ,8.54              ,-4.31                ,- -          ,             8.14 ,-21.76       ,17.19                           ,17.04        ,12.27                      ,-0.23              ,17.63    ,0.51               ,23.58                        ,-13.16        ,2.03                  ,-1.94               ,-17.89     ,4.25                        ,247.05         ,5.02                     ,-792.44                  ,-22.18                         ,21.52                 ,- -                         ,115.52                         ,          5.96 ,1699.03        ,-62.87                      ,-169.96                        ,189.12              ,21.52                ,-29.47         ,51.62                ,-5.49                   ,0.24328989029277004
 4 ,2014 ,1.54                     ,1.01            ,3.37         ,5.08                       ,- -                    ,1.43                    ,-358.45                     ,18.74         ,9.76                        ,-0.08                     ,9.85              ,-0.09                       ,9.87                ,1.22   ,-0.32             ,1.43   ,1.43   ,1.8              ,-0.1                 ,8.1               ,2.78               ,              9.2  ,0.32                 ,22.78                          ,-9.42                   ,8.91                    ,-0.42       ,-14.08          ,9.77                 ,0.89                           ,3.07                      ,48.2                         ,-3.42           ,2.75                    ,5.85         ,11.43               ,-38.78   ,- -                  ,-7.6                      ,0.81    ,3.78                 ,2.43                         ,-2.76             ,-1.9                 ,- -          ,             8.94 ,-25.67       ,16.05                           ,16.05        ,5.85                       ,-0.26              ,-32.16   ,-41.54             ,68.95                        ,18.79         ,-6.61                 ,-1.2                ,9.76       ,0.32                        ,-304.23        ,21.37                    ,-206.17                  ,16.54                          ,-18.64                ,- -                         ,-20.18                         ,          9.11 ,-99.94         ,1.58                        ,-266.29                        ,-122.63             ,-18.64               ,26.65          ,19.07                ,6.17                    ,-0.09408411181373255
 5 ,2015 ,-3.82                    ,-5.23           ,0.95         ,-5.46                      ,- -                    ,8.47                    ,-148.79                     ,-8            ,-2.77                       ,-4.14                     ,1.42              ,-4.18                       ,1.47                ,5.71   ,9.9               ,8.47   ,8.47   ,4.95             ,12.77                ,1.08              ,0.93               ,             27.62 ,-5.71                ,-12.49                         ,-26.83                  ,-11.66                  ,-5.19       ,44.28           ,-8.05                ,-8.79                          ,-5.63                     ,7.17                         ,-9.26           ,-6.81                   ,-7.38        ,-12.69              ,-72.67   ,- -                  ,-27.75                    ,80.62   ,14.2                 ,44.02                        ,8.71              ,3.97                 ,- -          ,             7.28 ,111.13       ,-23.35                          ,-23.34       ,-7.38                      ,-6.95              ,148.38   ,224.01             ,-46.55                       ,27.27         ,-7.34                 ,-4.7                ,-2.77      ,-5.71                       ,-126.58        ,-6.85                    ,-139.59                  ,-6.19                          ,-0.38                 ,-43.04                      ,-10.4                          ,         22.33 ,198164.04      ,745.15                      ,9.04                           ,48.63               ,-0.38                ,-7.27          ,-5.98                ,-3.51                   ,-0.22342219877576075
 6 ,2016 ,-10.63                   ,-8.62           ,-16.98       ,-12                        ,- -                    ,-22.08                  ,-20.41                      ,-22.17        ,-20.28                      ,-5.3                      ,-15.82            ,-5.65                       ,-15.51              ,-18.83 ,-9.17             ,-22.08 ,-22.08 ,-7.11            ,-12.81               ,-10.8             ,-0.04              ,              6.08 ,-3.35                ,9.92                           ,3.48                    ,-7.99                   ,-9.78       ,-72.81          ,-6.72                ,-5.76                          ,-2.58                     ,-22.14                       ,12              ,2.04                    ,-1.94        ,-5.78               ,62.16    ,- -                  ,0.67                      ,-1.8    ,15.32                ,5.68                         ,4.04              ,0.8                  ,- -          ,             4.68 ,28.13        ,-10.36                          ,-10.36       ,-1.94                      ,-3.28              ,2.76     ,14.62              ,-33.74                       ,-7.35         ,4.23                  ,-10.59              ,-20.28     ,-3.35                       ,-64.9          ,-25.81                   ,-149.47                  ,-10.15                         ,-30.68                ,-85.72                      ,-54.31                         ,          0.46 ,-79.37         ,-60.17                      ,-23.19                         ,-131.92             ,-30.68               ,-6.07          ,-2.83                ,12.72                   ,0.38038335548432634
 7 ,2017 ,5.88                     ,4.14            ,11.94        ,6.96                       ,- -                    ,17.69                   ,-8.7                        ,19.19         ,21.88                       ,-1.46                     ,23.69             ,-0.99                       ,23.1                ,17.29  ,10.78             ,17.69  ,17.69  ,5.72             ,11.15                ,15.11             ,-8.57              ,              2.5  ,15.77                ,-56.07                         ,-27.57                  ,19.69                   ,32.06       ,15.26           ,-8.22                ,23.54                          ,9.49                      ,-0.9                         ,78.99           ,56.38                   ,28.48        ,19.13               ,178.7    ,- -                  ,43.53                     ,81.75   ,-19.38               ,33.54                        ,36.7              ,-11.76               ,- -          ,             6.09 ,-13.63       ,15                              ,15.04        ,28.48                      ,-0.61              ,174.65   ,138.74             ,-478.03                      ,-36.06        ,8.31                  ,15.81               ,21.88      ,15.77                       ,386.71         ,12.69                    ,-415.61                  ,11.34                          ,36.37                 ,-1700.7                     ,1171.6                         ,          1    ,1510.85        ,-38.52                      ,-322.16                        ,-372.47             ,36.37                ,7.67           ,30.73                ,-8.65                   ,0.2549419567403397
 8 ,2018 ,18.9                     ,17.13           ,24.62        ,13.98                      ,- -                    ,35.77                   ,211.77                      ,28.12         ,7.87                        ,-0.28                     ,8.17              ,-0.1                        ,7.98                ,34.84  ,13.41             ,35.77  ,35.77  ,4.81             ,14.2                 ,-9.27             ,17.9               ,              6.06 ,31.21                ,-7.47                          ,-7.09                   ,13.18                   ,4.63        ,12.14           ,6.39                 ,-4.18                          ,0.55                      ,-4.92                        ,-4.45           ,-4.44                   ,-1.1         ,7.19                ,-36.69   ,- -                  ,-5.84                     ,-11.18  ,-1.34                ,-8.34                        ,-7.51             ,-7.45                ,- -          ,             6.36 ,-8.37        ,11.37                           ,11.36        ,-1.1                       ,-0.58              ,-17.06   ,-25.52             ,-38.67                       ,12.99         ,-5.11                 ,0.85                ,7.87       ,31.21                       ,34.4           ,47.91                    ,-66.32                   ,22.87                          ,21.56                 ,-99.59                      ,-100.6                         ,          5.76 ,-99.89         ,12.35                       ,-194.35                        ,-78.01              ,21.56                ,23.11          ,-19.54               ,13.9                    ,-0.17758210391853013
 9 ,2019 ,0.13                     ,-0.55           ,2.18         ,-6.83                      ,- -                    ,10.12                   ,-22.57                      ,13.58         ,42.55                       ,-2.26                     ,45.87             ,-2.69                       ,46.51               ,6.84   ,6.7               ,10.12  ,10.12  ,2.06             ,9.98                 ,42.39             ,2.93               ,             15.53 ,-6.41                ,294.17                         ,291.63                  ,-1.3                    ,3.51        ,35.29           ,50.89                ,-4.74                          ,-0.55                     ,-6.65                        ,-2.51           ,-3.24                   ,14.73        ,0.22                ,-8.06    ,- -                  ,-1.43                     ,51      ,-0.14                ,35.15                        ,22.78             ,-5.88                ,- -          ,             9.91 ,16.79        ,1.74                            ,1.75         ,14.73                      ,-2.97              ,-5.97    ,-7.59              ,-42.14                       ,53.08         ,4.6                   ,-2.73               ,42.55      ,-6.41                       ,26.88          ,-12.42                   ,789.93                   ,8.11                           ,-21.23                ,-3340.51                    ,-1187.66                       ,         12.92 ,44876.94       ,127.26                      ,-153.65                        ,-4019.05            ,-21.23               ,13.49          ,1.47                 ,-24.17                  ,0.11874027722023062
